name,genes,overlap_pct,gene,chrom_id,25kb bin
chr1-303,['Cpa6'],[1.0],Cpa6,1,303
chr1-304,['Cpa6'],[1.0],Cpa6,1,304
chr1-305,['Cpa6'],[1.0],Cpa6,1,305
chr1-306,['Cpa6'],[1.0],Cpa6,1,306
chr1-307,['Cpa6'],[1.0],Cpa6,1,307
chr1-308,['Cpa6'],[1.0],Cpa6,1,308
chr1-309,['Cpa6'],[0.7978],Cpa6,1,309
chr1-320,['Prex2'],[0.26144],Prex2,1,320
chr1-321,['Prex2'],[1.0],Prex2,1,321
chr1-322,['Prex2'],[1.0],Prex2,1,322
chr1-323,['Prex2'],[1.0],Prex2,1,323
chr1-324,['Prex2'],[1.0],Prex2,1,324
chr1-325,['Prex2'],[1.0],Prex2,1,325
chr1-326,['Prex2'],[1.0],Prex2,1,326
chr1-327,['Prex2'],[1.0],Prex2,1,327
chr1-328,['Prex2'],[1.0],Prex2,1,328
chr1-329,['Prex2'],[1.0],Prex2,1,329
chr1-330,['Prex2'],[1.0],Prex2,1,330
chr1-331,['Prex2'],[1.0],Prex2,1,331
chr1-332,['Prex2'],[1.0],Prex2,1,332
chr1-333,['Prex2'],[0.14728],Prex2,1,333
chr1-406,['Ncoa2'],[0.43584],Ncoa2,1,406
chr1-407,['Ncoa2'],[1.0],Ncoa2,1,407
chr1-408,['Ncoa2'],[1.0],Ncoa2,1,408
chr1-409,['Ncoa2'],[1.0],Ncoa2,1,409
chr1-410,['Ncoa2'],[1.0],Ncoa2,1,410
chr1-411,['Ncoa2'],[1.0],Ncoa2,1,411
chr1-412,['Ncoa2'],[1.0],Ncoa2,1,412
chr1-413,['Ncoa2'],[1.0],Ncoa2,1,413
chr1-414,['Ncoa2'],[1.0],Ncoa2,1,414
chr1-415,['Ncoa2'],[0.96332],Ncoa2,1,415
chr1-492,['Kcnb2'],[0.52304],Kcnb2,1,492
chr1-493,['Kcnb2'],[1.0],Kcnb2,1,493
chr1-494,['Kcnb2'],[1.0],Kcnb2,1,494
chr1-495,['Kcnb2'],[1.0],Kcnb2,1,495
chr1-496,['Kcnb2'],[1.0],Kcnb2,1,496
chr1-497,['Kcnb2'],[1.0],Kcnb2,1,497
chr1-498,['Kcnb2'],[1.0],Kcnb2,1,498
chr1-499,['Kcnb2'],[1.0],Kcnb2,1,499
chr1-500,['Kcnb2'],[1.0],Kcnb2,1,500
chr1-501,['Kcnb2'],[1.0],Kcnb2,1,501
chr1-502,['Kcnb2'],[1.0],Kcnb2,1,502
chr1-503,['Kcnb2'],[1.0],Kcnb2,1,503
chr1-504,['Kcnb2'],[1.0],Kcnb2,1,504
chr1-505,['Kcnb2'],[1.0],Kcnb2,1,505
chr1-506,['Kcnb2'],[1.0],Kcnb2,1,506
chr1-507,['Kcnb2'],[1.0],Kcnb2,1,507
chr1-508,['Kcnb2'],[1.0],Kcnb2,1,508
chr1-509,['Kcnb2'],[0.95],Kcnb2,1,509
chr1-530,['Stau2'],[0.84764],Stau2,1,530
chr1-531,['Stau2'],[1.0],Stau2,1,531
chr1-532,['Stau2'],[1.0],Stau2,1,532
chr1-533,['Stau2'],[1.0],Stau2,1,533
chr1-534,['Stau2'],[1.0],Stau2,1,534
chr1-535,['Stau2'],[1.0],Stau2,1,535
chr1-536,['Stau2'],[1.0],Stau2,1,536
chr1-537,['Stau2'],[1.0],Stau2,1,537
chr1-538,['Stau2'],[1.0],Stau2,1,538
chr1-539,['Stau2'],[1.0],Stau2,1,539
chr1-540,['Stau2'],[1.0],Stau2,1,540
chr1-541,['Stau2'],[0.77208],Stau2,1,541
chr1-683,['Pkhd1'],[0.68888],Pkhd1,1,683
chr1-684,['Pkhd1'],[1.0],Pkhd1,1,684
chr1-685,['Pkhd1'],[1.0],Pkhd1,1,685
chr1-686,['Pkhd1'],[1.0],Pkhd1,1,686
chr1-687,['Pkhd1'],[1.0],Pkhd1,1,687
chr1-688,['Pkhd1'],[1.0],Pkhd1,1,688
chr1-689,['Pkhd1'],[1.0],Pkhd1,1,689
chr1-690,['Pkhd1'],[1.0],Pkhd1,1,690
chr1-691,['Pkhd1'],[1.0],Pkhd1,1,691
chr1-692,['Pkhd1'],[1.0],Pkhd1,1,692
chr1-693,['Pkhd1'],[1.0],Pkhd1,1,693
chr1-694,['Pkhd1'],[1.0],Pkhd1,1,694
chr1-695,['Pkhd1'],[1.0],Pkhd1,1,695
chr1-696,['Pkhd1'],[1.0],Pkhd1,1,696
chr1-697,['Pkhd1'],[1.0],Pkhd1,1,697
chr1-698,['Pkhd1'],[1.0],Pkhd1,1,698
chr1-699,['Pkhd1'],[1.0],Pkhd1,1,699
chr1-700,['Pkhd1'],[1.0],Pkhd1,1,700
chr1-701,['Pkhd1'],[1.0],Pkhd1,1,701
chr1-702,['Pkhd1'],[1.0],Pkhd1,1,702
chr1-703,['Pkhd1'],[1.0],Pkhd1,1,703
chr1-704,['Pkhd1'],[1.0],Pkhd1,1,704
chr1-705,['Pkhd1'],[0.72228],Pkhd1,1,705
chr1-736,['Kcnq5'],[0.06408],Kcnq5,1,736
chr1-737,['Kcnq5'],[1.0],Kcnq5,1,737
chr1-738,['Kcnq5'],[1.0],Kcnq5,1,738
chr1-739,['Kcnq5'],[1.0],Kcnq5,1,739
chr1-740,['Kcnq5'],[1.0],Kcnq5,1,740
chr1-741,['Kcnq5'],[1.0],Kcnq5,1,741
chr1-742,['Kcnq5'],[1.0],Kcnq5,1,742
chr1-743,['Kcnq5'],[1.0],Kcnq5,1,743
chr1-744,['Kcnq5'],[1.0],Kcnq5,1,744
chr1-745,['Kcnq5'],[1.0],Kcnq5,1,745
chr1-746,['Kcnq5'],[1.0],Kcnq5,1,746
chr1-747,['Kcnq5'],[1.0],Kcnq5,1,747
chr1-748,['Kcnq5'],[1.0],Kcnq5,1,748
chr1-749,['Kcnq5'],[1.0],Kcnq5,1,749
chr1-750,['Kcnq5'],[1.0],Kcnq5,1,750
chr1-751,['Kcnq5'],[1.0],Kcnq5,1,751
chr1-752,['Kcnq5'],[1.0],Kcnq5,1,752
chr1-753,['Kcnq5'],[1.0],Kcnq5,1,753
chr1-754,['Kcnq5'],[1.0],Kcnq5,1,754
chr1-755,['Kcnq5'],[1.0],Kcnq5,1,755
chr1-756,['Kcnq5'],[1.0],Kcnq5,1,756
chr1-757,['Kcnq5'],[1.0],Kcnq5,1,757
chr1-758,['Kcnq5'],[1.0],Kcnq5,1,758
chr1-759,['Kcnq5'],[0.506],Kcnq5,1,759
chr1-772,['Rims1'],[0.56112],Rims1,1,772
chr1-773,['Rims1'],[1.0],Rims1,1,773
chr1-774,['Rims1'],[1.0],Rims1,1,774
chr1-775,['Rims1'],[1.0],Rims1,1,775
chr1-776,['Rims1'],[1.0],Rims1,1,776
chr1-777,['Rims1'],[1.0],Rims1,1,777
chr1-778,['Rims1'],[1.0],Rims1,1,778
chr1-779,['Rims1'],[1.0],Rims1,1,779
chr1-780,['Rims1'],[1.0],Rims1,1,780
chr1-781,['Rims1'],[1.0],Rims1,1,781
chr1-782,['Rims1'],[1.0],Rims1,1,782
chr1-783,['Rims1'],[1.0],Rims1,1,783
chr1-784,['Rims1'],[1.0],Rims1,1,784
chr1-785,['Rims1'],[1.0],Rims1,1,785
chr1-786,['Rims1'],[1.0],Rims1,1,786
chr1-787,['Rims1'],[1.0],Rims1,1,787
chr1-788,['Rims1'],[1.0],Rims1,1,788
chr1-789,['Rims1'],[1.0],Rims1,1,789
chr1-790,['Rims1'],[1.0],Rims1,1,790
chr1-791,['Rims1'],[1.0],Rims1,1,791
chr1-792,['Rims1'],[1.0],Rims1,1,792
chr1-793,['Rims1'],[0.24012],Rims1,1,793
chr1-851,['Col19a1'],[0.69272],Col19a1,1,851
chr1-852,['Col19a1'],[1.0],Col19a1,1,852
chr1-853,['Col19a1'],[1.0],Col19a1,1,853
chr1-854,['Col19a1'],[1.0],Col19a1,1,854
chr1-855,['Col19a1'],[1.0],Col19a1,1,855
chr1-856,['Col19a1'],[1.0],Col19a1,1,856
chr1-857,['Col19a1'],[1.0],Col19a1,1,857
chr1-858,['Col19a1'],[1.0],Col19a1,1,858
chr1-859,['Col19a1'],[1.0],Col19a1,1,859
chr1-860,['Col19a1'],[1.0],Col19a1,1,860
chr1-861,['Col19a1'],[1.0],Col19a1,1,861
chr1-862,['Col19a1'],[1.0],Col19a1,1,862
chr1-863,['Col19a1'],[1.0],Col19a1,1,863
chr1-864,['Col19a1'],[0.49748],Col19a1,1,864
chr1-883,['Adgrb3'],[0.301],Adgrb3,1,883
chr1-884,['Adgrb3'],[1.0],Adgrb3,1,884
chr1-885,['Adgrb3'],[1.0],Adgrb3,1,885
chr1-886,['Adgrb3'],[1.0],Adgrb3,1,886
chr1-887,['Adgrb3'],[1.0],Adgrb3,1,887
chr1-888,['Adgrb3'],[1.0],Adgrb3,1,888
chr1-889,['Adgrb3'],[1.0],Adgrb3,1,889
chr1-890,['Adgrb3'],[1.0],Adgrb3,1,890
chr1-891,['Adgrb3'],[1.0],Adgrb3,1,891
chr1-892,['Adgrb3'],[1.0],Adgrb3,1,892
chr1-893,['Adgrb3'],[1.0],Adgrb3,1,893
chr1-894,['Adgrb3'],[1.0],Adgrb3,1,894
chr1-895,['Adgrb3'],[1.0],Adgrb3,1,895
chr1-896,['Adgrb3'],[1.0],Adgrb3,1,896
chr1-897,['Adgrb3'],[1.0],Adgrb3,1,897
chr1-898,['Adgrb3'],[1.0],Adgrb3,1,898
chr1-899,['Adgrb3'],[1.0],Adgrb3,1,899
chr1-900,['Adgrb3'],[1.0],Adgrb3,1,900
chr1-901,['Adgrb3'],[1.0],Adgrb3,1,901
chr1-902,['Adgrb3'],[1.0],Adgrb3,1,902
chr1-903,['Adgrb3'],[1.0],Adgrb3,1,903
chr1-904,['Adgrb3'],[1.0],Adgrb3,1,904
chr1-905,['Adgrb3'],[1.0],Adgrb3,1,905
chr1-906,['Adgrb3'],[1.0],Adgrb3,1,906
chr1-907,['Adgrb3'],[1.0],Adgrb3,1,907
chr1-908,['Adgrb3'],[1.0],Adgrb3,1,908
chr1-909,['Adgrb3'],[1.0],Adgrb3,1,909
chr1-910,['Adgrb3'],[1.0],Adgrb3,1,910
chr1-911,['Adgrb3'],[1.0],Adgrb3,1,911
chr1-912,['Adgrb3'],[1.0],Adgrb3,1,912
chr1-913,['Adgrb3'],[1.0],Adgrb3,1,913
chr1-914,['Adgrb3'],[0.18828],Adgrb3,1,914
chr1-1167,['Khdrbs2'],[0.09116],Khdrbs2,1,1167
chr1-1168,['Khdrbs2'],[1.0],Khdrbs2,1,1168
chr1-1169,['Khdrbs2'],[1.0],Khdrbs2,1,1169
chr1-1170,['Khdrbs2'],[1.0],Khdrbs2,1,1170
chr1-1171,['Khdrbs2'],[1.0],Khdrbs2,1,1171
chr1-1172,['Khdrbs2'],[1.0],Khdrbs2,1,1172
chr1-1173,['Khdrbs2'],[1.0],Khdrbs2,1,1173
chr1-1174,['Khdrbs2'],[1.0],Khdrbs2,1,1174
chr1-1175,['Khdrbs2'],[1.0],Khdrbs2,1,1175
chr1-1176,['Khdrbs2'],[1.0],Khdrbs2,1,1176
chr1-1177,['Khdrbs2'],[1.0],Khdrbs2,1,1177
chr1-1178,['Khdrbs2'],[1.0],Khdrbs2,1,1178
chr1-1179,['Khdrbs2'],[1.0],Khdrbs2,1,1179
chr1-1180,['Khdrbs2'],[1.0],Khdrbs2,1,1180
chr1-1181,['Khdrbs2'],[1.0],Khdrbs2,1,1181
chr1-1182,['Khdrbs2'],[1.0],Khdrbs2,1,1182
chr1-1183,['Khdrbs2'],[1.0],Khdrbs2,1,1183
chr1-1184,['Khdrbs2'],[1.0],Khdrbs2,1,1184
chr1-1185,['Khdrbs2'],[1.0],Khdrbs2,1,1185
chr1-1186,['Khdrbs2'],[1.0],Khdrbs2,1,1186
chr1-1187,['Khdrbs2'],[0.34276],Khdrbs2,1,1187
chr1-1219,['Prim2'],[0.84772],Prim2,1,1219
chr1-1220,['Prim2'],[1.0],Prim2,1,1220
chr1-1221,['Prim2'],[1.0],Prim2,1,1221
chr1-1222,['Prim2'],[1.0],Prim2,1,1222
chr1-1223,['Prim2'],[1.0],Prim2,1,1223
chr1-1224,['Prim2'],[1.0],Prim2,1,1224
chr1-1225,['Prim2'],[1.0],Prim2,1,1225
chr1-1226,['Prim2'],[1.0],Prim2,1,1226
chr1-1227,['Prim2'],[0.79176],Prim2,1,1227
chr1-1237,['Dst'],[0.67104],Dst,1,1237
chr1-1238,['Dst'],[1.0],Dst,1,1238
chr1-1239,['Dst'],[1.0],Dst,1,1239
chr1-1240,['Dst'],[1.0],Dst,1,1240
chr1-1241,['Dst'],[1.0],Dst,1,1241
chr1-1242,['Dst'],[1.0],Dst,1,1242
chr1-1243,['Dst'],[1.0],Dst,1,1243
chr1-1244,['Dst'],[1.0],Dst,1,1244
chr1-1245,['Dst'],[1.0],Dst,1,1245
chr1-1246,['Dst'],[1.0],Dst,1,1246
chr1-1247,['Dst'],[1.0],Dst,1,1247
chr1-1248,['Dst'],[1.0],Dst,1,1248
chr1-1249,['Dst'],[1.0],Dst,1,1249
chr1-1250,['Dst'],[1.0],Dst,1,1250
chr1-1251,['Dst'],[1.0],Dst,1,1251
chr1-1252,['Dst'],[1.0],Dst,1,1252
chr1-1253,['Dst'],[0.34648],Dst,1,1253
chr1-1408,['Aff3'],[0.9604],Aff3,1,1408
chr1-1409,['Aff3'],[1.0],Aff3,1,1409
chr1-1410,['Aff3'],[1.0],Aff3,1,1410
chr1-1411,['Aff3'],[1.0],Aff3,1,1411
chr1-1412,['Aff3'],[1.0],Aff3,1,1412
chr1-1413,['Aff3'],[1.0],Aff3,1,1413
chr1-1414,['Aff3'],[1.0],Aff3,1,1414
chr1-1415,['Aff3'],[1.0],Aff3,1,1415
chr1-1416,['Aff3'],[1.0],Aff3,1,1416
chr1-1417,['Aff3'],[1.0],Aff3,1,1417
chr1-1418,['Aff3'],[1.0],Aff3,1,1418
chr1-1419,['Aff3'],[1.0],Aff3,1,1419
chr1-1420,['Aff3'],[1.0],Aff3,1,1420
chr1-1421,['Aff3'],[1.0],Aff3,1,1421
chr1-1422,['Aff3'],[1.0],Aff3,1,1422
chr1-1423,['Aff3'],[1.0],Aff3,1,1423
chr1-1424,['Aff3'],[1.0],Aff3,1,1424
chr1-1425,['Aff3'],[1.0],Aff3,1,1425
chr1-1426,['Aff3'],[0.08976],Aff3,1,1426
chr1-1663,['Gulp1'],[0.9332],Gulp1,1,1663
chr1-1664,['Gulp1'],[1.0],Gulp1,1,1664
chr1-1665,['Gulp1'],[1.0],Gulp1,1,1665
chr1-1666,['Gulp1'],[1.0],Gulp1,1,1666
chr1-1667,['Gulp1'],[1.0],Gulp1,1,1667
chr1-1668,['Gulp1'],[1.0],Gulp1,1,1668
chr1-1669,['Gulp1'],[1.0],Gulp1,1,1669
chr1-1670,['Gulp1'],[1.0],Gulp1,1,1670
chr1-1671,['Gulp1'],[1.0],Gulp1,1,1671
chr1-1672,['Gulp1'],[0.87344],Gulp1,1,1672
chr1-1723,['Dnah7b'],[0.32592],Dnah7b,1,1723
chr1-1724,['Dnah7b'],[1.0],Dnah7b,1,1724
chr1-1725,['Dnah7b'],[1.0],Dnah7b,1,1725
chr1-1726,['Dnah7b'],[1.0],Dnah7b,1,1726
chr1-1727,['Dnah7b'],[1.0],Dnah7b,1,1727
chr1-1728,['Dnah7b'],[1.0],Dnah7b,1,1728
chr1-1729,['Dnah7b'],[1.0],Dnah7b,1,1729
chr1-1730,['Dnah7b'],[1.0],Dnah7b,1,1730
chr1-1731,['Dnah7b'],[1.0],Dnah7b,1,1731
chr1-1732,['Dnah7b'],[1.0],Dnah7b,1,1732
chr1-1733,['Dnah7b'],[1.0],Dnah7b,1,1733
chr1-1734,['Dnah7b'],[1.0],Dnah7b,1,1734
chr1-1735,['Dnah7b'],[0.94184],Dnah7b,1,1735
chr1-1738,['Dnah7c'],[0.97932],Dnah7c,1,1738
chr1-1739,['Dnah7c'],[1.0],Dnah7c,1,1739
chr1-1740,['Dnah7c'],[1.0],Dnah7c,1,1740
chr1-1741,['Dnah7c'],[1.0],Dnah7c,1,1741
chr1-1742,['Dnah7c'],[1.0],Dnah7c,1,1742
chr1-1743,['Dnah7c'],[1.0],Dnah7c,1,1743
chr1-1744,['Dnah7c'],[1.0],Dnah7c,1,1744
chr1-1745,['Dnah7c'],[1.0],Dnah7c,1,1745
chr1-1746,['Dnah7c'],[1.0],Dnah7c,1,1746
chr1-1747,['Dnah7c'],[1.0],Dnah7c,1,1747
chr1-1748,['Dnah7c'],[1.0],Dnah7c,1,1748
chr1-1749,['Dnah7c'],[1.0],Dnah7c,1,1749
chr1-1750,['Dnah7c'],[1.0],Dnah7c,1,1750
chr1-1751,['Dnah7c'],[1.0],Dnah7c,1,1751
chr1-1752,['Dnah7c'],[1.0],Dnah7c,1,1752
chr1-1753,['Dnah7c'],[0.29908],Dnah7c,1,1753
chr1-1918,['Tmeff2'],[0.89912],Tmeff2,1,1918
chr1-1919,['Tmeff2'],[1.0],Tmeff2,1,1919
chr1-1920,['Tmeff2'],[1.0],Tmeff2,1,1920
chr1-1921,['Tmeff2'],[1.0],Tmeff2,1,1921
chr1-1922,['Tmeff2'],[1.0],Tmeff2,1,1922
chr1-1923,['Tmeff2'],[1.0],Tmeff2,1,1923
chr1-1924,['Tmeff2'],[1.0],Tmeff2,1,1924
chr1-1925,['Tmeff2'],[1.0],Tmeff2,1,1925
chr1-1926,['Tmeff2'],[1.0],Tmeff2,1,1926
chr1-1927,['Tmeff2'],[1.0],Tmeff2,1,1927
chr1-1928,['Tmeff2'],[0.4908],Tmeff2,1,1928
chr1-2016,['Dnah7a'],[0.11996],Dnah7a,1,2016
chr1-2017,['Dnah7a'],[1.0],Dnah7a,1,2017
chr1-2018,['Dnah7a'],[1.0],Dnah7a,1,2018
chr1-2019,['Dnah7a'],[1.0],Dnah7a,1,2019
chr1-2020,['Dnah7a'],[1.0],Dnah7a,1,2020
chr1-2021,['Dnah7a'],[1.0],Dnah7a,1,2021
chr1-2022,['Dnah7a'],[1.0],Dnah7a,1,2022
chr1-2023,['Dnah7a'],[1.0],Dnah7a,1,2023
chr1-2024,['Dnah7a'],[1.0],Dnah7a,1,2024
chr1-2025,['Dnah7a'],[1.0],Dnah7a,1,2025
chr1-2026,['Dnah7a'],[1.0],Dnah7a,1,2026
chr1-2027,['Dnah7a'],[1.0],Dnah7a,1,2027
chr1-2028,['Dnah7a'],[1.0],Dnah7a,1,2028
chr1-2029,['Dnah7a'],[0.27136],Dnah7a,1,2029
chr1-2038,['Hecw2'],[0.76744],Hecw2,1,2038
chr1-2039,['Hecw2'],[1.0],Hecw2,1,2039
chr1-2040,['Hecw2'],[1.0],Hecw2,1,2040
chr1-2041,['Hecw2'],[1.0],Hecw2,1,2041
chr1-2042,['Hecw2'],[1.0],Hecw2,1,2042
chr1-2043,['Hecw2'],[1.0],Hecw2,1,2043
chr1-2044,['Hecw2'],[1.0],Hecw2,1,2044
chr1-2045,['Hecw2'],[1.0],Hecw2,1,2045
chr1-2046,['Hecw2'],[1.0],Hecw2,1,2046
chr1-2047,['Hecw2'],[1.0],Hecw2,1,2047
chr1-2048,['Hecw2'],[0.80136],Hecw2,1,2048
chr1-2066,['Ankrd44'],[0.18644],Ankrd44,1,2066
chr1-2067,['Ankrd44'],[1.0],Ankrd44,1,2067
chr1-2068,['Ankrd44'],[1.0],Ankrd44,1,2068
chr1-2069,['Ankrd44'],[1.0],Ankrd44,1,2069
chr1-2070,['Ankrd44'],[1.0],Ankrd44,1,2070
chr1-2071,['Ankrd44'],[1.0],Ankrd44,1,2071
chr1-2072,['Ankrd44'],[1.0],Ankrd44,1,2072
chr1-2073,['Ankrd44'],[1.0],Ankrd44,1,2073
chr1-2074,['Ankrd44'],[1.0],Ankrd44,1,2074
chr1-2075,['Ankrd44'],[1.0],Ankrd44,1,2075
chr1-2076,['Ankrd44'],[1.0],Ankrd44,1,2076
chr1-2077,['Ankrd44'],[1.0],Ankrd44,1,2077
chr1-2078,['Ankrd44'],[0.05548],Ankrd44,1,2078
chr1-2097,['Plcl1'],[0.7622],Plcl1,1,2097
chr1-2098,['Plcl1'],[1.0],Plcl1,1,2098
chr1-2099,['Plcl1'],[1.0],Plcl1,1,2099
chr1-2100,['Plcl1'],[1.0],Plcl1,1,2100
chr1-2101,['Plcl1'],[1.0],Plcl1,1,2101
chr1-2102,['Plcl1'],[1.0],Plcl1,1,2102
chr1-2103,['Plcl1'],[1.0],Plcl1,1,2103
chr1-2104,['Plcl1'],[1.0],Plcl1,1,2104
chr1-2105,['Plcl1'],[1.0],Plcl1,1,2105
chr1-2106,['Plcl1'],[1.0],Plcl1,1,2106
chr1-2107,['Plcl1'],[1.0],Plcl1,1,2107
chr1-2108,['Plcl1'],[1.0],Plcl1,1,2108
chr1-2109,['Plcl1'],[1.0],Plcl1,1,2109
chr1-2110,['Plcl1'],[1.0],Plcl1,1,2110
chr1-2111,['Plcl1'],[0.1714],Plcl1,1,2111
chr1-2346,['Pard3b'],[0.44708],Pard3b,1,2346
chr1-2347,['Pard3b'],[1.0],Pard3b,1,2347
chr1-2348,['Pard3b'],[1.0],Pard3b,1,2348
chr1-2349,['Pard3b'],[1.0],Pard3b,1,2349
chr1-2350,['Pard3b'],[1.0],Pard3b,1,2350
chr1-2351,['Pard3b'],[1.0],Pard3b,1,2351
chr1-2352,['Pard3b'],[1.0],Pard3b,1,2352
chr1-2353,['Pard3b'],[1.0],Pard3b,1,2353
chr1-2354,['Pard3b'],[1.0],Pard3b,1,2354
chr1-2355,['Pard3b'],[1.0],Pard3b,1,2355
chr1-2356,['Pard3b'],[1.0],Pard3b,1,2356
chr1-2357,['Pard3b'],[1.0],Pard3b,1,2357
chr1-2358,['Pard3b'],[1.0],Pard3b,1,2358
chr1-2359,['Pard3b'],[1.0],Pard3b,1,2359
chr1-2360,['Pard3b'],[1.0],Pard3b,1,2360
chr1-2361,['Pard3b'],[1.0],Pard3b,1,2361
chr1-2362,['Pard3b'],[1.0],Pard3b,1,2362
chr1-2363,['Pard3b'],[1.0],Pard3b,1,2363
chr1-2364,['Pard3b'],[1.0],Pard3b,1,2364
chr1-2365,['Pard3b'],[1.0],Pard3b,1,2365
chr1-2366,['Pard3b'],[1.0],Pard3b,1,2366
chr1-2367,['Pard3b'],[1.0],Pard3b,1,2367
chr1-2368,['Pard3b'],[1.0],Pard3b,1,2368
chr1-2369,['Pard3b'],[1.0],Pard3b,1,2369
chr1-2370,['Pard3b'],[1.0],Pard3b,1,2370
chr1-2371,['Pard3b'],[1.0],Pard3b,1,2371
chr1-2372,['Pard3b'],[1.0],Pard3b,1,2372
chr1-2373,['Pard3b'],[1.0],Pard3b,1,2373
chr1-2374,['Pard3b'],[1.0],Pard3b,1,2374
chr1-2375,['Pard3b'],[1.0],Pard3b,1,2375
chr1-2376,['Pard3b'],[1.0],Pard3b,1,2376
chr1-2377,['Pard3b'],[1.0],Pard3b,1,2377
chr1-2378,['Pard3b'],[1.0],Pard3b,1,2378
