200kb name,genes,overlap_pct,gene,chrom_id,200kb bin
chr1-g52,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6', 'Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cpa6,1,52
chr1-g53,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[1.0, 1.0, 1.0, 1.0, 0.7978]",Cpa6,1,53
chr1-g54,['Prex2'],[0.26144],Prex2,1,54
chr1-g55,"['Prex2', 'Prex2', 'Prex2', 'Prex2', 'Prex2', 'Prex2', 'Prex2', 'Prex2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Prex2,1,55
chr1-g56,"['Prex2', 'Prex2', 'Prex2', 'Prex2', 'Prex2']","[1.0, 1.0, 1.0, 1.0, 0.14728]",Prex2,1,56
chr1-g65,"['Ncoa2', 'Ncoa2', 'Ncoa2']","[0.43584, 1.0, 1.0]",Ncoa2,1,65
chr1-g66,"['Ncoa2', 'Ncoa2', 'Ncoa2', 'Ncoa2', 'Ncoa2', 'Ncoa2', 'Ncoa2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96332]",Ncoa2,1,66
chr1-g76,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[0.52304, 1.0, 1.0, 1.0, 1.0]",Kcnb2,1,76
chr1-g77,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Kcnb2,1,77
chr1-g78,"['Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2', 'Kcnb2']","[1.0, 1.0, 1.0, 1.0, 0.95]",Kcnb2,1,78
chr1-g81,"['Stau2', 'Stau2', 'Stau2', 'Stau2', 'Stau2', 'Stau2', 'Stau2']","[0.84764, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Stau2,1,81
chr1-g82,"['Stau2', 'Stau2', 'Stau2', 'Stau2', 'Stau2']","[1.0, 1.0, 1.0, 1.0, 0.77208]",Stau2,1,82
chr1-g100,"['Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1']","[0.68888, 1.0, 1.0, 1.0, 1.0, 1.0]",Pkhd1,1,100
chr1-g101,"['Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pkhd1,1,101
chr1-g102,"['Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1', 'Pkhd1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pkhd1,1,102
chr1-g103,['Pkhd1'],[0.72228],Pkhd1,1,103
chr1-g106,['Kcnq5'],[0.06408],Kcnq5,1,106
chr1-g107,"['Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Kcnq5,1,107
chr1-g108,"['Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Kcnq5,1,108
chr1-g109,"['Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5', 'Kcnq5']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.506]",Kcnq5,1,109
chr1-g111,"['Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1']","[0.56112, 1.0, 1.0, 1.0, 1.0]",Rims1,1,111
chr1-g112,"['Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Rims1,1,112
chr1-g113,"['Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1', 'Rims1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Rims1,1,113
chr1-g114,['Rims1'],[0.24012],Rims1,1,114
chr1-g121,"['Col19a1', 'Col19a1', 'Col19a1', 'Col19a1', 'Col19a1', 'Col19a1']","[0.69272, 1.0, 1.0, 1.0, 1.0, 1.0]",Col19a1,1,121
chr1-g122,"['Col19a1', 'Col19a1', 'Col19a1', 'Col19a1', 'Col19a1', 'Col19a1', 'Col19a1', 'Col19a1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.49748]",Col19a1,1,122
chr1-g125,"['Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3']","[0.301, 1.0, 1.0, 1.0, 1.0, 1.0]",Adgrb3,1,125
chr1-g126,"['Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Adgrb3,1,126
chr1-g127,"['Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Adgrb3,1,127
chr1-g128,"['Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3', 'Adgrb3']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Adgrb3,1,128
chr1-g129,"['Adgrb3', 'Adgrb3']","[1.0, 0.18828]",Adgrb3,1,129
chr1-g160,"['Khdrbs2', 'Khdrbs2']","[0.09116, 1.0]",Khdrbs2,1,160
chr1-g161,"['Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Khdrbs2,1,161
chr1-g162,"['Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2', 'Khdrbs2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Khdrbs2,1,162
chr1-g163,"['Khdrbs2', 'Khdrbs2', 'Khdrbs2']","[1.0, 1.0, 0.34276]",Khdrbs2,1,163
chr1-g167,"['Prim2', 'Prim2', 'Prim2', 'Prim2', 'Prim2', 'Prim2']","[0.84772, 1.0, 1.0, 1.0, 1.0, 1.0]",Prim2,1,167
chr1-g168,"['Prim2', 'Prim2', 'Prim2']","[1.0, 1.0, 0.79176]",Prim2,1,168
chr1-g169,"['Dst', 'Dst', 'Dst', 'Dst']","[0.67104, 1.0, 1.0, 1.0]",Dst,1,169
chr1-g170,"['Dst', 'Dst', 'Dst', 'Dst', 'Dst', 'Dst', 'Dst', 'Dst']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dst,1,170
chr1-g171,"['Dst', 'Dst', 'Dst', 'Dst', 'Dst']","[1.0, 1.0, 1.0, 1.0, 0.34648]",Dst,1,171
chr1-g190,['Aff3'],[0.9604],Aff3,1,190
chr1-g191,"['Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Aff3,1,191
chr1-g192,"['Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3', 'Aff3']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Aff3,1,192
chr1-g193,"['Aff3', 'Aff3']","[1.0, 0.08976]",Aff3,1,193
chr1-g222,"['Gulp1', 'Gulp1']","[0.9332, 1.0]",Gulp1,1,222
chr1-g223,"['Gulp1', 'Gulp1', 'Gulp1', 'Gulp1', 'Gulp1', 'Gulp1', 'Gulp1', 'Gulp1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.87344]",Gulp1,1,223
chr1-g230,"['Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b']","[0.32592, 1.0, 1.0, 1.0, 1.0, 1.0]",Dnah7b,1,230
chr1-g231,"['Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b', 'Dnah7b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94184]",Dnah7b,1,231
chr1-g232,"['Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c']","[0.97932, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dnah7c,1,232
chr1-g233,"['Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c', 'Dnah7c']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dnah7c,1,233
chr1-g234,['Dnah7c'],[0.29908],Dnah7c,1,234
chr1-g254,"['Tmeff2', 'Tmeff2', 'Tmeff2']","[0.89912, 1.0, 1.0]",Tmeff2,1,254
chr1-g255,"['Tmeff2', 'Tmeff2', 'Tmeff2', 'Tmeff2', 'Tmeff2', 'Tmeff2', 'Tmeff2', 'Tmeff2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4908]",Tmeff2,1,255
chr1-g266,['Dnah7a'],[0.11996],Dnah7a,1,266
chr1-g267,"['Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dnah7a,1,267
chr1-g268,"['Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a', 'Dnah7a']","[1.0, 1.0, 1.0, 1.0, 0.27136]",Dnah7a,1,268
chr1-g269,"['Hecw2', 'Hecw2', 'Hecw2']","[0.76744, 1.0, 1.0]",Hecw2,1,269
chr1-g270,"['Hecw2', 'Hecw2', 'Hecw2', 'Hecw2', 'Hecw2', 'Hecw2', 'Hecw2', 'Hecw2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.80136]",Hecw2,1,270
chr1-g273,"['Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44']","[0.18644, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Ankrd44,1,273
chr1-g274,"['Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44', 'Ankrd44']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.05548]",Ankrd44,1,274
chr1-g277,"['Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1']","[0.7622, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Plcl1,1,277
chr1-g278,"['Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1', 'Plcl1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1714]",Plcl1,1,278
chr1-g308,"['Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b']","[0.44708, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pard3b,1,308
chr1-g309,"['Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pard3b,1,309
chr1-g310,"['Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pard3b,1,310
chr1-g311,"['Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pard3b,1,311
chr1-g312,"['Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b', 'Pard3b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pard3b,1,312
chr1-g313,"['Pard3b', 'Pard3b']","[1.0, 0.69136]",Pard3b,1,313
chr1-g330,['Map2'],[0.98688],Map2,1,330
chr1-g331,"['Map2', 'Map2', 'Map2', 'Map2', 'Map2', 'Map2', 'Map2', 'Map2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Map2,1,331
chr1-g332,"['Map2', 'Map2', 'Unc80', 'Unc80', 'Unc80', 'Unc80', 'Unc80', 'Unc80']","[1.0, 0.70332, 0.28268, 1.0, 1.0, 1.0, 1.0, 1.0]","Map2,Unc80",1,332
chr1-g333,"['Unc80', 'Unc80', 'Unc80', 'Unc80']","[1.0, 1.0, 1.0, 0.966]",Unc80,1,333
chr1-g340,"['Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4']","[0.71256, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Erbb4,1,340
chr1-g341,"['Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Erbb4,1,341
chr1-g342,"['Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Erbb4,1,342
chr1-g343,"['Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Erbb4,1,343
chr1-g344,"['Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Erbb4,1,344
chr1-g345,"['Erbb4', 'Erbb4', 'Erbb4', 'Erbb4', 'Erbb4']","[1.0, 1.0, 1.0, 1.0, 0.32236]",Erbb4,1,345
chr1-g368,"['6030407O03Rik', '6030407O03Rik', '6030407O03Rik', '6030407O03Rik', '6030407O03Rik', '6030407O03Rik', '6030407O03Rik', '6030407O03Rik']","[0.2648, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6030407O03Rik,1,368
chr1-g369,"['6030407O03Rik', '6030407O03Rik', '6030407O03Rik', 'Tns1', 'Tns1', 'Tns1', 'Tns1']","[1.0, 1.0, 0.57864, 0.59076, 1.0, 1.0, 1.0]","6030407O03Rik,Tns1",1,369
chr1-g370,"['Tns1', 'Tns1', 'Tns1', 'Tns1', 'Tns1']","[1.0, 1.0, 1.0, 1.0, 0.98192]",Tns1,1,370
chr1-g393,['Gm29536'],[0.33512],Gm29536,1,393
chr1-g394,"['Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Gm29536,1,394
chr1-g395,"['Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536', 'Gm29536']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Gm29536,1,395
chr1-g396,['Gm29536'],[0.98044],Gm29536,1,396
chr1-g402,"['Dock10', 'Dock10', 'Dock10', 'Dock10']","[0.95732, 1.0, 1.0, 1.0]",Dock10,1,402
chr1-g403,"['Dock10', 'Dock10', 'Dock10', 'Dock10', 'Dock10', 'Dock10', 'Dock10']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.34212]",Dock10,1,403
chr1-g405,"['Nyap2', 'Nyap2', 'Nyap2', 'Nyap2', 'Nyap2']","[0.91188, 1.0, 1.0, 1.0, 1.0]",Nyap2,1,405
chr1-g406,"['Nyap2', 'Nyap2', 'Nyap2', 'Nyap2', 'Nyap2']","[1.0, 1.0, 1.0, 1.0, 0.00384]",Nyap2,1,406
chr1-g420,"['Pid1', 'Pid1', 'Pid1', 'Pid1', 'Pid1', 'Pid1', 'Pid1']","[0.54832, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pid1,1,420
chr1-g421,"['Pid1', 'Pid1', 'Pid1', 'Pid1', 'Dner', 'Dner']","[1.0, 1.0, 1.0, 0.3858, 0.20648, 1.0]","Dner,Pid1",1,421
chr1-g422,"['Dner', 'Dner', 'Dner', 'Dner', 'Dner', 'Dner', 'Dner', 'Dner']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dner,1,422
chr1-g423,"['Dner', 'Dner', 'Dner', 'Dner']","[1.0, 1.0, 1.0, 0.84884]",Dner,1,423
chr1-g433,"['Dis3l2', 'Dis3l2', 'Dis3l2', 'Dis3l2']","[0.84788, 1.0, 1.0, 1.0]",Dis3l2,1,433
chr1-g434,"['Dis3l2', 'Dis3l2', 'Dis3l2', 'Dis3l2', 'Dis3l2', 'Dis3l2', 'Dis3l2', 'Dis3l2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dis3l2,1,434
chr1-g435,"['Dis3l2', 'Dis3l2', 'Dis3l2']","[1.0, 1.0, 0.00388]",Dis3l2,1,435
chr1-g447,"['Agap1', 'Agap1', 'Agap1', 'Agap1', 'Agap1', 'Agap1']","[0.8076, 1.0, 1.0, 1.0, 1.0, 1.0]",Agap1,1,447
chr1-g448,"['Agap1', 'Agap1', 'Agap1', 'Agap1', 'Agap1', 'Agap1', 'Agap1', 'Agap1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Agap1,1,448
chr1-g449,"['Agap1', 'Agap1', 'Agap1', 'Agap1']","[1.0, 1.0, 1.0, 0.81128]",Agap1,1,449
chr1-g459,"['Hdac4', 'Hdac4', 'Hdac4']","[0.84888, 1.0, 1.0]",Hdac4,1,459
chr1-g460,"['Hdac4', 'Hdac4', 'Hdac4', 'Hdac4', 'Hdac4', 'Hdac4', 'Hdac4', 'Hdac4']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.21364]",Hdac4,1,460
chr1-g489,"['Pam', 'Pam', 'Pam', 'Pam', 'Pam', 'Pam', 'Pam', 'Pam']","[0.15628, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Pam,1,489
chr1-g490,"['Pam', 'Pam', 'Pam', 'Pam']","[1.0, 1.0, 1.0, 0.82584]",Pam,1,490
chr1-g498,"['Cntnap5b', 'Cntnap5b']","[0.104, 1.0]",Cntnap5b,1,498
chr1-g499,"['Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cntnap5b,1,499
chr1-g500,"['Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cntnap5b,1,500
chr1-g501,"['Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cntnap5b,1,501
chr1-g502,"['Cntnap5b', 'Cntnap5b', 'Cntnap5b', 'Cntnap5b']","[1.0, 1.0, 1.0, 0.62392]",Cntnap5b,1,502
chr1-g523,"['Cdh20', 'Cdh20']","[0.25924, 1.0]",Cdh20,1,523
chr1-g524,"['Cdh20', 'Cdh20', 'Cdh20', 'Cdh20', 'Cdh20', 'Cdh20', 'Cdh20', 'Cdh20']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.81924]",Cdh20,1,524
chr1-g530,"['Phlpp1', 'Phlpp1']","[0.12528, 1.0]",Phlpp1,1,530
chr1-g531,"['Phlpp1', 'Phlpp1', 'Phlpp1', 'Phlpp1', 'Phlpp1', 'Phlpp1', 'Phlpp1', 'Phlpp1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7698]",Phlpp1,1,531
chr1-g578,"['Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a']","[0.61056, 1.0, 1.0, 1.0, 1.0]",Cntnap5a,1,578
chr1-g579,"['Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cntnap5a,1,579
chr1-g580,"['Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cntnap5a,1,580
chr1-g581,"['Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Cntnap5a,1,581
chr1-g582,"['Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a', 'Cntnap5a']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.49288]",Cntnap5a,1,582
chr1-g591,['Clasp1'],[0.43772],Clasp1,1,591
chr1-g592,"['Clasp1', 'Clasp1', 'Clasp1', 'Clasp1', 'Clasp1', 'Clasp1', 'Clasp1', 'Clasp1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Clasp1,1,592
chr1-g593,['Clasp1'],[0.37848],Clasp1,1,593
chr1-g594,"['Gli2', 'Gli2', 'Gli2', 'Gli2', 'Gli2', 'Gli2', 'Gli2']","[0.6376, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Gli2,1,594
chr1-g595,"['Gli2', 'Gli2', 'Gli2']","[1.0, 1.0, 0.14476]",Gli2,1,595
chr1-g616,"['Dpp10', 'Dpp10', 'Dpp10']","[0.71452, 1.0, 1.0]",Dpp10,1,616
chr1-g617,"['Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dpp10,1,617
chr1-g618,"['Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dpp10,1,618
chr1-g619,"['Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10', 'Dpp10']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Dpp10,1,619
chr1-g620,"['Dpp10', 'Dpp10']","[1.0, 0.82236]",Dpp10,1,620
chr1-g629,"['Nckap5', 'Nckap5', 'Nckap5', 'Nckap5']","[0.4546, 1.0, 1.0, 1.0]",Nckap5,1,629
chr1-g630,"['Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Nckap5,1,630
chr1-g631,"['Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Nckap5,1,631
chr1-g632,"['Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5', 'Nckap5']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Nckap5,1,632
