100kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id
chr1-g55,chr1,5500000,5600000,0.3902299999999999,Oprk1,1.0,17641,17641.0,17641.0,17641.0,17641.0,1
chr1-g56,chr1,5600000,5700000,0.3868,Oprk1,1.0,17641,17641.0,17641.0,17641.0,17641.0,1
chr1-g57,chr1,5700000,5800000,0.37925,,,,,,,,1
chr1-g58,chr1,5800000,5900000,0.38719,,,,,,,,1
chr1-g59,chr1,5900000,6000000,0.39434,Npbwr1,1.0,3692,3692.0,3692.0,3692.0,3692.0,1
chr1-g60,chr1,6000000,6100000,0.3916,,,,,,,,1
chr1-g61,chr1,6100000,6200000,0.40904,,,,,,,,1
chr1-g62,chr1,6200000,6300000,0.38322,Rb1cc1,1.0,61443,61443.0,61443.0,61443.0,61443.0,1
chr1-g63,chr1,6300000,6400000,0.40043,Alkal1,1.0,35401,35401.0,35401.0,35401.0,35401.0,1
chr1-g64,chr1,6400000,6500000,0.4130399999999999,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1
chr1-g65,chr1,6500000,6600000,0.38815,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1
chr1-g66,chr1,6600000,6700000,0.39507,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1
chr1-g67,chr1,6700000,6800000,0.37438,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1
chr1-g68,chr1,6800000,6900000,0.39746,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1
chr1-g69,chr1,6900000,7000000,0.39904,,,,,,,,1
chr1-g70,chr1,7000000,7100000,0.40737,Pcmtd1,1.0,84709,84709.0,84709.0,84709.0,84709.0,1
chr1-g71,chr1,7100000,7200000,0.39461,Pcmtd1,1.0,84709,84709.0,84709.0,84709.0,84709.0,1
chr1-g72,chr1,7200000,7300000,0.40145,,,,,,,,1
chr1-g73,chr1,7300000,7400000,0.40399,,,,,,,,1
chr1-g74,chr1,7400000,7500000,0.38469,,,,,,,,1
chr1-g75,chr1,7500000,7600000,0.37639,,,,,,,,1
chr1-g76,chr1,7600000,7700000,0.39319,,,,,,,,1
chr1-g77,chr1,7700000,7800000,0.38951,,,,,,,,1
chr1-g78,chr1,7800000,7900000,0.37994,,,,,,,,1
chr1-g79,chr1,7900000,8000000,0.38742,,,,,,,,1
chr1-g80,chr1,8000000,8100000,0.38255,,,,,,,,1
chr1-g81,chr1,8100000,8200000,0.39248,,,,,,,,1
chr1-g82,chr1,8200000,8300000,0.39147,,,,,,,,1
chr1-g83,chr1,8300000,8400000,0.37239,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g84,chr1,8400000,8500000,0.36866,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g85,chr1,8500000,8600000,0.37249,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g86,chr1,8600000,8700000,0.38774,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g87,chr1,8700000,8800000,0.38259,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g88,chr1,8800000,8900000,0.383,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g89,chr1,8900000,9000000,0.38126,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g90,chr1,9000000,9100000,0.3824499999999999,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g91,chr1,9100000,9200000,0.3778,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g92,chr1,9200000,9300000,0.38418,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1
chr1-g93,chr1,9300000,9400000,0.3948399999999999,,,,,,,,1
chr1-g94,chr1,9400000,9500000,0.39498,,,,,,,,1
chr1-g95,chr1,9500000,9600000,0.41389,"Rrs1, Adhfe1, 2610203C22Rik",3.0,"2048, 30023, 70260",70260.0,2048.0,34110.333333333336,30023.0,1
chr1-g96,chr1,9600000,9700000,0.40754,"2610203C22Rik, Vxn, Mybl1",3.0,"70260, 25876, 32799",70260.0,25876.0,42978.333333333336,32799.0,1
chr1-g97,chr1,9700000,9800000,0.40968,"Mybl1, Vcpip1, 1700034P13Rik, Sgk3",4.0,"32799, 29761, 23609, 104439",104439.0,23609.0,47652.0,31280.0,1
chr1-g98,chr1,9800000,9900000,0.4163499999999999,Sgk3,1.0,104439,104439.0,104439.0,104439.0,104439.0,1
chr1-g99,chr1,9900000,10000000,0.4138199999999999,"Sgk3, Mcmdc2, Snhg6, Snord87, Tcf24, Ppp1r42",6.0,"104439, 32317, 2094, 74, 7648, 40515",104439.0,74.0,31181.166666666668,19982.5,1
chr1-g100,chr1,10000000,10100000,0.3974,"Ppp1r42, Cops5, Cspp1",3.0,"40515, 13560, 98551",98551.0,13560.0,50875.333333333336,40515.0,1
chr1-g101,chr1,10100000,10200000,0.39604,"Cspp1, Arfgef1",2.0,"98551, 95164",98551.0,95164.0,96857.5,96857.5,1
chr1-g102,chr1,10200000,10300000,0.4051599999999999,Arfgef1,1.0,95164,95164.0,95164.0,95164.0,95164.0,1
chr1-g103,chr1,10300000,10400000,0.4028899999999999,Cpa6,1.0,395227,395227.0,395227.0,395227.0,395227.0,1
chr1-g104,chr1,10400000,10500000,0.39809,Cpa6,1.0,395227,395227.0,395227.0,395227.0,395227.0,1
chr1-g105,chr1,10500000,10600000,0.39476,Cpa6,1.0,395227,395227.0,395227.0,395227.0,395227.0,1
chr1-g106,chr1,10600000,10700000,0.39792,Cpa6,1.0,395227,395227.0,395227.0,395227.0,395227.0,1
chr1-g107,chr1,10700000,10800000,0.40326,"Cpa6, Mir467e",2.0,"395227, 157488",395227.0,157488.0,276357.5,276357.5,1
chr1-g108,chr1,10800000,10900000,0.39913,Mir467e,1.0,157488,157488.0,157488.0,157488.0,157488.0,1
chr1-g109,chr1,10900000,11000000,0.40773,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1
chr1-g110,chr1,11000000,11100000,0.39852,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1
chr1-g111,chr1,11100000,11200000,0.38214,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1
chr1-g112,chr1,11200000,11300000,0.3910899999999999,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1
chr1-g113,chr1,11300000,11400000,0.3841799999999999,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1
chr1-g114,chr1,11400000,11500000,0.38683,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1
chr1-g115,chr1,11500000,11600000,0.38602,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1
chr1-g116,chr1,11600000,11700000,0.3850699999999999,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1
chr1-g117,chr1,11700000,11800000,0.39516,,,,,,,,1
chr1-g118,chr1,11800000,11900000,0.38275,,,,,,,,1
chr1-g119,chr1,11900000,12000000,0.38393,,,,,,,,1
chr1-g120,chr1,12000000,12100000,0.38886,,,,,,,,1
chr1-g121,chr1,12100000,12200000,0.38917,,,,,,,,1
chr1-g122,chr1,12200000,12300000,0.39223,,,,,,,,1
chr1-g123,chr1,12300000,12400000,0.38572,,,,,,,,1
chr1-g124,chr1,12400000,12500000,0.39441,Mir6341,1.0,121,121.0,121.0,121.0,121.0,1
chr1-g125,chr1,12500000,12600000,0.4068,,,,,,,,1
chr1-g126,chr1,12600000,12700000,0.4084099999999999,"Gm17644, Sulf1",2.0,"5528, 167943",167943.0,5528.0,86735.5,86735.5,1
chr1-g127,chr1,12700000,12800000,0.4286899999999999,Sulf1,1.0,167943,167943.0,167943.0,167943.0,167943.0,1
chr1-g128,chr1,12800000,12900000,0.43184,"Sulf1, Slco5a1",2.0,"167943, 124586",167943.0,124586.0,146264.5,146264.5,1
chr1-g129,chr1,12900000,13000000,0.42834,Slco5a1,1.0,124586,124586.0,124586.0,124586.0,124586.0,1
chr1-g130,chr1,13000000,13100000,0.44324,,,,,,,,1
chr1-g131,chr1,13100000,13200000,0.45407,"Prdm14, Ncoa2",2.0,"13736, 234979",234979.0,13736.0,124357.5,124357.5,1
chr1-g132,chr1,13200000,13300000,0.43742,Ncoa2,1.0,234979,234979.0,234979.0,234979.0,234979.0,1
chr1-g133,chr1,13300000,13400000,0.43765,Ncoa2,1.0,234979,234979.0,234979.0,234979.0,234979.0,1
chr1-g134,chr1,13400000,13500000,0.42139,,,,,,,,1
chr1-g135,chr1,13500000,13600000,0.44436,Tram1,1.0,25218,25218.0,25218.0,25218.0,25218.0,1
chr1-g136,chr1,13600000,13700000,0.42249,"Lactb2, Xkr9",2.0,"34610, 32953",34610.0,32953.0,33781.5,33781.5,1
chr1-g137,chr1,13700000,13800000,0.40891,"Xkr9, Gm5523",2.0,"32953, 1245",32953.0,1245.0,17099.0,17099.0,1
chr1-g138,chr1,13800000,13900000,0.41907,,,,,,,,1
chr1-g139,chr1,13900000,14000000,0.40435,,,,,,,,1
chr1-g140,chr1,14000000,14100000,0.40722,,,,,,,,1
chr1-g141,chr1,14100000,14200000,0.42091,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1
chr1-g142,chr1,14200000,14300000,0.40584,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1
chr1-g143,chr1,14300000,14400000,0.3952,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1
chr1-g144,chr1,14400000,14500000,0.40195,,,,,,,,1
chr1-g145,chr1,14500000,14600000,0.39784,,,,,,,,1
chr1-g146,chr1,14600000,14700000,0.4022799999999999,,,,,,,,1
chr1-g147,chr1,14700000,14800000,0.4163,Msc,1.0,2621,2621.0,2621.0,2621.0,2621.0,1
chr1-g148,chr1,14800000,14900000,0.39663,Trpa1,1.0,46219,46219.0,46219.0,46219.0,46219.0,1
chr1-g149,chr1,14900000,15000000,0.40259,Trpa1,1.0,46219,46219.0,46219.0,46219.0,46219.0,1
chr1-g150,chr1,15000000,15100000,0.40006,,,,,,,,1
chr1-g151,chr1,15100000,15200000,0.3883999999999999,,,,,,,,1
chr1-g152,chr1,15200000,15300000,0.41169,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1
chr1-g153,chr1,15300000,15400000,0.39227,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1
chr1-g154,chr1,15400000,15500000,0.40157,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1
chr1-g155,chr1,15500000,15600000,0.40229,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1
chr1-g156,chr1,15600000,15700000,0.40526,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1
chr1-g157,chr1,15700000,15800000,0.41023,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1
chr1-g158,chr1,15800000,15900000,0.4113,"Terf1, Sbspon",2.0,"38407, 38861",38861.0,38407.0,38634.0,38634.0,1
chr1-g159,chr1,15900000,16000000,0.42057,,,,,,,,1
chr1-g160,chr1,16000000,16100000,0.43415,4930444P10Rik,1.0,27347,27347.0,27347.0,27347.0,27347.0,1
chr1-g161,chr1,16100000,16200000,0.43642,"Rdh10, Rpl7",2.0,"26669, 3138",26669.0,3138.0,14903.5,14903.5,1
chr1-g162,chr1,16200000,16300000,0.42881,Stau2,1.0,290493,290493.0,290493.0,290493.0,290493.0,1
chr1-g163,chr1,16300000,16400000,0.3981899999999999,Stau2,1.0,290493,290493.0,290493.0,290493.0,290493.0,1
chr1-g164,chr1,16400000,16500000,0.39748,Stau2,1.0,290493,290493.0,290493.0,290493.0,290493.0,1
chr1-g165,chr1,16500000,16600000,0.41174,"Stau2, Ube2w",2.0,"290493, 50618",290493.0,50618.0,170555.5,170555.5,1
chr1-g166,chr1,16600000,16700000,0.41973,"Ube2w, Eloc, Tmem70, D030040B21Rik, Ly96",5.0,"50618, 15395, 13085, 4727, 21150",50618.0,4727.0,20995.0,15395.0,1
chr1-g167,chr1,16700000,16800000,0.43072,Ly96,1.0,21150,21150.0,21150.0,21150.0,21150.0,1
chr1-g168,chr1,16800000,16900000,0.4137099999999999,,,,,,,,1
chr1-g169,chr1,16900000,17000000,0.40068,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1
chr1-g170,chr1,17000000,17100000,0.40608,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1
chr1-g171,chr1,17100000,17200000,0.39402,Gdap1,1.0,18898,18898.0,18898.0,18898.0,18898.0,1
chr1-g172,chr1,17200000,17300000,0.38153,,,,,,,,1
chr1-g173,chr1,17300000,17400000,0.3875999999999999,,,,,,,,1
chr1-g174,chr1,17400000,17500000,0.39388,,,,,,,,1
chr1-g175,chr1,17500000,17600000,0.38383,,,,,,,,1
chr1-g176,chr1,17600000,17700000,0.3797699999999999,"Pi15, Gm16070",2.0,"29039, 51620",51620.0,29039.0,40329.5,40329.5,1
chr1-g177,chr1,17700000,17800000,0.3781799999999999,"Gm16070, Crispld1",2.0,"51620, 38791",51620.0,38791.0,45205.5,45205.5,1
chr1-g178,chr1,17800000,17900000,0.3762399999999999,,,,,,,,1
chr1-g179,chr1,17900000,18000000,0.39798,,,,,,,,1
chr1-g180,chr1,18000000,18100000,0.41711,,,,,,,,1
chr1-g181,chr1,18100000,18200000,0.36829,Crisp4,1.0,30712,30712.0,30712.0,30712.0,30712.0,1
chr1-g182,chr1,18200000,18300000,0.36528,"Defb44-ps, Defb18, Defb41",3.0,"13512, 1075, 14161",14161.0,1075.0,9582.666666666666,13512.0,1
chr1-g183,chr1,18300000,18400000,0.37288,,,,,,,,1
chr1-g184,chr1,18400000,18500000,0.37481,,,,,,,,1
chr1-g185,chr1,18500000,18600000,0.3853999999999999,,,,,,,,1
chr1-g186,chr1,18600000,18700000,0.37639,,,,,,,,1
chr1-g187,chr1,18700000,18800000,0.38417,,,,,,,,1
chr1-g188,chr1,18800000,18900000,0.3785,,,,,,,,1
chr1-g189,chr1,18900000,19000000,0.38615,,,,,,,,1
chr1-g190,chr1,19000000,19100000,0.39044,Gm15825,1.0,41541,41541.0,41541.0,41541.0,41541.0,1
chr1-g191,chr1,19100000,19200000,0.39847,"Gm15825, Tfap2d",2.0,"41541, 65566",65566.0,41541.0,53553.5,53553.5,1
chr1-g192,chr1,19200000,19300000,0.40342,Tfap2b,1.0,29932,29932.0,29932.0,29932.0,29932.0,1
chr1-g193,chr1,19300000,19400000,0.398,,,,,,,,1
chr1-g194,chr1,19400000,19500000,0.38558,,,,,,,,1
chr1-g195,chr1,19500000,19600000,0.3795599999999999,,,,,,,,1
chr1-g196,chr1,19600000,19700000,0.3842,,,,,,,,1
chr1-g197,chr1,19700000,19800000,0.38554,,,,,,,,1
chr1-g198,chr1,19800000,19900000,0.38225,,,,,,,,1
chr1-g199,chr1,19900000,20000000,0.3929499999999999,,,,,,,,1
chr1-g200,chr1,20000000,20100000,0.3812299999999999,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1
chr1-g201,chr1,20100000,20200000,0.38693,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1
chr1-g202,chr1,20200000,20300000,0.38816,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1
chr1-g203,chr1,20300000,20400000,0.39544,"Pkhd1, 4930486I03Rik",2.0,"560279, 35847",560279.0,35847.0,298063.0,298063.0,1
chr1-g204,chr1,20400000,20500000,0.4069699999999999,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1
chr1-g205,chr1,20500000,20600000,0.4101499999999999,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1
chr1-g206,chr1,20600000,20700000,0.41132,"Pkhd1, Lincmd1, Mir206, Mir133b",4.0,"560279, 13077, 73, 119",560279.0,73.0,143387.0,6598.0,1
chr1-g207,chr1,20700000,20800000,0.4255299999999999,"Il17a, Il17f",2.0,"3592, 7125",7125.0,3592.0,5358.5,5358.5,1
chr1-g208,chr1,20800000,20900000,0.44387,"Mcm3, Paqr8, 6720483E21Rik",3.0,"17345, 49103, 1824",49103.0,1824.0,22757.33333333333,17345.0,1
chr1-g209,chr1,20900000,21000000,0.43552,"Paqr8, Efhc1",2.0,"49103, 39216",49103.0,39216.0,44159.5,44159.5,1
chr1-g210,chr1,21000000,21100000,0.46463,Tram2,1.0,77829,77829.0,77829.0,77829.0,77829.0,1
chr1-g211,chr1,21100000,21200000,0.42247,,,,,,,,1
chr1-g212,chr1,21200000,21300000,0.43642,"Tmem14a, Gsta3, Gm4956",3.0,"11593, 24991, 13067",24991.0,11593.0,16550.333333333332,13067.0,1
chr1-g213,chr1,21300000,21400000,0.4259099999999999,"Khdc1a, Khdc1c, Khdc1b, Kcnq5",4.0,"2523, 1413, 2829, 564252",564252.0,1413.0,142754.25,2676.0,1
chr1-g214,chr1,21400000,21500000,0.40386,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1
chr1-g215,chr1,21500000,21600000,0.39257,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1
chr1-g216,chr1,21600000,21700000,0.38203,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1
chr1-g217,chr1,21700000,21800000,0.37649,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1
chr1-g218,chr1,21800000,21900000,0.37671,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1
chr1-g219,chr1,21900000,22000000,0.39258,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1
chr1-g220,chr1,22000000,22100000,0.39389,,,,,,,,1
chr1-g221,chr1,22100000,22200000,0.39171,,,,,,,,1
chr1-g222,chr1,22200000,22300000,0.39882,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1
chr1-g223,chr1,22300000,22400000,0.38866,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1
chr1-g224,chr1,22400000,22500000,0.24433,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1
chr1-g225,chr1,22500000,22600000,0.38234,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1
chr1-g226,chr1,22600000,22700000,0.39161,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1
chr1-g227,chr1,22700000,22800000,0.3916199999999999,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1
chr1-g228,chr1,22800000,22900000,0.3937,"Rims1, Gm7759",2.0,"520031, 6695",520031.0,6695.0,263363.0,263363.0,1
chr1-g229,chr1,22900000,23000000,0.39512,Gm7759,1.0,6695,6695.0,6695.0,6695.0,6695.0,1
chr1-g230,chr1,23000000,23100000,0.39098,,,,,,,,1
chr1-g231,chr1,23100000,23200000,0.40798,Ppp1r14bl,1.0,1780,1780.0,1780.0,1780.0,1780.0,1
chr1-g232,chr1,23200000,23300000,0.38622,"Mir30a, Mir30c-2",2.0,"71, 84",84.0,71.0,77.5,77.5,1
chr1-g233,chr1,23300000,23400000,0.41833,Ogfrl1,1.0,16752,16752.0,16752.0,16752.0,16752.0,1
chr1-g234,chr1,23400000,23500000,0.39763,,,,,,,,1
chr1-g235,chr1,23500000,23600000,0.39765,Gm28822,1.0,22064,22064.0,22064.0,22064.0,22064.0,1
chr1-g236,chr1,23600000,23700000,0.41363,,,,,,,,1
chr1-g237,chr1,23700000,23800000,0.42733,B3gat2,1.0,85933,85933.0,85933.0,85933.0,85933.0,1
chr1-g238,chr1,23800000,23900000,0.40937,"B3gat2, Smap1",2.0,"85933, 76757",85933.0,76757.0,81345.0,81345.0,1
chr1-g239,chr1,23900000,24000000,0.42118,"Smap1, Sdhaf4",2.0,"76757, 9702",76757.0,9702.0,43229.5,43229.5,1
chr1-g240,chr1,24000000,24100000,0.38971,"Sdhaf4, Fam135a",2.0,"9702, 89584",89584.0,9702.0,49643.0,49643.0,1
chr1-g241,chr1,24100000,24200000,0.41076,"Fam135a, Col9a1",2.0,"89584, 75129",89584.0,75129.0,82356.5,82356.5,1
chr1-g242,chr1,24200000,24300000,0.40568,"Col9a1, Col19a1",2.0,"75129, 329755",329755.0,75129.0,202442.0,202442.0,1
chr1-g243,chr1,24300000,24400000,0.40327,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1
chr1-g244,chr1,24400000,24500000,0.3883,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1
chr1-g245,chr1,24500000,24600000,0.3908999999999999,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1
chr1-g246,chr1,24600000,24700000,0.4038899999999999,Lmbrd1,1.0,87758,87758.0,87758.0,87758.0,87758.0,1
chr1-g247,chr1,24700000,24800000,0.40641,Lmbrd1,1.0,87758,87758.0,87758.0,87758.0,87758.0,1
chr1-g248,chr1,24800000,24900000,0.39936,,,,,,,,1
chr1-g249,chr1,24900000,25000000,0.39268,,,,,,,,1
chr1-g250,chr1,25000000,25100000,0.39351,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g251,chr1,25100000,25200000,0.39332,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g252,chr1,25200000,25300000,0.37618,"Adgrb3, Gm20172",2.0,"762232, 1551",762232.0,1551.0,381891.5,381891.5,1
chr1-g253,chr1,25300000,25400000,0.37552,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g254,chr1,25400000,25500000,0.37911,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g255,chr1,25500000,25600000,0.3715599999999999,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g256,chr1,25600000,25700000,0.3713999999999999,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g257,chr1,25700000,25800000,0.36436,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g258,chr1,25800000,25900000,0.37866,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1
chr1-g259,chr1,25900000,26000000,0.3778,,,,,,,,1
chr1-g260,chr1,26000000,26100000,0.36881,,,,,,,,1
chr1-g261,chr1,26100000,26200000,0.36526,,,,,,,,1
chr1-g262,chr1,26200000,26300000,0.3725199999999999,,,,,,,,1
chr1-g263,chr1,26300000,26400000,0.37061,,,,,,,,1
chr1-g264,chr1,26400000,26500000,0.38615,,,,,,,,1
chr1-g265,chr1,26500000,26600000,0.37785,,,,,,,,1
chr1-g266,chr1,26600000,26700000,0.37415,4931408C20Rik,1.0,5660,5660.0,5660.0,5660.0,5660.0,1
chr1-g267,chr1,26700000,26800000,0.35282,,,,,,,,1
chr1-g268,chr1,26800000,26900000,0.36085,,,,,,,,1
chr1-g269,chr1,26900000,27000000,0.37343,,,,,,,,1
chr1-g270,chr1,27000000,27100000,0.36466,,,,,,,,1
chr1-g271,chr1,27100000,27200000,0.37965,,,,,,,,1
chr1-g272,chr1,27200000,27300000,0.3771799999999999,,,,,,,,1
chr1-g273,chr1,27300000,27400000,0.36017,,,,,,,,1
chr1-g274,chr1,27400000,27500000,0.36343,,,,,,,,1
chr1-g275,chr1,27500000,27600000,0.3641099999999999,,,,,,,,1
chr1-g276,chr1,27600000,27700000,0.34786,,,,,,,,1
chr1-g277,chr1,27700000,27800000,0.37405,,,,,,,,1
chr1-g278,chr1,27800000,27900000,0.35592,Gm5524,1.0,18142,18142.0,18142.0,18142.0,18142.0,1
chr1-g279,chr1,27900000,28000000,0.36667,Gm5524,1.0,18142,18142.0,18142.0,18142.0,18142.0,1
chr1-g280,chr1,28000000,28100000,0.36202,,,,,,,,1
chr1-g281,chr1,28100000,28200000,0.37304,,,,,,,,1
chr1-g282,chr1,28200000,28300000,0.35964,,,,,,,,1
chr1-g283,chr1,28300000,28400000,0.36229,,,,,,,,1
chr1-g284,chr1,28400000,28500000,0.3730799999999999,,,,,,,,1
chr1-g285,chr1,28500000,28600000,0.35163,,,,,,,,1
chr1-g286,chr1,28600000,28700000,0.3632599999999999,,,,,,,,1
chr1-g287,chr1,28700000,28800000,0.37159,Gm597,1.0,4131,4131.0,4131.0,4131.0,4131.0,1
chr1-g288,chr1,28800000,28900000,0.35421,,,,,,,,1
chr1-g289,chr1,28900000,29000000,0.34992,,,,,,,,1
chr1-g290,chr1,29000000,29100000,0.3563599999999999,,,,,,,,1
chr1-g291,chr1,29100000,29200000,0.35939,,,,,,,,1
chr1-g292,chr1,29200000,29300000,0.35041,,,,,,,,1
chr1-g293,chr1,29300000,29400000,0.36223,,,,,,,,1
chr1-g294,chr1,29400000,29500000,0.3736,Mir6342,1.0,125,125.0,125.0,125.0,125.0,1
chr1-g295,chr1,29500000,29600000,0.36568,,,,,,,,1
chr1-g296,chr1,29600000,29700000,0.39141,,,,,,,,1
chr1-g297,chr1,29700000,29800000,0.3711299999999999,,,,,,,,1
chr1-g298,chr1,29800000,29900000,0.3664,,,,,,,,1
chr1-g299,chr1,29900000,30000000,0.37783,,,,,,,,1
chr1-g300,chr1,30000000,30100000,0.38267,,,,,,,,1
