gene,gene_ID,chrom,strand,gene_start,gene_end,name
Col9a1,NM_007740,chr1,+,24177609,24252738,chr1-848
Col19a1,NM_007733,chr1,-,24257682,24587437,chr1-864
Lmbrd1,NM_026719,chr1,+,24678543,24766301,chr1-868
Adgrb3,NM_175642,chr1,-,25067475,25829707,chr1-914
Gm597,NM_001013750,chr1,-,28776121,28780252,chr1-1032
Phf3,NM_001081080,chr1,-,30802341,30863256,chr1-1115
Ptp4a1,NM_011200,chr1,-,30940302,30949755,chr1-1118
4931428L18Rik,NR_033445,chr1,-,31141077,31222656,chr1-1129
Gm4850,NR_015347,chr1,+,31264846,31268061,chr1-1131
Khdrbs2,NM_133235,chr1,+,32172721,32658569,chr1-1167
Prim2,NM_008922,chr1,-,33453807,33669794,chr1-1227
Rab23,NM_001159729,chr1,+,33720418,33742564,chr1-1229
Bag2,NM_145392,chr1,-,33745483,33757750,chr1-1231
Zfp451,NM_001290700,chr1,-,33801959,33814595,chr1-1233
Dst,NM_001276764,chr1,+,33908224,34308662,chr1-1237
Bend6,NM_001310484,chr1,-,33852051,33907767,chr1-1237
Imp4,NM_178601,chr1,+,34439828,34445747,chr1-1258
Ptpn18,NM_011206,chr1,+,34459745,34473779,chr1-1259
Prss39,NM_009355,chr1,+,34498411,34503062,chr1-1260
Cfc1,NM_007685,chr1,+,34535647,34544311,chr1-1262
Prss40,NM_009356,chr1,-,34552330,34560943,chr1-1263
Amer3,NM_213727,chr1,+,34579692,34590944,chr1-1264
Arhgef4,NM_001368773,chr1,+,34678181,34812738,chr1-1268
Plekhb2,NM_145516,chr1,+,34849958,34879585,chr1-1274
Fam168b,NM_174997,chr1,-,34813217,34843050,chr1-1274
Hs6st1,NM_015818,chr1,+,36068399,36106446,chr1-1323
Uggt1,NM_198899,chr1,-,36140027,36244302,chr1-1330
Neurl3,NM_153408,chr1,-,36264601,36273425,chr1-1331
Arid5a,NM_001290726,chr1,+,36307732,36324029,chr1-1333
Fer1l5,NM_001277076,chr1,+,36372189,36422110,chr1-1335
Kansl3,NM_001310513,chr1,-,36335729,36369181,chr1-1335
Lman2l,NM_001310517,chr1,-,36423185,36445271,chr1-1338
Cnnm4,NM_033570,chr1,+,36471596,36508776,chr1-1339
Cnnm3,NM_053186,chr1,+,36511866,36528236,chr1-1341
Ankrd39,NM_026241,chr1,-,36538170,36547252,chr1-1342
Sema4c,NM_001126047,chr1,-,36548638,36558381,chr1-1343
Fam178b,NM_001126046,chr1,-,36562695,36683183,chr1-1348
4933424G06Rik,NR_040290,chr1,+,36714537,36757960,chr1-1349
Actr1b,NM_146107,chr1,-,36699201,36709925,chr1-1349
Zap70,NM_009539,chr1,+,36761797,36782820,chr1-1351
Tmem131,NM_018872,chr1,-,36792188,36939527,chr1-1358
Vwa3b,NM_001370828,chr1,+,37029312,37187607,chr1-1362
Cnga3,NM_009918,chr1,+,37219204,37263384,chr1-1369
Inpp4a,NM_001290797,chr1,+,37299837,37410740,chr1-1372
Unc50,NM_026123,chr1,+,37430138,37438986,chr1-1378
Coa5,NM_198006,chr1,-,37417084,37430103,chr1-1378
Mgat4a,NM_173870,chr1,-,37439339,37541016,chr1-1382
2010300C02Rik,NM_028096,chr1,-,37611675,37719811,chr1-1389
Lipt1,NM_001037918,chr1,+,37872205,37876298,chr1-1395
Tsga10,NM_001290720,chr1,-,37760823,37865298,chr1-1395
Mrpl30,NM_027098,chr1,+,37890476,37898338,chr1-1396
Mitd1,NM_026913,chr1,-,37878887,37890411,chr1-1396
Lyg2,NM_001033427,chr1,-,37905922,37916493,chr1-1397
Lyg1,NM_027111,chr1,-,37946737,37957759,chr1-1399
Eif5b,NM_198303,chr1,+,37998009,38055579,chr1-1400
Txndc9,NM_172054,chr1,-,37983866,37997208,chr1-1400
Rev1,NM_001359288,chr1,-,38052785,38129666,chr1-1406
Aff3,NM_001290814,chr1,-,38175990,38627244,chr1-1426
Lonrf2,NM_001029878,chr1,-,38793668,38836687,chr1-1434
Chst10,NM_145142,chr1,-,38863872,38898160,chr1-1436
Nms,NM_001311788,chr1,+,38939148,38950276,chr1-1438
Pdcl3,NM_026850,chr1,+,38987813,38997236,chr1-1440
Npas2,NM_008719,chr1,+,39194271,39363240,chr1-1448
Rpl31,NM_001252219,chr1,+,39367850,39371910,chr1-1455
Tbc1d8,NM_001357521,chr1,-,39371495,39478755,chr1-1460
Cnot11,NM_028043,chr1,+,39535700,39546877,chr1-1462
Rnf149,NM_001033135,chr1,-,39551295,39577347,chr1-1464
Creg2,NM_170597,chr1,-,39618405,39651182,chr1-1467
Rfx8,NM_001145660,chr1,-,39665300,39720989,chr1-1469
Gm3646,NM_001177348,chr1,-,39804140,39805332,chr1-1473
1700066B17Rik,NR_040465,chr1,-,39842427,39847330,chr1-1474
Map4k4,NM_008696,chr1,+,39900912,40026310,chr1-1477
Il1r2,NM_001360800,chr1,+,40086092,40125230,chr1-1484
Il1r1,NM_008362,chr1,+,40225079,40316177,chr1-1490
Il1rl2,NM_133193,chr1,+,40324588,40367553,chr1-1493
Il1rl1,NM_001294171,chr1,+,40429569,40448411,chr1-1498
Il18r1,NM_001161842,chr1,+,40465551,40491578,chr1-1499
Il18rap,NM_010553,chr1,+,40515361,40551705,chr1-1501
Slc9a4,NM_177084,chr1,+,40580226,40630731,chr1-1504
Slc9a2,NM_001033289,chr1,+,40681711,40768885,chr1-1508
Mfsd9,NM_172499,chr1,-,40772039,40790657,chr1-1512
Tmem182,NM_001081198,chr1,+,40805600,40855267,chr1-1513
4930448I06Rik,NR_040475,chr1,-,41167559,41181252,chr1-1528
Pantr1,NR_027826,chr1,-,42648199,42694825,chr1-1588
Pantr2,NR_110495,chr1,-,42707062,42713454,chr1-1589
Mrps9,NM_023514,chr1,+,42851232,42905683,chr1-1595
Gpr45,NM_053107,chr1,+,42952871,43035449,chr1-1599
AI597479,NM_133818,chr1,+,43098709,43115946,chr1-1604
Tgfbrap1,NM_001013025,chr1,-,43047199,43098628,chr1-1604
Fhl2,NM_001289533,chr1,-,43123070,43196761,chr1-1608
Nck2,NM_010879,chr1,+,43445750,43570518,chr1-1618
Uxs1,NM_026430,chr1,-,43746960,43827839,chr1-1634
Tpp2,NM_009418,chr1,+,43933993,44003000,chr1-1638
Mettl21c,NM_001013799,chr1,-,44009407,44020006,chr1-1641
Bivm,NM_001357048,chr1,+,44119527,44144517,chr1-1645
Tex30,NM_029368,chr1,-,44086612,44102441,chr1-1645
Ercc5,NM_011729,chr1,+,44147743,44181260,chr1-1646
Mettl21e,NM_207281,chr1,-,44204069,44218931,chr1-1649
Gulp1,NM_028450,chr1,+,44551670,44796836,chr1-1663
Col3a1,NM_009930,chr1,+,45311537,45349706,chr1-1693
Col5a2,NM_007737,chr1,-,45374330,45503282,chr1-1701
Wdr75,NM_028599,chr1,+,45795165,45823638,chr1-1712
Slc40a1,NM_016917,chr1,-,45908069,45925594,chr1-1718
Stk-ps2,NR_037691,chr1,-,46020414,46030437,chr1-1722
Dnah7b,NM_001368717,chr1,+,46066852,46373546,chr1-1723
Dnah7c,NM_001310335,chr1,+,46425517,46807477,chr1-1738
Slc39a10,NM_001356417,chr1,-,46807543,46925776,chr1-1758
Tmeff2,NM_019790,chr1,+,50927522,51187270,chr1-1918
Cavin2,NM_138741,chr1,+,51289125,51302960,chr1-1932
9330175M20Rik,NR_045151,chr1,-,51218385,51333779,chr1-1934
Nabp1,NM_001310549,chr1,-,51469487,51478399,chr1-1940
Myo1b,NM_001161817,chr1,-,51749757,51915978,chr1-1957
Stat4,NM_001308266,chr1,+,51987147,52107189,chr1-1960
Stat1,NM_009283,chr1,+,52119437,52161865,chr1-1965
Gls,NM_001113383,chr1,-,52185280,52233232,chr1-1970
Nab1,NM_008667,chr1,-,52455848,52500448,chr1-1981
Nemp2,NM_001142647,chr1,+,52630704,52651919,chr1-1986
Mfsd6,NM_001357464,chr1,-,52656285,52727358,chr1-1990
Inpp1,NM_008384,chr1,-,52789419,52817688,chr1-1993
Hibch,NM_146108,chr1,+,52845037,52920986,chr1-1994
1700019D03Rik,NM_001368274,chr1,-,52922323,52992657,chr1-2000
Mstn,NM_010834,chr1,+,53061639,53068079,chr1-2003
1700019A02Rik,NM_027070,chr1,-,53158576,53187617,chr1-2008
Pms1,NM_153556,chr1,-,53189188,53297028,chr1-2012
Osgepl1,NM_001285839,chr1,+,53313623,53326342,chr1-2013
Dnah7a,NM_001252070,chr1,-,53397001,53706784,chr1-2029
Stk17b,NM_133810,chr1,-,53755511,53785215,chr1-2032
Hecw2,NM_172655,chr1,-,53930814,54195034,chr1-2048
Ccdc150,NM_030025,chr1,+,54250682,54368727,chr1-2051
Gtf3c3,NM_001033194,chr1,-,54395876,54439026,chr1-2058
Pgap1,NM_001163314,chr1,-,54472999,54557684,chr1-2063
Ankrd44,NM_001081433,chr1,-,54645339,54926387,chr1-2078
Sf3b1,NM_031179,chr1,-,54985169,55027478,chr1-2082
Coq10b,NM_026424,chr1,+,55052769,55072702,chr1-2083
Hspe1,NM_008303,chr1,+,55088147,55091317,chr1-2084
Hspd1,NM_001356512,chr1,-,55077832,55088243,chr1-2084
Mob4,NM_001310585,chr1,+,55131244,55154899,chr1-2086
Rftn2,NM_028713,chr1,-,55170159,55226782,chr1-2090
Boll,NM_029267,chr1,-,55299734,55363753,chr1-2095
Plcl1,NM_001114663,chr1,+,55405945,55754285,chr1-2097
9130227L01Rik,NR_045837,chr1,+,55931240,55972098,chr1-2118
Satb2,NM_001358580,chr1,-,56793980,56980248,chr1-2160
BC055402,NR_037990,chr1,-,57200644,57214996,chr1-2169
1700066M21Rik,NM_028546,chr1,+,57377619,57385422,chr1-2176
4930558J18Rik,NR_037999,chr1,-,57359221,57377544,chr1-2176
Maip1,NM_001081181,chr1,+,57406265,57417952,chr1-2177
Tyw5,NM_001302964,chr1,-,57388243,57406674,chr1-2177
Spats2l,NM_144882,chr1,+,57774860,57948397,chr1-2191
Kctd18,NM_001159864,chr1,-,57955100,57970084,chr1-2199
Sgo2a,NM_199007,chr1,+,57995973,58026277,chr1-2200
Aox1,NM_009676,chr1,+,58029968,58106410,chr1-2202
Aox3,NM_023617,chr1,+,58113135,58200452,chr1-2205
Aox4,NM_023631,chr1,+,58210396,58268596,chr1-2209
Aox2,NM_001008419,chr1,+,58278325,58379264,chr1-2212
Bzw1,NM_025824,chr1,+,58392897,58407354,chr1-2216
Clk1,NM_001042634,chr1,-,58411987,58424088,chr1-2217
Nif3l1,NM_022988,chr1,+,58445150,58462276,chr1-2218
Ppil3,NM_027351,chr1,-,58430992,58445486,chr1-2218
Orc2,NM_008765,chr1,-,58462770,58505109,chr1-2221
Ndufb3,NM_025597,chr1,+,58586396,58595964,chr1-2224
Fam126b,NM_001310598,chr1,-,58522805,58586333,chr1-2224
Cflar,NM_001293804,chr1,+,58711490,58758882,chr1-2229
Casp8,NM_009812,chr1,+,58795373,58847503,chr1-2232
Stradb,NM_172656,chr1,+,58973521,58995121,chr1-2239
Trak2,NM_172406,chr1,-,58900449,58973482,chr1-2239
C2cd6,NM_175200,chr1,-,59050505,59094900,chr1-2244
Tmem237,NM_001361413,chr1,-,59100583,59120408,chr1-2245
Mpp4,NM_001164682,chr1,-,59120934,59163389,chr1-2247
Als2,NM_146109,chr1,-,59191622,59237231,chr1-2250
Cdk15,NM_001033373,chr1,+,59256905,59352496,chr1-2251
Gm973,NM_001357842,chr1,+,59524293,59636416,chr1-2261
Sumo1,NM_009460,chr1,-,59639433,59670834,chr1-2267
Nop58,NM_018868,chr1,+,59685005,59711510,chr1-2268
Bmpr2,NM_007561,chr1,+,59764278,59878081,chr1-2271
Fam117b,NM_001037725,chr1,+,59913005,59985348,chr1-2277
Ica1l,NM_027407,chr1,-,59989067,60043122,chr1-2282
Carf,NM_001285463,chr1,+,60098246,60153953,chr1-2284
Wdr12,NM_001199060,chr1,-,60076867,60098500,chr1-2284
Nbeal1,NM_173444,chr1,+,60180598,60334705,chr1-2288
Cyp20a1,NM_030013,chr1,+,60343299,60388060,chr1-2294
Abi2,NM_198127,chr1,+,60409618,60481163,chr1-2297
Raph1,NM_001045513,chr1,-,60483184,60566765,chr1-2303
Cd28,NM_007642,chr1,+,60746387,60773359,chr1-2310
Ctla4,NM_001281976,chr1,+,60909024,60915832,chr1-2317
Icos,NM_017480,chr1,+,60977913,61000321,chr1-2320
9530026F06Rik,NR_040483,chr1,+,61378431,61395904,chr1-2336
Pard3b,NM_001081050,chr1,+,61638823,62642284,chr1-2346
Nrp2,NM_010939,chr1,+,62703316,62818692,chr1-2389
Ino80dos,NR_045915,chr1,+,63114470,63158295,chr1-2405
Ino80d,NM_001114609,chr1,-,63047800,63114267,chr1-2405
Eef1b2,NM_018796,chr1,+,63176830,63180486,chr1-2408
Ndufs1,NM_145518,chr1,-,63143591,63176822,chr1-2408
Zdbf2,NM_001285936,chr1,+,63200357,63314575,chr1-2409
Gpr1,NM_146250,chr1,-,63182570,63214281,chr1-2409
Adam23,NM_011780,chr1,+,63445890,63596101,chr1-2418
Gm39653,NM_001370842,chr1,+,63615967,63620821,chr1-2425
Dytn,NM_001081658,chr1,-,63622850,63686927,chr1-2428
Fastkd2,NM_172422,chr1,+,63730624,63753385,chr1-2430
Mdh1b,NM_029696,chr1,-,63698826,63730318,chr1-2430
4933402D24Rik,NM_001256158,chr1,-,63754908,63769267,chr1-2431
Gm13749,NR_027824,chr1,+,63964726,63968999,chr1-2439
Klf7,NM_033563,chr1,-,64035670,64121389,chr1-2445
Creb1,NM_009952,chr1,+,64532803,64604548,chr1-2462
Mettl21a,NM_001368284,chr1,-,64606472,64617764,chr1-2465
Ccnyl1,NM_001097644,chr1,+,64691344,64725642,chr1-2468
2810408I11Rik,NR_038009,chr1,-,64679868,64690659,chr1-2468
Plekhm3,NM_001039493,chr1,-,64789120,64956824,chr1-2479
Akr1cl,NM_001310617,chr1,-,65013077,65032759,chr1-2482
Crygc,NM_007775,chr1,-,65071524,65073532,chr1-2483
Cryge,NM_007777,chr1,-,65048556,65051163,chr1-2483
Crygb,NM_144761,chr1,-,65080221,65082290,chr1-2484
D630023F18Rik,NM_001285881,chr1,-,65107312,65123214,chr1-2485
Pikfyve,NM_001310624,chr1,+,65186684,65278696,chr1-2488
Idh1,NM_001111320,chr1,-,65158615,65186479,chr1-2488
Pth2r,NM_139270,chr1,+,65311256,65389244,chr1-2493
Crygf,NM_027010,chr1,+,65926521,65928311,chr1-2518
Map2,NM_008632,chr1,+,66175328,66442583,chr1-2528
Unc80,NM_175510,chr1,+,66467933,66699150,chr1-2539
Rpe,NM_001310644,chr1,+,66700830,66719805,chr1-2549
Kansl1l,NM_001357156,chr1,-,66719247,66817595,chr1-2553
Acadl,NM_007381,chr1,-,66830838,66863309,chr1-2555
Myl1,NM_021285,chr1,-,66924295,66945056,chr1-2558
Lancl1,NM_001190985,chr1,-,67000516,67038872,chr1-2562
Cps1,NM_001080809,chr1,+,67123026,67231267,chr1-2565
Erbb4,NM_010154,chr1,-,68032186,69108059,chr1-2645
Ikzf2,NM_011770,chr1,-,69531209,69685960,chr1-2668
Spag16,NM_001271533,chr1,+,69826969,69926250,chr1-2674
Vwc2l,NM_001310658,chr1,+,70725714,70885381,chr1-2710
Bard1,NM_007525,chr1,-,71027534,71102972,chr1-2725
Abca12,NM_175210,chr1,-,71243089,71414910,chr1-2737
Atic,NM_026195,chr1,+,71557155,71579403,chr1-2743
Apol7d,NR_040308,chr1,+,71653334,71662843,chr1-2747
Fn1,NM_001276413,chr1,-,71585472,71653234,chr1-2747
Gm8883,NR_027659,chr1,+,71888111,71891204,chr1-2756
4933417E11Rik,NR_040454,chr1,-,71958997,72005195,chr1-2761
Mreg,NM_001357488,chr1,-,72159232,72212314,chr1-2769
Tmem169,NM_175564,chr1,+,72284372,72302995,chr1-2772
Pecr,NM_001356516,chr1,-,72259172,72284321,chr1-2772
Xrcc5,NM_001357519,chr1,+,72307420,72394953,chr1-2773
Marchf4,NM_001045533,chr1,-,72427111,72537159,chr1-2782
Smarcal1,NM_018817,chr1,+,72583250,72636790,chr1-2784
Rpl37a,NM_009084,chr1,+,72711259,72713813,chr1-2789
Ankar,NM_001347063,chr1,-,72642979,72700579,chr1-2789
Igfbp2,NM_008342,chr1,+,72824479,72852471,chr1-2793
Igfbp5,NM_010518,chr1,-,72858064,72874865,chr1-2795
1700027A15Rik,NR_038002,chr1,+,73024585,73025508,chr1-2801
D530049I02Rik,NR_040605,chr1,+,73398967,73430779,chr1-2816
Pinc,NR_003202,chr1,-,73391384,73407569,chr1-2817
6030407O03Rik,NR_045311,chr1,-,73618380,73864466,chr1-2835
Tns1,NM_001289895,chr1,-,73910231,74124548,chr1-2845
Rufy4,NM_001170641,chr1,+,74125540,74148230,chr1-2846
Cxcr2,NM_009909,chr1,+,74153993,74161246,chr1-2847
Cxcr1,NM_178241,chr1,-,74191785,74194631,chr1-2848
Arpc2,NM_001357387,chr1,+,74236516,74268209,chr1-2850
Pnkd,NM_001039509,chr1,+,74285033,74353692,chr1-2852
Aamp,NM_001190444,chr1,-,74279839,74284738,chr1-2852
Catip,NM_001033345,chr1,+,74362107,74369321,chr1-2855
Slc11a1,NM_013612,chr1,+,74375202,74386051,chr1-2856
Ctdsp1,NM_153088,chr1,+,74391608,74397285,chr1-2856
Vil1,NM_009509,chr1,+,74409383,74435560,chr1-2857
Plcd4,NM_001081456,chr1,+,74542888,74565977,chr1-2862
Usp37,NM_176972,chr1,-,74435509,74544286,chr1-2862
Bcs1l,NM_001305652,chr1,+,74588288,74592443,chr1-2864
Zfp142,NM_001310668,chr1,-,74566425,74588028,chr1-2864
Stk36,NM_175031,chr1,+,74601454,74636893,chr1-2865
Rnf25,NM_001305230,chr1,-,74593747,74601397,chr1-2865
Ttll4,NM_001014974,chr1,+,74661701,74701832,chr1-2867
Cyp27a1,NM_024264,chr1,+,74713534,74737897,chr1-2869
Prkag3,NM_153744,chr1,-,74738921,74748955,chr1-2870
Wnt6,NM_009526,chr1,+,74771891,74785319,chr1-2871
Wnt10a,NM_009518,chr1,+,74792018,74804175,chr1-2872
Cryba2,NM_021541,chr1,-,74889933,74893143,chr1-2876
Fev,NM_153111,chr1,-,74881508,74885408,chr1-2876
Cfap65,NM_001039495,chr1,-,74902079,74935599,chr1-2878
Ihh,NM_010544,chr1,-,74945314,74951672,chr1-2879
Nhej1,NM_029342,chr1,-,74967345,75046639,chr1-2882
Retreg2,NM_001305232,chr1,+,75143157,75147909,chr1-2885
Cnppd1,NM_026977,chr1,-,75135761,75142711,chr1-2885
Slc23a3,NM_194333,chr1,-,75125541,75133890,chr1-2885
Zfand2b,NM_026846,chr1,+,75168734,75171626,chr1-2886
Abcb6,NM_023732,chr1,-,75171640,75180392,chr1-2887
Atg9a,NR_109938,chr1,-,75180860,75192010,chr1-2887
Tuba4a,NM_001313724,chr1,-,75214971,75219294,chr1-2888
Glb1l,NM_029010,chr1,-,75198234,75210778,chr1-2888
Dnajb2,NM_001159884,chr1,+,75236422,75245692,chr1-2889
A630095N17Rik,NM_001243090,chr1,-,75220094,75232093,chr1-2889
Ptprn,NM_008985,chr1,-,75247040,75264208,chr1-2890
Resp18,NR_138251,chr1,-,75272196,75278415,chr1-2891
Dnpep,NM_001110831,chr1,-,75308564,75317637,chr1-2892
Des,NM_010043,chr1,+,75360291,75368579,chr1-2894
Speg,NM_007463,chr1,+,75375296,75432306,chr1-2895
Gm15179,NR_037976,chr1,-,75368209,75375015,chr1-2895
Gmppa,NM_001357170,chr1,+,75435935,75443179,chr1-2897
Asic4,NM_183022,chr1,+,75450509,75474340,chr1-2898
Chpf,NM_001001565,chr1,-,75474568,75479471,chr1-2899
Stk11ip,NM_027886,chr1,+,75521528,75537335,chr1-2900
Inha,NM_001329843,chr1,+,75507608,75510366,chr1-2900
Obsl1,NM_178884,chr1,-,75485824,75506452,chr1-2900
Slc4a3,NM_009208,chr1,+,75546265,75559431,chr1-2901
Gm17751,NR_038012,chr1,+,76489132,76502028,chr1-2939
Epha4,NM_007936,chr1,-,77367184,77515088,chr1-2980
Pax3,NM_001159520,chr1,-,78101266,78197136,chr1-3007
Sgpp2,NM_001004173,chr1,+,78310345,78420286,chr1-3012
Farsb,NM_011811,chr1,-,78424744,78488897,chr1-3019
Mogat1,NM_026713,chr1,+,78511059,78538173,chr1-3020
Acsl3,NM_001136222,chr1,+,78657824,78707743,chr1-3026
Scg2,NM_009129,chr1,-,79434367,79440026,chr1-3057
Ap1s3,NM_183027,chr1,-,79606875,79671972,chr1-3066
Wdfy1,NM_027057,chr1,-,79726402,79761769,chr1-3070
Mrpl44,NM_001081210,chr1,+,79776017,79781445,chr1-3071
Serpine2,NM_009255,chr1,-,79794320,79858665,chr1-3074
Fam124b,NM_173425,chr1,-,80198698,80213944,chr1-3088
Cul3,NM_016716,chr1,-,80264922,80340690,chr1-3093
1700016L21Rik,NR_040460,chr1,+,80445931,80475660,chr1-3097
Dock10,NM_175291,chr1,-,80501067,80758553,chr1-3110
Nyap2,NM_001356398,chr1,+,81077203,81300096,chr1-3123
Irs1,NM_010570,chr1,-,82233104,82291439,chr1-3171
Rhbdd1,NM_029777,chr1,+,82316578,82445367,chr1-3172
Col4a3,NM_007734,chr1,+,82586920,82722059,chr1-3183
Col4a4,NM_007735,chr1,-,82450722,82586849,chr1-3183
Mff,NM_001310699,chr1,+,82724889,82752389,chr1-3188
Tm4sf20,NM_025453,chr1,-,82756646,82768461,chr1-3190
Agfg1,NM_010472,chr1,+,82839459,82901001,chr1-3193
Slc19a3,NM_030556,chr1,-,83012522,83038448,chr1-3201
Ccl20,NM_016960,chr1,+,83116765,83119167,chr1-3204
Daw1,NR_027636,chr1,+,83159761,83210572,chr1-3206
Sphkap,NM_172430,chr1,-,83255443,83408200,chr1-3216
Pid1,NM_001003948,chr1,-,84036292,84284645,chr1-3251
Dner,NM_152915,chr1,-,84369838,84696221,chr1-3267
Fbxo36,NM_025386,chr1,+,84839840,84900486,chr1-3273
Trip12,NM_133975,chr1,-,84721188,84839304,chr1-3273
Slc16a14,NM_027921,chr1,-,84906704,84935083,chr1-3277
Sp100,NM_001313714,chr1,+,85649987,85683118,chr1-3302
A630001G21Rik,NM_177055,chr1,-,85717082,85736606,chr1-3306
9930111H07Rik,NR_108086,chr1,+,85775270,85784694,chr1-3308
Cab39,NM_001355046,chr1,+,85793440,85851577,chr1-3308
Itm2c,NM_022417,chr1,+,85894509,85908698,chr1-3312
