,paint,chrom,prefix,gene,Atp,BC,Ccdc,Cd,Cyp,Eif,Fam,Gm,Gpr,Il,Krt,Krtap,Lrrc,Mir,Olfr,Ppp,Rab,Rnf,Rpl,Slc,Snord,Tmem,Trim,Usp,Vmn,Wdr,Zfp,Rhox,Skint,Dnah
21,22,chr1,"AA,Amer,Arhgef,Cfc,Fam,Plekhb,Prss","AA619741,Amer3,Arhgef4,Cfc1,Fam168b,Plekhb2,Prss39,Prss40",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,chr1,",Actr,Ankrd,Arid,Cnga,Cnnm,Coa,Cox,Fam,Fer,Hs,Inpp,Kansl,Lman,Mgat,Mir,Neurl,Sema,Tmem,Uggt,Unc,Vwa,Zap","4930594C11Rik,4933424G06Rik,Actr1b,Ankrd23,Ankrd39,Arid5a,Cnga3,Cnnm3,Cnnm4,Coa5,Cox5b,Fam178b,Fer1l5,Hs6st1,Inpp4a,Kansl3,Lman2l,Mgat4a,Mir6897,Mir6898,Neurl3,Sema4c,Tmem131,Uggt1,Unc50,Vwa3b,Zap70",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,24,chr1,",Aff,Chst,Eif,Gm,Lipt,Lonrf,Lyg,Mgat,Mitd,Mrpl,Nms,Pdcl,Rev,Tsga,Txndc","2010300C02Rik,Aff3,Chst10,Eif5b,Gm5099,Lipt1,Lonrf2,Lyg1,Lyg2,Mgat4a,Mitd1,Mrpl30,Nms,Pdcl3,Rev1,Tsga10,Txndc9",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,chr1,",Cnot,Creg,Gm,Il,Map,Mir,Npas,Rfx,Rnf,Rpl,Snord,Tbc","1700066B17Rik,Cnot11,Creg2,Gm16894,Gm3646,Il18r1,Il1r1,Il1r2,Il1rl1,Il1rl2,Map4k4,Mir6349,Npas2,Rfx8,Rnf149,Rpl31,Snord89,Tbc1d8",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
25,26,chr1,",Il,Mfsd,Slc,Tmem","4930448I06Rik,Il18rap,Mfsd9,Slc9a2,Slc9a4,Tmem182",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
26,27,chr1,",AI,Dalir,Fhl,Gpr,Mrps,Nck,Pantr,Pou,Tgfbrap","2900092D14Rik,AI597479,Dalir,Fhl2,Gpr45,Mrps9,Nck2,Pantr1,Pantr2,Pou3f3,Tgfbrap1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,chr1,",Bivm,Ecrg,Ercc,Gulp,Mettl,Nck,Poglut,Tex,Tpp,Uxs","4930521E06Rik,Bivm,Ecrg4,Ercc5,Gulp1,Mettl21c,Mettl21e,Nck2,Poglut2,Tex30,Tpp2,Uxs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,chr1,"Col,Dnah,Slc,Stk-ps,Wdr","Col3a1,Col5a2,Dnah7b,Dnah7c,Slc40a1,Stk-ps2,Wdr75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
29,30,chr1,"Dnah,Mir,Slc","Dnah7c,Mir6350,Slc39a10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,31,chr1,C,C230029F24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,chr1,Tmeff,Tmeff2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,33,chr1,",Cavin,Gls,Gm,Myo,Nab,Nabp,Stat,Tmeff","9330175M20Rik,Cavin2,Gls,Gm17767,Myo1b,Nab1,Nabp1,Stat1,Stat4,Tmeff2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,chr1,",Asdurf,Asnsd,Dnah,Gm,Hecw,Hibch,Inpp,Mfsd,Mir,Mstn,Nab,Nemp,Ormdl,Osgepl,Pms,Stk","1700019A02Rik,1700019D03Rik,Asdurf,Asnsd1,Dnah7a,Gm28178,Hecw2,Hibch,Inpp1,Mfsd6,Mir7681,Mstn,Nab1,Nemp2,Ormdl1,Osgepl1,Pms1,Stk17b",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,35,chr1,"Ankrd,Boll,Ccdc,Coq,Gtf,Hecw,Hspd,Hspe,Mars,Mob,Pgap,Plcl,Rftn,Sf","Ankrd44,Boll,Ccdc150,Coq10b,Gtf3c3,Hecw2,Hspd1,Hspe1,Mars2,Mob4,Pgap1,Plcl1,Rftn2,Sf3b1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,chr1,",Hsfy,Plcl,Satb","1700003I22Rik,9130024F11Rik,9130227L01Rik,Hsfy2,Plcl1,Satb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,chr1,",Aox,BC,Bzw,Clk,Kctd,Maip,Nif,Orc,Ppil,Sgo,Spats,Tyw","1700066M21Rik,4930558J18Rik,Aox1,Aox2,Aox3,Aox4,BC055402,Bzw1,Clk1,Kctd18,Maip1,Nif3l1,Orc2,Ppil3,Sgo2a,Spats2l,Tyw5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,chr1,"Als,Bmpr,C,Casp,Cdk,Cflar,Fam,Flacc,Fzd,Gm,Ica,Mpp,Ndufb,Nop,Orc,Snord,Stradb,Sumo,Tmem,Trak","Als2,Bmpr2,C2cd6,Casp8,Cdk15,Cflar,Fam117b,Fam126b,Flacc1,Fzd7,Gm20257,Gm973,Ica1l,Mpp4,Ndufb3,Nop58,Orc2,Snord11,Snord70,Stradb,Sumo1,Tmem237,Trak2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
38,39,chr1,",Abi,Carf,Cd,Ctla,Cyp,Ica,Icos,Nbeal,Raph,Wdr","9530026F06Rik,Abi2,Carf,Cd28,Ctla4,Cyp20a1,Ica1l,Icos,Nbeal1,Raph1,Wdr12",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,40,chr1,",Nrp,Pard","4930487H11Rik,Nrp2,Pard3b,Pard3bos2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,chr1,",Adam,Dytn,Eef,Fastkd,Gm,Gpr,Ino,Klf,Mdh,Mir,Ndufs,Snora,Zdbf","4933402D24Rik,Adam23,Dytn,Eef1b2,Fastkd2,Gm13749,Gm39653,Gpr1,Ino80d,Ino80dos,Klf7,Mdh1b,Mir6899,Ndufs1,Snora41,Zdbf2",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,chr1,",Akr,Ccnyl,Creb,Cryga,Crygb,Crygc,Crygd,Cryge,Crygf,D,Fzd,Idh,Mettl,Pikfyve,Plekhm,Pth","2810408I11Rik,Akr1cl,Ccnyl1,Creb1,Cryga,Crygb,Crygc,Crygd,Cryge,Crygf,D630023F18Rik,Fzd5,Idh1,Mettl21a,Pikfyve,Plekhm3,Pth2r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,chr1,"Acadl,Cps,Kansl,Lancl,Map,Myl,Rpe,Unc","Acadl,Cps1,Kansl1l,Lancl1,Map2,Myl1,Rpe,Unc80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,chr1,Erbb,Erbb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,chr1,"Erbb,Ikzf,Spag","Erbb4,Ikzf2,Spag16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,chr1,",Abca,Apol,Atic,Bard,Fn,Gm,Vwc","4933417E11Rik,Abca12,Apol7d,Atic,Bard1,Fn1,Gm8883,Vwc2l",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,chr1,",Ankar,D,Igfbp,March,Mreg,Pecr,Pinc,Rpl,Smarcal,Tmem,Tnp,Xrcc","1700027A15Rik,4933417E11Rik,Ankar,D230017M19Rik,D530049I02Rik,Igfbp2,Igfbp5,March4,Mreg,Pecr,Pinc,Rpl37a,Smarcal1,Tmem169,Tnp1,Xrcc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
47,48,chr1,",Aamp,Arpc,Bcs,Catip,Cdk,Cfap,Cnot,Cryba,Ctdsp,Cxcr,Cyp,Fev,Gm,Gpbar,Ihh,Mir,Nhej,Plcd,Pnkd,Prkag,Rnf,Rufy,Slc,Stk,Tmbim,Tns,Ttll,Usp,Vil,Wnt,Zfp","6030407O03Rik,Aamp,Arpc2,Bcs1l,Catip,Cdk5r2,Cfap65,Cnot9,Cryba2,Ctdsp1,Cxcr1,Cxcr2,Cyp27a1,Fev,Gm16582,Gpbar1,Ihh,Mir1928,Mir26b,Mir375,Mir6351,Nhej1,Plcd4,Pnkd,Prkag3,Rnf25,Rufy4,Slc11a1,Stk36,Tmbim1,Tns1,Ttll4,Usp37,Vil1,Wnt10a,Wnt6,Zfp142",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
48,49,chr1,"A,Abcb,Ankzf,Asic,Atg,Chpf,Cnppd,Des,Dnajb,Dnpep,Glb,Gm,Gmppa,Inha,Mir,Nhej,Obsl,Ptprn,Resp,Retreg,Slc,Speg,Stk,Tmem,Tuba,Zfand","A630095N17Rik,Abcb6,Ankzf1,Asic4,Atg9a,Chpf,Cnppd1,Des,Dnajb2,Dnpep,Glb1l,Gm15179,Gm17751,Gmppa,Inha,Mir6343,Nhej1,Obsl1,Ptprn,Resp18,Retreg2,Slc23a3,Slc4a3,Speg,Stk11ip,Stk16,Tmem198,Tuba4a,Zfand2b",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
49,50,chr1,"Epha,Mir","Epha4,Mir6352",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51,chr1,"Acsl,Farsb,Gm,Kcne,Mogat,Pax,Scg,Sgpp,Utp","Acsl3,Farsb,Gm29536,Kcne4,Mogat1,Pax3,Scg2,Sgpp2,Utp14b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,52,chr1,",Ap,Cul,Dock,Fam,Mrpl,Serpine,Wdfy","1700016L21Rik,Ap1s3,Cul3,Dock10,Fam124b,Mrpl44,Serpine2,Wdfy1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,chr1,"Col,Irs,Mir,Nyap,Rhbdd","Col4a4,Irs1,Mir6344,Nyap2,Rhbdd1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,chr1,"Agfg,Ccl,Col,Daw,Krtap,Mff,Slc,Sphkap,Tm","Agfg1,Ccl20,Col4a3,Col4a4,Daw1,Krtap28-13,Mff,Slc19a3,Sphkap,Tm4sf20",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,55,chr1,"Dner,Fbxo,Mir,Pid,Slc,Trip","Dner,Fbxo36,Mir5126,Mir6353,Pid1,Slc16a14,Trip12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,56,chr1,",A,Akp,Alpi,Alppl,Armc,B,C,Cab,Cops,Dis,Ecel,Gm,Gpr,Htr,Itm,Mir,Ncl,Nmur,Nppc,Pde,Psmd,Ptma,Snora,Snord,Sp,Spata,Tex","2810459M11Rik,4933407L21Rik,9930111H07Rik,A630001G21Rik,Akp3,Alpi,Alppl2,Armc9,B3gnt7,C130036L24Rik,Cab39,Cops7b,Dis3l2,Ecel1,Gm24148,Gm28626,Gpr55,Htr2b,Itm2c,Mir8096,Ncl,Nmur1,Nppc,Pde6d,Psmd1,Ptma,Snora75,Snord82,Sp100,Spata3,Tex44",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,57,chr1,",A,Atg,Chrnd,Chrng,Dgkd,Dnajb,Ecel,Efhd,Eif,Gigyf,Glrp,Gm,Hjurp,Inpp,Kcnj,Mroh,Neu,Ngef,Prss,Sag,Scarna,Snorc,Spp,Trpm,Ugt,Usp","6430706D22Rik,A730008H23Rik,Atg16l1,Chrnd,Chrng,Dgkd,Dnajb3,Ecel1,Efhd1,Eif4e2,Gigyf2,Glrp1,Gm19582,Gm19589,Gm33517,Hjurp,Inpp5d,Kcnj13,Mroh2a,Neu2,Ngef,Prss56,Sag,Scarna6,Snorc,Spp2,Trpm8,Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a9,Usp40",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,58,chr1,",Agap,Arl,Asb,C,Gbx,Iqca,Platr,Sh","1700067G17Rik,4933400F21Rik,Agap1,Arl4c,Asb18,C030007H22Rik,Gbx2,Iqca,Platr5,Sh3bp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,59,chr1,",Ackr,Asb,Col,Cops,Erfe,Espnl,Hes,Ilkap,Iqca,Klhl,Lrrfip,Mlph,Per,Prlh,Rab,Ramp,Rbm,Scly,Traf,Ube","1700020N18Rik,Ackr3,Asb1,Col6a3,Cops8,Erfe,Espnl,Hes6,Ilkap,Iqca,Klhl30,Lrrfip1,Mlph,Per2,Prlh,Rab17,Ramp1,Rbm44,Scly,Traf3ip1,Ube2f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,60,chr1,",Agxt,Ankmy,Aqp,Capn,Cops,Dusp,Gpc,Gpr,Hdac,Kif,Mir,Ndufa,Olfr,Otos,Rnpepl,Twist","5033417F24Rik,9430060I03Rik,Agxt,Ankmy1,Aqp12,Capn10,Cops9,Dusp28,Gpc1,Gpr35,Hdac4,Kif1a,Mir149,Mir6900,Ndufa10,Olfr12,Olfr1410,Olfr1411,Olfr1412,Olfr1413,Olfr1414,Olfr1415,Olfr1416,Otos,Rnpepl1,Twist2",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,chr1,"Ano,Atg,Bok,Crocc,D,Dtymk,Farp,Gal,Gm,Hdlbp,Ing,Mab,Mir,Mterf,Neu,Pask,Pdcd,Ppp,Sept,Sned,Stk,Thap","Ano7,Atg4b,Bok,Crocc2,D2hgdh,Dtymk,Farp2,Gal3st2,Gal3st2b,Gal3st2c,Gm28535,Hdlbp,Ing5,Mab21l4,Mir6345,Mir6901,Mir6902,Mterf4,Neu4,Pask,Pdcd1,Ppp1r7,Sept2,Sned1,Stk25,Thap4",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62,chr1,",Fam,St","1700063A18Rik,4930440C22Rik,4930598F16Rik,Fam174a,St8sia4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,chr1,",D,Panct,Slco","4930533P14Rik,D1Ertd622e,Panct2,Slco4c1,Slco6b1,Slco6c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,64,chr1,",B,D,Gin,Gm,Pam,Ppip,Slco","1810006J02Rik,B230216N24Rik,D1Ertd622e,Gin1,Gm29461,Pam,Ppip5k2,Slco6d1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,65,chr1,Cntnap,Cntnap5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,66,chr1,Gm,Gm20268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,68,chr1,Cdh,Cdh20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,69,chr1,"Bcl,Gm,Mir,Phlpp,Pign,Relch,Rnf,Tnfrsf,Zcchc","Bcl2,Gm17634,Gm20753,Gm7160,Mir3473f,Phlpp1,Pign,Relch,Rnf152,Tnfrsf11a,Zcchc2",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,70,chr1,"Bcl,D,Kdsr,Serpinb,Vps","Bcl2,D830032E09Rik,Kdsr,Serpinb10,Serpinb11,Serpinb12,Serpinb13,Serpinb2,Serpinb3a,Serpinb3b,Serpinb3c,Serpinb3d,Serpinb5,Serpinb7,Serpinb8,Vps4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,72,chr1,Cdh,"Cdh19,Cdh7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,73,chr1,"Dsel,Gm","Dsel,Gm32810",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,76,chr1,Cntnap,Cntnap5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,77,chr1,",B,Clasp,Nifk,Tfcp,Tsn","2900060B14Rik,B020011L13Rik,Clasp1,Nifk,Tfcp2l1,Tsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,78,chr1,",Cfap,Dbi,Epb,Gli,Inhbb,Mir,Ptpn,Ralb,Sctr,Steap,Tmem","3110009E18Rik,3830432H09Rik,Cfap221,Dbi,Epb41l5,Gli2,Inhbb,Mir6346,Ptpn4,Ralb,Sctr,Steap3,Tmem177,Tmem185b,Tmem37",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,79,chr1,"C,Ccdc,Celrr,Ddx,En,Htr,Insig,Marco,Steap","C1ql2,Ccdc93,Celrr,Ddx18,En1,Htr5b,Insig2,Marco,Steap3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,80,chr1,Gm,Gm28590,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,81,chr1,Dpp,Dpp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,82,chr1,"Actr,Gpr,Lypd,Nckap,Slc","Actr3,Gpr39,Lypd1,Nckap5,Slc35f5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,83,chr1,"Acmsd,Mgat,Nckap,Tmem","Acmsd,Mgat5,Nckap5,Tmem163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,84,chr1,",Acmsd,Ccnt,Cxcr,Dars,Lct,Map,Mcm,Mir,R,Rab,Ubxn,Zranb","2900009J06Rik,Acmsd,Ccnt2,Cxcr4,Dars,Lct,Map3k19,Mcm6,Mir128-1,R3hdm1,Rab3gap1,Ubxn4,Zranb3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,85,chr1,"AA,C,Cd,Pfkfb,Thsd,Yod,Zp","AA986860,C4bp,C4bp-ps1,Cd55,Cd55b,Cd55os,Pfkfb2,Thsd7b,Yod1,Zp3r",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
