200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,MLI1_pol_ass,MLI1_spk_ass,Bergmann_pol_ass,Bergmann_spk_ass
chr1-g53,chr1,10600000,10800000,0.40059,"Cpa6, Mir467e",2.0,"395227, 157488",395227.0,157488.0,276357.5,276357.5,1,0,0,0,0
chr1-g54,chr1,10800000,11000000,0.40343,"Mir467e, Prex2",2.0,"157488, 310218",310218.0,157488.0,233853.0,233853.0,1,0,0,1,0
chr1-g55,chr1,11000000,11200000,0.39033,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,0,0,1,0
chr1-g56,chr1,11200000,11400000,0.3876349999999999,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,0,0,1,0
chr1-g57,chr1,11400000,11600000,0.386425,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0
chr1-g58,chr1,11600000,11800000,0.390115,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0
chr1-g59,chr1,11800000,12000000,0.38334,,,,,,,,1,0,0,0,0
chr1-g60,chr1,12000000,12200000,0.3890149999999999,,,,,,,,1,0,0,0,0
chr1-g61,chr1,12200000,12400000,0.388975,,,,,,,,1,0,0,0,0
chr1-g62,chr1,12400000,12600000,0.400605,Mir6341,1.0,121,121.0,121.0,121.0,121.0,1,0,0,0,0
chr1-g63,chr1,12600000,12800000,0.4185499999999999,"Gm17644, Sulf1",2.0,"5528, 167943",167943.0,5528.0,86735.5,86735.5,1,0,0,1,0
chr1-g64,chr1,12800000,13000000,0.43009,"Sulf1, Slco5a1",2.0,"167943, 124586",167943.0,124586.0,146264.5,146264.5,1,0,0,0,0
chr1-g65,chr1,13000000,13200000,0.448655,"Prdm14, Ncoa2",2.0,"13736, 234979",234979.0,13736.0,124357.5,124357.5,1,0,0,0,0
chr1-g66,chr1,13200000,13400000,0.437535,Ncoa2,1.0,234979,234979.0,234979.0,234979.0,234979.0,1,0,0,0,0
chr1-g67,chr1,13400000,13600000,0.432875,Tram1,1.0,25218,25218.0,25218.0,25218.0,25218.0,1,0,0,0,0
chr1-g68,chr1,13600000,13800000,0.4157,"Lactb2, Xkr9, Gm5523",3.0,"34610, 32953, 1245",34610.0,1245.0,22936.0,32953.0,1,0,0,0,0
chr1-g69,chr1,13800000,14000000,0.41171,,,,,,,,1,0,0,0,0
chr1-g70,chr1,14000000,14200000,0.414065,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0
chr1-g71,chr1,14200000,14400000,0.40052,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0
chr1-g72,chr1,14400000,14600000,0.399895,,,,,,,,1,0,0,0,0
chr1-g73,chr1,14600000,14800000,0.40929,Msc,1.0,2621,2621.0,2621.0,2621.0,2621.0,1,0,0,0,0
chr1-g74,chr1,14800000,15000000,0.3996099999999999,Trpa1,1.0,46219,46219.0,46219.0,46219.0,46219.0,1,0,0,0,0
chr1-g75,chr1,15000000,15200000,0.39423,,,,,,,,1,0,0,0,0
chr1-g76,chr1,15200000,15400000,0.40198,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0
chr1-g77,chr1,15400000,15600000,0.40193,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0
chr1-g78,chr1,15600000,15800000,0.4077449999999999,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0
chr1-g79,chr1,15800000,16000000,0.415935,"Terf1, Sbspon",2.0,"38407, 38861",38861.0,38407.0,38634.0,38634.0,1,0,0,0,0
chr1-g80,chr1,16000000,16200000,0.435285,"4930444P10Rik, Rdh10, Rpl7",3.0,"27347, 26669, 3138",27347.0,3138.0,19051.33333333333,26669.0,1,0,0,0,0
chr1-g81,chr1,16200000,16400000,0.4135,Stau2,1.0,290493,290493.0,290493.0,290493.0,290493.0,1,0,0,0,0
chr1-g82,chr1,16400000,16600000,0.4046099999999999,"Stau2, Ube2w",2.0,"290493, 50618",290493.0,50618.0,170555.5,170555.5,1,0,0,0,0
chr1-g83,chr1,16600000,16800000,0.4252249999999999,"Ube2w, Eloc, Tmem70, D030040B21Rik, Ly96",5.0,"50618, 15395, 13085, 4727, 21150",50618.0,4727.0,20995.0,15395.0,1,0,0,0,0
chr1-g84,chr1,16800000,17000000,0.407195,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1,0,0,0,0
chr1-g85,chr1,17000000,17200000,0.40005,"Jph1, Gdap1",2.0,"102950, 18898",102950.0,18898.0,60924.0,60924.0,1,0,0,0,0
chr1-g86,chr1,17200000,17400000,0.384565,,,,,,,,1,0,0,0,0
chr1-g87,chr1,17400000,17600000,0.388855,,,,,,,,1,0,0,0,0
chr1-g88,chr1,17600000,17800000,0.3789749999999999,"Pi15, Gm16070, Crispld1",3.0,"29039, 51620, 38791",51620.0,29039.0,39816.66666666666,38791.0,1,0,0,0,0
chr1-g89,chr1,17800000,18000000,0.38711,,,,,,,,1,0,0,0,0
chr1-g90,chr1,18000000,18200000,0.3927,Crisp4,1.0,30712,30712.0,30712.0,30712.0,30712.0,1,0,0,0,0
chr1-g91,chr1,18200000,18400000,0.3690799999999999,"Defb44-ps, Defb18, Defb41",3.0,"13512, 1075, 14161",14161.0,1075.0,9582.666666666666,13512.0,1,0,0,0,0
chr1-g92,chr1,18400000,18600000,0.3801049999999999,,,,,,,,1,0,0,0,0
chr1-g93,chr1,18600000,18800000,0.3802799999999999,,,,,,,,1,0,0,0,0
chr1-g94,chr1,18800000,19000000,0.382325,,,,,,,,1,0,0,0,0
chr1-g95,chr1,19000000,19200000,0.394455,"Gm15825, Tfap2d",2.0,"41541, 65566",65566.0,41541.0,53553.5,53553.5,1,0,0,0,0
chr1-g96,chr1,19200000,19400000,0.40071,Tfap2b,1.0,29932,29932.0,29932.0,29932.0,29932.0,1,0,0,0,0
chr1-g97,chr1,19400000,19600000,0.38257,,,,,,,,1,0,0,0,0
chr1-g98,chr1,19600000,19800000,0.38487,,,,,,,,1,0,0,0,0
chr1-g99,chr1,19800000,20000000,0.3876,,,,,,,,1,0,0,0,0
chr1-g100,chr1,20000000,20200000,0.38408,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1,0,0,0,0
chr1-g101,chr1,20200000,20400000,0.3918,"Pkhd1, 4930486I03Rik",2.0,"560279, 35847",560279.0,35847.0,298063.0,298063.0,1,0,0,0,0
chr1-g102,chr1,20400000,20600000,0.40856,Pkhd1,1.0,560279,560279.0,560279.0,560279.0,560279.0,1,0,0,0,0
chr1-g103,chr1,20600000,20800000,0.418425,"Pkhd1, Lincmd1, Mir206, Mir133b, Il17a, Il17f",6.0,"560279, 13077, 73, 119, 3592, 7125",560279.0,73.0,97377.5,5358.5,1,0,0,0,0
chr1-g104,chr1,20800000,21000000,0.439695,"Mcm3, Paqr8, 6720483E21Rik, Efhc1",4.0,"17345, 49103, 1824, 39216",49103.0,1824.0,26872.0,28280.5,1,0,0,0,0
chr1-g105,chr1,21000000,21200000,0.44355,Tram2,1.0,77829,77829.0,77829.0,77829.0,77829.0,1,0,0,0,0
chr1-g106,chr1,21200000,21400000,0.431165,"Tmem14a, Gsta3, Gm4956, Khdc1a, Khdc1c, Khdc1b, Kcnq5",7.0,"11593, 24991, 13067, 2523, 1413, 2829, 564252",564252.0,1413.0,88666.85714285714,11593.0,1,0,0,0,0
chr1-g107,chr1,21400000,21600000,0.398215,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0
chr1-g108,chr1,21600000,21800000,0.37926,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0
chr1-g109,chr1,21800000,22000000,0.3846449999999999,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0
chr1-g110,chr1,22000000,22200000,0.3928,,,,,,,,1,0,0,0,0
chr1-g111,chr1,22200000,22400000,0.39374,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0
chr1-g112,chr1,22400000,22600000,0.313335,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0
chr1-g113,chr1,22600000,22800000,0.391615,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0
chr1-g114,chr1,22800000,23000000,0.39441,"Rims1, Gm7759",2.0,"520031, 6695",520031.0,6695.0,263363.0,263363.0,1,0,0,0,0
chr1-g115,chr1,23000000,23200000,0.39948,Ppp1r14bl,1.0,1780,1780.0,1780.0,1780.0,1780.0,1,0,0,0,0
chr1-g116,chr1,23200000,23400000,0.402275,"Mir30a, Mir30c-2, Ogfrl1",3.0,"71, 84, 16752",16752.0,71.0,5635.666666666667,84.0,1,0,0,0,0
chr1-g117,chr1,23400000,23600000,0.39764,Gm28822,1.0,22064,22064.0,22064.0,22064.0,22064.0,1,0,0,0,0
chr1-g118,chr1,23600000,23800000,0.4204800000000001,B3gat2,1.0,85933,85933.0,85933.0,85933.0,85933.0,1,0,0,0,0
chr1-g119,chr1,23800000,24000000,0.415275,"B3gat2, Smap1, Sdhaf4",3.0,"85933, 76757, 9702",85933.0,9702.0,57464.0,76757.0,1,0,0,0,0
chr1-g120,chr1,24000000,24200000,0.400235,"Sdhaf4, Fam135a, Col9a1",3.0,"9702, 89584, 75129",89584.0,9702.0,58138.333333333336,75129.0,1,0,0,0,0
chr1-g121,chr1,24200000,24400000,0.404475,"Col9a1, Col19a1",2.0,"75129, 329755",329755.0,75129.0,202442.0,202442.0,1,0,0,0,0
chr1-g122,chr1,24400000,24600000,0.3896,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1,0,0,0,0
chr1-g123,chr1,24600000,24800000,0.40515,Lmbrd1,1.0,87758,87758.0,87758.0,87758.0,87758.0,1,0,0,0,0
chr1-g124,chr1,24800000,25000000,0.39602,,,,,,,,1,0,0,0,0
chr1-g125,chr1,25000000,25200000,0.393415,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1,0,0,0,0
chr1-g126,chr1,25200000,25400000,0.37585,"Adgrb3, Gm20172",2.0,"762232, 1551",762232.0,1551.0,381891.5,381891.5,1,0,0,0,0
chr1-g127,chr1,25400000,25600000,0.375335,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1,0,0,0,0
chr1-g128,chr1,25600000,25800000,0.3678799999999999,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1,0,0,0,0
chr1-g129,chr1,25800000,26000000,0.37823,Adgrb3,1.0,762232,762232.0,762232.0,762232.0,762232.0,1,0,0,0,0
chr1-g130,chr1,26000000,26200000,0.367035,,,,,,,,1,0,0,0,0
chr1-g131,chr1,26200000,26400000,0.371565,,,,,,,,1,0,0,0,0
chr1-g132,chr1,26400000,26600000,0.382,,,,,,,,1,0,0,0,0
chr1-g133,chr1,26600000,26800000,0.3634849999999999,4931408C20Rik,1.0,5660,5660.0,5660.0,5660.0,5660.0,1,0,0,0,0
chr1-g134,chr1,26800000,27000000,0.36714,,,,,,,,1,0,0,0,0
chr1-g135,chr1,27000000,27200000,0.372155,,,,,,,,1,0,0,0,0
chr1-g136,chr1,27200000,27400000,0.368675,,,,,,,,1,0,0,0,0
chr1-g137,chr1,27400000,27600000,0.36377,,,,,,,,1,0,0,0,0
chr1-g138,chr1,27600000,27800000,0.3609549999999999,,,,,,,,1,0,0,0,0
chr1-g139,chr1,27800000,28000000,0.361295,Gm5524,1.0,18142,18142.0,18142.0,18142.0,18142.0,1,0,0,0,0
chr1-g140,chr1,28000000,28200000,0.36753,,,,,,,,1,0,0,0,0
chr1-g141,chr1,28200000,28400000,0.360965,,,,,,,,1,0,0,0,0
chr1-g142,chr1,28400000,28600000,0.362355,,,,,,,,1,0,0,0,0
chr1-g143,chr1,28600000,28800000,0.367425,Gm597,1.0,4131,4131.0,4131.0,4131.0,4131.0,1,0,0,0,0
chr1-g144,chr1,28800000,29000000,0.352065,,,,,,,,1,0,0,0,0
chr1-g145,chr1,29000000,29200000,0.357875,,,,,,,,1,0,0,0,0
chr1-g146,chr1,29200000,29400000,0.3563199999999999,,,,,,,,1,0,0,0,0
chr1-g147,chr1,29400000,29600000,0.3696399999999999,Mir6342,1.0,125,125.0,125.0,125.0,125.0,1,0,0,0,0
chr1-g148,chr1,29600000,29800000,0.3812699999999999,,,,,,,,1,0,0,0,0
chr1-g149,chr1,29800000,30000000,0.372115,,,,,,,,1,0,0,0,0
chr1-g150,chr1,30000000,30200000,0.373425,Gm31465,1.0,17824,17824.0,17824.0,17824.0,17824.0,1,0,0,0,0
chr1-g151,chr1,30200000,30400000,0.386025,,,,,,,,1,0,0,0,0
chr1-g152,chr1,30400000,30600000,0.384975,,,,,,,,1,0,0,0,0
chr1-g153,chr1,30600000,30800000,0.40823,,,,,,,,1,0,0,0,0
chr1-g154,chr1,30800000,31000000,0.405495,"Phf3, LOC115487084, Ptp4a1, Gm13363",4.0,"60915, 1465, 9453, 8119",60915.0,1465.0,19988.0,8786.0,1,0,0,0,0
chr1-g155,chr1,31000000,31200000,0.40449,"Gm29669, 4931428L18Rik, Lgsn",3.0,"77267, 81579, 28291",81579.0,28291.0,62379.0,77267.0,1,0,0,0,0
chr1-g156,chr1,31200000,31400000,0.39194,"4931428L18Rik, Lgsn, Pih1d3, Gm4850",4.0,"81579, 28291, 1449, 3215",81579.0,1449.0,28633.5,15753.0,1,0,0,0,0
chr1-g157,chr1,31400000,31600000,0.379385,,,,,,,,1,0,0,0,0
chr1-g158,chr1,31600000,31800000,0.372225,,,,,,,,1,0,0,0,0
chr1-g159,chr1,31800000,32000000,0.3777149999999999,,,,,,,,1,0,0,0,0
chr1-g160,chr1,32000000,32200000,0.37056,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0
chr1-g161,chr1,32200000,32400000,0.37549,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0
chr1-g162,chr1,32400000,32600000,0.377715,"Khdrbs2, Gm9839, Gm5415",3.0,"485848, 1437, 3748",485848.0,1437.0,163677.66666666666,3748.0,1,0,0,0,0
chr1-g163,chr1,32600000,32800000,0.3855,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0
chr1-g164,chr1,32800000,33000000,0.39089,,,,,,,,1,0,0,0,0
chr1-g165,chr1,33000000,33200000,0.39587,,,,,,,,1,0,0,0,0
chr1-g166,chr1,33200000,33400000,0.40114,,,,,,,,1,0,0,0,0
chr1-g167,chr1,33400000,33600000,0.4174,Prim2,1.0,215987,215987.0,215987.0,215987.0,215987.0,1,0,0,0,0
chr1-g168,chr1,33600000,33800000,0.4374099999999999,"Prim2, 1700001G17Rik, Rab23, Gm32229, Bag2",5.0,"215987, 889, 22146, 5666, 12267",215987.0,889.0,51391.0,12267.0,1,0,0,0,0
chr1-g169,chr1,33800000,34000000,0.430625,"Zfp451, Gm15455, Bend6, Dst",4.0,"12636, 3016, 55716, 400438",400438.0,3016.0,117951.5,34176.0,1,0,0,0,0
chr1-g170,chr1,34000000,34200000,0.438845,"Dst, Mir6896",2.0,"400438, 73",400438.0,73.0,200255.5,200255.5,1,0,0,0,0
chr1-g171,chr1,34200000,34400000,0.4405349999999999,Dst,1.0,400438,400438.0,400438.0,400438.0,400438.0,1,0,0,0,0
chr1-g172,chr1,34400000,34600000,0.4595450000000001,"Imp4, Ccdc115, Mir5103, Ptpn18, Prss39, Cfc1, Prss40, Amer3",8.0,"5919, 3003, 79, 14034, 4651, 8664, 8613, 11252",14034.0,79.0,7026.875,7266.0,1,0,0,0,0
chr1-g173,chr1,34600000,34800000,0.461045,"AA619741, Arhgef4",2.0,"2676, 134557",134557.0,2676.0,68616.5,68616.5,1,0,0,0,0
chr1-g174,chr1,34800000,35000000,0.454225,"Arhgef4, Fam168b, Plekhb2",3.0,"134557, 29833, 29627",134557.0,29627.0,64672.333333333336,29833.0,1,0,0,0,0
chr1-g175,chr1,35000000,35200000,0.4274649999999999,,,,,,,,1,0,0,0,0
chr1-g176,chr1,35200000,35400000,0.436095,,,,,,,,1,0,0,0,0
chr1-g177,chr1,35400000,35600000,0.432165,,,,,,,,1,0,0,0,0
chr1-g178,chr1,35600000,35800000,0.4367999999999999,,,,,,,,1,0,0,0,0
chr1-g179,chr1,35800000,36000000,0.462105,,,,,,,,1,0,0,0,0
chr1-g180,chr1,36000000,36200000,0.469545,"Hs6st1, Mir6897, Uggt1",3.0,"38047, 62, 104275",104275.0,62.0,47461.333333333336,38047.0,1,0,0,0,0
chr1-g181,chr1,36200000,36400000,0.467795,"Uggt1, Neurl3, Arid5a, Mir6898, Kansl3, Fer1l5",6.0,"104275, 8824, 16297, 77, 33452, 49921",104275.0,77.0,35474.333333333336,24874.5,1,0,0,0,0
chr1-g182,chr1,36400000,36600000,0.502155,"Fer1l5, Lman2l, Cnnm4, Cnnm3, Ankrd23, Ankrd39, Sema4c, Fam178b",8.0,"49921, 22086, 37180, 16370, 6364, 9082, 9743, 120488",120488.0,6364.0,33904.25,19228.0,1,0,0,0,0
chr1-g183,chr1,36600000,36800000,0.4842299999999999,"Fam178b, Cox5b, Actr1b, 4933424G06Rik, Zap70, Tmem131",6.0,"120488, 1902, 10724, 43423, 21023, 147339",147339.0,1902.0,57483.16666666666,32223.0,1,0,0,0,0
chr1-g184,chr1,36800000,37000000,0.4340349999999999,Tmem131,1.0,147339,147339.0,147339.0,147339.0,147339.0,1,0,0,0,0
chr1-g185,chr1,37000000,37200000,0.4486549999999999,Vwa3b,1.0,158295,158295.0,158295.0,158295.0,158295.0,1,0,0,0,0
chr1-g186,chr1,37200000,37400000,0.469515,"Cnga3, Inpp4a",2.0,"44180, 110903",110903.0,44180.0,77541.5,77541.5,1,0,0,0,0
chr1-g187,chr1,37400000,37600000,0.4479350000000001,"Inpp4a, Coa5, Unc50, Mgat4a, 4930594C11Rik",5.0,"110903, 13019, 8848, 101677, 2755",110903.0,2755.0,47440.4,13019.0,1,0,0,0,0
chr1-g188,chr1,37600000,37800000,0.45131,"2010300C02Rik, Tsga10",2.0,"108136, 104475",108136.0,104475.0,106305.5,106305.5,1,0,0,0,0
chr1-g189,chr1,37800000,38000000,0.42717,"Tsga10, Lipt1, Mrpl30, Mitd1, Lyg2, Lyg1, Eif5b, Txndc9",8.0,"104475, 4093, 7862, 11524, 10571, 11022, 57570, 13342",104475.0,4093.0,27557.375,11273.0,1,0,0,0,1
chr1-g190,chr1,38000000,38200000,0.417815,"Eif5b, Rev1, Gm5099, Aff3",4.0,"57570, 76881, 27810, 451254",451254.0,27810.0,153378.75,67225.5,1,0,0,0,0
chr1-g191,chr1,38200000,38400000,0.4482,Aff3,1.0,451254,451254.0,451254.0,451254.0,451254.0,1,0,0,0,0
chr1-g192,chr1,38400000,38600000,0.44071,Aff3,1.0,451254,451254.0,451254.0,451254.0,451254.0,1,0,0,0,0
chr1-g193,chr1,38600000,38800000,0.449425,"Aff3, Lonrf2",2.0,"451254, 43019",451254.0,43019.0,247136.5,247136.5,1,0,0,0,0
chr1-g194,chr1,38800000,39000000,0.442335,"Lonrf2, Chst10, Nms, Pdcl3",4.0,"43019, 34288, 11128, 9423",43019.0,9423.0,24464.5,22708.0,1,0,0,0,0
chr1-g195,chr1,39000000,39200000,0.454925,"Npas2, Mir6349",2.0,"168969, 97",168969.0,97.0,84533.0,84533.0,1,0,0,0,0
chr1-g196,chr1,39200000,39400000,0.4640499999999999,"Npas2, Rpl31, Tbc1d8",3.0,"168969, 4060, 107260",168969.0,4060.0,93429.66666666669,107260.0,1,0,0,0,0
chr1-g197,chr1,39400000,39600000,0.4545850000000001,"Tbc1d8, Cnot11, Snord89, Rnf149",4.0,"107260, 11177, 94, 26052",107260.0,94.0,36145.75,18614.5,1,0,0,0,0
chr1-g198,chr1,39600000,39800000,0.4589,"Creg2, Rfx8",2.0,"32777, 55689",55689.0,32777.0,44233.0,44233.0,1,0,0,0,0
chr1-g199,chr1,39800000,40000000,0.454815,"Gm3646, 1700066B17Rik, Map4k4",3.0,"1192, 4903, 125398",125398.0,1192.0,43831.0,4903.0,1,0,0,0,0
chr1-g200,chr1,40000000,40200000,0.44882,"Map4k4, Il1r2, Gm16894",3.0,"125398, 39138, 9640",125398.0,9640.0,58058.66666666666,39138.0,1,0,0,0,0
chr1-g201,chr1,40200000,40400000,0.435415,"Il1r1, Il1rl2",2.0,"91098, 42965",91098.0,42965.0,67031.5,67031.5,1,0,0,0,0
chr1-g202,chr1,40400000,40600000,0.4200699999999999,"Il1rl1, Il18r1, Il18rap, Slc9a4",4.0,"18842, 26027, 36344, 50505",50505.0,18842.0,32929.5,31185.5,1,0,0,1,0
chr1-g203,chr1,40600000,40800000,0.429625,"Slc9a4, Slc9a2, Mfsd9",3.0,"50505, 87174, 18618",87174.0,18618.0,52099.0,50505.0,1,0,0,0,0
chr1-g204,chr1,40800000,41000000,0.42566,Tmem182,1.0,49667,49667.0,49667.0,49667.0,49667.0,1,0,0,0,0
chr1-g205,chr1,41000000,41200000,0.4104549999999999,4930448I06Rik,1.0,13693,13693.0,13693.0,13693.0,13693.0,1,0,0,0,0
chr1-g206,chr1,41200000,41400000,0.3965849999999999,,,,,,,,1,0,0,1,0
chr1-g207,chr1,41400000,41600000,0.381305,,,,,,,,1,0,0,0,0
chr1-g208,chr1,41600000,41800000,0.38123,,,,,,,,1,0,0,0,0
chr1-g209,chr1,41800000,42000000,0.381975,,,,,,,,1,0,0,0,0
chr1-g210,chr1,42000000,42200000,0.396305,,,,,,,,1,0,0,0,0
chr1-g211,chr1,42200000,42400000,0.412815,,,,,,,,1,0,0,0,0
chr1-g212,chr1,42400000,42600000,0.420725,,,,,,,,1,0,0,0,0
chr1-g213,chr1,42600000,42800000,0.440615,"Pantr1, Pou3f3, 2900092D14Rik, Pantr2, Dalir",5.0,"46626, 4442, 2841, 6392, 2175",46626.0,2175.0,12495.2,4442.0,1,0,0,0,0
chr1-g214,chr1,42800000,43000000,0.4229849999999999,"Mrps9, Gpr45",2.0,"54451, 82578",82578.0,54451.0,68514.5,68514.5,1,0,0,0,0
