200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,MLI1_pol_ass,MLI1_spk_ass,Granule_pol_ass,Granule_spk_ass,log2FC_G2M
chr1-g295,chr1,59000000,59200000,0.41645,"C2cd6, Tmem237, Mpp4, Als2",4.0,"44395, 19825, 42455, 45609",45609.0,19825.0,38071.0,43425.0,1,0,0,1,0,3.5263575949268
chr1-g296,chr1,59200000,59400000,0.43916,"Als2, Cdk15",2.0,"45609, 95591",95591.0,45609.0,70600.0,70600.0,1,0,0,1,0,3.5263575949268
chr1-g313,chr1,62600000,62800000,0.45342,"Pard3b, Nrp2, 4930487H11Rik",3.0,"1003461, 115376, 3815",1003461.0,3815.0,374217.3333333333,115376.0,1,0,0,0,0,-3.8447448087196343
chr1-g314,chr1,62800000,63000000,0.4386949999999999,Nrp2,1.0,115376,115376.0,115376.0,115376.0,115376.0,1,0,0,0,0,-3.8447448087196343
chr1-g320,chr1,64000000,64200000,0.43138,"Mir6899, Klf7",2.0,"64, 85719",85719.0,64.0,42891.5,42891.5,1,0,0,0,0,3.5357780483814385
chr1-g340,chr1,68000000,68200000,0.368585,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,2.9742697309727597
chr1-g341,chr1,68200000,68400000,0.358245,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,2.9742697309727597
chr1-g342,chr1,68400000,68600000,0.36232,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,2.9742697309727597
chr1-g343,chr1,68600000,68800000,0.36027,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,2.9742697309727597
chr1-g344,chr1,68800000,69000000,0.3519049999999999,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,2.9742697309727597
chr1-g345,chr1,69000000,69200000,0.374545,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,2.9742697309727597
chr1-g362,chr1,72400000,72600000,0.44965,"March4, Smarcal1",2.0,"110048, 53540",110048.0,53540.0,81794.0,81794.0,1,0,0,0,0,-5.30564513768624
chr1-g376,chr1,75200000,75400000,0.486245,"Glb1l, Stk16, Tuba4a, A630095N17Rik, Dnajb2, Ptprn, Resp18, Dnpep, Des, Gm15179, Speg",11.0,"12544, 4778, 4323, 11999, 9270, 17168, 6219, 9073, 8288, 6806, 57010",57010.0,4323.0,13407.09090909091,9073.0,1,0,0,0,1,2.3535390748513887
chr1-g377,chr1,75400000,75600000,0.515065,"Speg, Gmppa, Asic4, Chpf, Tmem198, Obsl1, Stk11ip, Inha, Slc4a3",9.0,"57010, 7244, 23831, 4903, 6162, 20628, 15807, 2758, 13166",57010.0,2758.0,16834.333333333332,13166.0,1,0,0,0,0,2.3535390748513887
chr1-g386,chr1,77200000,77400000,0.416465,Epha4,1.0,147904,147904.0,147904.0,147904.0,147904.0,1,0,0,0,0,-4.337470396089583
chr1-g387,chr1,77400000,77600000,0.42094,"Epha4, Mir6352",2.0,"147904, 116",147904.0,116.0,74010.0,74010.0,1,0,0,0,0,-4.337470396089583
chr1-g390,chr1,78000000,78200000,0.419485,Pax3,1.0,95870,95870.0,95870.0,95870.0,95870.0,1,0,0,0,0,-3.5762647298671104
chr1-g420,chr1,84000000,84200000,0.408235,Pid1,1.0,248353,248353.0,248353.0,248353.0,248353.0,1,1,0,0,0,-2.597067354687485
chr1-g421,chr1,84200000,84400000,0.415505,"Pid1, Mir6353, Dner",3.0,"248353, 113, 326383",326383.0,113.0,191616.3333333333,248353.0,1,1,0,0,1,-3.161708222167656
chr1-g422,chr1,84400000,84600000,0.42382,Dner,1.0,326383,326383.0,326383.0,326383.0,326383.0,1,1,0,0,0,-4.433070897799717
chr1-g423,chr1,84600000,84800000,0.41417,"Dner, Mir5126, Trip12",3.0,"326383, 77, 118116",326383.0,77.0,148192.0,118116.0,1,1,0,0,1,-4.433070897799717
chr1-g443,chr1,88600000,88800000,0.4646699999999999,"Arl4c, Platr5",2.0,"3966, 844",3966.0,844.0,2405.0,2405.0,1,0,0,0,0,-4.116876344899429
chr1-g451,chr1,90200000,90400000,0.47194,Ackr3,1.0,11743,11743.0,11743.0,11743.0,11743.0,1,0,0,0,0,-4.531350938524369
chr1-g488,chr1,97600000,97800000,0.3998,"D1Ertd622e, Ppip5k2, Gin1",3.0,"18117, 64050, 23537",64050.0,18117.0,35234.666666666664,23537.0,1,0,0,0,0,-3.820809013179274
chr1-g489,chr1,97800000,98000000,0.39259,Pam,1.0,274553,274553.0,274553.0,274553.0,274553.0,1,0,0,0,0,-3.820809013179274
chr1-g490,chr1,98000000,98200000,0.400825,"Pam, B230216N24Rik, 1810006J02Rik, Gm29461",4.0,"274553, 16671, 13189, 17050",274553.0,13189.0,80365.75,16860.5,1,0,0,0,0,-3.820809013179274
chr1-g616,chr1,123200000,123400000,0.384725,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,2.957755896723298
chr1-g617,chr1,123400000,123600000,0.3720099999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,2.957755896723298
chr1-g618,chr1,123600000,123800000,0.3797149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,2.957755896723298
chr1-g619,chr1,123800000,124000000,0.3818149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,2.957755896723298
chr1-g620,chr1,124000000,124200000,0.3798549999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,2.957755896723298
chr1-g636,chr1,127200000,127400000,0.455265,Mgat5,1.0,277987,277987.0,277987.0,277987.0,277987.0,1,0,0,0,0,-2.8629363216427697
chr1-g637,chr1,127400000,127600000,0.462655,"Mgat5, Tmem163",2.0,"277987, 187680",277987.0,187680.0,232833.5,232833.5,1,0,0,0,0,0.5625427028311678
chr1-g638,chr1,127600000,127800000,0.43443,"Tmem163, Acmsd, Ccnt2, 2900009J06Rik",4.0,"187680, 38152, 30674, 20438",187680.0,20438.0,69236.0,34413.0,1,0,0,0,0,5.475169369603203
chr1-g655,chr1,131000000,131200000,0.4709150000000001,"Il10, Mapkapk2, Dyrk3, Eif2d, Rassf5",5.0,"5126, 44143, 9794, 19028, 68769",68769.0,5126.0,29372.0,19028.0,1,0,0,0,0,-2.18252963468609
chr1-g656,chr1,131200000,131400000,0.453905,"Rassf5, Ikbke, Srgap2",3.0,"68769, 24962, 242111",242111.0,24962.0,111947.33333333331,68769.0,1,0,0,0,0,2.517194942846232
chr1-g657,chr1,131400000,131600000,0.41228,"Srgap2, Fam72a, Avpr1b",3.0,"242111, 11133, 12887",242111.0,11133.0,88710.33333333333,12887.0,1,0,0,0,0,2.517194942846232
chr1-g662,chr1,132400000,132600000,0.46742,"Dstyk, Rbbp5, Tmem81, Cntn2, Nfasc",5.0,"49507, 28299, 2410, 33516, 177108",177108.0,2410.0,58168.0,33516.0,1,0,0,0,1,3.363999228499954
chr1-g666,chr1,133200000,133400000,0.5028,"Plekha6, Gm19461, Golt1a, Kiss1, Ren2, Ren1, Etnk2, Sox13",8.0,"57339, 19957, 13204, 2511, 9758, 9646, 16748, 41913",57339.0,2511.0,21384.5,14976.0,1,0,0,0,0,-3.5245411647928475
chr1-g670,chr1,134000000,134200000,0.48606,"Fmod, Btg2, Chit1, Chil1, Mybph, Adora1",6.0,"11027, 4291, 40299, 7628, 7785, 36243",40299.0,4291.0,17878.833333333332,9406.0,1,0,0,0,0,4.883409038430879
chr1-g671,chr1,134200000,134400000,0.48246,"Mybph, Adora1, Myog, Myoparr, Ppfia4, Tmem183a, Mgat4f",7.0,"7785, 36243, 2545, 1167, 36146, 15911, 5044",36243.0,1167.0,14977.285714285714,7785.0,1,0,0,0,1,4.163926758886601
chr1-g677,chr1,135400000,135600000,0.476205,"Ipo9, Nav1, Mir1231, Gm4793",4.0,"48188, 150776, 81, 2159",150776.0,81.0,50301.0,25173.5,1,0,1,0,0,-6.0372819396088975
chr1-g678,chr1,135600000,135800000,0.4827499999999999,"Csrp1, Phlda3, Tnni1",3.0,"32167, 3050, 11569",32167.0,3050.0,15595.333333333334,11569.0,1,0,1,0,0,-5.24701275041139
chr1-g680,chr1,136000000,136200000,0.5000450000000001,"Igfn1, Tmem9, Cacna1s, Ascl5, Kif21b, Gm15850, Mroh3",7.0,"52765, 26812, 67012, 567, 46612, 3465, 31043",67012.0,567.0,32610.85714285714,31043.0,1,0,1,0,0,-3.377334909960376
chr1-g771,chr1,154200000,154400000,0.413285,"Zfp648, 4930452N14Rik, 4930532M18Rik, Cacna1e",4.0,"5652, 15386, 14728, 333402",333402.0,5652.0,92292.0,15057.0,1,0,0,0,0,2.573218357844433
chr1-g772,chr1,154400000,154600000,0.4235399999999999,Cacna1e,1.0,333402,333402.0,333402.0,333402.0,333402.0,1,0,0,0,0,2.573218357844433
chr1-g773,chr1,154600000,154800000,0.437905,Cacna1e,1.0,333402,333402.0,333402.0,333402.0,333402.0,1,0,0,0,0,2.573218357844433
chr1-g774,chr1,154800000,155000000,0.443755,,,,,,,,1,0,0,0,0,2.573218357844433
chr1-g797,chr1,159400000,159600000,0.4310049999999999,Tnr,1.0,401154,401154.0,401154.0,401154.0,401154.0,1,0,0,0,0,-2.062573195033441
chr1-g798,chr1,159600000,159800000,0.42817,Tnr,1.0,401154,401154.0,401154.0,401154.0,401154.0,1,0,0,0,0,-2.062573195033441
chr1-g799,chr1,159800000,160000000,0.424265,Tnr,1.0,401154,401154.0,401154.0,401154.0,401154.0,1,0,0,0,0,-2.062573195033441
chr1-g822,chr1,164400000,164600000,0.43629,"Atp1b1, Gm26685",2.0,"21257, 11576",21257.0,11576.0,16416.5,16416.5,1,0,0,0,0,-2.664151076568221
chr1-g835,chr1,167000000,167200000,0.45486,Fam78b,1.0,89886,89886.0,89886.0,89886.0,89886.0,1,0,0,0,0,1.8168098657540992
chr1-g851,chr1,170200000,170400000,0.436345,"Uhmk1, Sh2d1b2, Gm6345, Sh2d1b1, Gm7694, Spata46, Nos1ap",7.0,"21986, 18717, 1691, 9452, 8140, 3307, 274383",274383.0,1691.0,48239.42857142857,9452.0,1,0,0,0,0,-4.545781611634636
chr1-g852,chr1,170400000,170600000,0.44942,Nos1ap,1.0,274383,274383.0,274383.0,274383.0,274383.0,1,1,0,0,0,-4.545781611634636
chr1-g892,chr1,178400000,178600000,0.440365,"Efcab2, Kif26b",2.0,"78496, 403733",403733.0,78496.0,241114.5,241114.5,1,0,0,0,0,3.420887490006096
chr1-g893,chr1,178600000,178800000,0.447335,Kif26b,1.0,403733,403733.0,403733.0,403733.0,403733.0,1,0,0,0,0,3.420887490006096
chr1-g894,chr1,178800000,179000000,0.45863,"Kif26b, Smyd3",2.0,"403733, 566082",566082.0,403733.0,484907.5,484907.5,1,0,0,0,0,3.420887490006096
chr1-g920,chr1,184000000,184200000,0.439505,"Dusp10, 1700056E22Rik",2.0,"41256, 967",41256.0,967.0,21111.5,21111.5,1,1,0,0,0,-4.843468056988861
chr1-g938,chr1,187600000,187800000,0.4382000000000001,Esrrg,1.0,605879,605879.0,605879.0,605879.0,605879.0,1,1,0,0,0,-6.191445350609135
chr1-g939,chr1,187800000,188000000,0.4360749999999999,Esrrg,1.0,605879,605879.0,605879.0,605879.0,605879.0,1,1,0,0,0,-6.346151246044793
chr1-g940,chr1,188000000,188200000,0.426835,"Esrrg, 9330162B11Rik",2.0,"605879, 2415",605879.0,2415.0,304147.0,304147.0,1,1,0,0,0,-6.346151246044793
chr1-g941,chr1,188200000,188400000,0.408165,"Esrrg, Ush2a",2.0,"605879, 702202",702202.0,605879.0,654040.5,654040.5,1,1,0,0,0,-6.346151246044793
chr1-g950,chr1,190000000,190200000,0.458335,"Prox1, LOC102632463",2.0,"52793, 46984",52793.0,46984.0,49888.5,49888.5,1,0,0,0,0,2.9423000741490344
chr1-g960,chr1,192000000,192200000,0.3604971428571429,"Traf5, Rcor3, Gm10516, Kcnh1",4.0,"95397, 39495, 14128, 319383",319383.0,14128.0,117100.75,67446.0,1,0,0,0,0,5.119619948729148
chr1-g961,chr1,192200000,192400000,0.45494,Kcnh1,1.0,319383,319383.0,319383.0,319383.0,319383.0,1,0,0,0,0,5.119619948729148
chr1-g962,chr1,192400000,192600000,0.461495,"Kcnh1, Hhat",2.0,"319383, 258392",319383.0,258392.0,288887.5,288887.5,1,0,0,0,0,5.119619948729148
chr1-g966,chr1,193200000,193400000,0.46882,"Traf3ip3, Hsd11b1, G0s2, Lamb3, Camk1g",5.0,"26043, 42405, 1029, 41636, 23937",42405.0,1029.0,27010.0,26043.0,1,0,0,0,0,-6.192295399955537
chr2-g20,chr2,4000000,4200000,0.4284,"Frmd4a, 1700080N15Rik",2.0,"596361, 9077",596361.0,9077.0,302719.0,302719.0,2,0,0,0,0,-6.076203382048351
chr2-g21,chr2,4200000,4400000,0.4385399999999999,Frmd4a,1.0,596361,596361.0,596361.0,596361.0,596361.0,2,0,0,0,0,-6.076203382048351
chr2-g22,chr2,4400000,4600000,0.458405,Frmd4a,1.0,596361,596361.0,596361.0,596361.0,596361.0,2,0,0,0,0,-6.076203382048351
chr2-g23,chr2,4600000,4800000,0.43185,"Frmd4a, Prpf18, Bend7",3.0,"596361, 30078, 84316",596361.0,30078.0,236918.3333333333,84316.0,2,0,0,0,0,-6.076203382048351
chr2-g25,chr2,5000000,5200000,0.45116,"Mcm10, Optn, Ccdc3",3.0,"22068, 43476, 93091",93091.0,22068.0,52878.333333333336,43476.0,2,0,0,0,1,-2.9308829726606502
chr2-g30,chr2,6000000,6200000,0.4437399999999999,"Upf2, Proser2, Gm10857, A230108P19Rik, Echdc3",5.0,"105235, 31686, 7688, 128361, 24530",128361.0,7688.0,59500.0,31686.0,2,0,0,1,0,-3.2493573916262366
chr2-g51,chr2,10200000,10400000,0.44177,"Itih5, Sfmbt2",2.0,"102987, 224803",224803.0,102987.0,163895.0,163895.0,2,0,0,0,0,-2.4342165046602813
chr2-g52,chr2,10400000,10600000,0.420935,"Sfmbt2, Mir297a-4, Mir466b-1, Mir297a-3, Mir669e, Mir669b, Mir466m, Mir669l, Mir669a-3, Mir297a-2, Mir466b-4, Mir466b-5, Mir466b-7, Mir466b-6, Mir669d-2, Mir467c, Mir669f, Mir669d, Mir467a-4, Mir466c-2, Mir467a-7, Mir467a-10, Mir669a-2, Mir467a-5, Mir466c-1, Mir467a-9, Mir467a-1, Mir467a-8, Mir467a-2, Mir466b-2, Mir467a-6, Mir467a-3, Gm25285, Mir466b-8, Mir669k, Mir669a-1, Mir466e, Mir669j, Mir669g, Mir467b, Mir466n, Mir466l, Mir466g, Mir297b, Mir669h, Mir466, Mir467d, Mir669m-2, Mir669i, Mir466b-3, Mir669m-1, Mir669o",52.0,"224803, 87, 82, 39519, 119, 97, 84, 98, 109, 90, 90, 88, 88, 90, 86, 97, 121, 121, 83, 90, 82, 83, 95, 83, 84, 83, 73, 82, 83, 82, 83, 83, 90, 86, 127, 97, 84, 121, 123, 73, 94, 121, 80, 109, 125, 73, 85, 98, 127, 81, 98, 96",224803.0,73.0,5173.576923076923,90.0,2,0,0,0,0,-2.4342165046602813
chr2-g60,chr2,12000000,12200000,0.4098299999999999,Itga8,1.0,195311,195311.0,195311.0,195311.0,195311.0,2,0,0,0,0,-5.749765275699892
chr2-g61,chr2,12200000,12400000,0.405935,"Itga8, E030013I19Rik, Mindy3",3.0,"195311, 11070, 72197",195311.0,11070.0,92859.33333333331,72197.0,2,0,0,0,0,-5.749765275699892
chr2-g73,chr2,14600000,14800000,0.402495,"Cacnb2, Gm13315",2.0,"383603, 1981",383603.0,1981.0,192792.0,192792.0,2,0,0,0,0,-3.497034247737421
chr2-g74,chr2,14800000,15000000,0.4028549999999999,"Cacnb2, Nsun6",2.0,"383603, 64429",383603.0,64429.0,224016.0,224016.0,2,0,0,0,0,-3.461285216285203
chr2-g81,chr2,16200000,16400000,0.3903999999999999,"Malrd1, Plxdc2",2.0,"729079, 399536",729079.0,399536.0,564307.5,564307.5,2,0,0,0,0,2.212464773211078
chr2-g82,chr2,16400000,16600000,0.38048,Plxdc2,1.0,399536,399536.0,399536.0,399536.0,399536.0,2,0,0,0,0,2.212464773211078
chr2-g83,chr2,16600000,16800000,0.379955,Plxdc2,1.0,399536,399536.0,399536.0,399536.0,399536.0,2,0,0,0,0,2.212464773211078
chr2-g99,chr2,19800000,20000000,0.3985899999999999,,,,,,,,2,0,0,0,0,-5.797415164101678
chr2-g100,chr2,20000000,20200000,0.40174,,,,,,,,2,0,0,0,0,-5.797415164101678
chr2-g101,chr2,20200000,20400000,0.4074549999999999,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-5.827895731997907
chr2-g102,chr2,20400000,20600000,0.4226,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-5.797415164101678
chr2-g103,chr2,20600000,20800000,0.427265,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-5.797415164101678
chr2-g104,chr2,20800000,21000000,0.41762,"Etl4, Arhgap21, Gm13375",3.0,"520623, 119803, 1475",520623.0,1475.0,213967.0,119803.0,2,0,0,0,0,-5.797415164101678
chr2-g113,chr2,22600000,22800000,0.41306,"Gad2, Mir3967, Apbb1ip",3.0,"71551, 68, 101327",101327.0,68.0,57648.66666666666,71551.0,2,0,0,0,0,-5.913729496777077
chr2-g120,chr2,24000000,24200000,0.398465,"Hnmt, Tbpl2, Il1f8, Il1f9",4.0,"46467, 25230, 6932, 7092",46467.0,6932.0,21430.25,16161.0,2,0,0,0,0,-3.713868445222282
chr2-g136,chr2,27200000,27400000,0.5116850000000001,"Sardh, Vav2",2.0,"58911, 165505",165505.0,58911.0,112208.0,112208.0,2,1,0,0,0,-6.39714222558948
chr2-g137,chr2,27400000,27600000,0.49615,"Vav2, Brd3os, Brd3, Mir7578, Wdr5",5.0,"165505, 1786, 30093, 82, 21392",165505.0,82.0,43771.6,21392.0,2,1,0,0,0,-6.39714222558948
chr2-g140,chr2,28000000,28200000,0.494335,"Col5a1, Fcnb, Olfm1",3.0,"153086, 8400, 37644",153086.0,8400.0,66376.66666666667,37644.0,2,1,0,0,0,3.863064240398907
chr2-g141,chr2,28200000,28400000,0.496385,Olfm1,1.0,37644,37644.0,37644.0,37644.0,37644.0,2,1,0,0,0,3.863064240398907
chr2-g164,chr2,32800000,33000000,0.502635,"Stxbp1, Fam129b, Lrsam1, Snora65, Rpl12, Slc2a8, Garnl3",7.0,"59631, 49120, 36041, 118, 2334, 9103, 145212",145212.0,118.0,43079.857142857145,36041.0,2,0,0,0,0,3.775079257946148
chr2-g165,chr2,33000000,33200000,0.4715350000000001,"Garnl3, Ralgps1",2.0,"145212, 238076",238076.0,145212.0,191644.0,191644.0,2,0,0,0,0,3.775079257946148
chr2-g171,chr2,34200000,34400000,0.387715,Pbx3,1.0,200589,200589.0,200589.0,200589.0,200589.0,2,0,0,0,0,-2.4516010082257806
chr2-g250,chr2,50000000,50200000,0.426135,Lypd6,1.0,127141,127141.0,127141.0,127141.0,127141.0,2,0,0,1,0,-8.0193081012115
chr2-g260,chr2,52000000,52200000,0.4143799999999999,"Tnfaip6, Rif1, Neb",3.0,"18569, 53932, 202152",202152.0,18569.0,91551.0,53932.0,2,0,0,0,0,2.818782740225236
chr2-g261,chr2,52200000,52400000,0.41716,"Neb, 4930573O16Rik, Arl5a",3.0,"202152, 24239, 26924",202152.0,24239.0,84438.33333333333,26924.0,2,0,0,0,0,3.242938503766839
chr2-g262,chr2,52400000,52600000,0.429015,"Arl5a, Cacnb4",2.0,"26924, 248290",248290.0,26924.0,137607.0,137607.0,2,0,0,0,0,2.2468991863633363
chr2-g263,chr2,52600000,52800000,0.42828,"Cacnb4, Stam2",2.0,"248290, 49944",248290.0,49944.0,149117.0,149117.0,2,0,0,0,0,2.2595975925395577
chr2-g277,chr2,55400000,55600000,0.3639050000000001,Kcnj3,1.0,162176,162176.0,162176.0,162176.0,162176.0,2,0,0,0,0,3.0407740718681278
chr2-g291,chr2,58200000,58400000,0.4001949999999999,"Acvr1c, Gm13544",2.0,"90306, 10124",90306.0,10124.0,50215.0,50215.0,2,0,0,0,0,3.198723359800036
chr2-g294,chr2,58800000,59000000,0.41195,Ccdc148,1.0,338986,338986.0,338986.0,338986.0,338986.0,2,0,0,0,0,-2.9392387496776524
chr2-g295,chr2,59000000,59200000,0.3254342857142857,"Ccdc148, Pkp4",2.0,"338986, 194356",338986.0,194356.0,266671.0,266671.0,2,0,0,0,0,-2.409504371878657
chr2-g298,chr2,59600000,59800000,0.454105,Tanc1,1.0,234172,234172.0,234172.0,234172.0,234172.0,2,0,0,0,1,3.836546376019297
chr2-g299,chr2,59800000,60000000,0.43104,"Tanc1, Wdsub1, Baz2b",3.0,"234172, 27413, 226378",234172.0,27413.0,162654.33333333334,226378.0,2,0,0,0,0,3.836546376019297
chr2-g303,chr2,60600000,60800000,0.430705,"Itgb6, Rbms1",2.0,"124312, 211252",211252.0,124312.0,167782.0,167782.0,2,0,0,0,0,-5.026808295850784
chr2-g304,chr2,60800000,61000000,0.41818,"Rbms1, Gm13582",2.0,"211252, 10776",211252.0,10776.0,111014.0,111014.0,2,0,0,0,0,-5.026808295850784
chr2-g319,chr2,63800000,64000000,0.385465,Fign,1.0,126531,126531.0,126531.0,126531.0,126531.0,2,0,0,1,0,-2.43958528707114
