200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,MLI1_pol_ass,MLI1_spk_ass,log2FC_M2P
chr1-g172,chr1,34400000,34600000,0.4595450000000001,"Imp4, Ccdc115, Mir5103, Ptpn18, Prss39, Cfc1, Prss40, Amer3",8.0,"5919, 3003, 79, 14034, 4651, 8664, 8613, 11252",14034.0,79.0,7026.875,7266.0,1,0,0,0,0,2.7994673666641767
chr1-g173,chr1,34600000,34800000,0.461045,"AA619741, Arhgef4",2.0,"2676, 134557",134557.0,2676.0,68616.5,68616.5,1,0,0,0,0,4.054408634745516
chr1-g174,chr1,34800000,35000000,0.454225,"Arhgef4, Fam168b, Plekhb2",3.0,"134557, 29833, 29627",134557.0,29627.0,64672.333333333336,29833.0,1,0,0,0,0,2.75564752799274
chr1-g180,chr1,36000000,36200000,0.469545,"Hs6st1, Mir6897, Uggt1",3.0,"38047, 62, 104275",104275.0,62.0,47461.333333333336,38047.0,1,0,0,0,0,3.0096663010394145
chr1-g182,chr1,36400000,36600000,0.502155,"Fer1l5, Lman2l, Cnnm4, Cnnm3, Ankrd23, Ankrd39, Sema4c, Fam178b",8.0,"49921, 22086, 37180, 16370, 6364, 9082, 9743, 120488",120488.0,6364.0,33904.25,19228.0,1,0,0,0,0,3.4848127668720617
chr1-g187,chr1,37400000,37600000,0.4479350000000001,"Inpp4a, Coa5, Unc50, Mgat4a, 4930594C11Rik",5.0,"110903, 13019, 8848, 101677, 2755",110903.0,2755.0,47440.4,13019.0,1,0,0,0,0,1.9427810208899956
chr1-g189,chr1,37800000,38000000,0.42717,"Tsga10, Lipt1, Mrpl30, Mitd1, Lyg2, Lyg1, Eif5b, Txndc9",8.0,"104475, 4093, 7862, 11524, 10571, 11022, 57570, 13342",104475.0,4093.0,27557.375,11273.0,1,0,0,0,0,1.8838107166948737
chr1-g190,chr1,38000000,38200000,0.417815,"Eif5b, Rev1, Gm5099, Aff3",4.0,"57570, 76881, 27810, 451254",451254.0,27810.0,153378.75,67225.5,1,0,0,0,0,2.15919798169615
chr1-g191,chr1,38200000,38400000,0.4482,Aff3,1.0,451254,451254.0,451254.0,451254.0,451254.0,1,0,0,0,0,2.15919798169615
chr1-g192,chr1,38400000,38600000,0.44071,Aff3,1.0,451254,451254.0,451254.0,451254.0,451254.0,1,0,0,0,0,2.15919798169615
chr1-g193,chr1,38600000,38800000,0.449425,"Aff3, Lonrf2",2.0,"451254, 43019",451254.0,43019.0,247136.5,247136.5,1,0,0,0,0,2.273154910907844
chr1-g194,chr1,38800000,39000000,0.442335,"Lonrf2, Chst10, Nms, Pdcl3",4.0,"43019, 34288, 11128, 9423",43019.0,9423.0,24464.5,22708.0,1,0,0,0,0,3.4622996511856923
chr1-g195,chr1,39000000,39200000,0.454925,"Npas2, Mir6349",2.0,"168969, 97",168969.0,97.0,84533.0,84533.0,1,0,0,0,0,3.478386321680505
chr1-g196,chr1,39200000,39400000,0.4640499999999999,"Npas2, Rpl31, Tbc1d8",3.0,"168969, 4060, 107260",168969.0,4060.0,93429.66666666669,107260.0,1,0,0,0,0,3.2694566186523693
chr1-g197,chr1,39400000,39600000,0.4545850000000001,"Tbc1d8, Cnot11, Snord89, Rnf149",4.0,"107260, 11177, 94, 26052",107260.0,94.0,36145.75,18614.5,1,0,0,0,0,2.909467641212984
chr1-g213,chr1,42600000,42800000,0.440615,"Pantr1, Pou3f3, 2900092D14Rik, Pantr2, Dalir",5.0,"46626, 4442, 2841, 6392, 2175",46626.0,2175.0,12495.2,4442.0,1,0,0,0,0,4.277198504555363
chr1-g217,chr1,43400000,43600000,0.43607,Nck2,1.0,124768,124768.0,124768.0,124768.0,124768.0,1,0,0,0,0,3.039672848770262
chr1-g258,chr1,51600000,51800000,0.418825,Myo1b,1.0,166221,166221.0,166221.0,166221.0,166221.0,1,0,0,0,0,-2.146108094264021
chr1-g259,chr1,51800000,52000000,0.4334100000000001,"Myo1b, Stat4",2.0,"166221, 120042",166221.0,120042.0,143131.5,143131.5,1,0,0,0,0,-2.146108094264021
chr1-g260,chr1,52000000,52200000,0.41651,"Stat4, Stat1, Gls",3.0,"120042, 42428, 47952",120042.0,42428.0,70140.66666666667,47952.0,1,0,0,0,0,2.267051011412751
chr1-g261,chr1,52200000,52400000,0.40854,Gls,1.0,47952,47952.0,47952.0,47952.0,47952.0,1,0,0,0,0,2.2726178315042205
chr1-g265,chr1,53000000,53200000,0.3945349999999999,"Mstn, 1700019A02Rik, Pms1",3.0,"6440, 29041, 107840",107840.0,6440.0,47773.66666666666,29041.0,1,0,0,0,0,2.0488828829210743
chr1-g266,chr1,53200000,53400000,0.401075,"Pms1, Ormdl1, Osgepl1, Asnsd1, Asdurf, Dnah7a",6.0,"107840, 13151, 12719, 8136, 4424, 309783",309783.0,4424.0,76008.83333333333,12935.0,1,0,0,0,0,2.0488828829210743
chr1-g268,chr1,53600000,53800000,0.39894,"Dnah7a, Stk17b",2.0,"309783, 29704",309783.0,29704.0,169743.5,169743.5,1,0,0,0,0,-5.838919426876289
chr1-g272,chr1,54400000,54600000,0.39782,"Gtf3c3, Pgap1",2.0,"43150, 84685",84685.0,43150.0,63917.5,63917.5,1,0,0,0,0,3.009856039469144
chr1-g275,chr1,55000000,55200000,0.430025,"Sf3b1, Coq10b, Hspe1, Hspd1, Mob4, Rftn2",6.0,"42309, 19933, 3170, 10411, 23655, 56623",56623.0,3170.0,26016.83333333333,21794.0,1,0,0,0,0,2.01782464472519
chr1-g277,chr1,55400000,55600000,0.410835,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,4.655454458003165
chr1-g278,chr1,55600000,55800000,0.413115,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,4.655454458003165
chr1-g291,chr1,58200000,58400000,0.44707,"Aox3, Aox4, Aox2, Bzw1",4.0,"87317, 58200, 100939, 14457",100939.0,14457.0,65228.25,72758.5,1,0,0,0,0,2.211815794169183
chr1-g292,chr1,58400000,58600000,0.40708,"Bzw1, Clk1, Nif3l1, Ppil3, Orc2, Fam126b, Ndufb3",7.0,"14457, 12101, 17126, 14494, 42339, 63528, 9568",63528.0,9568.0,24801.85714285714,14494.0,1,0,0,0,0,2.128351306307991
chr1-g294,chr1,58800000,59000000,0.4249599999999999,"Casp8, Trak2, Stradb",3.0,"52130, 73033, 21600",73033.0,21600.0,48921.0,52130.0,1,0,0,0,0,2.095645885945325
chr1-g295,chr1,59000000,59200000,0.41645,"C2cd6, Tmem237, Mpp4, Als2",4.0,"44395, 19825, 42455, 45609",45609.0,19825.0,38071.0,43425.0,1,0,0,0,0,1.964529818517286
chr1-g296,chr1,59200000,59400000,0.43916,"Als2, Cdk15",2.0,"45609, 95591",95591.0,45609.0,70600.0,70600.0,1,0,0,0,0,1.964529818517286
chr1-g299,chr1,59800000,60000000,0.403825,"Bmpr2, Fam117b, Ica1l",3.0,"113803, 72343, 54055",113803.0,54055.0,80067.0,72343.0,1,0,0,0,0,2.183610905986471
chr1-g300,chr1,60000000,60200000,0.403305,"Ica1l, Carf, Wdr12, Nbeal1",4.0,"54055, 55707, 21633, 154107",154107.0,21633.0,71375.5,54881.0,1,0,0,0,0,2.244638515074213
chr1-g313,chr1,62600000,62800000,0.45342,"Pard3b, Nrp2, 4930487H11Rik",3.0,"1003461, 115376, 3815",1003461.0,3815.0,374217.3333333333,115376.0,1,0,0,0,0,5.396114128336567
chr1-g314,chr1,62800000,63000000,0.4386949999999999,Nrp2,1.0,115376,115376.0,115376.0,115376.0,115376.0,1,0,0,0,0,5.396114128336567
chr1-g315,chr1,63000000,63200000,0.42548,"Ino80d, Ino80dos, Ndufs1, Snora41, Eef1b2, Gpr1",6.0,"66467, 43825, 33231, 113, 3656, 31711",66467.0,113.0,29833.83333333333,32471.0,1,0,0,0,0,1.833194921304532
chr1-g317,chr1,63400000,63600000,0.414695,Adam23,1.0,150211,150211.0,150211.0,150211.0,150211.0,1,0,0,0,0,-2.729573103225016
chr1-g330,chr1,66000000,66200000,0.387175,Map2,1.0,267255,267255.0,267255.0,267255.0,267255.0,1,0,0,0,0,2.475755466443373
chr1-g331,chr1,66200000,66400000,0.3809599999999999,Map2,1.0,267255,267255.0,267255.0,267255.0,267255.0,1,0,0,0,0,2.475755466443373
chr1-g332,chr1,66400000,66600000,0.39337,"Map2, Unc80",2.0,"267255, 231217",267255.0,231217.0,249236.0,249236.0,1,0,0,0,0,2.475755466443373
chr1-g334,chr1,66800000,67000000,0.404505,"Kansl1l, Acadl, Myl1",3.0,"98348, 32471, 20761",98348.0,20761.0,50526.66666666666,32471.0,1,0,0,0,0,2.5441324601420443
chr1-g340,chr1,68000000,68200000,0.368585,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,3.4202623111770385
chr1-g341,chr1,68200000,68400000,0.358245,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,3.4202623111770385
chr1-g342,chr1,68400000,68600000,0.36232,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,3.4202623111770385
chr1-g343,chr1,68600000,68800000,0.36027,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,3.4202623111770385
chr1-g344,chr1,68800000,69000000,0.3519049999999999,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,3.4202623111770385
chr1-g345,chr1,69000000,69200000,0.374545,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,3.4202623111770385
chr1-g361,chr1,72200000,72400000,0.446365,"Mreg, D230017M19Rik, Pecr, Tmem169, Xrcc5",5.0,"53082, 30877, 25149, 18623, 87533",87533.0,18623.0,43052.8,30877.0,1,0,0,0,0,3.027668836920897
chr1-g371,chr1,74200000,74400000,0.48077,"Mir1928, Arpc2, Pnkd, Gpbar1, Aamp, Tmbim1, Catip, Slc11a1, Mir26b, Ctdsp1",10.0,"67, 31693, 68659, 990, 4899, 16090, 7214, 10849, 85, 5677",68659.0,67.0,14622.3,6445.5,1,0,0,0,0,3.3607605679585264
chr1-g373,chr1,74600000,74800000,0.464715,"Rnf25, Stk36, Ttll4, Cyp27a1, Prkag3, Wnt6, Wnt10a",7.0,"7650, 35439, 40131, 24363, 10034, 13428, 12157",40131.0,7650.0,20457.42857142857,13428.0,1,0,1,0,0,-5.168103684628069
chr1-g375,chr1,75000000,75200000,0.3538971428571429,"Nhej1, Retreg2, Cnppd1, Slc23a3, Zfand2b, Abcb6, Ankzf1, Atg9a, Glb1l",9.0,"79294, 4752, 6950, 8349, 2892, 8752, 7226, 11150, 12544",79294.0,2892.0,15767.666666666666,8349.0,1,0,1,0,0,2.717469203570106
chr1-g376,chr1,75200000,75400000,0.486245,"Glb1l, Stk16, Tuba4a, A630095N17Rik, Dnajb2, Ptprn, Resp18, Dnpep, Des, Gm15179, Speg",11.0,"12544, 4778, 4323, 11999, 9270, 17168, 6219, 9073, 8288, 6806, 57010",57010.0,4323.0,13407.09090909091,9073.0,1,0,1,0,0,3.267768023800548
chr1-g377,chr1,75400000,75600000,0.515065,"Speg, Gmppa, Asic4, Chpf, Tmem198, Obsl1, Stk11ip, Inha, Slc4a3",9.0,"57010, 7244, 23831, 4903, 6162, 20628, 15807, 2758, 13166",57010.0,2758.0,16834.333333333332,13166.0,1,0,1,0,0,3.8543102011792887
chr1-g390,chr1,78000000,78200000,0.419485,Pax3,1.0,95870,95870.0,95870.0,95870.0,95870.0,1,0,0,0,0,2.9789245092622
chr1-g391,chr1,78200000,78400000,0.4377999999999999,Sgpp2,1.0,109941,109941.0,109941.0,109941.0,109941.0,1,0,0,0,0,2.8972572231173976
chr1-g392,chr1,78400000,78600000,0.4344949999999999,"Sgpp2, Farsb, Mogat1",3.0,"109941, 64153, 27114",109941.0,27114.0,67069.33333333333,64153.0,1,0,0,0,0,2.8972572231173976
chr1-g393,chr1,78600000,78800000,0.421915,"Utp14b, Acsl3, Gm29536",3.0,"9162, 49919, 432889",432889.0,9162.0,163990.0,49919.0,1,0,0,0,0,3.2088931344076164
chr1-g402,chr1,80400000,80600000,0.3993600000000001,"1700016L21Rik, Dock10",2.0,"29729, 257486",257486.0,29729.0,143607.5,143607.5,1,1,0,0,0,2.973927611030043
chr1-g403,chr1,80600000,80800000,0.40071,Dock10,1.0,257486,257486.0,257486.0,257486.0,257486.0,1,1,0,0,0,2.973927611030043
chr1-g405,chr1,81000000,81200000,0.377475,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,2.295394097835819
chr1-g406,chr1,81200000,81400000,0.38474,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,2.295394097835819
chr1-g420,chr1,84000000,84200000,0.408235,Pid1,1.0,248353,248353.0,248353.0,248353.0,248353.0,1,0,0,0,0,5.147232056472899
chr1-g421,chr1,84200000,84400000,0.415505,"Pid1, Mir6353, Dner",3.0,"248353, 113, 326383",326383.0,113.0,191616.3333333333,248353.0,1,0,0,0,0,5.147232056472899
chr1-g424,chr1,84800000,85000000,0.437575,"Trip12, Fbxo36, Slc16a14",3.0,"118116, 60646, 28379",118116.0,28379.0,69047.0,60646.0,1,0,0,0,0,3.6613799118687966
chr1-g428,chr1,85600000,85800000,0.44295,"Sp110, Sp140, Sp100, A630001G21Rik, Mir8096, 9930111H07Rik, Cab39",7.0,"26993, 44334, 33131, 19524, 127, 9424, 58137",58137.0,127.0,27381.42857142857,26993.0,1,0,0,0,0,2.250930898201313
chr1-g429,chr1,85800000,86000000,0.4561749999999999,"Cab39, Itm2c, 4933407L21Rik, Gpr55",4.0,"58137, 14189, 3274, 21519",58137.0,3274.0,24279.75,17854.0,1,0,0,1,0,2.6607041439988355
chr1-g431,chr1,86200000,86400000,0.46833,"Armc9, B3gnt7, Gm28626, Ncl, C130036L24Rik, Snord82, Gm24148, Snora75, Nmur1",9.0,"123505, 4085, 998, 14737, 8924, 68, 147, 116, 3120",123505.0,68.0,17300.0,3120.0,1,0,0,0,0,2.2791819207950823
chr1-g432,chr1,86400000,86600000,0.47182,"Tex44, Ptma, Pde6d, Cops7b",4.0,"1721, 4155, 39774, 23908",39774.0,1721.0,17389.5,14031.5,1,0,0,0,0,3.0882787415577453
chr1-g436,chr1,87200000,87400000,0.442185,"Chrnd, Eif4e2, Chrng, Efhd1, Gigyf2, Kcnj13",6.0,"9474, 26575, 6025, 46489, 123813, 10153",123813.0,6025.0,37088.16666666666,18364.0,1,0,0,0,0,2.21466571383488
chr1-g441,chr1,88200000,88400000,0.460845,"Ugt1a10, Ugt1a9, Ugt1a7c, Ugt1a6b, Ugt1a6a, Ugt1a5, Ugt1a2, Ugt1a1, Dnajb3, Mroh2a, 6430706D22Rik, A730008H23Rik, Hjurp, Trpm8",14.0,"164592, 149224, 125002, 115742, 85194, 53991, 19392, 8044, 1017, 35270, 6296, 12730, 18724, 82117",164592.0,1017.0,62666.78571428572,44630.5,1,0,0,0,0,2.354438436236288
chr1-g443,chr1,88600000,88800000,0.4646699999999999,"Arl4c, Platr5",2.0,"3966, 844",3966.0,844.0,2405.0,2405.0,1,0,0,0,0,7.656900177378255
chr1-g451,chr1,90200000,90400000,0.47194,Ackr3,1.0,11743,11743.0,11743.0,11743.0,11743.0,1,0,0,0,0,2.03391039403522
chr1-g453,chr1,90600000,90800000,0.46185,"Cops8, Col6a3",2.0,"9917, 77112",77112.0,9917.0,43514.5,43514.5,1,0,0,0,0,2.3940392430416724
chr1-g456,chr1,91200000,91400000,0.482995,"Ramp1, Ube2f, Scly, Espnl, Klhl30, Erfe, Ilkap",7.0,"45375, 36218, 22743, 26229, 11332, 7788, 22997",45375.0,7788.0,24668.85714285714,22997.0,1,0,0,0,0,2.528623575374083
chr1-g457,chr1,91400000,91600000,0.4835949999999999,"1700020N18Rik, Hes6, Per2, Traf3ip1, Asb1",5.0,"1151, 2556, 43347, 34640, 18511",43347.0,1151.0,20041.0,18511.0,1,0,0,0,0,3.0917606861651303
chr1-g464,chr1,92800000,93000000,0.49872,"Gpc1, Mir149, Ankmy1, Dusp28, Rnpepl1, 5033417F24Rik, Capn10, 9430060I03Rik, Gpr35",9.0,"28567, 66, 32778, 1632, 9761, 2387, 13541, 17048, 13273",32778.0,66.0,13228.111111111111,13273.0,1,0,0,0,0,4.272844367010084
chr1-g466,chr1,93200000,93400000,0.4857049999999999,"Crocc2, Sned1, Mir6901, Gm28535, Mterf4, Pask, Ppp1r7, Mir6902, Ano7, Mir6345",10.0,"62644, 60552, 62, 11349, 4675, 33352, 23989, 64, 30409, 128",62644.0,62.0,22722.4,17669.0,1,0,0,0,0,2.16364284076692
chr1-g476,chr1,95200000,95400000,0.37196,Fam174a,1.0,21657,21657.0,21657.0,21657.0,21657.0,1,0,0,0,0,2.3479395999592123
chr1-g489,chr1,97800000,98000000,0.39259,Pam,1.0,274553,274553.0,274553.0,274553.0,274553.0,1,0,0,0,0,5.692229936051177
chr1-g490,chr1,98000000,98200000,0.400825,"Pam, B230216N24Rik, 1810006J02Rik, Gm29461",4.0,"274553, 16671, 13189, 17050",274553.0,13189.0,80365.75,16860.5,1,0,0,0,0,5.692229936051177
chr1-g498,chr1,99600000,99800000,0.379045,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-6.477321859809304
chr1-g499,chr1,99800000,100000000,0.38236,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-6.477321859809304
chr1-g500,chr1,100000000,100200000,0.383215,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-6.477321859809304
chr1-g501,chr1,100200000,100400000,0.38358,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-6.477321859809304
chr1-g502,chr1,100400000,100600000,0.3777799999999999,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-6.477321859809304
chr1-g523,chr1,104600000,104800000,0.390915,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,5.450680313713627
chr1-g524,chr1,104800000,105000000,0.39346,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,5.450680313713627
chr1-g526,chr1,105200000,105400000,0.422965,"Rnf152, Gm17634",2.0,"79794, 5731",79794.0,5731.0,42762.5,42762.5,1,0,0,0,0,2.1521445478570893
chr1-g549,chr1,109800000,110000000,0.36467,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,6.533263811959891
chr1-g550,chr1,110000000,110200000,0.354165,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,6.533263811959891
chr1-g578,chr1,115600000,115800000,0.37877,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-3.1209004223308536
chr1-g579,chr1,115800000,116000000,0.386345,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-3.1209004223308536
chr1-g580,chr1,116000000,116200000,0.3899249999999999,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-3.1209004223308536
chr1-g581,chr1,116200000,116400000,0.391865,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-3.1209004223308536
chr1-g582,chr1,116400000,116600000,0.38661,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-3.1209004223308536
chr1-g591,chr1,118200000,118400000,0.42676,"Tsn, Nifk, Clasp1",3.0,"12833, 11989, 220405",220405.0,11989.0,81742.33333333333,12833.0,1,0,0,0,0,2.6252028749826555
chr1-g616,chr1,123200000,123400000,0.384725,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-4.564224265320463
chr1-g617,chr1,123400000,123600000,0.3720099999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-4.564224265320463
chr1-g618,chr1,123600000,123800000,0.3797149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-4.564224265320463
chr1-g619,chr1,123800000,124000000,0.3818149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-4.564224265320463
