200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,Granule_pol_ass,Granule_spk_ass,log2FC_G2P
chr1-g172,chr1,34400000,34600000,0.4595450000000001,"Imp4, Ccdc115, Mir5103, Ptpn18, Prss39, Cfc1, Prss40, Amer3",8.0,"5919, 3003, 79, 14034, 4651, 8664, 8613, 11252",14034.0,79.0,7026.875,7266.0,1,0,0,0,0,3.1773644646777
chr1-g173,chr1,34600000,34800000,0.461045,"AA619741, Arhgef4",2.0,"2676, 134557",134557.0,2676.0,68616.5,68616.5,1,0,0,0,0,4.282004431921048
chr1-g174,chr1,34800000,35000000,0.454225,"Arhgef4, Fam168b, Plekhb2",3.0,"134557, 29833, 29627",134557.0,29627.0,64672.333333333336,29833.0,1,0,0,0,0,4.282004431921048
chr1-g180,chr1,36000000,36200000,0.469545,"Hs6st1, Mir6897, Uggt1",3.0,"38047, 62, 104275",104275.0,62.0,47461.333333333336,38047.0,1,0,0,0,0,2.663565826002422
chr1-g182,chr1,36400000,36600000,0.502155,"Fer1l5, Lman2l, Cnnm4, Cnnm3, Ankrd23, Ankrd39, Sema4c, Fam178b",8.0,"49921, 22086, 37180, 16370, 6364, 9082, 9743, 120488",120488.0,6364.0,33904.25,19228.0,1,0,0,0,0,3.164244337472535
chr1-g183,chr1,36600000,36800000,0.4842299999999999,"Fam178b, Cox5b, Actr1b, 4933424G06Rik, Zap70, Tmem131",6.0,"120488, 1902, 10724, 43423, 21023, 147339",147339.0,1902.0,57483.16666666666,32223.0,1,0,0,0,0,2.299491355750529
chr1-g184,chr1,36800000,37000000,0.4340349999999999,Tmem131,1.0,147339,147339.0,147339.0,147339.0,147339.0,1,0,0,0,0,2.299491355750529
chr1-g189,chr1,37800000,38000000,0.42717,"Tsga10, Lipt1, Mrpl30, Mitd1, Lyg2, Lyg1, Eif5b, Txndc9",8.0,"104475, 4093, 7862, 11524, 10571, 11022, 57570, 13342",104475.0,4093.0,27557.375,11273.0,1,0,0,0,0,2.2066032924121566
chr1-g190,chr1,38000000,38200000,0.417815,"Eif5b, Rev1, Gm5099, Aff3",4.0,"57570, 76881, 27810, 451254",451254.0,27810.0,153378.75,67225.5,1,0,0,0,0,2.009607468839068
chr1-g193,chr1,38600000,38800000,0.449425,"Aff3, Lonrf2",2.0,"451254, 43019",451254.0,43019.0,247136.5,247136.5,1,0,0,0,0,3.2175858253160774
chr1-g194,chr1,38800000,39000000,0.442335,"Lonrf2, Chst10, Nms, Pdcl3",4.0,"43019, 34288, 11128, 9423",43019.0,9423.0,24464.5,22708.0,1,0,0,0,0,3.856196707989581
chr1-g196,chr1,39200000,39400000,0.4640499999999999,"Npas2, Rpl31, Tbc1d8",3.0,"168969, 4060, 107260",168969.0,4060.0,93429.66666666669,107260.0,1,0,0,0,0,4.9239347213552165
chr1-g197,chr1,39400000,39600000,0.4545850000000001,"Tbc1d8, Cnot11, Snord89, Rnf149",4.0,"107260, 11177, 94, 26052",107260.0,94.0,36145.75,18614.5,1,0,0,0,0,4.9239347213552165
chr1-g200,chr1,40000000,40200000,0.44882,"Map4k4, Il1r2, Gm16894",3.0,"125398, 39138, 9640",125398.0,9640.0,58058.66666666666,39138.0,1,0,0,0,0,2.827500553472928
chr1-g213,chr1,42600000,42800000,0.440615,"Pantr1, Pou3f3, 2900092D14Rik, Pantr2, Dalir",5.0,"46626, 4442, 2841, 6392, 2175",46626.0,2175.0,12495.2,4442.0,1,0,0,0,0,1.4706755754959302
chr1-g217,chr1,43400000,43600000,0.43607,Nck2,1.0,124768,124768.0,124768.0,124768.0,124768.0,1,0,0,0,0,2.95504123463518
chr1-g230,chr1,46000000,46200000,0.40191,"Stk-ps2, Dnah7b",2.0,"10023, 306694",306694.0,10023.0,158358.5,158358.5,1,0,0,0,0,-2.6956631599538263
chr1-g231,chr1,46200000,46400000,0.396885,Dnah7b,1.0,306694,306694.0,306694.0,306694.0,306694.0,1,0,0,0,0,-2.6956631599538263
chr1-g258,chr1,51600000,51800000,0.418825,Myo1b,1.0,166221,166221.0,166221.0,166221.0,166221.0,1,0,0,0,0,-4.628119570233556
chr1-g259,chr1,51800000,52000000,0.4334100000000001,"Myo1b, Stat4",2.0,"166221, 120042",166221.0,120042.0,143131.5,143131.5,1,0,0,0,0,-4.628119570233556
chr1-g260,chr1,52000000,52200000,0.41651,"Stat4, Stat1, Gls",3.0,"120042, 42428, 47952",120042.0,42428.0,70140.66666666667,47952.0,1,0,0,0,0,3.0267421217704924
chr1-g261,chr1,52200000,52400000,0.40854,Gls,1.0,47952,47952.0,47952.0,47952.0,47952.0,1,0,0,0,0,3.036330051077653
chr1-g263,chr1,52600000,52800000,0.4160699999999999,"Nemp2, Mfsd6, Inpp1",3.0,"21215, 71073, 28269",71073.0,21215.0,40185.66666666666,28269.0,1,0,0,0,0,2.7851362501156927
chr1-g265,chr1,53000000,53200000,0.3945349999999999,"Mstn, 1700019A02Rik, Pms1",3.0,"6440, 29041, 107840",107840.0,6440.0,47773.66666666666,29041.0,1,0,0,0,0,2.7190660924487933
chr1-g266,chr1,53200000,53400000,0.401075,"Pms1, Ormdl1, Osgepl1, Asnsd1, Asdurf, Dnah7a",6.0,"107840, 13151, 12719, 8136, 4424, 309783",309783.0,4424.0,76008.83333333333,12935.0,1,0,0,0,0,2.648687928845773
chr1-g268,chr1,53600000,53800000,0.39894,"Dnah7a, Stk17b",2.0,"309783, 29704",309783.0,29704.0,169743.5,169743.5,1,0,0,0,0,-5.751354665394789
chr1-g272,chr1,54400000,54600000,0.39782,"Gtf3c3, Pgap1",2.0,"43150, 84685",84685.0,43150.0,63917.5,63917.5,1,0,0,0,0,3.242875528459209
chr1-g275,chr1,55000000,55200000,0.430025,"Sf3b1, Coq10b, Hspe1, Hspd1, Mob4, Rftn2",6.0,"42309, 19933, 3170, 10411, 23655, 56623",56623.0,3170.0,26016.83333333333,21794.0,1,0,0,0,0,2.813042847507293
chr1-g277,chr1,55400000,55600000,0.410835,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,4.711941297702978
chr1-g278,chr1,55600000,55800000,0.413115,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,4.711941297702978
chr1-g288,chr1,57600000,57800000,0.424635,Spats2l,1.0,173537,173537.0,173537.0,173537.0,173537.0,1,0,0,0,0,-4.305312019863453
chr1-g289,chr1,57800000,58000000,0.43088,"Spats2l, Kctd18, Sgo2a",3.0,"173537, 14984, 30304",173537.0,14984.0,72941.66666666667,30304.0,1,0,0,0,0,-4.305312019863453
chr1-g292,chr1,58400000,58600000,0.40708,"Bzw1, Clk1, Nif3l1, Ppil3, Orc2, Fam126b, Ndufb3",7.0,"14457, 12101, 17126, 14494, 42339, 63528, 9568",63528.0,9568.0,24801.85714285714,14494.0,1,0,0,0,0,2.5719320432484354
chr1-g295,chr1,59000000,59200000,0.41645,"C2cd6, Tmem237, Mpp4, Als2",4.0,"44395, 19825, 42455, 45609",45609.0,19825.0,38071.0,43425.0,1,0,0,0,0,5.490887413444086
chr1-g296,chr1,59200000,59400000,0.43916,"Als2, Cdk15",2.0,"45609, 95591",95591.0,45609.0,70600.0,70600.0,1,0,0,0,0,5.490887413444086
chr1-g298,chr1,59600000,59800000,0.410545,"Gm973, Sumo1, Snord70, Nop58, Snord11, Bmpr2",6.0,"112123, 31401, 53, 26505, 63, 113803",113803.0,53.0,47324.66666666666,28953.0,1,0,0,0,0,2.174404387018612
chr1-g299,chr1,59800000,60000000,0.403825,"Bmpr2, Fam117b, Ica1l",3.0,"113803, 72343, 54055",113803.0,54055.0,80067.0,72343.0,1,0,0,0,0,2.570675626444212
chr1-g300,chr1,60000000,60200000,0.403305,"Ica1l, Carf, Wdr12, Nbeal1",4.0,"54055, 55707, 21633, 154107",154107.0,21633.0,71375.5,54881.0,1,0,0,0,0,3.4597269477060526
chr1-g315,chr1,63000000,63200000,0.42548,"Ino80d, Ino80dos, Ndufs1, Snora41, Eef1b2, Gpr1",6.0,"66467, 43825, 33231, 113, 3656, 31711",66467.0,113.0,29833.83333333333,32471.0,1,0,0,0,0,2.413888272625839
chr1-g320,chr1,64000000,64200000,0.43138,"Mir6899, Klf7",2.0,"64, 85719",85719.0,64.0,42891.5,42891.5,1,0,0,0,0,5.287543931227703
chr1-g330,chr1,66000000,66200000,0.387175,Map2,1.0,267255,267255.0,267255.0,267255.0,267255.0,1,0,0,0,0,3.139619863720091
chr1-g331,chr1,66200000,66400000,0.3809599999999999,Map2,1.0,267255,267255.0,267255.0,267255.0,267255.0,1,0,0,0,0,3.139619863720091
chr1-g332,chr1,66400000,66600000,0.39337,"Map2, Unc80",2.0,"267255, 231217",267255.0,231217.0,249236.0,249236.0,1,0,0,0,0,3.139619863720091
chr1-g334,chr1,66800000,67000000,0.404505,"Kansl1l, Acadl, Myl1",3.0,"98348, 32471, 20761",98348.0,20761.0,50526.66666666666,32471.0,1,0,0,0,0,2.080514206313936
chr1-g340,chr1,68000000,68200000,0.368585,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,6.394532042149798
chr1-g341,chr1,68200000,68400000,0.358245,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,6.394532042149798
chr1-g342,chr1,68400000,68600000,0.36232,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,6.394532042149798
chr1-g343,chr1,68600000,68800000,0.36027,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,6.394532042149798
chr1-g344,chr1,68800000,69000000,0.3519049999999999,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,6.394532042149798
chr1-g345,chr1,69000000,69200000,0.374545,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,6.394532042149798
chr1-g361,chr1,72200000,72400000,0.446365,"Mreg, D230017M19Rik, Pecr, Tmem169, Xrcc5",5.0,"53082, 30877, 25149, 18623, 87533",87533.0,18623.0,43052.8,30877.0,1,0,0,0,0,2.6225870038512977
chr1-g362,chr1,72400000,72600000,0.44965,"March4, Smarcal1",2.0,"110048, 53540",110048.0,53540.0,81794.0,81794.0,1,0,0,0,0,-4.164610777065823
chr1-g363,chr1,72600000,72800000,0.43339,"Smarcal1, Ankar, Rpl37a",3.0,"53540, 57600, 2554",57600.0,2554.0,37898.0,53540.0,1,0,0,0,0,2.0608225163339284
chr1-g364,chr1,72800000,73000000,0.45772,"Igfbp2, Igfbp5",2.0,"27992, 16801",27992.0,16801.0,22396.5,22396.5,1,0,0,0,0,7.256677114987207
chr1-g371,chr1,74200000,74400000,0.48077,"Mir1928, Arpc2, Pnkd, Gpbar1, Aamp, Tmbim1, Catip, Slc11a1, Mir26b, Ctdsp1",10.0,"67, 31693, 68659, 990, 4899, 16090, 7214, 10849, 85, 5677",68659.0,67.0,14622.3,6445.5,1,0,0,0,0,3.027500497724189
chr1-g373,chr1,74600000,74800000,0.464715,"Rnf25, Stk36, Ttll4, Cyp27a1, Prkag3, Wnt6, Wnt10a",7.0,"7650, 35439, 40131, 24363, 10034, 13428, 12157",40131.0,7650.0,20457.42857142857,13428.0,1,0,1,0,0,-5.071494534564498
chr1-g375,chr1,75000000,75200000,0.3538971428571429,"Nhej1, Retreg2, Cnppd1, Slc23a3, Zfand2b, Abcb6, Ankzf1, Atg9a, Glb1l",9.0,"79294, 4752, 6950, 8349, 2892, 8752, 7226, 11150, 12544",79294.0,2892.0,15767.666666666666,8349.0,1,0,1,0,0,2.556598701555722
chr1-g376,chr1,75200000,75400000,0.486245,"Glb1l, Stk16, Tuba4a, A630095N17Rik, Dnajb2, Ptprn, Resp18, Dnpep, Des, Gm15179, Speg",11.0,"12544, 4778, 4323, 11999, 9270, 17168, 6219, 9073, 8288, 6806, 57010",57010.0,4323.0,13407.09090909091,9073.0,1,0,1,0,0,5.900646076351395
chr1-g377,chr1,75400000,75600000,0.515065,"Speg, Gmppa, Asic4, Chpf, Tmem198, Obsl1, Stk11ip, Inha, Slc4a3",9.0,"57010, 7244, 23831, 4903, 6162, 20628, 15807, 2758, 13166",57010.0,2758.0,16834.333333333332,13166.0,1,0,1,0,0,5.718955545435733
chr1-g386,chr1,77200000,77400000,0.416465,Epha4,1.0,147904,147904.0,147904.0,147904.0,147904.0,1,0,0,0,0,-3.932380250926885
chr1-g387,chr1,77400000,77600000,0.42094,"Epha4, Mir6352",2.0,"147904, 116",147904.0,116.0,74010.0,74010.0,1,0,0,0,0,-3.932380250926885
chr1-g391,chr1,78200000,78400000,0.4377999999999999,Sgpp2,1.0,109941,109941.0,109941.0,109941.0,109941.0,1,0,0,0,0,3.879565122831553
chr1-g392,chr1,78400000,78600000,0.4344949999999999,"Sgpp2, Farsb, Mogat1",3.0,"109941, 64153, 27114",109941.0,27114.0,67069.33333333333,64153.0,1,1,0,0,0,3.879565122831553
chr1-g405,chr1,81000000,81200000,0.377475,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,3.5370480174570376
chr1-g406,chr1,81200000,81400000,0.38474,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,3.5370480174570376
chr1-g416,chr1,83200000,83400000,0.3997,"Daw1, Sphkap",2.0,"50811, 152757",152757.0,50811.0,101784.0,101784.0,1,0,0,0,0,2.364361371066317
chr1-g417,chr1,83400000,83600000,0.388845,Sphkap,1.0,152757,152757.0,152757.0,152757.0,152757.0,1,0,0,0,0,2.364361371066317
chr1-g420,chr1,84000000,84200000,0.408235,Pid1,1.0,248353,248353.0,248353.0,248353.0,248353.0,1,1,0,0,0,2.550164701785414
chr1-g421,chr1,84200000,84400000,0.415505,"Pid1, Mir6353, Dner",3.0,"248353, 113, 326383",326383.0,113.0,191616.3333333333,248353.0,1,1,0,0,0,-2.814813725018229
chr1-g422,chr1,84400000,84600000,0.42382,Dner,1.0,326383,326383.0,326383.0,326383.0,326383.0,1,1,0,0,1,-5.209769302253123
chr1-g423,chr1,84600000,84800000,0.41417,"Dner, Mir5126, Trip12",3.0,"326383, 77, 118116",326383.0,77.0,148192.0,118116.0,1,1,0,0,1,-5.209769302253123
chr1-g428,chr1,85600000,85800000,0.44295,"Sp110, Sp140, Sp100, A630001G21Rik, Mir8096, 9930111H07Rik, Cab39",7.0,"26993, 44334, 33131, 19524, 127, 9424, 58137",58137.0,127.0,27381.42857142857,26993.0,1,0,0,0,0,2.2495547385237176
chr1-g429,chr1,85800000,86000000,0.4561749999999999,"Cab39, Itm2c, 4933407L21Rik, Gpr55",4.0,"58137, 14189, 3274, 21519",58137.0,3274.0,24279.75,17854.0,1,0,0,0,0,2.58403068181487
chr1-g432,chr1,86400000,86600000,0.47182,"Tex44, Ptma, Pde6d, Cops7b",4.0,"1721, 4155, 39774, 23908",39774.0,1721.0,17389.5,14031.5,1,0,0,0,0,2.506136605734511
chr1-g436,chr1,87200000,87400000,0.442185,"Chrnd, Eif4e2, Chrng, Efhd1, Gigyf2, Kcnj13",6.0,"9474, 26575, 6025, 46489, 123813, 10153",123813.0,6025.0,37088.16666666666,18364.0,1,0,0,0,0,2.0896268841522763
chr1-g439,chr1,87800000,88000000,0.446345,"Sag, Dgkd, Gm19582, Usp40",4.0,"41478, 91203, 953, 63431",91203.0,953.0,49266.25,52454.5,1,0,0,0,0,3.3874005876409035
chr1-g443,chr1,88600000,88800000,0.4646699999999999,"Arl4c, Platr5",2.0,"3966, 844",3966.0,844.0,2405.0,2405.0,1,0,0,0,0,3.5400238324788256
chr1-g447,chr1,89400000,89600000,0.4913949999999999,"C030007H22Rik, Agap1",2.0,"45790, 440472",440472.0,45790.0,243131.0,243131.0,1,0,0,0,0,2.3498328037466525
chr1-g448,chr1,89600000,89800000,0.48004,"Agap1, 4933400F21Rik",2.0,"440472, 7386",440472.0,7386.0,223929.0,223929.0,1,0,0,0,0,2.3498328037466525
chr1-g449,chr1,89800000,90000000,0.482105,"Agap1, Gbx2, Asb18",3.0,"440472, 3215, 62076",440472.0,3215.0,168587.66666666666,62076.0,1,0,0,0,0,2.3498328037466525
chr1-g453,chr1,90600000,90800000,0.46185,"Cops8, Col6a3",2.0,"9917, 77112",77112.0,9917.0,43514.5,43514.5,1,0,0,0,0,2.261307468747592
chr1-g454,chr1,90800000,91000000,0.477505,"Col6a3, Mlph, Prlh, Rab17, Lrrfip1",5.0,"77112, 36043, 905, 11488, 130218",130218.0,905.0,51153.2,36043.0,1,0,0,0,0,-3.7227078712585007
chr1-g455,chr1,91000000,91200000,0.467165,"Lrrfip1, Rbm44, Ramp1",3.0,"130218, 25693, 45375",130218.0,25693.0,67095.33333333333,45375.0,1,0,0,0,0,-3.7227078712585007
chr1-g456,chr1,91200000,91400000,0.482995,"Ramp1, Ube2f, Scly, Espnl, Klhl30, Erfe, Ilkap",7.0,"45375, 36218, 22743, 26229, 11332, 7788, 22997",45375.0,7788.0,24668.85714285714,22997.0,1,0,0,0,0,2.330864649736634
chr1-g457,chr1,91400000,91600000,0.4835949999999999,"1700020N18Rik, Hes6, Per2, Traf3ip1, Asb1",5.0,"1151, 2556, 43347, 34640, 18511",43347.0,1151.0,20041.0,18511.0,1,0,0,0,0,3.198240197716704
chr1-g464,chr1,92800000,93000000,0.49872,"Gpc1, Mir149, Ankmy1, Dusp28, Rnpepl1, 5033417F24Rik, Capn10, 9430060I03Rik, Gpr35",9.0,"28567, 66, 32778, 1632, 9761, 2387, 13541, 17048, 13273",32778.0,66.0,13228.111111111111,13273.0,1,0,0,0,0,4.123055115285174
chr1-g466,chr1,93200000,93400000,0.4857049999999999,"Crocc2, Sned1, Mir6901, Gm28535, Mterf4, Pask, Ppp1r7, Mir6902, Ano7, Mir6345",10.0,"62644, 60552, 62, 11349, 4675, 33352, 23989, 64, 30409, 128",62644.0,62.0,22722.4,17669.0,1,0,0,0,0,1.937232129752984
chr1-g468,chr1,93600000,93800000,0.464205,"Farp2, Stk25, Bok, Thap4, Atg4b, Dtymk",6.0,"109873, 14977, 10196, 49448, 34698, 9359",109873.0,9359.0,38091.833333333336,24837.5,1,0,0,0,0,1.972787084052065
chr1-g469,chr1,93800000,94000000,0.45627,"Dtymk, Ing5, D2hgdh, Gal3st2, Gal3st2b, Gal3st2c",6.0,"9359, 18136, 27122, 15151, 22803, 21035",27122.0,9359.0,18934.33333333333,19585.5,1,0,0,0,0,1.972787084052065
chr1-g498,chr1,99600000,99800000,0.379045,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-7.03757627504401
chr1-g499,chr1,99800000,100000000,0.38236,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,1,-7.03757627504401
chr1-g500,chr1,100000000,100200000,0.383215,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-7.03757627504401
chr1-g501,chr1,100200000,100400000,0.38358,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-7.03757627504401
chr1-g502,chr1,100400000,100600000,0.3777799999999999,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-7.03757627504401
chr1-g523,chr1,104600000,104800000,0.390915,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,3.690858105671406
chr1-g524,chr1,104800000,105000000,0.39346,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,3.690858105671406
chr1-g526,chr1,105200000,105400000,0.422965,"Rnf152, Gm17634",2.0,"79794, 5731",79794.0,5731.0,42762.5,42762.5,1,0,0,0,0,3.5903993142420885
chr1-g530,chr1,106000000,106200000,0.43044,"Zcchc2, Phlpp1, Gm20753",3.0,"43674, 222377, 18900",222377.0,18900.0,94983.66666666669,43674.0,1,0,0,0,0,2.5364698303314963
chr1-g531,chr1,106200000,106400000,0.407485,Phlpp1,1.0,222377,222377.0,222377.0,222377.0,222377.0,1,0,0,0,0,2.5364698303314963
chr1-g532,chr1,106400000,106600000,0.43077,"Mir3473f, Bcl2",2.0,"136, 176115",176115.0,136.0,88125.5,88125.5,1,0,0,0,0,2.397538052844025
chr1-g533,chr1,106600000,106800000,0.425805,"Bcl2, Kdsr, Vps4b",3.0,"176115, 39333, 25938",176115.0,25938.0,80462.0,39333.0,1,0,0,0,0,2.397538052844025
chr1-g549,chr1,109800000,110000000,0.36467,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,8.341392664985264
chr1-g550,chr1,110000000,110200000,0.354165,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,8.341392664985264
