200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,MLI1_pol_ass,MLI1_spk_ass,Bergmann_pol_ass,Bergmann_spk_ass,log2FC_B2M
chr1-g119,chr1,23800000,24000000,0.415275,"B3gat2, Smap1, Sdhaf4",3.0,"85933, 76757, 9702",85933.0,9702.0,57464.0,76757.0,1,0,0,0,0,-2.8725924530312765
chr1-g160,chr1,32000000,32200000,0.37056,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-5.163069772501218
chr1-g161,chr1,32200000,32400000,0.37549,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-5.163069772501218
chr1-g162,chr1,32400000,32600000,0.377715,"Khdrbs2, Gm9839, Gm5415",3.0,"485848, 1437, 3748",485848.0,1437.0,163677.66666666666,3748.0,1,0,0,0,0,-5.163069772501218
chr1-g163,chr1,32600000,32800000,0.3855,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-5.163069772501218
chr1-g169,chr1,33800000,34000000,0.430625,"Zfp451, Gm15455, Bend6, Dst",4.0,"12636, 3016, 55716, 400438",400438.0,3016.0,117951.5,34176.0,1,0,0,0,0,-4.794813094982469
chr1-g182,chr1,36400000,36600000,0.502155,"Fer1l5, Lman2l, Cnnm4, Cnnm3, Ankrd23, Ankrd39, Sema4c, Fam178b",8.0,"49921, 22086, 37180, 16370, 6364, 9082, 9743, 120488",120488.0,6364.0,33904.25,19228.0,1,0,0,0,0,-3.645909732595306
chr1-g263,chr1,52600000,52800000,0.4160699999999999,"Nemp2, Mfsd6, Inpp1",3.0,"21215, 71073, 28269",71073.0,21215.0,40185.66666666666,28269.0,1,0,0,0,0,-3.932191089030216
chr1-g269,chr1,53800000,54000000,0.4101249999999999,"Mir7681, Hecw2",2.0,"72, 264220",264220.0,72.0,132146.0,132146.0,1,0,0,0,0,-6.657024566527121
chr1-g270,chr1,54000000,54200000,0.412155,Hecw2,1.0,264220,264220.0,264220.0,264220.0,264220.0,1,0,0,0,0,-6.657024566527121
chr1-g275,chr1,55000000,55200000,0.430025,"Sf3b1, Coq10b, Hspe1, Hspd1, Mob4, Rftn2",6.0,"42309, 19933, 3170, 10411, 23655, 56623",56623.0,3170.0,26016.83333333333,21794.0,1,0,0,0,0,5.476404199121564
chr1-g276,chr1,55200000,55400000,0.401785,"Rftn2, Mars2, Boll",3.0,"56623, 2882, 64019",64019.0,2882.0,41174.66666666666,56623.0,1,0,0,0,0,5.476404199121564
chr1-g308,chr1,61600000,61800000,0.39473,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,4.307703720245836
chr1-g309,chr1,61800000,62000000,0.38261,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,4.307703720245836
chr1-g310,chr1,62000000,62200000,0.387195,"Pard3b, Pard3bos2",2.0,"1003461, 5001",1003461.0,5001.0,504231.0,504231.0,1,0,0,0,0,4.307703720245836
chr1-g311,chr1,62200000,62400000,0.39466,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,4.307703720245836
chr1-g312,chr1,62400000,62600000,0.405275,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,4.307703720245836
chr1-g313,chr1,62600000,62800000,0.45342,"Pard3b, Nrp2, 4930487H11Rik",3.0,"1003461, 115376, 3815",1003461.0,3815.0,374217.3333333333,115376.0,1,0,0,0,0,2.1741778813059662
chr1-g314,chr1,62800000,63000000,0.4386949999999999,Nrp2,1.0,115376,115376.0,115376.0,115376.0,115376.0,1,0,0,0,0,-6.371319437904478
chr1-g360,chr1,72000000,72200000,0.4354099999999999,"4933417E11Rik, Mreg",2.0,"46198, 53082",53082.0,46198.0,49640.0,49640.0,1,0,0,0,0,-4.247729748904371
chr1-g361,chr1,72200000,72400000,0.446365,"Mreg, D230017M19Rik, Pecr, Tmem169, Xrcc5",5.0,"53082, 30877, 25149, 18623, 87533",87533.0,18623.0,43052.8,30877.0,1,0,0,0,0,-6.609309398445807
chr1-g362,chr1,72400000,72600000,0.44965,"March4, Smarcal1",2.0,"110048, 53540",110048.0,53540.0,81794.0,81794.0,1,0,0,0,0,-7.703395493355074
chr1-g369,chr1,73800000,74000000,0.483085,"6030407O03Rik, Mir6351, Tns1",3.0,"246086, 99, 214317",246086.0,99.0,153500.66666666666,214317.0,1,0,0,0,0,4.959132301792415
chr1-g370,chr1,74000000,74200000,0.494215,"Tns1, Rufy4, Cxcr2, Cxcr1",4.0,"214317, 22690, 7253, 2846",214317.0,2846.0,61776.5,14971.5,1,0,0,0,0,4.959132301792415
chr1-g376,chr1,75200000,75400000,0.486245,"Glb1l, Stk16, Tuba4a, A630095N17Rik, Dnajb2, Ptprn, Resp18, Dnpep, Des, Gm15179, Speg",11.0,"12544, 4778, 4323, 11999, 9270, 17168, 6219, 9073, 8288, 6806, 57010",57010.0,4323.0,13407.09090909091,9073.0,1,0,0,0,0,-6.161385974483924
chr1-g390,chr1,78000000,78200000,0.419485,Pax3,1.0,95870,95870.0,95870.0,95870.0,95870.0,1,0,0,0,0,4.96342770458572
chr1-g391,chr1,78200000,78400000,0.4377999999999999,Sgpp2,1.0,109941,109941.0,109941.0,109941.0,109941.0,1,0,0,0,0,-5.806164085510633
chr1-g392,chr1,78400000,78600000,0.4344949999999999,"Sgpp2, Farsb, Mogat1",3.0,"109941, 64153, 27114",109941.0,27114.0,67069.33333333333,64153.0,1,0,0,0,0,-5.806164085510633
chr1-g398,chr1,79600000,79800000,0.43379,"Ap1s3, Wdfy1, Mrpl44, Serpine2",4.0,"65097, 35367, 5428, 64345",65097.0,5428.0,42559.25,49856.0,1,0,0,0,0,5.342023748377817
chr1-g399,chr1,79800000,80000000,0.432,Serpine2,1.0,64345,64345.0,64345.0,64345.0,64345.0,1,0,0,0,0,5.342023748377817
chr1-g405,chr1,81000000,81200000,0.377475,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,-4.775535775339606
chr1-g406,chr1,81200000,81400000,0.38474,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,-4.775535775339606
chr1-g416,chr1,83200000,83400000,0.3997,"Daw1, Sphkap",2.0,"50811, 152757",152757.0,50811.0,101784.0,101784.0,1,1,0,0,0,-5.231183266941749
chr1-g417,chr1,83400000,83600000,0.388845,Sphkap,1.0,152757,152757.0,152757.0,152757.0,152757.0,1,0,0,0,0,-5.231183266941749
chr1-g420,chr1,84000000,84200000,0.408235,Pid1,1.0,248353,248353.0,248353.0,248353.0,248353.0,1,1,0,0,0,-7.209972368538817
chr1-g421,chr1,84200000,84400000,0.415505,"Pid1, Mir6353, Dner",3.0,"248353, 113, 326383",326383.0,113.0,191616.3333333333,248353.0,1,1,0,0,0,-6.501450254394951
chr1-g422,chr1,84400000,84600000,0.42382,Dner,1.0,326383,326383.0,326383.0,326383.0,326383.0,1,1,0,0,0,-5.94122346640708
chr1-g423,chr1,84600000,84800000,0.41417,"Dner, Mir5126, Trip12",3.0,"326383, 77, 118116",326383.0,77.0,148192.0,118116.0,1,1,0,0,0,-5.94122346640708
chr1-g436,chr1,87200000,87400000,0.442185,"Chrnd, Eif4e2, Chrng, Efhd1, Gigyf2, Kcnj13",6.0,"9474, 26575, 6025, 46489, 123813, 10153",123813.0,6025.0,37088.16666666666,18364.0,1,0,0,0,0,4.313877690195623
chr1-g443,chr1,88600000,88800000,0.4646699999999999,"Arl4c, Platr5",2.0,"3966, 844",3966.0,844.0,2405.0,2405.0,1,0,0,0,0,-3.9326785708649927
chr1-g455,chr1,91000000,91200000,0.467165,"Lrrfip1, Rbm44, Ramp1",3.0,"130218, 25693, 45375",130218.0,25693.0,67095.33333333333,45375.0,1,0,0,0,0,3.72690849812866
chr1-g456,chr1,91200000,91400000,0.482995,"Ramp1, Ube2f, Scly, Espnl, Klhl30, Erfe, Ilkap",7.0,"45375, 36218, 22743, 26229, 11332, 7788, 22997",45375.0,7788.0,24668.85714285714,22997.0,1,0,0,0,0,3.72690849812866
chr1-g466,chr1,93200000,93400000,0.4857049999999999,"Crocc2, Sned1, Mir6901, Gm28535, Mterf4, Pask, Ppp1r7, Mir6902, Ano7, Mir6345",10.0,"62644, 60552, 62, 11349, 4675, 33352, 23989, 64, 30409, 128",62644.0,62.0,22722.4,17669.0,1,0,0,0,0,3.608801270765209
chr1-g476,chr1,95200000,95400000,0.37196,Fam174a,1.0,21657,21657.0,21657.0,21657.0,21657.0,1,0,0,0,0,-4.005735096213293
chr1-g489,chr1,97800000,98000000,0.39259,Pam,1.0,274553,274553.0,274553.0,274553.0,274553.0,1,0,0,0,0,-3.777048790372679
chr1-g490,chr1,98000000,98200000,0.400825,"Pam, B230216N24Rik, 1810006J02Rik, Gm29461",4.0,"274553, 16671, 13189, 17050",274553.0,13189.0,80365.75,16860.5,1,0,0,0,0,-3.777048790372679
chr1-g523,chr1,104600000,104800000,0.390915,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,3.80682861914415
chr1-g524,chr1,104800000,105000000,0.39346,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,3.80682861914415
chr1-g526,chr1,105200000,105400000,0.422965,"Rnf152, Gm17634",2.0,"79794, 5731",79794.0,5731.0,42762.5,42762.5,1,0,0,0,0,-3.234646271276745
chr1-g549,chr1,109800000,110000000,0.36467,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,-6.125426651157159
chr1-g550,chr1,110000000,110200000,0.354165,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,-6.125426651157159
chr1-g554,chr1,110800000,111000000,0.35146,Cdh19,1.0,89268,89268.0,89268.0,89268.0,89268.0,1,0,0,0,0,5.942260018279521
chr1-g594,chr1,118800000,119000000,0.49067,"Gli2, Mir6346",2.0,"219559, 80",219559.0,80.0,109819.5,109819.5,1,0,0,0,0,7.589053989550988
chr1-g595,chr1,119000000,119200000,0.484925,Gli2,1.0,219559,219559.0,219559.0,219559.0,219559.0,1,0,0,0,0,7.589053989550988
chr1-g605,chr1,121000000,121200000,0.43366,Celrr,1.0,33571,33571.0,33571.0,33571.0,33571.0,1,0,0,0,0,3.8220995553873056
chr1-g616,chr1,123200000,123400000,0.384725,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,-3.4180616091134586
chr1-g617,chr1,123400000,123600000,0.3720099999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,-3.4180616091134586
chr1-g618,chr1,123600000,123800000,0.3797149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,-3.4180616091134586
chr1-g619,chr1,123800000,124000000,0.3818149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,-3.4180616091134586
chr1-g620,chr1,124000000,124200000,0.3798549999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,-3.4180616091134586
chr1-g629,chr1,125800000,126000000,0.43545,"Gpr39, Lypd1, Nckap5",3.0,"196866, 45307, 916997",916997.0,45307.0,386390.0,196866.0,1,0,0,0,0,4.91294369495642
chr1-g630,chr1,126000000,126200000,0.41853,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,4.91294369495642
chr1-g631,chr1,126200000,126400000,0.4144100000000001,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,4.91294369495642
chr1-g632,chr1,126400000,126600000,0.4280049999999999,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,4.91294369495642
chr1-g633,chr1,126600000,126800000,0.430525,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,4.91294369495642
chr1-g634,chr1,126800000,127000000,0.4302449999999999,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,4.91294369495642
chr1-g636,chr1,127200000,127400000,0.455265,Mgat5,1.0,277987,277987.0,277987.0,277987.0,277987.0,1,0,0,0,0,-5.335505753823897
chr1-g637,chr1,127400000,127600000,0.462655,"Mgat5, Tmem163",2.0,"277987, 187680",277987.0,187680.0,232833.5,232833.5,1,0,0,0,0,-5.335505753823897
chr1-g664,chr1,132800000,133000000,0.48096,"Lrrn2, Mdm4",2.0,"59651, 44483",59651.0,44483.0,52067.0,52067.0,1,0,0,0,0,-3.1424593001582357
chr1-g665,chr1,133000000,133200000,0.4727499999999999,"Mdm4, Pik3c2b, Ppp1r15b",3.0,"44483, 62677, 8635",62677.0,8635.0,38598.333333333336,44483.0,1,0,0,0,0,-3.987207794003
chr1-g670,chr1,134000000,134200000,0.48606,"Fmod, Btg2, Chit1, Chil1, Mybph, Adora1",6.0,"11027, 4291, 40299, 7628, 7785, 36243",40299.0,4291.0,17878.833333333332,9406.0,1,0,0,0,0,5.63946717161527
chr1-g671,chr1,134200000,134400000,0.48246,"Mybph, Adora1, Myog, Myoparr, Ppfia4, Tmem183a, Mgat4f",7.0,"7785, 36243, 2545, 1167, 36146, 15911, 5044",36243.0,1167.0,14977.285714285714,7785.0,1,0,0,0,0,5.63946717161527
chr1-g673,chr1,134600000,134800000,0.475335,"Kdm5b, Syt2, Ppp1r12b",3.0,"72701, 106538, 201275",201275.0,72701.0,126838.0,106538.0,1,0,1,0,0,-5.695432668962263
chr1-g675,chr1,135000000,135200000,0.4964699999999999,"Lgr6, Ptprv, Ptpn7, Arl8a, Gpr37l1",5.0,"118924, 24078, 12627, 9435, 7432",118924.0,7432.0,34499.2,12627.0,1,0,0,0,0,6.769702231727402
chr1-g678,chr1,135600000,135800000,0.4827499999999999,"Csrp1, Phlda3, Tnni1",3.0,"32167, 3050, 11569",32167.0,3050.0,15595.333333333334,11569.0,1,0,0,0,0,6.917654874155423
chr1-g692,chr1,138400000,138600000,0.39966,Nek7,1.0,135921,135921.0,135921.0,135921.0,135921.0,1,0,0,0,0,6.242678823614456
chr1-g693,chr1,138600000,138800000,0.4067099999999999,"Nek7, Gm5833",2.0,"135921, 41981",135921.0,41981.0,88951.0,88951.0,1,0,0,0,0,6.242678823614456
chr1-g764,chr1,152800000,153000000,0.4267249999999999,"Ncf2, Smg7, Nmnat2",3.0,"36838, 65652, 164161",164161.0,36838.0,88883.66666666667,65652.0,1,0,0,0,0,-3.262773414225239
chr1-g765,chr1,153000000,153200000,0.460745,"Nmnat2, Lamc2",2.0,"164161, 63692",164161.0,63692.0,113926.5,113926.5,1,0,0,0,0,-3.262773414225239
chr1-g769,chr1,153800000,154000000,0.443,"Rgsl1, Teddm2, Teddm1b, Mir8114, Glul, Teddm1a",6.0,"64755, 1654, 2527, 111, 9795, 1415",64755.0,111.0,13376.166666666666,2090.5,1,0,0,1,0,5.438415268509233
chr1-g771,chr1,154200000,154400000,0.413285,"Zfp648, 4930452N14Rik, 4930532M18Rik, Cacna1e",4.0,"5652, 15386, 14728, 333402",333402.0,5652.0,92292.0,15057.0,1,0,0,1,0,-4.123606608268254
chr1-g772,chr1,154400000,154600000,0.4235399999999999,Cacna1e,1.0,333402,333402.0,333402.0,333402.0,333402.0,1,0,0,1,0,-4.123606608268254
chr1-g773,chr1,154600000,154800000,0.437905,Cacna1e,1.0,333402,333402.0,333402.0,333402.0,333402.0,1,0,0,0,0,-4.123606608268254
chr1-g782,chr1,156400000,156600000,0.43621,"Axdnd1, Soat1, Abl2",3.0,"90501, 46221, 90833",90833.0,46221.0,75851.66666666667,90501.0,1,0,0,0,0,5.166339150428147
chr1-g791,chr1,158200000,158400000,0.4245299999999999,"Brinp2, Astn1",2.0,"110992, 329483",329483.0,110992.0,220237.5,220237.5,1,0,0,0,0,-3.519828205076691
chr1-g792,chr1,158400000,158600000,0.41438,"Astn1, Mir488",2.0,"329483, 109",329483.0,109.0,164796.0,164796.0,1,0,0,0,0,-3.519828205076691
chr1-g793,chr1,158600000,158800000,0.4110149999999999,"Astn1, Pappa2",2.0,"329483, 246441",329483.0,246441.0,287962.0,287962.0,1,0,0,0,0,-3.519828205076691
chr1-g797,chr1,159400000,159600000,0.4310049999999999,Tnr,1.0,401154,401154.0,401154.0,401154.0,401154.0,1,0,0,0,0,-3.9223221686121192
chr1-g798,chr1,159600000,159800000,0.42817,Tnr,1.0,401154,401154.0,401154.0,401154.0,401154.0,1,0,0,0,0,-3.9223221686121192
chr1-g799,chr1,159800000,160000000,0.424265,Tnr,1.0,401154,401154.0,401154.0,401154.0,401154.0,1,0,0,0,0,-3.9223221686121192
chr1-g816,chr1,163200000,163400000,0.40625,"Prrx1, Gorab",2.0,"68532, 18767",68532.0,18767.0,43649.5,43649.5,1,0,0,1,0,5.443722169904382
chr1-g822,chr1,164400000,164600000,0.43629,"Atp1b1, Gm26685",2.0,"21257, 11576",21257.0,11576.0,16416.5,16416.5,1,0,0,0,0,-5.890636443773451
chr1-g861,chr1,172200000,172400000,0.4802299999999999,"Pea15a, Casq1, Atp1a4, Atp1a2, Igsf8, Kcnj9, Kcnj10, Pigm",8.0,"10077, 10002, 34917, 26356, 7477, 8815, 32876, 7569",34917.0,7477.0,17261.125,10039.5,1,0,0,0,1,4.135923333140609
chr1-g866,chr1,173200000,173400000,0.409115,"Olfr1404, Olfr218, Fcer1a, Olfr418, Mptx2, Ackr1, Cadm3",7.0,"1034, 942, 5959, 991, 3296, 1618, 33442",33442.0,942.0,6754.571428571428,1618.0,1,0,0,0,0,-5.803122365491306
chr1-g867,chr1,173400000,173600000,0.39855,"Aim2, Ifi206, Ifi214, Ifi213",4.0,"45433, 22833, 14647, 25317",45433.0,14647.0,27057.5,24075.0,1,0,0,0,0,-4.914975537224317
chr1-g875,chr1,175000000,175200000,0.3973599999999999,Rgs7,1.0,433470,433470.0,433470.0,433470.0,433470.0,1,0,0,0,0,-6.114430185837852
chr1-g876,chr1,175200000,175400000,0.4037799999999999,Rgs7,1.0,433470,433470.0,433470.0,433470.0,433470.0,1,0,0,0,0,-6.114430185837852
chr1-g877,chr1,175400000,175600000,0.41625,Rgs7,1.0,433470,433470.0,433470.0,433470.0,433470.0,1,0,0,0,0,-6.114430185837852
chr1-g879,chr1,175800000,176000000,0.429105,"Wdr64, Exo1, Becn2, Pld5",4.0,"117141, 30619, 1897, 313007",313007.0,1897.0,115666.0,73880.0,1,0,0,0,0,-5.696784921152687
chr1-g880,chr1,176000000,176200000,0.412105,Pld5,1.0,313007,313007.0,313007.0,313007.0,313007.0,1,0,0,0,0,-5.696784921152687
chr1-g881,chr1,176200000,176400000,0.4117499999999999,Pld5,1.0,313007,313007.0,313007.0,313007.0,313007.0,1,0,0,0,0,-5.696784921152687
chr1-g887,chr1,177400000,177600000,0.438895,"Zbtb18, Mir12179",2.0,"8416, 78",8416.0,78.0,4247.0,4247.0,1,0,0,0,0,-5.782205532247538
chr1-g913,chr1,182600000,182800000,0.466225,"Capn8, Ccdc185, Susd4",3.0,"41520, 2055, 132374",132374.0,2055.0,58649.66666666666,41520.0,1,0,0,0,1,-6.153376565959187
chr1-g914,chr1,182800000,183000000,0.44964,"Susd4, Tlr5",2.0,"132374, 21257",132374.0,21257.0,76815.5,76815.5,1,0,0,0,0,-6.153376565959187
chr1-g915,chr1,183025000,183200000,0.4203542857142857,Disp1,1.0,135266,135266.0,135266.0,135266.0,135266.0,1,0,0,0,0,5.0102187002860274
chr1-g916,chr1,183200000,183400000,0.434705,"Disp1, Aida, Brox, Mia3, Taf1a",5.0,"135266, 27442, 20942, 43330, 21222",135266.0,20942.0,49640.4,27442.0,1,0,0,0,0,5.0102187002860274
chr1-g920,chr1,184000000,184200000,0.439505,"Dusp10, 1700056E22Rik",2.0,"41256, 967",41256.0,967.0,21111.5,21111.5,1,0,0,0,0,-3.848388362771741
chr1-g938,chr1,187600000,187800000,0.4382000000000001,Esrrg,1.0,605879,605879.0,605879.0,605879.0,605879.0,1,0,0,0,0,-5.068605261857293
chr1-g939,chr1,187800000,188000000,0.4360749999999999,Esrrg,1.0,605879,605879.0,605879.0,605879.0,605879.0,1,0,0,0,0,-5.068605261857293
chr1-g940,chr1,188000000,188200000,0.426835,"Esrrg, 9330162B11Rik",2.0,"605879, 2415",605879.0,2415.0,304147.0,304147.0,1,0,0,0,0,-5.068605261857293
chr1-g941,chr1,188200000,188400000,0.408165,"Esrrg, Ush2a",2.0,"605879, 702202",702202.0,605879.0,654040.5,654040.5,1,0,0,0,0,-5.068605261857293
chr1-g966,chr1,193200000,193400000,0.46882,"Traf3ip3, Hsd11b1, G0s2, Lamb3, Camk1g",5.0,"26043, 42405, 1029, 41636, 23937",42405.0,1029.0,27010.0,26043.0,1,0,0,0,0,3.4010981694297224
chr1-g975,chr1,195000000,195200000,0.387795,"A330023F24Rik, Mir29b-2, Mir29c, Cd46, Cr1l, Cr2",6.0,"20510, 81, 88, 51011, 32860, 39908",51011.0,81.0,24076.33333333333,26685.0,1,0,0,0,0,4.257209730293385
chr2-g18,chr2,3600000,3800000,0.437205,Fam107b,1.0,68677,68677.0,68677.0,68677.0,68677.0,2,0,0,0,0,-4.9145409822154
chr2-g30,chr2,6000000,6200000,0.4437399999999999,"Upf2, Proser2, Gm10857, A230108P19Rik, Echdc3",5.0,"105235, 31686, 7688, 128361, 24530",128361.0,7688.0,59500.0,31686.0,2,0,0,0,0,-4.563623135034979
chr2-g50,chr2,10000000,10200000,0.431685,"Taf3, Atp5c1, Kin, Itih2, Itih5",5.0,"134058, 24480, 12090, 36093, 102987",134058.0,12090.0,61941.6,36093.0,2,0,0,0,0,3.9092635610324455
chr2-g51,chr2,10200000,10400000,0.44177,"Itih5, Sfmbt2",2.0,"102987, 224803",224803.0,102987.0,163895.0,163895.0,2,0,0,0,0,3.9092635610324455
chr2-g60,chr2,12000000,12200000,0.4098299999999999,Itga8,1.0,195311,195311.0,195311.0,195311.0,195311.0,2,0,0,0,0,-4.205022687870848
chr2-g61,chr2,12200000,12400000,0.405935,"Itga8, E030013I19Rik, Mindy3",3.0,"195311, 11070, 72197",195311.0,11070.0,92859.33333333331,72197.0,2,0,0,0,0,-4.205022687870848
chr2-g67,chr2,13400000,13600000,0.39806,"Cubn, Trdmt1, Vim",3.0,"215539, 34504, 8516",215539.0,8516.0,86186.33333333333,34504.0,2,0,0,0,0,4.094661860647087
chr2-g71,chr2,14200000,14400000,0.406015,"Tmem236, Mrc1, Mir511, Slc39a12",4.0,"47470, 102610, 79, 106580",106580.0,79.0,64184.75,75040.0,2,0,0,0,0,5.684976749519447
chr2-g72,chr2,14400000,14600000,0.38787,Slc39a12,1.0,106580,106580.0,106580.0,106580.0,106580.0,2,0,0,0,0,5.684976749519447
chr2-g101,chr2,20200000,20400000,0.4074549999999999,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-6.296629285331307
chr2-g102,chr2,20400000,20600000,0.4226,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-6.296629285331307
chr2-g103,chr2,20600000,20800000,0.427265,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,1,0,-6.296629285331307
