200kb name,chrom,start,end,H4K20me3_cat5
chr1-g94,chr1,18800000,19000000,0
chr1-g95,chr1,19000000,19200000,0
chr1-g96,chr1,19200000,19400000,0
chr1-g97,chr1,19400000,19600000,0
chr1-g98,chr1,19600000,19800000,0
chr1-g99,chr1,19800000,20000000,0
chr1-g100,chr1,20000000,20200000,0
chr1-g101,chr1,20200000,20400000,0
chr1-g102,chr1,20400000,20600000,0
chr1-g103,chr1,20600000,20800000,0
chr1-g104,chr1,20800000,21000000,0
chr1-g105,chr1,21000000,21200000,0
chr1-g106,chr1,21200000,21400000,0
chr1-g107,chr1,21400000,21600000,0
chr1-g108,chr1,21600000,21800000,0
chr1-g109,chr1,21800000,22000000,0
chr1-g110,chr1,22000000,22200000,0
chr1-g111,chr1,22200000,22400000,0
chr1-g112,chr1,22400000,22600000,0
chr1-g113,chr1,22600000,22800000,0
chr1-g114,chr1,22800000,23000000,0
chr1-g115,chr1,23000000,23200000,0
chr1-g116,chr1,23200000,23400000,0
chr1-g117,chr1,23400000,23600000,0
chr1-g118,chr1,23600000,23800000,0
chr1-g119,chr1,23800000,24000000,0
chr1-g120,chr1,24000000,24200000,0
chr1-g121,chr1,24200000,24400000,0
chr1-g122,chr1,24400000,24600000,0
chr1-g123,chr1,24600000,24800000,0
chr1-g124,chr1,24800000,25000000,0
chr1-g125,chr1,25000000,25200000,0
chr1-g126,chr1,25200000,25400000,0
chr1-g127,chr1,25400000,25600000,0
chr1-g128,chr1,25600000,25800000,0
chr1-g129,chr1,25800000,26000000,0
chr1-g130,chr1,26000000,26200000,0
chr1-g131,chr1,26200000,26400000,0
chr1-g132,chr1,26400000,26600000,0
chr1-g133,chr1,26600000,26800000,0
chr1-g134,chr1,26800000,27000000,0
chr1-g135,chr1,27000000,27200000,0
chr1-g136,chr1,27200000,27400000,0
chr1-g137,chr1,27400000,27600000,0
chr1-g138,chr1,27600000,27800000,0
chr1-g139,chr1,27800000,28000000,0
chr1-g140,chr1,28000000,28200000,0
chr1-g141,chr1,28200000,28400000,0
chr1-g142,chr1,28400000,28600000,0
chr1-g143,chr1,28600000,28800000,0
chr1-g144,chr1,28800000,29000000,0
chr1-g145,chr1,29000000,29200000,0
chr1-g146,chr1,29200000,29400000,0
chr1-g147,chr1,29400000,29600000,0
chr1-g148,chr1,29600000,29800000,0
chr1-g149,chr1,29800000,30000000,0
chr1-g150,chr1,30000000,30200000,0
chr1-g151,chr1,30200000,30400000,0
chr1-g152,chr1,30400000,30600000,0
chr1-g153,chr1,30600000,30800000,0
chr1-g154,chr1,30800000,31000000,0
chr1-g155,chr1,31000000,31200000,0
chr1-g156,chr1,31200000,31400000,0
chr1-g157,chr1,31400000,31600000,0
chr1-g158,chr1,31600000,31800000,0
chr1-g159,chr1,31800000,32000000,0
chr1-g160,chr1,32000000,32200000,0
chr1-g161,chr1,32200000,32400000,0
chr1-g162,chr1,32400000,32600000,0
chr1-g163,chr1,32600000,32800000,0
chr1-g164,chr1,32800000,33000000,0
chr1-g165,chr1,33000000,33200000,0
chr1-g166,chr1,33200000,33400000,0
chr1-g167,chr1,33400000,33600000,0
chr1-g168,chr1,33600000,33800000,0
chr1-g169,chr1,33800000,34000000,0
chr1-g170,chr1,34000000,34200000,0
chr1-g171,chr1,34200000,34400000,0
chr1-g172,chr1,34400000,34600000,0
chr1-g173,chr1,34600000,34800000,0
chr1-g174,chr1,34800000,35000000,0
chr1-g175,chr1,35000000,35200000,0
chr1-g176,chr1,35200000,35400000,0
chr1-g177,chr1,35400000,35600000,0
chr1-g178,chr1,35600000,35800000,0
chr1-g179,chr1,35800000,36000000,0
chr1-g180,chr1,36000000,36200000,0
chr1-g181,chr1,36200000,36400000,0
chr1-g182,chr1,36400000,36600000,0
chr1-g183,chr1,36600000,36800000,0
chr1-g184,chr1,36800000,37000000,0
chr1-g185,chr1,37000000,37200000,0
chr1-g186,chr1,37200000,37400000,0
chr1-g187,chr1,37400000,37600000,0
chr1-g188,chr1,37600000,37800000,0
chr1-g189,chr1,37800000,38000000,0
chr1-g190,chr1,38000000,38200000,0
chr1-g191,chr1,38200000,38400000,0
chr1-g192,chr1,38400000,38600000,0
chr1-g193,chr1,38600000,38800000,0
chr1-g194,chr1,38800000,39000000,0
chr1-g195,chr1,39000000,39200000,0
chr1-g196,chr1,39200000,39400000,0
chr1-g197,chr1,39400000,39600000,0
chr1-g198,chr1,39600000,39800000,0
chr1-g199,chr1,39800000,40000000,0
chr1-g200,chr1,40000000,40200000,0
chr1-g201,chr1,40200000,40400000,0
chr1-g202,chr1,40400000,40600000,0
chr1-g203,chr1,40600000,40800000,0
chr1-g204,chr1,40800000,41000000,0
chr1-g205,chr1,41000000,41200000,0
chr1-g206,chr1,41200000,41400000,0
chr1-g207,chr1,41400000,41600000,0
chr1-g208,chr1,41600000,41800000,0
chr1-g209,chr1,41800000,42000000,0
chr1-g210,chr1,42000000,42200000,0
chr1-g211,chr1,42200000,42400000,0
chr1-g212,chr1,42400000,42600000,0
chr1-g213,chr1,42600000,42800000,0
chr1-g214,chr1,42800000,43000000,0
chr1-g215,chr1,43000000,43200000,0
chr1-g216,chr1,43200000,43400000,0
chr1-g217,chr1,43400000,43600000,0
chr1-g218,chr1,43600000,43800000,0
chr1-g219,chr1,43800000,44000000,0
chr1-g220,chr1,44000000,44200000,0
chr1-g221,chr1,44200000,44400000,0
chr1-g222,chr1,44400000,44600000,0
chr1-g223,chr1,44600000,44800000,0
chr1-g224,chr1,44800000,45000000,0
chr1-g225,chr1,45000000,45200000,0
chr1-g226,chr1,45200000,45400000,0
chr1-g227,chr1,45400000,45600000,0
chr1-g228,chr1,45600000,45800000,0
chr1-g229,chr1,45800000,46000000,0
chr1-g230,chr1,46000000,46200000,0
chr1-g231,chr1,46200000,46400000,0
chr1-g232,chr1,46400000,46600000,0
chr1-g233,chr1,46600000,46800000,0
chr1-g234,chr1,46800000,47000000,0
chr1-g235,chr1,47000000,47200000,0
chr1-g236,chr1,47200000,47400000,0
chr1-g237,chr1,47400000,47600000,0
chr1-g238,chr1,47600000,47800000,0
chr1-g239,chr1,47800000,48000000,0
chr1-g240,chr1,48000000,48200000,0
chr1-g241,chr1,48200000,48400000,0
chr1-g242,chr1,48400000,48600000,0
chr1-g243,chr1,48600000,48800000,0
chr1-g244,chr1,48800000,49000000,0
chr1-g245,chr1,49000000,49200000,0
chr1-g246,chr1,49200000,49400000,0
chr1-g247,chr1,49400000,49600000,0
chr1-g248,chr1,49600000,49800000,0
chr1-g249,chr1,49800000,50000000,0
chr1-g250,chr1,50000000,50200000,0
chr1-g251,chr1,50200000,50400000,0
chr1-g252,chr1,50400000,50600000,0
chr1-g253,chr1,50600000,50800000,0
chr1-g254,chr1,50800000,51000000,0
chr1-g255,chr1,51000000,51200000,0
chr1-g256,chr1,51200000,51400000,0
chr1-g257,chr1,51400000,51600000,0
chr1-g258,chr1,51600000,51800000,0
chr1-g259,chr1,51800000,52000000,0
chr1-g260,chr1,52000000,52200000,0
chr1-g261,chr1,52200000,52400000,0
chr1-g262,chr1,52400000,52600000,0
chr1-g263,chr1,52600000,52800000,0
chr1-g264,chr1,52800000,53000000,0
chr1-g265,chr1,53000000,53200000,0
chr1-g266,chr1,53200000,53400000,0
chr1-g267,chr1,53400000,53600000,0
chr1-g268,chr1,53600000,53800000,0
chr1-g269,chr1,53800000,54000000,0
chr1-g270,chr1,54000000,54200000,0
chr1-g271,chr1,54200000,54400000,0
chr1-g272,chr1,54400000,54600000,0
chr1-g273,chr1,54600000,54800000,0
chr1-g274,chr1,54800000,55000000,0
chr1-g275,chr1,55000000,55200000,0
chr1-g276,chr1,55200000,55400000,0
chr1-g277,chr1,55400000,55600000,0
chr1-g278,chr1,55600000,55800000,0
chr1-g279,chr1,55800000,56000000,0
chr1-g280,chr1,56000000,56200000,0
chr1-g281,chr1,56200000,56400000,0
chr1-g282,chr1,56400000,56600000,0
chr1-g283,chr1,56600000,56800000,0
chr1-g284,chr1,56800000,57000000,0
chr1-g285,chr1,57000000,57200000,0
chr1-g286,chr1,57200000,57400000,0
chr1-g287,chr1,57400000,57600000,0
chr1-g288,chr1,57600000,57800000,0
chr1-g289,chr1,57800000,58000000,0
chr1-g290,chr1,58000000,58200000,0
chr1-g291,chr1,58200000,58400000,0
chr1-g292,chr1,58400000,58600000,0
chr1-g293,chr1,58600000,58800000,0
chr1-g294,chr1,58800000,59000000,0
chr1-g295,chr1,59000000,59200000,0
chr1-g296,chr1,59200000,59400000,0
chr1-g297,chr1,59400000,59600000,0
chr1-g298,chr1,59600000,59800000,0
chr1-g299,chr1,59800000,60000000,0
chr1-g300,chr1,60000000,60200000,0
chr1-g301,chr1,60200000,60400000,0
chr1-g302,chr1,60400000,60600000,0
chr1-g303,chr1,60600000,60800000,0
chr1-g304,chr1,60800000,61000000,0
chr1-g305,chr1,61000000,61200000,0
chr1-g306,chr1,61200000,61400000,0
chr1-g307,chr1,61400000,61600000,0
chr1-g308,chr1,61600000,61800000,0
chr1-g309,chr1,61800000,62000000,0
chr1-g310,chr1,62000000,62200000,0
chr1-g311,chr1,62200000,62400000,0
chr1-g312,chr1,62400000,62600000,0
chr1-g313,chr1,62600000,62800000,0
chr1-g314,chr1,62800000,63000000,0
chr1-g315,chr1,63000000,63200000,0
chr1-g316,chr1,63200000,63400000,0
chr1-g317,chr1,63400000,63600000,0
chr1-g318,chr1,63600000,63800000,0
chr1-g319,chr1,63800000,64000000,0
chr1-g320,chr1,64000000,64200000,0
chr1-g321,chr1,64200000,64400000,0
chr1-g322,chr1,64400000,64600000,0
chr1-g323,chr1,64600000,64800000,0
chr1-g324,chr1,64800000,65000000,0
chr1-g325,chr1,65000000,65200000,0
chr1-g326,chr1,65200000,65400000,0
chr1-g327,chr1,65400000,65600000,0
chr1-g328,chr1,65600000,65800000,0
chr1-g329,chr1,65800000,66000000,0
chr1-g330,chr1,66000000,66200000,0
chr1-g331,chr1,66200000,66400000,0
chr1-g332,chr1,66400000,66600000,0
chr1-g333,chr1,66600000,66800000,0
chr1-g334,chr1,66800000,67000000,0
chr1-g335,chr1,67000000,67200000,0
chr1-g336,chr1,67200000,67400000,0
chr1-g337,chr1,67400000,67600000,0
chr1-g338,chr1,67600000,67800000,0
chr1-g339,chr1,67800000,68000000,0
chr1-g340,chr1,68000000,68200000,0
chr1-g341,chr1,68200000,68400000,0
chr1-g342,chr1,68400000,68600000,0
chr1-g343,chr1,68600000,68800000,0
chr1-g344,chr1,68800000,69000000,0
chr1-g345,chr1,69000000,69200000,0
chr1-g346,chr1,69200000,69400000,0
chr1-g347,chr1,69400000,69600000,0
chr1-g348,chr1,69600000,69800000,0
chr1-g349,chr1,69800000,70000000,0
chr1-g350,chr1,70000000,70200000,0
chr1-g351,chr1,70200000,70400000,0
chr1-g352,chr1,70400000,70600000,0
chr1-g353,chr1,70600000,70800000,0
chr1-g354,chr1,70800000,71000000,0
chr1-g355,chr1,71000000,71200000,0
chr1-g356,chr1,71200000,71400000,0
chr1-g357,chr1,71400000,71600000,0
chr1-g358,chr1,71600000,71800000,0
chr1-g359,chr1,71800000,72000000,0
chr1-g360,chr1,72000000,72200000,0
chr1-g361,chr1,72200000,72400000,0
chr1-g362,chr1,72400000,72600000,0
chr1-g363,chr1,72600000,72800000,0
chr1-g364,chr1,72800000,73000000,0
chr1-g365,chr1,73000000,73200000,0
chr1-g366,chr1,73200000,73400000,0
chr1-g367,chr1,73400000,73600000,0
chr1-g368,chr1,73600000,73800000,0
chr1-g369,chr1,73800000,74000000,0
chr1-g370,chr1,74000000,74200000,0
chr1-g371,chr1,74200000,74400000,0
chr1-g372,chr1,74400000,74600000,0
chr1-g373,chr1,74600000,74800000,0
chr1-g374,chr1,74800000,75000000,0
chr1-g375,chr1,75000000,75200000,0
chr1-g376,chr1,75200000,75400000,0
chr1-g377,chr1,75400000,75600000,0
chr1-g378,chr1,75600000,75800000,0
chr1-g379,chr1,75800000,76000000,0
chr1-g380,chr1,76000000,76200000,0
chr1-g381,chr1,76200000,76400000,0
chr1-g382,chr1,76400000,76600000,0
chr1-g383,chr1,76600000,76800000,0
chr1-g384,chr1,76800000,77000000,0
chr1-g385,chr1,77000000,77200000,0
chr1-g386,chr1,77200000,77400000,0
chr1-g387,chr1,77400000,77600000,0
chr1-g388,chr1,77600000,77800000,0
chr1-g389,chr1,77800000,78000000,0
chr1-g390,chr1,78000000,78200000,0
chr1-g391,chr1,78200000,78400000,0
chr1-g392,chr1,78400000,78600000,0
chr1-g393,chr1,78600000,78800000,0
chr1-g394,chr1,78800000,79000000,0
chr1-g395,chr1,79000000,79200000,0
chr1-g396,chr1,79200000,79400000,0
chr1-g397,chr1,79400000,79600000,0
chr1-g398,chr1,79600000,79800000,0
chr1-g399,chr1,79800000,80000000,0
chr1-g400,chr1,80000000,80200000,0
chr1-g401,chr1,80200000,80400000,0
chr1-g402,chr1,80400000,80600000,1
chr1-g403,chr1,80600000,80800000,1
chr1-g404,chr1,80800000,81000000,1
chr1-g405,chr1,81000000,81200000,1
chr1-g406,chr1,81200000,81400000,1
chr1-g407,chr1,81400000,81600000,1
chr1-g408,chr1,81600000,81800000,1
chr1-g409,chr1,81800000,82000000,1
chr1-g410,chr1,82000000,82200000,1
chr1-g411,chr1,82200000,82400000,1
chr1-g412,chr1,82400000,82600000,1
chr1-g413,chr1,82600000,82800000,1
chr1-g414,chr1,82800000,83000000,1
chr1-g415,chr1,83000000,83200000,1
chr1-g416,chr1,83200000,83400000,1
chr1-g417,chr1,83400000,83600000,1
chr1-g418,chr1,83600000,83800000,1
chr1-g419,chr1,83800000,84000000,1
chr1-g420,chr1,84000000,84200000,1
chr1-g421,chr1,84200000,84400000,1
chr1-g422,chr1,84400000,84600000,1
chr1-g423,chr1,84600000,84800000,1
chr1-g424,chr1,84800000,85000000,1
chr1-g428,chr1,85600000,85800000,1
chr1-g429,chr1,85800000,86000000,1
chr1-g430,chr1,86000000,86200000,1
chr1-g431,chr1,86200000,86400000,1
chr1-g432,chr1,86400000,86600000,1
chr1-g433,chr1,86600000,86800000,0
chr1-g434,chr1,86800000,87000000,0
chr1-g435,chr1,87000000,87200000,0
chr1-g436,chr1,87200000,87400000,0
chr1-g437,chr1,87400000,87600000,0
chr1-g438,chr1,87600000,87800000,0
chr1-g439,chr1,87800000,88000000,0
chr1-g440,chr1,88000000,88200000,0
chr1-g441,chr1,88200000,88400000,0
chr1-g442,chr1,88400000,88600000,0
chr1-g443,chr1,88600000,88800000,0
chr1-g444,chr1,88800000,89000000,0
chr1-g445,chr1,89000000,89200000,0
chr1-g446,chr1,89200000,89400000,0
chr1-g447,chr1,89400000,89600000,0
chr1-g448,chr1,89600000,89800000,0
chr1-g449,chr1,89800000,90000000,0
chr1-g450,chr1,90000000,90200000,0
chr1-g451,chr1,90200000,90400000,0
chr1-g452,chr1,90400000,90600000,0
chr1-g453,chr1,90600000,90800000,0
chr1-g454,chr1,90800000,91000000,0
chr1-g455,chr1,91000000,91200000,0
chr1-g456,chr1,91200000,91400000,0
chr1-g457,chr1,91400000,91600000,0
chr1-g458,chr1,91600000,91800000,0
chr1-g459,chr1,91800000,92000000,0
chr1-g460,chr1,92000000,92200000,0
chr1-g461,chr1,92200000,92400000,0
chr1-g462,chr1,92400000,92600000,0
chr1-g463,chr1,92600000,92800000,0
chr1-g464,chr1,92800000,93000000,0
chr1-g465,chr1,93000000,93200000,0
chr1-g466,chr1,93200000,93400000,0
chr1-g467,chr1,93400000,93600000,0
chr1-g468,chr1,93600000,93800000,0
chr1-g469,chr1,93800000,94000000,0
chr1-g470,chr1,94000000,94200000,0
chr1-g471,chr1,94200000,94400000,0
chr1-g472,chr1,94400000,94600000,0
chr1-g473,chr1,94600000,94800000,0
chr1-g474,chr1,94800000,95000000,0
chr1-g475,chr1,95000000,95200000,0
chr1-g476,chr1,95200000,95400000,0
chr1-g477,chr1,95400000,95600000,0
chr1-g478,chr1,95600000,95800000,0
chr1-g479,chr1,95800000,96000000,0
chr1-g480,chr1,96000000,96200000,0
chr1-g481,chr1,96200000,96400000,0
chr1-g482,chr1,96400000,96600000,0
chr1-g483,chr1,96600000,96800000,0
chr1-g484,chr1,96800000,97000000,0
chr1-g485,chr1,97000000,97200000,0
chr1-g486,chr1,97200000,97400000,0
chr1-g487,chr1,97400000,97600000,0
chr1-g488,chr1,97600000,97800000,0
chr1-g489,chr1,97800000,98000000,0
chr1-g490,chr1,98000000,98200000,0
chr1-g491,chr1,98200000,98400000,0
chr1-g492,chr1,98400000,98600000,0
chr1-g493,chr1,98600000,98800000,0
chr1-g494,chr1,98800000,99000000,0
chr1-g495,chr1,99000000,99200000,0
chr1-g496,chr1,99200000,99400000,0
chr1-g497,chr1,99400000,99600000,0
chr1-g498,chr1,99600000,99800000,0
chr1-g499,chr1,99800000,100000000,0
chr1-g500,chr1,100000000,100200000,0
chr1-g501,chr1,100200000,100400000,0
chr1-g502,chr1,100400000,100600000,0
chr1-g503,chr1,100600000,100800000,0
chr1-g504,chr1,100800000,101000000,0
chr1-g505,chr1,101000000,101200000,0
chr1-g506,chr1,101200000,101400000,0
chr1-g507,chr1,101400000,101600000,0
chr1-g508,chr1,101600000,101800000,0
chr1-g509,chr1,101800000,102000000,0
chr1-g510,chr1,102000000,102200000,0
chr1-g511,chr1,102200000,102400000,0
chr1-g512,chr1,102400000,102600000,0
chr1-g513,chr1,102600000,102800000,0
chr1-g514,chr1,102800000,103000000,0
chr1-g515,chr1,103000000,103200000,0
chr1-g516,chr1,103200000,103400000,0
chr1-g517,chr1,103400000,103600000,0
chr1-g518,chr1,103600000,103800000,0
chr1-g519,chr1,103800000,104000000,0
chr1-g520,chr1,104000000,104200000,0
chr1-g521,chr1,104200000,104400000,0
chr1-g522,chr1,104400000,104600000,0
chr1-g523,chr1,104600000,104800000,0
chr1-g524,chr1,104800000,105000000,0
chr1-g525,chr1,105000000,105200000,0
chr1-g526,chr1,105200000,105400000,0
chr1-g527,chr1,105400000,105600000,0
chr1-g528,chr1,105600000,105800000,0
chr1-g529,chr1,105800000,106000000,0
chr1-g530,chr1,106000000,106200000,0
chr1-g531,chr1,106200000,106400000,0
chr1-g532,chr1,106400000,106600000,0
chr1-g533,chr1,106600000,106800000,0
chr1-g534,chr1,106800000,107000000,0
chr1-g535,chr1,107000000,107200000,0
chr1-g536,chr1,107200000,107400000,0
chr1-g537,chr1,107400000,107600000,0
chr1-g538,chr1,107600000,107800000,0
chr1-g539,chr1,107800000,108000000,0
chr1-g540,chr1,108000000,108200000,0
chr1-g541,chr1,108200000,108400000,0
chr1-g542,chr1,108400000,108600000,0
chr1-g543,chr1,108600000,108800000,0
chr1-g544,chr1,108800000,109000000,0
chr1-g545,chr1,109000000,109200000,0
chr1-g546,chr1,109200000,109400000,0
chr1-g547,chr1,109400000,109600000,0
chr1-g548,chr1,109600000,109800000,0
chr1-g549,chr1,109800000,110000000,0
chr1-g550,chr1,110000000,110200000,0
chr1-g551,chr1,110200000,110400000,0
chr1-g552,chr1,110400000,110600000,0
chr1-g553,chr1,110600000,110800000,0
chr1-g554,chr1,110800000,111000000,0
chr1-g555,chr1,111000000,111200000,0
chr1-g556,chr1,111200000,111400000,0
chr1-g557,chr1,111400000,111600000,0
chr1-g558,chr1,111600000,111800000,0
chr1-g559,chr1,111800000,112000000,0
chr1-g560,chr1,112000000,112200000,0
chr1-g561,chr1,112200000,112400000,0
chr1-g562,chr1,112400000,112600000,0
chr1-g563,chr1,112600000,112800000,0
chr1-g564,chr1,112800000,113000000,0
chr1-g565,chr1,113000000,113200000,0
chr1-g566,chr1,113200000,113400000,0
chr1-g567,chr1,113400000,113600000,0
chr1-g568,chr1,113600000,113800000,0
chr1-g569,chr1,113800000,114000000,0
chr1-g570,chr1,114000000,114200000,0
chr1-g571,chr1,114200000,114400000,0
chr1-g572,chr1,114400000,114600000,0
chr1-g573,chr1,114600000,114800000,0
chr1-g574,chr1,114800000,115000000,0
chr1-g575,chr1,115000000,115200000,0
chr1-g576,chr1,115200000,115400000,0
chr1-g577,chr1,115400000,115600000,0
chr1-g578,chr1,115600000,115800000,0
chr1-g579,chr1,115800000,116000000,0
chr1-g580,chr1,116000000,116200000,0
chr1-g581,chr1,116200000,116400000,0
chr1-g582,chr1,116400000,116600000,0
chr1-g583,chr1,116600000,116800000,0
chr1-g584,chr1,116800000,117000000,0
chr1-g585,chr1,117000000,117200000,0
chr1-g586,chr1,117200000,117400000,0
chr1-g587,chr1,117400000,117600000,0
chr1-g588,chr1,117600000,117800000,0
chr1-g589,chr1,117800000,118000000,0
chr1-g590,chr1,118000000,118200000,0
chr1-g591,chr1,118200000,118400000,0
chr1-g592,chr1,118400000,118600000,0
chr1-g593,chr1,118600000,118800000,0
chr1-g594,chr1,118800000,119000000,0
chr1-g595,chr1,119000000,119200000,0
chr1-g596,chr1,119200000,119400000,0
chr1-g597,chr1,119400000,119600000,0
chr1-g598,chr1,119600000,119800000,0
chr1-g599,chr1,119800000,120000000,0
chr1-g600,chr1,120000000,120200000,0
chr1-g601,chr1,120200000,120400000,0
chr1-g602,chr1,120400000,120600000,0
chr1-g603,chr1,120600000,120800000,0
chr1-g604,chr1,120800000,121000000,0
chr1-g605,chr1,121000000,121200000,0
chr1-g606,chr1,121200000,121400000,0
chr1-g607,chr1,121400000,121600000,0
chr1-g608,chr1,121600000,121800000,0
chr1-g609,chr1,121800000,122000000,0
chr1-g610,chr1,122000000,122200000,0
chr1-g611,chr1,122200000,122400000,0
chr1-g612,chr1,122400000,122600000,0
chr1-g613,chr1,122600000,122800000,0
chr1-g614,chr1,122800000,123000000,0
chr1-g615,chr1,123000000,123200000,0
chr1-g616,chr1,123200000,123400000,0
chr1-g617,chr1,123400000,123600000,0
chr1-g618,chr1,123600000,123800000,0
chr1-g619,chr1,123800000,124000000,0
chr1-g620,chr1,124000000,124200000,0
chr1-g621,chr1,124200000,124400000,0
chr1-g622,chr1,124400000,124600000,0
chr1-g623,chr1,124600000,124800000,0
chr1-g624,chr1,124800000,125000000,0
chr1-g625,chr1,125000000,125200000,0
chr1-g626,chr1,125200000,125400000,0
chr1-g627,chr1,125400000,125600000,0
chr1-g628,chr1,125600000,125800000,0
chr1-g629,chr1,125800000,126000000,0
chr1-g630,chr1,126000000,126200000,0
chr1-g631,chr1,126200000,126400000,0
chr1-g632,chr1,126400000,126600000,0
chr1-g633,chr1,126600000,126800000,0
chr1-g634,chr1,126800000,127000000,0
chr1-g635,chr1,127000000,127200000,0
chr1-g636,chr1,127200000,127400000,0
chr1-g637,chr1,127400000,127600000,0
chr1-g638,chr1,127600000,127800000,0
chr1-g639,chr1,127800000,128000000,0
chr1-g640,chr1,128000000,128200000,0
chr1-g641,chr1,128200000,128400000,0
chr1-g642,chr1,128400000,128600000,0
chr1-g643,chr1,128600000,128800000,0
chr1-g644,chr1,128800000,129000000,0
chr1-g645,chr1,129000000,129200000,0
chr1-g646,chr1,129200000,129400000,0
chr1-g647,chr1,129400000,129600000,0
chr1-g648,chr1,129600000,129800000,0
chr1-g649,chr1,129800000,130000000,0
chr1-g650,chr1,130000000,130200000,0
chr1-g651,chr1,130200000,130400000,0
chr1-g652,chr1,130400000,130600000,0
chr1-g653,chr1,130600000,130800000,0
chr1-g654,chr1,130800000,131000000,0
chr1-g655,chr1,131000000,131200000,0
chr1-g656,chr1,131200000,131400000,0
chr1-g657,chr1,131400000,131600000,0
chr1-g658,chr1,131600000,131800000,0
chr1-g659,chr1,131800000,132000000,0
chr1-g660,chr1,132000000,132200000,0
chr1-g661,chr1,132200000,132400000,0
chr1-g662,chr1,132400000,132600000,0
chr1-g663,chr1,132600000,132800000,0
chr1-g664,chr1,132800000,133000000,0
chr1-g665,chr1,133000000,133200000,0
chr1-g666,chr1,133200000,133400000,0
chr1-g667,chr1,133400000,133600000,0
chr1-g668,chr1,133600000,133800000,0
chr1-g669,chr1,133800000,134000000,0
chr1-g670,chr1,134000000,134200000,0
chr1-g671,chr1,134200000,134400000,0
chr1-g672,chr1,134400000,134600000,0
chr1-g673,chr1,134600000,134800000,0
chr1-g674,chr1,134800000,135000000,0
chr1-g675,chr1,135000000,135200000,0
chr1-g676,chr1,135200000,135400000,0
chr1-g677,chr1,135400000,135600000,0
chr1-g678,chr1,135600000,135800000,0
chr1-g679,chr1,135800000,136000000,0
chr1-g680,chr1,136000000,136200000,0
chr1-g681,chr1,136200000,136400000,0
