200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,Bergmann_pol_ass,Bergmann_spk_ass,log2FC_B2P
chr1-g398,chr1,79600000,79800000,0.43379,"Ap1s3, Wdfy1, Mrpl44, Serpine2",4.0,"65097, 35367, 5428, 64345",65097.0,5428.0,42559.25,49856.0,1,0,0,0,0,6.56582893083105
chr1-g399,chr1,79800000,80000000,0.432,Serpine2,1.0,64345,64345.0,64345.0,64345.0,64345.0,1,0,0,0,0,6.56582893083105
chr1-g416,chr1,83200000,83400000,0.3997,"Daw1, Sphkap",2.0,"50811, 152757",152757.0,50811.0,101784.0,101784.0,1,1,0,0,0,-4.5916750385261365
chr1-g417,chr1,83400000,83600000,0.388845,Sphkap,1.0,152757,152757.0,152757.0,152757.0,152757.0,1,1,0,0,0,-4.5916750385261365
chr1-g421,chr1,84200000,84400000,0.415505,"Pid1, Mir6353, Dner",3.0,"248353, 113, 326383",326383.0,113.0,191616.3333333333,248353.0,1,1,0,0,0,-6.7179218708604855
chr1-g422,chr1,84400000,84600000,0.42382,Dner,1.0,326383,326383.0,326383.0,326383.0,326383.0,1,1,0,0,1,-6.7179218708604855
chr1-g423,chr1,84600000,84800000,0.41417,"Dner, Mir5126, Trip12",3.0,"326383, 77, 118116",326383.0,77.0,148192.0,118116.0,1,1,0,0,0,-6.7179218708604855
chr1-g429,chr1,85800000,86000000,0.4561749999999999,"Cab39, Itm2c, 4933407L21Rik, Gpr55",4.0,"58137, 14189, 3274, 21519",58137.0,3274.0,24279.75,17854.0,1,0,0,0,0,4.375022398225749
chr1-g455,chr1,91000000,91200000,0.467165,"Lrrfip1, Rbm44, Ramp1",3.0,"130218, 25693, 45375",130218.0,25693.0,67095.33333333333,45375.0,1,0,0,0,0,5.715198641693887
chr1-g456,chr1,91200000,91400000,0.482995,"Ramp1, Ube2f, Scly, Espnl, Klhl30, Erfe, Ilkap",7.0,"45375, 36218, 22743, 26229, 11332, 7788, 22997",45375.0,7788.0,24668.85714285714,22997.0,1,0,0,0,0,5.715198641693887
chr1-g466,chr1,93200000,93400000,0.4857049999999999,"Crocc2, Sned1, Mir6901, Gm28535, Mterf4, Pask, Ppp1r7, Mir6902, Ano7, Mir6345",10.0,"62644, 60552, 62, 11349, 4675, 33352, 23989, 64, 30409, 128",62644.0,62.0,22722.4,17669.0,1,0,0,0,0,5.291316941936361
chr1-g498,chr1,99600000,99800000,0.379045,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,0,0,0,0,-9.221247488169164
chr1-g499,chr1,99800000,100000000,0.38236,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-9.221247488169164
chr1-g500,chr1,100000000,100200000,0.383215,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-9.221247488169164
chr1-g501,chr1,100200000,100400000,0.38358,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,1,0,0,0,-9.221247488169164
chr1-g502,chr1,100400000,100600000,0.3777799999999999,Cntnap5b,1.0,718198,718198.0,718198.0,718198.0,718198.0,1,0,0,0,0,-9.221247488169164
chr1-g523,chr1,104600000,104800000,0.390915,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,9.257508932857778
chr1-g524,chr1,104800000,105000000,0.39346,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,9.257508932857778
chr1-g530,chr1,106000000,106200000,0.43044,"Zcchc2, Phlpp1, Gm20753",3.0,"43674, 222377, 18900",222377.0,18900.0,94983.66666666669,43674.0,1,0,0,0,0,4.354787056810973
chr1-g531,chr1,106200000,106400000,0.407485,Phlpp1,1.0,222377,222377.0,222377.0,222377.0,222377.0,1,0,0,1,0,4.354787056810973
chr1-g554,chr1,110800000,111000000,0.35146,Cdh19,1.0,89268,89268.0,89268.0,89268.0,89268.0,1,0,0,0,0,8.103860113936834
chr1-g578,chr1,115600000,115800000,0.37877,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-4.002519772771703
chr1-g579,chr1,115800000,116000000,0.386345,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-4.002519772771703
chr1-g580,chr1,116000000,116200000,0.3899249999999999,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-4.002519772771703
chr1-g581,chr1,116200000,116400000,0.391865,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-4.002519772771703
chr1-g582,chr1,116400000,116600000,0.38661,Cntnap5a,1.0,902586,902586.0,902586.0,902586.0,902586.0,1,0,0,0,0,-4.002519772771703
chr1-g594,chr1,118800000,119000000,0.49067,"Gli2, Mir6346",2.0,"219559, 80",219559.0,80.0,109819.5,109819.5,1,0,0,0,0,10.277296655721894
chr1-g595,chr1,119000000,119200000,0.484925,Gli2,1.0,219559,219559.0,219559.0,219559.0,219559.0,1,0,0,0,0,10.277296655721894
chr1-g605,chr1,121000000,121200000,0.43366,Celrr,1.0,33571,33571.0,33571.0,33571.0,33571.0,1,0,0,0,0,5.767435512837975
chr1-g616,chr1,123200000,123400000,0.384725,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,-7.982285874433921
chr1-g617,chr1,123400000,123600000,0.3720099999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-7.982285874433921
chr1-g618,chr1,123600000,123800000,0.3797149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-7.982285874433921
chr1-g619,chr1,123800000,124000000,0.3818149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-7.982285874433921
chr1-g620,chr1,124000000,124200000,0.3798549999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,1,0,0,0,-7.982285874433921
chr1-g629,chr1,125800000,126000000,0.43545,"Gpr39, Lypd1, Nckap5",3.0,"196866, 45307, 916997",916997.0,45307.0,386390.0,196866.0,1,0,0,0,0,6.629330353878085
chr1-g630,chr1,126000000,126200000,0.41853,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,6.629330353878085
chr1-g631,chr1,126200000,126400000,0.4144100000000001,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,6.629330353878085
chr1-g632,chr1,126400000,126600000,0.4280049999999999,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,6.629330353878085
chr1-g633,chr1,126600000,126800000,0.430525,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,6.629330353878085
chr1-g634,chr1,126800000,127000000,0.4302449999999999,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,6.629330353878085
chr1-g659,chr1,131800000,132000000,0.45864,"Pm20d1, Slc41a1, Rab29, Nucks1, Slc45a3",5.0,"20721, 20853, 5613, 25864, 20058",25864.0,5613.0,18621.8,20721.0,1,0,0,0,0,3.952526465956459
chr1-g670,chr1,134000000,134200000,0.48606,"Fmod, Btg2, Chit1, Chil1, Mybph, Adora1",6.0,"11027, 4291, 40299, 7628, 7785, 36243",40299.0,4291.0,17878.833333333332,9406.0,1,0,0,0,1,7.765298813029511
chr1-g671,chr1,134200000,134400000,0.48246,"Mybph, Adora1, Myog, Myoparr, Ppfia4, Tmem183a, Mgat4f",7.0,"7785, 36243, 2545, 1167, 36146, 15911, 5044",36243.0,1167.0,14977.285714285714,7785.0,1,0,0,0,1,7.765298813029511
chr1-g675,chr1,135000000,135200000,0.4964699999999999,"Lgr6, Ptprv, Ptpn7, Arl8a, Gpr37l1",5.0,"118924, 24078, 12627, 9435, 7432",118924.0,7432.0,34499.2,12627.0,1,0,0,0,1,4.96189993575801
chr1-g676,chr1,135200000,135400000,0.47071,"Elf3, Rnpep, Lmod1, Timm17a, Shisa4, Ipo9",6.0,"4899, 21386, 43253, 12203, 3608, 48188",48188.0,3608.0,22256.166666666668,16794.5,1,0,0,0,0,4.561899018642819
chr1-g678,chr1,135600000,135800000,0.4827499999999999,"Csrp1, Phlda3, Tnni1",3.0,"32167, 3050, 11569",32167.0,3050.0,15595.333333333334,11569.0,1,0,0,0,1,7.394589342495331
chr1-g680,chr1,136000000,136200000,0.5000450000000001,"Igfn1, Tmem9, Cacna1s, Ascl5, Kif21b, Gm15850, Mroh3",7.0,"52765, 26812, 67012, 567, 46612, 3465, 31043",67012.0,567.0,32610.85714285714,31043.0,1,0,0,0,0,2.9547029671669014
chr1-g768,chr1,153600000,153800000,0.4593649999999999,"Rgs8, C230024C17Rik, Rgs16, Rnasel, Rgsl1",5.0,"31993, 16590, 5116, 14796, 64755",64755.0,5116.0,26650.0,16590.0,1,0,0,0,1,-4.555286514802516
chr1-g769,chr1,153800000,154000000,0.443,"Rgsl1, Teddm2, Teddm1b, Mir8114, Glul, Teddm1a",6.0,"64755, 1654, 2527, 111, 9795, 1415",64755.0,111.0,13376.166666666666,2090.5,1,0,0,0,0,6.767713233878601
chr1-g791,chr1,158200000,158400000,0.4245299999999999,"Brinp2, Astn1",2.0,"110992, 329483",329483.0,110992.0,220237.5,220237.5,1,0,0,0,0,-4.237111005566264
chr1-g792,chr1,158400000,158600000,0.41438,"Astn1, Mir488",2.0,"329483, 109",329483.0,109.0,164796.0,164796.0,1,0,0,0,0,-3.5534944072699663
chr1-g793,chr1,158600000,158800000,0.4110149999999999,"Astn1, Pappa2",2.0,"329483, 246441",329483.0,246441.0,287962.0,287962.0,1,0,0,0,0,-3.5534944072699663
chr1-g816,chr1,163200000,163400000,0.40625,"Prrx1, Gorab",2.0,"68532, 18767",68532.0,18767.0,43649.5,43649.5,1,0,0,0,0,5.443722169904382
chr1-g835,chr1,167000000,167200000,0.45486,Fam78b,1.0,89886,89886.0,89886.0,89886.0,89886.0,1,0,0,0,0,-4.699155260785275
chr1-g851,chr1,170200000,170400000,0.436345,"Uhmk1, Sh2d1b2, Gm6345, Sh2d1b1, Gm7694, Spata46, Nos1ap",7.0,"21986, 18717, 1691, 9452, 8140, 3307, 274383",274383.0,1691.0,48239.42857142857,9452.0,1,0,0,0,0,6.004833998596493
chr1-g852,chr1,170400000,170600000,0.44942,Nos1ap,1.0,274383,274383.0,274383.0,274383.0,274383.0,1,0,0,0,0,6.004833998596493
chr1-g861,chr1,172200000,172400000,0.4802299999999999,"Pea15a, Casq1, Atp1a4, Atp1a2, Igsf8, Kcnj9, Kcnj10, Pigm",8.0,"10077, 10002, 34917, 26356, 7477, 8815, 32876, 7569",34917.0,7477.0,17261.125,10039.5,1,0,0,0,1,7.412246384895692
chr1-g875,chr1,175000000,175200000,0.3973599999999999,Rgs7,1.0,433470,433470.0,433470.0,433470.0,433470.0,1,0,0,0,0,-4.62241767295392
chr1-g876,chr1,175200000,175400000,0.4037799999999999,Rgs7,1.0,433470,433470.0,433470.0,433470.0,433470.0,1,0,0,0,0,-4.62241767295392
chr1-g877,chr1,175400000,175600000,0.41625,Rgs7,1.0,433470,433470.0,433470.0,433470.0,433470.0,1,0,0,0,0,-4.62241767295392
chr1-g901,chr1,180200000,180400000,0.4783449999999999,"Psen2, Itpkb, Gm5069",3.0,"29297, 93184, 3581",93184.0,3581.0,42020.66666666666,29297.0,1,0,0,0,0,5.987194988236319
chr1-g902,chr1,180400000,180600000,0.488375,"Itpkb, Stum, Parp1, Mir6904",4.0,"93184, 51132, 32109, 67",93184.0,67.0,44123.0,41620.5,1,0,0,0,0,5.987194988236319
chr1-g909,chr1,181800000,182000000,0.4331,"Lbr, Enah",2.0,"27087, 123595",123595.0,27087.0,75341.0,75341.0,1,0,0,0,0,6.075680716314053
chr1-g910,chr1,182000000,182200000,0.45241,"Enah, Srp9, Vmn1r1",3.0,"123595, 7679, 921",123595.0,921.0,44065.0,7679.0,1,0,0,0,0,6.075680716314053
chr1-g912,chr1,182400000,182600000,0.46122,"Trp53bp2, Capn2, Capn8",3.0,"53270, 50358, 41520",53270.0,41520.0,48382.66666666666,50358.0,1,0,0,0,0,4.867099738929576
chr1-g913,chr1,182600000,182800000,0.466225,"Capn8, Ccdc185, Susd4",3.0,"41520, 2055, 132374",132374.0,2055.0,58649.66666666666,41520.0,1,0,0,0,1,-7.4352530884610815
chr1-g914,chr1,182800000,183000000,0.44964,"Susd4, Tlr5",2.0,"132374, 21257",132374.0,21257.0,76815.5,76815.5,1,0,0,0,0,-7.4352530884610815
chr1-g924,chr1,184800000,185000000,0.46071,"Marc1, Mir1981, Marc2, C130074G19Rik, Mark1",5.0,"24534, 82, 33386, 11111, 103126",103126.0,82.0,34447.8,24534.0,1,0,0,0,0,4.477761194950823
chr1-g950,chr1,190000000,190200000,0.458335,"Prox1, LOC102632463",2.0,"52793, 46984",52793.0,46984.0,49888.5,49888.5,1,0,0,0,0,4.150537551708561
chr1-g966,chr1,193200000,193400000,0.46882,"Traf3ip3, Hsd11b1, G0s2, Lamb3, Camk1g",5.0,"26043, 42405, 1029, 41636, 23937",42405.0,1029.0,27010.0,26043.0,1,0,0,0,0,4.844685087459933
chr1-g973,chr1,194600000,194800000,0.4397399999999999,Plxna2,1.0,197040,197040.0,197040.0,197040.0,197040.0,1,0,0,0,0,6.467634383326268
chr1-g974,chr1,194800000,195000000,0.40907,"Plxna2, Mir3962, Cd34, Gm16897",4.0,"197040, 64, 22472, 21201",197040.0,64.0,60194.25,21836.5,1,0,0,0,0,6.467634383326268
chr2-g15,chr2,3050000,3200000,0.4334066666666666,Fam171a1,1.0,113578,113578.0,113578.0,113578.0,113578.0,2,0,0,0,0,4.915631608755702
chr2-g16,chr2,3200000,3400000,0.4244699999999999,"Fam171a1, Nmt2, Acbd7, Rpp38, Olah",5.0,"113578, 44666, 4830, 3680, 24582",113578.0,3680.0,38267.2,24582.0,2,0,0,0,0,4.915631608755702
chr2-g18,chr2,3600000,3800000,0.437205,Fam107b,1.0,68677,68677.0,68677.0,68677.0,68677.0,2,0,0,0,0,-8.152052467565658
chr2-g29,chr2,5800000,6000000,0.42376,"Cdc123, Nudt5, Gm13199, Sec61a2, Dhtkd1, Upf2",6.0,"50884, 23703, 855, 24456, 44733, 105235",105235.0,855.0,41644.333333333336,34594.5,2,0,0,0,0,4.319370906175928
chr2-g50,chr2,10000000,10200000,0.431685,"Taf3, Atp5c1, Kin, Itih2, Itih5",5.0,"134058, 24480, 12090, 36093, 102987",134058.0,12090.0,61941.6,36093.0,2,0,0,0,0,6.225267064794237
chr2-g51,chr2,10200000,10400000,0.44177,"Itih5, Sfmbt2",2.0,"102987, 224803",224803.0,102987.0,163895.0,163895.0,2,0,0,0,0,6.225267064794237
chr2-g67,chr2,13400000,13600000,0.39806,"Cubn, Trdmt1, Vim",3.0,"215539, 34504, 8516",215539.0,8516.0,86186.33333333333,34504.0,2,0,0,0,0,6.049691129874899
chr2-g71,chr2,14200000,14400000,0.406015,"Tmem236, Mrc1, Mir511, Slc39a12",4.0,"47470, 102610, 79, 106580",106580.0,79.0,64184.75,75040.0,2,0,0,0,0,5.55757171706933
chr2-g72,chr2,14400000,14600000,0.38787,Slc39a12,1.0,106580,106580.0,106580.0,106580.0,106580.0,2,0,0,0,0,5.55757171706933
chr2-g81,chr2,16200000,16400000,0.3903999999999999,"Malrd1, Plxdc2",2.0,"729079, 399536",729079.0,399536.0,564307.5,564307.5,2,0,0,0,0,-4.808620308204759
chr2-g82,chr2,16400000,16600000,0.38048,Plxdc2,1.0,399536,399536.0,399536.0,399536.0,399536.0,2,0,0,0,0,-4.808620308204759
chr2-g83,chr2,16600000,16800000,0.379955,Plxdc2,1.0,399536,399536.0,399536.0,399536.0,399536.0,2,0,0,0,0,-4.808620308204759
chr2-g88,chr2,17600000,17800000,0.42356,Nebl,1.0,6379,6379.0,6379.0,6379.0,6379.0,2,0,0,0,0,7.674354827926828
chr2-g90,chr2,18000000,18200000,0.41196,"Gm17762, A930004D18Rik, Skida1, Mllt10, Mir7655",5.0,"3329, 12553, 4363, 147806, 58",147806.0,58.0,33621.8,4363.0,2,0,0,0,0,6.005842405733917
chr2-g101,chr2,20200000,20400000,0.4074549999999999,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-5.469694127354328
chr2-g102,chr2,20400000,20600000,0.4226,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-5.469694127354328
chr2-g103,chr2,20600000,20800000,0.427265,Etl4,1.0,520623,520623.0,520623.0,520623.0,520623.0,2,0,0,0,0,-5.469694127354328
chr2-g104,chr2,20800000,21000000,0.41762,"Etl4, Arhgap21, Gm13375",3.0,"520623, 119803, 1475",520623.0,1475.0,213967.0,119803.0,2,0,0,0,0,-5.469694127354328
chr2-g113,chr2,22600000,22800000,0.41306,"Gad2, Mir3967, Apbb1ip",3.0,"71551, 68, 101327",101327.0,68.0,57648.66666666666,71551.0,2,0,0,0,0,-4.726306479313648
chr2-g114,chr2,22800000,23000000,0.39443,"Apbb1ip, Pdss1, Abi1",3.0,"101327, 44738, 100168",101327.0,44738.0,82077.66666666667,100168.0,2,0,0,0,0,4.166638196973854
chr2-g115,chr2,23000000,23200000,0.40097,"Abi1, Acbd5, Mastl, Yme1l1",4.0,"100168, 46312, 39481, 42756",100168.0,39481.0,57179.25,44534.0,2,0,0,0,0,4.166638196973854
chr2-g120,chr2,24000000,24200000,0.398465,"Hnmt, Tbpl2, Il1f8, Il1f9",4.0,"46467, 25230, 6932, 7092",46467.0,6932.0,21430.25,16161.0,2,0,0,0,0,4.778482955854698
chr2-g124,chr2,24800000,25000000,0.4431549999999999,"Ehmt1, Zmynd19, Arrdc1, Dph7, Mrpl41, Pnpla7",6.0,"128841, 11094, 9927, 9765, 2629, 78040",128841.0,2629.0,40049.333333333336,10510.5,2,0,0,0,0,5.27230951551754
chr2-g125,chr2,25000000,25200000,0.488145,"Pnpla7, Nsmf, Mir7664, Entpd8, Noxa1, Nrarp, Tor4a, Nelfb",8.0,"78040, 8503, 63, 5397, 9536, 2575, 4094, 11778",78040.0,63.0,14998.25,6950.0,2,0,0,1,0,5.27230951551754
chr2-g132,chr2,26400000,26600000,0.514225,"Inpp5e, Sec16a, 0610009E02Rik, Mir6996, Notch1, Gm35978, Mir126a, Egfl7, Mir126b, Agpat2",10.0,"12971, 35786, 12072, 61, 45921, 1420, 73, 6047, 58, 11361",45921.0,58.0,12577.0,8704.0,2,0,0,0,0,7.0780066958182495
chr2-g136,chr2,27200000,27400000,0.5116850000000001,"Sardh, Vav2",2.0,"58911, 165505",165505.0,58911.0,112208.0,112208.0,2,0,0,0,0,4.405052939037991
chr2-g137,chr2,27400000,27600000,0.49615,"Vav2, Brd3os, Brd3, Mir7578, Wdr5",5.0,"165505, 1786, 30093, 82, 21392",165505.0,82.0,43771.6,21392.0,2,0,0,1,0,4.405052939037991
chr2-g155,chr2,31000000,31200000,0.48494,"Usp20, Fnbp1, Gpr107, D330023K18Rik",4.0,"40377, 115803, 64252, 1243",115803.0,1243.0,55418.75,52314.5,2,0,0,0,0,7.41959022690487
chr2-g164,chr2,32800000,33000000,0.502635,"Stxbp1, Fam129b, Lrsam1, Snora65, Rpl12, Slc2a8, Garnl3",7.0,"59631, 49120, 36041, 118, 2334, 9103, 145212",145212.0,118.0,43079.857142857145,36041.0,2,0,0,0,0,-6.648994583101259
chr2-g165,chr2,33000000,33200000,0.4715350000000001,"Garnl3, Ralgps1",2.0,"145212, 238076",238076.0,145212.0,191644.0,191644.0,2,0,0,0,0,-6.648994583101259
chr2-g202,chr2,40400000,40600000,0.3701149999999999,Lrp1b,1.0,2056826,2056826.0,2056826.0,2056826.0,2056826.0,2,0,0,0,0,-4.943877626936445
