200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Bergmann_pol_ass,Bergmann_spk_ass,Granule_pol_ass,Granule_spk_ass,log2FC_G2B
chr1-g57,chr1,11400000,11600000,0.386425,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0,2.7761822452410034
chr1-g58,chr1,11600000,11800000,0.390115,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,1,0,0,0,2.7761822452410034
chr1-g63,chr1,12600000,12800000,0.4185499999999999,"Gm17644, Sulf1",2.0,"5528, 167943",167943.0,5528.0,86735.5,86735.5,1,1,0,0,0,-5.90116220481954
chr1-g64,chr1,12800000,13000000,0.43009,"Sulf1, Slco5a1",2.0,"167943, 124586",167943.0,124586.0,146264.5,146264.5,1,0,0,0,0,-5.90116220481954
chr1-g70,chr1,14000000,14200000,0.414065,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0,-5.010324896800858
chr1-g71,chr1,14200000,14400000,0.40052,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0,-5.010324896800858
chr1-g76,chr1,15200000,15400000,0.40198,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,6.252749115586283
chr1-g77,chr1,15400000,15600000,0.40193,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,6.252749115586283
chr1-g78,chr1,15600000,15800000,0.4077449999999999,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,6.252749115586283
chr1-g84,chr1,16800000,17000000,0.407195,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1,0,0,0,0,7.35718746530513
chr1-g85,chr1,17000000,17200000,0.40005,"Jph1, Gdap1",2.0,"102950, 18898",102950.0,18898.0,60924.0,60924.0,1,0,0,0,0,6.1311097559885495
chr1-g104,chr1,20800000,21000000,0.439695,"Mcm3, Paqr8, 6720483E21Rik, Efhc1",4.0,"17345, 49103, 1824, 39216",49103.0,1824.0,26872.0,28280.5,1,0,0,0,0,-3.124964541100352
chr1-g106,chr1,21200000,21400000,0.431165,"Tmem14a, Gsta3, Gm4956, Khdc1a, Khdc1c, Khdc1b, Kcnq5",7.0,"11593, 24991, 13067, 2523, 1413, 2829, 564252",564252.0,1413.0,88666.85714285714,11593.0,1,0,0,0,0,-2.1588821192796748
chr1-g111,chr1,22200000,22400000,0.39374,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,5.47975554018502
chr1-g112,chr1,22400000,22600000,0.313335,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,1,0,5.47975554018502
chr1-g113,chr1,22600000,22800000,0.391615,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,1,0,5.47975554018502
chr1-g114,chr1,22800000,23000000,0.39441,"Rims1, Gm7759",2.0,"520031, 6695",520031.0,6695.0,263363.0,263363.0,1,0,0,1,0,5.47975554018502
chr1-g118,chr1,23600000,23800000,0.4204800000000001,B3gat2,1.0,85933,85933.0,85933.0,85933.0,85933.0,1,0,0,0,0,2.001055870041308
chr1-g119,chr1,23800000,24000000,0.415275,"B3gat2, Smap1, Sdhaf4",3.0,"85933, 76757, 9702",85933.0,9702.0,57464.0,76757.0,1,0,0,0,0,2.001055870041308
chr1-g121,chr1,24200000,24400000,0.404475,"Col9a1, Col19a1",2.0,"75129, 329755",329755.0,75129.0,202442.0,202442.0,1,0,0,0,0,4.724364463955468
chr1-g122,chr1,24400000,24600000,0.3896,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1,0,0,0,0,4.724364463955468
chr1-g160,chr1,32000000,32200000,0.37056,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,3.858138564045165
chr1-g161,chr1,32200000,32400000,0.37549,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,3.858138564045165
chr1-g162,chr1,32400000,32600000,0.377715,"Khdrbs2, Gm9839, Gm5415",3.0,"485848, 1437, 3748",485848.0,1437.0,163677.66666666666,3748.0,1,0,0,0,0,3.858138564045165
chr1-g163,chr1,32600000,32800000,0.3855,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,3.858138564045165
chr1-g169,chr1,33800000,34000000,0.430625,"Zfp451, Gm15455, Bend6, Dst",4.0,"12636, 3016, 55716, 400438",400438.0,3016.0,117951.5,34176.0,1,0,0,0,0,5.519236389181374
chr1-g181,chr1,36200000,36400000,0.467795,"Uggt1, Neurl3, Arid5a, Mir6898, Kansl3, Fer1l5",6.0,"104275, 8824, 16297, 77, 33452, 49921",104275.0,77.0,35474.333333333336,24874.5,1,0,0,0,0,-3.022138543038392
chr1-g182,chr1,36400000,36600000,0.502155,"Fer1l5, Lman2l, Cnnm4, Cnnm3, Ankrd23, Ankrd39, Sema4c, Fam178b",8.0,"49921, 22086, 37180, 16370, 6364, 9082, 9743, 120488",120488.0,6364.0,33904.25,19228.0,1,0,0,0,0,3.32534130319578
chr1-g187,chr1,37400000,37600000,0.4479350000000001,"Inpp4a, Coa5, Unc50, Mgat4a, 4930594C11Rik",5.0,"110903, 13019, 8848, 101677, 2755",110903.0,2755.0,47440.4,13019.0,1,0,0,0,0,3.488396990879296
chr1-g193,chr1,38600000,38800000,0.449425,"Aff3, Lonrf2",2.0,"451254, 43019",451254.0,43019.0,247136.5,247136.5,1,0,0,0,0,1.9390327898303872
chr1-g194,chr1,38800000,39000000,0.442335,"Lonrf2, Chst10, Nms, Pdcl3",4.0,"43019, 34288, 11128, 9423",43019.0,9423.0,24464.5,22708.0,1,0,0,0,0,1.9390327898303872
chr1-g195,chr1,39000000,39200000,0.454925,"Npas2, Mir6349",2.0,"168969, 97",168969.0,97.0,84533.0,84533.0,1,0,0,0,0,-2.4458455420077265
chr1-g196,chr1,39200000,39400000,0.4640499999999999,"Npas2, Rpl31, Tbc1d8",3.0,"168969, 4060, 107260",168969.0,4060.0,93429.66666666669,107260.0,1,0,0,0,0,0.7172791159517645
chr1-g197,chr1,39400000,39600000,0.4545850000000001,"Tbc1d8, Cnot11, Snord89, Rnf149",4.0,"107260, 11177, 94, 26052",107260.0,94.0,36145.75,18614.5,1,0,0,0,0,3.3264956325050137
chr1-g200,chr1,40000000,40200000,0.44882,"Map4k4, Il1r2, Gm16894",3.0,"125398, 39138, 9640",125398.0,9640.0,58058.66666666666,39138.0,1,0,0,0,0,3.26793339793912
chr1-g213,chr1,42600000,42800000,0.440615,"Pantr1, Pou3f3, 2900092D14Rik, Pantr2, Dalir",5.0,"46626, 4442, 2841, 6392, 2175",46626.0,2175.0,12495.2,4442.0,1,0,0,0,0,-4.093103609105845
chr1-g226,chr1,45200000,45400000,0.3721199999999999,"Col3a1, Col5a2",2.0,"38169, 128952",128952.0,38169.0,83560.5,83560.5,1,0,0,0,0,-4.596024361030351
chr1-g227,chr1,45400000,45600000,0.3747399999999999,Col5a2,1.0,128952,128952.0,128952.0,128952.0,128952.0,1,0,0,0,0,-4.596024361030351
chr1-g230,chr1,46000000,46200000,0.40191,"Stk-ps2, Dnah7b",2.0,"10023, 306694",306694.0,10023.0,158358.5,158358.5,1,0,0,0,0,-4.678433241733141
chr1-g231,chr1,46200000,46400000,0.396885,Dnah7b,1.0,306694,306694.0,306694.0,306694.0,306694.0,1,0,0,0,0,-4.678433241733141
chr1-g254,chr1,50800000,51000000,0.374795,Tmeff2,1.0,259748,259748.0,259748.0,259748.0,259748.0,1,0,0,0,0,3.573571675309376
chr1-g255,chr1,51000000,51200000,0.38418,Tmeff2,1.0,259748,259748.0,259748.0,259748.0,259748.0,1,0,0,0,0,3.573571675309376
chr1-g260,chr1,52000000,52200000,0.41651,"Stat4, Stat1, Gls",3.0,"120042, 42428, 47952",120042.0,42428.0,70140.66666666667,47952.0,1,0,0,0,0,3.306263492384792
chr1-g261,chr1,52200000,52400000,0.40854,Gls,1.0,47952,47952.0,47952.0,47952.0,47952.0,1,0,0,0,0,3.310097378588837
chr1-g262,chr1,52400000,52600000,0.4126149999999999,"Nab1, Gm28178",2.0,"44600, 10279",44600.0,10279.0,27439.5,27439.5,1,0,0,0,0,2.491619216177849
chr1-g263,chr1,52600000,52800000,0.4160699999999999,"Nemp2, Mfsd6, Inpp1",3.0,"21215, 71073, 28269",71073.0,21215.0,40185.66666666666,28269.0,1,0,0,0,0,5.346602317927241
chr1-g265,chr1,53000000,53200000,0.3945349999999999,"Mstn, 1700019A02Rik, Pms1",3.0,"6440, 29041, 107840",107840.0,6440.0,47773.66666666666,29041.0,1,0,0,0,0,2.5009706741433697
chr1-g266,chr1,53200000,53400000,0.401075,"Pms1, Ormdl1, Osgepl1, Asnsd1, Asdurf, Dnah7a",6.0,"107840, 13151, 12719, 8136, 4424, 309783",309783.0,4424.0,76008.83333333333,12935.0,1,0,0,0,0,2.5009706741433697
chr1-g268,chr1,53600000,53800000,0.39894,"Dnah7a, Stk17b",2.0,"309783, 29704",309783.0,29704.0,169743.5,169743.5,1,0,0,0,0,-3.160763849753357
chr1-g269,chr1,53800000,54000000,0.4101249999999999,"Mir7681, Hecw2",2.0,"72, 264220",264220.0,72.0,132146.0,132146.0,1,0,0,0,0,7.097727389051356
chr1-g270,chr1,54000000,54200000,0.412155,Hecw2,1.0,264220,264220.0,264220.0,264220.0,264220.0,1,0,0,0,0,7.097727389051356
chr1-g272,chr1,54400000,54600000,0.39782,"Gtf3c3, Pgap1",2.0,"43150, 84685",84685.0,43150.0,63917.5,63917.5,1,0,0,0,0,2.2809443346707
chr1-g275,chr1,55000000,55200000,0.430025,"Sf3b1, Coq10b, Hspe1, Hspd1, Mob4, Rftn2",6.0,"42309, 19933, 3170, 10411, 23655, 56623",56623.0,3170.0,26016.83333333333,21794.0,1,0,0,0,0,-6.119942383912618
chr1-g276,chr1,55200000,55400000,0.401785,"Rftn2, Mars2, Boll",3.0,"56623, 2882, 64019",64019.0,2882.0,41174.66666666666,56623.0,1,0,0,0,0,-6.119942383912618
chr1-g277,chr1,55400000,55600000,0.410835,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,-2.0853075323568624
chr1-g278,chr1,55600000,55800000,0.413115,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,-2.0853075323568624
chr1-g292,chr1,58400000,58600000,0.40708,"Bzw1, Clk1, Nif3l1, Ppil3, Orc2, Fam126b, Ndufb3",7.0,"14457, 12101, 17126, 14494, 42339, 63528, 9568",63528.0,9568.0,24801.85714285714,14494.0,1,0,0,0,0,2.437325233892871
chr1-g295,chr1,59000000,59200000,0.41645,"C2cd6, Tmem237, Mpp4, Als2",4.0,"44395, 19825, 42455, 45609",45609.0,19825.0,38071.0,43425.0,1,0,0,0,0,4.004747426553767
chr1-g296,chr1,59200000,59400000,0.43916,"Als2, Cdk15",2.0,"45609, 95591",95591.0,45609.0,70600.0,70600.0,1,0,0,0,0,4.004747426553767
chr1-g308,chr1,61600000,61800000,0.39473,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,-4.740314881181716
chr1-g309,chr1,61800000,62000000,0.38261,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,-4.740314881181716
chr1-g310,chr1,62000000,62200000,0.387195,"Pard3b, Pard3bos2",2.0,"1003461, 5001",1003461.0,5001.0,504231.0,504231.0,1,0,0,0,0,-4.740314881181716
chr1-g311,chr1,62200000,62400000,0.39466,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,-4.740314881181716
chr1-g312,chr1,62400000,62600000,0.405275,Pard3b,1.0,1003461,1003461.0,1003461.0,1003461.0,1003461.0,1,0,0,0,0,-4.740314881181716
chr1-g313,chr1,62600000,62800000,0.45342,"Pard3b, Nrp2, 4930487H11Rik",3.0,"1003461, 115376, 3815",1003461.0,3815.0,374217.3333333333,115376.0,1,0,0,0,0,-4.740314881181716
chr1-g317,chr1,63400000,63600000,0.414695,Adam23,1.0,150211,150211.0,150211.0,150211.0,150211.0,1,0,0,0,0,3.0236164255986075
chr1-g325,chr1,65000000,65200000,0.4241199999999999,"Akr1cl, Cryge, Crygc, Crygd, Crygb, Cryga, D630023F18Rik, Idh1, Pikfyve",9.0,"19682, 2607, 2008, 1603, 2069, 2975, 15902, 27864, 92012",92012.0,1603.0,18524.666666666668,2975.0,1,0,0,0,0,-4.081280037811704
chr1-g332,chr1,66400000,66600000,0.39337,"Map2, Unc80",2.0,"267255, 231217",267255.0,231217.0,249236.0,249236.0,1,0,0,0,0,2.238480344327383
chr1-g333,chr1,66600000,66800000,0.38341,"Unc80, Rpe, Kansl1l",3.0,"231217, 18975, 98348",231217.0,18975.0,116180.0,98348.0,1,0,0,0,0,2.238480344327383
chr1-g347,chr1,69400000,69600000,0.39414,Ikzf2,1.0,154751,154751.0,154751.0,154751.0,154751.0,1,0,0,0,0,-2.3453324461980776
chr1-g348,chr1,69600000,69800000,0.39342,Ikzf2,1.0,154751,154751.0,154751.0,154751.0,154751.0,1,0,0,0,0,-2.3453324461980776
chr1-g349,chr1,69800000,70000000,0.38404,Spag16,1.0,99281,99281.0,99281.0,99281.0,99281.0,1,0,0,0,0,-2.528902374921179
chr1-g360,chr1,72000000,72200000,0.4354099999999999,"4933417E11Rik, Mreg",2.0,"46198, 53082",53082.0,46198.0,49640.0,49640.0,1,0,0,0,0,4.773012532643404
chr1-g361,chr1,72200000,72400000,0.446365,"Mreg, D230017M19Rik, Pecr, Tmem169, Xrcc5",5.0,"53082, 30877, 25149, 18623, 87533",87533.0,18623.0,43052.8,30877.0,1,0,0,0,0,6.507658489002774
chr1-g369,chr1,73800000,74000000,0.483085,"6030407O03Rik, Mir6351, Tns1",3.0,"246086, 99, 214317",246086.0,99.0,153500.66666666666,214317.0,1,0,0,0,0,-4.509486207641468
chr1-g370,chr1,74000000,74200000,0.494215,"Tns1, Rufy4, Cxcr2, Cxcr1",4.0,"214317, 22690, 7253, 2846",214317.0,2846.0,61776.5,14971.5,1,0,0,0,0,-4.509486207641468
chr1-g375,chr1,75000000,75200000,0.3538971428571429,"Nhej1, Retreg2, Cnppd1, Slc23a3, Zfand2b, Abcb6, Ankzf1, Atg9a, Glb1l",9.0,"79294, 4752, 6950, 8349, 2892, 8752, 7226, 11150, 12544",79294.0,2892.0,15767.666666666666,8349.0,1,0,0,0,0,-2.388399906443836
chr1-g376,chr1,75200000,75400000,0.486245,"Glb1l, Stk16, Tuba4a, A630095N17Rik, Dnajb2, Ptprn, Resp18, Dnpep, Des, Gm15179, Speg",11.0,"12544, 4778, 4323, 11999, 9270, 17168, 6219, 9073, 8288, 6806, 57010",57010.0,4323.0,13407.09090909091,9073.0,1,0,0,0,0,2.550363970862506
chr1-g377,chr1,75400000,75600000,0.515065,"Speg, Gmppa, Asic4, Chpf, Tmem198, Obsl1, Stk11ip, Inha, Slc4a3",9.0,"57010, 7244, 23831, 4903, 6162, 20628, 15807, 2758, 13166",57010.0,2758.0,16834.333333333332,13166.0,1,0,0,0,0,3.679990377035924
chr1-g386,chr1,77200000,77400000,0.416465,Epha4,1.0,147904,147904.0,147904.0,147904.0,147904.0,1,0,0,0,0,-3.4130075867956906
chr1-g387,chr1,77400000,77600000,0.42094,"Epha4, Mir6352",2.0,"147904, 116",147904.0,116.0,74010.0,74010.0,1,0,0,0,0,-3.4130075867956906
chr1-g390,chr1,78000000,78200000,0.419485,Pax3,1.0,95870,95870.0,95870.0,95870.0,95870.0,1,0,0,0,0,-8.539692434452832
chr1-g391,chr1,78200000,78400000,0.4377999999999999,Sgpp2,1.0,109941,109941.0,109941.0,109941.0,109941.0,1,0,0,0,0,6.788471985224788
chr1-g392,chr1,78400000,78600000,0.4344949999999999,"Sgpp2, Farsb, Mogat1",3.0,"109941, 64153, 27114",109941.0,27114.0,67069.33333333333,64153.0,1,0,0,0,0,6.788471985224788
chr1-g393,chr1,78600000,78800000,0.421915,"Utp14b, Acsl3, Gm29536",3.0,"9162, 49919, 432889",432889.0,9162.0,163990.0,49919.0,1,0,0,0,0,-2.9538009844346305
chr1-g397,chr1,79400000,79600000,0.4063049999999999,Scg2,1.0,5659,5659.0,5659.0,5659.0,5659.0,1,0,0,0,0,4.867184582380524
chr1-g398,chr1,79600000,79800000,0.43379,"Ap1s3, Wdfy1, Mrpl44, Serpine2",4.0,"65097, 35367, 5428, 64345",65097.0,5428.0,42559.25,49856.0,1,0,0,0,0,-4.069612975300422
chr1-g399,chr1,79800000,80000000,0.432,Serpine2,1.0,64345,64345.0,64345.0,64345.0,64345.0,1,0,0,0,0,-4.069612975300422
chr1-g405,chr1,81000000,81200000,0.377475,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,6.017189694960825
chr1-g406,chr1,81200000,81400000,0.38474,Nyap2,1.0,222893,222893.0,222893.0,222893.0,222893.0,1,0,0,0,0,6.017189694960825
chr1-g411,chr1,82200000,82400000,0.42073,"Irs1, Rhbdd1",2.0,"58335, 128789",128789.0,58335.0,93562.0,93562.0,1,0,0,0,0,-2.5470332959828506
chr1-g412,chr1,82400000,82600000,0.43275,"Rhbdd1, Col4a4, Col4a3",3.0,"128789, 136127, 135139",136127.0,128789.0,133351.66666666666,135139.0,1,0,0,0,0,-2.5470332959828506
chr1-g416,chr1,83200000,83400000,0.3997,"Daw1, Sphkap",2.0,"50811, 152757",152757.0,50811.0,101784.0,101784.0,1,0,0,1,0,6.956036409592453
chr1-g417,chr1,83400000,83600000,0.388845,Sphkap,1.0,152757,152757.0,152757.0,152757.0,152757.0,1,0,0,1,0,6.956036409592453
chr1-g420,chr1,84000000,84200000,0.408235,Pid1,1.0,248353,248353.0,248353.0,248353.0,248353.0,1,0,0,0,0,4.612905013851332
chr1-g421,chr1,84200000,84400000,0.415505,"Pid1, Mir6353, Dner",3.0,"248353, 113, 326383",326383.0,113.0,191616.3333333333,248353.0,1,0,0,0,0,4.612905013851332
chr1-g436,chr1,87200000,87400000,0.442185,"Chrnd, Eif4e2, Chrng, Efhd1, Gigyf2, Kcnj13",6.0,"9474, 26575, 6025, 46489, 123813, 10153",123813.0,6025.0,37088.16666666666,18364.0,1,0,0,0,0,-4.1515818736855366
chr1-g439,chr1,87800000,88000000,0.446345,"Sag, Dgkd, Gm19582, Usp40",4.0,"41478, 91203, 953, 63431",91203.0,953.0,49266.25,52454.5,1,0,0,0,0,3.9257407569245824
chr1-g451,chr1,90200000,90400000,0.47194,Ackr3,1.0,11743,11743.0,11743.0,11743.0,11743.0,1,0,0,0,0,-4.658165120468652
chr1-g455,chr1,91000000,91200000,0.467165,"Lrrfip1, Rbm44, Ramp1",3.0,"130218, 25693, 45375",130218.0,25693.0,67095.33333333333,45375.0,1,0,0,0,0,-4.475135985047815
chr1-g456,chr1,91200000,91400000,0.482995,"Ramp1, Ube2f, Scly, Espnl, Klhl30, Erfe, Ilkap",7.0,"45375, 36218, 22743, 26229, 11332, 7788, 22997",45375.0,7788.0,24668.85714285714,22997.0,1,0,0,0,0,-4.475135985047815
chr1-g466,chr1,93200000,93400000,0.4857049999999999,"Crocc2, Sned1, Mir6901, Gm28535, Mterf4, Pask, Ppp1r7, Mir6902, Ano7, Mir6345",10.0,"62644, 60552, 62, 11349, 4675, 33352, 23989, 64, 30409, 128",62644.0,62.0,22722.4,17669.0,1,0,0,0,0,-3.5787781352590637
chr1-g523,chr1,104600000,104800000,0.390915,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,-5.566650827186372
chr1-g524,chr1,104800000,105000000,0.39346,Cdh20,1.0,226962,226962.0,226962.0,226962.0,226962.0,1,0,0,0,0,-5.566650827186372
chr1-g526,chr1,105200000,105400000,0.422965,"Rnf152, Gm17634",2.0,"79794, 5731",79794.0,5731.0,42762.5,42762.5,1,0,0,0,0,4.672901037661744
chr1-g549,chr1,109800000,110000000,0.36467,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,7.933555504182532
chr1-g550,chr1,110000000,110200000,0.354165,Cdh7,1.0,157004,157004.0,157004.0,157004.0,157004.0,1,0,0,0,0,7.933555504182532
chr1-g554,chr1,110800000,111000000,0.35146,Cdh19,1.0,89268,89268.0,89268.0,89268.0,89268.0,1,0,0,0,0,-6.387588135637465
chr1-g594,chr1,118800000,119000000,0.49067,"Gli2, Mir6346",2.0,"219559, 80",219559.0,80.0,109819.5,109819.5,1,0,0,0,0,-7.831364599353217
chr1-g595,chr1,119000000,119200000,0.484925,Gli2,1.0,219559,219559.0,219559.0,219559.0,219559.0,1,0,0,0,0,-7.831364599353217
chr1-g597,chr1,119400000,119600000,0.4741849999999999,"Inhbb, Ralb, Tmem185b, 3830432H09Rik, Epb41l5",5.0,"6786, 34478, 2830, 6686, 54177",54177.0,2830.0,20991.4,6786.0,1,0,0,0,0,-2.746915120281125
chr1-g598,chr1,119600000,119800000,0.3768899999999999,"Epb41l5, Ptpn4",2.0,"54177, 178979",178979.0,54177.0,116578.0,116578.0,1,0,0,0,0,-2.746915120281125
chr1-g605,chr1,121000000,121200000,0.43366,Celrr,1.0,33571,33571.0,33571.0,33571.0,33571.0,1,0,0,0,0,-5.062722541510957
chr1-g616,chr1,123200000,123400000,0.384725,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,6.375817505836756
chr1-g617,chr1,123400000,123600000,0.3720099999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,6.375817505836756
chr1-g618,chr1,123600000,123800000,0.3797149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,6.375817505836756
chr1-g619,chr1,123800000,124000000,0.3818149999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,6.375817505836756
chr1-g620,chr1,124000000,124200000,0.3798549999999999,Dpp10,1.0,713422,713422.0,713422.0,713422.0,713422.0,1,0,0,0,0,6.375817505836756
chr1-g629,chr1,125800000,126000000,0.43545,"Gpr39, Lypd1, Nckap5",3.0,"196866, 45307, 916997",916997.0,45307.0,386390.0,196866.0,1,0,0,0,0,-5.724135582527501
chr1-g630,chr1,126000000,126200000,0.41853,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,-5.724135582527501
chr1-g631,chr1,126200000,126400000,0.4144100000000001,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,-5.724135582527501
chr1-g632,chr1,126400000,126600000,0.4280049999999999,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,-5.724135582527501
chr1-g633,chr1,126600000,126800000,0.430525,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,-5.724135582527501
chr1-g634,chr1,126800000,127000000,0.4302449999999999,Nckap5,1.0,916997,916997.0,916997.0,916997.0,916997.0,1,0,0,0,0,-5.724135582527501
chr1-g636,chr1,127200000,127400000,0.455265,Mgat5,1.0,277987,277987.0,277987.0,277987.0,277987.0,1,0,0,0,0,2.472569432181128
chr1-g637,chr1,127400000,127600000,0.462655,"Mgat5, Tmem163",2.0,"277987, 187680",277987.0,187680.0,232833.5,232833.5,1,0,0,0,0,5.203532036365668
chr1-g638,chr1,127600000,127800000,0.43443,"Tmem163, Acmsd, Ccnt2, 2900009J06Rik",4.0,"187680, 38152, 30674, 20438",187680.0,20438.0,69236.0,34413.0,1,0,0,0,0,6.386289251644451
chr1-g656,chr1,131200000,131400000,0.453905,"Rassf5, Ikbke, Srgap2",3.0,"68769, 24962, 242111",242111.0,24962.0,111947.33333333331,68769.0,1,0,0,0,0,3.786277151514176
chr1-g657,chr1,131400000,131600000,0.41228,"Srgap2, Fam72a, Avpr1b",3.0,"242111, 11133, 12887",242111.0,11133.0,88710.33333333333,12887.0,1,0,0,0,0,3.786277151514176
chr1-g662,chr1,132400000,132600000,0.46742,"Dstyk, Rbbp5, Tmem81, Cntn2, Nfasc",5.0,"49507, 28299, 2410, 33516, 177108",177108.0,2410.0,58168.0,33516.0,1,0,0,0,1,5.893366617819743
chr1-g670,chr1,134000000,134200000,0.48606,"Fmod, Btg2, Chit1, Chil1, Mybph, Adora1",6.0,"11027, 4291, 40299, 7628, 7785, 36243",40299.0,4291.0,17878.833333333332,9406.0,1,0,0,0,1,2.357122122538507
chr1-g671,chr1,134200000,134400000,0.48246,"Mybph, Adora1, Myog, Myoparr, Ppfia4, Tmem183a, Mgat4f",7.0,"7785, 36243, 2545, 1167, 36146, 15911, 5044",36243.0,1167.0,14977.285714285714,7785.0,1,0,0,0,0,5.430587233194942
chr1-g673,chr1,134600000,134800000,0.475335,"Kdm5b, Syt2, Ppp1r12b",3.0,"72701, 106538, 201275",201275.0,72701.0,126838.0,106538.0,1,0,0,0,0,4.963611177517005
chr1-g675,chr1,135000000,135200000,0.4964699999999999,"Lgr6, Ptprv, Ptpn7, Arl8a, Gpr37l1",5.0,"118924, 24078, 12627, 9435, 7432",118924.0,7432.0,34499.2,12627.0,1,0,0,0,0,-5.366764098598591
chr1-g677,chr1,135400000,135600000,0.476205,"Ipo9, Nav1, Mir1231, Gm4793",4.0,"48188, 150776, 81, 2159",150776.0,81.0,50301.0,25173.5,1,0,0,0,0,-3.1494946159218005
chr1-g678,chr1,135600000,135800000,0.4827499999999999,"Csrp1, Phlda3, Tnni1",3.0,"32167, 3050, 11569",32167.0,3050.0,15595.333333333334,11569.0,1,0,1,0,0,-5.423932611845942
