fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g15,chr7-g16,chr7-g17,chr7-g18,chr7-g19,chr7-g20,chr7-g21,chr7-g22,chr7-g23,chr7-g24,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61
2,80,2,2,-0.51064,-0.030906666666666634,,,-0.27705,-0.0811409999999999,,-0.18663,,0.43125,-0.5520849999999999,-0.31473,-0.8271200000000001,,,0.01681833333333334,-0.4805,-0.062301999999999996,-0.088676,0.07279142857142858,0.15244666666666665,0.001746,,,-0.6211566666666667,0.8456799999999999,,-0.45036,,-0.53325,,,,,-0.54832
1,233,1,1,0.08777000000000007,,,,-0.243784,0.48482,-0.080053,,,-0.21103499999999997,,,-0.080053,0.042745,-0.57124,,,-0.0309339999999999,0.10414499999999999,,0.5011899999999999,0.92689,,,,,-1.0788,-0.94782,,,,,,-0.29699499999999995,
1,468,1,1,,0.14175,,-0.4141,0.007936,-0.40381,-0.043532,0.27557,-0.16706,-0.444985,0.06455,-0.94938,,-0.15676500000000002,-0.4827233333333334,-1.1552,,,1.03386,-1.2067,,-0.7640899999999999,,,,-0.5891,,,,,,-0.89276,0.11087,-0.78468,
2,210,2,1,,-1.2012666666666665,-0.9309433333333333,-0.7203200000000001,-1.04935,-0.98222,-0.85638,-0.67743,,-0.75013,-0.034293,-0.3251,-0.9291,-0.40898999999999996,0.1223,-0.49288,,-0.14614,-0.20207,2.2586,-0.43695,-0.30273,,0.044,-1.2199,0.77103,-0.29155,-0.98502,-0.5544,-0.196475,1.0507,1.0338749999999999,-0.09767333333333335,-1.1919499999999998,1.37222
2,198,2,1,,-0.39461,-0.07577799999999994,0.0445975,-0.163622,,,-0.5768,-0.056257999999999996,,,-0.34906,,,,-0.18964949999999997,-0.14735,,-0.30025999999999997,-0.36858,,-0.25146,,,,,,,,,,,0.64322,0.2560699999999999,
1,843,2,1,,,-0.7659100000000001,-0.4369,,,0.019461,,,,0.24233,-0.17157,,,,-0.47404999999999997,,-0.6703899999999999,-0.70223,-0.36791749999999995,-0.27770333333333325,-0.4262899999999999,,,,,,,,,,,,-0.46874,
2,80,2,1,0.981305,0.67991,,,-0.76684,-0.17721750000000003,0.73012,,,,,-0.37877999999999995,,0.2202599999999999,-0.24440199999999992,-0.66386,-0.555855,-0.5162925,,,,-0.52571,,,,,,,,,,0.8230700000000001,-1.8694733333333335,0.17505,-0.59353
0,116,1,1,,,-0.7066600000000001,-0.59527,,,,1.2241,-0.86446,,,-0.74379,,-0.3539199999999999,,-1.0965,-0.99442,,,,,-0.56742,,,-0.8273333333333334,,,-0.8459,-0.8273299999999999,-0.6324,,,,,
2,117,1,1,-0.4675375,-1.17705,-0.634465,,-0.6640366666666667,-0.9527,-1.0362,-0.94227,-0.20844000000000004,-0.03975999999999996,,0.7010149999999999,,,1.134,,-0.03975999999999995,-1.067465,,0.8210099999999999,-1.03199,-0.59796,,-0.27452,-0.059576399999999995,,,-0.48319466666666666,0.007191499999999999,-0.003242,,,,-1.1718,-0.9214
2,555,1,1,0.6251199999999999,0.1951099999999999,0.50472,-0.40118,0.30978,,,,-0.3629533333333333,0.11484,,0.13777199999999998,,,-0.34384,,-0.58465,-0.50438,,-0.48145,,-0.48145,,,,,,,,,,,-0.19477,,
2,30,1,1,-0.49356449999999996,-0.3751333333333333,-0.045355000000000006,,-0.34597,-0.80512,,-0.65208,-1.1822499999999998,-1.31345,,-1.2478500000000001,-1.2532999999999999,-1.3954,-1.4245999999999999,-1.072955,-0.851034,-1.29155,-0.76138,-0.44437,-0.48810000000000003,-1.0238,,,-1.3408,-1.0456,-0.94724,-1.0894,-0.89256,-0.9691,-0.60835,,,-1.36265,-1.4064
2,591,2,1,-0.4222033333333333,-0.22303999999999996,,-0.53049,-0.5246850000000001,,-0.43767,-0.054811,-0.37966,-0.39996525,-0.25204333333333334,0.010935000000000002,-0.24044,-0.5652933333333333,-0.4463725,,,-0.8669399999999999,-0.7586533333333333,-0.80313,-0.42607,-1.0062,,,,-1.0874,-0.1708299999999999,-1.1802,,,,-0.97136,,-1.1686,-1.3774
1,36,1,1,,-0.8568399999999999,,-1.0880333333333334,,,,,,-1.3109,,-1.32335,,-1.0013450000000002,,,,-0.66694,-0.88161,-0.865095,-0.89812,-0.79079,,-1.0963,-0.65869,-0.97243,-1.1747,,-1.1128,-1.0137,,0.51373,,,-0.5210766666666667
0,613,1,1,,,-0.14715,0.38339,0.3438,0.60511,,-0.34511,-1.0261,-0.22897333333333328,0.011224999999999985,-0.50348,-0.8835700000000001,,,1.4366,-0.21841,,,-0.16299,-0.21445549999999997,-0.21841,,,,,,-1.0182,,,-1.1132,,,,
1,144,1,1,,,0.10879,,,,-0.16177,-0.37168999999999996,,,-0.55362,-0.2768383333333333,-0.4976399999999999,,,-0.32971,-0.954825,-0.28306,-0.5163,,-0.98277,-0.97346,,,,,,,0.080804,,,,,-0.087132,-0.29239
2,648,2,1,,-0.96121,,-1.3527,-1.1743766666666666,-1.3135666666666668,,-1.157,-0.63497,,,,-0.97428,-0.20431999999999995,-0.7915800000000001,,,-0.59582,-0.7459,-0.77853,,-0.8829299999999999,,,-0.850305,,-0.8959799999999999,,,,-0.8698799999999999,-0.6436733333333332,-0.7576319999999999,0.1741375,-0.8405100000000001
1,1034,2,1,,-0.20188,-0.075668,0.76895,,-0.03683500000000001,0.80779,,,-0.47371,,,-0.070815,,-0.2892509999999999,,,,,-0.40575,-0.20188,-0.26983,,-0.0416885,,0.031123,-0.42517,-0.10479,,-0.50283,,-0.464,,-0.45752666666666664,-0.464
0,158,2,1,,,-0.8827,,,,-0.60121,,,-0.35855,-0.6260066666666667,-1.0121,-1.1696,-1.10595,-0.6562100000000001,-1.0056,-0.910205,-1.148,-1.1998,-0.46855,-0.75004,-0.588245,,,-1.2084000000000001,-1.2904,-1.0768,,,,,-0.8794850000000001,,,
1,189,2,1,-0.6099100000000001,-0.5329625,-0.346676,-0.43577,-0.609905,-0.91364,-0.4492683333333334,-0.5437600000000001,0.48148650000000004,,-0.71115,,,-0.79214,,,-0.5815566666666666,-0.67065,-0.674705,-0.775945,,-0.6139600000000001,,,,,,,-0.0793919999999999,,-0.10369,,-0.80024,-0.5896600000000001,-0.5815600000000001
3,823,2,1,,,,,,,-0.22838,,-0.39531,-0.31398333333333334,-0.5194366666666667,-0.528,,,-0.4595133333333333,,,,0.4778699999999999,-0.43383,-0.19841666666666669,-0.40815,,,,,-0.21554,,,,,,,-0.93462,-0.7805333333333332
