fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g93,chrX-g94,chrX-g95,chrX-g96,chrX-g97,chrX-g98,chrX-g99,chrX-g100,chrX-g101,chrX-g102,chrX-g103,chrX-g104,chrX-g105,chrX-g106,chrX-g107,chrX-g108,chrX-g109,chrX-g110,chrX-g111,chrX-g112,chrX-g113,chrX-g114,chrX-g115,chrX-g116,chrX-g117,chrX-g118,chrX-g119,chrX-g120,chrX-g121
0,164,1,1,-0.30212,-0.14483,,,,,-0.057905,,,,,,0.38913,,,,,0.97897,,,1.1776,,,3.80085,4.716,,,1.1176,
0,310,1,1,,,,1.8535,,3.22435,1.328835,,,,,,,,2.16235,2.2542,2.4276,2.6113,,,,10.7123,,,2.6916,,1.2795,,
1,81,1,1,,,0.46998,0.66691,0.54756,,,,,-0.025349999999999984,-0.72209,,0.132795,0.213345,-0.69971,1.1563,0.46003,2.451295,0.9653,0.8355049999999999,0.638565,0.9891725,4.6757525,0.7743399999999999,0.71068,1.765,,,
0,406,1,1,,0.38694,0.15532,0.4573399999999999,,0.57201,0.4989700000000001,,,0.30973,0.33017333333333326,1.2544,,0.87744,,1.4792,0.6594399999999999,,9.5089,,9.0025,-0.2557,,,10.583,,1.7449,3.2686,
2,808,2,1,,,0.14889950000000002,,,,,,,,,,,,,,,,,-0.50745,,,-0.46547,0.018750000000000017,,0.488955,4.8105,,
0,99,2,1,0.5038100000000001,0.5141,10.42705,7.69140257142857,,10.391133333333334,5.202025,11.0549,,11.027750000000001,11.9214,9.0936,5.903795,0.28298,11.6837,4.717874,,,,,4.61718,4.8891333333333336,9.045,2.4737766666666667,3.950945,,,2.6868,
0,275,1,1,0.2814425,0.21139,0.43672999999999995,0.67258,,,,0.377185,-0.17741,,,0.43323,,,1.006495,3.205,,,,1.0637,,1.1548,,,,2.66795,3.0276,,
1,94,1,1,,,11.930250000000001,,,11.8551,,,,6.0996055,-0.000914,0.38344666666666666,0.21713499999999997,0.17525049999999998,,,0.8762200000000001,,1.14418,1.2868633333333335,0.91071,1.741,1.447,1.061018,3.069,3.0222,,,
2,43,2,1,,2.35437,5.0342,7.6497,2.14377,2.84347,8.3123,0.33601,5.890233333333334,8.481,,,,,0.1406,3.37346,2.846323333333333,1.71719,0.24498,4.8448649999999995,3.9811980000000005,3.668546,0.6103,,0.6096925,3.0243,,,
3,718,2,1,,,-0.027525,,,0.043942,,,,,,0.12732,,,,0.096352,0.096352,,,,,,,,,,,3.0813,
2,578,2,1,,,0.30179,,-0.1167599999999999,,-0.2975,,,,,,,,3.452033333333333,,4.1163,3.0652,2.857125,,4.1108,0.90109,3.1948,3.8333,,,3.2507,3.2507,
1,339,2,1,-0.5451,,,9.502,-0.3849,-0.6026699999999999,4.919,,7.2142,3.4784750000000004,,,-0.5476,-0.518815,,0.80903,,,,,-0.15378966666666666,-0.20719,,,,1.6701,,6.5034,
2,260,1,1,,,0.655555,0.5360750000000001,,,,0.1066599999999999,,,0.056977,,-0.011633500000000005,,,-0.067235,-0.059742333333333335,,-0.0737395,0.17823,-0.09799,5.4205250000000005,0.009654999999999997,-0.17882466666666663,0.35035,,,4.145300000000001,
1,233,1,1,,,,1.67999,,0.35361,0.0572149999999999,0.104639,5.7865,4.7462,1.6014,,1.4903,1.6666666666666667,,,0.30915,2.3987,0.2498699999999999,1.9423,0.17577,2.4866566666666667,,1.74223,0.3936249999999999,,,4.5446,
1,468,1,1,,,,0.38441,,,,,,,0.530005,,,0.27479275000000003,0.78271,0.68732,,,,0.8028,,,,,,2.8713,6.7138,,
2,119,1,1,,,,0.964332,0.9202733333333333,1.02585,0.886115,,,,1.3983,1.2703,0.67425,1.3098333333333334,1.02232,1.2068025,1.0965779999999998,1.5581666666666667,0.8500300000000001,,0.47868,0.82324,0.5927600000000001,0.7223566666666666,1.1305633333333334,,4.7043,4.9884,
2,199,2,1,1.6467960000000001,7.5894,2.2900338333333337,3.1153150000000003,2.795590375,1.834675,0.150248,2.5957766666666666,-0.0892425,2.7139020000000005,0.5336099999999999,0.4422,2.850717833333333,7.192526666666666,6.253995666666666,,0.16115,0.11516,3.0568,4.858966666666666,3.5661,,1.592,1.5838575000000001,1.9207,,5.0855,,
2,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5.14295,5.1746,,
2,210,2,1,,6.32395,1.44075,0.872658,6.06644,1.2738,1.21345,1.1179000000000001,9.07685,11.1589,,,,,,0.37459,0.8483275,0.5496,0.5677099999999999,0.449025,0.423875,0.35045,0.9868133333333334,1.5796,2.047862,,,5.297,
1,98,1,1,,,,,0.82224,1.0073,,,6.346744999999999,5.6589,9.857366666666666,,2.0047,2.1054,1.9203666666666666,9.8519,5.548900000000001,3.3969,,2.43995,,2.3296,,1.0978,4.6698,4.7685,,5.9201,
2,68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6406,
1,843,2,1,,,0.5778,10.00515,,,,5.835716666666667,5.195320000000001,,4.4653,5.576,6.6298,,3.8746,4.841433333333334,,4.6203,,,5.2905,2.4126,1.9711,,,,5.960649999999999,,6.3688
0,158,2,1,7.2013,,,1.6449500000000001,2.3513033333333335,1.3858,1.4342666666666666,,,2.4387,3.3164,,2.6837999999999997,,2.3004,2.1395999999999997,2.4202,2.2441,5.5513,1.6562,,1.38169,3.3570666666666664,0.9788399999999999,4.6551,6.2959,4.22595,7.7646,
3,157,2,2,,,,,,,12.3707,,,,,9.3101,,,10.7577,,,9.020825,,,9.13025,11.9024,,,6.5815,10.7577,9.9727,,
