fov,cellID,rep,dbscan_ldp_nbr_allele,chr11-g340,chr11-g341,chr11-g342,chr11-g343,chr11-g344,chr11-g345,chr11-g346,chr11-g347,chr11-g348,chr11-g349,chr11-g350,chr11-g351,chr11-g352,chr11-g353,chr11-g354,chr11-g355,chr11-g356,chr11-g357,chr11-g358,chr11-g359,chr11-g360,chr11-g361,chr11-g362,chr11-g363,chr11-g364,chr11-g365,chr11-g366,chr11-g367,chr11-g368,chr11-g369,chr11-g370,chr11-g371,chr11-g372,chr11-g373,chr11-g374,chr11-g375,chr11-g376,chr11-g377,chr11-g378,chr11-g379,chr11-g380,chr11-g381,chr11-g382,chr11-g383,chr11-g384,chr11-g385,chr11-g386,chr11-g387,chr11-g388,chr11-g389,chr11-g390,chr11-g391,chr11-g392,chr11-g393,chr11-g394,chr11-g395,chr11-g396,chr11-g397,chr11-g398,chr11-g399
0,613,1,1,-0.47983,-0.1711349999999999,,,-0.2888925,-0.28318,,,,,,-0.37921,-0.2603115,,-0.1597,-0.088813,,,,,-0.53928,,,,,,,,,,,,,-0.3815,-0.1928555,,,,,,,,,,-0.07738,,-0.09967324999999999,,-0.04994,0.05867249999999995,,-0.6033,,-0.31976,-0.14940799999999999,-0.15741,,-0.021355000000000006,,
2,792,2,1,,,-0.23772500000000002,-0.450685,,,,-0.6018066666666667,-0.58532,,,-0.41221,,,,,-0.10720999999999994,-0.15667,-0.18483475,-0.10171,-0.13194,-0.14018,-0.011038,-0.13194149999999993,,,-0.31603999999999993,-0.48090999999999995,,,-0.019281,,,,,,,,-0.34489000000000003,,-0.027525,,,-0.34901499999999996,-0.1621666666666666,,,,,,-0.43145,,,,,,-0.22811,-0.096219,,
2,80,2,1,-0.30071000000000003,-0.35354,,-0.302,,-0.31488,-0.35354,,-0.47983,-0.24014000000000002,-0.43022,-0.5146233333333333,-0.35741,-0.43665999999999994,,-0.47339,-0.480475,-0.48885,-0.52493,,,,,-0.5597300000000001,-0.6087,,,,-0.27365,-0.23628,,,-0.23628,,-0.31488,,,,,,,-0.036537,,,,-0.24659,,,-0.24916,,,,-0.22468,-0.2253235,-0.34581,-0.61643,-0.3389366666666666,-0.28911,-0.61643,
2,569,2,2,,,-0.16462,-0.27218,,-0.41298,,,,,,,,,,,,,-0.014034,-0.27413,,,,-0.27609,,-0.22915,,-0.082481,,,,,-0.28,,-0.2976,,,,-0.1929735,,,,,-0.36605,,,-0.2858699999999999,,,,-0.16266,,,,,,,,,
0,750,1,1,,0.97697,,0.039486,,0.23113,1.0547,,0.29328,0.5850733333333332,,0.21559,0.042075,0.40205,-0.10554,-0.21949,,,0.15344,-0.17546099999999995,,,,,,,,,,,,,,-0.20913,,,,,,0.61959,,,,,-0.21431,-0.19877,,,,,,,,,,,,,,-0.494
3,157,2,1,-0.41981,,,,-0.28667,,-0.26065,,-0.24994,,-0.23158,-0.202505,-0.31115,,,,,,,,,,,,,,,,,,,,,-0.2086199999999999,,,,,,,,,,,,,-0.046407,,,-0.17342,,,,,,,,,-0.28973,
2,730,2,1,-0.24933,,-0.3408199999999999,,,,,-0.518065,-0.55237,-0.52664,,-0.37369499999999994,,,-0.15785,-0.1006799999999999,-0.057794,,,,-0.25505,,-0.08066299999999997,,,-0.074947,,,,,,-0.189301,-0.0921,,-0.38656,,,,,,,-0.27792,-0.55523,,,,-0.34939,,,,,-0.55809,,-0.4380199999999999,-0.5209199999999999,,-0.52378,,,-0.5180600000000001
2,569,2,1,,0.4905333333333333,-0.20178,0.9657533333333334,0.037790500000000005,0.282245,-0.45796,,,,,-0.57726,,-0.37583,,0.198155,0.17762,0.26171,,0.16002,0.43576,-0.24871,,-0.29565,,,,-0.0981269999999999,-0.25750999999999996,,,,,,,,,-0.3054199999999999,,,,-0.44427,-0.2536,-0.074659,,,,,-0.2272,,,,,,-0.560635,,-0.44036,-0.11964,-0.043369,
2,199,2,2,,,-0.17271,,,,,,-0.118202,-0.03133,0.16115,0.21224500000000002,,0.014660749999999997,,0.0668963333333333,0.035099999999999965,,,0.04021,0.018067,0.15433,,,,,,-0.18122,-0.25617,-0.10372,-0.05773199999999999,,,-0.1471599999999999,-0.24084,-0.1062755,,,,,,-0.33793,-0.46568,,,-0.48214666666666667,,,,,,,,,,0.8825100000000001,,0.4898899999999999,0.88507,
2,852,2,2,,,1.239,,,,-0.35607,0.15092,,,,,0.0027199999999999,0.088518,,,,,,,,0.065118,,,,,,,,,,,,-0.0557789999999999,-0.20008,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,1,1,-0.8349700000000001,-0.48045,0.26116,0.35889,-0.7449,,-0.770785,-0.8426299999999999,-0.8790300000000001,-0.8225025,-0.822497,-0.7679050000000001,-0.727654,-0.6107526666666666,-1.2336,,,,,,,0.1519299999999999,,-0.27349,,,-0.19683666666666666,0.19792,-0.35972,-0.42296,0.4163833333333334,0.47195666666666664,,-0.7287974,,0.23242,-1.1703,0.23625,-0.029154999999999986,-0.5149433333333334,-0.91737,,,,,,,,1.1465,,,,-0.14844999999999997,0.12606099999999998,0.4120725,0.33015,0.1289375,0.11552333333333331,-1.0208,-0.41721
2,566,1,2,,,,,,-0.37692,-0.34017,-0.38680499999999995,-0.2751699999999999,,0.007447,,-0.2893,,-0.009511,-0.080165,0.14028,0.1431,0.013099999999999964,0.024404333333333365,,-0.0236415,,-0.068861,,,,,,,,,,,-0.0858179999999999,-0.04059833333333334,-0.12821,,,,,,,,,,,0.3155,0.10919,-0.35996,-0.41648,,,,-0.5154,,0.097885,-0.12538,,-0.2214699999999999
2,805,2,1,,,-0.95084,-0.90094,-0.75125,,-0.32939,,-0.16609,-0.60156,-0.6423800000000001,-0.23753999999999997,-0.49723,-0.408775,-0.36568,-0.28857,,-0.1434099999999999,-0.20238,-0.58795,-0.74671,,-0.42011,,,-0.1207299999999999,-0.6469199999999999,,,,1.5213,-0.18424,,-0.4609399999999999,-0.59249,,,,,-0.6627949999999999,-0.5006299999999999,,,,,-0.24774,-0.24774,,,-1.0053,-0.53352,-0.63331,-0.41558,-0.70589,-0.60307,-0.4382575,-0.63331,-0.5108400000000001,,-0.61517
1,94,1,1,0.2356199999999999,-0.37542100000000006,0.43026,-0.49368,-0.09630028571428571,-0.31382,,0.087784,0.0865525,,,-0.68587,,-0.68094,-0.269475,0.27996,0.0323485,0.70375,0.9797,,-0.14628,,,,,,-0.336,,,-0.52571,,0.6446235,,,,,-0.11179,-0.25592499999999996,-0.18324,,-0.18324,,,-0.43209,-0.3902,,,-0.14875,,,,,-0.045264,-0.2596199999999999,-0.2596199999999999,0.02126,-0.26701,-0.1955599999999999,,
0,190,1,2,,,-0.073872,,,,,,-0.46285,-0.1497099999999999,-0.064086,0.18545,,,,0.07046733333333333,-0.33075,0.50348,,,0.331005,0.36526000000000003,,-0.5399149999999999,-0.638995,-0.49465499999999996,0.0949309999999999,,-0.58762,0.68574,0.717525,,,-0.45307,-0.46041,-0.59007,-0.45551,,,,,,,,,,,,,,,-0.068979,-0.078765,,0.160982,,-0.09833549999999999,,-0.27448,-0.20598
2,1229,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.33447999999999994,,,0.15028,,-0.3860699999999999,,-0.26688,,,,,,,,,,,,0.17737,0.1665299999999999,,,,,,,,,,,,-0.1151855,-0.25604,
1,1034,2,1,,,,,,,,,-0.098619,,,,-0.45498,-0.42258,-0.5440699999999999,-0.6007600000000001,-0.6223566666666667,-0.50897,-0.59806,,-0.54137,0.13895,-0.5575650000000001,-0.54677,-0.6007600000000001,,,,,,0.65459,-0.34699,-0.41448,,,-0.044625,-0.32404,,-0.36049,,,,,,,,,,,,-0.62236,,,,,-0.34969,-0.33079,,,-0.12562
1,144,1,1,-0.18577,-0.3998,,-0.34187,-0.10048,,,,0.086198,-0.2710599999999999,,,,-0.1600215,,,2.5805615,,0.1226786666666666,,,,1.5828,-0.3064699999999999,,,-0.15841,-0.15519,,0.4144899999999999,0.26644,,-0.44808,-0.1004755,-0.043618333333333294,-0.1037,,,,,,,,0.2954,,0.5207,,-0.21313,0.16988000000000003,,-0.2903699999999999,,,0.047576,,,,-0.35796,,
3,718,2,2,,,,,,,,-0.65882,-0.68503,-0.7064699999999999,,-0.59212,-0.49207,,,,,,,,,,,,,,0.005826,-0.060877,,,,,,,,,,-0.397965,,,,-0.0537299999999999,,,-0.48015,,,-0.5778300000000001,,-0.40154,-0.6040300000000001,,,,,-0.26813,,-0.32293,-0.526605,-0.63262
0,164,1,1,,,-0.21519,,,,,,-0.40767,,-0.49873,,-0.47183,-0.4200899999999999,,,,,,,,,,,-0.22347,,0.11387,0.18217,,,0.002114,,,-0.17587,-0.2172599999999999,,,1.4136,1.5605,,,,,,,,,,,0.61265,,,0.15457333333333326,,,,-0.015477999999999999,,0.3891266666666667,
3,86,2,1,-0.42866,-0.38480499999999995,-0.30963,-0.43336,,,,,-0.28144,,-0.5195,-0.388725,-0.3065,-0.36758,,,0.2918,-0.071565,0.27457,,,,,,,,,,,,,,0.1571,-0.22035349999999998,0.0412019999999999,-0.084095,0.157885,,-0.14518,,-0.12638,-0.050421499999999994,-0.048072,,,,,,,,,,,,,,,,,
1,144,1,2,,,,,,,,,,,,,,,,,,,0.1377,,-0.1053075,,,,,,-0.00714,,,,,,,,,,,,,0.15057,,-0.28394,,,,,,-0.25819,,,,,,,0.37265,,0.268045,,,-0.010358
0,406,1,1,-0.56908,-0.46235,,,,,,-0.5747599999999999,,,-0.53047,-0.54183,-0.46008,,,-0.010454,,,,,,,,,,,-0.13535,,,,-0.22618,,0.0940049999999999,0.24615,,,0.0190669999999999,,-0.36925,,,-0.19893,,,,,,,-0.067225,-0.451,,,,,-0.34654,,,,,
1,98,1,2,,,,,,,,0.4767699999999999,,0.33076,0.0695985,,0.664722,,0.4233,,0.4706,,,0.29375,,,,,-0.16072,,,0.08091024999999995,,,-0.1381,,,-0.047615,0.10661,-0.014714999999999999,,-0.2265199999999999,,,,,,,-0.043502,-0.2985,,-0.42394,-0.440385,,,-0.7138899999999999,-0.538065,-0.32934,,,,-0.7138899999999999,-0.6151800000000001,
2,244,2,1,,,-0.29614999999999997,-0.37922999999999996,,-0.34506,,,-0.34707,-0.37856,-0.28074,-0.16617149999999997,,-0.27822749999999996,-0.28476,,-0.32496,-0.297825,-0.01877599999999997,0.16547,,-0.19632,-0.35913,-0.418925,-0.32898,0.0177385,0.0569325,0.17753,,-0.057635,,0.12929,,-0.11140074999999999,-0.20134674999999996,-0.247575,,-0.50988,,,-0.58324,,,-0.36516,-0.041555,,,-0.4430435,-0.5989833333333333,,-0.32094,-0.50686,-0.4576199999999999,-0.4546025,-0.24456,,-0.47571,,,-0.31089
1,339,2,1,-0.060345666666666666,-0.09955900000000001,0.0356019999999999,,0.008069,-0.059512,-0.09956,,-0.4549899999999999,-0.15879999999999997,-0.0019430000000000003,,-0.462495,-0.30981499999999995,-0.039489,,-0.16213499999999997,-0.11708066666666662,0.846086,,,0.31531825,-0.28828999999999994,0.098178,-0.22471,,,0.17077,0.18328,-0.009452,-0.08153999999999999,0.14990533333333325,,-0.38740499999999994,,-0.2122,,-0.50255,-0.412435,,-0.27727499999999994,-0.39241,-0.31732,-0.25725,-0.47751999999999994,-0.31294249999999996,-0.41660666666666674,,-0.293545,-0.2147,-0.4524899999999999,-0.452485,-0.37238499999999997,-0.22721,-0.3123133333333333,-0.32233,-0.21302999999999997,-0.2065625,-0.30313666666666667,-0.16714249999999994
2,591,2,1,,0.49859000000000003,0.93917,0.032693,-0.04706099999999995,,0.21165,1.0131,1.7484,0.655635,1.0111,0.5651975,0.9365733333333334,0.13578999999999997,,0.067708,,0.067708,,0.2058199999999999,,,,,,,,0.23304999999999995,-0.05095333333333333,,,,,-0.16669499999999998,,,-0.31745,,,,,,-0.18323,,-0.47014500000000004,-0.426385,-0.39137,-0.41666,,,,,-0.19587500000000002,-0.11514,,,,-0.16378,-0.23769,-0.40304
0,620,2,1,,,-0.028797,,,0.404615,0.55828,0.58192,,,,,,,,,,-0.6592100000000001,0.27853,,,0.87349,,,,,,,,-0.36961349999999993,-0.48585,0.43022499999999997,,0.2456973333333333,0.256858,0.195787,-0.060314999999999994,0.050005,,0.093346,,-0.013035000000000005,-0.0169759999999999,-0.16276000000000002,0.20564,,,,,,0.59768,0.81044,,,0.95229,0.6278866666666666,0.8314599999999999,,,0.148508
1,63,2,2,,,,0.340605,,0.30545,,0.3035033333333333,0.45192499999999997,-0.17107,0.495865,,-0.2238,0.7800199999999999,0.33084,0.436305,0.14530899999999997,0.43825,,,0.29764,0.28202,,0.2371,,,,,,,,,,0.033016,,,,0.5984,0.60621,0.18242,0.70386,0.2639525,,-0.042176,,,-0.28434,-0.2863,-0.18084,-0.18084,,,,-0.007022,0.141401,,,0.26183666666666666,0.049614,0.17265
1,53,1,1,0.08820333333333334,0.20082499999999998,0.2517355,0.043466,,,-0.40084,,-0.359185,,-0.41472,,-0.62993,-0.26083500000000004,,0.669425,0.5624,-0.10926,0.25173,0.25713,0.45537,,,,-0.3453,0.44264499999999996,0.03344,0.28355125,0.27355214285714285,-0.12806499999999998,-0.062985,0.13525800000000002,-0.21200999999999998,-0.4100899999999999,0.0087549999999999,,,,,,,-0.5119100000000001,,,,-0.0167,,-0.1972,,,-0.32139,,-0.38927,-0.34992499999999993,-0.2357666666666666,-0.3777,,,-0.33604,
1,877,1,1,,,,,,,,,,,,0.83634,0.4120899999999999,,,2.3389,,,,,,,,1.7379,,,,,,,,,,0.045295,,,,,,,,,,,,,,,,,,,,,,,,,2.7808,
0,406,1,2,-0.60541,,,,,,,,-0.060412,,-0.33745,-0.5441,-0.5634,-0.33745,0.073567,0.49367000000000005,,,,,,,-0.3102,-0.251165,,,,,,,0.0508589999999999,0.0508589999999999,,,,,,-0.26025,,,,,,-0.32837,,,,,,-0.262515,,,,,,,,,,
0,55,2,1,0.32644,0.90548,,,0.307145,,,,-0.29763,-0.29601500000000003,-0.21680075,-0.267065,-0.22525,-0.30083999999999994,-0.23168,-0.236505,-0.3893066666666667,-0.41342999999999996,-0.39493500000000004,-0.24347433333333332,,,0.3747,,,0.29669,0.5650266666666667,-0.022584999999999952,,0.054216249999999994,,,-0.3877,-0.16573,,,,,-0.28476,,-0.3464133333333333,,-0.30486,,-0.41021,-0.4295199999999999,-0.35714,-0.30084,-0.49868,,-0.55819,-0.32577500000000004,-0.20112,-0.032234,,-0.2172,-0.26385,,-0.1142599999999999,-0.22203
2,199,2,1,-0.18293,-0.4196899999999999,,,,-0.256175,,,-0.44865,,,,-0.44865,,0.24120333333333333,,0.1696599999999999,-0.0866885,0.20330425000000002,0.3911,0.51885,0.072573,0.09642,,,,,,,-0.16418899999999995,0.28038,,,,,,,,,-0.027924,,-0.1556725,,,,,,,,,,,,,,,,,0.23609,
2,260,1,1,-0.3286699999999999,-0.24113,,,,,,-0.48955,-0.43513,,-0.37046666666666667,-0.44144333333333335,-0.43987,,,,,,,,,,,,-0.3334,-0.56053,,0.06289249999999995,-0.009269,,,0.73363,0.4047699999999999,-0.2364,,,,,-0.11337,,,,,,,,-0.15596,,-0.08853,,-0.43986500000000006,0.1729099999999999,-0.099174,-0.099174,-0.12993,-0.0684169999999999,,-0.40438,-0.09917249999999997,-0.34286
3,27,2,1,,,,,,,,,,,,0.16266,-0.7246,-0.79757,-0.74503,,0.0823955,0.07947499999999999,0.04299449999999998,-0.10804449999999999,-0.2255199999999999,0.71719,,-0.33204999999999996,,,,,-0.148175,0.4837,0.1743299999999999,0.06926,-0.067914,0.06536699999999997,0.05320925,0.2006,-0.070833,0.11888,,,,,,,,,,0.58877,,,,,,1.3476,0.69968,1.0032,0.3523699999999999,,1.8860999999999999,1.12
1,84,1,1,0.12977533333333333,,0.0677909999999999,-0.082744,-0.087172,,,-0.098241,0.1497,0.15486566666666665,,0.09435633333333333,0.16519699999999998,,,0.056722,,0.80276,0.3290099999999999,0.49652333333333337,,,0.6743600000000001,,,,,0.092142,,,,,,,,,,0.17184,-0.0583929999999999,,,,,,-0.071676,-0.19343,,,0.15855666666666662,0.1342,,,0.058936,,,,0.39764,,,0.13642
2,210,2,1,,-0.17659,-0.07198360000000001,,-0.096122,,,0.058771,-0.1464099999999999,,-0.1665299999999999,,,,-0.11222,-0.30399333333333334,-0.12931500000000007,-0.13082624999999995,-0.21440700000000001,-0.07936133333333334,-0.2691233333333333,-0.26761475,-0.26643999999999995,-0.16720100000000002,-0.10618,,0.06950166666666667,-0.03376499999999997,0.49395333333333324,0.17947,0.4691399999999999,,,-0.21145666666666665,-0.20877333333333326,,0.2820585,0.060782,0.056759,,0.11107,0.010492,0.19489066666666666,0.4309199999999999,0.4339345,-0.06192500000000001,,0.04418550000000002,0.28407,,-0.1182525,,0.258925,-0.393845,,-0.2523583333333333,-0.28269975,-0.29728,-0.46425,
1,189,2,2,,,,,,,,,,,0.089296,,0.15055,,-0.023535000000000004,0.010314,0.034493,-0.0025804999999999995,,-0.13798,-0.32253999999999994,0.29239,,,-0.3443,,,0.4697,,,,,,-0.24543733333333329,,-0.33302,-0.33463,,,,,,,,,,,,,,,,,,-0.1138,-0.17505,,,,
0,646,2,1,,-0.45236,-0.3986099999999999,,,,,-0.3356075,-0.13822074999999998,-0.5968399999999999,0.009053333333333339,-0.09958166666666668,0.29688,-0.24629666666666664,-0.07438,-0.12814,-0.11638,-0.18694,-0.3599675,-0.11638,-0.0995809999999999,,-0.2978099999999999,-0.48596,-0.35157,,-0.022305,-0.05142333333333337,-0.013066000000000001,-0.1399,0.87477,,0.07849,,,,,,-0.16565733333333335,-0.015585,,,0.3204,,,-0.35157,0.12486200000000003,0.9806050000000001,0.20448499999999997,,-0.3952453333333333,-0.11503619999999999,,,-0.37509,,,0.17760599999999996,,
3,718,2,1,0.039971666666666635,0.022502,,,-0.039437,-0.07874400000000001,,-0.53495,,0.077294,,,-0.18475,-0.16093,-0.13234,,-0.15855,,-0.034672,,,,,,,-0.16093,0.28098,0.89917,-0.10733000000000001,0.04156,0.22023,,-0.17761,,0.017737,,,,-0.18714,0.41557,,,-0.0656419999999999,,,,,,,,,-0.11329,,,,,0.017737,,,-0.32293
1,94,1,2,1.0881,,,,,,,,,,,,,,,,,,,,0.2233,0.16663,,,,,,,,,0.2019426666666666,0.09764,0.10626149999999995,,0.122275,0.09764,,,,,,,,,,,0.21467,,,,0.0483629999999999,,,,,,,,,
2,181,2,1,0.356615,,0.296336,0.09396,,0.1973,,,,,-0.21778,-0.10239,-0.21376199999999998,-0.009378666666666665,,,0.4160399999999999,0.26217666666666667,,,0.0250659999999999,,,-0.2246699999999999,0.08018149999999999,0.2024655,0.33681,0.07826666666666668,-0.008949499999999999,0.4883699999999999,0.1952332,0.16544,0.65372,-0.46408,-0.030048,-0.38829,-0.29529,,0.61927,,,0.4728699999999999,0.7682549999999999,,,,,,,,,-0.19367,0.11175733333333326,0.16371249999999998,,0.0009533333333333338,0.106016,-0.019714,0.31614,0.3276233333333333
1,843,2,1,,-0.3877,,-0.372,,,-0.21894,-0.2179545,-0.28173,-0.19539,,-0.40144,,,,,,,-0.20650666666666662,,,,0.14607,,-0.31705500000000003,-0.27781,0.2778696666666667,-0.19146,0.90159,0.063649,-0.005034,,0.5758300000000001,,,,,-0.1424,,-0.10119,-0.33864,-0.20127,-0.26211,0.098973,-0.42695,,,,0.04206333333333334,0.19709,,,,,,-0.056057,-0.0972669999999999,-0.32098,,
0,610,2,1,,,,,,,,-0.46119,,,,,,-0.539985,0.38094,,,0.0115819999999999,0.016507,,,0.2405835,0.75029,0.090378,0.484355,,0.326764,,-0.57939,0.37109,0.27258999999999994,0.115,0.32676,0.5336,,,,,,,,,,,0.0657539999999999,0.09530449999999996,0.22088400000000002,-0.0819905,-0.31345,-0.4414899999999999,0.2405805,,0.39571,,,,0.005016666666666669,,,-0.20510699999999998
0,89,2,2,,0.019299,0.019299,,,,,,,,-0.009145499999999997,-0.23314,,,-0.25447,-0.41625,0.02641,,0.02641,,,-0.060700000000000004,,0.0868545,,,0.008632500000000001,0.6272866666666667,0.037076,0.1153,-0.0215889999999999,0.45069999999999993,,,,,,,,,,,0.4424,0.12596,0.15707500000000002,-0.007959999999999995,0.11885,0.20774,,,0.26285,0.2379599999999999,-0.36469,,,-0.33032666666666666,,-0.52291,,
1,98,1,1,,0.2526149999999999,0.32665,,,,,0.042866,0.14774,0.09838766666666666,,-0.07126599999999994,0.11415666666666664,,,,,,,,,0.18065,,,-0.014713,,-0.014713,,,0.40171,0.64745,0.0593179999999999,,,0.096333,-0.043502,,,0.4993899999999999,,,,-0.11342,-0.0908,,-0.03322,,,,,,,,,,,,0.50144,,
2,1001,1,1,,,,-0.070974,-0.381735,,,,,,-0.000167,-0.12309599999999998,-0.070974,-0.50368,,1.412,,2.12405,,,,-0.074908,,,,,-0.09654400000000005,,,,0.40107,0.6075900000000001,0.0509709999999999,,,,,,,,0.0195009999999999,,,-0.16538,,0.03916666666666666,-0.33453,,,,,,0.14145,,,,,,,
3,91,2,1,-0.11197,-0.19294,,,,-0.051248,,,0.0141479999999999,,0.238365,,,-0.038792,,0.75064,,,,,0.057746,0.1138,,,,0.20489,0.1901,,0.11224,0.51708,,,,,,0.433,0.5362833333333333,0.76738,,,,,,,,,,,,0.18698,,,,1.1679,0.48749,,,,0.55133,
3,62,2,1,,,,,,,,-0.16995,-0.25606,-0.32986,-0.25469,,,,,,0.081524,-0.3093599999999999,,0.044623,,,0.28517,,,0.1307299999999999,0.30157,0.5837950000000001,0.47651,0.71341,0.61455,,-0.089317,-0.094783,-0.18635,-0.199335,,,0.3289,,,-0.12212,-0.12212,,0.25305,-0.12840400000000002,-0.17542000000000002,-0.0975169999999999,-0.34353,-0.071549,-0.230775,-0.15355,-0.13579,-0.15219,-0.10982,-0.49387,-0.072916,-0.239655,,
2,119,1,1,,,-0.6230140000000001,-0.541065,-0.5271,,,,-0.323375,-0.26634,-0.33386,-0.51778,,,,-0.36062999999999995,-0.31755999999999995,-0.19184,-0.2166733333333333,-0.2104633333333333,0.2156,0.2505199999999999,,,-0.49217,,,0.62536,0.054951,0.28486175,0.13372116666666667,0.56017,0.07202499999999999,,0.20628,0.008387,-0.353645,,,,,,,,0.010716,-0.27021999999999996,-0.33502,,,,,-0.3594699999999999,-0.32997666666666664,-0.32571,,-0.1289799999999999,-0.3594699999999999,0.009163666666666702,,-0.0859065
1,843,2,2,,-0.2209,,,,-0.14191274999999998,-0.30921,-0.25818,0.22652666666666668,0.5666733333333334,0.67395,,0.9653700000000001,0.66414,0.95163,-0.065869,,-0.17969,-0.037413,-0.14436,,,,,,,,,,,,0.16275,,0.48949,,,,-0.19539,-0.19931,,,,-0.14436,,,,,,-0.093342,,,0.049913,-0.11297,-0.0724105,,,0.22849,-0.0531115,-0.126705,-0.37396
0,116,1,1,,0.20212,-0.0777215,-0.13369,,0.04426,,,-0.5010600000000001,-0.4207,-0.41496,-0.38051,-0.29441,,,,0.575225,,,,1.0746,-0.26284,,,,,,,,0.20499,1.1263,0.12749,-0.13656,0.40015,0.271,-0.15378,,-0.15952,,-0.54985,-0.443655,,,-0.3891199999999999,,,,,,,,0.03278,0.23225,0.08731,-0.21118,-0.084894,,-0.21548499999999998,-0.1222065,-0.175305
0,407,1,1,-0.12755,0.18227,-0.24853,,,,,0.10948433333333334,,-0.307535,,-0.14525,0.12325,-0.33704,-0.2337699999999999,0.43012,,,0.19407,2.6165,,0.22948,,0.82254,,-0.6409600000000001,,0.7507600000000001,0.773865,0.38881000000000004,0.5142075,-0.030175000000000007,0.7841743333333332,0.925835,-0.42261,-0.17476,,,0.17636699999999994,-0.49638,,,,,0.04358500000000001,,,-0.095093,-0.2101699999999999,,,0.57175,-0.1482,0.19997,,,-0.1688599999999999,0.4950333333333334,,0.71338
