fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g750,chrX-g751,chrX-g752,chrX-g753,chrX-g754,chrX-g755,chrX-g756,chrX-g757,chrX-g758,chrX-g759,chrX-g760,chrX-g761,chrX-g762,chrX-g763,chrX-g764,chrX-g765,chrX-g766,chrX-g767,chrX-g768,chrX-g769,chrX-g770,chrX-g771,chrX-g772,chrX-g773,chrX-g774,chrX-g775,chrX-g776,chrX-g777,chrX-g778,chrX-g779,chrX-g780,chrX-g781,chrX-g782,chrX-g783,chrX-g784,chrX-g785,chrX-g786,chrX-g787,chrX-g788,chrX-g789,chrX-g790,chrX-g791,chrX-g792,chrX-g793,chrX-g794,chrX-g795,chrX-g796,chrX-g797,chrX-g798,chrX-g799,chrX-g800,chrX-g801,chrX-g802,chrX-g803,chrX-g804
0,55,2,2,,,-0.37161,-0.54371,,,,,,,-0.25581,,,,-0.29602,,-0.26385,,-0.3217533333333333,,,,,,-0.32014,,-0.35231,,-0.25339425,-0.34105,0.040145,0.035319,,,-0.15608,-0.35714,-0.392525,,,,,,,-0.24455,-0.31532,-0.4842,,,-0.47777,,,,-0.47777,-0.27189,-0.37965
3,718,2,1,-0.22525,-0.060877,,-0.0132319999999999,-0.31101,-0.0978025,,0.024884,,,,-0.11805,,-0.079935,,,,,,,,-0.21334,-0.21334,-0.21096,,-0.19667,-0.26336499999999996,,-0.21969333333333332,-0.17523,-0.280045,,-0.28957,,-0.24669,,-0.28719,,-0.26813,,,,,,,-0.2324,,,,-0.0894635,-0.07675833333333337,-0.25384,-0.191905,,-0.031099
3,86,2,1,,,,0.5382133333333333,0.45625000000000004,1.0107,0.79142,2.255333333333333,0.8337100000000001,0.29806,0.27144,0.12108,,2.1603,,0.8118050000000001,,,,,,,,,,,,,-0.18224666666666664,,2.7351,,,,,,,,,,,,,,,,,,,,,,,,
1,843,2,1,,,,0.16373,,0.16177,,,,,-0.43676,-0.046245,,,,4.2170645,,,,-0.34649,,,,,,-0.1777235,,,-0.42891,0.30699,,0.453185,,2.3807475,,,-0.025638999999999995,,-0.085492,,,,,-0.085492,,,,,,,-0.18165,-0.12474,,,
2,181,2,1,0.15165849999999995,0.17835,0.21452,0.34714,0.6313300000000001,0.2989133333333333,0.045734,,,,,,,,,,,0.48321,0.42421749999999997,0.5653066666666667,,0.6502749999999999,,-0.19539,-0.8378200000000001,-0.19453499999999999,,,-0.19797499999999998,-0.860215,-0.10411,0.025925000000000004,-0.062773,-0.5433,0.37756966666666664,0.283415,0.324755,0.23920966666666668,0.078459,-0.1351099999999999,0.28427499999999994,0.17089,,-0.011677,,,,,,,0.19902,0.1818,0.27136,,
0,620,2,2,,,,,-0.20413,-0.21989,,,,,,,,,,,,,,,,,,,-0.15094,,,,,,-0.3637,,,,,,,,,,,,,,,,,,,,,,,,
1,663,1,1,,,,,,,,,,,,,,,,,,,,,,,,-0.3984,,-0.13943,,,-0.20371199999999998,0.22975,,,,,,,,,,,,0.538315,,0.72014,,,,,,,,,,,
1,94,1,3,,,-0.17338,-0.34585,0.164165,-0.16845666666666662,-0.2473,,0.2183699999999999,,,,,,,,,,,,,,,,,,-0.14628,-0.07483,-0.1241099999999999,,,0.20913074999999998,-0.14628249999999998,0.47276,,-0.04608633333333333,-0.18324,0.28489000000000003,0.26272,0.0483629999999999,-0.45919,-0.13149999999999995,0.34649,0.18141,-0.03047999999999995,,,,,,,,,,
2,636,2,1,0.45996,1.078355,0.0663275,0.12222999999999994,3.1129166666666666,0.65096,,6.5065,,1.029445,0.97122,0.122228,0.33419,0.068659,0.070989,0.65561,-0.17824,1.4351266666666664,0.06283499999999999,,-0.23763,0.69521,,,-0.18289,-0.087397,,,-0.26790499999999995,-0.38786499999999996,,,-0.012863,-0.20153,-0.27839,-0.2411254,0.05421840000000004,0.0616706,-0.09671249999999999,0.15018,,-0.20385549999999997,,,-0.066434,,4.0166,,,4.0166,0.043038,,,-0.059447,0.3283649999999999
1,612,2,1,-0.82726,,,-0.32899,,,,,,,2.1108,,-0.98189,,,0.6159899999999999,,-0.036906,-0.79289,,,,,,,,,0.15209,,-0.27745,,0.530085,0.59881,-0.93035,,,0.21222500000000008,,-1.2568,,,,,,,,,,,,-0.55235,,0.58163,,
3,853,2,1,,,0.47246,0.32549,0.1234099999999999,,,,,,,,,,,,,-0.32363,,,,,,0.01930499999999996,,0.39898,0.056044999999999984,,-0.2134,-0.25014,-0.04601333333333335,,-0.097046,,,,,,0.87051,,,,,,,,,,-0.07867550000000001,0.93175,0.0009339999999999,,-0.22564733333333334,,-0.5655125000000001
1,718,1,1,,,,,,,,,,,-0.248785,-0.30765,-0.35343,,-0.0558419999999999,0.25483,,,,0.34639,,,-0.26841,,,0.38237,-0.03622,,-0.27495,,,,,,,,,,,-0.4351899999999999,,,2.4818550000000004,-0.2455099999999999,,-0.0820029999999999,8.8914,,,,,,,3.4056835,-0.0820029999999999
1,189,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.04094,,,,,,0.25371,,,,,,,,,,,,,,,,,,,,,,,
2,578,2,1,0.41357,0.33587883333333335,,0.620465,0.247095,0.40643333333333337,0.47778,,0.47302,,0.350545,0.2809825,,,,-0.112,-0.16194499999999995,0.08379500000000006,-0.04184749999999995,,0.054465,,,,0.2661199999999999,-0.052551,,-0.10487,0.071112,0.26969,0.02355,0.19478,,,0.374325,0.22569,0.15751999999999997,,0.08775749999999995,,-0.2737195,,-0.30226,,,-0.02877,,,,-0.4568399999999999,,,,0.1638599999999999,0.15435
1,189,2,2,0.67924,,0.10703,0.8785733333333333,1.1160366666666668,0.959064,0.17311499999999996,0.501135,,-0.890715,-0.331805,-1.4871,,-1.4871,,,,,,,,,,,,0.089296,,,,,,,8.34215,7.786,,,,5.43535,,3.4411799999999997,4.1163,3.8695425,4.4591075,1.0306,0.2117996666666667,2.864935,3.3775299999999997,2.947494,0.941024,5.793749999999999,1.7153479999999999,2.633095,6.2128,0.08607300000000001,-0.07995199999999994
1,94,1,2,,,,,,0.1001,,,,,,,,0.08039199999999999,-0.20295,,,,,,,0.068074,,,,0.070538,,0.12474,0.18634,,,-0.37418499999999993,-0.48876,,-0.1733855,0.040970000000000006,0.109955,,0.75795,,,,,,-0.0354079999999999,,,,,-0.2423699999999999,-0.4000599999999999,,,,
0,620,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3243,-0.02288499999999999,0.6902699999999999,,0.09334500000000004,-0.048497,-0.30066,,0.050005,-0.068198,-0.044554999999999984,,,,,,,,,,,,,,,,,,
1,826,1,1,0.48761,0.3025,,1.5911,,2.7664,,,0.045508,,0.23601,,,,2.274,0.7104600000000001,0.21444,,,,,,,,,,,0.13896,0.13896,,,1.2801475,1.1537600000000001,0.4995866666666667,0.75,0.6733233333333333,-0.012002,0.29927000000000004,0.8877933333333333,0.480445,,,3.2319,,,,-0.35705666666666663,,1.0016,,0.137165,-0.57272,0.092234,,
0,620,2,1,-0.0110665,,0.4400699999999999,0.5884833333333334,0.62329,0.4262849999999999,0.63314,0.31268,,-0.71831,,,,,,,,1.5394,,,0.5405300000000001,-0.58435,,0.34157,0.28837999999999997,,,,,,,,,,,,0.23913,0.55828,-0.028786666666666665,0.39673,,0.085466,,,,,,,0.8104399999999999,0.95623,0.95623,0.7014333333333332,0.35733,,
2,852,2,1,,,,,,1.519805,,,,,,-0.26638,,-0.1142799999999999,,,,0.34201,,1.0245,,,,,,-0.01288,0.022219,-0.10062950000000001,-0.07267966666666663,0.12362,0.0007700000000000554,,0.9153,,0.5545599999999999,1.2429,,,,,,-0.13768,,,-0.02068,-0.12598,,,,,,,,,
2,730,2,1,,,,0.11945,,,0.16805,,,,0.16519,,,,,,,,,,,,,0.7169399999999999,0.016535,,-0.037783,,,,-0.029206,0.57686,0.159474,0.3195699999999999,,,0.353875,,,,,,,,0.3538699999999999,,0.16805,,0.14804,0.14804,0.2052199999999999,0.1594799999999999,0.2481,0.1880599999999999,0.17548459999999994
3,741,2,2,,,0.828865,,,1.1096,,,,,,,,0.75229,,0.59914,0.22404,0.22848,0.6701699999999999,,,,,,,-0.19102,0.4260199999999999,0.38828,,0.35055499999999995,0.49482,,,0.006522,-0.0378684999999999,-0.040088,-0.035649,,,0.11084,,,,0.40826,,,0.21516,,,,0.11972,0.286185,0.4282399999999999,,0.386803
0,884,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25185,,,,,,,,,,,,,,,,-0.30965,,,1.0112,,,,1.0112,,
2,641,2,1,,2.0496,1.79215,2.0496,0.40284,0.67372,,,,,,,,,,,0.98214,,,,,,,,-0.2462,0.55303,0.53694,,,,-0.19793,,,,,,0.35456,-0.1282,,,,,,,,,-0.0209169999999999,-0.29448,-0.36063333333333336,-0.192565,0.0568615,,-0.090648,,
1,94,1,1,,,,,,,,,0.9599933333333333,1.5685633333333333,2.5689,0.3397135,,-0.15367,0.4549,,,,,,,,-0.26865333333333336,-0.3483199999999999,,-0.1610599999999999,-0.31382499999999997,3.43492,-0.61688,,,-0.67601,-0.46412,,-0.592855,0.69062,2.2448949999999996,,-0.44441,,2.085160333333333,0.23315,,1.630156666666667,-0.36803,0.34156,-0.20295166666666664,-0.20049,-0.023089,-0.37542,-0.19309,,,,
1,137,1,2,,0.91874,,0.62784,0.5668266666666667,0.43826,,0.49219,,,-0.05202,,,-0.3658,-0.40502,,-0.025871,0.58208,-0.1386385,0.8599100000000001,,0.91547,0.25086333333333327,0.70628,-0.30043,-0.12883,,0.13211,0.002236600000000011,0.291178,0.7258899999999999,0.47203999999999996,0.28791,1.1737,0.979195,1.2848,0.785388,1.1737,0.036231,,,,1.6705,,,1.1279,0.10487,1.3012,2.1869,,-0.061825,0.51998,,-0.032408,0.871335
0,164,1,1,0.33118,0.65404,1.44254,0.129393,1.0707226666666667,0.732695,,0.045575,-0.034104999999999996,1.3101200000000002,,0.32911,0.33739,1.3163,,0.38292,,0.4222399999999999,0.010392,,,0.47191,,0.2178725,,,0.9851899999999999,,-0.3876633333333333,,,-0.27521,,-0.3135,,1.61848,,0.006253333333333315,,0.70716,0.62093,,1.277,1.2542,0.22494333333333336,1.0059,,1.4922,,2.0241,-0.11999,,,,-0.35593
2,648,2,1,-0.37091,,,,,,,,,,,,0.38106,,,0.3120199999999999,0.54624,,0.30463,,,,,0.34654299999999993,0.4731033333333334,,0.33914500000000003,0.20107999999999998,0.5248633333333333,0.26222200000000007,0.388455,0.27688999999999997,0.18382,,0.10739,0.53885,-0.17368,0.32805,,0.60049,,,0.648565,0.45502,,,,,0.29312333333333335,0.36626,,,0.23066149999999996,0.032603,
2,584,2,1,,,0.78281,,,,,0.15893,0.43649,0.013789,,,0.09782,0.001056,0.039252499999999996,,0.731875,,0.51798,0.2837075,,,0.7216899999999999,,0.27098,0.38047499999999995,,,0.25824,0.31681000000000004,0.18057900000000002,0.34228,,0.24297,-0.021861,-0.1135299999999999,0.20476999999999995,,,,,,,,,,,,,,0.31808499999999995,,,,
0,646,2,2,-0.60692,,-0.11302,-0.90258,-0.43668666666666667,-0.6707566666666667,,-0.38965,-0.49436,-0.8521833333333334,-0.5229199999999999,-0.8647849999999999,-0.6156539999999999,-0.52628,-0.90594,,,-0.40869,,0.4547899999999999,,,,0.5824600000000001,0.59254,,,,0.056651,0.2028,0.019694000000000003,-0.24741,-0.24741,0.6115933333333333,,0.715155,,,,,,0.21624,,0.044892,0.62278,,,,,,,,,,
0,610,2,1,,1.0014533333333333,,,0.76999,,,,,,,,,,,,,,,,,0.35139,,,,,,,,0.48928,,,,,,,,,,,,,,1.0162,1.3166,,,,,,,,,,
0,250,1,1,,2.2476,,0.64223,,,,,,0.6384449999999999,0.70029,0.5665100000000001,0.81387,,,,,,,,,,,,,0.42768,,,,,,-0.15791,,,,,,,0.62456,,,,,,,0.64727,,0.35449,,,,,,0.16265,
0,817,1,1,,0.35369,0.45198,0.18532,0.18703,0.1477099999999999,,,,,,,,,,,,,0.39471,0.49499333333333334,0.4682199999999999,0.5383,,,,,0.25710999999999995,,,,,,0.14344,,0.19814,,,,,-0.03689849999999995,,,,,0.2024099999999999,,,,,,,,,0.11801275000000003,
0,352,1,1,,,,,6.7186,,,5.13325,,,,9.4093,,,,2.7144649999999997,3.6425,,9.492,0.8572433333333334,-0.5283,,,0.59715,,,,0.9470733333333333,1.1937466666666667,-0.01523,,,,0.546315,,,,,4.4866,-0.01523,,5.00795,,,,-0.01523,,,1.401,,,,,,0.32761
2,43,2,1,4.517133333333333,3.432533333333333,3.1388,2.624633333333333,0.91251,1.7126175,1.7681666666666667,1.32273,1.9126,,,1.3579,1.3959599999999999,,2.2124,4.0924,0.4719399999999999,,0.1576,,,,0.62122,0.611515,,0.8518359999999999,0.5532600000000001,,0.33358,0.41611,0.61758,3.2986,,0.39184,0.39021999999999996,,2.0005745,0.17519449999999998,0.10662000000000002,2.1335,0.43916999999999995,,2.4484000000000004,,,0.61758,0.9225025,0.8311689999999999,0.79539,,0.6459,0.621205,1.0035,1.665,0.3505775
1,877,1,1,,,0.67725,,,0.005522,,0.8540200000000001,0.03498366666666667,-0.15357,,,,,,,,,1.7556,,,,,0.90705,1.3799,1.623,1.2871,-0.53363,-0.76343,0.14694,,2.939925,1.0602566666666666,2.449375,3.6734999999999998,4.43805,,1.3092000000000001,,,,,,-0.46292,,-0.19776500000000002,0.38558000000000003,,,-0.40989,,0.45629,,,-0.4806
2,260,1,1,0.46628,2.212932,,-0.05421999999999999,4.2352,1.6421409999999999,,2.1851075,0.27701,0.02622,0.31722666666666666,0.23382999999999998,-0.303825,,,,-0.021098,-0.18671333333333337,1.5925,,1.4647,1.373595,0.2486199999999999,1.3227,0.33379,0.2169148,0.946585,0.32550999999999997,-0.18671,-0.2174699999999999,-0.29318,-0.10390500000000005,0.12086,2.525837,0.035685249999999974,-0.05185666666666663,1.8022466666666668,-0.0506735,0.3065835,0.56565,1.0033,0.75729,1.647465,3.165805,2.578455,1.4402666666666668,,,,,0.087734,-0.03529149999999995,0.06644059999999999,1.3310149999999998,2.2060333333333335
2,591,2,1,,,-0.24547,,,,,,0.357545,,,0.19415,,,,,,0.46843,,,0.62015,,0.6318199999999999,2.4428,,0.7874399999999999,0.6772146666666666,0.53262,-0.38942,-0.61507,,2.1439166666666667,4.26455,,0.3556,4.349163333333333,3.2150695,0.0229669999999999,3.7967,2.3553,,0.1280099999999999,0.028803,5.6097,0.1533,,,,,,0.021022,,-0.010102,0.16497,4.2111
2,555,1,2,-0.16954999999999998,-0.03848,0.24394,,0.69331,0.4873700000000001,-0.2460099999999999,0.24081,-0.013515000000000055,-0.2335199999999999,-0.2179199999999999,0.42493,0.24706,0.11911,,,,,,0.4811,,1.0959,0.90551,,,,,0.26266,0.19088,,0.26266,,,,,-0.10558,,-0.1383415,0.2532965,,,,0.0598179999999999,,,,,,,,,,,0.6621,
0,406,1,1,,1.7388666666666666,,1.1370666666666667,-0.22277999999999998,2.004632875,1.080665,1.4390999999999998,,,,-0.031648333333333334,,0.16213,,,0.16515866666666665,-0.0536,-0.11793999999999998,,,0.083785,4.535767,0.2370699999999999,0.04404999999999999,-0.44531999999999994,0.0429105,0.21095049999999999,,0.022853333333333264,-0.13535,-0.6179,-0.3885449999999999,-0.5486449999999999,-0.60768,-0.6099533333333333,-0.5743766666666666,-0.2504033333333333,-0.584975,,-0.2784123333333333,-0.69397,,2.89962,,1.9016,1.2033,1.1091,,-0.051329,0.969415,,0.02815,-0.2080199999999999,0.63673
1,81,1,1,,,-0.001477,-0.001477,0.45951,-0.15366,,0.07461499999999995,,,,0.75643,,0.29094,0.21634700000000004,,0.75643,0.15766666666666665,,,,-0.01938000000000001,,0.26409,1.7456,0.094008,1.2398,0.961565,1.6749999999995935e-05,0.45705,,0.6002649999999999,,0.6408,-0.34014500000000003,1.6128266666666666,1.3636374999999998,,0.3282435,0.7057100000000001,0.4177620000000001,1.1811466666666666,1.0787042,2.5755966666666668,,0.2581199999999999,2.1707899999999998,4.4893,1.1254533333333334,,0.797014,2.2752166666666667,1.0638,0.74748,0.8847266666666666
0,646,2,1,,0.17929,,,,0.28847999999999996,,,,,,,0.8042100000000001,0.93525,1.2578,0.63958,,,1.0999,,,1.2477,,,,,0.7168599999999999,0.70678,,-0.29445,1.0764,,,,,,,,0.6463,,,,,,,0.48839,,,,,0.8915700000000001,,,,
2,172,2,1,-0.83449,-0.73132,-0.69693,-0.90326,,-0.73132,,,,,-0.8963899999999999,2.344805,-0.72272,,0.06651000000000007,,,-0.16046,-0.2748025,0.20622574999999999,-0.23783,0.7548566666666666,0.27629,0.50669,1.2254333333333334,0.6618625,0.7113133333333334,0.8875599999999999,0.9783414285714286,0.83684,0.34335,1.0449,-0.38227,1.0449,,1.2925,0.8225000000000001,0.78009,,0.77149,,,,,0.78009,,,-0.2894199999999999,,,,-0.08652,-0.19141,-0.081362,
3,823,2,1,,,,,,,,,,,,,,,,,-0.19245,-0.271629,0.07440899999999999,,,,,0.91018,,,,,0.42338,,0.25916,0.21419333333333335,,-0.57368,-0.09567500000000001,0.7518199999999999,0.2728443333333333,0.3706,0.23570000000000002,,0.16532199999999994,,,0.8867200000000001,0.12133150000000001,,,,,,,,,,-0.05364333333333333
2,119,1,1,,,,,2.0316,2.0316,,,0.81394,0.13644,,,,,0.94199,1.0374,,,0.704515,0.5299,,1.4798,,0.61682,0.6550400000000001,0.68589,,,0.5462,,0.65213,0.612575,0.68938,0.7246833333333332,0.695205,1.0995466666666667,0.9601620000000001,0.9198925,0.8895949999999999,1.5418666666666667,3.0048,1.41,1.687,1.5287,0.635835,0.786,,0.8931,0.27846,,0.2156,,,-0.19882,0.49964
2,172,2,3,,,,1.2237,,,,,,,,,,,,,,,,,,,,,0.83167,,,,,,,,,,,,,,,,,,,-0.64535,,,,,,,,,,,
1,468,1,1,0.26391,,,0.26391,,0.5367,,,,,,,0.5584600000000001,5.3682,,,,,,,,,,,,,,1.0706,,0.6421350000000001,,0.1534599999999999,0.75594,0.57185,0.75594,0.3342,0.91994,,,0.8396100000000001,,,0.98689,0.90655,0.79945,,,,,,,0.46473999999999993,3.6846,2.2598933333333333,
0,275,1,3,,,1.004175,0.7461399999999999,,,1.6218,,,,0.57567,0.084126,,,,,,,0.3585,,,2.0351,2.306,,,,,0.02769000000000001,0.28611,5.849999999995442e-05,,0.996,0.60369,0.37835500000000005,0.15535,0.23629833333333336,1.3089,,,0.17402733333333334,0.36784,,0.47525999999999996,,0.5219633333333332,0.38185,,,,,0.41455,,,,
2,244,2,2,,,0.598615,1.154385,0.834785,0.7830325,0.68806,0.71419,0.52927,0.6960999999999999,0.4977833333333333,0.47031666666666666,0.66947,0.5373100000000001,,0.5634399999999999,,,,,,,,0.9594,,0.9322649999999999,1.2971,0.70816,0.637795,1.4619,1.35135,1.10076,0.5976100000000001,0.9704550000000001,1.4628999999999999,,0.39393666666666666,0.261951,,,,0.3725,,,,0.48706,,,,,,,,1.6689,0.910175
2,198,2,1,,,0.5357,,1.2583,,,,,0.73825,0.54747,0.73825,,,,,,,,,1.3655,,1.8307,,,,0.55792,,,0.45208,,0.07052,0.41941,-1.0023,0.57099,,0.50827,1.1668,-0.18167,1.5118,,0.31226,,,,0.33513225,,,,,0.51088,,,0.2730599999999999,0.019562
1,142,2,1,0.10920049999999999,,0.21910849999999993,0.13143,-0.15261,0.2425699999999999,0.35865,0.30061,0.026456666666666632,0.311109,0.64825,0.019048333333333334,0.011638999999999951,0.10487483333333332,-0.026645000000000002,0.11599300000000005,-0.031585749999999996,0.10771800000000002,-0.064927,0.070916,-0.20324,,,9.2193,-0.08633000000000002,0.052390000000000006,0.18370633333333333,0.2792033333333333,0.12896,0.103643,0.22033999999999998,-0.019852500000000023,-0.09425525,0.009416799999999994,-0.12074519999999997,-0.119265,-0.04928533333333333,0.000525,9.1835,,0.031398,0.2685,0.035513333333333334,0.11043,5.0130855,0.098084,3.5492934999999997,8.07231,,,-0.030346666666666633,0.008181400000000002,3.3167166666666663,10.5369,0.30801999999999996
0,89,2,1,,1.98372,2.4993,,,,,,,,2.6344,,1.98725,2.2379,1.9943499999999998,,0.22444920000000002,0.42699366666666666,1.105515,1.7864,,,,1.0842,1.0842,0.78551,1.472585,1.0913,1.072165,0.42462,1.062835,0.8391350000000001,0.749945,1.179472,0.6830033333333333,0.33751,0.2904049999999999,,0.46462250000000005,,0.8269933333333332,0.79795,0.701065,0.8157300000000001,0.5477325,0.45128999999999997,-0.53358,0.42402999999999996,,0.095742,0.003299,0.21751499999999996,,0.18818333333333326,0.29218
0,885,1,1,,,,,,,,,2.0023,,,,,,,,0.35135,,,,,1.625,0.79161,1.0956,,1.3681,,,,,,,,,-0.35096,1.7665,2.6496,,2.9457,0.97505,,,,1.7664499999999999,,1.5096,,,,,,,,,
1,208,2,1,,,1.534245,3.5465,2.15428,3.66025,2.9378,,0.1020799999999999,2.43456,3.2381333333333333,1.0588680000000001,-0.0139375,,0.1292,-0.09379566666666667,-0.05914,-0.23543,-0.1480385,4.8815,,0.4109753333333333,2.168855666666667,,3.5774165,0.8426523333333332,-0.20379,0.044826,-0.33337,-0.12280149999999992,,-0.14125999999999994,0.08048733333333334,-0.03442800000000002,-0.031013666666666665,-0.05662799999999999,1.44761875,1.78413,,0.16184866666666667,,0.26531333333333335,0.20906,-0.2505,-0.0455795,-0.09605399999999994,0.96396,,3.3235,,2.932266666666667,3.756,1.5079,0.8604766666666666,-0.28515
2,875,2,1,,,2.9276,,1.7447,,,1.6431,,,,,,1.8926,1.8926,,,,,,,,,1.2734,,,,1.75855,1.0147,,2.1281999999999996,1.6893,2.3084,1.814,1.6461666666666668,1.3935499999999998,2.1144,1.1533,1.7632,,2.3084,1.2272,,,,2.3916,,,,,,,,,
1,53,1,1,1.3208,,0.5070523333333333,,0.30187,,-0.06606999999999993,,0.28567266666666663,,0.09900500000000001,,0.32116,,-0.0687685,0.041152,,,,1.1434066666666667,,1.536,,2.3421,1.3879,1.1380066666666666,,0.6601699999999999,1.322,,,1.00845,0.82447,1.9156,0.949425,1.8184,2.3136,2.7162,,,,,0.64513,0.39058,1.1056,0.58959,1.3232,,,,,,0.6081,,0.48546
2,566,1,1,,1.516635,3.1544,,2.634076,3.66735,,1.0785866666666666,1.5010666666666668,,,,-0.34865,4.0856,,,8.991900000000001,,,-0.21865,,,,2.4888,1.1775,3.2321,2.0677,,-0.55497,,,,3.2787495000000004,-0.023642,,2.5547866666666668,2.4775275000000003,3.043703333333333,,,-0.058967,-0.27235,-0.20734,-0.35336666666666666,0.0992985,,-0.38351,,0.6621800000000001,-0.41931,2.6358,1.2749799999999998,-0.14234149999999995,-0.020108249999999973,-0.19039
2,516,2,1,,4.0481,0.53535,0.29225,,0.60672,0.07071100000000001,-0.002146,,,0.64241,,0.78738,,1.1308,0.4862899999999999,1.8847,2.6541,0.6000300000000001,0.58219,,1.9092,,,,,,,1.5468,1.53157,2.927721,1.1118999999999999,3.9142,,,,,,0.62457,,,,,,,0.97249,-0.34115,0.40154,-0.17127499999999998,-0.29654,,,-0.26309,-0.301,-0.1274896
0,353,1,1,,,,,,,,,4.6737,,0.33753,,4.6048,,,0.79819,,1.3734,,,,,,1.6611,1.4274,3.261,,1.8341,0.25439,0.18248,,,,,3.60425,,1.3704666666666665,,,,,-0.23773,0.46336950000000005,,0.96223,,3.2902,0.55325,0.9030666666666667,0.57123,,,0.7532399999999999,-0.27369,
2,792,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1.5882,,,,,,,,,,,,,,,,,,,,,,6.8968,,,,,,,,
2,199,2,1,,1.0503,,,,,,,,,0.21565,0.28037766666666664,,1.4029,,1.5715,0.8890566666666667,1.6893838000000003,0.696,1.2302733333333336,,,1.3233933333333334,1.13119,,2.2950980000000003,3.67,0.8390799999999999,1.5119099999999999,0.7652800000000001,2.1915500000000003,0.4580823333333333,1.6490300000000002,0.024505555555555534,0.42261225,-0.3822169999999999,-0.297055,0.337268,0.924245,-0.044958,0.39365500000000003,1.6959,0.5398676666666667,1.1073385,0.31743099999999996,0.2957125,0.5194155555555555,1.3433,0.6304175,0.11617720000000001,1.4272071428571427,1.7432666666666667,1.4366683333333334,,1.0128
