fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g78,chr12-g79,chr12-g80,chr12-g81,chr12-g82,chr12-g83,chr12-g84,chr12-g85,chr12-g86,chr12-g87,chr12-g88,chr12-g89,chr12-g90,chr12-g103,chr12-g104,chr12-g105,chr12-g106,chr12-g107,chr12-g108,chr12-g109,chr12-g110,chr12-g111,chr12-g121,chr12-g122,chr12-g123,chr12-g124,chr12-g125,chr12-g126,chr12-g127,chr12-g128,chr12-g129,chr12-g130,chr12-g131,chr12-g132,chr12-g133
0,99,2,2,,,,,,,,,,,,,,,,0.4195899999999999,,0.2811099999999999,,,,,,,,,,,,,,,,,
0,190,1,2,,,,0.4729,0.8313,,,-0.29772,,,,,,,,0.36404,,,,,,,,,,,,,0.28575,0.28575,,,,,
2,841,2,2,-0.21928,,-0.019570000000000004,,0.0380649999999999,0.027343,-0.1274635,-0.2956749999999999,0.12385,,-0.0879258,0.067552,,0.81813,,,,0.16405,,,,,,,,0.05951,,,,,,,,,
2,43,2,1,-0.55605,-0.377035,-0.37845,-0.394025,-0.4383233333333334,-0.29389,0.38334500000000005,-0.0432685,0.013774999999999996,-0.042359999999999995,,-0.17617,0.25105,0.4598,,0.53384,,,,,,,,,,,,,,,0.3757575,0.16336099999999998,,0.2073565,0.1988599999999999
0,544,1,1,-0.65694,-0.22593,,,,,,-0.10452,,0.3022,-0.3412699999999999,,,,,1.1764,,,-0.16523,,,,,,,,,,,,,,,,
2,244,2,1,0.066983,-0.15009,-0.089125,-0.3149099999999999,,,0.16748,0.0579375,0.7329486666666667,0.30717499999999986,,,,,,,0.51118,,,1.9965,1.681,,,0.048893,,-0.101855,,0.62575,-0.29883,,0.353401,,0.081052,,
2,808,2,1,,-0.13799,,,,-0.256945,0.1475,,,0.35741999999999996,,,,,,,0.525355,,,0.43859,,,,,,,,,,0.28465,,,,,
0,18,2,1,-0.024370000000000003,0.219105,0.1998,,-0.20992,-0.1949,-0.087646,0.05678999999999997,-0.14557,,-0.0426,,,,,-0.09516,0.36926,,1.3431,1.25945,0.55374,,,-0.20992,0.33708,1.24985,0.84547,0.965595,,,1.056745,,1.8751,0.766115,0.931265
1,84,1,1,-0.0008354999999999994,0.3423,0.201354,0.42937,0.1574449999999999,0.17626300000000003,-0.23771,0.21279399999999998,,0.38214,,,0.17405,,,,,0.594665,,,,,,,,,,,,0.13642,-0.071676,,,0.2493199999999999,
2,578,2,1,0.13294,0.002146,-0.057307,-0.16432499999999997,0.090138,0.1472099999999999,,0.1852599999999999,0.12224299999999999,0.11392,,,,,0.2471,,0.9668666666666667,,,,,,,0.39454,1.256597,1.59906,-0.30701,,,-0.19524,,1.6359,4.7347,1.7984333333333336,
1,194,1,1,0.91714,0.8828866666666667,,0.55077,1.3327,,,,,,1.01318,,,0.68481,,,,,,,,,,1.0244,0.76635,,,,,0.85459,,,,,
2,569,2,2,-0.043369,,,0.16588,,,,,,,,,,0.41034,,0.2988699999999999,1.347095,,,,,0.2304199999999999,,,-0.000345,0.14633,0.101351,0.005522,,0.1121055,0.21673,,,,
0,310,1,1,0.4069,,,0.050989,0.014249,,0.14973,-0.12812,,0.48727,,,,0.93159,,-0.41744,0.545847,1.35867,1.6537,,,,,-0.24752,0.993585,,,,0.9794266666666668,,,,,,0.95685
3,157,2,1,0.20610000000000003,,0.19998,,0.21069,-0.0632409999999999,-0.019626,,0.11988633333333328,-0.11603849999999999,,,,,,1.539,0.9116133333333334,0.5172666666666667,,1.562,,0.66214,,0.06339524999999996,-0.11374200000000001,,,0.10357,0.27343,0.38515,0.9202600000000002,0.316588,,,0.96667
2,172,2,1,0.3336033333333333,0.2823055,0.7608935,1.2151,0.024106666666666648,,0.3318833333333333,0.25737,0.2436199999999999,0.17484,0.438775,,2.5253,1.9149,1.59,0.904755,1.2202825000000002,-0.65222,,1.6673499999999999,1.8616,,,1.041445,,,0.9847,,,,,0.46886600000000006,0.451675,0.94947,
0,215,1,2,,0.8352200000000001,0.9182100000000001,,0.63415,0.52895,,,,0.061354,,,,,,1.0129,,,,,,,,0.3910099999999999,,,,,,,,0.13227099999999997,,-0.047359999999999985,
0,215,1,1,,,0.33723,,,0.34425,,,0.61077,,,,,,,0.45647,0.73702,1.899,,3.4724,,,,,-0.23323,,,-0.27531,,,,,,,0.2031933333333333
1,137,1,2,0.87298,0.07382000000000001,,,0.7749199999999999,,0.216,,,,,,,,,0.84029,,1.3012,,,,,,,,,,,,0.74224,1.62965,1.7163,2.942,0.66706,0.80924
1,142,2,2,-0.11556,0.028928,0.0987025,,0.07523749999999996,0.048687,-0.202,-0.021290000000000003,-0.21497,0.16601,0.046834,,,0.8637400000000001,1.002065,1.31945,,1.230495,,1.8916000000000002,,1.3126,,,,-0.2341099999999999,,,0.4129899999999999,,,0.60193,,,
2,591,2,1,,,,,0.14746499999999996,,,0.31281,2.4039,0.8632974999999999,1.0559,,,,,1.2328999999999999,,0.84191,1.32918,,,,,,,0.31475,,,0.31086199999999997,,,,-0.031499,,0.2401836666666666
0,620,2,1,,,1.3699,,2.024,2.7293,2.6071,,,,2.8672,,,1.0823,1.17213,,0.27656000000000003,1.035,2.2446,,3.2809,,,,1.957,,,0.849845,1.3345,1.16505,0.5950533333333333,0.7066866666666667,,0.61738,
2,80,2,1,-0.3355,-0.10419,-0.09066033333333334,0.12454,-0.2536735,,0.29465,0.007277,0.30624,-0.005610749999999998,0.08330666666666665,,0.29465,3.1348000000000003,0.047225,1.3887,0.4630266666666667,0.47806666666666664,2.1954,,,,,,,-0.017207999999999998,0.4153525,0.14516433333333334,,,0.3603699999999999,1.1619233333333332,,,0.65613
3,353,2,2,-0.007857,-0.3709,,-0.027125000000000003,-0.12075799999999999,,,,,-0.12752,-0.2167599999999999,,-0.39118,,,1.7262,0.87844,,,,,,,0.79021,,,2.13285,1.16236,2.08015,3.5475,2.6024,1.2739,1.9513,,1.7343
2,555,1,1,0.07698125000000001,,0.30791,-0.14302,,,0.39373,0.05253666666666667,,,,0.091024,,1.3392499999999998,,,,1.3455,,,,0.93984,,0.7682,4.3663,5.36805,2.1298333333333335,2.8746,-0.18671,,,,1.5796,,
0,610,2,1,1.3462,,,,1.0704,,,,,,,,,,,,,1.4127,,,,,,0.12978,,,,,,,,,0.42526,,-0.46119
1,53,1,1,-0.019014,0.25173,1.1496,0.633555,0.383635,,,,,,,,,,,,,1.4203,,,,,,,,,1.57365,,4.1764,,,,,,0.10363
2,770,2,1,,-0.35546999999999995,,-0.296205,-0.24613,-0.15621,-0.22875999999999996,-0.16132000000000002,-0.14599,,-0.1419,,,,,1.29379,,,1.5646,,,,,,0.31792,,,,-0.34219,,,,,,-0.28803
0,27,2,1,0.53364675,1.9663700000000002,0.7762549999999999,0.13911549999999998,0.132276,,0.342074,0.20828866666666668,,,,,,0.28917,2.3087,,1.4531174999999998,0.8413433333333332,2.4474,2.9801,0.60022,,,,5.6455,5.2879,,2.9619,,4.692566666666667,1.4695,2.2348399999999997,,1.4695,0.75621
3,91,2,1,0.45635,0.38629,0.51334,0.51708,0.21552666666666673,,,-0.096403,,,,,,,,,,,1.4856,1.7472,2.3357,,,-0.30038,,-0.132995,0.13923199999999994,-0.03100550000000005,,-0.10937733333333333,0.4158695,0.42884700000000003,-0.033342,0.06086,0.7086
1,826,1,1,,0.21444,0.8362700000000001,,,,,,,,,0.52356,,,,,1.8571,1.181335,1.50661,,,,,,,3.3091999999999997,,,-0.0623215,,3.151,,3.4997,,
2,636,2,1,0.10127,1.3637,,0.4087199999999999,0.33652,0.020909999999999953,0.06632949999999994,0.084963,-0.27373,-0.045472,,,,,,,,1.5221,,0.60437,,,,,,-0.07342499999999999,,,0.052354,,,0.077975,0.49956,0.35165499999999994,0.23403
2,516,2,1,,,,,,,,,,1.4141,,-0.33892,,3.5083,,,0.6349766666666666,0.56658,,0.6268,4.1551,,0.3926199999999999,0.0201569999999999,-0.09024150000000006,0.0011995000000000512,0.11383,0.24653499999999995,,0.22534,,,0.38592,,
2,566,1,1,0.13462424999999995,,0.21941,0.4634069999999999,-0.10701149999999995,,,,-0.046251,0.356485,,-0.20169,,,,0.56703,1.901,2.2627,1.8826,,,1.0164,,1.2057533333333332,-0.026468,0.576215,-0.16212,-0.2158199999999999,0.6216733333333334,0.1063635,0.50980125,0.40523125,0.30560999999999994,0.42784,0.5778633333333334
0,688,2,1,,,,,,0.97702,,,-0.056846,0.95022,0.74727,,,,,,,1.6892,,,,,,,,,,,,0.49646500000000005,0.3720199999999999,0.61325,,0.6809,
2,199,2,1,,-0.41118,-0.17782,,,-0.2584433333333333,-0.05858333333333329,-0.21699649999999998,,,,,,,,,1.7061,,,,,,,0.4881899999999999,,,,,,,,-0.5133749999999999,,-0.097761,-0.18633
0,613,1,1,0.46225499999999997,-0.26031,,,,,0.12613,,0.002652,,1.7176,,,,,,,1.9188,,,,,,,,,3.2229666666666668,1.3449,,2.9638,0.79382,,,1.0408,1.2008
2,1001,1,2,-0.043438,0.2240565,,,-0.7318399999999999,,,-0.84198,,,,,,,,1.8723,,1.9864,,,,,,,,,,,,0.086374,,,0.59972,0.20045000000000004,0.50335
2,711,2,1,0.34009,0.5050297142857143,0.646625,0.65974,0.932875,,,0.59534,0.34844499999999995,,,,,,2.9355,0.28284,,,2.72555,5.96615,,,,,,,,,3.5628,,1.4016233333333332,3.0822000000000003,1.647305,,1.1631
1,189,2,2,0.10541500000000001,0.05867000000000001,,0.03046299999999995,,0.52289,0.4414899999999999,,0.30851,,,0.003867,,,2.1791,1.069315,2.422988,2.3099333333333334,,1.2030999999999998,,,,,,,,,-0.15249,1.2377500000000001,0.7195453333333334,1.5939699999999999,1.3957325,-0.12186,0.6502266666666666
2,584,2,2,,0.31172,,0.31172,,,,0.54599,0.571455,,0.041799,,,,,2.0255,,,,,3.6526,,,,,,,1.1749450000000001,,1.1342,,,0.45432,0.38047,0.72678
0,250,1,1,,,-0.16043,0.30653,0.008684,,1.0865,-0.016557,-0.029177500000000002,,,,,1.4979,1.9673500000000002,,,2.6354333333333333,,,1.1672,,,3.1612999999999998,1.5319675,0.8921199999999999,0.28129,0.20304,0.62961,-0.00646,,1.1521,,1.036,0.85931
2,260,1,1,-0.17488,,,,,-0.092076,,-0.047123,,,,,,,,1.1879,2.9008,,,,3.2699,,0.26518,,0.12322,-0.19144,,0.13189933333333334,0.18947,0.013207500000000025,-0.1015399999999999,-0.006903,,-0.16305,0.14215
2,648,2,1,0.118892,0.10677175,,,0.5018699999999999,0.002606500000000001,-0.0035566666666666663,0.0876649999999999,0.12218,1.5324,,1.1158,,,,,1.1084,0.76323,4.2913,,5.0778,,,,0.5709,,,-0.20819,0.2232699999999999,-0.14779,,,,,0.2923
1,144,1,1,0.08298,-0.43199,0.26966,-0.029670000000000002,-0.33221500000000004,-0.03181666666666668,-0.2903699999999999,0.2278099999999999,0.13984,,,,,,2.6980500000000003,,1.2095,1.8789,2.6256,1.8467,,,,,-0.065074,-0.20347,0.44668,0.4161025,,0.6220775000000001,1.2095,,0.4112699999999999,0.51105,0.51105
0,190,1,1,,0.8484299999999999,,,,0.26863,0.73834,,,,,,,,,0.457,,3.8673,,,,,,,,0.92182,,0.57443,,,0.76525,,,,
1,81,1,1,0.35957,,-0.07309,,0.096992,1.0369,1.0727,0.32003850000000006,0.59829,,,,,2.6751,,1.7062800000000002,,,,2.4572,,-0.33866,,,2.15885,,1.1772,1.8306,0.31781000000000004,1.6098,0.6191650000000001,1.17193325,0.8708033333333334,1.019,0.5594966666666666
0,164,1,1,,-0.00668249999999998,,0.16354,0.47605,0.12008150000000001,,-0.045487,,-0.026861,-0.17794,,,,2.1483,,1.7013,2.734,,,,,,,,,,2.609835,0.1525033333333333,4.6587,,0.306345,,,
1,98,1,1,2.38205,2.5373,,,-0.1915599999999999,,2.8128,1.7353,,,,,,3.5244,,-0.54115,3.453925,2.5054,,1.7071800000000001,3.6642,,,0.7297,0.8195133333333334,,,-0.016769,0.449005,-0.0887429999999999,0.55765,0.376,0.39245,0.21663500000000002,0.390395
1,1034,2,1,,,-0.33214,,,-0.18771,-0.23000666666666666,-0.4153833333333334,-0.4459766666666667,-0.26689999999999997,-0.31459,,,,,,1.8424,2.6928,,,,,,1.8424,1.8437999999999999,,0.18215,,,0.067411,,-0.0338269999999999,1.5563,,3.0789
1,339,2,2,,,,-0.35111000000000003,,,-0.072027,,-0.22221,,,,,,,,2.3484,,,,2.1081,,,0.72143,,0.13072,,,,,1.02429,,0.5211899999999999,,1.6175
1,233,1,1,,0.27555999999999997,,,,,,,,,0.6351724999999999,1.5896,,3.6525,,0.68261,,2.7159,,,,,,,2.8937,4.8292,,,,,2.2475500000000004,1.5777,1.2502,,
3,718,2,1,0.614495,0.3524449999999999,1.4519,,0.22499499999999995,0.384605,0.56804,,,0.42749,0.12494,,,3.7341,3.9913,1.3685,0.31194500000000003,,,3.8627000000000002,,,,2.0641,0.82653,,,,1.1088,,,,0.12017,-0.04538999999999999,0.416765
0,89,2,2,0.16063,0.8655039999999999,1.0112683333333334,0.14196500000000004,0.6871366666666666,,1.3126000000000002,1.0267757142857143,,0.26907,-0.293585,0.36596,,,,,4.52585,0.32685,,,,,0.2024099999999999,-0.10247499999999996,2.757,2.0921,0.13307,,-0.18099500000000002,0.069075,-0.082033,-0.009737333333333336,-0.046478500000000006,0.007745000000000002,
2,230,2,1,1.1254,1.7533,,,1.2947,0.465095,0.76541,0.58717,,0.06678133333333333,1.2572400000000001,,,,,,2.0093,2.40855,2.986,3.2265,3.36465,4.1782,,,1.0381,0.82776,,,,,0.05490433333333333,-0.18628,-0.119747,,
2,117,1,1,-0.12732666666666667,0.2519,0.11056233333333336,,0.25986466666666663,-0.08851,-0.007886,0.514652,,0.3235699999999999,0.15037499999999998,0.036905,,2.9244,0.59231,3.0838799999999997,2.1212,3.843375,2.5481765,,0.45197,,,2.0574666666666666,3.2379499999999997,,1.8047,1.90915,2.1421,,,1.6733,,0.59231,0.8819633333333333
1,208,2,1,-0.087768,,-0.036539,-0.066173,-0.1259383333333333,-0.024485,-0.045579499999999946,0.08701300000000001,0.0764705,0.3054955,0.5074,-0.23694,,5.3682,2.9016,2.85265,1.172625,1.2321,,,,,,3.8169500000000003,1.540285,0.8569699999999999,0.50288,,0.2166,-0.007909999999999992,0.671635,0.20153,0.6957399999999999,0.3441666666666667,0.362
1,713,1,1,,,0.411865,,,,0.50178,,,,,,,,2.2309,,,3.2338,,,,,,,,,-0.1345299999999999,,,-0.079202,,,,,-0.068827
2,199,2,2,,,0.55632,0.37406,0.15774,,0.24291,0.53333,0.59039,0.078533,0.03425,0.16455,,,,1.2104,,1.8355,5.7992,,,,2.3074,,1.8380999999999998,2.1864,,,2.4232,,0.62105,0.60572,0.5333285,0.4881899999999999,0.6863466666666667
0,99,2,1,-0.12249666666666663,-0.20109733333333332,-0.21981133333333328,0.16134,-0.1805103333333333,,0.054664,0.09209249999999994,-0.12686,-0.052007,-0.168035,,,1.65755,3.1051,,,,4.1157,5.5417,,3.1051,,0.541235,0.36220333333333327,0.35346666666666665,0.049052000000000005,0.13233,0.13701,-0.28406,-0.062298000000000006,0.26426,,,0.073378
0,352,1,1,0.06437333333333332,0.60661,0.47184,0.528585,,,1.122,1.1717,1.3585,1.17801,1.2982,,,5.17225,,,1.2332,2.5462000000000002,,,6.5696,,,,0.91162,,0.57114,0.581795,0.48602,0.7449250000000001,,0.9991,0.57114,,0.98018
2,730,2,1,0.69979,,0.11945,-0.18072,-0.22932,0.10344400000000001,-0.18786999999999998,-0.22217999999999993,,-0.23218,-0.19788,,,,,,,3.267,,,,,,0.618315,0.63976,0.6330733333333334,0.77412,,0.31099,1.0847933333333333,,,,0.76554,
0,37,1,1,0.059306666666666695,-0.2546482,0.32124,0.52331,,0.6945049999999999,,0.29879,0.39702,0.15191833333333335,0.19215,,,,,,,,3.4196,,,0.25669,0.54015,0.921835,0.136018,0.70995,0.46157,0.6018899999999999,0.46157,,,,,,
2,260,1,2,,0.5112300000000001,,,,,,,,,,,,,4.9402,3.7455,3.0451,3.0451,2.553,,,,,,,0.75729,,0.012025,,0.23442000000000002,0.17763866666666664,0.26517799999999997,0.09561933333333333,0.12559,
2,569,2,1,,,-0.1176799999999999,,,,,,,,0.10917,,,,,,3.6606,,,,,,,,,3.0827,,,-0.1245265,,2.0453,1.517255,,,3.821
2,210,2,1,0.265965,,0.018534999999999996,-0.045833,-0.012644999999999997,-0.0196819999999999,0.0627955,0.1332,,2.6739,1.4609,,,3.31255,,3.2270333333333334,4.0049,4.7116,,4.8706,4.6794,,,1.5081200000000001,3.0212,3.10735,,0.31223,1.28987,0.44098,3.6938,3.0983,,2.2407,
1,718,1,1,,0.1305633333333333,0.19596,-0.010059,,,,,,,,,,4.2085,,,,,3.8717,,,,,2.2987,,1.051105,,0.66933,1.0789,,2.4328,0.21559,,,
3,823,2,1,0.15945,0.024558,,,,,,,,,,,,6.85735,3.3852,,,4.1008,,,,,,,,,,,,,,,,,
0,158,2,2,0.1546799999999999,,0.54798,0.29807,,,,-0.49468,,,,,,5.672149999999999,7.28835,,5.962999999999999,3.1474333333333333,5.7674,4.91935,,,,,0.52544,0.1157599999999999,,-0.3164599999999999,0.22432,0.95153,0.4687833333333334,-0.03378,,-0.37997,0.2990905
1,339,2,1,,0.065639,-0.328585,-0.0582585,-0.023215000000000013,,0.13823,-0.014458,-0.40993,,,,,7.5346,,,,,,,,,,,,,,0.76899,,0.12821,0.8071725000000001,0.891645,0.77399,0.44359,0.4811399999999999
