fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g152,chr9-g153,chr9-g154,chr9-g155,chr9-g156,chr9-g157,chr9-g158,chr9-g159,chr9-g160,chr9-g161,chr9-g162,chr9-g163,chr9-g164,chr9-g165,chr9-g166,chr9-g167,chr9-g168,chr9-g169,chr9-g170,chr9-g171,chr9-g172,chr9-g173,chr9-g174,chr9-g175,chr9-g176,chr9-g177,chr9-g178,chr9-g179,chr9-g180,chr9-g181,chr9-g182,chr9-g183,chr9-g184,chr9-g185,chr9-g186,chr9-g187,chr9-g188,chr9-g189,chr9-g190,chr9-g191,chr9-g192,chr9-g193,chr9-g194,chr9-g195,chr9-g196,chr9-g197,chr9-g198,chr9-g199,chr9-g200,chr9-g201,chr9-g202,chr9-g203,chr9-g204,chr9-g205,chr9-g206,chr9-g207,chr9-g208,chr9-g209,chr9-g210,chr9-g211,chr9-g212,chr9-g213,chr9-g214,chr9-g215,chr9-g216,chr9-g217,chr9-g218,chr9-g219,chr9-g220,chr9-g221,chr9-g222,chr9-g223,chr9-g224,chr9-g225
3,455,2,1,,1.2381,0.8702200000000001,,,,1.3549,,0.92302,,,,0.692675,,,,,-0.2478199999999999,,,,,,,,0.19364,0.66389,0.44796,,,,,,,,0.08807,,,,,-1.1307,-0.4253699999999999,,,-0.18544,-0.37738,-0.4013749999999999,,,,,,,,,,,,,,0.5247333333333333,0.83183,,,0.72147,,,,,,,,0.8462299999999999,
2,578,2,1,,0.132943,-0.12865,-0.43068,-0.09377666666666667,0.15197066666666667,-0.32842,-0.258855,,,,,,0.146025,,0.1995299999999999,,,,-0.29987499999999995,,,,,-0.43781,,,,,,,,-0.01569000000000005,,-0.64471,,-0.2558805,-0.168485,-0.23567,-0.27847,-0.21902,0.1484015,0.10916224999999997,-0.17384,0.014037,,0.09370575000000003,0.075869,-0.11675849999999995,-0.1667,,-0.2761,0.056844,,,,,,,,,0.32319499999999995,,,,,-0.24874749999999998,,,-0.5472100000000001,-0.5258,-0.46873,-0.161944,0.18289
1,339,2,3,0.07940725,0.073148,,0.0718965,,-0.021967,-0.072025,-0.28979,,-0.09956,,-0.2347199999999999,,,0.31594,,-0.1133265,,-0.100814,-0.026973,-0.01278666666666666,,0.15825,0.0581299999999999,,0.23334,-0.0044459999999999986,-0.007783333333333369,,,-0.117083,-0.18216,,-0.1270945,,,-0.18967,-0.0006909999999999972,0.098178,,0.018913333333333327,-0.2822826666666667,-0.17298199999999997,-0.277275,-0.269765,-0.27102,-0.15379133333333336,-0.2122,-0.19718,,-0.077033,-0.077033,,0.020584,,0.005566,,,,-0.1383575,0.030598,0.08441,,-0.2747699999999999,-0.16464,,-0.2147,-0.20719166666666666,,,,-0.2147,-0.33234,0.328455
1,826,1,1,-0.12342399999999995,-0.42894499999999997,,0.12458,-0.037162,0.2467935,-0.15937,,,,,,0.067074,-0.3175199999999999,-0.2204699999999999,,-0.27258999999999994,-0.30674,,-0.25282,,,,-0.179141,,,-0.36065,0.6242,,-0.28158,0.30071,0.014956,-0.3283,-0.30674,-0.4613,,-0.05273666666666663,0.08864,-0.20969,0.50558,-0.008407,,-0.17375,,-0.42535,,-0.1749466666666667,-0.3498699999999999,-0.42535,,,-0.29955,0.54872,,0.027536,0.041914,,,,,,0.69968,,,,-0.15937,0.038319,1.0735,,,,,0.7475966666666668,
1,81,1,1,0.55353,,0.28199,1.086155,,0.93248,0.7952199999999999,,0.5028,,0.41627,,,,0.16562125000000003,,0.25712866666666667,0.36554,-0.23272799999999993,0.082072,0.5047913333333333,,,,-0.08353000000000005,,-0.6430100000000001,,,,1.0489,,-0.26406,0.05521999999999999,0.86982,,-0.22527049999999998,-0.25510999999999995,-0.6825525,,-0.38341,0.22828,,-0.35059500000000005,-0.017890000000000045,-0.6251099999999999,,-0.27003,,-0.22377899999999998,,,0.36554,,,-0.21333,,0.016427,,,,0.33072999999999997,,,,,,,,,-0.14271566666666666,,,
2,648,2,1,0.60049,-0.089849,0.68185,,,,,,,,,0.028494,,,-0.170595,0.22655333333333336,0.3120233333333333,-0.04793666666666666,0.35147,-0.13587133333333332,,0.398315,-0.150255,,,0.097527,0.045752,0.038356,-0.04793500000000006,0.075338,,,,,,,,-0.43009,,,,-0.1958599999999999,-0.21066,,,,,,,,,,,,,,,,,,-0.4596699999999999,-0.3980349999999999,-0.37707999999999997,-0.47857333333333335,-0.2279199999999999,-0.58541,,,,,-0.35119,-0.48433,-0.43995,
0,215,1,2,,-0.050868,-0.069572,,,,,-0.36415,-0.49976,,,,,,,-0.18062499999999995,-0.25895,,,-0.3548,,,,,-0.27765,-0.315055,,-0.24180000000000001,0.19228000000000003,0.2226699999999999,0.19383766666666669,,-0.046192,-0.28856333333333334,,,,,0.0145949999999999,,,0.049664,,,,,,,-0.44598000000000004,,,,,0.087071,,,,,,,,,,,,,,,,,,,,-0.60496
2,770,2,2,,,-0.35853,,,,,,,,,,,-0.3708,,0.12377,,0.062463,-0.014174500000000003,-0.1603,0.12377,-0.060156,,,,-0.3483199999999999,,,,,,,,,,,,-0.009065,0.228,-0.11227000000000001,,-0.17800666666666667,,0.083923,,,,,,,,,,,,,-0.40554,,-0.493415,,,,,,,,-0.51181,,,-0.43415,-0.3687533333333333,-0.25533,-0.504655,
3,353,2,2,,-0.37901,-0.31478333333333336,,,-0.213715,,,,-0.15693000000000001,-0.26543,-0.13157533333333335,,-0.09304125000000002,,,,,,-0.0597756,,-0.1234599999999999,,,0.0347339999999999,0.028649,,0.29839,0.23146,0.02865000000000001,,-0.0910135,-0.020029999999999992,,-0.244135,-0.33642,-0.17214,-0.31005,-0.1246782,,-0.14982499999999996,-0.12041874999999999,-0.0038024999999999795,0.20713,-0.004815,-0.305995,,-0.04132199999999995,0.0894929999999999,0.04893066666666666,-0.008533333333333329,0.25377,-0.2127,-0.147797,,,-0.17416500000000001,-0.09506866666666668,-0.12143,,-0.26036,-0.1985,-0.14577,-0.39523,,-0.30599,0.57219,-0.24515,-0.26746,0.1341099999999999,-0.216755,,,
2,1229,1,1,,0.012129999999999998,,,,0.01754499999999999,,,,,,,,,0.65954,-0.063717,0.6297349999999999,0.0581799999999999,-0.4402399999999999,-0.33549999999999996,,,,-0.15853,0.063597,,-0.174776,,,,,,,,-0.54318,,0.090686,,0.036509,0.024590400000000002,-0.09531800000000003,-0.10435,0.163825,-0.028503333333333308,,,,-0.1151799999999999,0.356145,-0.061008,,,,,0.18820499999999998,0.052762,,,0.38324,-0.1206,-0.088096,-0.10435,,-0.17297099999999999,,-0.3048,,,,-0.13685,,,-0.37523,
1,718,1,2,-0.41556,,-0.48751,-0.2373385,,-0.48751,,,0.24175,,-0.50713,0.006293,-0.016599,,,0.12565499999999996,-0.57907,-0.065652,0.068425,,0.33004,-0.24878,-0.26513,,,,-0.01332825,0.15672,0.43959499999999996,,,,,,-0.42538,,,,-0.0770995,,,-0.242245,-0.30111,,-0.18992,,0.088048,-0.046031,0.26791,-0.072193,0.23521,,0.65052,0.37583,,0.071697,,0.67996,0.47393,-0.052571,,,,,,-0.60524,,,,,0.48047049999999997,,,0.2908
1,98,1,3,,,,,,,,,,,,,,,0.11484,,,,,,,,,-0.08463,,-0.086687,0.046979,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1237,,,,,,,,,,,,,,,,,,,,,
2,566,1,1,,,,0.021577,0.20528,,,,,,0.25898,,,,0.40141799999999994,0.23919,0.14593,0.19868666666666668,0.497795,0.4172399999999999,0.0865795,,0.20103999999999994,0.006032999999999997,0.31267,0.069623,,-0.009511,,-0.13669,,,,-0.15082,-0.1197299999999999,-0.15082,0.14310228571428568,-0.013750000000000012,0.07527500000000004,0.42572,0.087992,0.04230333333333336,,,,0.045599499999999946,-0.09900533333333333,-0.36419999999999997,-0.133865,0.12049499999999999,,0.10636,,,-0.45887,-0.07027349999999995,-0.3317,-0.043425,0.05362,0.297145,,-0.34865500000000005,-0.42072,-0.4277899999999999,,,,0.042774,,,,,-0.30343,
0,99,2,2,,,,,,,,0.16321,,,,0.073378,0.050921,0.050921,,,,,,,,,,,,,,,,,,,,,,,,0.047178,-0.09006066666666666,0.047178,,-0.055750999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32228,,,,
2,199,2,2,,,,-0.92558,,,,-0.4690899999999999,,,,-0.38136499999999995,,-0.43332,-0.2187,-0.20848,-0.2221035,-0.19087666666666667,-0.32175,-0.26469,-0.257025,,,-0.22721249999999998,-0.22976499999999994,,0.7045100000000001,,0.7045100000000001,,,,-0.3737,-0.077321,,-0.5201899999999999,,-0.86597,,0.26846,0.4439,,0.305075,,,,-0.5474399999999999,-0.15822999999999998,-0.01600000000000002,,0.45753,-0.027923499999999997,-0.044957,-0.19485,-0.17952,,-0.2016599999999999,,,,,,,,,,,-0.44013,-0.481865,,,-0.3583699999999999,,-0.38903
1,81,1,2,0.36853,,,,,,,0.21038,,,0.14175,,-0.028332,,-0.18946,0.16264,-0.021370000000000004,0.02537825,-0.18051,,,,,,,,,,,,,,,,,0.25514,0.3327199999999999,0.355095,0.4311899999999999,-0.20935666666666664,-0.56842,-0.10442000000000007,-0.56394,,,,,,,,,,,,,,,,,,,,,,0.1074375,,,0.2432,,0.17009999999999995,,0.1686099999999999,0.056711,0.096992
1,53,1,1,-0.20414,0.21702,,,,,1.1612,,,,0.866125,0.7886,,0.7886,0.9853,1.6656,0.758515,,0.22165,0.7438566666666665,1.4111,2.2129000000000003,,1.2236,1.0223,0.14529,0.8911873333333334,1.1172,0.5919,-0.3129,,,,,-0.34299,-0.3129,-0.30480050000000003,-0.3213869999999999,0.068921,,-0.11157639999999999,-0.31290433333333334,-0.181,,-0.23329659999999994,-0.3398999999999999,-0.12854666666666661,,,,,,,0.21008000000000002,,0.10595,,-0.2134,0.38826,-0.12315,-0.051411,,,,-0.076866,,,,-0.12778,0.18463,0.001813,-0.1902599999999999,-0.020169999999999993,-0.1243045
3,28,2,1,,,,,,0.078422,,,,,,,,,,,,,,,,,,,,,-0.63593,,,,,,,,,,,,,,,,,0.64417,,,,,,,,,,-0.38304,,,,-0.96704,,,,,,,,,0.3200166666666666,0.015851,,,,-0.1145099999999999,,0.33131
0,310,1,2,,0.772,0.43675,,,,,,,,0.38164,0.15432,-0.28656,,,-0.53914,,0.0188415,-0.086784,-0.304925,,,-0.15108,,,-0.24522,,,,,0.32883,-0.75958,,,-0.26359,,,-0.05081133333333332,,,,,,,0.3426099999999999,,0.60897,,0.11528,0.27831,0.1635,,,,,,,2.6365,,0.06400066666666666,-0.089081,,0.90518,,,,0.60897,0.48268,0.07165249999999995,0.132503,0.84778,0.44135,-0.10975,0.177281
0,613,1,1,,0.08610999999999999,,,0.33421,,0.0621049999999999,-0.019069500000000045,0.0575309999999999,,,0.8006800000000001,,,,,0.92645,,,,0.63147,,,,,,0.637185,,,0.68178,-0.39065,,0.0117989999999999,-0.0030649999999999497,-0.065947,0.31135,,,-0.13340325,-0.21686,-0.1459785,0.084971,0.17071999999999998,-0.3129,-0.56214,-0.01792500000000001,,0.13985,,0.52172,,,-0.059087,0.1147,0.1147,0.17415,,,,,,-0.0442225,,,-0.2443,,,,,,,,,
2,516,2,1,,0.2811,0.04394833333333337,,-0.066824,0.11903233333333334,0.3324,0.0870659999999999,,,-0.325535,0.037999,0.037999,-0.083551,0.37923,,0.17739299999999994,-0.011067,,-0.037832000000000046,0.006774999999999951,0.030193,-0.14488,0.2197699999999999,0.29225,0.30117,0.08260466666666665,0.15954999999999994,0.08409066666666666,0.033539,0.058072,,,,,,-0.05864566666666663,-0.077976,,0.0792595,0.075914,-0.14488349999999994,,-0.0445214999999999,,-0.075746,-0.026679499999999995,-0.16383999999999993,,-0.012182500000000051,-0.1025099999999999,-0.086897,,-0.32331,,-0.27201,,,,0.60672,0.7204666666666667,0.38815,0.589995,0.54316,,0.916725,,0.95465,0.8431299999999999,,0.95242,,,
2,210,2,2,,,,,,,,,-0.20073,-0.25705,,,,-0.34959,,,,,,,,-0.061926,0.07084,-0.011636,,,,,,,,,,,,,,0.058771,0.004457,,,,,,,,,,,,-0.33551,-0.023705,-0.015659,,,,-0.4099399999999999,,-0.015659,,,,,,,,,,,,,,,
1,144,1,1,,,,,,,,0.089417,-0.24531,,0.16773666666666665,,0.17954,0.21816,,,,,,,,,,,0.06527825000000001,0.158615,0.25034,-0.21635,,,,,,,0.55933,,,-0.08277500000000002,,-0.45452,,,-0.19542749999999995,0.01539,,,,0.27931,,-0.226,,,,,-0.2195599999999999,0.08780499999999995,,,-0.3289949999999999,-0.6371749999999999,-0.3547436666666666,-0.76994,-0.514065,,,-0.30003,-0.29842,,,-0.34831,,,-0.3998,
3,91,2,2,,,,,,,,,,,,,,,,,,-0.33308,-0.093289,-0.2661199999999999,,-0.56975,0.49684,,0.046069999999999944,0.69458,,0.4968399999999999,,,,,,-0.30193,,,0.03335233333333333,0.12366300000000001,0.03958000000000003,-0.07382575,0.00428666666666667,0.126776,-0.037235,0.1792,-0.117424,-0.27235,-0.20695,,-0.06650879999999999,0.09511633333333334,-0.1540099999999999,-0.0551405,-0.50747,,-0.21006999999999998,-0.2718333333333333,,-0.30349,-0.46931999999999996,,-0.20539849999999998,-0.099517,,,,,-0.30116,-0.38913,,-0.18204,-0.16647,,-0.206175,
0,55,2,1,0.13343,-0.37965,0.97786,,0.5768333333333334,,,,,,0.17204,,,0.75268,0.388104,0.08397324999999999,0.3891699999999999,0.13826,,0.324836,0.24548333333333336,-0.041883333333333335,,-0.045907500000000045,0.030494,-0.318535,0.21465999999999996,0.22511,,,,,,,,,,,,0.32282500000000003,0.27015,-0.0290175,-0.06762,0.012801,,,,0.003151,,,,-0.17056,,-0.0008699999999999819,,,,0.53393,,-0.32979,0.069096,-0.36679,,-0.2686699999999999,-0.40861000000000003,-0.27027999999999996,,,,-0.218007,-0.4949233333333334,-0.4825899999999999,,-0.54532
2,555,1,1,,0.78693,,,0.78693,0.69643,0.43117,0.392165,0.4342899999999999,,0.24580899999999994,-0.16955,0.55912,0.21195,0.215845,-0.015078,0.348479,,0.164355,0.32819,,0.56848,0.28138,,,,,,,-0.3053,0.20025,-0.07437,-0.3053,-0.20751833333333333,-0.08061000000000006,0.63402,1.0491,0.7650899999999999,0.62153,0.61841,0.33443,-0.6704100000000001,-0.4457266666666666,,-0.16799,-0.1087,-0.1149365,-0.149265,,,,,-0.24913,-0.093094,,-0.59552,-0.19087333333333326,0.17528,0.11599,0.066059,0.15032,,,,,0.31259,-0.14614,0.482665,-0.055646,,-0.21558000000000002,-0.01975900000000005,0.009887,-0.07046749999999999
3,86,2,2,0.25420499999999996,,,0.457815,0.059997,,,-0.20156,,,-0.315895,-0.13735,-0.074698,-0.21644000000000002,,-0.35975,-0.038675,-0.07939550000000001,,-0.13343499999999994,-0.147525,,,,,,,-0.32059,,0.5784100000000001,,0.43432,,,,-0.2313199999999999,,-0.05512,-0.4411899999999999,0.1759,-0.074698,-0.078615,0.078791,0.13126,0.44685,,,0.5236,0.17224299999999992,,0.4296233333333333,,,,,-0.25638,-0.348,-0.1937299999999999,-0.35975,-0.388725,-0.49288,-0.24854999999999994,-0.34722,-0.49288,,-0.58215,-0.44510999999999995,-0.4317899999999999,-0.35818,,-0.20939,-0.19164,-0.12168,-0.311197
1,53,1,2,,,,0.20314,0.47851,,0.55025,,,,,,,0.4993399999999999,,-0.8821700000000001,-0.55588,,0.25636,-0.12315,,,,,,,-0.08998033333333333,,,,,,,,,,,,,,,,,,0.32578,0.25405,,-0.093065,,0.24711,,,,,0.22627999999999995,,0.2147099999999999,,,,,,,0.1614799999999999,,,,,0.36975,,,0.001813,,
2,711,2,1,0.64782,0.773055,,0.72415,0.6939333333333334,0.6114375000000001,0.346055,0.4212,,0.2136699999999999,0.33413,,0.4235899999999999,0.39813999999999994,0.6263449999999999,0.57387,,,0.65974,,,0.31624,0.19935,,0.0443,0.39019,0.22678549999999997,0.13733333333333334,-0.036805,0.23036466666666666,0.25899,0.3067,,-0.2395699999999999,0.021640000000000048,,,0.21446099999999998,0.12858666666666665,0.71699,0.12063,0.31743,,-0.18709,-0.1751599999999999,-0.041576,-0.22287,-0.15369,,,,,,,,,,,,,,,,,,,,,-0.074972,,,-0.00937299999999995,0.0240235,-0.055889
2,172,2,1,,,,,-0.3633499999999999,-0.56797,,,,,,,,,-0.25331,-0.10028,,0.35022,,0.38977,,,,,,,,,0.25995,,,,,,,,,0.30724,,0.1989095,,0.19719,0.46715,,0.20923,-0.046972,,-0.6934899999999999,,0.016648,0.21439,,,,,,,,,0.051037,0.19891,,,,,,,,,,,,,-0.060728
1,94,1,2,,0.09517400000000001,0.236845,-0.005842,0.0064769999999999,,,,0.3354,,,,,0.25779,0.03194,-0.18816950000000002,-0.12657,,0.12228,-0.2473,0.063146,-0.16968899999999995,,,,,,,,,,0.18634,,,,,0.121047,,,0.22083,,,0.24547,,,,-0.20049,,,,,,,,-0.11179,,,,,,0.060682,,,,,,,,-0.1241099999999999,,,-0.09577350000000001,,
