fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g548,chrX-g549,chrX-g550,chrX-g551,chrX-g552,chrX-g553,chrX-g554,chrX-g555,chrX-g556,chrX-g557,chrX-g558,chrX-g559,chrX-g560,chrX-g561,chrX-g562,chrX-g563,chrX-g564,chrX-g565,chrX-g566,chrX-g567,chrX-g568,chrX-g569,chrX-g570,chrX-g571,chrX-g572,chrX-g573,chrX-g574,chrX-g575,chrX-g576,chrX-g577,chrX-g578,chrX-g579,chrX-g580,chrX-g581,chrX-g582,chrX-g583,chrX-g584,chrX-g585,chrX-g586,chrX-g587,chrX-g588,chrX-g589,chrX-g590,chrX-g591,chrX-g592,chrX-g593,chrX-g594,chrX-g595,chrX-g596,chrX-g597,chrX-g598,chrX-g599,chrX-g600,chrX-g601,chrX-g602,chrX-g603,chrX-g604,chrX-g605,chrX-g606,chrX-g607,chrX-g608,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639
3,455,2,1,,,-0.98328,,,,,,,,,,,,,,,,,,,,,,-0.97237,,,,-1.3434,,,,,,,,-1.3325,0.0644265,,,,,,,,,,,0.40275,,0.053512,,0.053512,-0.90689,,,,,,,,,,,0.5773699999999999,,,,,,,,,,,,,
2,172,2,3,,,-0.99594,,,,,,,,,,,,,,,0.65699,,,0.284573,-0.12866,0.121318,0.22845,,,,,,0.71821,0.25906,,,,,,,,,,,,,,-0.34293,,,,,,,,,,,,,,,,,,,,0.11622,,,,,,,,0.44272,-0.79187,,,,
2,181,2,2,,,,,,,,,,,,,,,,,,,0.49194,-0.14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,884,1,1,,,,,,,,,,2.9723,,,,,,,1.5896,,,,,,,,,,,,,,,,,,,,-0.36303,0.3335866666666667,,,,,,,,0.2597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,620,2,1,,,,,-0.75329,,,,,,,,,1.4063,,2.3308,,1.3357,,,,,0.3406099999999999,-0.14635,0.43235,,,,,,1.0887,,,,,,,,,,,-0.97912,,,-0.84503,,,,,,,,,,,,,,1.6603,,0.7075899999999999,,,,,,,,,,,,,,,,,
1,94,1,2,,1.1706866666666667,0.6338699999999999,0.4652966666666667,,0.820385,0.91722,1.8139,,2.9043,,,2.065,2.4165,,1.4983,-0.12293,0.9578466666666666,1.3907,1.8426,,0.5083300000000001,1.8067,,1.4696,,0.587255,0.69485,,0.22498499999999996,1.4265,1.2328350000000001,,,,,,0.37204,0.81679,-0.16597,-0.4600899999999999,,-0.66095,-0.20543000000000003,,,1.2759,,,,0.34334,,,,-0.76137,,0.52268,,0.45095,-0.6681199999999999,,,-0.78289,-0.30227,,,,,,,1.6346,,1.032,,1.0917666666666668,1.0176349999999998,,
2,244,2,3,,-0.75243,,,,,,,,,,,,,,,-0.043681,,,,,,,,,,,,,,,,,,,,,,0.43956,,,,-0.51618,,,,,2.5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3551,
0,55,2,2,,,-0.12274,,,,,,,-0.25119,,0.10497,,,0.62462,,,,,,,0.73556,,,,,,,,0.32685,,,,,,,0.36772,0.23926,,,,,,,,,,,,,,,,,,,,,,,,,1.0275,,,,,,,,,,,,,,,
1,142,2,2,,,,,,,0.55944,0.8821700000000001,,,1.4291,,,0.56963,0.015900000000000053,-0.19133,1.0248466666666667,,,,,,,,-0.096208,,,,,,0.35901,0.335231,,,,,,,,,,,0.75081,0.38619,-0.493675,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,2,1,,1.3649533333333335,,,,,,,,,,,,,-0.9851,-0.76343,,,,,,,0.48883,,,,0.30459,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98686,0.98686,,1.672,,1.94405,2.147,,1.6231,,2.4162,2.4637,,,,,,,,,1.7987,2.5817,1.3927633333333331,-0.12434,
1,81,1,2,,,,,,,,,,,,,,,,-1.1074,,,,,,,-0.41506,-0.313935,-0.27504,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1894799999999999,,,,-0.41506,-0.32171,,,,-0.55508,,,,-0.71843,,,,,,-0.7300949999999999,,,-1.1696,,,,,
2,1001,1,2,,,0.20322,0.53922,,,,,,,,,,,,,,,,-0.20583,-0.22044,,0.15939,,,,,,,,0.6707,0.34199799999999997,-0.001307,,,-0.17661,0.10095,,-0.74635,-0.0597419999999999,,,,,,,,,-0.23505,,,0.27626,,,-0.11818,,,,,,,,,,,,,,,,,,,,,,-0.34460999999999997,
2,578,2,1,2.0753,,2.6626,,0.8355199999999999,1.14,0.5261966666666668,0.9273433333333333,,1.6185650000000003,,2.4306,,2.9236,,,2.5031,,,1.053015,1.3913766666666667,2.51035,3.09035,1.4735,2.5465666666666666,5.6931,0.96603,3.4552333333333336,3.0903,2.6916,5.0116,3.65585,5.8961,4.54035,3.3586,5.6496,1.8795,4.2576,,-0.1069799999999999,,,,,1.2415,,,1.7055,1.16902,1.212515,0.68328,1.14002,0.58901,1.3865,1.045765,0.50203,,,,0.22653,,,0.42953,1.4735,,,,0.6905199999999999,,0.27003,,,,0.07185666666666668,1.0965,-0.14322849999999998,0.45852649999999995,
0,648,2,1,1.1252,,,2.7179,,2.7179,0.8807200000000001,1.04837,,0.25901,1.8168,,,,,,2.0613,,,1.5723,,1.5443,,,,,,,,,1.222985,0.37776,,,,,,,0.007531,,,,,,-0.17409,,,,,,-0.22299,,,0.67814,,,,,,,,,-0.1880599999999999,,,,,,,,-0.020411,,-0.0832799999999999,-0.10190666666666666,,-0.3138,-0.25093,
2,841,2,1,,,0.63373,0.50774,0.48440333333333335,0.13674499999999998,-0.85024,-0.29025,0.17174,0.31174,-0.6402399999999999,,,,,,,0.11223850000000002,0.32924,,-0.10825,0.52173,0.5637300000000001,0.4937399999999999,,2.6637,1.3337,0.53573,0.8110493333333334,,-0.8677275,2.9157,-0.38825,0.26974,0.94173,,-0.29025,,,0.017746,,,,,,,0.8997299999999999,,2.8877,,,,0.07840999999999994,,0.906725,1.03505,,,0.15774,,0.71773,1.2497,,1.0863866666666666,,,,,,-0.37425,,,,-0.6542399999999999,,0.066745,,
2,172,2,2,-0.86329,,-0.5776,,,,,-0.53679,,,,,,,,,,,,,,,-0.36333,,,,,-0.43476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,555,1,2,,,,,,,0.67099,,,,,,,,,,0.24098,1.2959,,,,,,,,,-0.085832,,,,0.18364,,,,,,,,,,,,0.0575049999999999,,,,,0.8258,0.48178,0.22951,,,0.21804,,,,-0.068633,,,,0.33271,,,-0.051430000000000003,-0.05334133333333337,0.91754,-0.12597,,,,,,,0.10337,,,,
3,28,2,1,-0.1162599999999999,,-2.5661,,,,,-0.39408,,,,0.15524,0.79297,,0.7361300000000001,,0.0100159999999999,0.047896666666666705,0.19733333333333333,,,0.066842,,-2.5661,0.12367,,,,,,-0.0783799999999999,,,0.29098699999999994,0.47409500000000004,0.2752,,0.16787,0.502505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,613,1,2,,1.2307,0.906015,0.61303,,1.2148,,0.32796,2.2838,,1.0169,,,,1.32175,1.8034566666666667,0.33853333333333335,0.719915,1.659852,,3.4875,2.4739,1.5316,0.2250199999999999,0.232943,-0.07984149999999995,0.648665,1.111895,,,1.6504,,0.2567,0.3438,0.6605433333333334,0.38339,,,-0.22633,0.6664724999999999,1.2307,1.4286,0.1854299999999999,,1.1515,,,3.0717499999999998,0.10625,1.11585,1.5533700000000001,-0.25009,0.73973,1.0486,0.122085,0.75557,,0.24878,1.1198,0.13,,,0.54177,0.69222,0.508115,,0.45466,,,4.0734,3.0995,,,,,,,1.1832
0,116,1,1,,,,,,,,,,,,,,,,,,,,-0.038317,,,,,0.75998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47222,,,0.38868,,,,,,,,,,,,,,,
1,94,1,3,0.3074766666666667,0.35769,,,,0.1891125,,0.5083300000000001,,,,,,,,,,,,1.2544,,,,0.006190000000000001,,,,,,,,,,,-0.25923,,,,,,,,,1.6776,,,,,0.21422,0.5729,,0.3003,,,0.5729,,,,,,,,,,,,,,,,,,,,,,,
3,823,2,1,,,0.38156049999999997,1.3382,,1.4281,,0.78605,,0.927315,,1.4024,,,,,0.6319600000000001,0.34517966666666666,0.61912,0.6448,0.8502350000000001,0.36229999999999996,0.45219,0.59343,,,,,,,,,0.27241499999999996,,0.15685,,,0.23389,,1.7234,0.56775,,2.215666666666667,1.839,2.4939,2.6864999999999997,3.02675,,,,,-0.31826,0.55491,,,,,0.28525,,0.34946,0.37514,0.28525,,,,,,,,,,,,,,,,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78895,,,-0.78895,-0.78895,-0.74664,,,,,,,,,,,,,-0.98991,,,,,,,,,,,,
0,750,1,2,,,0.6079000000000001,,0.5942333333333334,0.8334,0.7022,1.8133,,0.5423,,2.375,,3.0843,,,,0.7145,,1.132695,,,1.6165,,0.5013,,,,,,0.169195,,,,,,,,,,,,,,,0.050295,,,,,,,,,,,,,-0.1137099999999999,,,,,,,,,,,,-0.63031,,-0.82301,,,,,
0,275,1,3,-0.017564999999999997,,,,,,,,,,-0.50489,-0.40456,,,,,-0.41530999999999996,0.77793,,,,,,0.5271,,1.0646,,-0.17523,-0.48339,0.64893,0.666835,,,,,,,,-0.29706,,0.3336,1.1363,0.45543,0.30493,,,,,,3.1572,1.5125,,3.1572,,,,,,1.0144,,,,,,0.503805,2.0966,,,,-0.07728333333333333,,0.21893,,0.27387999999999996,-0.19852000000000006,,,
2,1001,1,1,,,0.6560900000000001,-0.015915,1.3281,2.2046,1.4230375,,,0.6268699999999999,0.3493,-0.16930500000000004,1.7664,1.9563,0.3493,,,0.48808499999999994,0.94826,,,0.305475,0.612265,0.36391,,,-0.26426,1.1674,,1.8102,-0.074351,,,,,,0.8898299999999999,,,0.8825050000000001,,3.6801,1.49609,,,,,1.91975,0.40286666666666676,2.4238,,,,-0.198525,1.5253,,,,,,,,,,,,0.55383,,,0.33469499999999996,-0.015914999999999957,,0.15573674999999998,0.40774,,-0.24965666666666667,,0.20322
2,648,2,1,0.082786,-0.13907,-0.11949349999999995,0.050160500000000004,0.004485,0.22634,0.0207985,0.007747500000000002,,,,,1.5836,,,0.72225,,,1.6227,0.9963,,0.5308449999999999,1.2214225,0.709195,1.7141,1.453075,1.2399133333333332,1.5182950000000002,2.0925,1.3878166666666667,1.862,,,2.1839,0.9180175,0.767925,1.276867,,0.38294,,,,1.9359,,1.6923333333333332,,,3.1887,,,2.705858,2.6145,1.518325,2.1447,2.8429,1.8446,1.4139,,1.674925,1.7227666666666668,1.7663,0.83317,1.9751,2.1447,1.7532,1.9402666666666664,2.13165,,1.949,1.7662499999999999,1.7575666666666667,,2.67325,4.3893,,3.5802,,2.15125
0,89,2,2,-0.0432899999999999,,,,,,,,,,,,,,,,,,0.5067,,2.749,,,,,0.26344,,,,,,,0.85044,0.094208,,,-0.1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,189,2,1,-1.0351,,,,,,,,,,,,,,,,,,,-1.2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.91364,,,,,,,,,,,,,,,,,,
2,181,2,1,,,,1.2489,1.2776,,1.8525,,,,0.49194,-0.26502,0.022436,,-0.38,-0.47581,-0.49498,,,-0.427905,-0.38478499999999993,-0.4598433333333333,-0.18836,-0.5077533333333334,,,2.0729,0.3482099999999999,0.7602300000000001,0.836865,0.52068,0.52068,-0.092545,0.2715599999999999,0.74106,0.5302600000000001,1.316,,,,-1.937025,0.76981,-0.044636,-0.8591,,0.587755,,,-0.30334,,-0.13087049999999995,,,,,,0.45361,,,1.1435,1.06684,1.6225749999999999,0.81772,0.9327099999999999,1.0381,,,,,,,,,,,,,
3,718,2,1,,-0.7961166666666667,-0.8401924999999999,,-0.39339749999999996,-0.9152699999999999,,,-0.5578166666666666,-1.0225,,,-1.1654499999999999,,-1.2012,,,-1.0869,1.0436,,,,-0.56497,-0.62931,,,0.085588,,,,,,,0.17138,-0.11458,,,0.10703499999999999,,,,,,,,,,0.02839500000000006,1.115,-0.34335,,0.92917,,0.58602,,,,,,,,0.4287399999999999,,,,,0.22142000000000003,,0.21427,-0.80089,-0.45774,,-0.97247,,-1.1583,,,-0.464885
1,1034,2,1,0.5990599999999999,,,,0.346645,1.23009,,1.7786,1.1961,,,,1.7495,,,1.9242,1.72035,2.332,2.0698499999999997,1.6718,1.7398,1.6912,1.2932,1.7349,1.7155,1.8174,0.66216,0.5553699999999999,,,,,0.90487,,,,,1.4485,0.468,,1.2591999999999999,0.65569,0.69776,,0.65245,0.97283,0.8077799999999999,,1.035905,0.8611800000000001,,0.7107,1.2447,0.8174899999999999,,,,,2.3999,1.9631,,0.8174899999999999,,,,,0.8174899999999999,,,,,-0.17275,0.10879,,,,0.2641233333333333,
1,877,1,1,0.41701,-0.1191,,-0.15003,-0.38715,,0.3998173333333333,0.2262805,,,,,0.9325,,,,,,,,,,,,,,,0.2108199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56135,,,,,,0.643825,1.9222,,1.314,,2.5305,1.4995,,3.0873
2,566,1,1,-0.023587,0.43194999999999995,0.19689,-0.58519,0.8406525,-1.22165,,0.013849999999999973,,0.50681,-0.58519,0.9810549999999999,-0.903445,-0.8566374999999999,-0.223265,-1.32775,0.222895,-0.58519,-0.39383999999999997,0.35081,-0.1078375,-0.49533400000000005,0.18857,-1.121845,,0.6961,0.86248,,0.968595,-0.32311,,1.365851,-0.56023,0.5130565,0.026333,0.57545,,-0.27319,,,,0.063773,,-0.11095,0.0575315,-0.061029999999999945,,-0.023587,1.9357450000000003,3.5956,0.45065,-0.87223,0.8375150000000001,0.91241,1.193215,0.43192499999999995,1.6113,-0.3855099999999999,2.9716,,,,2.7594,,,,,,1.3492,2.2478,1.1371,,1.56135,,1.324275,1.2369046000000001,1.3617,0.8375299999999999
0,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.1130299999999999,-0.6371399999999999,-0.25972,,-0.0966429999999999,-0.0966429999999999,,-0.18517666666666666,,-0.18517399999999998,,-0.4461,-0.5765666666666667,-0.5781166666666667,,0.47180849999999996,,0.843634,0.5295768,,,,-0.33893,,,2.3216,1.222,2.8994,1.641305,,-0.03140866666666663,,-0.6340333333333333,-0.3435925,0.8958200000000001,0.523065,0.13632800000000003,-0.7233400000000001,-0.2853485,-0.29234,-0.29234,-0.47406,,,0.20622,,,-0.299326,,-0.464738,-0.13857599999999998,0.20622,-0.2737
0,610,2,1,,-0.8674700000000001,,,,,,,,,,,,,0.77332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.60439,-0.47977,,,,,-0.34131,,,,,,,,,,,-1.0475,,,,,,,,,,,-0.7186250000000001,
3,157,2,1,1.2113450000000001,2.1187,1.057045,0.774852,,1.4639000000000002,1.234755,1.141205,,2.0252,,,0.8372,,0.36949,,,,,,,,-0.091986,0.1683725,0.16993,0.051444,,,0.051444,,,,0.39755,,,0.4910899999999999,,,0.004673,,,,,,,,,,0.47238,,,0.33207,0.41626,,0.883965,,,0.098215,,,,,0.2011099999999999,,,0.55657,-0.042098,,,-0.29466,0.70624,,-0.32973749999999996,0.44432,-0.36248,-0.3274,,
2,852,2,1,1.58165,,0.3798849999999999,0.595825,,1.469,0.21714999999999998,0.33294,,,-0.52142,0.548875,,,0.2672199999999999,-0.33365,-0.20221,0.4737699999999999,0.858705,,0.68032,,0.3141649999999999,-0.38998,1.2717999999999998,-0.50264,,-0.49325499999999994,,,,,1.1685,0.7742100000000001,,,1.4940033333333333,,,1.7882,,-0.051989,,,,,0.041897,,,,,,,0.03563766666666667,,,,,0.8680899999999999,,,,,,,,,,,4.1917,6.4637,,,,5.3183,0.5301,,
2,119,1,1,0.52181,0.7955966666666666,,0.39609,1.3348,,2.14355,0.71458,,,,-0.33308333333333334,,-0.0984049999999999,0.1698,,0.5511195000000001,-0.28279,-0.07605666666666666,0.11951,0.12369500000000003,-0.3247,,,2.6171,0.67267,1.3054700000000001,,2.6087,2.4858333333333333,1.36415,2.5166,1.02471,2.2986333333333335,,,,1.0610066666666667,1.5946,,,,,,1.18391,,1.4605,1.4144,,2.7261,0.94087,1.3348,1.9885,1.7539,,,,,,3.2541,,,,1.3767,2.7065333333333332,2.1478,2.9272,2.1981,3.5558,,,,3.4273333333333333,3.6899,3.5349000000000004,3.2248,,0.47152
0,18,2,2,,,,-0.533825,-0.24095750000000002,-0.535435,-0.289233,,,0.39305,,,,,-0.10257500000000001,0.12915,0.07336366666666667,2.3047,,0.10984,,,,,,0.4187999999999999,,0.0647809999999999,-0.1315345,-0.057515,,1.19763,1.361745,,0.48959499999999995,,,,,0.35443,0.183861,0.46385,-0.3729099999999999,2.53965,0.35443,2.28755,2.8036000000000003,3.2992,0.61511,0.36301266666666665,,0.15811199999999995,0.2981085,1.87345,2.7005999999999997,1.7319,,,2.1008999999999998,4.2389,1.3585333333333331,4.6155,1.1118133333333333,-0.63038,0.20960499999999999,,-0.1765945,,1.8349,,0.38983,,,0.8371799999999999,,1.14615,,1.9443000000000001
0,885,1,1,,,3.1303,3.19935,3.161,,,1.6699000000000002,,1.294205,1.9727,1.608535,0.887865,2.6013,,,2.494,1.3363550000000002,0.17104,0.53904,1.3517000000000001,0.2937099999999999,1.045,0.8112,,,,,,1.137,0.7537,0.88403,,,,,,0.99136,,,0.99136,,,,,,1.2942,,1.804,1.4284,2.3253,,,,,,,,,,,,,,0.6847,0.6847,,,1.0834,1.0834,0.516025,,-0.21228,,,0.8380299999999999,0.017712500000000003,
0,886,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.103,,0.89454,,0.30716,0.9419,,,0.49663,,,,0.8376899999999999,,,,,0.6924266666666666,,,,,,,0.25978700000000005,,,1.6714,1.084,,,,,,0.544,1.22137,,0.070309,,,,,,,,,0.63874,1.4345,0.051361,1.3209,,,
0,406,1,1,1.148,1.1932,0.6858333333333334,0.77876,0.7536533333333333,0.77122,0.0629705,0.8164525,,,0.4566549999999999,0.7862899999999999,0.2438,,3.5741,1.00857,1.2785666666666666,,,,0.29654,1.3213,1.96922,,2.5042,2.4138,2.5042,2.7302,-0.03498000000000004,-0.78091,0.72602,-0.3012033333333333,-0.82989,0.22873,-0.10782666666666667,0.3342199999999999,1.9654725000000002,0.3091003333333333,0.0064605,,1.0776266666666665,,,-0.14046,-0.28362249999999994,-0.19321,-0.04753666666666665,-0.46696333333333334,0.23752333333333334,-0.3288286666666666,0.010228,,-0.36399333333333334,0.10064250000000005,1.016115,,,,,,,,,1.3891,0.8013699999999999,1.33255,0.7712233333333334,0.059203500000000006,,,,,1.5473,1.6113,,,-0.59254,0.085574
3,741,2,2,,0.49949,,0.94541,1.2077,0.7224499999999999,0.69622,,,,2.5455,,,,1.7848,,,0.22407,0.3945599999999999,,,,0.19783,-0.31366499999999997,,,,1.7323,2.2307,,2.32905,,,,1.0634,,,1.8372666666666666,,-0.48416,,1.0766,1.8504,,,,0.5126,0.4535825,1.0372,,0.86672,1.1553,1.0044499999999998,-0.0513559999999999,0.558505,0.82737,,,1.4044,0.47326,,,1.4044,1.5225,,1.8897,,,,,,,1.9553,1.73235,1.4963,,2.0209,
2,730,2,1,1.0069,0.19029,1.3063,0.29236500000000004,,,1.2246,,,2.1501,,,,,,,,0.2039,,-0.39492,,3.5927,2.5311,2.2181,,,,,,,,,,,,,,,,2.4631,1.85065,,2.6332,,0.24473,,2.0548,1.769,,,1.8098,,,,6.0015,,3.7696,0.28556,,,,,,,0.95242,,,0.96603,,,,0.87077,1.9731,1.156585,1.79622,0.7119926666666667,1.7009,2.170485
1,142,2,1,0.29786,,,,0.4903666666666666,-0.2117099999999999,-0.40874,0.42921666666666664,,,1.3339500000000002,0.90256,1.1675,0.6443650000000001,0.50848,0.06006,0.4677199999999999,-0.3476,0.71231,0.73949,,0.634175,0.64775,0.695345,1.160745,0.66475,0.82781,2.06095,2.013425,0.4881,1.201475,1.0825875,2.5671,2.0983,1.512325,0.1008299999999999,2.0236,0.90935,0.22312500000000002,1.7043,,0.080443,-0.42233,2.224,2.0712,,,1.5276,,1.61935,,,0.7258999999999999,,,0.90257,,0.5390550000000001,0.44507,0.73269,0.54245,0.7259,0.5288675,0.82102,0.97049,0.67155,0.768032,0.6171899999999999,,0.10762,,0.1551796666666667,0.128004,0.057793333333333335,,-0.075825,0.11441,
0,158,2,1,1.5957,1.6539,-0.8827,0.45355,-0.89564,1.4598,-0.720925,0.33062499999999995,,-0.6821,,,,1.2851,1.0780366666666668,,0.76094,0.19796,1.120075,,1.311,0.82888,-0.21619,0.57975,0.2626699999999999,1.6668855,1.7963,1.90955,1.77045,3.482,4.2682,1.2463,2.2816,,,,,,,0.5473899999999999,0.98095,0.900065,0.7156366666666667,,1.311,-0.37148999999999993,1.0974,1.2916,1.1443349999999999,0.87579,1.3239,,-0.002650000000000041,-0.42813,1.5439,,0.2626699999999999,,2.5275,2.0875,3.2458,2.6958,,,2.5405,,2.204,,,2.411,-0.45561,,1.861,2.2331000000000003,1.8760933333333334,2.4628,0.76092,-0.89564
0,407,1,1,,-0.71234,0.12714,-0.908215,-0.17667,0.37232,,0.43095,1.6182500000000002,,-0.98417,-0.72833,-0.560435,-0.59242,-0.42452,-0.7843,-0.38454,0.578865,0.28704,0.22308,-0.2726099999999999,,0.1831,,,0.43494999999999995,,0.1911,0.7427600000000001,,,,0.015209999999999946,0.77474,0.77474,,0.52689,0.29768333333333336,,0.5652788,-1.4079,-1.3839,,,,,,-1.1441,,-0.7843,0.80672,0.151127,0.52689,,0.65217,0.071174,-1.128095,,,-1.0960999999999999,-0.756315,-0.5844199999999999,-0.040757,,-0.33657000000000004,0.095159,-0.34057,,-0.916195,-0.10472,-1.03214,,,,2.3658,0.16871399999999998,,-0.692345
1,53,1,1,1.9044,,1.7642,2.4137500000000003,2.2326,1.47362,0.4412399999999999,,,,,-0.0578725,,,,-0.64586,,,0.12331000000000002,0.5540499999999999,,0.7466266666666667,-0.26982499999999987,,,,,0.89249,0.08912549999999994,,,0.11306,1.0976,0.092544,1.4463000000000001,0.6634424999999999,,1.3642500000000002,0.42756,0.913,,0.38654049999999995,,0.5506300000000001,0.8412299999999999,1.9112,,0.28398,,0.3591783333333333,,0.22587,0.049242666666666664,0.0446845,0.065196,,,,,0.40705,,-0.2835,,,,1.8610333333333333,,,,1.0429,,,,,,4.2222,4.2017,
