fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g85,chr12-g86,chr12-g87,chr12-g88,chr12-g89,chr12-g90,chr12-g103,chr12-g104,chr12-g105,chr12-g106,chr12-g107,chr12-g108,chr12-g109,chr12-g110,chr12-g111,chr12-g121,chr12-g122,chr12-g123,chr12-g124,chr12-g125,chr12-g126,chr12-g127,chr12-g128,chr12-g129,chr12-g130,chr12-g131,chr12-g132,chr12-g133,chr12-g134,chr12-g135
2,603,2,1,,,,,,,,,,,,,,-0.76289,,,0.1683,,,,0.43821,,,,,-0.3917649999999999,-0.45923999999999987,,-0.17583250000000006,-0.10161
3,91,2,1,-0.34325,,,,,,,,,,,-0.74738,-0.63192,-0.5645600000000001,,,-1.0649,,-0.99754,-0.8981133333333333,-0.578995,,-0.5004133333333333,-0.06661499999999997,0.6382066666666666,-0.69446,-0.59343,-0.55494,0.5347649999999999,-3.4608
0,116,1,1,0.1844599999999999,-0.6625624999999999,-1.022266,-1.1638325,-1.4493,,,,,,,,,-0.99442,,,0.63931,-1.2729,,-0.28895,,,,-1.078,-1.1801,,-1.0965,-1.078,,-1.3472
2,260,1,1,-0.055053,,,,,,,,-0.75968,-0.4073699999999999,,,,-0.5778399999999999,,0.058597,,0.41091,-0.4869199999999999,,-0.06262766666666666,-0.37327,-0.12608275000000002,-0.1346099999999999,-0.0664179999999999,,0.12679,1.1496,0.96779,1.3428
0,620,2,1,,,,-0.77446,,,0.4747,-0.23808680000000004,,0.25592,0.45353,-1.1626,,-1.1485,,,,-0.012261,,,0.46411499999999994,-0.15341,0.29473499999999997,1.2298266666666666,0.15476333333333334,,0.7217100000000001,,,
2,230,2,1,-0.0354055,,-0.3152566666666667,-0.035406999999999994,,,,,,0.43318,0.687005,-0.30875,0.81391,0.1159075,0.14031,,,-0.0549309999999999,-0.035406,,,,,0.18261666666666673,0.03293,-0.3022433333333333,,,,-0.52352
2,584,2,2,0.78569,0.509775,,1.0038,,,,,0.14403,,,,,0.079869,,,,,,,-0.5682,,-0.57462,,,-0.11263,-0.43345,-0.30512,-0.69011,
1,98,1,1,0.093725,,,,,,-0.81503,,0.051127,-0.22930999999999999,0.05467500000000003,,-0.45294999999999996,-0.66594,,,0.16472,0.017994,,,-0.45295,0.24636999999999998,0.47711,0.22862000000000002,0.29252,-0.52395,-0.137015,-0.18670999999999993,-0.3145049999999999,0.2357199999999999
2,516,2,1,,,0.3769,,-0.5733600000000001,,-0.67055,,,-0.1990133333333333,-0.055036,,-0.055036,-0.89731,,0.2581199999999999,-0.02264,-0.15762,-0.330395,0.42546999999999996,0.268925,,0.4308899999999999,,,-0.49777,,,0.64686,
2,210,2,1,2.1244,,-0.80606,-1.1864,,,-0.761315,,-0.7874066666666666,-0.6606533333333333,-1.0409,,-0.69421,-0.6271,,,-0.571175,-0.27663333333333334,-0.91791,,-0.011922,-0.17969849999999998,0.4914,-0.29155,-0.0902179999999999,,0.37209733333333334,,-0.14614,0.3963315
2,648,2,1,-0.3739699999999999,-0.76548,-0.2304199999999999,,-0.97428,,,,,-1.3266,-1.00039,-0.6610699999999999,,-0.76548,,,,0.069736,,,-0.6741199999999999,0.043635,-0.98734,,,,,-0.96123,-0.550145,-0.7132766666666667
0,352,1,1,0.059949,-0.15114,1.2342933333333332,1.3592849999999999,,,-0.587885,,,-1.243,-0.8378016666666667,,,-0.4204699999999999,,,,-0.25487,,0.82425,0.383865,-0.36224,-0.35495499999999996,,-0.5442100000000001,0.82425,,0.067228,0.34019249999999995,
