fov,cellID,rep,dbscan_ldp_nbr_allele,chr1-g377,chr1-g378,chr1-g379,chr1-g380,chr1-g381,chr1-g382,chr1-g383,chr1-g384,chr1-g385,chr1-g386,chr1-g387,chr1-g388,chr1-g389,chr1-g390,chr1-g391,chr1-g392,chr1-g393,chr1-g394,chr1-g395,chr1-g396,chr1-g397,chr1-g398,chr1-g399,chr1-g400,chr1-g401,chr1-g402,chr1-g403,chr1-g404,chr1-g405,chr1-g406,chr1-g407,chr1-g408,chr1-g409,chr1-g410,chr1-g411,chr1-g412,chr1-g413,chr1-g414,chr1-g415,chr1-g416,chr1-g417,chr1-g418,chr1-g419,chr1-g420,chr1-g421,chr1-g422,chr1-g423,chr1-g424,chr1-g428,chr1-g429,chr1-g430,chr1-g431,chr1-g432,chr1-g433,chr1-g434,chr1-g435,chr1-g436,chr1-g437,chr1-g438,chr1-g439,chr1-g440,chr1-g441,chr1-g442,chr1-g443,chr1-g444,chr1-g445,chr1-g446,chr1-g447,chr1-g448,chr1-g449,chr1-g450,chr1-g451,chr1-g452,chr1-g453,chr1-g454,chr1-g455,chr1-g456,chr1-g457
2,1001,1,2,,,,,,1.8251,1.9175,1.8702999999999999,2.2066,2.2066,,1.4199,,,,,,,,,,,,,,,,,,,-0.45648,-0.082775,,,,,-0.27553,-0.019836,,,,-0.41321,,,,,,0.47581,,-0.79084,,,-0.79084,,-0.6807,,,,,0.86525,,,1.0816,1.2153,0.53875,,0.77871,1.0423,,,,,,,,0.75117,,0.92819
1,84,1,3,,,,,,,,,,,-0.45687,,-0.48233,,,,,,,,-0.18236,,,,,,,,,-0.40374,,-0.33954,,,-0.28862,,,,,,,,,,,,,,-0.16244,-0.16244,,,,,-0.52771,,,,-0.41038,,,,-0.4767899999999999,-0.56313,,,,,,,,-0.59855,-0.42366,,,,,
2,119,1,2,,,,,,,0.6160399999999999,0.0200305,,,,0.13178,0.13178,0.3320066666666666,0.04253533333333332,0.46006,0.58345,0.18144666666666667,,-0.038176,0.36693,,0.09802299999999994,-0.0032534999999999543,,,,-0.26634,-0.20192333333333334,-0.22676149999999995,-0.76767,-0.19183599999999998,-0.36412,-0.6813325,-0.2686664999999999,,,,,,,,,,,,,,-0.41301,0.45074,-0.12665,,-0.11035,0.45074,0.12014000000000004,-0.082412,-0.17670499999999995,0.16205,,-0.22443,,,,,,,,,,,,,,,,,,
2,244,2,2,,-0.66263,,,,,-0.7148899999999999,,-0.6767,-0.7148899999999999,,,,-0.39531,,,,-0.392295,,-0.3933,,,,,,,,,-0.206372,-0.297825,,-0.18894999999999998,-0.46063,-0.18894999999999998,-0.17421,,,,,,-0.2264699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,1,,,,,,,,,,,-0.9249649999999999,-0.75939,-0.29091,,-0.79917,-0.8295049999999999,-0.71761,-0.14569733333333326,-0.2938966666666667,,-0.6803125,,,-0.0074445,,-0.13177333333333333,,,0.299895,0.028362,,0.33271799999999996,-0.29091,,-0.34761,,,,,0.013443,-0.19095475,-0.7922100000000001,,,,-0.6683749999999999,,,,-0.67285,,-0.45801,,-0.681206,-0.7743,-0.7235750000000001,-0.61914,1.6277,0.71167,,1.028,0.54308,,0.21336,0.25662999999999997,-0.65793,0.3158096666666667,-0.75342,-0.6221300000000001,-0.30583,,-0.03927333333333335,0.32377,-0.97721,,,-1.008545,-0.9518275
0,648,2,1,,,,,1.859,0.067913,0.067913,,,1.7377,,0.4514,1.7668,,,,,0.32517250000000003,,-1.0436,0.96104,,,,,,,,,,,,,,,,-0.29613,-0.8300700000000001,,-0.28157,-1.5484,-0.6407443333333332,-1.06063,,-0.61164,-0.85919,,,1.4416,0.9448500000000001,,,1.1212,,,0.88823,,0.796005,0.85426,0.93677,,,,,1.3785,,0.93191,,,,,0.8736700000000001,,,,,,
0,55,2,1,,-0.2349,,-0.44961999999999996,-0.2204199999999999,,,-0.11748,-0.254195,,-0.27993,,,,,,,,,,-0.21881,-0.080487,,-0.089335,,-0.08745566666666664,-0.31532,,-0.39091,,,,0.041753,,,,,,,,,,-0.35553,,,,,,,,,,,,0.21064,,,,,,,-0.17056,,-0.22685,,,,,,,,,,,,,-0.47455,
3,455,2,2,,,,,,,,,,,,0.66868,,,0.6974800000000001,,,1.1821,,0.2368199999999999,0.36638,,,,,,,,,,,,,,-0.25742,,,,,,,-0.16625,,,,,,,,,,,,-0.10387,,,0.59191,,,,,0.59191,,,,,,,,,,,,,,,,
1,142,2,1,-0.245225,,-0.072336,,-0.019234,-0.09826799999999994,-0.0184083333333333,-0.110001,,,-0.19336,-0.03961,-0.11679,-0.1699,-0.20818,-0.177925,,,-0.076041,-0.017999999999999947,,,,,-0.16249,-0.1452,-0.148905,-0.22053,-0.3613099999999999,,-0.2514,-0.2291699999999999,-0.56013,-0.135935,-0.13285,-0.10506,,,,-0.34773,-0.428,,-0.15261,0.21293499999999996,,,-0.223,-0.058752,,,,,,,,,-0.15384,,-0.18595,,-0.14766499999999994,-0.12667333333333333,,-0.16743,-0.005651000000000031,,-0.0229389999999999,0.1586,-0.192745,0.06597666666666667,,-0.36995,,-0.22834666666666661,-0.0636915,,-0.3810699999999999,-0.001945
2,43,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23685,,,,,,,,,,,-0.2040799999999999,-0.25263,-0.18183266666666664,,,-0.46867,-0.08716333333333333,,0.25226,0.3590655,,0.21828,,,,,,,,,,,,,,,,,,,,,,
0,613,1,1,,,-0.22144,,,,-0.2443,-0.4203699999999999,-0.072806,-0.34606000000000003,-0.3891233333333333,,0.22445,,0.055245,0.0575309999999999,-0.06366,-0.065947,,,,,,,0.084971,-0.28089,,,,,,0.26333,-0.2580199999999999,,-0.3952199999999999,,,,,,,,,,,,,,,,,,,,,0.4828399999999999,,,,,0.0575309999999999,-0.43638,,0.23589,0.089544,,,0.2221699999999999,,,,,,,-0.58272,,,
2,172,2,3,,0.035562,,,,0.1542,,,,,,,,,,,,,,,,,,,,0.15764,,,-0.26534,0.18344,-0.411497,,-0.3576193333333333,,,,,,,,-0.55937,-0.69865,,,,,,,0.12153,,,0.2298599999999999,-0.012583,0.43929159999999995,0.245335,-0.012583,0.43276,,,,,,,0.008909999999999946,,,,,0.4906433333333333,,0.44995,,,-0.15874,,,0.13185,0.037281
0,406,1,1,-0.033162,,,,-0.36016,-0.062683,,0.31881550000000003,,,,,,,,,,,,,,,-0.17168,,,-0.074037,,,-0.49641,,-0.43056,-0.38741,,,-0.38741,,,,,,,,,,,,,,,0.18711,-0.1012899999999999,0.14623,0.18711,-0.06836249999999999,-0.2057445,-0.3942199999999999,-0.36016,,,,,,-0.3942199999999999,,,,,,,,,-0.21029,,,,,,-0.1694099999999999
2,808,2,1,,,,,,,,,,,,,,,,-0.3899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30173,,,0.007553,,,,-0.19397,,,,,,,0.1419,,,0.16289199999999995,0.0411399999999999,0.160095,,0.09432,0.20348,,,0.032744,,,0.032744
1,98,1,2,,,,,,0.11073,-0.1257599999999999,,,-0.12850333333333333,-0.13193,,-0.1237,,,,,,,-0.029108,-0.18128,,,,,,,,,,,,,-0.22035,-0.022938499999999952,,-0.074348,,,-0.15044,,-0.024995,-0.18950999999999996,,,,,-0.41571,,,-0.06201,,,,,,,,,,,,,,,,,,,,,-0.19568,,,,,,
1,468,1,2,,0.2204,,,,0.300735,0.11664,0.57185,0.24048,-0.14443,,0.13338,0.09432933333333332,,,,,0.54172,,,0.5986199999999999,0.33086,0.118314,,0.046353,-0.017242000000000052,,,,,,,,,,,,,,-0.16117,,,-0.51261,0.11329,,,,,,,,,,,,-0.49922,-0.13774,,,0.36767,-0.037325,0.099906,0.128355,0.24718,0.71778,,,0.22598,,0.86974,0.8764299999999999,,0.36767,,,,,
1,36,1,1,,,-0.141214,0.29007,,,,0.50266,-0.31349,,-0.03247733333333332,,,,,,,,0.2517933333333333,0.1288,,,-0.14080866666666667,-0.13144,,,,,,-0.33059,-0.56762,0.09214699999999995,0.02128,-0.24018,-0.12533,0.026984000000000032,-0.18642366666666663,,,,-0.31593,,,,-0.26216999999999996,,0.089702,,,0.038387,,,0.12146825,0.23876,,,,-0.14732499999999998,-0.17909,,0.39026,,,0.323065,,,,0.39026,-0.088679,,,,0.44646,,,,,
0,190,1,2,,,,0.38605,,0.31755,0.2392699999999999,,0.35302500000000003,0.22826000000000002,,0.25395,0.25884,0.2515,0.14631,0.25884,0.62336,,,0.64537,,,0.19768,,,,,,,,,,,,,,,,,,0.0900379999999999,-0.3968,,,,,,,,-0.38049,0.0190919999999999,-0.10568,0.026431,0.070464,,-0.046962,,,,,,,,,,,,,,,,,-0.022497,,,,,
2,569,2,2,0.1698,,-0.1079,,,-0.0023,0.025079,0.0817919999999999,,-0.0815035,,-0.017945,,,,,,,0.067125,,,,,0.22455,0.27344,,,,-0.09616999999999995,-0.201775,-0.129417,-0.17243999999999998,-0.28391225,-0.254968,-0.27608749999999993,-0.17830499999999994,,,,0.14242,,,,,,,,,,,,,0.32625,-0.1079045,0.21086,-0.22817500000000002,,,,,,0.25193200000000004,0.79169,,0.17762,0.22390333333333334,0.2656233333333333,0.17762,0.046591,,0.452385,,,,,,,
3,741,2,2,,,,-0.11555233333333333,-0.45181499999999997,-0.22134999999999996,-0.21986999999999998,-0.47659999999999997,,-0.004575333333333333,-0.575,,,-0.35304,-0.35748,-0.43073,,0.0753279999999999,-0.23263249999999996,0.0941945,0.0753279999999999,-0.20655,,,-0.004575,,-0.1055625,-0.11777,-0.19323666666666664,-0.2032275,0.035377,,0.035377,,,,,,,,,0.29728,,,,,,0.037596,,,,-0.43517,-0.35378333333333334,-0.24650499999999995,-0.3708,,,-0.37968,-0.1666,-0.48178,-0.48178,-0.08004,-0.19546,-0.1355299999999999,-0.05044499999999996,-0.17992,,,-0.2798,,0.24179,,,,,,-0.4558866666666666,
2,210,2,2,,-0.0579029999999999,-0.0579029999999999,-0.02370549999999995,,-0.13032,-0.003589,,-0.0669555,-0.0498565,-0.17659,-0.07198399999999999,,,,-0.011636,0.16136,,,,,,,,,,,-0.18061,0.379625,,,,,,0.06581200000000002,,,,,,,,,,,,,,,,,,-0.5769,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,2,,,-0.31753,-0.25736,,,-0.2735599999999999,-0.31522,,-0.213395,0.10132,,-0.19488,0.94596,0.90199,0.61852,,,,0.97604,-0.72249,-0.5882799999999999,-0.5188550000000001,-0.23653999999999997,-0.605055,-0.4085533333333333,0.14529,,-0.08380500000000007,-0.6091,-0.51423,-0.013613999999999996,-0.34529799999999994,-0.3024899999999999,-0.23885,-0.42282000000000003,0.09127666666666667,,1.1982,,-0.11852099999999999,0.624752,-0.40778,0.22241666666666662,-0.4471199999999999,0.5247933333333333,0.5062800000000001,-0.042155,,-0.82431,,,-0.2504225,-0.44827500000000003,-0.72481,-0.7062975,-0.61373,-0.23654,,,-0.23654,-0.4772,,,0.76083,,,,0.92745,0.6243,,,,,,-0.20645,0.07586500000000002,-0.28744499999999995
0,55,2,2,,,,,,,,0.032103,,-0.14322,0.016018,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30406,,,,0.017627,,0.099659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,831,1,1,,-0.888575,,-0.15374,,,-0.60336,,-0.28124,,,0.10799,,,,,,,,,,,,,,,,,,-0.79798,,,,0.49722,,-0.34835,,,,,,0.4032699999999999,,,,,,,,,,,,,,,,,,,,,,,,,0.5240600000000001,,,,,,,,,,,
2,181,2,2,,,,-0.22295,-0.390015,-0.1351099999999999,,,0.078459,0.07329300000000001,0.1508,0.0414285,0.073292,,0.083626,,,-0.01627,,0.095682,0.0130099999999999,,,,,,,,-0.003639333333333337,-0.1092775,0.23117333333333331,0.11721000000000001,0.19902,,,0.076736,-0.24648833333333334,-0.11617,-0.14286,,,,-0.11272,-0.019714,,-0.31165,-0.35556999999999994,0.027650000000000036,,,-0.1178855,,-0.045549,-0.14028,-0.2246699999999999,-0.004213,-0.29873,,-0.057606,-0.18850333333333333,-0.00019333333333333239,-0.22897499999999998,-0.15406,-0.073107,,-0.16381600000000002,-0.26773,,-0.53986,-0.16784,-0.48561,,,,,,,
0,646,2,2,,,,,,,,,,,,,,,,,,,,,0.12217,0.3204,,0.41447,0.48839000000000005,0.1423299999999999,,0.52199,-0.65059,0.10873,-0.21045499999999995,,,,,,-0.18133733333333332,,-0.072702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,353,1,1,,-0.17032,-0.2085199999999999,-0.24672,-0.24672,-0.44222,-0.35683,-0.21638449999999992,-0.0534679999999999,,,-0.18605,-0.19952999999999999,,,,0.32405,,,,,,,,0.07012299999999995,0.20495,,,0.16374999999999995,,0.21843,,0.076864,,,,,,,,,,-0.50738,,,-0.24223,,,,,,,,-0.14166849999999998,,-0.29166,,-0.027626500000000047,,,,-0.024255000000000047,,,-0.12163033333333334,0.31281,-0.28154999999999997,-0.35908,-0.23099,-0.28492,0.083606,0.1218099999999999,,0.038663,0.45438,,,0.45438
2,792,2,2,,,,0.14284,,,,0.065899,,0.13734,-0.26658,-0.2391,-0.019281,,,,,,,,,,0.1236,,0.418985,0.1236,,,,,,,1.0084,,,,,-0.0550019999999999,,-0.044011499999999995,,,,,-0.26108,,,,-0.32978,,,-0.14568,-0.32978,,,,,-0.38473,,-0.4973899999999999,,-0.28581,,,,,,,,,0.010944,,,,,,-0.29406,
2,578,2,1,0.028306,,,-0.019257,,-0.15718999999999994,-0.09951975,-0.20296875,-0.13400499999999999,-0.16848424999999997,-0.012123,-0.17179799999999998,-0.23736628571428572,,,-0.25945,,-0.49964,,,,3.40766,-0.050173,-0.34506433333333336,-0.26896,-0.6684899999999999,-0.30820000000000003,-0.23091,,,0.5272328,0.12819,0.998582,0.014037,-0.10487,,0.25185,,,-0.112005,0.03544,0.297035,0.43417466666666665,-0.10605999999999999,0.05803250000000004,-0.28323,,-0.37240999999999996,,,-0.39263,,,,,,,-0.09179000000000007,-0.32366,,0.4349699999999999,0.0651685,,,-0.18573,,,,,,,-0.42473,,,,,-0.49726,
2,603,2,1,,,,0.34205,0.1328765,,-0.12514499999999995,,-0.19946666666666668,0.007582499999999992,-0.246185,-0.1527453333333333,-0.29609,,0.062798,0.07554000000000002,-0.48828,-0.12514133333333335,-0.05293799999999999,-0.097534,,-0.6072,-0.3290099999999999,-0.18353999999999998,-0.53499,-0.06674199999999994,,,,,-0.377845,-0.2122099999999999,-0.42102666666666666,,,-0.233445,,,,,-0.2398199999999999,,,,,,,0.77951,0.864455,,,,,,0.180655,,,-0.68152,,,-0.1039099999999999,,-0.20584,,,,,,0.38452,-0.13646666666666665,-0.46597500000000003,-0.48828,,,-0.46279,,,
2,80,2,1,,,0.1219695,-0.056510000000000005,-0.1331855,,,0.031762,-0.140915,,,-0.32905666666666666,-0.13146866666666665,,-0.29169,,,-0.17248999999999995,-0.23112,,-0.081639,-0.15896,,-0.10032599999999997,-0.27321999999999996,-0.10805649999999989,,-0.071974,-0.27365,-0.05843999999999999,,,-0.1857638,-0.20793,-0.15767,-0.017636666666666665,-0.13275599999999999,-0.0358925,,0.56526,,0.32084666666666667,0.69284,,,,-0.27365,,,,,,0.32686,,,,,,,1.8758,,,,,,1.52145,1.2147,1.2147,,,,0.42028750000000004,,,,0.078153,0.39903,
1,843,2,1,,-0.09039649999999996,-0.172815,-0.13063,,-0.0776429999999999,-0.08679833333333335,-0.014846,-0.0776429999999999,,-0.14044,-0.0639059999999999,,-0.12867,,,-0.0766635,,,,0.35015599999999997,,,,,-0.4073199999999999,-0.28859999999999997,-0.44461,-0.13258999999999999,0.016552,0.14215,0.069537,-0.22580499999999998,-0.04297366666666666,0.016552,,,0.11075,0.002815,,0.34329,0.30306,0.036176,,,0.1009299999999999,,,,,,,0.840735,1.977,,,,,-0.1738,-0.10512,,,0.17354,0.13233,,,,-0.19146,,-0.17576,,0.098973,0.10191700000000001,,,,,
2,244,2,1,,0.15542,,0.10617549999999999,,,0.46093,0.214715,0.22376,0.32426,0.15408166666666667,0.22778,0.39393666666666666,0.2318,0.2318,0.41471,,,-0.14004,,-0.091804,0.047552333333333335,-0.10888700000000001,0.11321149999999999,,0.046883,-0.1189375,,0.3497179999999999,0.24185,0.31421,,,,0.27266766666666664,-0.063665,,0.07502500000000001,-0.057635,,-0.2767199999999999,,0.062963,0.052913,,,0.091102,,,-0.51189,0.37853,-0.33099,,,-0.35511,,,,,,,1.09406,,1.2086,0.43681,0.51118,0.62173,0.50515,,-0.36918,1.078,,0.095122,1.7473,,,,0.39059
2,792,2,1,,-0.36275,,-0.3023,-0.2281099999999999,-0.14018,,,-0.24185,-0.53037,,-0.14018,-0.42137,,-0.0769835,,-0.2308599999999999,-0.26658,-0.090723,-0.29681,-0.19239,-0.27208,-0.1127099999999999,-0.19514,-0.1814,-0.0467589999999999,-0.13194,,-0.019281,0.3132,,0.32144,,0.21428,,,-0.03302,,,,,,,-0.070115,0.087882,,,,,,,,,,,,,-0.08797333333333333,,-0.20888,,-0.17865,,0.1923,,-0.0165335,,,-0.096219,,,,,,-0.1759,-0.29131,,
2,555,1,2,,,,,,0.46238,0.46238,,0.579405,,0.33131,,,,,,0.8930299999999999,0.473305,0.72139,0.13003149999999994,,,,,,0.1113055,,0.13627299999999995,0.14095,0.14407,0.229895,0.06293649999999998,-0.45821,0.062938,0.26578,0.0723,,-0.1180599999999999,-0.0119569999999999,0.12535,,,,,0.31883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,2,1,-0.33271999999999996,,-0.1717766666666667,-0.12312,,-0.02206666666666664,-0.09629666666666666,-0.046392,0.193151,-0.12874,-0.205465,-0.14932074999999997,0.15057399999999999,0.29046,0.42707500000000004,-0.16242,0.0026382000000000462,-0.0014783333333333315,0.030336,-0.076335,0.0587788,0.10987,-0.05138299999999999,,0.22870649999999995,0.16289416666666667,0.15384799999999998,0.24679566666666664,0.10331900000000002,0.234322,0.040628,0.4133533333333333,-0.03329500000000002,,,0.26239,-0.22277499999999997,,-0.245695,-0.29716,-0.22886,-0.22118399999999996,0.06355500000000003,0.19689333333333334,0.18754,,,0.76674,0.2680099999999999,,0.5206466666666666,-0.30465,-0.23977666666666664,0.3176,0.43831,,0.05279224999999999,,-0.60595,-0.2990366666666667,-0.06885,,0.0443715,,-0.34208,-0.153065,-0.667705,-0.67893,-0.617175,-0.5367066666666667,,0.061215000000000006,0.0434366666666667,-0.027680000000000003,-0.018321,-0.1312326666666666,0.026593,
0,310,1,1,-0.093673,,0.0016200000000000034,-0.13194199999999998,-0.084488,0.22091,0.22091,,,,,,,,,,,,0.71919,,,,-0.39218,,,,,,,-0.073007,,0.1267599999999999,,0.10953999999999996,,,,,,,,,,,,,,,0.75822,,,-0.33707,-0.084488,,,,,,,,,,,1.1004,0.6526,,,,,,0.54697,,,0.038354999999999945,,,,0.20713
2,648,2,1,0.082735,0.13451,,0.1986099999999999,,,0.24175999999999997,0.24053,,0.2220349999999999,,,,0.26765,0.1986099999999999,,,,,,-0.001092,-0.03067500000000005,0.21217499999999995,0.26765,0.31942,0.19779000000000005,,-0.043005,,0.19491,0.2997,,,,,,,,-0.15066466666666667,-0.15888,,,,0.12218349999999999,0.231486,-0.055332,,,,,0.3120199999999999,,,-0.22299,,,0.37859,0.2799725,,,,,,,,-0.14902,0.06177600000000005,,,-0.089849,,,,,,-0.18354,-0.26243,
2,199,2,1,-0.27434,-0.11053499999999995,-0.06312666666666666,-0.21018,-0.12331233333333334,0.14638433333333334,0.06576,-0.096057,-0.044956999999999955,-0.24628999999999998,-0.13182739999999998,-0.19059,-0.332822,-0.43843,0.1918099999999999,0.31104,0.01466,0.38258,,0.258235,0.30422499999999997,0.001033,0.1824385,-0.033034,0.108343,0.099827,-0.070507,0.54099,,0.16285,0.10834,0.393655,-0.09265049999999994,0.17137,,,,,,,,0.089605,0.11856350000000002,0.24631,0.099827,0.06150075000000001,-0.027353333333333302,0.27385,,,,-0.24822333333333335,-0.293645,-0.20848,-0.34304,,,,-0.2519125,-0.21955,-0.280865,0.18798750000000003,,-0.077318,0.0001815000000000011,-0.12274133333333333,-0.28683,-0.24765333333333328,-0.11309,,-0.24708666666666665,-0.28342,-0.22295500000000001,,-0.26469,-0.034737,,-0.052622
0,275,1,1,,0.74147,,0.30012,,,0.1413299999999999,0.14016499999999998,0.769485,0.3009066666666666,0.11565,,-0.15523,0.1693599999999999,0.12499,0.175195,0.29194999999999993,-0.34438,0.6628566666666668,0.15534666666666666,0.21139,,-0.01045,,0.16235,-0.021348000000000034,-0.31869,,0.05259666666666666,,0.094632,,0.074785,,-0.22139333333333333,0.07128,0.34449,,,0.83721,,,,,,,,,,,,,,,,,,,,,,3.0579,,,,,,,,,,,,,,,,
2,260,1,1,0.33379,0.339705,0.49230799999999997,0.57038,0.8235399999999999,0.6662,0.43079,0.718018,0.346094,0.2770075,,0.36987,0.64846,,0.80934,,0.81291,-0.016366,0.35094749999999997,0.10713460000000001,,0.34562,-0.030562,0.12282950000000002,-0.14649,,0.26991,0.04988,0.18237,0.27819,0.18316100000000002,0.34562,0.18710166666666664,,0.0885233333333333,0.012025,,0.047513499999999945,0.040417333333333326,0.071173,0.35035,-0.004534999999999956,-0.010450000000000015,0.16108,-0.36889,,,-0.21747,0.31249666666666664,0.7975,0.1693575,-0.08182366666666667,-0.25650999999999996,,-0.02109499999999999,-0.3357699999999999,-0.334585,0.031897999999999996,0.004927,,0.1386,0.13426266666666667,0.311709,0.41778,0.1871,,0.46155,0.125589,0.29908833333333334,,0.599955,-0.00926850000000005,-0.054221000000000005,-0.12993,,0.1886793333333333,0.2013,0.006505666666666669
1,208,2,1,-0.2816366666666667,-0.0681799999999999,0.1412566666666666,0.19851649999999998,0.24522,0.2241285,,,0.132215,0.14125675,0.15181,0.294945,0.38987,,0.099069,0.2166,0.025238,0.1005799999999999,0.25200500000000003,0.35069999999999996,,,,,0.065921,0.005148,0.068934,0.30625,0.33111,0.20002,0.17892666666666665,0.1276975,0.251625,,0.16461299999999995,0.214335,,,,-0.0012808000000000014,0.21208,0.064414,,,,0.019964499999999948,,,,,-0.39213,,,,,,,-0.1088599999999999,-0.26406,-0.19324,-0.2294,,-0.17817,,-0.15105,-0.2429599999999999,-0.22338,,,-0.23392,,-0.0824955,-0.25351,,,,,
