fov,cellID,rep,dbscan_ldp_nbr_allele,chr6-g626,chr6-g627,chr6-g628,chr6-g629,chr6-g630,chr6-g631,chr6-g632,chr6-g633,chr6-g634,chr6-g635,chr6-g636,chr6-g637,chr6-g638,chr6-g639,chr6-g640,chr6-g641,chr6-g642,chr6-g643,chr6-g644,chr6-g645,chr6-g646,chr6-g647,chr6-g648,chr6-g649,chr6-g650,chr6-g651,chr6-g652,chr6-g653,chr6-g654,chr6-g655,chr6-g656,chr6-g657,chr6-g658,chr6-g659,chr6-g660,chr6-g661,chr6-g662,chr6-g663,chr6-g664,chr6-g665,chr6-g666,chr6-g667,chr6-g668,chr6-g669,chr6-g670,chr6-g671,chr6-g672,chr6-g673,chr6-g674,chr6-g675,chr6-g676,chr6-g677,chr6-g678,chr6-g679,chr6-g680
2,68,1,2,,-0.9463,-0.57517,-0.70387,-0.42552,-0.30879,-0.53327,1.4331,,-0.35369,0.388573,0.16484749999999998,,-0.16513,,,,0.07131666666666665,1.0291,,,-0.06037633333333334,0.005468333333333335,,-0.31478,0.9362833333333332,0.22994,0.22994,0.9572224999999999,,0.274835,-0.4883699999999999,-0.38063,,-0.11574500000000004,-0.23696,-0.0304459999999999,0.185052,0.93928,-0.20104449999999996,0.764205,,,-0.64102,,,0.086281,,-0.81162,-0.45246,,-0.3896,,,-0.91936
2,792,2,2,,,-0.54689,-0.5541050000000001,-0.48917,-0.53246,,0.059147,,-0.54689,-0.87155,-0.6046066666666666,,-0.84991,0.24673,-0.041859,0.8130799999999999,1.011505,,0.89605,1.5021,0.180354,0.2395135,,0.85277,-0.2150099999999999,0.43431,0.8672,,,,,,,,0.4487399999999999,,-0.0707179999999999,,,0.5786100000000001,,,0.9898499999999999,,0.50646,0.9104949999999999,,,-0.085147,,,,,
1,77,2,1,,,,,,,0.6932299999999999,0.59343,0.38232,0.7616,0.33626,0.68603,0.77671,0.51186,,,,,,,,,,,,0.6558,,,,-0.37192,,-0.25677,-0.29419,-0.10850950000000001,0.097321,-0.34601,,,,,,,,,,,-0.14162,,,0.71914,1.08332,,,,0.90338
2,648,2,2,,,0.082786,,0.22634,0.22634,-0.0999169999999999,-0.58277,0.095836,,,,,,0.7157199999999999,,0.5786899999999999,1.0093,1.1007,,,-0.086866,0.011021000000000003,-0.3413425,-0.33482,-0.54362,,,0.25243499999999996,0.90495,-0.2173699999999999,1.6520599999999999,0.7787933333333333,,1.15295,,,1.179,,1.1399,,2.6145,1.7532,0.61784,,1.2834,,,2.5101,2.5101,,0.06321199999999999,,0.846225,
0,544,1,1,,,,,,,,,-0.89133,,,-0.57071,2.7169,-0.2283599999999999,,,,,,,,,0.52155,0.0868169999999999,2.6517,1.3149,,,,,,,0.52155,2.8256,1.1519,,0.4346,-0.13055,,1.2823,,0.6737,,,,,,1.9453,,,1.2389,,,0.7715266666666668,1.3149
1,137,1,2,,,0.937105,1.3415,,0.77781,,,,,-0.3333,,0.524545,,,,,,,,0.23859,,,,,,,0.12422,,,,0.29578,,,,,,,,0.7369600000000001,,0.46735,,,,,,,0.5000395000000001,-0.4721899999999999,,,,,-0.0718605
2,1229,1,1,,,,-0.97996,,,-0.26491500000000007,-1.0883,-0.48158,,,,-0.84995,-1.4024999999999999,,,,-0.5249199999999999,,,,,-1.1966,-0.7632800000000001,,-0.7632800000000001,0.677665,,0.12513,0.2334699999999999,,,,-0.7632800000000001,1.0785,0.79685,,,1.1869,,,,,0.62351,-0.5249199999999999,-0.35157,,0.081795,-0.5465899999999999,-0.026547,,-0.048216,,,
3,62,2,1,,,,,,,,,,0.375105,0.62639,0.8241200000000001,0.42590999999999996,0.148542,0.61815,0.5604995,0.659345,0.729375,0.36275,0.663485,2.579,1.06633,2.2123166666666667,2.1505,1.9473333333333336,1.8333499999999998,2.2329,,,0.8405900000000001,0.6511,0.81588,,0.98065,0.98065,1.6809,,1.0466,1.1537,0.79116,0.19798,0.4780899999999999,0.3874599999999999,0.008485,1.2195733333333334,0.32156,1.9034,,1.16466,,,,0.67582,0.51928,
2,172,2,4,,,,,,,,,,,,,,,,,,,,0.53455,,-0.85309,1.4834633333333336,1.4970566666666667,0.3747,,-3.8018,-3.8018,-3.8018,,0.92227,,0.3559965,0.21416799999999997,0.46313,0.92227,,-0.006220999999999997,-0.17968,,,,,0.49883750000000004,,,,-0.80207,-0.7857379999999999,-1.0265,-0.776565,,,-0.62862,
3,91,2,1,-0.46353,-0.34325,-0.526075,-0.50683,-0.5405099999999999,-0.5260699999999999,-0.4972033333333334,-0.5260699999999999,-0.4587199999999999,-0.17968,-0.25665,-0.41061000000000003,,,,0.26294,,,,0.03682099999999995,0.18596,,0.52755,0.48425,1.6581675,0.94611,0.591695,0.5756600000000001,0.67669,1.6773825,0.42652,0.77291,1.6774,0.94804,1.2764666666666666,1.2796633333333334,0.9044099999999999,1.076,,0.4714066666666667,1.1289449999999999,0.2340699999999999,,,0.28699499999999994,0.1571,,,,,0.03201,,,,
0,610,2,1,,,,,,,,,,,,,,,,,,,-0.79824,,,,-0.8467,,-0.99901,,-1.0613133333333333,,,0.6140899999999999,-0.65285,,-0.77747,,0.50332,,-0.43131,,-0.16823000000000002,-1.0959,-0.95055,0.11562,,,,,,,,,,,,,
1,189,2,2,,,,0.19599,-0.055094,,,,,,,,,,0.26888,,,,,,0.252685,,,,,0.116618,0.034,,-0.05913999999999994,-0.15633499999999995,-0.22112999999999997,-0.41147,-0.23328,-0.204932,,-0.71925,,-0.168485,-0.02674499999999999,,-0.5815600000000001,-0.50866,-0.014596,1.0275366666666665,-0.16039,,0.216235,0.48757,,,,-0.40337,,-0.40337,-0.573455
2,18,1,1,,,-0.35549,0.30147500000000005,0.7468,0.2221150000000001,0.69389,,,,,,,,,,-1.255,,,,,,,,0.164815,,-0.87577,-0.96395,0.8261649999999999,0.7027100000000001,-0.3378466666666667,,,,,,0.05016000000000001,-0.1938173333333333,-0.31139,-0.48776,,0.72917,0.72917,-0.038027,-0.6964600000000001,-0.39076,-0.346665,-0.5053966666666666,-0.92868,0.5704349999999999,0.45139,0.5204666666666666,0.213295,,-0.3202125
3,741,2,1,0.99787,,-0.1431599999999999,-0.162835,,,-0.31366,-0.3748666666666666,-0.497275,-0.26775699999999997,,-0.5103949999999999,-0.16939500000000005,-0.13004799999999994,,,,,2.9652,,,0.1257,0.26341000000000003,0.32898499999999997,0.4557799999999999,,0.001105,,0.11914,-0.1169299999999999,-0.12349,,0.11914,0.309315,,,,,0.2503,0.49949,0.8886,,,0.72245,,,,-0.025126,0.092912,-0.018570000000000003,,0.1716,,-0.1169299999999999,
0,190,1,2,,,,,,-0.24188,,,,,,,,,,,,,,-1.0357,-1.0572949999999999,,,,,,,,,-1.1134,-1.13495,,-1.1652,-1.0846233333333333,,-0.8609924999999999,,0.76769,-0.8631433333333334,-1.3032,,,,,,-0.99259,,,,-0.75098,,,,,
2,578,2,2,,,,2.1405,0.46578,,0.93703,,,0.37153,,,0.56003,1.1641866666666667,2.5176,1.256,,,0.11777600000000005,0.74853,,,0.8355299999999999,2.4886,1.3213115,,2.6046,3.7501,1.9883,2.7061,1.37931,,4.4316,2.78585,2.039,2.9961,,0.9442649999999999,,2.01,0.70503,2.2493149999999997,0.61803,0.61803,,,,,,,,,,1.169,0.922515
0,116,1,1,,,,,,,-0.2796599999999999,,,-0.68809,-0.5210049999999999,1.7439,0.8760300000000001,,,,,0.22159,-0.7066600000000001,-0.93872,,,-0.8459,-1.31005,-1.0872600000000001,-1.0898814285714287,-1.2033,-1.2822,-1.129,,,-0.620795,-0.8626159999999998,-0.65716,,0.370105,-0.35083000000000003,,,-0.507085,-0.37249,-0.9851375,,-0.4622233333333334,,,,,,-1.15685,,,,,-0.7902
2,14,2,1,-0.6032566666666667,,-0.28519,-0.74715,-2.5874,,-2.5874,-0.924342,-0.64112,,,,-2.5874,,,,-0.57297,,,,,0.010166,0.2146393333333333,0.0707523333333333,,-0.55025,-0.22763260000000002,0.13637999999999995,-0.44422,,0.11366566666666668,-0.023912999999999997,-0.16401549999999995,0.060148400000000005,-0.080711,-0.2473199999999999,0.419116,0.063178,0.509995,,,-0.061780999999999996,-0.02391500000000002,,,-0.13372,-0.20566499999999993,-0.34577,-0.52753,,,-0.48966,,,
2,584,2,1,,,,-0.70295,-0.9275249999999999,,,,,,,,-0.63878,,,,,,,,-0.022796,0.4776899999999999,0.3557785,-0.22171000000000002,0.52903,,-0.27946,,-0.014243333333333335,,1.1322,0.65736,-0.048462,,,-0.035629,-0.33079,,,0.50336,,,0.6124400000000001,0.53544,,0.38786,,,,,,,,,
0,55,2,2,,,0.59543,0.849415,0.0349075,,0.19255,0.052424,-0.429275,-0.33293,,-0.5217199999999999,,-0.56648,0.72388,,,,-0.47306,-0.42052,-0.56065,1.0158,-0.48766,-0.38548499999999997,-0.50615,-0.280385,-0.35337,-0.017641,-0.34461366666666665,,,,,-0.25703,,,-0.6715800000000001,-0.42635,,-0.71245,-0.46723,-0.668665,,,,,-0.71829,-0.56648,-0.43803499999999995,,-0.2979,-0.54313,-0.08575999999999999,,
2,210,2,1,-0.11259,2.3705,0.838155,1.30792,0.6517099999999999,-0.2356199999999999,-0.29714,0.37210000000000004,-0.23003099999999999,-0.4593233333333333,-0.39221,-0.2542633333333334,-0.15732899999999994,0.25653333333333334,,,,-0.24681,,0.75424,-0.9906200000000001,0.9332214999999999,1.296715,2.31455,1.468978,1.72735,1.6524139999999998,0.7262803333333333,0.8023434,1.1625,1.2296,2.116025,1.5278566666666666,1.3042133333333334,1.375015,1.2463875,1.375,0.0029923333333333377,0.60699,0.5613225,-0.03205939999999998,-0.4034,-0.14614,-0.29713900000000004,-0.5488,-0.5488,-0.20206499999999994,,-0.31392,-0.5040600000000001,-0.44814,0.07196249999999997,-0.34747,0.133485,-0.6532
2,1001,1,1,,,-0.45418,,-1.0239,-0.60027,-0.5856600000000001,,,,,-0.8340099999999999,,,,,,,,,0.2908699999999999,,0.15939,,1.9051500000000001,,1.5277233333333333,1.69335,1.6057,,,,-0.9947,,,,,1.445,1.0067,,,0.48078,0.59765,,,,,,,,,,,,
1,826,1,1,-0.3732,,0.5796399999999999,,,,,1.7326,,,,,,,,,,,,,,,,1.00841,,,0.31284,1.0656,0.56058,0.2652,,,,,,,0.12228,,,,,,,,,,,,,,,,,-0.24933,
1,53,1,2,,-0.7005600000000001,-0.53647,-0.73475,-0.51596,-0.639025,,,,-0.030524,0.36603,,,,,,,,,,,,-0.57749,0.051519999999999955,0.61217,0.40021,0.8377899999999999,0.64635,0.5779799999999999,0.33868,0.704465,,,0.2361199999999999,,-0.375795,0.29082,-0.40657,-0.5159600000000001,-0.4305,-0.18094,,-0.146755,,,,-0.35871,0.065195,-0.22196,,-0.44075,-0.44075,,,
1,208,2,1,-1.0246650000000002,-0.44842,-0.29999,-0.902415,-0.78892,,-0.6055699999999999,,-0.57065,,-0.64486,,,,-0.77145,,,,,0.1802,,0.16709000000000002,,0.5294300000000001,0.79135,1.0503466666666668,0.86993,0.61673,1.3239,,0.73023,0.71277,0.7913399999999999,0.4886833333333333,,0.053599999999999995,0.10162,0.15400499999999995,0.57308,-0.055534,0.018677000000000003,,,,0.09288799999999994,,-0.055534,,,,,0.7215,0.6604049999999999,0.8699266666666666,0.45958
2,181,2,1,-0.4279,0.022436,-0.15003300000000003,1.1434733333333333,-0.17878,-0.70577,-0.5333,,-0.69619,,-0.5141399999999999,-0.52372,-0.57163,-0.1947466666666667,,,0.228443,,-0.56205,,,,0.305095,,1.1914,-0.14045,0.17574,,0.032017,0.37216499999999997,,,,,,0.2140699999999999,,,,0.63566,1.5268,,,,-0.1117099999999999,,,,0.2715599999999999,-0.66745,-0.10691999999999996,,,,
1,94,1,3,,,,,,,,,,,,,,,,,,,,-0.0870659999999999,0.7522300000000001,1.57,0.47247,1.3978366666666666,1.9956233333333333,0.7689633333333333,1.943,,1.57,0.8598399999999999,1.6561,0.8598399999999999,1.5341,0.3935599999999999,1.2902566666666668,0.684085,0.9387416666666667,2.2084575,1.4289333333333332,3.9947,,1.953817,0.97461,,0.28596,,3.0908,,,,,1.3907,0.60159,0.8789600000000001,0.19987
1,144,1,1,,-0.880165,-0.42767,,-0.55362,-0.8428450000000001,-0.83352,,,0.11812,0.01860466666666667,0.62193,-0.16643499999999994,1.5083,,,1.1257,,0.75255,,,1.06975,,,-0.10579666666666665,-0.5163,-0.8521799999999999,0.136785,-0.5163,-0.5816100000000001,0.48433499999999996,2.155133333333333,-0.7915350000000001,0.6219399999999999,-0.8521799999999999,-0.5163,0.17100666666666667,0.8520616666666667,-0.311047,,0.98889,,1.131975,-0.34836750000000005,0.3949066666666667,-0.32971,-0.09646149999999999,,0.2114199999999999,,,,0.84585,0.84585,1.40095
3,353,2,1,,-0.35569,,-0.4001713333333334,,-0.2978633333333333,-0.38238,,-0.80943,,,,,,,0.67189,,,,,-0.10213,,0.6452,0.35161,0.1941334,0.1981385,0.11139333333333333,0.33826,0.5740256666666667,0.6785450000000001,0.74195775,0.11139500000000001,0.6051675000000001,0.7919966666666666,0.16477,0.3649575,0.08915000000000001,0.19591333333333336,0.009079333333333333,-0.3023113333333333,0.15142699999999998,-0.10213,-0.10213,-0.22668999999999997,-0.80943,-0.23335883333333332,,0.75196,,-0.66263,-0.6848733333333333,-0.039856666666666686,-0.24893,-0.62259,-0.312986
1,81,1,1,-0.64842,-0.5913766666666667,-0.25948,-0.07020433333333335,0.020548999999999967,0.1839,-0.27503999999999995,-0.64064,-0.16873166666666664,,,,-0.5084,,,,,,,,-0.67953,,,,-0.11169,,,0.49505,,,,,,,,,,,,,,,,,,,-1.2007,,,,,,,,
1,468,1,1,,,0.34763,,0.13146,,,1.0064,,,,,0.733655,0.3476255,-0.2597,0.90349,-0.21852,,-0.28029,-0.0744129999999999,,,,0.121166,,-0.40381,0.6976100000000001,,,,,0.59468,-0.4449899999999999,,1.61375,0.13146,0.44027,,0.3991,,,,1.8711,0.16749,,0.12117,,,,0.74908,-0.13618,,,1.2157,1.276116
0,89,2,1,-0.20194166666666669,-0.17726199999999995,-0.080308,-0.06549920000000001,0.8842855999999999,-0.167564,-0.29977550000000003,0.52785,,0.19821333333333335,-0.57953,-0.21781,-0.47694,0.2806225,-0.2654,,0.15767,-0.04329333333333337,-0.22045,1.038165,0.21584,,0.027223333333333304,0.22112999999999997,1.470234,-0.93174,0.69971,,,1.5062,0.63364,0.86631,0.559565,1.3951,0.9764933333333333,0.427355,0.31455666666666665,1.2488333333333335,-0.87885,1.374,0.8002125,-0.06973000000000007,0.8187066666666666,0.64949,0.012239333333333316,0.33747,,,,-0.31299499999999997,-0.268045,-0.064443,-0.096174,-0.18872150000000001,-0.0882425
0,250,1,2,,-0.42357,-0.44732,,,,,0.66108,0.13063,,,-0.5502450000000001,0.28897,,-0.63338,-0.77984,,,,,,,,,,0.8115100000000001,0.24147999999999997,1.144,1.334,0.93818,1.4924,0.94214,0.82734,,1.0649,,,0.45523,,1.1915,,,1.1915,0.90651,,,,,,1.23905,,,0.66108,0.36815,
2,117,1,1,-0.5875199999999999,-0.08323333333333333,,-0.41015,-0.25365,,-0.003242,,,-0.71273,,,,,,-0.47275,,,,,,,,,-0.7596599999999999,0.06979000000000005,-0.29538,-0.863995,-0.7927166666666666,-0.161832,-0.368421,-0.524925,-0.780545,-0.6475175,-0.26408,-0.4901433333333333,-0.0032450000000000534,-0.38233333333333325,-0.25365,0.262815,0.41933500000000007,-0.22234666666666666,-0.24322,0.7427625,,,0.87318,,-0.5040600000000001,,,0.40367,,,-0.56666
0,215,1,3,,0.52567,0.36724,0.49687,0.38885,0.36724,0.24841849999999993,1.0298,,-0.12965,,0.017979999999999996,,,,,2.0596,,1.3466,0.9865366666666667,,-0.17645499999999995,0.1368,,,,-0.1872599999999999,0.30963,0.33844,,,,,,,,-0.26647,0.32403,0.6552815000000001,0.68409,0.014378,,,,-0.22326,0.30243,-0.25639120000000004,-0.30248,-0.20525999999999994,,,,1.1594,0.09359100000000001,0.81372
2,244,2,1,0.8619383333333334,0.47714,1.0946,0.48251,0.41450000000000004,0.40376199999999995,0.12814,-0.42669333333333337,-0.4266933333333333,,,0.060123,-0.075897,-0.51618,,,,,,,,-0.30141,,0.0314889999999999,0.13888,,,,-0.161805,0.010012,0.7939266666666667,0.16751333333333338,0.401971,0.7241325,,0.9228,0.831515,-0.07052550000000005,-0.05442,0.16572049999999994,,,0.34291,-0.231608,,,-0.37658,,,-0.075895,0.20331,,,,
2,555,1,1,0.58499,,0.986335,0.263915,,,,1.9381,,2.2362,2.2362,1.0933566666666668,0.762725,0.837275,,,0.28684666666666664,0.59646,0.10337,-0.16037,,2.156,2.4082,1.22716,0.7569899999999999,1.0742533333333333,1.536775,1.5520266666666664,0.47031999999999996,0.6400219999999999,0.7197174999999999,0.15382799999999996,0.9347215,1.513822,0.58499,1.660025,1.86355,,,,1.617,0.447385,1.146895,,,,,,-0.022764,,,0.56205,,0.5505899999999999,1.4335
2,566,1,2,,,-0.6975100000000001,-0.33559,-0.79735,-0.6975100000000001,,,,-0.54775,,-0.39799,-0.57271,-0.70999,-0.67255,,-0.11095,-0.52279,,-0.8472700000000001,0.001373,0.309201,0.82505,3.4209,1.1495,,1.8026333333333333,3.4458,1.7735,1.6113,2.5847149999999997,,6.2414,,0.81257,,,,,,0.1636099999999999,,,-0.80984,,-0.7723899999999999,-0.5144700000000001,,-0.6413500000000001,-0.98455,-0.31686925,-0.6975100000000001,-0.70375,,
2,172,2,3,-0.62862,,-0.643925,,,,,-0.5776,,-0.649025,-0.807175,-0.54189,-0.38374,,,,-0.3276199999999999,-0.48577,,,,-0.638825,,-0.12866,-0.77146,-0.36333,-0.309766,-0.27151,,,,-0.1388599999999999,-0.52659,-0.27151,,-0.3021125,,,0.065202,-0.12866,,,-0.31232,,-0.057237,,,-0.21029,-0.05213549999999995,,-0.32252000000000003,,,,-0.6949350000000001
0,544,1,2,,,,,,,,,,0.26342750000000004,,-0.34791,-0.36965,0.028854333333333315,,,,,,,,,,-0.032734,,0.39113,0.260705,,1.09539,,4.1298,,-0.27727,0.7316733333333333,,0.79325,-0.000129,,0.61936,,1.8692,0.57589,,-0.31531,0.4346,,,,,,,,,2.6191,
