fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g605,chrX-g606,chrX-g607,chrX-g608,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639,chrX-g640,chrX-g641,chrX-g642,chrX-g643,chrX-g644,chrX-g645,chrX-g646,chrX-g647,chrX-g648,chrX-g649,chrX-g650,chrX-g651,chrX-g652,chrX-g653,chrX-g654,chrX-g655,chrX-g656,chrX-g657
1,94,1,2,,0.45095,-0.6681199999999999,,,-0.78289,-0.30227,,,,,,,1.6346,,1.032,,1.0917666666666668,1.0176349999999998,,,,,-0.57486,,,,,0.35769,,,0.17835,,,,,,0.5226785,0.5621349999999999
2,63,1,1,,1.7228,,,,,,0.7601,1.806,,,1.2593,0.86708,,,,,,0.5223899999999999,,0.5580499999999999,0.60163,,-0.40469,,,,1.4614,,,1.0691,0.64125,,0.9205650000000001,1.0216,,,-0.35715,1.6159
0,275,1,3,,1.0144,,,,,,0.503805,2.0966,,,,-0.07728333333333333,,0.21893,,0.27387999999999996,-0.19852000000000006,,,,,,-0.48339,,,,,,0.1544299999999999,-0.7843866666666667,,,,,,,,
0,158,2,1,,2.5275,2.0875,3.2458,2.6958,,,2.5405,,2.204,,,2.411,-0.45561,,1.861,2.2331000000000003,1.8760933333333334,2.4628,0.76092,-0.89564,,0.69298,,2.06485,-0.5785600000000001,-0.3003099999999999,2.2007000000000003,0.340305,-0.6368,-0.7101333333333333,-0.68857,-0.5332600000000001,-0.6626799999999999,-0.66915,1.2463,-0.4879699999999999,-0.0026400000000000126,0.38883499999999993
2,584,2,1,,,,,,,,,,-0.22812,,,,2.3513,,1.9792,2.454,,3.455,,2.8133,,,2.1759333333333335,,2.3320499999999997,2.3341999999999996,,,1.3375,2.24865,,3.0828,4.1736,3.3587,,,2.32565,3.4806
2,31,1,1,-0.45821,-0.45821,0.0589049999999999,,-0.22838,1.0127,1.2693166666666666,1.73665,,4.4372,,,-0.4697,,,0.5109033333333334,0.6105,-0.06175499999999995,0.8862899999999999,2.0316033333333334,0.2427699999999999,0.4496199999999999,,0.71392,,0.2427699999999999,,,-0.4237399999999999,,,,,0.20829,1.2425,1.5470700000000002,,1.7367,0.4726
1,53,1,1,,,0.40705,,-0.2835,,,,1.8610333333333333,,,,1.0429,,,,,,4.2222,4.2017,,1.2959,,1.17621,,,,0.96086,1.2822,1.3437,1.40525,,,,,,,,1.4292
0,648,2,1,,,,,,-0.1880599999999999,,,,,,,,-0.020411,,-0.0832799999999999,-0.10190666666666666,,-0.3138,-0.25093,,,,,,,,,0.99248,,,,,,,0.18915,0.52446,,
0,613,1,2,0.24878,1.1198,0.13,,,0.54177,0.69222,0.508115,,0.45466,,,4.0734,3.0995,,,,,,,1.1832,,,,,0.5496800000000001,,,,,,,,,,1.6979,,1.9776733333333334,3.7805
0,407,1,1,,,-1.0960999999999999,-0.756315,-0.5844199999999999,-0.040757,,-0.33657000000000004,0.095159,-0.34057,,-0.916195,-0.10472,-1.03214,,,,2.3658,0.16871399999999998,,-0.692345,0.8387,,1.1865,-0.40453,,,-0.19666,-0.0247669999999999,-0.4378423333333333,,-0.1127099999999999,1.5822,,-0.15269,0.81471,,0.0743736,-0.06074499999999999
2,210,2,1,-0.73895,1.408555,,,,-0.011922,,1.263145,0.8996500000000001,0.250925,,2.6949,,2.7732,,1.8839,,2.3649,3.1758,,,1.4393375,0.94999,0.6535825000000001,-0.14986999999999998,-0.8396100000000001,-0.39221,0.36463333333333336,3.026666666666667,-0.76132,,,,,0.58087,-0.35866,2.9969,-0.35866,2.6389500000000004
1,94,1,1,,0.40312333333333333,0.12813999999999998,1.326125,1.6848,1.857,-0.15163,1.65965,,,,,-0.17314766666666662,0.24052333333333334,,-0.237705,-0.10858666666666666,-0.28912,-0.4565,-0.52943,-1.2061,-0.39552999999999994,,0.9387610000000001,0.2381266666666667,,0.049231,0.10662,-0.452915,-0.37401,0.16401,-0.09423500000000001,-0.07989199999999999,,,,,-0.37401,0.58007
2,566,1,1,-0.3855099999999999,2.9716,,,,2.7594,,,,,,1.3492,2.2478,1.1371,,1.56135,,1.324275,1.2369046000000001,1.3617,0.8375299999999999,,0.45690500000000006,0.072091,0.9165576666666667,,,0.87497,0.63161,,-0.32935000000000003,,5.538333333333334,-0.98455,6.2289,5.8919,0.29256666666666664,5.0807,5.3927
0,5,2,1,-0.6340333333333333,-0.3435925,0.8958200000000001,0.523065,0.13632800000000003,-0.7233400000000001,-0.2853485,-0.29234,-0.29234,-0.47406,,,0.20622,,,-0.299326,,-0.464738,-0.13857599999999998,0.20622,-0.2737,,,-0.1246,-0.36223,-0.7023699999999999,-0.58122,-0.13625,-0.0011249999999999871,-0.68839,,-0.45542,-0.322625,-0.1851725,-0.7489600000000001,,,,
0,750,1,2,,-0.1137099999999999,,,,,,,,,,,,-0.63031,,-0.82301,,,,,,,,,,,,,,1.9445,,0.8375,,,,,,,
0,89,2,1,,,0.3255695,0.12594,,-0.50338,-0.8101,-0.532465,-0.6382300000000001,-0.5827,,-0.15435,0.884833,-0.3870325,-0.67261,0.43532499999999996,0.25638333333333324,1.001171,0.41679666666666665,-0.01156,-0.82068,,-0.53775,,,,,,,,,,,,,0.078342,0.89275,-0.016848,
2,244,2,2,,,,,,,,,,,,,,0.37513,,,,,,,0.77246,,,,0.80467,,,,,,,,,,,,,,
1,877,1,1,,,,,,,0.56135,,,,,,0.643825,1.9222,,1.314,,2.5305,1.4995,,3.0873,3.1285,,1.875875,4.0048,2.5718,1.3346,1.1078,,,,,,1.4583,,0.98405,,,
2,260,1,1,1.627,0.45069000000000004,0.69503,-0.032323,0.6723,,,0.7291300000000001,-0.055053,0.11055042857142854,,2.0475,-1.0665,1.1951,,1.2973766666666666,0.85414,,0.21200000000000008,,1.2405499999999998,,-0.003910000000000045,,1.6117966666666668,0.710958,,-0.009566666666666723,1.0246066666666667,,1.3172815,0.2802135,,,,0.91098,0.882555,-0.06357650000000001,-0.50965
1,189,2,2,0.43898,1.4109,0.9492480000000001,-0.19818466666666668,1.4109,0.236485,,,,1.6134,,1.9212,1.629603333333333,0.600975,,0.6252666666666666,1.12745,1.1209600000000002,1.877436,1.05048,0.17170666666666667,-0.3925666666666667,1.905,1.6160899999999998,2.4719,1.0545,1.1760025,,2.3261,,,0.30128,2.3342,0.32153,-0.00042349999999998465,-0.43982,-0.46007,0.2850849999999999,0.009703333333333322
1,81,1,1,1.9497,1.7163,,1.8874499999999999,,0.2928,1.2885,1.712375,2.2141,1.4441,2.7509,0.203345,1.1458333333333333,1.49075,,1.1251066666666667,1.2340666666666666,1.1796,1.370926,2.0702499999999997,1.5763,1.8797,,1.4752,-0.002786666666666678,1.2729,1.0785,-0.3995,0.39393,0.7984100000000001,1.6151799999999998,-0.08835499999999999,1.4440499999999998,1.4441,,0.570905,-0.25170549999999997,0.52615975,0.300565
0,352,1,1,,2.1272,2.6318999999999995,,,,3.4666,,,2.6513,2.7969,,1.8797,-0.5624100000000001,,0.19642999999999997,-0.522375,-0.39135,-0.6825150000000001,-0.3768,1.2573750000000001,,,1.2828,0.45302,,2.0665666666666667,2.5421333333333336,,,3.4993,,,1.5667,,1.6431499999999999,6.8295,1.259165,0.49425666666666673
2,516,2,1,,0.11774,-0.9945,,,0.31211,,-0.45458,,,,0.72245,-0.473475,-0.27640500000000007,0.2473199999999999,,,-0.39194579999999996,0.03494999999999996,-0.31635800000000003,,,0.62527,0.17533200000000002,0.22572333333333336,,0.04934900000000003,-0.37899,-0.35380666666666666,-0.63547,-0.6003685000000001,-0.9837,-1.1133,,,-1.1565,-0.12702533333333327,-1.2213,
0,215,1,1,0.08399033333333333,-0.3961,-0.7813699999999999,,-0.28808,-1.1306,,,,2.091955,,,0.2016099999999999,-1.1594,0.63369,0.8353299999999999,,0.34203,0.460855,1.96955,,0.53287,,1.5483,1.5483,-1.001,,,,0.40325,2.3091666666666666,-0.56893,,0.7921199999999999,-0.08644,,-0.7609599999999999,-0.40571,1.40785
3,353,2,1,-0.35569,,,-0.1688599999999999,-0.8628100000000001,-0.54252,-0.5358499999999999,0.17367,-0.329,0.4183323333333333,,0.058012,-0.20889000000000005,-0.7427,,0.458366,-0.5959033333333333,-0.5758825000000001,0.228165,0.39164,-0.28896,0.08470333333333331,-0.44911,2.7004,0.17812,,,1.139,1.4059,,,,,-0.66263,1.6728,0.8320299999999999,,,1.526
1,208,2,1,0.4770399999999999,0.4421199999999999,0.13072666666666666,0.4421199999999999,,0.787005,-0.25634,-0.099188,-0.88495,1.01834,,1.5116,0.46396,-0.850035,1.6033,,1.2889950000000001,0.586175,1.0969,-0.8762200000000001,,0.075427,,0.5294300000000001,,,,1.3239,,0.7215,1.6382,0.910078,1.5189133333333331,4.1614,-0.1559355,1.245355,1.124367142857143,-0.018862199999999985,-0.081726
0,27,2,1,-0.85514,,,,0.20732,-0.7111,-0.6540600000000001,-0.5888399999999999,-0.73014,-0.87687,,,-0.82796,0.2046,-0.072559,-0.29538,0.019829,-0.4638466666666667,0.08504350000000005,0.05062433333333333,0.465465,-0.32526499999999997,,,,-0.83883,0.31872999999999996,-0.82253,-0.357874,-0.7410100000000001,-0.3932,,-0.963825,-0.3932,,,,,
2,172,2,1,1.0549,1.42225,0.03459199999999995,0.54475,0.6876,0.626375,1.8814,1.8202,,0.57536,,0.84065,0.3815,0.224077,0.16723,-0.053836333333333326,0.327935,-0.143965,0.19019000000000003,-0.12866,0.49713,,0.095812,0.66974,,1.5447,1.0447,0.399365,1.5166225,0.3713,1.6492575,0.9018550000000001,,0.922275,1.2386,,2.3201,,2.4187666666666665
2,636,2,1,,1.2445,-0.71395,,,1.6181,1.471,,,0.46341,,,0.48605,-0.29507999999999995,,1.7143650000000001,0.6973766666666666,1.3012,,0.5596399999999999,3.4974,-0.31772,-0.27244,4.1993,-0.88376,2.5181,1.35777,4.7314,2.3936275,1.6709656666666668,0.61058,-0.27527250000000003,1.3804,0.1747305,0.6049450000000001,0.18039,,0.61058,
1,98,1,1,,-0.67304,-0.47188333333333327,-0.5949399999999999,0.051127,,,-0.61624,-0.50265,-0.49555000000000005,,,,-0.70854,,,,,,-0.84343,,,,,1.0238,,,-0.38905,,,-0.7440399999999999,,-0.60914525,1.4356,-0.38621399999999995,,-0.50975,1.2332,1.0131165000000002
1,53,1,3,,,,,,,,,,,,,,-1.31935,-1.1792,-1.2366,-1.2566333333333333,-1.14155,-1.186,-0.73133,-0.86465,,,-1.104,-1.0971275,-0.93986,,,,,,-1.1586,-0.92619,-0.33819,-0.782585,,,-0.7997,
2,43,2,1,,-0.002928,0.070738,-0.076593,,,,,,,,,-0.4851,,,-0.09891533333333334,1.7383,,,0.050647,-0.016321999999999996,-0.023018,-0.26411,-0.49849999999999994,-0.47617666666666664,-0.3857656666666667,-0.2775,0.064041,,,-0.45831500000000003,-0.55877,-0.2507135,,0.064043,-0.240665,0.037254,,-0.24066625
1,468,1,1,,,,,,1.3976,,,-0.13618,,,,-1.0729,,,,-0.2185233333333333,,1.2638,,1.5623,0.28071999999999997,0.66673,0.028524999999999995,,-0.1104435,-0.594245,-0.2648650000000001,0.47115,1.3873,,,1.15567,,2.2622,-0.12588,1.75443,,1.6189
2,181,2,3,,,,,,,,,,,,-0.2123155,,,,0.46319,-0.31292,,-0.015891,-0.30334,,,,,,,,,-0.08296499999999998,,,0.041599,0.6165,,1.4597,,,,
