fov,cellID,rep,dbscan_ldp_nbr_allele,chr17-g65,chr17-g66,chr17-g67,chr17-g68,chr17-g69,chr17-g70,chr17-g71,chr17-g72,chr17-g73,chr17-g74,chr17-g75,chr17-g76,chr17-g77,chr17-g78,chr17-g79,chr17-g80,chr17-g81,chr17-g82,chr17-g83,chr17-g84,chr17-g85,chr17-g86,chr17-g87,chr17-g88,chr17-g89,chr17-g90,chr17-g91,chr17-g92,chr17-g93,chr17-g94,chr17-g95,chr17-g96,chr17-g97,chr17-g98,chr17-g99,chr17-g100,chr17-g101,chr17-g102,chr17-g103,chr17-g104,chr17-g105,chr17-g106,chr17-g107,chr17-g108,chr17-g109,chr17-g110,chr17-g111,chr17-g112,chr17-g113,chr17-g114,chr17-g115,chr17-g116,chr17-g117,chr17-g118,chr17-g119,chr17-g120,chr17-g121,chr17-g122,chr17-g123,chr17-g124,chr17-g125,chr17-g126,chr17-g127,chr17-g128,chr17-g129,chr17-g130,chr17-g131
1,81,1,1,,-1.0218,,,,,,,0.51839,,0.89176,,,1.2418,0.92288,1.2729,,,0.57284,,1.1951,1.1329,,,,,,-0.018345,,,,-0.3372699999999999,,,-0.7339899999999999,,,,0.45616,,,,,,,,,,,,,-1.1229,,-1.2007,,,-0.92845,,,,-1.2318,-1.2318,,-1.1307,,-1.2163,-1.3641
0,116,1,3,,,,-0.0197535,,,,,,,0.054508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5767,,,,,,,,,,,-1.0408,,,,,,,,,,,,,,,,
3,455,2,1,,,,,,,0.5228,2.2144,2.6473176666666665,1.8215,,-1.11972,,-1.2889,-1.39255,,,,,,,,-1.7254,-1.5944,-0.950555,,,3.6332,,,,,-0.79775,5.4612,,,,4.7136,,3.79145,,,3.4258,2.3999,,,,,,,,,,,,-1.016,,,,,-0.6231300000000001,,,,,1.5487,
3,157,2,2,,,,,,,,,,,,,,,,,,,,,,,-0.97752,,,,,,,,,,,-1.3235999999999999,-1.3143,-0.6127,,-0.83721,,,-1.1926999999999999,,-1.361,-1.2675,,,-1.2581,,,,,,,,-1.1927,,,-0.724955,,,,,-0.63141,,,,
0,89,2,2,,,,-0.80481,-0.69905,,,,-0.7202,,,,,,,,,,,-0.66203,,,,,,,,,,,,,,,,,,-0.69905,,-0.69376,,,-0.46107,-0.73607,,,,,,,,,,,,,-0.81539,,,,,,,,,,-0.87356
2,172,2,2,,,,,,,,,-0.58781,,,-0.77146,,,,-0.97553,-0.40415,,,,,,,,,,,,-0.7510600000000001,,,-0.65923,,,-0.36333,,,-0.36333,,,,,,,,,-0.8224799999999999,-0.53679,,,,,,,,,,-0.49598,,-0.8428899999999999,-0.5776,,,-0.61842,-0.5572,,
1,13,1,1,,,,,,,,,,,,,-0.04616500000000007,-1.1311,-1.016445,-0.98207,-0.5351415,-1.1005,-0.092004,-0.9629649999999998,-1.0699,,-1.00116,-0.26390500000000006,-1.1768866666666666,,-0.02897524999999998,-1.0623,-1.0890499999999999,,-1.2075,,,-0.830545,-1.2762,-1.2762,,-1.3068,,-0.8483700000000001,,,-1.2762,-1.2839,,,,,,,,,,,,,-0.6038899999999999,-0.73377,,,,-1.3373,,,,-0.18113666666666664,-0.3135699999999999
2,68,1,1,,,,,,,,,,,,,,,,,,,,,,,-0.15615,,,,,-0.0753409999999999,1.08295,,,,,,,,2.2053,2.36245,0.8135749999999999,,,0.51727,0.8494833333333333,4.2346,2.776986666666667,1.0889233333333335,1.1517899999999999,1.0021,,1.74738,3.7677,2.6363,2.8608,,,,,,,,-0.59612,,,-1.1349,,-1.283,-0.7757
2,10,2,1,2.1655,,,,,,,,,,,,,,-0.09866233333333334,,,,0.27128,,-0.40856,,0.047573,-0.37079,-0.5363899999999999,,-0.45505,,,-0.4782899999999999,-0.47248,-0.34464,,,-0.49572000000000005,,-0.53058,-0.5945,,,,-0.094787,,0.550195,0.907555,,1.1225,,,,-0.2226199999999999,,,,-0.48119500000000004,,,0.39330333333333334,,-0.07154333333333333,,0.32067500000000004,0.683835,,,,
2,43,2,1,,-0.46836,,,-0.2574099999999999,0.040600000000000025,,-0.31545,-0.43153,-0.76637,-0.43153,-0.588905,-0.27415,-0.036415,-0.451619,-0.27973333333333333,-0.40920666666666666,-0.2998243333333333,-0.44157,-0.44269,-0.52528,-0.55877,-0.81548,-0.52361,,-0.605645,-0.45161999999999997,-0.4694766666666667,-0.74628,-0.736235,-0.791485,,-0.75298,-0.5353300000000001,-0.673956,-0.68936,-0.732885,-0.672616,-0.9003080000000001,-0.71949,-0.7485133333333334,-0.39134499999999994,-0.632435,-0.6458283333333333,-0.68601,-0.7886966666666666,-0.7127950000000001,-0.615022,-0.525285,-0.4382246666666667,,-0.63243,-0.79986,,,-0.47170999999999996,,-0.44492,-0.371255,-0.44492,-0.521935,-0.518585,,-0.525285,0.48369999999999996,-0.5051899999999999,1.5708
1,468,1,2,,,,,-0.16191149999999993,,,,,,,,,-0.043532,,-0.35234,,,,,,,,,,,,,,,,,,,,-0.0023600000000000287,,-0.19794,,,,,,,,,,,,,,,,,,,,,0.24469,,,,,,,,
2,14,2,1,-0.4669399999999999,,-0.4820899999999999,,,,,,,,,,2.3351,-2.5874,0.8457500000000001,-0.13372499999999998,0.75233,-1.114435,0.88108,,0.7599100000000001,,0.95681,1.5021,,,,,,,,2.2745,,,,,,,,,,,,,2.0549,,,,,,,,,,,,,,,,,,,,,,
2,260,1,1,-0.4528246666666667,-0.57784,-0.36758749999999996,-0.74831,-0.66876,-1.066555,,-0.4073699999999999,-0.9528975,,,,0.524555,1.25569,0.24422400000000002,0.01313674999999998,-0.70285,-0.55511,-0.5920575,-0.8278700000000001,-0.10619399999999994,0.030185499999999997,0.46207600000000004,1.215536,-0.8733299999999999,-0.3903216666666666,-0.050515599999999994,0.635365,1.2519,1.918665,0.47058000000000005,0.6192666666666667,0.2631699999999999,0.4222766666666667,0.31999,0.12678566666666666,0.0790538,0.34954,0.2574825,-0.03800500000000001,,1.04168,1.4621499999999998,0.66474,1.3997,,0.16088,3.1158,2.127,0.0017699999999999938,,,-0.7710699999999999,0.058597,,,-0.54375,-0.6233,-0.589205,-0.816505,-0.005806000000000013,0.155195,,0.041550000000000004,,,-0.799455
3,62,2,1,,,,,-0.49407,,,,,1.442,,,,,,,-3.0893,,0.000247,-0.10686,-0.12333,0.000247,-0.209835,0.004364999999999994,-3.0893,-3.0893,,,,,,,,-1.06805,,,,,-0.10686,,,,,-3.0893,-3.0893,,-1.5568845,-0.1562895,,,,,,,,,,,,,,,,,,,
0,149,2,1,-0.85662,,,,,,-0.77578,,,,,,,,,,,,,,,,-0.001094,,,,,,,,,,,,,,,,,,,0.44351,-0.071825,,,,,-0.49959,,,,,,,,,,,,,,,,,,,
0,648,2,1,,,,,,,,,,,,,-0.23696,-0.22299,,-0.10424,,0.25901,-0.058832499999999996,0.077386,0.0331453333333333,,,0.12628,,,-0.37667,-0.41858,,,,,,,,,,,,,,-0.7585433333333333,-0.43953999999999993,-0.97044,-0.04602666666666666,0.000546,-0.6449119999999999,-0.2649,,,,,,,-0.62815,-0.62815,,,-0.25792,,,,,,,-0.30681499999999995,-0.69102
2,648,2,1,-0.68717,-0.98733,,,,,,,,,,,-0.92208,,,,,,-0.25651799999999997,-0.26957,,-0.52731,-1.0004,-0.72633,-0.6784766666666666,-0.6175753333333333,,,-0.77853,,,,-1.0265,,-0.92208,,,-0.92208,-0.50447,-0.928615,0.16109,,,-0.3739699999999999,-0.45227,,-0.71328,-0.47837500000000005,-0.4914199999999999,,,,,,,,,-0.60887,,-0.9025049999999999,-0.8176800000000001,-0.72633,,-0.5501499999999999,,,-0.582775
0,610,2,1,0.48255,0.039463,0.48255,-0.70824,0.3683099999999999,0.2887,,-0.09207499999999999,,,,,-0.86055,,,,,,,-0.8651599999999999,,,,-0.31131000000000003,0.76986,-0.7843899999999999,,-0.61131,,,,,,,,,,,,,,,,,,,,,,,,-0.279,,,,,,,,,,,,,-0.55593,,-0.72901
2,117,1,1,,,,,,,,,,,-1.0883500000000002,,,-1.1092,-1.03095,-1.1613616666666666,,-1.177035,,,-1.1301,-0.984,-0.9561666666666667,-1.0257,,-0.61882,-1.1196,-0.9214,,,-1.2135,,-0.7492599999999999,-0.425805,-1.1196,-1.0362,,-0.6396999999999999,-0.35798450000000004,-1.2448,0.17413,,-1.0779,-0.5875199999999999,0.17413,,0.028058,-1.010065,,,,-1.1927,-0.89008,0.17413500000000004,1.6035,,,,-0.984,,,-0.69186,-0.60839,-0.5040600000000001,-1.3074,-0.94227,-0.8588
2,792,2,1,-0.97977,-1.0158399999999999,,-1.2251,,,,,,,-0.619035,-0.95091,-0.87877,-0.79219,,-0.69118,-0.44588,-0.3881699999999999,-0.80662,-0.77776,-0.40740766666666667,-0.17172,,-0.79219,-1.3549,,-1.1577333333333335,,-0.6046100000000001,,,,-0.96534,-0.96534,-0.6046100000000001,,,-0.82105,,-0.69118,,,,,,,,,-1.0086,,,,,,-0.2583,,-0.57575,-1.1241,-0.35931,,-0.34488,,,,,,-1.1096
2,555,1,1,0.034571,-0.9477766666666666,-0.9668833333333332,,-0.011300000000000004,0.59646,0.80286,-0.76812,,0.18364,,1.6858,0.35564000000000007,0.5735166666666667,,0.864772,0.14005800000000002,0.36711,-0.768105,,-0.48144599999999993,-0.45564525,-0.4623333333333333,-0.9057299999999999,-0.252105,-0.7222533333333333,-0.96306,-1.2727,,,,,-0.77959,,,-0.8866,-1.2153,-0.8025093333333334,-1.0777,-0.95924,,-1.2268,-0.42411,-0.7681321999999999,-0.6792475,-1.3759,-0.41837775,-0.756655,-0.58465,,,-1.38735,-0.5187,-1.4217,-1.2497,4.0022,-0.20624,-0.40118,,,,-0.90573,0.65379,-0.74519,-0.80252,,-0.66492
2,181,2,2,-0.65307,-0.8303333333333333,-0.69619,,,,-0.9549,-0.988445,,,,,,,,,,,-0.3392725,-0.7249399999999999,-0.58121,-0.61954,0.0368075,-0.17398999999999998,-0.7441,-0.4279,,0.2715599999999999,-0.66745,,-0.46144,,-0.82075,,-0.8303299999999999,0.2715599999999999,-0.37041,,-0.5572550000000001,,-0.49498,,,-0.62912,-0.49498,,,,,-0.13087,,,-0.00631,-0.45665,-0.26022499999999993,,-0.2937599999999999,0.54943,,,,,,,,,
1,877,1,2,,,,,,,,,,,,,,,,,1.4377,,,,,3.3827666666666665,,1.1284,,,,,,-0.52118,,,-0.71707,,,,-0.49025,-0.4971266666666667,,,,,,,0.4238866666666667,,,-0.12941,0.4788699999999999,0.339685,,,,,0.12834,,,,,,,,,,,,
1,233,1,1,-0.12644166666666665,,,-0.57124,-0.85777,-0.19466,-0.563055,-0.75135,-0.33793,,,,0.018185,-0.28062,,,,-0.36385533333333325,-0.30928,-0.6121800000000001,,0.10005,,-1.0788,,,-0.7186049999999999,,,,,,,,,,-0.3038166666666667,0.14098,,,0.083677,0.280155,0.171,0.34155500000000005,-0.75135,-0.39114,-1.0461,,-0.861865,-0.4975699999999999,,-0.8659600000000001,,2.9858000000000002,,-0.4811899999999999,,,,,,,,0.6035200000000001,,,
1,77,2,1,,-0.023587,-0.11859,,,,,0.028231,,,-1.1751,-1.1463,-1.016765,,-1.01101,-1.0398,-1.0714325,-1.201,-0.29898666666666657,-0.1761599999999999,-0.6818666666666666,-0.470755,-0.8584299999999999,-0.7914975,-0.82676,,,,,-0.25677,0.44423,0.98398,,,,,,1.3237,0.74217,,,-0.8037350000000001,,-1.1981,-1.0762666666666667,-1.0465333333333333,-1.01773,,-1.0887,-0.8094899999999999,,-0.452525,,-0.8094899999999999,,,,,,,,,,-0.92176,-0.88146,,
3,741,2,1,-0.36612,-0.79893,-0.8164250000000001,-0.95631,-0.44482,,,,-0.70712,,,,,-0.47104999999999997,0.10603,-0.46667333333333333,,-0.0513559999999999,,-0.66777,,-0.018568,0.119145,-0.2437126666666667,,0.30276,,-1.153,,-0.9475566666666667,-0.6612199999999999,-0.477605,-0.4317,-0.36612,-1.048135,,,-0.10381499999999999,-0.62843,-0.038241,0.1716,-0.28743,-0.4317,-0.51695,-0.46448999999999996,-0.56285,-0.6513825,-0.326779,-0.30710499999999996,,,-0.300545,-0.15628,-0.5208860000000001,-0.15628,,,,-0.077587,,,-0.674335,-0.27432,,-0.33989,,-0.8076733333333334
2,841,2,1,-0.7872399999999999,0.9907250000000001,,,,,,0.95572,-0.13625,1.3057,0.94173,,,0.9603866666666666,1.2310433333333333,1.7257,0.35840200000000005,0.6057266666666666,0.8577199999999999,1.5213088,0.89972,1.221715,-0.26225,0.28374,,0.4237399999999999,2.1037,-0.20625,-0.11291999999999996,,-0.17124799999999996,,,,0.07374333333333334,,0.35373999999999994,0.1017425,,,,-0.038255,1.0677,,,-0.66824,,,,,,,,,,,,,,,,,,,-0.87823,,-0.40924499999999997
2,584,2,1,,-0.5361199999999999,,,0.92685,,0.59961,0.38786,0.64452,,-0.42062,,,,,-0.65162,,-0.79278,-0.29229,,,-0.54895,,-0.62595,,,,,,,,,,,-0.92111,,,-0.49119999999999997,-0.51045,-0.63878,,,,-0.95961,,,,-1.1778,-1.2933,,,,,,,,,,-0.7671100000000001,-0.7671100000000001,,,,,,-0.36929,
0,750,1,1,-0.8025100000000001,,,,,,-1.2043,,,,,,,,,,,,,,-1.1551,,,-0.40071,,,,,,-1.0321,,,,,,,,,,,,-0.64671,-1.0157,-0.23671,,-0.888605,-0.872205,,,,,,,,,-0.95831,,,,,,-0.5565100000000001,,,-0.90911,-1.0047733333333333,-0.95831
2,711,2,2,,,-0.19054,,,,,-0.576185,,-0.6160800000000001,,,,0.71373,,0.1951,0.181805,,1.3919,1.0661,,-0.41661,-0.27033,,,,,,-0.60278,,,,,-0.25703,,,-0.12405,,,,,-0.170595,0.0621203333333333,-0.5562349999999999,-0.35012,,0.015580499999999994,0.11531,0.035526,0.215045,,0.9132,,-0.084157,,,,,,,-0.4698,,,,-0.64267,,-0.33016999999999996
1,718,1,1,,,,,-0.64537,,,,,,-0.7596,,,,,,-1.3923,,-1.4538,-1.4538,,,,,-1.2517,,-0.4608399999999999,-1.1814,-1.04371,-0.8299,,,,,,-0.750815,,-0.6805166666666667,,-0.58386,,,,-0.97049,-1.0671,-1.0584,-0.51357,0.05758333333333332,0.38269999999999993,,,0.14545,,,,,0.94506,,,,,,,,,,-0.030286
2,80,2,1,-0.58599,-0.3976133333333334,,-0.0020200000000000218,-0.4579,1.0341,0.24287000000000003,0.1599799999999999,,0.6874399999999999,-0.32226,,,-0.4579,0.32826799999999995,0.3182233333333333,,0.3207333333333333,,-0.4403166666666667,,-0.08867666666666661,0.07709000000000005,-0.54832,0.74019,,-0.90247,-0.6199049999999999,-0.73293,-0.76684,-0.6651149999999999,-0.77437,,,-0.51064,,,-0.28459,,,,-0.115048,-0.23184,-0.60106,0.1788200000000001,0.15244999999999997,-0.115048,-0.03593,0.20142499999999997,0.261705,,0.92103,,-0.21677,,,-0.4805,,-3.0123,,,,-0.84972,,,,
0,613,1,1,,,,,1.420745,,3.3608,1.2861,-0.294961,,,,,0.31212550000000006,0.21711,-0.05212500000000006,0.12208,,,0.066653,,,,-0.66977,0.066653,-0.10755499999999996,0.2646199999999999,0.14055766666666672,,,-0.40054,,-0.9786,-0.6301800000000001,,-0.056085000000000024,-0.83606,,-0.68561,-0.24217,-0.68561,,-0.57475,-0.012546666666666631,,,-1.0657,,-0.0838,,,,,-0.0758809999999999,,,,-0.1709,-0.39261999999999997,,,-0.19466,,,,,
0,275,1,1,-0.77722,-0.41889,0.69909,0.3981,,0.25477,-0.38306,0.84959,,0.60593,,,-0.33289,,,0.5271,,,,0.308505,,0.2117699999999999,0.6453345,0.57726,,1.0001,-0.662555,-0.6661349999999999,,,,,,-0.30423,,-1.243,-0.008006666666666643,,1.9317,,,,-1.2359,-0.6553899999999999,,,-0.37589,,-0.042649999999999993,,,,,-0.67689,,,,,,,,-0.41889,,-0.74855,-1.0209,-0.6410600000000001,-0.36156
1,468,1,1,,-0.79497,-1.0832,,,,,,,-1.2685,,,,,,,,,,,,,-1.2479,,-1.2479,,,,,,-1.0111,,,,,,,,,,,0.01823,0.01823,,,,,0.01823,,-0.5273129999999999,,,,,,,,,-0.52733,,,,-0.19794,,,,
0,164,1,1,-0.997015,-1.20215,-1.30675,-0.65377,,0.28385000000000005,-0.54494,-0.63703,-0.67889,,,,,-0.87981,0.50989,0.45964999999999995,,0.27549,-0.47377999999999987,-0.66842,-0.2603,,-1.2984,,-1.3905,-1.424,-0.5616800000000001,-0.81283,,-1.131,,,-1.2984,,,,,,,,,,0.13317,-1.3905,-1.3905,,-1.3737,-0.46399999999999997,,,,-1.2398,,-1.1839833333333332,,-0.05101,,0.015964,,,,0.19177,,,,,-0.94678
3,718,2,1,0.5002300000000001,-1.2441,,-0.8866799999999999,,,-0.50778,0.22857,,,0.25716,0.8576799999999999,,,3.0739,2.3375500000000002,,2.2446,0.29291,,1.2866,-0.085989,0.35725,,,,,-1.044,-0.85808,0.42874500000000004,,,-0.085989,,-1.0583,-0.951025,-1.0011,,-0.5435300000000001,-0.5935699999999999,,,-0.8723799999999999,-0.42199499999999995,-0.31476,-0.21467000000000003,-0.043094,-0.4720399999999999,,,,-0.7294,,,,,,-1.1869,,,-1.0726,,-1.0583,-1.3299,,-0.60072,-0.73655
2,1001,1,1,,,,,-0.60027,-1.2138,,-1.2284,-0.89244,,,-0.57105,,-0.42496,,-1.1992,-0.93627,,,,,,,,,,,,,-0.03537999999999997,,,,,-0.6294833333333333,0.04739000000000001,0.18861,0.18861,0.071737,-0.84862,-0.0597419999999999,-1.3745,-0.4395699999999999,,-0.68792,,-0.80479,,,,,,,,,,,,-0.6440899999999999,-0.83401,,,,,,,
3,157,2,1,-0.467715,-0.32506274999999996,-0.364819,-0.47239,-0.66883,-0.902665,,-0.82785,-0.73431,,2.8577,-0.41627,0.4817195,0.73429,0.7498866666666667,-0.082633,0.12627549999999996,-0.09198799999999996,0.30868524999999997,-0.318045,0.197374,-0.17773500000000003,1.6666033333333334,0.590238,0.3726036666666667,0.03585366666666664,-0.06704316666666668,-0.3454427142857143,-0.17773649999999996,-0.23854,0.24788000000000002,-0.38352775,-0.18864999999999998,0.21280625,-0.26659666666666665,0.243205,-0.053791000000000005,-0.22215975,0.36013225,-0.40925,,-0.204237,0.1917599999999999,-0.5004535,-0.6514571428571428,-0.7436599999999999,-0.44433,-0.493438,-0.2291805,-0.42695814285714284,,0.44432,-0.63141,-0.5160466666666667,,-0.5347533333333333,,,,0.33207,0.1917575,,-0.28531,,,,
0,55,2,1,0.4299933333333334,-0.040995000000000004,-0.55189,,-0.1986403333333333,-0.43024666666666667,-0.3708845,-0.5664849999999999,-0.52561,,-0.8584200000000001,,-0.8992899999999999,0.11275666666666673,-0.8701,-0.6715800000000001,-0.5986,1.4440100000000002,1.60845,0.99246,0.580835,0.805631,1.3797683333333335,0.565648,0.8756900000000001,0.904895,0.15168500000000001,0.574995,0.046585,-0.4360866666666667,0.05631666666666665,-0.017640000000000006,1.20557,0.6596299999999999,0.3239206666666667,-0.0030449999999999644,0.5650658,-0.56648,-0.004989999999999976,0.87133,0.63338,0.4936714285714286,1.180482,0.8348209090909091,0.7589170000000001,0.038556249999999986,0.014798888888888905,-0.14025412499999998,-0.5548000000000001,-0.4789185,,-0.309595,-0.365045,-1.1212,0.18964999999999999,-1.18245,,,,,,,,,,-0.13733749999999997,-0.44678999999999996
0,116,1,2,-0.10329,,0.39796000000000004,,,,,-0.3539199999999999,,0.40724,,1.7068,0.9757825,0.8063899999999999,1.8862333333333332,2.4958,1.2055,1.5026000000000002,,3.5633,,1.419,0.0080959999999999,,,,,1.7625,1.7161,-0.21468499999999996,,,0.7321300000000001,,,,,,4.3802,,,,,1.8089,0.32834,-0.50244,,-0.18684,,0.7878033333333333,,0.6671600000000001,,0.4907899999999999,,,,,0.54648,1.5304,0.31441749999999996,,2.0503,,,0.38868,-0.5767
1,98,1,1,-0.68014,,1.1303,,,-0.36775,-0.10507,,-0.0695669999999999,,,,0.5481,-0.215115,0.48421,-0.7511399999999999,,,,-0.399705,-0.5381499999999999,-1.0848,-0.8647299999999999,-0.89313,,-0.44938999999999996,-1.0777,,,,-0.33935333333333334,-0.9191566666666667,-0.94993,,-0.8576299999999999,-0.68724,,-0.70144,-0.92863,-0.8150299999999999,,-0.6233433333333334,-0.50265,-0.28965749999999996,-0.28255899999999995,-0.8670966666666667,-0.6560016,-0.7369399999999999,,-0.62334,,,,-0.5523476666666666,,-0.31805599999999995,-0.168962,0.15762,-0.5097449999999999,-0.612695,-0.72747,-0.45295,0.00498000000000004,-0.8860299999999999,-0.69434,-1.0564,-0.37485199999999996
1,612,2,1,,,,-0.68755,,-0.56593,,,,-0.89602,,,,,,,,,,,,,,-0.61805,,,,,,,,,,-0.63543,-0.9134,-0.35746,,-0.70492,-0.46169499999999997,,,,,-0.93077,,,,,,,,,,,,,-0.44432,,,-1.095835,,,,,-0.77441,-1.0003,
2,730,2,1,-0.46296,-0.224799,-0.3677,,,,-0.14314,0.3263849999999999,0.312775,,-0.551425,,0.34,-0.5945233333333334,,-0.63989,,-0.660305,-0.78959,-0.605865,-0.81681,-0.50379,-0.6569025,-0.65622,-0.35409,,,,,,,,,,-0.13634,-0.38131,,,,,,,,-1.143455,,,0.43526,-0.9392799999999999,,-0.2452099999999999,,,,,,,,-0.58545,,,,,-0.49018,-0.40853,-0.6126699999999999,0.4760899999999999,
1,81,1,2,,,,,,0.12167,,0.42245,,,,,,-1.0529,,-1.0296,-0.994585,-0.9129,-0.7962100000000001,,-0.48507,-0.072797,,-0.55508,-0.67953,-0.04946,-0.018343999999999992,-0.14863249999999997,0.18001,-0.45784,0.04777350000000001,0.08666499999999999,0.40171,,-0.44098999999999994,0.152778,0.92288,-0.35283,0.3550335,0.7225825,0.79064,-0.29578666666666664,0.4794899999999999,0.1761245,-0.1305805714285714,0.23057000000000005,0.26169,-0.12336000000000003,-0.22836499999999998,0.8684299999999999,,0.35892,0.15279,,,,0.21502,,-0.05723966666666668,,,-0.53174,,,-0.24652,0.31095333333333325,0.14501
1,84,1,1,-0.8113250000000001,-0.92625,-0.96005,-0.6017600000000001,,,,0.8990100000000001,,,,,,-0.77077,-0.10150500000000001,,-0.591615,-0.270511,-0.83161,-0.791045,-0.8992,-0.3110699999999999,-0.80862,-0.7842899999999999,-0.71161,-0.4710633333333334,-0.4530399999999999,-0.23671,-0.7189333333333333,-0.784285,-0.983715,-0.858645,-0.96341,-0.92625,-0.79105,-0.91273,-0.8856999999999999,-0.8282275,-0.8992100000000001,-0.6288,,,-0.92625,-0.91273,,-0.5341600000000001,-0.000101,-0.35500999999999994,,-0.4350066666666667,0.074262,-0.29079,,,-0.41923,,0.03370000000000001,,0.15876299999999996,0.36044533333333334,,0.02693999999999999,-0.595,-0.27727,1.90965,-0.505425,
2,636,2,1,0.70115,-0.43659,,,,,,,,,,,-0.87244,-1.18945,-1.3026499999999999,0.596425,-1.1781,,,0.16533333333333342,,-1.1668,-1.0309,-1.3026,-1.1555,,-0.62338,,,,,-1.0649,,,-0.72527,,-0.091305,-0.07998333333333334,,-0.521495,,0.55398,0.37285,0.28228,,0.22568,0.055865000000000054,0.29359999999999997,,,,,-0.28376,0.0785049999999999,,,,-0.8611200000000001,,-0.6347050000000001,-0.81584,-0.7196100000000001,-0.5667800000000001,,,-0.72527,
