fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98
1,142,2,3,,0.085735,,,,,0.089439,0.085735,,,,,,,,,,,,0.2178699999999999,,0.4216399999999999,,,0.098905,0.023988,,,,,,0.10302,,,0.11414,,,,,,,,,-0.053812,-0.058752,,,,,,,,,,,,,,0.2154045,,,
2,210,2,3,,,,,,,-0.24045499999999995,,,,-0.33551,,,,,,,,,,,,0.17276666666666662,,-0.09947399999999999,0.11509399999999999,,,0.45707,,,,,,,0.36856,0.36856,,,,,,,,,,,-0.2168199999999999,-0.22084,,,,,,,,-0.34556,,-0.44011,,-0.30332000000000003,-0.20374499999999995
2,1001,1,2,,-0.06704,,,,,,0.3538699999999999,,,0.97146,,,,0.3184599999999999,,,,,,,,,,0.23192,,,,,,,,,,,,,,,0.45221,0.31748,0.49155,,,,,,,,,,,0.749205,0.2594599999999999,,,,,,,,
1,77,2,1,,,,,,,1.081215,0.524425,0.55771,0.64547,0.54712,-0.032373,,0.11288,-1.7088,-0.5074666666666666,1.0631,-0.71929,1.3807999999999998,-0.02229333333333335,,-0.10197499999999995,-0.41970999999999997,0.09068999999999998,-0.17157,-0.1957799999999999,0.77861,0.30655,,,-0.42274,2.2977,,,0.5440799999999999,1.7651333333333332,1.443738,,,,-0.14736,,0.57889,,0.6439507499999999,,,0.58495,,,,,,,,,,1.0691,0.7952575,,,0.20063
1,194,1,1,,-0.94598,-0.22218,-0.31154,,-0.91917,,,,,,,,0.872465,0.44801,0.48822,,0.9953500000000001,,0.73398,,,,,,,,,,,,,,,-0.7538600000000001,-0.58408,,,,-0.17303,-0.17303,,,-0.16409,0.60439,0.045898,-0.08813999999999995,,,,,-0.8879,-0.87003,,-0.47238,,0.6341733333333334,,1.0601,,,0.78757
3,455,2,1,0.27521,-0.43976,,-0.13106,0.09287000000000004,0.22243000000000004,,,,,,,,,,,,,,,,,,,2.1802,,1.5996,1.06214,1.35165,,,-0.35339,-1.0396,0.28481,,-0.4413500000000001,-1.1068,,,,,,,,,,,,-0.67009,-0.49977,,,,-0.33899,,,,,,,,
3,853,2,1,,,,,,,0.22751,,,,,,,,,,,,,,,,0.21527,,,,0.85214,,,,,,,,,,,,,,,,,,,,0.944,1.2563,,,,,,,,,,,,,,
0,648,2,2,,,,,,,,0.8251299999999999,0.8251299999999999,0.61641,,,,,,,,,,,,0.6067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,612,2,1,2.4716,,3.7602,5.4784,4.3272,,,0.40981,,,1.2947,,,,3.6915,,-1.1881,,,,,0.80499,0.83935,,,0.6073999999999999,,-0.32899,,,1.75,0.13491,-0.6039,0.56445,,,,,,,2.5747,,,,,,0.71908,,,,,,,,,,,,,,,4.1038
1,831,1,1,,,,,,0.34958,0.47038,1.0005,1.0005,,0.53077,0.1751,,,0.3026,1.0609,,,0.7388100000000001,,,,,,,,,,,0.72539,0.71197,,,,0.34287,,,,,,,,,,,,,0.9804,,,,,,,,,,,,,0.054301,
0,884,1,1,,,,,,0.51389,,,,,,,,,,,,,,,,,2.5781,,,,,,,,-1.6519,,,,2.6957,1.5834,-1.7856,,,,,,,,,,,,,,,0.96844,,2.1396,,,,,,,,0.40159
0,646,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44471,,,,0.99908,,,,,,,,,0.76054,,,,,,,,,,,,,,,,
2,578,2,1,3.7739,0.36838,3.34225,5.1889,,0.71855575,,0.056844,0.177534,0.16921124999999998,0.5229600000000001,,,0.27325,0.734615,0.30893,,0.78456,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,0.43735,,,,,,,,,2.2971,1.869,,-0.13579,,,-0.047795,,
0,620,2,1,,,,-0.33612,,,,,,,,,,,,,,,,,,1.5906,,1.169,,0.816353,1.565,0.6173833333333333,-0.31642,-0.020916500000000053,,,,0.0460649999999999,,,1.3069,,,,,,-0.17852,0.39673,,0.12880766666666665,,0.18791,,,,,,,-0.21398,,,,0.010604,0.4046099999999999,,0.010604
2,18,1,1,-0.631045,-0.20092,,,-0.10465999999999999,,-0.68942,-0.64026,-0.462835,,-0.65255,,,1.3782,,,,,,0.92046,,,,,,,,,,0.52107,,1.4458,,,,-0.20399,,,,,,,,,,0.090945,,,0.92046,0.69004,1.0833,,,,,,-0.27363066666666663,-1.3392,-0.44671,-0.64487,-0.28079999999999994,
1,81,1,2,,,0.40433,0.40433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837,,,,,,,0.39538,,0.27901,,,,,,,,,,,,,,,,,,,
2,30,1,1,,0.111435,3.58085,2.6197,1.0245333333333333,1.5140500000000001,2.11967,-0.1567065,2.46155,1.769835,1.429706666666667,1.7561,,,1.1593,2.8892,0.15544,0.33421,0.13069,0.17194,0.17469,,,0.10319,0.79075,0.55423,,,1.0685,1.5196,1.3004566666666666,1.372154,1.28855,1.2074,0.97089,1.7863,1.7121,,2.3034,,1.9128,,0.13756500000000002,0.2737,,,0.57210275,1.3215,0.2627,-1.5442,1.8065,,0.7604666666666667,1.6554099999999998,1.0905,-0.312095,1.2033,1.6144500000000002,1.0685,-1.5442,,
2,636,2,1,0.125725,-0.19221,,0.57409,,0.6664666666666667,,1.161,,,0.27246499999999996,-0.1037,,1.3043,1.1618233333333334,1.6921,1.46035,1.6478,,1.80275,,0.80934,,-0.1433,1.571,,-0.218995,,,1.0344866666666668,1.4654,1.49645,1.7270666666666665,1.7439,1.3714366666666666,1.02477,0.9188175000000001,,,,,1.0725,0.7021949999999999,0.22859566666666664,0.78605,0.1804599999999999,0.74412,,0.7278133333333333,1.5523500000000001,0.42969999999999997,1.026,0.47394,1.4429,1.6618,,,0.18512,-0.07691549999999994,-0.11535,,
3,455,2,2,,,,,,,,,,,,,,,,,,,,,,1.2637,1.3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2426,,,,,,,
1,663,1,1,,,,,,,,,,,,,,1.0452,,0.97912,,,,,,,,,,1.5411,,,,,1.8056,1.1995,1.486,,,,,,,,,,,,1.7064,,1.7505,,,,1.1665,,,,,,,,,,,
0,750,1,1,,3.1575,,,,,,,,,,,,,,,,,,,,,,0.94072,,,1.3395,2.1268,,,1.0339,,,,,,,,,,,,,0.5833349999999999,0.471975,1.033955,,,,,,1.9455,1.2515,,,,,,,,,
3,353,2,2,0.9474199999999999,1.1137133333333333,,,4.4236,1.3936,0.53366,1.3936,,0.30853,,,,0.50729,,0.70402,,3.1854449999999996,-0.4672299999999999,,,,,,2.0771,,0.24769,,,-0.582835,-0.5013733333333333,-0.61833,4.6224,1.1062866666666666,,3.834146666666667,4.40435,,,,2.5252950000000003,,,,0.59653,1.04879,0.7790566666666668,1.8641233333333334,,4.164,2.4036,,4.4277,2.3488,,,,,,,,
1,81,1,1,,,-0.2014,,,,0.18054,0.66842,,2.4722,,,,,3.7433,1.5531,2.0664,1.2995,,,,,,,0.35661,0.04327999999999996,,,,3.348433333333334,0.04477500000000001,,,,0.95934,,,,,,,,,-0.07309,2.1111,2.2245,,0.75942,4.3073,5.653,4.8742,4.84135,3.26092,2.2842,2.73176,,1.953,1.1563,,,0.86982,
1,826,1,1,,0.76258,,0.7751600000000001,,,-0.37144,-0.41816,-0.23126,0.36809949999999997,,,,,-0.37144,,,,,-0.033568,,,1.9169666666666665,2.70535,1.6702,0.35462,,0.7104600000000001,1.5336,1.377202,2.4286,1.0070000000000001,,0.85783,2.8838500000000002,,4.575100000000001,,,-0.3283,1.5911,,0.6924899999999999,1.465295,1.0124,,0.30071,-0.2600099999999999,1.503005,,2.4537,0.7643800000000001,4.8224,3.0959000000000003,2.2332666666666667,,,,1.81755,,-0.0120019999999999,0.35822
0,610,2,1,,,,1.2526,-0.58924,,,,0.6715,0.86356,,,,,1.7894,,,,,,,,,,,,,,0.115,,2.6611,,,,,1.622,,,,,,,0.58285,,,,,,,,,1.0212,,,,,,,,,,
1,233,1,1,,,0.46031,0.6411100000000001,2.0045,,,0.56109,1.407315,,1.4414,0.93158,,,,,1.1005,1.6429,,,,,,2.2446,,0.54923,2.13345,0.72707,1.50065,,1.6103,0.69743,2.34685,3.2998,,,,,,,1.2398,,,,,,0.92269,,3.0123,,2.77665,2.28465,,3.2998,3.4865,,,,0.52255,,1.3702,
2,199,2,1,0.6392216666666667,0.9741916666666667,0.9941,1.55926,1.715025,1.1802367142857142,,0.345105,0.215229,0.4132399999999999,0.02147349999999995,,1.2854,4.0822,4.027166666666667,0.80842,2.0305750000000002,,1.1065,2.27075,0.30082,0.4047199999999999,1.3135,1.2798025000000002,1.056275,0.6182033333333333,,,1.860225,0.9089149999999999,2.1381666666666668,0.7964899999999999,1.6532733333333332,,3.01085,,,,,,,,1.93685,0.5239550000000001,,,0.99238,0.62446,2.3386,,3.8318,3.716,,2.769,2.4555,2.7179,0.31189,1.1814,2.0774,,0.88642,0.39392866666666665
2,770,2,1,1.3316033333333335,1.7866333333333333,2.3275666666666663,2.2737499999999997,3.0871500000000003,1.0863,,,1.4746,,0.52025,,,,0.27500499999999994,,0.8738,,0.19326,,,0.48755,1.3152,,2.2308,,,,1.8936,3.4948,1.912015,,1.6611500000000001,2.2996216666666665,1.997412,3.1320499999999996,1.9794,,,6.6411,,,-0.16643,0.28522,0.7171366666666668,1.1272069999999998,0.783895,0.126838,3.14535,2.63955,,2.9645,6.444059999999999,,1.273325,,,,,1.8609,-0.043808,
2,43,2,1,,1.2814833333333335,2.154510166666667,5.083025,1.774245,4.526678333333334,0.987749,,0.20493,0.34329,0.8206533333333333,,,,4.403084000000001,0.07894999999999996,4.8480913333333335,,3.197053333333333,4.836325,,2.8374,,1.3724885,0.42177333333333333,0.584205,0.49439,0.8639600000000001,,1.2374825,0.8400000000000001,1.5217775,0.7996266666666667,0.37788,1.35367,1.713743,0.45778,,,1.4235,,,,,3.02975,,,,4.3642,4.860233333333333,6.430733333333333,5.993,7.4773,5.554866666666666,3.7213000000000003,1.5788,,,,2.2415,-0.38371,
1,36,1,1,,6.0972,,2.22783,,,,4.2096,3.1564,3.00245,3.909,1.9713,,1.612,2.5577,1.3017,1.3799000000000001,,1.1209,1.375,,4.041,,,2.9315666666666664,1.44465,1.6670500000000001,1.4801,-0.18398,,,,,,,,,,,,,4.7423,,,,,,,,,,,,,,,,,,,,
2,260,1,1,,1.5357,1.7533,1.0814,,,0.5348950000000001,0.7643966666666667,0.29436,,-0.056587,,2.8251,,4.6279,1.6895,2.1177,,2.937866666666667,1.7179,2.51755,1.2707033333333333,,,,1.58678,2.3188,0.8243066666666667,0.5904925,0.90871,1.2383566666666666,2.0822,,3.5964,0.4047699999999999,1.5049,,,,0.789235,1.4055533333333334,1.502565,1.706035,0.79515,0.661475,1.2147,,,2.7577,2.5956,2.4868,0.98089,3.1729,2.29515,4.3535,2.3259,,,,,,
2,555,1,2,,1.14061,0.71203,1.08339,,,0.88679,,,0.58409,0.231455,,,0.19401,-0.043164,,,,,,,,,,,,0.916455,,0.206488,1.8744999999999998,2.1902,3.0197833333333333,2.8091,2.9901,3.0088,3.0452333333333335,3.1368,,2.2911,0.93048,0.8223106666666666,,3.0619,0.5591166666666666,1.233165,0.791922,0.82437,,1.1614,,1.4891,1.709055,2.2682,2.3816,1.358,2.3857666666666666,1.6357,1.099,,,,
2,569,2,1,2.3386,2.3921599999999996,2.3386,2.11465,2.67695,1.60815,0.53354,0.73106,0.005522,0.73497,,,,3.6469,2.7933,2.37185,1.98365,3.1189,,,3.1189,,2.1479,,2.0325499999999996,,0.873825,2.4012,,1.030275,1.4383666666666668,,1.6326,0.914895,1.7010666666666667,1.0029,2.1763,,,,,,0.8229799999999999,0.53159,,,0.0153,1.46735,0.6191025,1.1476199999999999,0.983835,1.1652033333333334,0.782306,0.6098125,0.93641,0.8014650000000001,0.62546,0.479765,0.1033,,2.4188,
0,646,2,1,,2.1649,,2.9108,,,2.5513,,1.8962,,,,,,,,,,,,,,2.9880999999999998,,,2.3027,0.814285,,0.62949,2.5984,1.3888,2.0565800000000003,1.907594,,2.9040999999999997,3.3486999999999996,2.1649,,,,3.7306,2.895685,2.447175,-0.400285,0.33608,0.37919425000000007,0.31030433333333335,1.4770225,3.6488666666666667,4.3488,4.64654,3.4349333333333334,3.5559,3.3710999999999998,2.773075,5.673733333333334,4.468666666666667,2.004773333333333,0.50115,,0.835557,2.70251
0,27,2,1,,,,,,3.23,2.9546,0.651305,2.40365,3.9443,1.53155,,,1.039,0.4114,0.69782,0.3645766666666666,,0.42235,1.7359,,1.7851499999999998,3.5384,,2.15,2.3325,,0.17423,3.2136,3.1479,,3.296333333333333,3.9324,2.43827,2.33611,5.7002,3.8613,,4.4232,5.2168,4.27905,4.2371,,,,,,,,,,2.5496,3.2738333333333336,,1.2105,3.1954,0.47525,1.7195,,,1.2287,0.8711399999999999
1,468,1,1,0.5735414999999999,0.92664,,2.3859575,2.4707766666666666,2.5466,,,1.8560333333333334,1.8103,,1.1409,,,,3.5943,,,,,,0.730835,0.8329200000000001,0.73585,,1.7902,,,,,4.5381,3.08885,,,1.8806,3.0637499999999998,,,,,,,1.1643,1.04548,,,,0.3559605,,,,,3.50725,3.9959499999999997,-0.020589,,,,,,,
2,603,2,1,0.8156300000000001,1.4373,1.7213,0.28047,1.3826,0.8326,1.6757,,0.7349100000000001,0.67333,,,,,,,0.842155,0.60538,1.3083,,,4.137995,,1.7861025000000001,1.54117,2.204455,0.91117,,1.4803,0.26630966666666667,0.84323,1.7409974999999998,5.4004,3.9452499999999997,2.8054,3.4233833333333332,5.2659666666666665,,,,,,0.7489306,,-0.069928,-0.14318999999999998,,,4.024900000000001,5.346299999999999,3.3427,4.6466,5.4012,5.4875,4.0477,0.095713,2.0961,1.5238099999999999,,1.2275999999999998,-0.22707,-0.23769
2,1229,1,1,,,1.1255,,,,,,,,,,,,,,0.8383200000000001,,,,5.2862,,,,0.063597,,,,3.0216,,,,,,,,,,,,,,,,-0.35356,,,,4.2406,,,5.5679,,6.4889,3.1516,,,,,1.846,,
2,80,2,1,,0.8384625,,1.6683,1.5145333333333333,0.45916666666666667,0.1361405,0.5974825,,,,1.1851,,,,,,,,,,3.091,2.1185,4.9351,1.4583,1.4351,2.5562,2.9737,0.4827899999999999,,,,,,,,,4.3075,-0.34581,,1.5756,0.27402,0.55884,0.967042,1.7624,,,1.1774,,1.1774,,,1.015,1.2998,,0.0047,0.569902,0.26801333333333327,,0.19671000000000002,,
2,198,2,1,,2.6905,,,,2.5742000000000003,1.828,,2.0737,1.4047,,1.1747,,,,,,,,,,,1.514405,1.9901,,,1.7958333333333332,1.0597066666666668,2.2279,2.4631,3.0197,2.8839,,2.9134666666666664,2.8839,3.27325,2.66175,,,,,,0.94471,,,,,,,,1.4883,,,,,,,,,,2.1077,1.8254
2,648,2,1,,,0.9851,1.11455,0.17889,,,0.8223799999999999,0.9246949999999999,0.8075899999999999,,3.4013,,,1.5768499999999999,,1.673,,,,1.3993,2.2967333333333335,2.9353,2.87365,2.2535825,3.7169,1.6902,2.9723,2.2055,0.32189,,3.9116,,3.9781999999999997,2.3324499999999997,3.34085,,,,,2.0946,,,,,-0.37091,-0.17614,-0.17861,1.27111,1.742,,,3.324833333333333,2.4743,,2.8539,,,,,,
0,215,1,1,0.2928066666666666,0.32320333333333334,1.1649,,0.90302,-0.23868633333333333,,-0.22855,0.3910099999999999,,0.59207,,,0.88899,,11.9499,,,,,,1.4454,2.231,,,,1.5109,,,-0.06022,,,1.805475,1.242,2.1936,2.2832,2.3981500000000002,,,,,0.4073699999999999,-0.12334,1.3239,,,,0.8609300000000001,2.2006,2.7535,6.9326,5.7169,2.42386,2.41334,,,5.3872,,,6.0909,,
2,584,2,1,1.1724,2.0815,1.9261,,,,,,,,4.5413,,,,3.4005,,,,,,,1.3099,3.892,4.17845,3.9709,2.7639,1.08203,,,1.155839,,,1.29338,,,,,,,,1.6308,,,-0.58207,,-0.16446,1.0273,,-0.16701,,,,2.4787,2.2572,2.4482,2.7868,0.30917,-0.004883333333333313,,-0.57189,-0.2052,
0,407,1,1,,,,,,4.7616,,6.5704,,,-0.47719500000000004,,,,,7.9277,,,,0.16751,,,,,,1.513,-0.12165,,2.8703,1.3743,4.205933333333333,,1.04681,6.1868,,-0.077389,3.209615,,,,,,,0.99074,0.37111,,,0.89487,,,,,,,,,,,,,,
2,80,2,2,0.914465,1.4763,0.70057,,,0.6172366666666667,-0.33679,0.757275,0.17609,-0.0902922857142857,0.6211133333333333,0.85521,,,4.5111,1.216,,5.8474,,6.5575,,,,,2.6039,1.4583,,0.198,,1.372,0.9028649999999999,,1.2083,,,,,,,0.198,,,,0.48343500000000006,0.41319999999999996,-0.085508,0.138075,0.8133174999999999,,0.66835,,,,0.406105,,,,,,,,
2,711,2,1,,,5.3519,5.5141,3.0984833333333337,0.748005,,,,,2.32,,,7.1362,0.492765,,,5.9459,,3.5986,3.4245,,-0.001024,,4.2713,2.87105,,2.5204,1.9026,1.1297,,0.6478349999999999,,,3.37555,0.10155,,,,,,,,,0.7790199999999999,1.3611,2.58,4.78655,-0.29443,7.4535,4.022,3.3052,5.5332,2.7422,3.098466666666667,5.0323,2.481,0.9674630000000001,,,0.7098450000000001,
1,94,1,1,,2.3299,3.122,3.2218,,3.5643,4.930066666666667,,,,4.75925,,,,,-0.11179,,,,,,,,,,,-0.082221,,,3.7552,3.19172,2.885066666666667,3.2255,3.9055,4.831533333333334,,,,2.8301,,,2.8301,,,,,3.3893,,0.43026,3.8994,1.60181,3.70715,2.6095,2.18994,2.029285,2.378334333333333,3.0296000000000003,2.5162999999999998,0.3785199999999999,0.31692,,2.7561
2,566,1,1,0.96552,,,0.8524660000000001,,2.2684,,,,,,,,,,,,,,,0.25898,,,1.0832810000000002,,,,,,4.4714,4.589666666666667,2.5341,3.7154,2.5001499999999997,,,,,,,,,,,,0.87649,,,,,6.9203,0.35224,7.1026,6.5444,9.6928,7.2764,,,,,,
3,741,2,1,0.6479699999999999,,1.0142,0.44155,,,,,0.53699,0.73233,,-0.47734,,4.7564,3.4172366666666663,,,5.198,7.2023,6.4055,0.71234,4.5255,,0.037596,4.4523,1.5824,1.8487,0.5014799999999999,,1.5058349999999998,1.5735,,1.4182,1.416315,1.6179,,1.362685,,,-0.27092,,1.609,,-0.10889499999999999,0.073111,1.6468,0.18334466666666668,,1.521,1.8077,2.377,2.0973,1.718556666666667,2.06515,,1.384426,2.1473,,0.47927666666666663,1.47255,1.2394500000000002,1.7185666666666666
2,591,2,1,2.8118,4.0139000000000005,4.1157,3.5101333333333335,3.289,,,3.7121,1.4598266666666666,1.8758,2.3534,1.9312,,,,-0.46723,5.5961,5.6233,,,,4.036,,0.14941,0.36533,5.4015,2.7891,0.64544,2.8251,2.1141,,,,,,4.0729500000000005,,,,,5.1389,,,,,2.3709,0.0793789999999999,,2.29205,,,2.474,2.6432,2.0648,3.1438,2.14035,3.254,,,,1.832,
3,27,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.7865,,,,,,,,,,,,,,,,,,1.406,-0.0971,0.32026,0.65445,,7.9290666666666665,,7.96265,8.8163,,9.56935,8.2472,,,,,,,
2,730,2,1,1.2687,1.7041866666666667,0.55399,5.1681,1.57515,0.26811,,0.3653115,0.36960000000000004,0.60259,0.25953,,,,,6.1887,,,,,,,1.972,1.5689,2.4379,,,,,,3.464233333333333,1.6317599999999999,,2.5666,2.665925,3.0269,,,,,,,,,,0.17949,,,0.49396,3.8602,1.9491,,5.23385,6.555600000000001,,,,,0.4282,-0.60383,-0.18072,-0.34653
0,310,1,1,3.40345,,,4.2255,,4.70885,,,,0.9097550000000001,,,,0.62734,,,2.1750000000000003,-0.23145,,,,,,,2.5585,,,,3.6813000000000002,,1.71346,1.9074659999999999,6.4976400000000005,7.8489,,0.085432,4.4942,,,,0.5217,0.21861,,0.55616,0.02573000000000005,,,-0.33018333333333333,,,0.85926,1.8214,,2.22895,2.5791,2.56765,2.1704,1.6491500000000001,,0.6571899999999999,,
1,713,1,1,3.6591,2.46431325,,3.4251,1.8816,3.57435,-0.05845499999999999,3.5339199999999997,,2.4972,2.4937,0.7231,,,,,1.0793,,5.7513,,,,-0.1345299999999999,-0.079202,1.4406534999999998,,1.8228,-0.016954,,4.482150000000001,1.6361,,1.1485,4.952466666666667,5.7513,6.9029,5.2948,,,,5.4366,,0.7507699999999999,,,5.0562,-0.051536,-0.380065,,,7.3248,,2.25855,2.784202,,,0.017628,,-0.04462,,,-0.023871333333333408
0,407,1,2,0.95828,,,0.21472,,,1.6281,2.9087,2.5516,,,-0.44032,,,2.5841,,2.2772,,,,,,1.1914,,,,1.4864,,1.4112,,,5.4993,,,4.086,,5.3311,,,,,,,,,,,,2.5811,,,,3.543,4.4725,,4.6967,,,,,,
2,45,2,1,,,,,,,,,,,,,,,,,,,,,,,2.6841,2.8223,,,3.2467,,,,,,,,3.5493,,,,,,,,,,,,,2.5097,2.0393,,,,,1.9965,,,,,,,,
1,142,2,1,0.8335,1.727,2.0836511428571427,2.621633333333333,,2.0533,0.664925,1.023675,0.3466125,0.295176,0.17359042857142856,0.4413899999999999,,,,,3.74318,,,0.9082,,3.6742060000000003,0.090674,5.8325,3.87695,,,3.161733333333333,,3.6349,4.8674,3.6843,4.09865,,1.847955,,0.60317,,,2.4679,,,2.6186,0.31604899999999997,1.6603,2.1040129999999997,0.921795,2.1299466666666667,2.0822,4.083633333333333,3.5223714285714287,2.299325,5.364633333333334,3.5505333333333335,3.952915,4.85576,1.3754,1.16505,0.22219499999999998,0.3327199999999999,0.35402249999999996,0.503755
