fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639,chrX-g640,chrX-g641,chrX-g642,chrX-g643,chrX-g644,chrX-g645,chrX-g646,chrX-g647,chrX-g648,chrX-g649,chrX-g650,chrX-g651,chrX-g652,chrX-g653,chrX-g654,chrX-g655,chrX-g656,chrX-g657,chrX-g658,chrX-g659,chrX-g660,chrX-g661,chrX-g662,chrX-g663,chrX-g664,chrX-g665,chrX-g666,chrX-g667,chrX-g668,chrX-g669,chrX-g670
3,718,2,1,0.4287399999999999,,,,,0.22142000000000003,,0.21427,-0.80089,-0.45774,,-0.97247,,-1.1583,,,-0.464885,,,,,,-0.34335,-1.044,,,-0.8437899999999999,-1.2012,,,-0.81519,-0.5864199999999999,,,,-0.5077799999999999,-0.57927,,,,,,,,,,,
2,1001,1,1,,,,,,0.55383,,,0.33469499999999996,-0.015914999999999957,,0.15573674999999998,0.40774,,-0.24965666666666667,,0.20322,,0.21783,0.137475,-0.49801,-0.19122,-0.34217999999999993,,0.027911,1.0213,,,0.4953899999999999,0.4953899999999999,,,,0.24704,,,0.59765,,,,,1.9855,,1.182005,0.8752200000000001,0.34199999999999997,,
0,89,2,2,,,,,,,,,,,,,,,,,,0.6389100000000001,,0.84516,1.0302,,,1.0778,2.29238,,0.7393793333333333,0.97736,1.0778,,,1.723,,,,,,,,,,2.4105,,,1.2682,,,
1,843,2,1,,,,,,,,,,,,,-1.3072,,,-1.1002,-0.81897,,,-1.201,,,,,-1.148,,-1.17455,-1.1586,-0.78713,,,,,-0.38384,,-0.91449,-0.97817,-0.919795,,,,-0.9569300000000001,-0.7659100000000001,-1.1374,-0.66685,,,
2,555,1,2,,,-0.051430000000000003,-0.05334133333333337,0.91754,-0.12597,,,,,,,0.10337,,,,,,,,,-0.068633,,,,,0.39004799999999995,-0.2521,,,0.0001699999999999,1.7202,0.88313,,,1.7317,0.50472,,,,,,,,,,,
2,260,1,1,0.6723,,,0.7291300000000001,-0.055053,0.11055042857142854,,2.0475,-1.0665,1.1951,,1.2973766666666666,0.85414,,0.21200000000000008,,1.2405499999999998,,-0.003910000000000045,,1.6117966666666668,0.710958,,-0.009566666666666723,1.0246066666666667,,1.3172815,0.2802135,,,,0.91098,0.882555,-0.06357650000000001,-0.50965,2.7635,-0.032324200000000046,0.051021166666666694,1.8088,1.6440000000000001,-0.6005699999999999,0.5387725,0.40409280000000003,0.11163333333333332,0.24612000000000003,-0.16112666666666667,,1.036
1,94,1,2,,-0.78289,-0.30227,,,,,,,1.6346,,1.032,,1.0917666666666668,1.0176349999999998,,,,,-0.57486,,,,,0.35769,,,0.17835,,,,,,0.5226785,0.5621349999999999,-0.96223,-0.97658,,-0.8546299999999999,0.5728949999999999,,,0.14249,0.289542,,0.329,,
2,578,2,1,,0.42953,1.4735,,,,0.6905199999999999,,0.27003,,,,0.07185666666666668,1.0965,-0.14322849999999998,0.45852649999999995,,0.48753,1.1255,,,,,-0.46948,,,,0.31353,2.3146,,2.7641,,,,,2.6916,,0.32803,0.35703,,-0.42598,-0.11423000000000001,,,1.4155,,0.29903,2.097
1,189,2,1,,,,,,,,,,,,,,,,,,,,,,-0.21708,,-0.74355,,,-0.24138,-0.63825,-0.54106,,,,,,,,,,,-0.79214,0.115,,0.15549,,0.54427,1.1274,,
1,94,1,3,,,,,,,,,,,,,,,,,,,,0.9889350000000001,0.79527,,-0.10141,,,,,,,,,,,-0.7828949999999999,,,,,,,,,,,,,,
2,648,2,1,0.83317,1.9751,2.1447,1.7532,1.9402666666666664,2.13165,,1.949,1.7662499999999999,1.7575666666666667,,2.67325,4.3893,,3.5802,,2.15125,2.4971,,,2.9277,,,1.8750133333333334,,1.44,,1.3486666666666665,1.3226,2.484,,0.5047433333333333,,1.34215,,1.9533333333333331,,0.44819,0.39599,0.7287699999999999,0.61784,,,,0.46124,-0.086866,1.4531,
1,233,1,1,,-0.38295,,,0.014091999999999952,0.28834,,,-0.26016,,,-0.16192,-0.1701,,,-0.06368,,0.8614,,,,-0.69404,,,,,,,,-0.70223,-0.36658,-0.45663,,,,,,-1.3162,,,,,,,,,,
1,189,2,4,,,,,,,,,,,,,,,,,,,-0.39932,-0.41147,,,,1.3515166666666667,0.7980433333333333,2.6825,0.46327,1.5891,1.4108999999999998,0.71435,,0.92494,,,,,0.71435,,,,,,,,,,,
2,119,1,1,,,1.3767,2.7065333333333332,2.1478,2.9272,2.1981,3.5558,,,,3.4273333333333333,3.6899,3.5349000000000004,3.2248,,0.47152,,1.1253,1.0498,1.6784,,,,0.49667,,1.0079,1.0079,0.49667,,,,0.63915,,,,,,0.44638,0.24523,,,1.2258499999999999,,,0.75649,,
2,641,2,1,,,-0.067329,,,0.011062500000000058,0.65523,,,,,0.53254,2.6593,1.5005,2.6866,2.6866,,,0.8597199999999999,2.6593,,,,3.1365,,,1.2278,,,,,0.5120899999999999,1.0142533333333332,1.1869,0.8506333333333332,0.30077,1.22105,1.1188,0.9188000000000001,,,1.3914,,1.9368,,,-0.094596,
2,569,2,1,5.1202,,,,,,,1.1646,,-0.0403829999999999,,0.5730516,1.2011,1.012435,0.9860733333333332,1.7123,0.86029,1.6636,,1.5865033333333336,1.541885,1.590545,0.7426333333333334,1.0915,1.7853,1.907,,0.22738,,0.23956,1.62097,0.586435,1.146335,0.87246,0.655814,-0.10124,0.44038,1.73665,,-0.27164,0.25173,0.312585,-0.19252350000000004,,0.27607,-0.27164,0.47081,1.0672
1,831,1,1,,,,,,,,,,,0.2245,,,0.63317,,1.0316,,-0.28633,,,,0.44927,,,,,,,,,,,,,,,0.44927,,,,,,,,,,,
1,189,2,2,1.4109,0.236485,,,,1.6134,,1.9212,1.629603333333333,0.600975,,0.6252666666666666,1.12745,1.1209600000000002,1.877436,1.05048,0.17170666666666667,-0.3925666666666667,1.905,1.6160899999999998,2.4719,1.0545,1.1760025,,2.3261,,,0.30128,2.3342,0.32153,-0.00042349999999998465,-0.43982,-0.46007,0.2850849999999999,0.009703333333333322,-0.500565,-0.20088,-0.528915,-0.3871699999999999,-0.24948000000000004,-0.46007,-0.32237699999999997,-0.23868333333333336,-0.84074,-0.36287500000000006,,,
0,190,1,1,,,1.7945,,-0.40583,2.3381,,,,-0.29365,,1.0524,,0.3103599999999999,0.77632,,-0.3109099999999999,,0.051499,-0.25051,0.030790000000000022,0.48294000000000004,-0.48349,,0.1723,0.6929066666666667,0.836735,2.1742,0.34488,,1.4062,,,-0.190109,,1.5357,1.4753,0.45705,0.65552,,,,,,0.46568,,,
3,853,2,1,,,,,,,,,,,,,,,0.39714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,2,,,-0.71843,,,,,,-0.7300949999999999,,,-1.1696,,,,,,,,,,,,,-0.37616,,,,,,,,,,,,,,,,,,,,,,,
0,18,2,2,4.6155,1.1118133333333333,-0.63038,0.20960499999999999,,-0.1765945,,1.8349,,0.38983,,,0.8371799999999999,,1.14615,,1.9443000000000001,,0.021871333333333336,,,,,0.692355,0.7491966666666666,-0.2420333333333333,0.68269,0.328705,-0.266704,,-0.2828,0.2965,,0.563615,0.3994866666666666,1.3735606666666664,2.4420366666666666,1.1718666666666666,,0.55182,0.49603,0.383395,0.7020200000000001,0.5947366666666666,1.6804000000000001,0.30937,,-0.5788800000000001
0,55,2,1,-0.46430699999999997,-0.765,,-0.005964,,,,,,,,-0.72705,-0.21226466666666666,-0.7319166666666667,-0.6891,-0.68326,,,,,-1.0102,,,-0.60736,,,,,,,,,-0.77084,,-0.20059000000000002,0.11470999999999999,-0.2803825,0.19644333333333333,,,-0.41468,,,,-0.71245,,,
0,407,1,1,-0.5844199999999999,-0.040757,,-0.33657000000000004,0.095159,-0.34057,,-0.916195,-0.10472,-1.03214,,,,2.3658,0.16871399999999998,,-0.692345,0.8387,,1.1865,-0.40453,,,-0.19666,-0.0247669999999999,-0.4378423333333333,,-0.1127099999999999,1.5822,,-0.15269,0.81471,,0.0743736,-0.06074499999999999,-0.6244,0.02320360000000001,,-0.492475,1.998,,1.8621,,0.4869199999999999,,0.56687,,
2,852,2,1,,,,,,,,,4.1917,6.4637,,,,5.3183,0.5301,,,1.1122,,2.8209,2.2388,1.8257500000000002,,,,0.6427633333333334,1.168505,1.3375,0.48316,,-0.0801545,-0.23976,-0.20221,0.30477,-0.1834299999999999,-0.59653,,,,,,,,-0.10832,,-0.20221,,
2,566,1,1,,2.7594,,,,,,1.3492,2.2478,1.1371,,1.56135,,1.324275,1.2369046000000001,1.3617,0.8375299999999999,,0.45690500000000006,0.072091,0.9165576666666667,,,0.87497,0.63161,,-0.32935000000000003,,5.538333333333334,-0.98455,6.2289,5.8919,0.29256666666666664,5.0807,5.3927,0.99977,0.91241,0.1262000000000001,0.44441,-0.023587,,0.5879300000000001,0.77514,,0.36329,0.544245,,
2,730,2,1,,,,0.95242,,,0.96603,,,,0.87077,1.9731,1.156585,1.79622,0.7119926666666667,1.7009,2.170485,0.38082,0.5305300000000001,,,0.55775,,0.13585,,0.5101149999999999,1.6056700000000002,1.769,0.95242,0.659815,,,,2.4903,,,2.1773,,,,,,,,,,,
3,741,2,2,,1.4044,1.5225,,1.8897,,,,,,,1.9553,1.73235,1.4963,,2.0209,,,1.3651,0.6372,0.59129,,,,,,1.3126,,1.3454,,-0.39235,1.2274,-0.20874,-0.1792315,0.56506,0.9453966666666668,0.56506,0.7486835,,,,1.0503,,0.23718,1.0503,,,
0,648,2,1,,-0.1880599999999999,,,,,,,,-0.020411,,-0.0832799999999999,-0.10190666666666666,,-0.3138,-0.25093,,,,,,,,,0.99248,,,,,,,0.18915,0.52446,,,0.82134,0.35912499999999997,0.15655333333333335,,,2.4175,,3.2069,,,,,
1,77,2,1,1.6231,,2.4162,2.4637,,,,,,,,,1.7987,2.5817,1.3927633333333331,-0.12434,,,,2.4061,,0.56944,,,1.7353,1.1078,1.0156266666666667,,0.39959,,,,,,,,,,,,,,,0.31611,,,,2.4982
0,885,1,1,,,,0.6847,0.6847,,,1.0834,1.0834,0.516025,,-0.21228,,,0.8380299999999999,0.017712500000000003,,,1.4054,,0.9837,,,,,,,,,2.5707,1.6507,0.6847,,,,0.56204,,,0.6080399999999999,,,0.30904,0.190209,,,,,
2,199,2,1,0.4976,0.38733,1.4222,2.228,,1.8209,,,-0.3336699999999999,,,0.82842,,,,,0.62484,,,,0.42125999999999997,,,-3.2686,,,1.4391500000000002,2.0032,1.876,1.740275,-0.7026500000000001,1.2610125,1.42216,-0.7662840000000001,-1.7559000000000002,0.03955499999999995,1.4617666666666667,0.90476,-3.2686,,,,,,,,,
2,584,2,1,,,,,,-0.22812,,,,2.3513,,1.9792,2.454,,3.455,,2.8133,,,2.1759333333333335,,2.3320499999999997,2.3341999999999996,,,1.3375,2.24865,,3.0828,4.1736,3.3587,,,2.32565,3.4806,1.4145,,,,,,,,3.52555,2.0048,3.1983,3.0828,3.6475
2,198,2,1,,,0.02833,,0.34066,0.2625699999999999,,,,,,2.5595,,2.8197,,,,,,,,,,,1.9999,0.69853,1.3622500000000002,1.5119,1.7374333333333334,1.2516,2.2016,,1.23535,,2.5595,1.9348,0.005559999999999982,,2.5725,,,0.68552,,,0.36343000000000003,,,-0.088792
1,339,2,1,-1.2063,-1.2042166666666667,-1.2957,-1.4107,,-1.2191,,-1.5767,-1.5064,-1.6277,-1.5383,-1.5639,-1.0307475,-1.6405,-1.5894,-0.972212,-1.4276666666666664,,,-1.64685,-1.656475,,,,,,,,-1.5575,,,,-0.433755,-1.49045,,-1.7203249999999999,-1.7341666666666666,,,-0.56786,,,,,,-1.5383,,
0,5,2,1,0.13632800000000003,-0.7233400000000001,-0.2853485,-0.29234,-0.29234,-0.47406,,,0.20622,,,-0.299326,,-0.464738,-0.13857599999999998,0.20622,-0.2737,,,-0.1246,-0.36223,-0.7023699999999999,-0.58122,-0.13625,-0.0011249999999999871,-0.68839,,-0.45542,-0.322625,-0.1851725,-0.7489600000000001,,,,,-0.39485,,-0.37155000000000005,-0.3047666666666667,0.32154024999999997,-0.14090549999999996,-0.16963866666666672,-0.4927,-0.26904,,1.6693,,
0,310,1,1,,,,,,,,,0.75785,1.0885500000000001,,2.39775,,2.09745,,,,,,,0.74435,,2.3978,,0.73085,,,,,,,,,1.1898,0.37992,0.7983399999999999,1.291,,,,1.7094,2.0131,-1.2802,,,2.4248,4.9757,3.2481
2,244,2,2,,,,,,,,,,0.37513,,,,,,,0.77246,,,,0.80467,,,,,,,,,,,,,,,,,,,1.8356,0.1066599999999999,1.9215,,,0.9228,,,
2,244,2,1,,,0.0529669999999999,,,,,,,,,,,,,,,,,,,-0.5269199999999999,-0.301407,-0.5484,,,,-0.72022,-0.37658,,-0.63431,,,-0.2477199999999999,-0.37120999999999993,,,,,,,,,,,,,
1,826,1,1,1.6182,,,,0.91313,,,,1.5611,1.3324,,,,,,,,,,,1.0275,0.641585,1.6182,,,,,,,,,0.5986966666666667,0.8940799999999999,,,0.8559649999999999,0.5637599999999999,,0.565345,0.953615,0.37001,-0.21122,0.160392,0.422421,0.8273550000000001,,0.75115,
0,610,2,1,,,,,-1.0475,,,,,,,,,,,-0.7186250000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,275,1,3,,,,0.503805,2.0966,,,,-0.07728333333333333,,0.21893,,0.27387999999999996,-0.19852000000000006,,,,,,-0.48339,,,,,,0.1544299999999999,-0.7843866666666667,,,,,,,,,,0.39093,0.1616,,,,1.0073,,1.1936,,,,
0,250,1,1,0.37606,-0.27314,-0.51066,1.0174,0.003956,0.28106,2.102,,,,,0.23355,,0.1068799999999999,,2.00305,2.8937,,,,,,,1.0094,,,,,,1.5557,,,1.4765,1.8882,,,,,,2.2683,,,,,,1.6903,,
0,89,2,1,,-0.50338,-0.8101,-0.532465,-0.6382300000000001,-0.5827,,-0.15435,0.884833,-0.3870325,-0.67261,0.43532499999999996,0.25638333333333324,1.001171,0.41679666666666665,-0.01156,-0.82068,,-0.53775,,,,,,,,,,,,,0.078342,0.89275,-0.016848,,-0.17285399999999998,0.265195,,-0.79424,,,,,,,,,-0.83654
1,53,1,1,-0.2835,,,,1.8610333333333333,,,,1.0429,,,,,,4.2222,4.2017,,1.2959,,1.17621,,,,0.96086,1.2822,1.3437,1.40525,,,,,,,,1.4292,-0.12624,,,,,,,,1.289,,1.6309,,
0,158,2,1,2.6958,,,2.5405,,2.204,,,2.411,-0.45561,,1.861,2.2331000000000003,1.8760933333333334,2.4628,0.76092,-0.89564,,0.69298,,2.06485,-0.5785600000000001,-0.3003099999999999,2.2007000000000003,0.340305,-0.6368,-0.7101333333333333,-0.68857,-0.5332600000000001,-0.6626799999999999,-0.66915,1.2463,-0.4879699999999999,-0.0026400000000000126,0.38883499999999993,0.84506,0.42927250000000006,-0.35855,,,1.5245,,0.73505,,,,,
1,468,1,1,,1.3976,,,-0.13618,,,,-1.0729,,,,-0.2185233333333333,,1.2638,,1.5623,0.28071999999999997,0.66673,0.028524999999999995,,-0.1104435,-0.594245,-0.2648650000000001,0.47115,1.3873,,,1.15567,,2.2622,-0.12588,1.75443,,1.6189,1.71155,1.1505,,0.8520200000000001,,,0.99613,,,,,,
1,137,1,2,1.9216,,,,2.0932,,,,,-0.5212,0.2712699999999999,0.39382,1.4436499999999999,1.7092,1.5185333333333333,0.76964,,,,,,,,0.3448,,,,3.1634,1.6275,,1.48039,1.141355,0.98614,1.93385,1.8481,2.23696,1.9216,,2.1177,,,,,-0.15356,,,,3.7026
2,63,1,1,,,,0.7601,1.806,,,1.2593,0.86708,,,,,,0.5223899999999999,,0.5580499999999999,0.60163,,-0.40469,,,,1.4614,,,1.0691,0.64125,,0.9205650000000001,1.0216,,,-0.35715,1.6159,1.3068,,1.6278,,2.7093499999999997,1.4019,,2.4954,0.97405,,,,
0,886,1,1,,0.070309,,,,,,,,,0.63874,1.4345,0.051361,1.3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,741,2,1,,,,,,,,,,,,,,,,,,,,,-1.0744,,,,,-0.1825099999999999,-0.1825099999999999,,,,,,,,,,0.11914,,,,0.47326,,,,,,,
1,877,1,1,,,0.56135,,,,,,0.643825,1.9222,,1.314,,2.5305,1.4995,,3.0873,3.1285,,1.875875,4.0048,2.5718,1.3346,1.1078,,,,,,1.4583,,0.98405,,,,2.314,,2.279666666666667,,,,,,,,,,
0,164,1,1,-0.16403,,,,-1.13095,,,,,,,0.20640750000000002,0.987055,0.90336,1.774,,0.83639,,-1.2063,0.67733,0.488965,-0.24189,,,-0.12635,-0.31331766666666666,,,-1.1142,,,0.6522100000000001,0.28386,0.66895,,2.3098,,,0.42617666666666665,0.6187175,,,,1.1294,-0.66633,0.2127,0.7442933333333334,
3,353,2,1,-0.8628100000000001,-0.54252,-0.5358499999999999,0.17367,-0.329,0.4183323333333333,,0.058012,-0.20889000000000005,-0.7427,,0.458366,-0.5959033333333333,-0.5758825000000001,0.228165,0.39164,-0.28896,0.08470333333333331,-0.44911,2.7004,0.17812,,,1.139,1.4059,,,,,-0.66263,1.6728,0.8320299999999999,,,1.526,,1.3125,2.2066,,,0.89876,,,,,-0.52918,-0.329,
1,144,1,1,,,,0.35603250000000003,0.24874,,,1.7882,,,0.22075,1.769495,1.6482,1.7882,2.8051,,,,2.5299,1.3776,2.8470500000000003,,,-0.46965,,,,,,0.90183,,1.8255,-0.6096,,-0.726225,-0.74955,-0.50231,1.8815,,0.25807,,,-0.44166,1.26568,0.09479849999999995,,0.53796,
1,612,2,1,,0.37221,0.37221,,,,,,,,,,,,,1.3799,,,,,,,,,,-0.42695,,,,-0.14898,-0.23584,,,,,,0.26798,,-0.19241049999999998,,,,,,,,,
0,646,2,1,,-0.34495,-0.28898,-0.44888,,,,,,,,,,,,,0.22268,,,,,-0.3049699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,1,,0.2928,1.2885,1.712375,2.2141,1.4441,2.7509,0.203345,1.1458333333333333,1.49075,,1.1251066666666667,1.2340666666666666,1.1796,1.370926,2.0702499999999997,1.5763,1.8797,,1.4752,-0.002786666666666678,1.2729,1.0785,-0.3995,0.39393,0.7984100000000001,1.6151799999999998,-0.08835499999999999,1.4440499999999998,1.4441,,0.570905,-0.25170549999999997,0.52615975,0.300565,0.322364,0.8139879999999999,1.88355,2.6031,2.3931,,,2.7379333333333338,,1.5296500000000002,,,2.7509
1,718,1,1,,-0.8826200000000001,,,,,,,,,,0.92749,,-0.021499999999999964,,,,,,,,,0.34755,,,,,,,-0.9617,-0.97049,-0.25875,0.34754999999999997,-0.52235,,0.010134800000000013,-0.008319999999999994,0.32998,,,-0.22798999999999994,,1.1032,0.5145,,-0.28511,,
0,750,1,2,,,,,,,,,,-0.63031,,-0.82301,,,,,,,,,,,,,,1.9445,,0.8375,,,,,,,,,,,,,,,2.1085,,,,,
2,591,2,1,,0.5601133333333334,,-0.7045100000000001,-0.7045100000000001,,,0.014799,,,0.52528,,,0.74571,,1.0474,,-0.6233,,,,-0.31005,0.9951699999999999,1.1866,0.4527675,3.1125,0.56008,1.6893333333333331,0.188825,,2.0915,1.7899,1.7899,0.5600849999999999,0.896515,-1.1280000000000001,0.5948899999999999,0.6180899999999999,1.465,,-1.4006,-1.3483999999999998,-1.389,-0.6000800000000001,,-1.447,,
2,875,2,1,,,,,,,,,,,,,,,,,4.1429,,,,1.6307,,-0.028741,,,,,,,,,,,,,,,,,2.7831,,,-0.19007,,,,,
1,1034,2,1,0.8174899999999999,,,,,0.8174899999999999,,,,,-0.17275,0.10879,,,,0.2641233333333333,,0.6621600000000001,1.0505,,,,,,,,,,1.4388,0.08937499999999994,0.21072999999999997,0.8595566666666666,1.366,0.031123,0.77137075,,0.987385,,0.39033,,,0.39033,,,,,,
2,636,2,1,,1.6181,1.471,,,0.46341,,,0.48605,-0.29507999999999995,,1.7143650000000001,0.6973766666666666,1.3012,,0.5596399999999999,3.4974,-0.31772,-0.27244,4.1993,-0.88376,2.5181,1.35777,4.7314,2.3936275,1.6709656666666668,0.61058,-0.27527250000000003,1.3804,0.1747305,0.6049450000000001,0.18039,,0.61058,,0.76907,0.76907,,0.49737,,0.42944999999999994,0.16907149999999999,0.47473,0.76907,0.5803933333333333,0.5228425000000001,0.2143533333333333,-0.31772
2,230,2,1,,,-0.36732,-0.52352,,,,0.49176,0.111025,,,0.0622159999999999,-0.045170000000000016,0.07197666666666665,0.19238,-0.035406,,-0.3429245,,,-0.37709000000000004,0.12079,,0.6414433333333333,-0.08421500000000001,0.12079,0.09394499999999999,0.481995,-0.20787333333333338,-0.3087496666666667,-0.425895,,,,,-0.372205,,,,,,,,,,0.44295,0.63331,
0,215,1,1,-0.28808,-1.1306,,,,2.091955,,,0.2016099999999999,-1.1594,0.63369,0.8353299999999999,,0.34203,0.460855,1.96955,,0.53287,,1.5483,1.5483,-1.001,,,,0.40325,2.3091666666666666,-0.56893,,0.7921199999999999,-0.08644,,-0.7609599999999999,-0.40571,1.40785,-0.26166666666666666,-0.9434,-0.79937,-0.30967999999999996,-0.86418,,,,-1.0874,,-0.07563500000000001,,-0.2268655
1,208,2,1,,0.787005,-0.25634,-0.099188,-0.88495,1.01834,,1.5116,0.46396,-0.850035,1.6033,,1.2889950000000001,0.586175,1.0969,-0.8762200000000001,,0.075427,,0.5294300000000001,,,,1.3239,,0.7215,1.6382,0.910078,1.5189133333333331,4.1614,-0.1559355,1.245355,1.124367142857143,-0.018862199999999985,-0.081726,-0.4811575,-0.20894428571428575,0.06794,-0.398941,2.6335,0.8859333333333334,0.9164666666666665,2.4007400000000003,1.7211500000000002,0.7651600000000001,-0.107919,,0.9353850000000001
0,406,1,1,,,1.3891,0.8013699999999999,1.33255,0.7712233333333334,0.059203500000000006,,,,,1.5473,1.6113,,,-0.59254,0.085574,-0.7696000000000001,-0.83365,-0.490825,-1.0069,,0.2664,2.29695,,1.5774,0.025297,,1.05,1.5021,-0.7206266666666666,0.06297,-0.09274666666666669,-0.35896666666666666,-0.55487,0.0064599999999999935,,-0.32883,,0.09562,1.6076,-0.42678,,,,,0.54519,-0.39287249999999996
