fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g692,chr4-g693,chr4-g694,chr4-g695,chr4-g696,chr4-g697,chr4-g698,chr4-g699,chr4-g700,chr4-g701,chr4-g702,chr4-g703,chr4-g704,chr4-g705,chr4-g706,chr4-g707,chr4-g708,chr4-g709,chr4-g710,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754
3,741,2,1,-0.43517,,-0.60607,-0.22283,-0.384675,-0.45847,-0.31309,-0.39744,-0.4632833333333333,,-0.47512,-0.30939,-0.32863,,,-0.46846,-0.30976499999999996,-0.29644499999999996,-0.19102,-0.36414,-0.24873,,-0.020113333333333334,0.26508750000000003,0.43933524999999995,1.032394,0.5036999999999999,1.3659933333333332,1.3567466666666668,1.25058,1.33382,,-0.11999,0.23587666666666665,1.4514,-0.044527,,,,,0.42269,0.8370066666666668,,,,,-0.5505800000000001,0.23015249999999998,-0.08300066666666665,,,-0.16216,-0.1355299999999999,-0.306435,-0.3782033333333333,,-0.5061899999999999,-0.40187,
2,117,1,1,,0.30565,0.58933,0.263845,0.54155,0.55051,,,,,,,,,,,0.096626,,0.081696,,0.0667649999999999,0.20810533333333328,0.36239,0.18621,0.057807,,,0.057807,2.2068,,,-0.32142,,,,,1.8226,,,,0.8341799999999999,0.48331999999999997,0.13843,0.1727705,,,,,,,,0.5654399999999999,0.216066,,,,,0.20711,-0.016844
2,181,2,3,,,0.31786499999999995,,,,,,,,,,,,,,0.18524,,0.18524,1.3082,,,,,0.6985072000000001,,1.0817350000000001,1.1756,1.1756,0.703665,0.7622249999999999,,,,,,,,,,0.84834,1.9627,,,0.212805,,0.15769,0.4200643333333334,-0.069662,0.011288,0.0147319999999999,-0.1351099999999999,-0.07224749999999995,-0.08215024999999998,-0.12650149999999993,-0.0558835,,0.3165725,0.37987
1,63,2,2,,,-0.1329865,0.05664619999999998,-0.26481499999999997,0.031061500000000034,-0.23209999999999995,-0.026552,0.35036999999999996,0.4948899999999999,,0.30741,,0.27810866666666667,0.6687,1.6003,,3.8325,,,1.6477899999999999,2.06166375,1.8659,0.35428,1.9635233333333335,,,,,,,,,1.0105,,,,,,,,,,,,,,,,,,-0.37418,,,,,,,
1,233,1,1,,,,,0.0838899999999999,,,,-0.33699,0.066107,,,,,-0.31921,,,,0.0957444999999999,0.1491,0.716695,0.22171499999999994,-0.016884,,-0.15323,1.1183,0.808595,1.3376,0.1491,,0.479575,0.636665,1.0412566666666667,,1.2664849999999999,,2.3839,,,,1.90375,,,0.70187,,,1.7674,3.6792,,1.6992,,-0.11024899999999994,0.23505,1.6726,0.15799,,,,
1,77,2,1,,,,,,,,,,,,,,,,,,,-0.26841,,,,,-0.26235,,,,,,,,,,,,1.0631,,,,,,,,,,,,,,,,,,-0.151905,,,,0.27326,0.12044449999999995
2,808,2,1,,,,,,0.06913,,,,,,,,,,,,,,,0.83044,,,,,,,2.10115,,,,,,,,0.26506,,,2.563,,,2.563,,,,,,,,0.31543999999999994,,0.71568,,,0.8416399999999999,-0.1044,,,
0,648,2,1,,,,,0.70863,,0.66009,,0.611555,0.1747,,1.3105,1.6746,,1.6746,,,0.57758,,0.52904,,,0.7781966666666666,,1.7231,1.5532,,,,1.4658,0.90279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,985,2,1,,,,,,,,,,,,,,,,-0.6236,,0.31927,1.1923,1.09449,0.637045,0.85006,,,3.2386,1.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,584,2,1,,,,-0.37581,-0.4394699999999999,,,-0.416555,-0.43183,,,-0.082975,-0.2968699999999999,,,-0.35544,,,-0.20775,-0.14664,,,,,,,,2.9549,,,,,,-0.1975599999999999,,,,,,,,5.1321,,,,,,,,,,,-0.51841,,,,-0.6661,,
2,555,1,1,-0.07046975,-0.040043,-0.13054100000000002,,-0.099335,0.006767,-0.093094,-0.4550899999999999,1.2207,,,,,,,-0.40204,-0.1711099999999999,0.6309,0.94608,0.82125,,,0.25642,,,,1.305,1.3579999999999999,,1.6614974999999998,1.2394,1.1957499999999999,1.177,1.7928,1.7241466666666667,1.1895,1.226955,,1.8167,,1.305,0.98665,1.1614,0.26266,0.2361355,0.7526,0.26266,-0.0119569999999999,-0.0525259999999999,,,,,,,,0.601245,,
1,84,1,1,0.089929,0.22275,-0.14694,-0.20450499999999994,-0.33621999999999996,-0.3380633333333334,-0.37053,-0.22885,-0.36168,0.19175999999999999,0.23529566666666665,-0.051752,-0.13809,-0.10414366666666663,,-0.10599,,,0.49505000000000005,0.3323365,1.8222,0.027943,,0.94001,,,0.7629100000000001,2.7354,,1.018595,,,0.0998925,,,,,2.8992,,,2.5959000000000003,3.68725,,3.036,1.3031,0.37772,,-0.25099066666666664,,0.306875,0.11871,-0.16244,0.8426100000000001,0.101,0.22607499999999994,-0.1978599999999999,-0.024743999999999995,-0.20007,
2,566,1,1,0.0577518,-0.0321199999999999,-0.3825699999999999,-0.43061,,-0.09147,-0.097122,-0.015162999999999996,-0.24691,-0.3684366666666667,-0.29496,-0.311915,-0.391045,-0.327455,-0.2094625,,,0.001794,,-0.006684,-0.16212533333333334,,,,,2.4436,1.6734749999999998,1.4478533333333334,1.234,2.1652500000000003,,,0.6779675000000001,0.62073,1.11249,0.738015,3.05125,,,,,1.9667044999999999,3.7719,0.5062687499999999,,,,1.464328,-0.07309999999999994,,,,,,,0.1600599999999999,-0.0811083333333333,,
1,713,1,1,0.10638733333333333,,-0.29015,,,,-0.2313599999999999,0.4377900000000001,,,,,,,,,,,,0.70581,,,0.579585,,,,,,,,,,1.5185,,,,,,,,,,,,,,,,,,,,,,,,,,
0,164,1,2,,,0.4636399999999999,0.85686,1.2853,,,,,,,,0.26702,0.1480235,0.018671,,2.2228,,3.2017,,2.3739,,,,,,,,,2.661025,,,0.5536500000000001,,,,,,,,,4.8512,,0.0724799999999999,,,0.39327,,,,,,0.2484,,,,0.080759,,-0.091018
0,407,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1.8494,1.3891,,2.4366,1.2032,0.918455,1.2091,1.0054750000000001,,,1.2888,,,3.425,,,,,,,,,,,,,,,,,,,,0.4006099999999999,
2,1001,1,2,,2.7652,,0.33026,3.5087,,,,,,,,,-0.17718,-0.074908,,,2.3207,,,,0.5308849999999999,,,,1.2193,5.8099,,,0.723654,0.882935,0.86131,0.90458,1.0855,,,,,,,,,1.4396,0.19652,,,,,,,0.13358,,,,,,,,
1,94,1,2,,,-0.12164,-0.1955599999999999,-0.103162,,0.034815,-0.26947,,-0.12657,0.016333,,,,-0.27194,-0.11672,,,,,,,,6.16855,,,,1.64,,,,3.5692,1.343095,1.7755,0.84172,,0.89346,,,,,1.4281,,,,,0.050827,1.2261,1.5932,,-0.2165,,,,,-0.11918,,,
1,142,2,1,0.0511553333333333,0.0758549999999999,,-0.061221000000000005,0.0066989999999999,-0.33044,,-0.26869,,-0.09086,-0.145198,,,,0.07503333333333338,,,1.0363245,,,1.5980999999999999,,0.9372400000000001,1.0205549999999999,1.5108,1.6911566666666669,1.4824566666666665,3.5522,3.32125,1.4762733333333333,3.23665,0.30432,,0.12525266666666668,0.57477,,,,,,,1.8776,,-0.004415,0.65874,0.65874,0.773575,-0.16619,0.29814,-0.17113,0.129575,0.9082033333333333,1.1132,2.5358,2.14255,0.76742,0.138215,-0.0995055,0.22158
1,98,1,3,-0.0681789999999999,,,-0.3197466666666667,,,,0.04081,-0.070236,,,-0.343735,,-0.2985,,,,-0.03836,0.97647,,,1.2993,,,1.18622,1.6695,3.7464,3.38145,2.1754,2.9177,,,0.7790600000000001,0.5446485,0.8489700000000001,-0.25326,,,,,,3.5514814,,4.9011,,,,,0.51995,,,,,,2.1178,,,,
0,27,2,1,-0.16509649999999998,-0.19793499999999992,-0.4199,-0.35786999999999997,-0.415945,,-0.27273,,-0.311045,,-0.46429,4.1203,,-0.38949,,2.7338,-0.35939,1.09009,0.814565,0.55918,0.525425,1.087305,0.1140299999999999,0.8358716666666667,1.4166185714285713,1.444,,2.9363,3.1078,0.597494,,0.83009,,,0.3585,2.5961000000000003,1.3646150000000001,2.8196,,3.4599,4.0182,2.0377899999999998,3.3249,2.1719,,,3.5402,,-0.1578,-0.09516433333333334,0.38221,,-0.137735,0.1268,,-0.27091,-0.26270000000000004,0.097612,0.02159733333333333
2,603,2,1,-0.10390500000000001,-0.074175,0.000151,0.14738666666666664,-0.05825000000000001,0.009705000000000005,,-0.17823,,,0.080848,0.097836,0.17110150000000002,,0.0054600000000000065,,-0.2207,-0.17186,,,,-0.023208,-0.11877,0.25498,3.27475,,1.8625,0.53742,2.3339499999999997,2.7948000000000004,,1.85084,,,,1.3497,,,,,,,,,,-0.3374999999999999,-0.30777,,,,-0.2079599999999999,-0.37784666666666666,,-0.281225,-0.3523699999999999,-0.35590666666666665,,,0.474775
0,55,2,2,,0.13504500000000003,,,0.34253,-0.34265999999999996,-0.44077500000000003,-0.2783199999999999,-0.40861,-0.42791,,,,-0.064403,,,,,,,,,-0.45364,0.17686,-0.1834299999999999,0.5666306666666666,,2.8991499999999997,2.7278,,2.2147,2.374,0.11975950000000005,1.848,,,,,0.97142,,2.0169,0.030494500000000004,2.5686,0.35057333333333335,0.96984,0.647162,0.9190000000000002,,-0.43353499999999995,,,-0.39896,,-0.36196,,-0.030626,,0.29749,-0.08155833333333336
1,189,2,1,0.47051000000000004,0.27466,0.3746,0.285945,0.1767385,0.10219,0.33228775,0.4076435,0.03368774999999999,0.8339799999999999,,-0.025146199999999962,0.10703000000000001,-0.14926,0.21502,,0.050612,0.024821,0.10380199999999999,,0.27144,0.2722425,0.125163,0.0272395,1.1687171666666667,0.7791766666666667,0.6985899999999999,0.7646700000000001,0.76951,0.7542000000000001,1.9128633333333331,1.44488,0.9161866666666668,4.9556,3.9191,4.560650000000001,,,,,,,,1.9881,,0.58414,,0.1860099999999999,0.19487,0.6494205,,,0.008703,-0.19278,-0.0291765,0.0473875,,0.07317649999999995,0.019986
3,718,2,2,0.1320845,,,0.070147,,,,,,,,,,,,,,,,0.67762,,1.409,,0.98732,2.0569,0.7300300000000001,,2.616,1.9902,1.9052666666666667,,,,,2.6811,,,,,,2.3047,2.56435,,1.9354333333333333,,,1.1255,2.0284,,,1.5329,0.93729,0.74433,0.52992,0.144,,,,-0.082317
1,144,1,3,,,,,,,0.7862175,0.74922,,,,,0.14735,,,,,,,0.87474,,,,0.03792,,1.542585,2.2523,2.4229,2.0366,2.0077,,,,,,,,,,,,,,,,,,,,,,,,,-0.2099099999999999,,,-0.22278,
0,613,1,1,,,-0.038507,-0.03622,,0.96304,-0.045367,,0.727515,2.431,,,-0.40208,,2.1887,,,,,,,,,-0.075093,,,,,,,,,1.4222599999999999,1.1757,3.6315,,,,,,,,,,,1.8159,1.5553,,,0.8471833333333333,,,-0.26259999999999994,0.64062,,0.14899499999999993,,,
2,648,2,2,0.030137333333333377,,-0.1219,-0.15395,,,-0.34379,,,-0.33886,,,,-0.304345,-0.26243,-0.41283,,,,,,,,-0.020816,0.3416099999999999,,,,,,,,2.8293,,1.3894,,,,,,,,,,-0.53364,,-0.69389,,,,,,-0.58048,,-0.39680000000000004,-0.66677,,,
0,215,1,1,-0.21219,0.27294,1.1836,,0.49270500000000006,,,,-0.4389699999999999,0.74871,0.27645,0.5686899999999999,,0.20864499999999997,,,,,,,-0.27999,-0.34779,,,1.164885,0.75339,,0.93107,2.245,4.8425,,,,,,,,,,,,,2.0159,2.2497,,,,,,,,,,,-0.1934799999999999,-0.19348333333333334,,,
0,352,1,1,,,0.7602899999999999,1.2442,,,0.78157,-0.05306,,,0.87851,,,0.43873,,0.23067,,,,,,0.20229,,0.12427,2.7204,3.42735,-0.39826,2.6731,0.65862,,3.6744000000000003,2.7227,3.7488799999999998,1.5917696666666667,1.1693,2.1618,,3.212189,,,,,,,,,,,,-0.41245,,,,0.19993,-0.297775,-0.15709,-0.41324,-0.17128,
2,244,2,3,-0.32897999999999994,,-0.36315,-0.334005,-0.37722,,0.4076900000000001,-0.11793399999999996,-0.40938,-0.057635,,,,,,0.2358199999999999,-0.065675,,0.5574100000000001,0.210696,0.40968,0.3765199999999999,0.25256733333333337,0.052913,1.4981,,4.1653,,,,1.01064,1.6106,,,,,,,,,,4.43865,,1.5151466666666666,2.2418,,1.2991,-0.12195,,-0.15210133333333334,-0.10989,-0.1380299999999999,0.14035000000000003,,-0.01743549999999995,0.085072,-0.047583,-0.0897925,-0.13401
2,516,2,1,,,,,,,0.015696,,,,0.10044799999999995,0.04469,0.60895,0.0870659999999999,,,,-0.0066069999999999,1.5011,,0.160665,-0.093588,,2.1367,,,,,,,,,,2.4266,,,,,,3.9655,3.6391666666666667,,,,5.2257,2.9485,,0.04469,,-0.1969233333333333,,,-0.15604,,,-0.1872599999999999,-0.20956,,
3,353,2,1,,,-0.19140499999999994,-0.13969,,-0.2847,-0.136646,,,,,,,,-0.015970500000000002,,,1.25165,1.584933333333333,0.88249,1.2374,2.8011,1.956994,2.1805,1.1826500000000002,4.2837,1.8296,,2.072343333333333,,4.88,0.3663350000000001,1.8813600000000001,1.4139,2.795,,,,,,,,1.2415,0.40385499999999996,-0.39929,0.10267499999999999,0.787175,-0.14171533333333333,0.1574365,,,1.0306,0.27405500000000005,-0.15794,,,,,
0,544,1,1,-0.189505,-0.15156899999999995,0.25971000000000005,,,-0.48089,0.35684,0.52378,,,,,,,-0.26843,,,,0.032064999999999955,,0.41299,-0.24111,,,0.5571699999999999,2.2569,2.2569,,,,,,,2.1173,,3.3739,,,,5.7141,,,2.2751,,3.65465,,2.1385,,,,,,0.290085,,0.43575749999999996,,0.10795,,
0,37,1,1,,,,-0.41967,,,,,,,,,,,,,,,,,,,,,,,,,2.6038666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,2,1,,,,-0.297,-0.78714,,,-0.65418,-0.79497,,,-0.21618,,0.041922,-0.020649,,,1.8591,,,1.3976,1.751525,,,,0.84231,1.4628,6.2599,3.0127500000000005,2.8733,0.59331,4.7035,,1.2621,,,,,,,,,,,,,,0.36521,,,,,,,,,0.5451,,
2,516,2,2,,,0.26549,,,,,0.04580350000000001,1.7776,,,,,2.0586,2.411,3.4035,,,1.3583,,,4.1462,,1.1888,,,,,,,6.7289,,,0.65579,0.5375800000000001,,,,,,,,,,,,,,,,,,-0.17611,,,0.90335,,-0.4404,-0.44151
0,158,2,1,0.450675,1.4944,1.07492,,,0.7220933333333334,,1.2137,0.98839,,,,,,0.4476,0.8347600000000001,0.73097,0.30216,0.39024499999999995,,1.2403,1.311015,0.79993,1.185,3.8644,3.4669999999999996,5.9149,2.5042,3.9105,3.5208285714285714,1.3305,,2.2707075,1.10004,1.4848033333333335,1.734,,,,,-0.5131100000000001,2.5916333333333337,1.37898,1.9962,,,0.86344,1.7862600000000002,-0.56842,,0.17106,,,0.25709499999999996,0.280655,0.47013499999999997,,,-0.17103
2,45,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7861,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,636,2,1,,-0.43678,0.72782,-0.082739,,-0.2912,-0.30867,,-0.30634,,,,-0.36457,0.06283500000000002,,,,-5.250000000000393e-05,0.154373,0.42502666666666666,0.73946,0.5904,0.248006,0.3155516666666667,1.94015,2.2121025,,3.6673,3.6673,3.8303,2.3955,3.22585,1.14825,,,,,,,,,1.3474,,6.821,-0.1246599999999999,,,,-0.77218,,,,,,,,-0.39485,1.7876,
2,591,2,1,0.15783666666666663,,0.060899999999999996,-0.09617749999999994,0.058956,-0.20462,-0.08012866666666667,0.044362500000000006,-0.095205,-0.046088500000000004,,,,1.7904176,-0.091801,0.9075675000000001,,0.21359999999999998,-0.2085199999999999,,0.2058199999999999,-0.0704023333333333,0.1533,,1.1045025,3.14896,2.5627999999999997,,,4.6176,,,2.1121,,5.166833333333334,,,-0.3291199999999999,,,4.5748,1.437155,,1.1421133333333333,,-0.3291199999999999,0.69602,,,-0.204625,,,-0.34468,-0.69871,,,-0.1209799999999999,-0.015937,
0,407,1,1,0.30029,0.22358,,,-0.5244099999999999,,,,-0.43737,,,,-0.27803,-0.27803,,0.27669,0.83141,0.70158,,,,,,,,,,,3.2509,4.0299,3.1919,,,,,,,1.094,1.4245,,,,4.5404,,,,,,,,,,,0.81075,,,0.23243,,
2,198,2,1,0.75654,,0.7460899999999999,0.7277899999999999,,0.7343299999999999,0.89244,1.0061175,0.963,1.3367,,,,1.6556,,1.47915,1.9247,2.0789,,,,2.3115,1.504,1.90515,2.1579675,3.221,,2.3036833333333333,,,3.21575,,,,,,,,,,,,0.308345,0.5527,0.33578499999999994,,0.42203,,,0.2155699999999999,,,0.35669,0.15023,,0.8375600000000001,0.18159,,
2,199,2,1,,,-0.13864,,-0.1386385,-0.46057,0.44221250000000006,2.0723,-0.4690899999999999,0.32978,0.248865,-0.35667,,-0.4690899999999999,,,,,,,,,,0.36214,,,4.19805,2.805283333333333,,,,5.215,2.2483233333333335,1.8577,1.9223875,3.6615,,1.4523,,,1.63452,1.5408650000000002,1.2586866666666667,,,0.13730200000000004,0.1106166666666667,1.6635,,-0.28229,-0.20848,-0.24936000000000003,-0.1819068,-0.191445,-0.248505,-0.20847666666666664,-0.295345,-0.085837,
2,569,2,1,,-0.3504,-0.53423,-0.4521,,-0.2858699999999999,-0.45307499999999995,-0.376805,-0.44623,,,,,-0.13137,-0.23698,,0.1199275,,,0.16001750000000003,0.0891245,,,,0.55701,0.78191,4.3979,2.9976,7.335233333333332,2.0080975,1.680714,,5.0217,-0.30738,,,,,,5.0863,4.14855,3.6826175,3.757733333333334,1.6942,,-0.24089,-0.48143,0.86112,,-0.39734,0.28371500000000005,-0.349425,-0.3210699999999999,-0.3054199999999999,-0.22133,-0.15875,-0.41591999999999996,-0.40907000000000004,-0.49903
3,91,2,2,,,-0.27235,-0.2645699999999999,,-0.33074000000000003,,-0.24510499999999996,,,0.3613699999999999,,,,,1.0558,,0.07409500000000002,-0.029449,,0.0624169999999999,0.0624169999999999,,-0.26768,1.087,2.3232633333333332,5.727,3.7536883333333333,5.3533,-0.38835,3.80353,,1.47075,,,,2.1567,,,,2.3482,,-0.4467399999999999,,,,,,,-0.53238,-0.5354899999999999,,-0.34657,-0.35072,,,-0.4124899999999999,-0.46283,
0,116,1,1,,0.46616,,,,,,,,0.34849,0.21934,,,,,,,0.2308199999999999,,,,,,-0.63595,,,,,,,3.0435,,,,,,,,,,,0.2767266666666667,,,,,1.8467,,,-0.19109,,,,,,,,,
