fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g692,chr4-g693,chr4-g694,chr4-g695,chr4-g696,chr4-g697,chr4-g698,chr4-g699,chr4-g700,chr4-g701,chr4-g702,chr4-g703,chr4-g704,chr4-g705,chr4-g706,chr4-g707,chr4-g708,chr4-g709,chr4-g710,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754
1,81,1,2,,,,,-0.94401,-1.1696,,,,,-0.3372699999999999,,,-1.18125,-1.2163,-1.3835,,,,,,,,,,,,-0.62508,-0.60953,,,-1.0529,,,-0.64842,,,,,,-0.60175,-0.81177,,,,,,,,,,,,-0.92845,,,-1.2785,,
2,210,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98,1,1,0.42741,,,,,0.50551,0.13632,0.491308,,,,,-0.33226,,,,,,,-0.26126,,0.2783199999999999,,,,,,,,,,,,,-0.05537,-0.1547599999999999,,,,,,0.6191,0.16472,0.43096999999999996,0.6333,,,1.6912,,,1.7267,0.31382,0.12922,,,0.11502,,-0.16186,
2,172,2,1,,,-0.21029,,-0.81228,-0.6796300000000001,-0.6337200000000001,-0.79187,,,,,,,,,-0.5572,,,,,-0.14907,,,,,,,0.065202,,,,,,,,,,,-0.16947,-0.23069,,,,0.075405,,-0.29191,,,,,,-0.0266269999999999,,,,,-0.77146,
2,18,1,1,,,-1.0786,-0.82286,-1.1315,,,-0.85813,-1.0521,,,,-0.906645,,,,,0.9187649999999999,1.8491,,,,0.72917,1.1524,-0.76113,0.7335699999999999,,,0.0016550000000000176,,,,,,,,,,,,,,,,,,,,0.98047,0.7062320000000001,1.02459,-0.20558,2.0431,-0.3598935000000001,0.1471599999999999,1.0047325,,,
2,792,2,1,-0.93648,,-0.54689,-1.0567233333333335,-0.813835,-0.92205,,,,,,,,,,,,,,-0.92205,-0.7633300000000001,,,-0.27273,,-0.2150099999999999,,,-0.92205,,-0.5036,,-0.2871599999999999,,,,,,,-0.87877,,,,-0.96534,-0.87877,,-1.0808,-0.9942,-1.1818,-1.1241,,,,,,,,,-0.9942
1,144,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92681,,,,,,,,,,,,,,,,,-0.7962,,,,,,,,,,,,-0.99212,
2,80,2,1,-0.21677,-0.405155,-0.650045,-0.23435666666666669,-0.86479,-0.013325000000000004,0.06579000000000004,-0.26198,-0.37501,,-0.4805,0.66484,-0.19417,-0.427755,-0.26952,-0.6312,,-0.7680933333333333,-0.33733499999999994,,,-0.405152,-0.533245,-0.32226,-0.6425050000000001,-0.82335,-0.73293,,-0.51818,-0.57092,-0.57092,-0.60106,,,0.039421,,,,,,-0.81205,,-0.29966,,,0.5744100000000001,0.44255,,,-0.51064,,0.92103,-0.91,-1.2641550000000001,,-0.4126899999999999,-0.45413000000000003,-0.261985,-0.5458066666666667
1,942,2,1,,,,,,,,,,,,-0.26748,-0.55085,,,,-0.444585,-0.395,,,,,,,,,,,,,,,0.58263,,,,,,,,,,,,,,1.8861,,,,,,1.1635,,,,0.951,,
3,718,2,1,0.6146199999999999,,,,,,-0.8723799999999999,-0.65791,,,,-0.3576499999999999,,,,,,,,,,,,,,-0.14318,,,0.1141799999999999,0.085588,-0.15748,0.085588,,,,,,,,,,,,,,,,,,-0.028796,0.042694,,,,,,,,
2,730,2,1,,,,-0.4266733333333333,-0.29965,,-0.20438,,-0.31326049999999994,-0.6217433333333334,,-0.29965,,,0.081416,-0.57184,-0.73515,-0.050141333333333336,-0.02746,-0.537815,-0.6671100000000001,-0.03426499999999999,,-0.27243,-0.58545,-0.1771599999999999,-1.1026,-0.35409,,-0.33231200000000005,-0.58545,,-0.7895933333333334,-0.6262800000000001,-1.0436366666666668,-0.68072,-0.78279,,,,,,,,,,,,,,0.8843799999999999,-0.022923333333333334,-0.31325825,,,-0.29965,0.013368,0.15626999999999996,
1,77,2,2,,,,,,,,,,,,,,,,,,,,-0.50434,,-0.061011,-0.2380555,-0.37192,,,,,,,,-1.0628,,,,,,,,,-0.19775500000000007,,,-0.96495,,,,,,-1.0859,-1.2154,,,,,,,,
0,164,1,1,,,,-0.017523,,0.89499,0.7945300000000001,,,,,,,,,0.46803,,1.1043,1.2298533333333335,,0.10805,,,,0.22526,0.4512899999999999,,,,0.26711,-0.69563,0.63547,,,,,,1.4851999999999999,,,,,,-0.28542,,1.1378,,-0.25193,,,,,,,2.2931,0.97034,,,
1,663,1,1,,,,,0.81915,,1.9157,,,-0.34528400000000004,,-0.45203,,,,,,,,,,,,,1.382,,,1.5113466666666666,,,-0.84988,,,,,,,,,,,,,,,,,,,,0.1010799999999999,-0.3744,,,,,-0.6558,,
0,620,2,1,-0.30632,0.06537,,,0.015969,0.3053226666666667,0.015969,,,1.4345,,1.2157,,1.25807,1.3357,1.6462,0.9546,0.9546,0.8064033333333334,0.77817,0.82992,0.77817,1.3357,1.67095,,0.7287600000000001,,,0.25592100000000007,0.98283,1.24748,0.5311533333333334,0.5099899999999999,1.6674,,,,,,,,1.235478,,1.15927,,0.7569899999999999,,,,,0.9934049999999999,,0.9987025,,1.4698,0.9087500000000001,,0.0724279999999999,-0.06872
3,741,2,1,-0.4317,,-0.48416,-0.86888,-0.7005675,-0.700586,0.49949,0.10603,-0.6721499999999999,,-0.916945,-0.5453666666666667,-0.22186,,,-1.1662,-0.4612,0.191275,-0.24809,-0.13005,0.56506,,-0.5978266666666666,-0.5464600000000001,-0.3431725,-0.350388,-0.40547,-0.5300683333333333,-0.4054688333333334,-0.43826,-0.6415466666666667,,-0.35301,-0.10381666666666667,-0.72024,-0.2612,,,,,-0.051354,-0.4207716666666667,,,,,-0.40547,-0.084146,-0.80767,,,-0.57597,-0.96943,-0.96287,-0.7639566666666667,,-0.65466,-0.19562,
2,117,1,1,,-0.785765,0.70624,0.5653900000000001,0.1637,-0.8275,,,,,,,,,,,-0.4518899999999999,,-0.69186,,-0.5562199999999999,-0.6014366666666667,-0.97357,-0.35798,0.88361,,,0.88361,-0.81706,,,-0.9214,,,,,-1.0675,,,,-0.9214,-1.030935,-0.54579,-0.890115,,,,,,,,0.2576,-0.7440249999999999,,,,,-0.33712,-0.5562199999999999
2,181,2,3,,,-0.7488900000000001,,,,,,,,,,,,,,-0.14045,,-0.14045,0.62608,,,,,-0.7211,,-0.91178,-0.8495,-0.8495,-0.590795,-0.7345200000000001,,,,,,,,,,1.4022,1.4405,,,-0.44227500000000003,,-0.30334,0.0543746666666667,-0.82075,-0.66745,-0.5333,0.28114,-0.859075,-0.7608675,-0.586,-0.5333049999999999,,0.04399749999999998,-0.34167
1,63,2,2,,,0.28937,0.26817100000000005,0.47241500000000003,0.4531575,0.1962375,0.93485,0.08062799999999995,-0.092782,,0.14486,,-0.195545,-0.47172,-0.64513,,-0.51026,,,-0.3603933333333333,-0.1184725,-0.50383,-0.073514,-0.3432653333333333,,,,,,,,,-0.63871,,,,,,,,,,,,,,,,,,-0.26619,,,,,,,
1,233,1,1,,,,,-0.55487,,,,-0.90689,-0.48938,,,,,-0.44026,,,,-0.587615,-0.90689,-0.48119,-0.60399,-0.76772,,-0.45663,-1.0624,-1.05015,-0.97238,-0.90689,,-0.8823449999999999,-0.808655,-1.0051,,-0.035030000000000006,,-0.4320699999999999,,,,-0.33384,,,-0.911,,,-0.9642,-0.45663,,-0.9642,,-0.41569999999999996,2.0648,-0.93145,-0.7104199999999999,,,,
1,77,2,1,,,,,,,,,,,,,,,,,,,-0.43813,,,,,0.022473,,,,,,,,,,,,-0.88146,,,,,,,,,,,,,,,,,,-0.02934499999999995,,,,-0.51586,-0.23805500000000002
2,808,2,1,,,,,,-0.8255399999999999,,,,,,,,,,,,,,,-0.57745,,,,,,,-0.90134,,,,,,,,-0.17776,,,-0.13641,,,-0.16397,,,,,,,,-0.12951999999999997,,-0.8668899999999999,,,-0.97715,0.001417,,,
0,648,2,1,,,,,-0.39064,,-0.16012,,-0.06581499999999996,-0.57925,,-0.5513100000000001,-0.5513100000000001,,-0.5513100000000001,,,-0.13218,,0.028488,,,0.002874333333333333,,0.22408,0.007531,,,,0.21011,0.8877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,985,2,1,,,,,,,,,,,,,,,,-0.93595,,0.13517,0.28819,0.57127,-0.59931,-0.079054,,,-0.5228,-0.017848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,584,2,1,,,,-0.022796,0.2852,,,0.04778649999999995,0.002871,,,1.761,-0.022796,,,-0.29229,,,-0.60028,-0.7286100000000001,,,,,,,,0.0542029999999999,,,,,,-0.009962,,,,,,,,-0.009962,,,,,,,,,,,-0.69011,,,,-0.79278,,
2,555,1,1,-0.45564499999999997,-0.19477,0.189375,,1.1125,-0.091567,-1.1809,-0.17184,-0.72225,,,,,,,-0.24064,-0.58465,-0.84839,-1.0204,-0.77959,,,-0.55025,,,,-0.98599,-0.8369233333333334,,-0.5875165,-0.4699749999999999,-0.808255,-0.84839,-0.8675033333333334,-0.8445666666666667,-0.49291,-0.66492,,-0.56171,,-0.65345,-0.72225,-0.79106,-0.46998,-0.22917500000000005,-0.1489,-0.46998,-0.40118,-0.2177,,,,,,,,-0.34957499999999997,,
1,84,1,1,0.41903,-0.000101,-0.79781,-0.7099249999999999,-0.62204,-0.5116243333333333,-0.64232,-0.040662,-0.8383700000000001,0.11820500000000003,-0.6040133333333333,0.1080599999999999,0.0337,-0.31782933333333335,,-0.486835,,,-0.29079,0.3277685,1.2911000000000001,1.3249,,0.85845,,,0.7502800000000001,-0.31783,,2.2409,,,-0.8721699999999999,,,,,-0.12854,,,-0.20967000000000002,0.26355,,0.324392,-0.88569,-0.060943,,-0.22093333333333334,,0.07088,-0.42599,-0.8316100000000001,0.0337,-0.35839,-0.412475,-0.44627,-0.05148000000000004,-0.5544399999999999,
2,566,1,1,-0.887208,-0.80983,-1.0469,-1.2591,,-0.78487,-1.2217,0.03880999999999998,-0.8971899999999999,-0.4728666666666667,-0.85975,0.25099499999999997,-0.66631,0.013850000000000001,0.17920999999999998,,,-0.6975100000000001,,-0.6600699999999999,-0.49366899999999997,,,,,-0.6975100000000001,0.057530000000000026,-0.6101500000000001,-0.2232699999999999,-0.19831000000000001,,,0.0045024999999999996,-0.061027,0.43816999999999995,-0.029828499999999997,-0.22951,,,,,0.1417715,-0.21079,-0.25758925,,,,-0.08598999999999998,-0.34807,,,,,,,-0.80983,-0.55191,,
1,713,1,1,-0.26066000000000006,,-0.058313,,,,-0.4665,1.18195,,,,,,,,,,,,1.2081,,,0.3289395,,,,,,,,,,1.9303,,,,,,,,,,,,,,,,,,,,,,,,,,
0,164,1,2,,,-0.5616800000000001,-0.90911,-1.131,,,,,,,,0.3006,0.0661925,-0.3189,,-1.2733,,-1.0975,,-0.63703,,,,,,,,,-1.0388625,,,-0.624455,,,,,,,,,-0.95515,,0.13317,,,0.4010599999999999,,,,,,-0.69563,,,,-0.034266,,0.10805
0,407,1,2,,,,,,,,,,,,,,,,,,,,,,,,,-1.0881,-0.72833,,-0.92021,-0.4485,-0.43251,-1.0481,0.111152,,,-0.64039,,,-0.99217,,,,,,,,,,,,,,,,,,,,-0.35256,
2,1001,1,2,,-1.0824,,-1.1554,-1.1408,,,,,,,,,-0.30809,-0.74635,,,-0.90705,,,,-0.07435,,,,0.55383,-0.51261,,,-0.58566,0.1740005,-0.68792,-0.59295,-0.7609600000000001,,,,,,,,,-1.1116,-0.80479,,,,,,,-1.433,,,,,,,,
1,94,1,2,,,-0.28075,-0.41705,-0.04402000000000003,,-0.786485,-0.66095,,-0.4457399999999999,-0.30227,,,,-0.4027,-0.2664,,,,,,,,-0.495955,,,,-0.1157599999999999,,,,0.35052,0.493985,1.06789,0.62311,,0.5442,,,,,-0.15163,,,,,-0.036851,-0.23054,0.40073,,-0.4564999999999999,,,,,-0.4600899999999999,,,
1,142,2,1,-0.05996999999999999,0.1212099999999999,,-0.2275666666666667,-0.46989,-0.75525,,-0.36798,,1.5004,0.62059,,,,-0.5604833333333333,,,-0.252475,,,0.4903633333333333,,-0.49367000000000005,-0.055440000000000045,-0.53104,0.02609000000000004,0.28200333333333333,-0.51066,-0.21511,-0.05997333333333336,-0.018075000000000008,0.91614,,-0.44271666666666665,-0.16415,,,,,,,-0.014677,,-0.2253,-0.42233,-0.42233,-0.014675000000000049,0.0023050000000000015,-0.4766899999999999,-0.61257,-0.598985,-0.6171033333333332,-0.72128,-0.8571700000000001,-0.75865,-0.55142,-0.4597049999999999,-0.072425,-0.6941
1,98,1,3,-0.2328599999999999,,,-0.5712766666666667,,,,-0.32516,-0.1902599999999999,,,-0.5345949999999999,,-0.8221299999999999,,,,-0.719185,-0.3038599999999999,,,-0.66594,,,-0.71919,-0.65884,-0.31806,-0.623345,-0.92153,-0.69434,,,-1.0422,-1.0777,-0.99253,-0.99253,,,,,,-0.925774,,-1.088365,,,,,-1.0777,,,,,,-1.0706,,,,
0,27,2,1,0.03477750000000002,-0.480155,-0.13414999999999996,-0.17581666666666665,-0.27363999999999994,,-0.22473,,0.223625,,-0.16495,-0.38776,,-0.17038,,-0.55624,0.10813999999999997,0.93828,0.3323,1.0035,0.98719,1.43555,-0.63775,0.5868333333333333,0.7969715714285714,-0.11604,,0.6122,0.6285,-0.10788500000000001,,0.17471299999999998,,,-0.039951,0.264385,0.43286,0.90023,,0.19374,0.23721,0.5288716666666667,1.2372,0.42199,,,1.0796,,0.29156,0.014393333333333305,0.37308,,-0.40135,-0.16495,,-0.23287999999999998,-0.10788499999999995,-0.45841,0.287923
2,603,2,1,-0.8775999999999999,-0.7763800000000001,-0.88435,-1.2127666666666668,-1.2015,-1.100265,,-1.09354,,,-0.93833,-1.3162,-1.2554750000000001,,-1.0733000000000001,,-0.1151,-0.877605,,,,-0.99231,-1.1678,-0.49973,-0.9923299999999999,,-0.97882,0.26277,-1.1475499999999998,-0.75614,,-0.250055,,,,-1.005805,,,,,,,,,,-1.1475,-1.4107,,,,-0.99231,-1.1047666666666667,,-0.79663,-1.0328,-1.04631,,,-1.0125549999999999
0,55,2,2,,-0.76208,,,-0.60736,-0.9197299999999999,-0.83799,-0.8992899999999999,-0.95184,-0.57816,,,,0.35604,,,,,,,,,-0.59568,-0.59568,-0.46723,-0.26092333333333334,,-0.943085,-0.946,,-0.946,-0.96936,-0.6891,-0.8876200000000001,,,,,-0.90513,,-0.12274,-0.55189,-0.765,-0.58984,-0.750405,-0.837402,-0.31074599999999997,,-0.423435,,,-0.91097,,0.25094,,-1.0569,,-0.8759399999999999,-0.18502000000000005
1,189,2,1,-0.6828050000000001,0.4713699999999999,-0.69495,-0.84073,0.013750000000000012,0.4632699999999999,0.262803,0.8621675,1.2246325,-0.8245399999999999,,0.404956,0.04479166666666668,0.56047,-0.40336999999999995,,0.35797966666666664,0.90874,-0.5572600000000001,,-0.1846799999999999,0.49566750000000004,0.15144249999999995,-0.52486,-0.7206,-0.83264,-0.52486,-0.6909,-0.75165,-0.925785,-0.9298366666666666,-0.909585,-0.71115,-0.69495,-0.5572600000000001,-0.7476,,,,,,,,-0.52486,,-0.8731399999999999,,-0.5896600000000001,-0.56536,0.281033,,,1.7106,0.13119,0.8520449999999999,-0.56131,,-0.20898,-0.32238
3,718,2,2,-0.6364650000000001,,,-0.8437899999999999,,,,,,,,,,,,,,,,0.1284799999999999,,-0.41484,,-0.17178,0.9005799999999999,-0.4434399999999999,,0.3095903333333333,-0.41484,0.014096666666666646,,,,,0.15708,,,,,,-0.52923,-0.643615,,-0.49110000000000004,,,-0.2289699999999999,0.77189,,,-0.37195,0.2428699999999999,-0.51493,-0.4291399999999999,-0.5864199999999999,,,,-0.57212
1,144,1,3,,,,,,,0.1461135,-0.31571499999999997,,,,,-0.5816100000000001,,,,,,,-0.98279,,,,-0.47898,,-0.93612,-1.0015,-1.3187,-1.3093,-1.3187,,,,,,,,,,,,,,,,,,,,,,,,,-0.5816100000000001,,,-0.21775,
0,613,1,1,,,-0.51932,-0.89149,,-1.0103,0.56552,,-0.81628,-1.137,,,0.4784199999999999,,-1.2637,,,,,,,,,-0.55891,,,,,,,,,-0.21709333333333333,-0.76479,-0.65394,,,,,,,,,,,-0.69353,-0.40054,,,0.7819533333333334,,,0.4507,1.3019,,3.8913,,,
2,648,2,2,1.0702666666666667,,0.10889,0.35684,,,-0.13907,,,0.23939,,,,-0.3804949999999999,-0.16517,-0.3609199999999999,,,,,,,,0.056686,-1.0526,,,,,,,,-0.791575,,-0.6741199999999999,,,,,,,,,,-0.68717,,-0.85683,,,,,,-0.047716,,-0.47837,-0.85683,,,
0,215,1,1,-0.46811,-0.23406499999999997,0.31683,,-0.0036249999999999998,,,,-0.23767,-0.29528,0.093593,0.43205,,0.0575865,,,,,,,0.144,0.21602,,,-0.277275,0.028781,,-0.34569,-0.4177,-0.5065183333333333,,,,,,,,,,,,,-0.46091,-0.55453,,,,,,,,,,,-0.63374,-0.36489,,,
0,352,1,1,,,1.6541,1.0280533333333333,,,1.6395,0.16913,,,1.2392,,,0.30744,,0.54037,,,,,,-0.056517,,0.22737,-0.5878899999999999,-0.606085,-0.85721,-0.31856,-0.76259,,-0.5733349999999999,-0.3768,-0.39863499999999996,-0.5587733333333332,-0.15114,0.48213999999999996,,1.5934100000000002,,,,,,,,,,,,-1.0101,,,,0.13274,-0.642485,-0.3695199999999999,-0.8644933333333333,0.067228,
2,244,2,3,-0.33899499999999994,,0.069075,0.16571999999999998,0.1174,,0.6059999999999999,-0.387315,0.19257,-0.6772600000000001,,,,,,0.8691,-0.56987,,-0.1403299999999999,0.14961499999999997,-0.258455,-0.51618,0.4681866666666667,-0.011465,-0.29067,,-0.37121000000000004,,,,0.09592000000000006,0.41808,,,,,,,,,,0.246262,,-0.2781431666666667,-0.15107,,1.8839000000000001,0.6650699999999999,,0.11381866666666667,-0.05442,-0.065158,0.03685999999999999,,1.6583999999999999,-0.40879,0.8959349999999999,0.7831849999999999,0.3321699999999999
2,516,2,1,,,,,,,0.33371,,,,0.25812,0.34451,-0.087431,0.66846,,,,0.4524899999999999,0.10694,,-0.028039999999999954,-0.69214,,-0.23861,,,,,,,,,,-0.50857,,,,,,1.5863,1.5323333333333335,,,,0.91682,1.8347,,-0.18462,,-0.04783666666666663,,,-0.02264,,,0.04215,-0.2818,,
3,353,2,1,,,-0.6092500000000001,-0.329,,0.004635,-0.829445,,,,,,,,-0.86948,,,-0.0620945,-0.23113333333333333,0.525095,0.20481,0.25818800000000003,0.18613499999999994,-0.23558,0.21815499999999996,0.7119300000000001,0.67189,,-0.6759733333333333,,0.058012,0.09137500000000001,0.7052575,0.68524,0.56513,,,,,,,,-1.0096,-0.9362299999999999,-1.0763,-0.8961699999999999,-0.8794900000000001,-0.9206366666666667,-0.5024875,,,-1.063,-0.5825549999999999,-0.24893,,,,,
0,544,1,1,-0.565275,-0.706565,-0.8043800000000001,,,0.1411599999999999,-1.0326,-1.1956,,,,,,,-0.000129,,,,-0.619625,,-0.5218,-0.88046,,,-0.30444,-0.9348,-0.9348,,,,,,,-0.3805199999999999,,-0.56528,,,,-1.3695,,,-0.43486,,-0.7119949999999999,,-0.6957,,,,,,-0.6957,,0.10855300000000001,,0.60849,,
0,37,1,1,,,,0.4343,,,,,,,,,,,,,,,,,,,,,,,,,0.08812466666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,2,1,,,,-0.3562,-0.6782100000000001,,,-0.19203,-0.24886,,,-0.33094,,-0.41934,-0.39408,,,-0.29306,,,-0.52667,-0.2251825,,,,-2.5661,-0.44459,-2.5661,-1.360125,0.054214,-0.50773,-2.5661,,-0.38145,,,,,,,,,,,,,,0.066842,,,,,,,,,0.55933,,
2,516,2,2,,,-0.5733600000000001,,,,,-0.1900155,-0.49777,,,,,-0.75693,-0.5733600000000001,-0.59496,,,-0.89731,,,-0.72454,,-1.0053,,,,,,,-0.90811,,,-0.83252,-0.72454,,,,,,,,,,,,,,,,,,-1.0161,,,-0.64895,,-1.0215100000000001,-1.1349
0,158,2,1,-1.01214,-0.92799,-0.7112175000000001,,,-0.5613066666666667,,-0.76622,-0.46208,,,,,,-0.70798,0.19796,0.5128733333333334,-0.7532800000000001,-0.7435700000000001,,-0.81152,-0.627095,-0.81152,-0.7921,0.2173699999999999,-0.50091,-0.45561,-0.8438700000000001,-0.45885,-0.5933514285714285,-0.74034,,-0.5947375,-0.3520749999999999,-0.6109166666666667,-0.2000065,,,,,-0.72739,-0.6324866666666668,-0.86976,-0.42326,,,-0.6756300000000001,-0.9279999999999999,-0.91505,,-0.91505,,,-0.50738,-0.19353599999999999,-0.733865,,,-0.13853
2,45,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.70917,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,636,2,1,,0.055863,-0.012061,-0.80452,,-0.4422495,0.16341,,-0.98565,,,,-0.77055,-0.3347055,,,,-0.113947,-0.082252,-0.31017333333333336,-0.28376,-0.38565,-0.27244,-0.223384,-0.266777,0.061524249999999996,,0.21435,0.21435,-0.091307,-0.35734499999999997,-0.0856465,-0.742255,,,,,,,,,-1.2234,,0.28228,-1.1555,,,,-0.6913100000000001,,,,,,,,-0.7592300000000001,-0.41961,
2,591,2,1,0.08827733333333332,,-0.35646,-0.4463725,-0.46668,-0.78573,-0.4879466666666667,-0.478275,0.011900000000000022,-0.194035,,,,-0.5096040000000001,-0.47248,-0.1273225,,-0.46087500000000003,-0.79733,,-0.87854,-0.5614266666666666,-0.37966,,-0.8727400000000001,-0.36226,-0.36419566666666664,,,0.21203,,,0.7921199999999999,,0.061206666666666666,,,1.0242,,,-0.46087500000000003,-0.4763416666666667,,-0.6697066666666666,,0.5948899999999999,-0.6117,,,-1.5979,,,-1.0642,-0.12442,,,-0.22884,-0.10122,
0,407,1,1,-0.35256,-0.040757,,,-0.69635,,,,-0.1127099999999999,,,,-0.35256,-0.35256,,0.39897,0.72677,0.5029100000000001,,,,,,,,,,,-0.22464,-0.18467,-0.24863,,,,,,,0.27105,0.27905,,,,-0.2566199999999999,,,,,,,,,,,0.57486,,,0.8467,,
2,198,2,1,-0.49221,,0.47079,0.44477,,0.7994,0.00881,1.0141075000000002,0.4252399999999999,0.13244,,,,0.84819,,-0.020470999999999996,0.13244,0.2137725,,,,-0.043245,0.27559,0.155215,-0.26122,-0.12133,,-0.42931333333333327,,,-0.37509499999999996,,,,,,,,,,,,0.174735,1.5704,0.665995,,0.13243999999999995,,,0.43175,,,0.00881,0.2625699999999999,,-0.062765,0.11292,,
2,199,2,1,,,-0.42698,,-0.25733,-0.75779,-0.25521099999999997,-0.5542100000000001,-0.42698,0.081966,-0.164024,-0.86806,,0.52305,,,,,,,,,,-0.74082,,,-0.20785166666666668,0.12437699999999992,,,,-0.91895,-0.7761683333333332,0.056519,0.007744999999999997,-0.38456,,-1.0292,,,-0.73517,-0.781115,-0.62207,,,0.03956200000000003,-0.6248966666666668,-0.6644800000000001,,-1.0264,-0.5626899999999999,-0.600865,-0.538944,-0.558455,-0.40153000000000005,-0.65883,-0.44393000000000005,0.2261699999999999,
