fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g534,chr4-g535,chr4-g536,chr4-g537,chr4-g538,chr4-g539,chr4-g540,chr4-g541,chr4-g542,chr4-g543,chr4-g544,chr4-g545,chr4-g546,chr4-g547,chr4-g548,chr4-g549,chr4-g550,chr4-g551,chr4-g552,chr4-g553,chr4-g554,chr4-g555,chr4-g556,chr4-g557,chr4-g558,chr4-g559,chr4-g560,chr4-g561,chr4-g562,chr4-g563,chr4-g564,chr4-g565,chr4-g566,chr4-g567,chr4-g568,chr4-g569,chr4-g570,chr4-g571,chr4-g572,chr4-g573,chr4-g574,chr4-g575,chr4-g576,chr4-g577,chr4-g578,chr4-g579,chr4-g580,chr4-g581,chr4-g582,chr4-g583,chr4-g584,chr4-g585,chr4-g586,chr4-g587,chr4-g588,chr4-g589,chr4-g590,chr4-g591,chr4-g592,chr4-g593,chr4-g594,chr4-g595,chr4-g596
2,244,2,1,,0.07652925,0.28607,0.31421,-0.019446,0.062963,0.07502199999999999,0.18825,0.22577,,,0.54133,0.60666,,,,0.5584150000000001,0.7436666666666666,0.4281066666666667,0.48906999999999995,0.6425,0.72022,,1.37211,,2.1513,0.88705,1.3352633333333335,1.432745,1.27595,1.6287,1.1041,,0.5755,,1.3936,,2.1513,,,,0.3323,,,0.5272600000000001,,,,,,,,,,-0.3149099999999999,0.042863,,0.25994,0.10115233333333333,-0.18627,,-0.035525,-0.01442000000000001
2,198,2,1,,,,1.2779,1.4713,1.3968,1.0649,0.7879200000000001,,,0.45730499999999996,,1.4256,0.9538500000000001,1.1094,1.2296,0.49259,,1.6337700000000002,,1.702615,2.1848,2.52455,,,,,2.9257,,,,,1.2727,,,0.67291,1.5379,0.76177,2.8839,2.62255,2.9178,2.353975,2.6121,,,,1.25919,,0.91857,0.7460899999999999,,,,1.2714,,0.69121,,,,,,0.7722199999999999,
1,826,1,1,,-0.2672,,0.002376,0.23601,,0.27914,0.44808,,0.52715,0.049102,0.4732399999999999,-0.04794333333333334,-0.2672,-0.083889,0.22882000000000002,-0.1198299999999999,,0.058685666666666664,0.174902,0.13537,-0.100063,0.13057566666666667,,,,1.3035,1.5551,,0.83267,,2.5939,2.5939,,-0.2061,0.676315,2.128455,,,,0.78054,-0.0515399999999999,0.68171,-0.15937,0.69609,,,,0.32406999999999997,,,,,,,0.12099,0.8937700000000001,,0.15453599999999998,0.76078,0.91175,,0.39057
2,792,2,1,,,,,,,,,-0.1869,,-0.26658,-0.12095,,,,,0.90397,,0.76108,,0.95618,0.7995699999999999,0.800905,,0.8023,,,0.13734,1.4205,1.5098500000000001,1.7576333333333334,2.4125,,,1.2639,2.2311,,,,,,,,,,,,,,,-0.31329499999999993,,,-0.33802,,,-0.10446449999999995,-0.08248,-0.24735,,,,
2,555,1,1,,0.23769,,0.23769,,0.1472,-0.04940499999999998,-0.10245499999999999,-0.2304,-0.5081399999999999,-0.013517499999999995,0.27514,0.526353,0.37083533333333335,,,2.1142333333333334,1.6607,1.9509,2.1132,2.3933,0.772905,1.6794666666666667,,0.71827,2.6718,0.75572,,1.281555,,2.4065,-0.002595,2.9121,1.16138,,2.8965,1.514,0.10974999999999997,1.3018,0.930465,0.74012,0.6517000000000001,0.39841,0.12847199999999998,0.28970666666666667,0.428055,0.17059850000000001,0.081662,0.23769500000000002,0.3781199999999999,0.60593,0.04577500000000001,0.53103,-0.31154,-0.22104,0.29802466666666666,,0.056697,0.48421775,0.44366,,0.19088499999999997,0.318835
1,718,1,2,,,,0.7192,,,0.061886,0.1142099999999999,,,,1.1705,,,,0.1698,,-0.026410000000000045,,,,0.27117899999999995,,,,1.1084,0.54261,3.96,2.8645,0.75517,,0.37256,2.0567,0.92851,0.42488,,2.6977,,0.23848,,,,,,,,,1.97658,3.3779,,2.0223500000000003,1.8784999999999998,0.9775466666666667,2.974,3.391,2.6126,,0.4445,,,0.4314199999999999,,
3,853,2,1,,,,,,,,,,,,,,,,,1.7197000000000002,1.8871,,,,0.3071250000000001,0.39286,1.4155,,,1.6605,,,,,,,,,,,,,,,,,,,,,,0.92562,0.0438,0.33774,,,,,1.3828666666666667,1.121565,1.4829,,2.6525,,,2.1198
1,63,2,2,-0.17985949999999998,0.16418733333333335,0.0020899999999999994,-0.32633,-0.2863,-0.19157999999999994,-0.2153366666666666,-0.364412,,,,,,,,,0.98313,,1.1823,1.1296,2.2258666666666667,2.0075,1.3366,3.1685,2.5758,,,,2.43225,,1.2683,1.4499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,116,1,1,,-0.29154,,,0.015559,-0.13943,-0.12029400000000001,0.19350499999999998,0.067221,-0.32598,-0.32311,-0.024622,,,0.18489,,,,0.12462,1.9615,0.1361,,,0.45181,,,,,,1.05454,,1.0402,4.1026,,1.2956,,1.1808,,,,,,-0.038973,,,,,-0.09781000000000001,,,,,-0.29728,,-0.32885,,,,,,0.43172,0.43172,
1,144,1,2,,,0.3115,,,-0.0747299999999999,,,,,,,0.62692,,0.7320566666666667,0.66232,1.6611666666666667,2.8059000000000003,2.3992666666666667,,1.4573,0.14896000000000004,0.97774,,,,,,,,,,,,,3.291866666666666,,0.17954,,0.58507,,,,0.42415,,0.55611,0.61082,,,,,,,0.26,0.26644,,,,,,,,
1,189,2,1,0.06673,0.6728,-0.017088,0.3233418,0.07854999999999997,0.02320950000000005,0.0836565,0.13362475000000001,0.33591000000000004,0.086075,-0.10252,-0.004193,-0.02192300000000005,-0.0267589999999999,,-0.21696,0.279498,0.5040946666666667,0.3557946666666667,0.24726000000000004,0.6112142,0.02455383333333333,0.1025955,-0.14926,1.30142,0.9702075,2.36685,2.516,1.4803,2.227025,2.86895,,,,-0.20568,,,,-0.15732,1.1725,0.561586,1.9364949999999999,1.3083371428571429,0.8659038000000001,,1.6705,0.023209,0.10944300000000001,-0.0219229999999999,0.030461000000000002,0.05114699999999996,-0.0976809999999999,0.25129,0.9065300000000001,0.5911109999999999,0.16182999999999997,0.41059666666666667,-0.12992,,0.6077866666666667,0.47292,2.5877,
2,199,2,1,-0.1670303333333333,-0.40520999999999996,,,,-0.2050699999999999,-0.5747,-0.2601443333333333,-0.44558,0.005005666666666665,-0.23914,,-0.16674499999999995,1.45655,,0.65171,-0.1396614,0.094717,0.0078459999999999,0.34681,0.8339533333333332,0.5989133333333333,-0.02111,0.092165,-0.32941,2.8916,4.2475,3.501376666666667,2.964,2.705386666666666,-0.29535,0.78457,-0.094354,,1.345,,,0.242055,2.786,1.66265,0.4933,0.7547849999999999,1.3449786,1.5459699999999998,1.08438,,-0.3583699999999999,-0.331115,0.018067,-0.25617,-0.339635,-0.32327999999999996,-0.41117499999999996,-0.28683,-0.13864,0.008981999999999999,-0.16759566666666667,-0.25106,,0.01636333333333326,,-0.17554666666666666,-0.219545
2,117,1,1,0.06278333333333334,-0.022816,-0.043717,0.009033333333333338,-0.19004,0.014509000000000051,,,,0.8899156666666667,2.1869,0.68787,,1.180585,0.24891,0.9162999999999999,0.7374319999999999,,,,,2.6736,0.61025,,1.2776100000000001,2.1256500000000003,2.215733333333333,,2.2227,2.1182,2.2944,,1.097,1.7897,1.7897,,,1.093985,1.2254,1.1776,0.93571,0.850605,1.0641,0.89092,0.88495,,,0.5594600000000001,,0.18919,-0.2199,0.09364,,-0.04670666666666667,-0.11836999999999999,-0.39009999999999995,,-0.322915,-0.34531,0.1772485,-0.30649,-0.10643,-0.22785999999999998
2,591,2,1,1.1026,,2.365,,1.7912,0.43341,,,,0.33809,0.11245,,0.41785,0.22786700000000004,,0.48982,0.93042,0.99558,0.4801,0.57736,0.894925,0.50052,-0.1910099999999999,,,,,,2.4506,2.5404016666666664,2.227555,4.001,,0.8380200000000001,1.60639,,-0.33301,,,3.0887,3.0964,2.9194,,,,,,0.22916,,-0.25326,-0.18128499999999995,,,0.021022,0.52873,,0.55985,0.2097099999999999,,,,,-0.35051499999999997
1,843,2,1,-0.150905,-0.030545,-0.13651,-0.251315,,-0.17772333333333334,-0.2022525,-0.24445,,-0.22580499999999995,,-0.19735,0.0145895,-0.0325079999999999,-0.04951499999999997,0.1598099999999999,0.172565,2.0182033333333336,4.5144,1.467735,2.346915,-0.08549000000000001,0.26774,0.04893,1.212135,0.45710999999999996,1.8978426666666666,,,,,2.33805,0.2029775,2.709,0.028326,6.098,,1.6041,,1.099406,1.7231833333333337,2.1006175000000002,1.0965133333333335,1.3499875000000001,1.6521875,0.88785,,,,0.39137,0.40707,0.34819666666666665,,,,,,-0.4505,,-0.14436,,-0.34649,0.346235
2,808,2,1,0.1363,-0.042828,-0.18837,-0.0148379999999999,,0.19228199999999998,,,,,,,,,,,,0.61492,0.72128,,0.7632699999999999,1.0963,0.405,0.85003,0.6415075,0.69049,0.37981,,0.6988825000000001,0.13351,2.0928,,,5.1548,4.623,,,,0.39381,0.16149,0.5281600000000001,0.8752200000000001,1.0096,0.801075,3.4139,0.34063,-0.009241,,,,,,,,,,0.28465,,-0.1184,0.162895,0.30424,,
0,352,1,1,,-0.23157250000000001,0.2070199999999999,-0.23985,0.35598,-0.20438,-0.0062450000000000006,0.28741,0.13018249999999998,0.4079993333333333,0.38908,,-0.008136,,-0.3320599999999999,-0.057789,0.39302166666666666,0.3134225,0.16623787499999998,0.27086,0.016098999999999995,-0.07764939999999998,-0.40063,,,1.0788962500000001,2.7306333333333335,2.1033,2.83505,3.00645,2.3823,2.2506666666666666,1.92715,1.5896175,1.7202333333333335,,0.5876899999999999,1.5961,0.46001,,,-0.12636,,1.6564,0.5427533333333333,-0.44319,,0.12426833333333341,,,0.079346,-0.0932549999999999,,,-0.15236,,,,0.084075,,,0.87969,
2,181,2,3,,-0.142,-0.31768,-0.15491825,-0.2126199999999999,0.031956,-0.0248815,-0.0011992500000000232,,-0.33662,,,,,,,0.061236000000000006,-0.021437,-0.002491,0.156825,0.05319999999999997,,0.050901,0.1456299999999999,,1.8258,1.00045,2.3364,2.6214500000000003,1.573425,1.7336,1.94891,2.6137,2.36485,,,,,0.4280899999999999,0.6985,1.33147,1.7198,1.44484,0.8914,,0.52282,0.075014,,-0.0179919999999999,,,-0.20314500000000002,-0.1885,-0.10583,-0.23673,,,,-0.20227999999999996,-0.12133450000000001,-0.173,-0.037800250000000035,
0,55,2,2,,0.56047,0.81219,0.36183,,,,,,,,-0.19468499999999994,-0.093356,-0.34587775,,-0.4825899999999999,1.1901766666666667,1.1462166666666667,0.628029,0.5910299999999999,0.952135,0.710202,0.8743733333333333,0.4996066666666666,1.05827,0.97947,,2.6836,3.215716666666667,3.9132499999999997,3.437666666666667,,1.647,0.17123,,,,0.026473,0.15434,,,-0.5051100000000001,-0.47562333333333334,-0.43059000000000003,-0.44078,,-0.38448,,,,,,,,,,,,,,,,
0,750,1,1,,,0.5134099999999999,,,,,,0.43313,,0.044666,0.736135,0.5962825,0.3381733333333334,0.13012899999999994,,,1.324,,,,,,,1.5726,,2.2874,,,,1.9766,,,,,,,,,,1.1738,,,,,,0.90964,0.65585,,,,,,,,,,,,,,,
