fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98
2,210,2,4,,,,,,,,,,,,,,,,-0.94028,,,,,,,,,,,-1.024155,,,-0.9402649999999999,,,,,,-0.89554,,,,,,,,,,,,,,,,,,,,,,,,,,
2,244,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,648,2,1,-0.73293,,-0.8796200000000001,-0.69102,-0.711975,-0.6956733333333333,,,-0.673555,-0.63513,-0.6491033333333334,-0.5163800000000001,,,,-0.70499,,,,,,,,,-0.78183,,,,,-0.5163800000000001,,,,,,,,,,,,,,,,,,0.81785,,,-0.76786,,,,,,,,,,,
0,99,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,116,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1244,,,,,-1.11975,-1.2265,,,-0.9990749999999999,,-1.0408,,,,,,,,,,,,,,,,,,,,,,,,,
1,142,2,2,,,,,,,-0.7824300000000001,-1.0542,-0.97267,-0.8622625,-1.0474,,,,,,,,,,,-0.76884,-0.8639600000000001,,,,-0.92511,,-0.91152,,,,,,,,,,,,,,,,,,,,,,,-0.96588,,-0.99305,-1.0746,,,,,,,
1,142,2,3,,-0.80281,,,,,-0.096208,-0.76205,,,,,,,,,,,,-1.4143,,-1.2784,,,-1.2897666666666667,-1.3667,,,,,,-0.67372,,,-0.7076899999999999,,,,,,,,,-1.1561,-0.7824300000000001,,,,,,,,,,,,,,-0.63975,,,
2,210,2,3,,,,,,,-0.28595499999999996,,,,0.39074,,,,,,,,,,,,-0.7799699999999999,,-1.0111266666666667,-0.65506,,,-0.8508,,,,,,,-0.8396100000000001,-0.8396100000000001,,,,,,,,,,,-0.24681,-0.91791,,,,,,,,-1.1416,,-1.3429,,-1.0633,-1.0745200000000001
2,1001,1,2,,-0.10357,,,,,,-0.38114,,,0.65609,,,,1.4157,,,,,,,,,,-0.8194,,,,,,,,,,,,,,,2.6137,2.10235,1.5472,,,,,,,,,,,-0.388437,0.3785199999999999,,,,,,,,
1,77,2,1,,,,,,,-0.5575975,-0.66843,-0.8497899999999999,-0.8497899999999999,-0.65404,-0.87282,,0.91489,0.18656,1.0674333333333335,0.37944,0.9811,1.8461499999999997,1.5559,,1.54104,2.8019,2.6181666666666668,3.1287,3.1258,0.1506,-0.035102,,,2.5083,-0.49283,,,1.038695,-0.18863666666666665,1.4808672,,,,-0.50434,,-0.7807,,-0.48131,,,-0.53457,,,,,,,,,,-0.53313,-0.35105,,,-0.5907
1,194,1,1,,-0.21497,-0.21497,-0.6097899999999999,,0.06429299999999995,,,,,,,,-0.349785,-0.53275,-0.47497,,-0.25349,,-0.012745000000000034,,,,,,,,,,,,,,,-0.91794,-0.86016,,,,-1.2068,-1.2068,,,1.2776,-0.5616399999999999,1.6051,0.04503500000000005,,,,,-1.2646,-1.2165,,-0.86016,,-0.44928999999999997,,-0.54238,,,-0.2631199999999999
3,455,2,1,2.1708,0.009858,,0.47186666666666666,0.288155,-0.230241,,,,,,,,,,,,,,,,,,,-0.60131,,-0.08836500000000001,-0.14293049999999996,-0.2666326666666667,,,0.020771,-0.535825,0.053512,,-0.40121333333333337,-0.65587,,,,,,,,,,,,-0.15385,-0.38303,,,,-0.04471,,,,,,,,
3,853,2,1,,,,,,,-0.1351,,,,,,,,,,,,,,,,0.20864,,,,1.129,,,,,,,,,,,,,,,,,,,,-0.7671399999999999,-1.0333,,,,,,,,,,,,,,
0,648,2,2,,,,,,,,-0.47447,-0.47447,-1.1101,,,,,,,,,,,,-1.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,612,2,1,-1.0003,,-1.02631,-0.5311899999999999,-0.96552,,,-0.72229,,,-0.55725,,,,0.40696,,-0.79178,,,,,-0.2184699999999999,-0.86128,,,-0.791785,,0.49383,,,-0.93077,-1.2609,-0.98289,-0.98289,,,,,,,-0.60068,,,,,,-1.0698,,,,,,,,,,,,,,,-0.40958
1,831,1,1,,,,,,-0.90954,-0.80738,-0.32719,-0.32719,,-0.43958,-0.90954,,,-0.64391,-0.32719,,,-0.48044,,,,,,,,,,,-0.77673,-0.75629,,,,-0.8891100000000001,,,,,,,,,,,,,-0.36806,,,,,,,,,,,,,-0.67456,
0,884,1,1,,,,,,-0.42636,,,,,,,,,,,,,,,,,-0.38414,,,,,,,,1.8324,,,,-0.91188,-0.98576,1.2519,,,,,,,,,,,,,,,-0.79578,,-0.80633,,,,,,,,-0.6269
0,646,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52083,,,,-0.39291,,,,,,,,,-0.34495,,,,,,,,,,,,,,,,
2,578,2,1,-0.38248,-1.238,-0.19397899999999996,-0.0924779999999999,,-0.755865,,-0.29548,-0.7848645,-0.726865,-0.62898,,,-1.6585,-1.499,-1.5135,,-1.731,,,,,,,,,-0.43323,,,,,,,,,,,,,,,,,,-1.267,,,,,,,,,-0.0924779999999999,-0.23748,,-1.035,,,-1.383,,
0,620,2,1,,,,-0.39336,,,,,,,,,,,,,,,,,,1.2934,,-0.7674,,0.4359050000000001,1.97795,0.8581533333333334,0.27709,0.044197,,,,-0.026376,,,0.54527,,,,,,-0.47451999999999994,-0.13224,,-0.45687666666666665,,-0.20281,,,,,,,-0.66154,,,,0.6087899999999999,0.27003,,0.6087899999999999
2,18,1,1,1.0686849999999999,1.8491,,,0.34704,,1.5405,-0.30258,-0.24085,,-0.1703,,,-0.62885,,,,,,-0.17912,,,,,,,,,,1.1965,,0.6674399999999999,,,,-0.046845,,,,,,,,,,0.27943,,,2.5898,1.7168,-1.3696,,,,,,1.1083433333333332,0.31031,0.20007,-0.76554,-0.32462350000000006,
1,81,1,2,,,-1.6363,-1.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4963,,,,,,,-1.5507,,-1.5974,,,,,,,,,,,,,,,,,,,
2,30,1,1,,-1.2478500000000001,-1.2532999999999999,-1.3954,-1.4245999999999999,-1.072955,-0.851034,-1.29155,-0.76138,-0.44437,-0.48810000000000003,-1.0238,,,-1.3408,-1.0456,-0.94724,-1.0894,-0.89256,-0.9691,-0.60835,,,-1.36265,-1.4064,-1.3954,,,-0.80512,-0.47717,-0.9253866666666667,-0.833554,-0.36785,-0.02349000000000001,-1.08935,-0.8415633333333333,-1.2315,,-1.308,,-1.3736,,-0.34598000000000007,-0.95817,,,-0.9527125,-1.0456,-0.2148,0.34273,-1.2096133333333332,,-1.1913733333333334,-0.700166,-1.472,-0.36238000000000004,-1.5157,-1.2315,-1.1549,-1.1877,,
2,636,2,1,-0.6913050000000001,-0.8611200000000001,,-0.64603,,-0.5177200000000001,,-0.8950799999999999,,,-0.7026300000000001,-0.82716,,-0.29507999999999995,-0.4271566666666667,-0.1479099999999999,-0.006399999999999996,-0.65735,,-0.88375,,-0.9064,,-0.8611200000000001,-0.617725,,-1.002655,,,-0.436593,-0.6535666666666667,-0.40829,-0.5233849999999999,-0.7535725,-0.8800033333333332,-0.6233850000000001,-0.45640025,,,,,-0.28376,-0.5101749999999999,-0.6611166666666667,-0.66867,-0.6347,-0.70263,,-0.9215,-0.87244,-1.019595,-0.87244,-0.81584,-0.77055,-0.97433,,,-0.91772,-0.81018,-0.91772,,
3,455,2,2,,,,,,,,,,,,,,,,,,,,,,0.151733,0.66468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44851,,,,,,,
1,663,1,1,,,,,,,,,,,,,,0.11079,,0.1010799999999999,,,,,,,,,,0.79004,,,,,0.4116,0.58627,0.39219,,,,,,,,,,,,1.1491,,0.091379,,,,0.76093,,,,,,,,,,,
0,750,1,1,,-0.64671,,,,,,,,,,,,,,,,,,,,,,-1.0977,,,-1.1059,-1.2453,,,-0.1137099999999999,,,,,,,,,,,,,-0.85581,-0.3310075,-0.954205,,,,,,-0.81891,-0.63031,,,,,,,,,
3,353,2,2,-1.14975,-0.9295433333333333,,,-0.91619,-1.0897,-0.8361200000000001,-1.0897,,-1.1164,,,,-1.1164,,-1.0897,,-0.962915,-1.6635499999999999,,,,,,-0.71601,,-0.92953,,,-1.4633500000000002,-1.4144333333333332,-1.4367,-0.07544000000000001,-1.3832666666666666,,-0.33123166666666665,-0.87615,,,,-0.69597,,,,-0.5959,0.024650000000000005,0.33826333333333336,-0.3690343333333333,,-0.4891399999999999,-0.28896,,-0.329,-0.6893199999999999,,,,,,,,
1,81,1,1,,,1.4985,,,,-1.1151,-1.0606499999999999,,-0.096132,,,,,-1.2085,-1.3174,-1.4341,-1.1851,,,,,,,0.00499000000000005,0.15667499999999995,,,,-0.8999333333333334,0.19557,,,,0.47171,,,,,,,,,0.44838,-0.5784100000000001,-0.62508,,-0.8273299999999999,-0.64842,-1.0374,-1.0723525,-0.6328699999999999,-0.6925,-0.78066,-0.6678649999999999,,-0.72621,-0.7651,,,-0.4772899999999999,
1,826,1,1,,-0.61141,,-1.1641,,,-0.12546,0.75115,0.57011,-0.008739999999999998,,,,,0.65587,,,,,0.093691,,,-0.4938933333333333,-0.763865,-0.7733899999999999,1.3229,,-0.34462,-0.61141,-0.311265,-0.64,0.27949499999999994,,-0.1731,-0.08098666666666669,,-0.97729,,,-0.85915,0.52247,,-0.9449,0.289045,-0.45896,,1.5801,-0.84962,-0.5971389999999999,,0.084163,-0.19216,-1.2784,-0.39543533333333336,-0.8527833333333333,,,,-0.29220899999999994,,-0.1731,-1.1355
0,610,2,1,,,,-1.2275,0.15716,,,,0.90486,-0.91593,,,,,-1.2967,,,,,,,,,,,,,,-1.2621,,-0.56285,,,,,-0.064385,,,,,,,-0.5767,,,,,,,,,-1.1236,,,,,,,,,,
1,233,1,1,,,-0.080053,0.042745,-0.57124,,,-0.0309339999999999,0.10414499999999999,,0.5011899999999999,0.92689,,,,,-1.0788,-0.94782,,,,,,-0.29699499999999995,,0.22285,-0.10461499999999996,0.23513,-0.722695,,1.107,-0.10461,0.24331299999999997,-0.08824,,,,,,,-0.72679,,,,,,-0.8414,,0.050931,,0.38658,-0.12508000000000005,,-0.08824,-0.15373,,,,0.14098,,0.5666800000000001,
2,199,2,1,-0.7577883333333334,-0.6814499999999999,-0.520285,-0.644126,-0.2615675,-0.4039528571428571,,-0.94016,-0.78748,-0.74082,-0.7408250000000001,,-0.01134,-0.96137,-0.8228300000000001,1.1083,-1.0038,,0.8369,-0.490573,-0.63055,-0.57118,-0.8723049999999999,-0.9295575,-0.91047,-0.6362066666666667,,,-1.0631625,-0.821405,-1.0773,-0.46091,-0.7182066666666667,,-0.83413,,,,,,,,-0.5923849999999999,-0.460905,,,-1.114,-0.93592,-0.70972,,-0.5966199999999999,-0.97833,,-0.9953,-0.61359,-1.148,-1.10135,-1.0123,-0.8341299999999999,,-0.76628,-0.6333833333333333
2,770,2,1,-0.5202666666666667,-0.40557333333333334,-0.5508533333333333,-0.51262,-0.49541499999999994,-0.8337700000000001,,,-0.19147,,-0.36351666666666665,,,,-0.50689,,-1.1664,,-0.8337700000000001,,,-1.2925,-1.2696,,0.47376,,,,-0.065309,-0.05957250000000001,-0.07678000000000006,,-0.673205,-0.17999733333333334,0.042503599999999996,0.03218500000000002,0.014978,,,-0.065309,,,-0.89112,2.1024,0.05703333333333338,1.127515,0.33040500000000006,-0.134124,0.295984,0.129675,,-0.32911,0.17784400000000003,,-0.1513295,,,,,-0.62732,-0.2947,
2,43,2,1,,-0.6034133333333334,-0.475057,-0.4650125,-0.6659200000000001,-0.6179250000000001,-0.223925,,-0.45832,-0.66592,-0.3801866666666667,,,,0.82078,1.6605599999999998,0.3586933333333333,,0.07520500000000004,0.03725199999999995,,-0.4985,,-0.32772999999999997,-0.4270633333333333,-0.156958,-0.227275,-0.2574099999999999,,-0.45496499999999995,-0.398045,-0.5738375,-0.4694766666666666,-0.51524,-0.538675,-0.3600933333333333,0.50602,,,-0.4918,,,,,-0.47841,,,,-0.4985,-0.3712576666666667,-0.12347333333333337,-0.73958,-0.52528,-0.5476066666666667,-0.3729325,-0.38465,,,,-0.10338,-0.34447,
1,36,1,1,,-1.32335,,-1.0013450000000002,,,,-0.66694,-0.88161,-0.865095,-0.89812,-0.79079,,-1.0963,-0.65869,-0.97243,-1.1747,,-1.1128,-1.0137,,0.51373,,,-0.5210766666666667,-1.05915,-1.034345,-0.90638,-1.0385,,,,,,,,,,,,,-1.3522,,,,,,,,,,,,,,,,,,,,
2,260,1,1,,-1.2256,-1.112,-1.0779,,,-0.54943,-0.31266,-0.9149966666666667,,0.445,,-0.8392299999999999,,-0.44146,-1.2484,-1.1575,,-0.8430266666666667,-1.1461,-1.48705,-0.8127266666666667,,,,-0.777866,-0.74831,-0.5929933333333334,-0.867645,-0.77104,-0.6157233333333334,-0.089148,,-0.68012,-0.21416,-0.74831,,,,-0.685805,-0.9415100000000001,-0.6630749999999999,-0.90741,-0.8165,-0.850595,-0.7937633333333333,,,-0.8619650000000001,-0.27099,-0.47556,-1.12338,-0.719905,-0.9131199999999999,-0.6914899999999999,-0.8619600000000001,,,,,,
2,555,1,2,,-1.2918,-1.2727,-1.28415,,,-1.2497,,,-1.3529,-1.1867,,,-1.0663,-1.1695,,,,,,,,,,,,-1.054815,,-0.9515899999999999,-1.04905,-1.0662666666666667,-0.9229250000000001,-0.8999950000000001,-0.2291699999999999,-0.2635699999999999,-0.6228833333333333,-1.1924,,0.0001699999999999,-1.0089,-0.5464233333333334,,-0.72225,-0.8942799999999999,-0.9573175,-0.832346,-0.72225,,-0.63052,,-0.98599,-0.676385,-0.7643,-0.8598600000000001,-0.74519,-0.57318,-0.6993199999999999,0.16071,,,,
2,569,2,1,1.1159,0.052126000000000006,1.1159,-0.09515499999999999,0.7568349999999999,0.08741500000000002,-0.90454,0.1787,-0.8802,-0.32032,,,,0.11784,0.44038,0.075244,0.11174849999999999,1.0672,,,1.0672,,-0.88629,,0.36734,,-1.41575,1.0915,,-0.56375,-0.4582633333333333,,-0.50289,-0.8376000000000001,-0.7219866666666667,-0.8802,-0.6611199999999999,,,,,,-0.95323,-0.60026,,,-0.81934,-1.1480000000000001,-1.08711,-0.965395,-1.0414625,-1.1885333333333332,-0.892366,-1.096235,-1.01407,-1.0627499999999999,-0.57592,-0.6185149999999999,-0.9654,,-1.3427,
0,646,2,1,,-0.8486100000000001,,-0.6167699999999999,,,-0.38492,,-0.28099,,,,,,,,,,,,,,-0.7713266666666666,,,-0.057136,-0.584785,,-0.756675,-0.75268,-0.8486100000000001,-0.618765,-0.7238960000000001,,-0.3795866666666667,-0.6007766666666666,-0.8486100000000001,,,,-0.3489399999999999,0.19069849999999997,-0.20503499999999994,-0.39690999999999993,-0.27832266666666666,0.1607225,0.1640506666666667,0.468515,-0.08644833333333331,0.27864,0.0963638,-0.11842666666666668,-0.10510333333333333,-0.177056,-0.18305,-0.07845633333333334,-0.09977333333333327,-0.3076366666666666,-0.17545679999999997,,-0.11043366666666665,-0.18505
0,27,2,1,,,,,,-0.44211,-0.29538,-0.9122,-0.518195,-0.420375,-0.34156800000000004,,,-0.98557,-1.078,-1.1459,-1.1449666666666667,,-1.116,-0.82796,,-0.52906,-0.795355,,-0.7084,-0.56167,,-0.05082,-0.75188,-0.90948,,-0.6123933333333333,-0.50732,-0.505965,-0.6232633333333333,-0.24375,-0.80079,,-0.70297,-0.1595099999999999,-0.6105799999999999,-0.2682,,,,,,,,,,-1.1214,-1.1250666666666667,,-1.0834,-1.1323,-0.17582,-0.1866799999999999,,,-0.21386,-0.029082
1,468,1,1,0.06455,-0.94938,,-0.15676500000000002,-0.4827233333333334,-1.1552,,,1.03386,-1.2067,,-0.7640899999999999,,,,-0.5891,,,,,,-0.89276,0.11087,-0.78468,,-1.145,,,,,-0.45528,-0.21337799999999998,,,0.36821,-0.722915,,,,,,,-0.37293,-0.347198,,,,-0.47072,,,,,-1.093475,-1.11405,-0.67145,,,,,,,
2,603,2,1,-1.3837,-0.8742225,-0.661675,-1.3972,-0.62793,-1.5726,-0.7359,,-0.92484,-1.0598,,,,,,,-0.7831300000000001,-0.87085,-1.0733,,,-0.81014,,-0.8776005,-0.9023433333333334,-0.999085,-0.034131,,-1.1947,-0.4794833333333333,-0.891095,-0.536835,0.22228,-0.43225025,-0.19608,-0.33552999999999994,-0.17808333333333334,,,,,,-0.6711199999999999,,-1.0058,-0.2703,,,-0.9821975000000001,-0.688675,-0.7763800000000001,-0.80338,-0.5379666666666667,-0.76289,-0.76289,0.11432,-0.84386,-0.93833,,-0.918085,-0.83037,-0.87085
2,1229,1,1,,,-1.045,,,,,,,,,,,,,,-0.48158,,,,-0.004879,,,,1.6419,,,,-0.13489,,,,,,,,,,,,,,,,-0.13489,,,,-0.26489999999999997,,,-0.37324,,-0.004879,-0.78494,,,,,-0.004879,,
2,80,2,1,,-0.37877999999999995,,0.2202599999999999,-0.24440199999999992,-0.66386,-0.555855,-0.5162925,,,,-0.52571,,,,,,,,,,0.8230700000000001,-1.8694733333333335,0.17505,-0.59353,0.39357,0.69121,0.43878,-0.60106,,,,,,,,,-0.6161300000000001,-0.71409,,-0.71409,-0.563385,-0.40138299999999993,-0.670386,-0.7894399999999999,,,-0.8723299999999999,,-0.8723299999999999,,,-0.8874,-0.81958,,-0.66888,-0.766836,-0.480505,,-0.3109615,,
2,198,2,1,,-0.34906,,,,-0.18964949999999997,-0.14735,,-0.30025999999999997,-0.36858,,-0.25146,,,,,,,,,,,0.64322,0.2560699999999999,,,0.0196533333333333,0.019656666666666645,-0.06601649999999999,-0.63536,-0.37509,-0.4792,,-0.35773666666666665,-0.4792,-0.3881,-0.436905,,,,,,-0.2449599999999999,,,,,,,,-0.34906,,,,,,,,,,-0.284,-0.2449599999999999
2,648,2,1,,,-0.97428,-0.20431999999999995,-0.7915800000000001,,,-0.59582,-0.7459,-0.77853,,-0.8829299999999999,,,-0.850305,,-0.8959799999999999,,,,-0.8698799999999999,-0.6436733333333332,-0.7576319999999999,0.1741375,-0.8405100000000001,-0.55667,-0.8176800000000001,-0.17822,-0.50447,-0.53057,,-0.41312,,-0.44791999999999993,0.29811499999999996,-0.6088724999999999,,,,,-0.73938,,,,,-0.3739699999999999,-0.3739699999999999,-0.3739699999999999,-0.432695,-0.51752,,,-1.0743266666666667,0.082786,,-0.15212,,,,,,
0,215,1,1,-0.6745466666666666,-0.9818133333333332,-0.6481399999999999,,-0.77056,-0.8425666666666668,,-1.1738,-0.80657,,-1.1402333333333334,,,-1.4259,,-0.9794,,,,,,-0.76336,-0.8713799999999999,,,,-0.91459,,,-0.014427,,,-0.92901,-1.2098,-1.3755,-1.2074666666666667,-1.07304,,,,,-0.4177,-0.91459,-1.1018,,,,-0.91459,-1.2747,-1.15945,-1.0946,-1.3827,-1.20265,-1.2819,,,-1.2603,,,-1.4763,,
2,584,2,1,-0.52328,-0.8312799999999999,-0.12546,,,,,,,,-0.29229,,,,-0.65162,,,,,,,-0.8569399999999999,-0.6002833333333334,-0.5938650000000001,-0.8312799999999999,-1.1008,-0.914695,,,-0.446286,,,-0.5297000000000001,,,,,,,,-1.0623,,,0.10553,,-0.49762,-0.65162,,-0.30512,,,,-0.84411,-0.5617800000000001,-1.0366,-0.74145,-0.43345,-0.7500033333333332,,-0.61312,0.33653,
0,407,1,1,,,,,,-0.89623,,-0.6803600000000001,,,-0.376545,,,,,-0.73633,,,,-0.35256,,,,,,-0.6483800000000001,-0.6883600000000001,,-0.2006599999999999,-0.70435,-0.33391,,-0.5444466666666666,-0.2806099999999999,,-0.8242700000000001,-0.44850499999999993,,,,,,,-0.59242,-0.5844199999999999,,,-0.76431,,,,,,,,,,,,,,
2,80,2,2,-0.5520849999999999,-0.31473,-0.8271200000000001,,,0.01681833333333334,-0.4805,-0.062301999999999996,-0.088676,0.07279142857142858,0.15244666666666665,0.001746,,,-0.6211566666666667,0.8456799999999999,,-0.45036,,-0.53325,,,,,-0.54832,-0.59353,,-0.51064,,-0.52571,-0.3071924999999999,,-0.48804,,,,,,,-0.40515,,,,-0.40891999999999995,-0.1866319999999999,-0.44659499999999996,-0.5144099999999999,-0.56904,,-0.7065600000000001,,,,0.34079999999999994,,,,,,,,
2,711,2,1,,,-0.4831,-0.2769795,-0.8377133333333333,-0.9551799999999999,,,,,-0.81555,,,-0.3634199999999999,-0.6958625,,,-0.4565,,-0.23044,-0.66927,,-1.1347,,-0.64267,-1.034965,,-1.1214,-0.901985,-0.57618,,-0.981765,,,-0.51634,-0.57618,,,,,,,,,-0.70916,-0.28363,-0.5362899999999999,-0.7690049999999999,-0.98842,-0.80225,-1.03495,-1.1214,-0.84215,-1.0416,-1.02388,-0.42991,0.08206750000000004,-0.004349999999999965,,,-0.17724499999999999,
1,94,1,1,,-1.07701,-1.01604,-0.69681,,-1.034,-0.8785400000000001,,,,-0.6573599999999999,,,,,1.5628,,,,,,,,,,,-0.86898,,,-1.1666500000000002,-1.041134,-0.8881066666666667,-0.2251375,-0.78289,-1.0387733333333333,,,,-1.2061,,,-1.2061,,,,,-1.1129,,-0.99093,-0.98375,-0.6035550000000001,-1.10925,-0.800815,-0.49595960000000006,-0.980165,-1.01246,-0.9155949999999999,-1.00287,0.95309,0.8598399999999999,,-1.0698
2,566,1,1,-0.79735,,,-0.8272959999999999,,-0.57271,,,,,,,,,,,,,,,-1.3714,,,-0.9554156666666667,,,,,,-0.5539835000000001,-0.86807,-0.33559,-0.27319,-0.14838849999999998,,,,,,,,,,,,-0.85351,,,,,-1.022,-0.48535,-1.009485,-0.8971899999999999,-0.80983,-0.90967,,,,,,
3,741,2,1,0.23718,,-0.98254,0.13226,,,,,-0.24809,-0.67433,,-0.74647,,0.21095,-0.597827,,,0.092912,0.0535659999999999,-0.13660700000000006,-1.153,0.22407,,-1.2317,0.6831,0.55195,0.079797,-0.01201,,-0.45137499999999997,-0.75958,,-0.64155,-0.17376466666666665,-0.64155,,-0.536625,,,0.10603,,-0.89074,,-0.418585,-0.45793,-0.58908,-0.37049466666666664,,-0.5191353333333334,-0.385798,0.4208,-0.56285,-0.7945566666666667,-0.34645099999999995,,-0.5995779999999999,1.03723,,-0.38798400000000005,-0.26776,0.624085,0.4426623333333333
2,591,2,1,-0.25204333333333334,0.010935000000000002,-0.24044,-0.5652933333333333,-0.4463725,,,-0.8669399999999999,-0.7586533333333333,-0.80313,-0.42607,-1.0062,,,,-1.0874,-0.1708299999999999,-1.1802,,,,-0.97136,,-1.1686,-1.3774,-1.0062,-1.4122,-1.273,-1.1454,-1.1338,,,,,,-0.565295,,,,,-0.066413,,,,,-0.71612,-1.1222,,-1.1221999999999999,,,-0.8437399999999999,-1.099,-1.1763333333333332,-0.80506,-1.093175,-1.2227333333333332,,,,-1.1686,
