fov,cellID,rep,dbscan_ldp_nbr_allele,chr5-g519,chr5-g520,chr5-g521,chr5-g522,chr5-g523,chr5-g524,chr5-g525,chr5-g526,chr5-g527,chr5-g528,chr5-g529,chr5-g530,chr5-g531,chr5-g532,chr5-g533,chr5-g534,chr5-g535,chr5-g536,chr5-g537,chr5-g538,chr5-g539,chr5-g540,chr5-g541,chr5-g542,chr5-g543,chr5-g544,chr5-g545,chr5-g546,chr5-g547,chr5-g548,chr5-g549,chr5-g550,chr5-g551,chr5-g552,chr5-g553,chr5-g554,chr5-g555,chr5-g556,chr5-g557,chr5-g558,chr5-g559,chr5-g560,chr5-g561,chr5-g562,chr5-g563,chr5-g564,chr5-g565,chr5-g566,chr5-g567,chr5-g568,chr5-g569,chr5-g570,chr5-g571,chr5-g572,chr5-g573,chr5-g574
0,89,2,2,,,,-0.11581,,,,,,,,,-0.246475,-0.17981,-0.32203,0.52951,,-0.041736666666666644,-0.25092,,,0.19352,,0.079742,,0.33929,,,,,,,,,,,,,,,,,-0.14425,-0.058924000000000004,-0.0447,-0.069589,-0.14425,,0.18641,0.35174,0.1384099999999999,0.072631,,,0.067298,
2,711,2,1,0.7098399999999999,,,,,,,,-0.27058,,,,,-0.6450899999999999,-0.6272,-0.610505,,,-0.5353600000000001,,,,,,,-0.15846,,0.86251,,,,-0.43517,-0.47811,,,,,,,,,,,,,,,,,,,,,-0.3946199999999999,-0.3946199999999999,-0.61647
2,1001,1,2,,,0.17685,0.22799,,,,,,,-0.035571,,,,0.13751,,,,,,,,,,0.074573,0.25945999999999997,0.78854,0.67053,0.47975,,-0.37387,,,0.46597999999999995,0.12178,,-0.35617,-0.22832,,-0.19292,,-0.200785,,,,,1.2626,,,,-0.023769,,,-0.11031333333333333,,
1,468,1,1,,,0.099906,0.8217599999999999,0.19362,,,,,0.284,,,0.036309499999999995,,,,,,,,,,,-0.11207599999999997,0.23044500000000007,0.371019,,,,,,0.4915199999999999,1.094,,,,,,,-0.12602099999999997,,,0.40449,0.50156,,-0.10593899999999999,,0.08149499999999996,,,0.14677,-0.45571,,0.019576,,
3,86,2,2,,,,,-0.13265,,,-0.14518,,,,,,,,,,,,,,,0.30746,,,,0.37481,0.41630999999999996,,,,,,,,,,,,,-0.018314,,,,,,0.10385,,,,,0.20722,0.049033,-0.15144,-0.007351,-0.065301
2,711,2,2,,,,,,0.33771,,0.1731099999999999,,,,0.67406,,,,,-0.2181,-0.22525499999999998,0.25183,,,-0.1346099999999999,,,-0.11672000000000005,0.4299313333333333,,0.569095,0.0681539999999999,0.59772,,,-0.523435,-0.63078,,,-0.60693,,,,-0.563985,-0.4304,,,,-0.23718,-0.40655,,-0.5282100000000001,,,,,,,
2,516,2,1,-0.19618,0.0090049999999999,0.1049085,0.053611,0.2164199999999999,0.04246,,,,0.022387,,0.074799,,,,,,,,,0.6714,0.5375800000000001,0.11606,,0.76061,0.8178533333333333,-0.02779399999999995,0.5242,,,,-0.238555,,-0.23856,-0.15381,,,,,0.1629,,0.029079999999999995,,,,,-0.13373499999999994,-0.18503,-0.10697,-0.1136605,-0.004376,,-0.31216,-0.2958,,
2,172,2,2,-0.10887,,,,,,,,0.023526,,,,,-0.1553,,,,-0.41494,,,0.06192766666666666,-0.23496800000000004,-0.34788,-0.06503000000000005,0.90389,0.8454299999999999,0.9482240000000001,-0.33412,,0.19375333333333336,0.6803600000000001,,,0.3124,-0.400325,,,,,,,,,,,,,,,,,,0.04244,0.006331,-0.057289,
2,805,2,1,-0.12224666666666667,-0.39063000000000003,,-0.15702,,0.73205,,,-0.39743,,,0.36236,,,0.028957,0.57329,,,0.53246,,,,,-0.544855,0.537,0.049368,,0.93617,0.41906,,,,0.8068949999999999,0.087926,0.21494,,,0.15294500000000003,,0.45081,,,0.024421,-0.048156,,-0.32032,-0.25228,,-0.370215,,,-0.231865,,,,
0,620,2,1,0.44795199999999996,0.42037433333333335,-0.20215849999999996,-0.4109899999999999,0.17083666666666664,-0.0603169999999999,,,,,,,,,,,-0.048497,0.27459,,,1.2675,,,,0.27065000000000006,0.085466,,0.47553666666666666,0.90895,0.7723466666666668,0.18003,0.86561,0.99563,,,,,,,0.7868,0.554335,0.49030999999999997,0.33894666666666673,0.6449600000000001,,0.097285,-0.50752,0.70012,,,,0.91683,,,,
2,555,1,1,,0.46238,,-0.088414,0.17527866666666667,-0.005715999999999999,0.009887,-0.14927,-0.06656849999999995,-0.002595,-0.00883666666666665,-0.3458699999999999,-0.19191333333333335,-0.55183,,-0.331825,,-0.027561333333333337,,-0.08528999999999999,,0.5013875,0.4998275,0.49983,0.53103,0.8914850000000001,0.8961366666666667,,0.4655,-0.1992,0.8555799999999999,,-0.089973,,,-0.018198,-0.69226,0.71203,,-0.69226,,0.38124,0.053576,,,,,,,,,,,,,0.15656
2,181,2,1,-0.03866,0.40484200000000004,0.129268,0.39795,0.2567202499999999,-0.14486666666666667,0.049752666666666605,0.17605866666666667,,0.20936,-0.003354999999999997,0.12926499999999996,0.1749099999999999,-0.142,,0.39537,0.5090399999999999,0.15079549999999994,0.10429,,,,0.63477,,-0.21778,0.93274,,,0.77084,0.090515,0.54177,,0.334225,0.3282,0.007844999999999991,-0.019714,,0.09280999999999996,-0.013973333333333374,,-0.004213,,-0.13683,0.036691,,0.0233443333333333,-0.04382900000000005,-0.08056999999999999,-0.20917,,-0.1919465,-0.225535,-0.087749,,-0.36211859999999996,-0.1082422
2,117,1,1,-0.29753,,-0.2497599999999999,4.0576,5.0654,1.6583,1.2731,,,,0.57738,0.66696,0.4649033333333333,0.013016,,0.61919,-0.22587,1.1268,1.4493,-0.2139199999999999,1.5329,1.2164,1.1268,,,0.67294,,,,,,,,,,,,0.0264535,,-0.013858,0.036905,,,,,,-0.18406,-0.19601,,,,,-0.3706899999999999,,,-0.08104499999999999
2,591,2,1,,,,,,,,-0.22019,,,-0.13654,,0.1202299999999999,-0.18322675,,,,,0.0346389999999999,,0.07743266666666666,-0.2707649999999999,,-0.20981033333333335,,1.5714,0.009350000000000011,0.431465,0.8944449999999999,0.51122,,0.14940599999999998,0.077434,0.15524,-0.31745,-0.29605,,-0.256175,,-0.28438,-0.025664,,,-0.2085199999999999,,-0.40304,,-0.13265,-0.37775,-0.550875,,-0.33885,,,,
0,406,1,2,,,,0.38808000000000004,0.88085,,0.51184,,,,,,,,0.23025,,,,,0.28703,,0.33471,,,,0.90242,0.692355,0.61402,,,,,0.15417999999999998,0.47778,,-0.021808,,,,,-0.28522,,,,,-0.27841,,0.10649249999999999,0.11671,,,,,,,-0.1035599999999999
0,310,1,1,,-0.020194,,,2.2209,,1.0613,1.1715,-0.35544,,,,,-0.10975,-0.070711,-0.1189305,,,-0.020195000000000005,,,-0.28196,0.1061,,-0.04086,,0.772,,,,,,0.9924550000000001,0.29668399999999995,,,,,,,,,0.041804,,,,,0.44135,,,0.1658,,,-0.69299,,
1,663,1,1,,,,,,,,,,,,,,0.75871,,,,-1.1202,0.913,,,,0.6925899999999999,0.932285,,,0.7421800000000001,0.8083,,1.3097,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,2,2,,,-0.14558,,0.808094,1.0708,,,,,,1.5293,,0.88653,0.37655,1.0821,,1.0671,,,,,,,0.44018,,,,,0.98663,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,1,,,,,,1.1885666666666665,0.40198,,,0.5488949999999999,0.40197999999999995,,0.886335,,,0.58715,0.7631399999999999,,,,,2.2047,,,,1.7181,,,,,0.29945,1.0309,0.81976,,0.4586,0.42494,0.46624999999999994,0.31475,0.6039833333333333,0.31934,0.50451,0.444065,,0.41575,,,,0.2061,0.41498999999999997,,,,,,,0.78303
2,230,2,2,,,0.48381,,,,0.40183,,,0.019553999999999946,-0.20588999999999996,,0.21114,-0.11428639999999997,,0.08876200000000001,-0.045493,-0.10609,-0.07222499999999996,-0.0579679999999999,-0.07579,1.1164933333333333,,0.10153499999999994,0.77965,1.114715,1.5438420000000002,0.71905,0.84559,,,,,,,,,,,,,,,-0.29856,,,0.39826,,,,,-0.40192,,-0.434,,
2,578,2,2,,,,0.76315,1.2459500000000001,,,,,,,,,-0.240425,-0.24994,,,,-0.20118499999999995,,6.3708,-0.483,,,,,,,,0.83925,1.284,0.575305,,,-0.097736,,,,-0.39263,,,,,,,,,,,-0.4504966666666666,,,,,,
2,569,2,2,,-0.24089,,,,-0.083457,,,-0.31325,,,-0.094215,,,,-0.3152,,,,,,0.24118,,,1.1633,1.3373,0.80929,,,,,0.16002,,,,,,,,,-0.29956,,-0.34454,-0.53423,,,,-0.53228,,,,,,,,
1,208,2,2,,,,,,,,,,,,,,,,,,,,,-0.022224999999999953,0.080988,,0.062907,,,,,0.94888,1.2728,,1.2517,-0.30926,,,-0.17817,-0.012431,-0.045579,,0.15281033333333333,,,,,,,,,,,,-0.083248,,-0.057633,,-0.15557
2,584,2,2,,,-0.15682,,-0.15682,,-0.2816,,-0.24085,,,,,-0.054965,,,,,,-0.047325,,0.1131,,,,0.8464700000000001,,1.399,,,,-0.40637,,,,,,,,-0.29433,-0.15682,-0.16701,,,,,,,,-0.080429,,,-0.45475,,,-0.14154
1,1034,2,1,0.19565,-0.01088,0.16594899999999999,,-0.082421,0.030966,,,0.37382,,0.30093,,0.48451500000000003,0.41972,,,,,,,1.424,,,0.71938,,,1.1297,1.1297,,,,,2.5417,,,,,,,,,0.88676,,,,,,,,,,,,,,
1,194,1,1,,,,,,,,0.24695,,,,,,,,,,,,,,,,,,,,0.91267,,,1.3505,,1.2254,,,0.5239699999999999,,,,,,,0.58875,,,,,,,,0.6088600000000001,,,1.8107,,
0,215,1,1,0.48335500000000003,0.34775150000000005,0.03252033333333334,0.7354766666666667,0.6154550000000001,0.35594,,0.0145949999999999,,,1.076,0.1011,,0.77677,,0.45647,0.11590633333333329,,,,,,-0.018137,,,,-0.2846599999999999,3.3345000000000002,0.8907335000000001,0.86561,,1.6722,0.33781149999999993,0.044988,,,,,0.11279,,,0.039145,,0.037974,,,,,0.5453100000000001,,,,0.21566,,,0.18409500000000006
1,339,2,1,,,,0.14073,1.605,0.64383,1.910345,2.3984,,,-0.10707,,,,,1.0218135,,,-0.18967,,0.875345,,2.834,-0.40993,,,0.366,,1.0944,2.2332,,,,,,,0.18077499999999996,,-0.046997,,0.278395,0.005565000000000014,-0.21971,-0.37739,-0.25224,-0.31732,,-0.30981,-0.26475999999999994,-0.12333899999999995,,,-0.16714,,-0.19467499999999993,-0.20969
0,275,1,1,,,,1.5066066666666666,0.8815775,0.49161,0.059604,,0.1413299999999999,,0.18103,0.2277325,,,,,,,,,-0.37006,-0.03204849999999998,,0.078286,,,0.24875,1.159465,2.4274,,,1.5518,0.42856,0.317635,-0.10386,0.96097,0.793985,,,,,,0.83254,1.0334,,,0.9668300000000001,,,,,-0.20427,0.4507405,,,-0.26498
0,89,2,1,0.9228500000000001,0.981965,0.849498,0.91974,0.8809333333333335,0.336625,1.3686,0.8975,0.6806216666666667,0.65573,0.63618525,0.5170653333333334,0.6598799999999999,0.829055,,0.03352000000000001,,1.0006,0.12774,-0.018034,,0.1793,0.14463199999999998,-0.07314449999999995,0.56507,1.3585333333333331,1.6122,1.54905,1.44507,0.8607633333333333,0.93484,,-0.22959,-0.19759,,0.126855,3.6175,1.9592625,-0.0287,0.99528875,0.42924539999999994,0.43173549999999994,0.29307,-0.1247,,,,-0.36825,,0.10463,-0.2447,-0.137737,-0.20825,-0.679,-0.551355,-0.4645014285714285
2,260,1,1,1.0578,1.1784,,0.9276500000000001,2.614544,-0.030562,2.30225,1.63388,2.3377,0.5159699999999999,0.8132966666666667,-0.258875,,1.51085,0.6289325,0.98204,0.5928599999999999,0.92764,0.6129845,,,-0.3144699999999999,-0.18671,-0.30028,-0.00808500000000005,1.7691333333333332,0.11849,0.2912,1.53095,3.9182,0.30303,,1.28255,0.097198,0.10903,0.455396,0.38584,0.412653,,-0.06131849999999995,-0.1074549999999999,0.07176374999999997,,0.04632999999999998,,,0.248615,-0.2837199999999999,-0.30737,-0.08261,0.066441,0.061709,-0.28845,,-0.158322,-0.33517675
2,569,2,1,0.072014,-0.26533249999999997,,,0.0201895,,,,,,,,,,-0.30934,-0.03848000000000001,0.048546,,,,-0.15418633333333331,-0.0727025,,0.528655,,1.419445,1.085,1.74115,,,1.0674,,,,,,,,,,,,,-0.20764,,-0.083461,,,-0.3513799999999999,,-0.3386699999999999,,,,,
1,142,2,2,,0.84645225,0.078325,2.6127933333333333,0.1857599999999999,0.07956,0.58094,0.1054925,0.0573309999999999,0.15951974999999996,0.10302275,,0.1042599999999999,0.47968,,0.31049,0.79769,0.15736,0.282705,0.059801,0.16353633333333334,,0.54595,-0.057517,1.1770925,4.0086068,,,,-0.019234,0.129575,0.09396866666666663,0.365446,0.53154,0.0038173333333333345,,,,0.24257,-0.051342,0.251835,0.056715,0.051776499999999996,0.027693,0.5568665,0.005877999999999994,0.624146,0.255954,,1.0316875,0.11599,-0.073571,-0.156931,-0.19212499999999993,0.225695,-0.14859225
0,164,1,1,,,0.15250366666666668,1.6868,1.54397,0.4139649999999999,,,-0.022721,-0.041348,0.59195,,-0.41491,1.7385,-0.43664,,,,-0.18208,,,-0.08067,0.0517845,0.34567,0.29944333333333334,0.053163333333333375,,2.1918,,1.1425,2.1676333333333333,-0.19863999999999998,0.8382299999999999,1.2584,1.57195,,,,,,,,,,,-0.3124699999999999,-0.269,-0.28349,-0.39732,-0.415945,,,,,,
0,407,1,1,,0.421265,0.5688,0.43012,,-0.22787,-0.41376,0.589455,0.806325,0.45373,-0.31049000000000004,,-0.33114,0.39029,0.74879,0.82403,,0.35783,-0.0582115,,,-0.15646599999999997,-0.43146,,,1.9084,2.405585,0.24718,,,,,0.0583399999999999,,,,,,,,,,-0.27803,,,-0.30164,-0.409335,-0.29278499999999996,0.29734,-0.21606766666666657,-0.24853,,,0.049488,,
2,566,1,1,1.2142,,,2.0846999999999998,,1.2326000000000001,,,0.81008,,,0.075275,,,-0.037772,0.22365000000000002,,-0.12821,-0.14517,,,-0.43061,,0.9005200000000001,,4.35835,,,1.494,0.45305333333333336,0.13463,,0.15441,,1.5279,-0.074513,,,,,,0.1968,,,-0.44474499999999995,,0.11201566666666667,0.17418999999999998,,0.15723,,0.14028,,,,
2,68,1,2,,,,,2.7472,,,,0.2737199999999999,,,0.21261,-0.211224,-0.42413,-0.25854,-0.427085,,-0.06781249999999994,-0.2289699999999999,-0.51875,,,,,,,,0.3180699999999999,,,2.938,,,,,,,,2.66,1.7611,,,1.2998,,,,-0.3502,,,,,,0.037161,-0.030848000000000007,,-0.1520855
2,45,2,1,,1.5919,,,,,,,,,,,,,,,,,,,,1.6499866666666667,,,,2.2718000000000003,,1.0326,,,,,,,,,,,,,,,,,,,,,2.2038,,,,,,,
0,55,2,1,-0.30728,0.25621166666666667,0.97142,,0.47925,,,0.033711,,-0.42227499999999996,-0.5308466666666666,-0.4568575,-0.26385,,,0.1077,,-0.041885,,-0.66274,4.2928,2.6217,1.4828866666666667,1.285085,0.2725712500000001,0.570945,2.08802,1.64924,1.57375,2.271,2.0426,2.253345,-0.26224,0.59988,,-0.498675,-0.2091599999999999,-0.23168,,-0.51637,,,,0.02727766666666663,-0.32336,-0.55497,,,0.0707049999999999,,0.077139,,,,,
2,198,2,1,0.85062,,0.8593066666666666,1.053145,1.7758,1.1956,,0.89505,1.4426,1.148575,,,0.7408600000000001,1.3472,,,,0.7643949999999999,,,0.71213,,1.7483499999999998,,2.1129,1.6399,1.666,1.9091,1.8646,,1.4857,0.91073,0.66769,1.2322,,,,0.9224699999999999,,1.1094,0.47429,,,1.2087,,,1.3446,,,,,0.6441766666666666,1.5353,,0.71734,
1,718,1,2,,,,1.7984,,,,,,,0.3120565,-0.10489,,,,,,,,,,,,,1.2392,,1.7493500000000002,,,,,,,-0.67064,,,,,,,,,,,,,,0.0520755,,,,,,,,
1,137,1,1,1.3076733333333335,,0.343475,1.8895,,0.47095,,0.66379,,,,0.48565499999999995,,0.3532785,-0.00626,,-0.15008,-0.02914,,,1.1345,,0.4251899999999999,0.1702433333333333,0.96123,1.3774433333333331,3.1021,2.6576,0.85664,,,0.8010600000000001,,,0.088528,,,,,,,0.7258899999999999,,-0.019334,-0.016066,0.26503,0.28573,,,,0.31733,-0.14354,,,-0.019334,
0,353,1,2,,-0.41525,0.10608,-0.057962,-0.3029,,,,-0.0793075,,-0.29391,,,,,,,,0.3218,,,,,,,,,,2.0049,,,3.9059,,0.23865699999999995,-0.24223,,,,,,,,,,,,,,-0.18436249999999998,,,,,,,
1,208,2,1,,0.6324599999999999,0.331613,,1.8544266666666667,0.95265,0.7916733333333333,0.4712399999999999,,,0.13372,,,1.7264,,,1.7264,1.1463,,,1.8800500000000002,,,,2.5648999999999997,2.6108,,2.1218500000000002,2.31625,0.976775,,1.4551,,,,0.505895,,,0.26331,0.38535499999999995,0.47425,0.38761,,,,,,-0.009417,,0.099069,0.0614,,-0.019964,-0.123175,-0.19776,-0.165364
2,516,2,2,,,,,,0.42607,0.53089,,0.37031,0.319015,0.27664,-0.019988,,,0.72939,,,,,,,2.982,1.5724,,,2.7411,,,,3.1225,0.23873,,0.50636,,1.7865,1.1565050000000001,1.53454,,,1.8981,,,,,3.1805,,,,3.43585,,,,1.7665,,,2.09655
3,86,2,1,,-0.099757,1.1924,,,1.6012,0.9684,1.9661,0.081924,,,,,0.71937,0.61757,,,-0.29553,,,,,,0.47037,,,2.4767,1.617585,,,,0.377154,0.0145759999999999,-0.088794,,,,,0.11012,-0.25325,,-0.41927,-0.37698,-0.40359999999999996,,-0.42553,,,,,,,-0.25638,-0.306495,-0.33782,
3,823,2,1,,-0.081013,0.2861394,-0.07514799999999995,1.4674,0.2181,,,-0.3684,,,,-0.32148,,0.13599,,,-0.43878,,,,,,,,,,,,2.1008,,,,-0.12793,,,,,,,,,,0.38233,0.33541,0.197577,0.191714,-0.1338,0.81048,0.018693,,,-0.2335,0.2239699999999999,,
3,741,2,2,-0.26648,-0.26204,-0.07042299999999997,,,,,,-0.2420699999999999,-0.32308,0.050913,-0.0386103333333333,-0.30421,,,,,,,,,,,,,2.418055,0.0797679999999999,,,,3.9285,2.7477,,,,,,,,,-0.1999,,,0.16855,0.010961,-0.009014,-0.009014,,,,,,0.29062,,,0.34833
1,53,1,1,0.51554,,,0.1545435,,,,,,0.009911999999999999,-0.0606679999999999,,,0.40678,,,0.029582,-0.039841,,0.013383,,,,,,1.9503,,1.0709,1.88545,3.547,2.4131,3.05755,1.386205,,,,,0.58033,,,-0.0976929999999999,,,1.6564,,0.83257,,,,,0.006441,-0.002815,,,,
3,741,2,1,0.57695,0.65463,0.65463,1.2206000000000001,1.0763366666666665,,,0.73231,,,,-0.46624,,,,,,-0.28424,,,,,,,,,,3.5178,2.161703333333333,1.0164,2.02745,,,,,,-0.026771,,,-0.055625,,,,,-0.25982,-0.11555,-0.25982,-0.2309699999999999,-0.04119799999999995,-0.10224,,-0.19324,,,-0.28201800000000005,-0.03121
0,99,2,1,0.77142,0.43456,0.7907533333333333,0.336315,0.30262500000000003,,,1.0259,,,0.8968,0.99412,,0.8500200000000001,0.6422950000000001,0.7003,,,,,,1.0727,0.663815,1.76235,2.4913,,3.1968,3.3128,,0.98663,1.3562375,,1.1868500000000002,0.19689,,0.8649899999999999,,,-0.017386499999999992,-0.28406,-0.19049,,-0.10815,0.4981899999999999,,,,0.44766,,,2.8084499999999997,,0.77142,,,
3,91,2,1,-0.046577,-0.21785,-0.05124600000000005,-0.063705,,0.85808,0.37696500000000005,0.13481899999999997,,-0.30661,-0.17426,-0.22564,-0.172181,,-0.1727,,,,-0.16958499999999999,,,,,,,,1.8515,2.588,,,,,,-0.42806,,-0.07149,-0.07771775000000003,,,,,0.018300666666666698,-0.065262,-0.085503,-0.35643,-0.2007265,,-0.25288499999999997,-0.30816,-0.41716,-0.27858,-0.2272,,0.17608,,
0,27,2,1,,2.81775,0.871145,3.6448,,2.1035,-0.031918,,,,,,,,,,,,,,-0.32929,,,-0.52815,,,,,,2.2686,,,-0.046513,,,0.46613,-0.13956,0.49715,,,,,,,,,,,,,,,,,,
1,63,2,1,2.3990666666666667,3.61475,,1.1433,5.9652,3.6635750000000002,1.9889,2.5172,1.5417,1.4215499999999999,,,3.2017,1.959234,3.2261,2.4264,,1.916645,,0.64917,,3.6079,4.0005,2.0377385,2.0748245,3.6536714285714282,1.9135300000000002,4.3891,0.8112699999999999,0.59059,,0.2078,,,3.342966666666667,3.4029,,2.7154,2.8482,0.30155,1.36787,1.722351,1.1208155,,0.43044,,0.31131,0.968481,-0.04998650000000006,-0.29216,-0.28044,,,,,
0,250,1,1,,,,,,,,0.28381,0.21566,0.4756399999999999,,-0.12383200000000005,,,-0.17557,-0.0821845,,0.07683499999999995,,0.34944,,,,,2.48532,4.4056999999999995,2.4520333333333335,2.68045,-0.26392,3.8731,0.51098,1.33635,0.66747,,0.45671,,0.37215,,0.2484699999999999,,,,,,0.3772,0.30148,,,0.3772,0.060427999999999996,,-0.12257,,0.14246,0.42768,
3,157,2,2,,,,,,4.791,4.49025,3.8315,3.59306,3.049466666666667,2.0256466666666664,3.30965,,,2.57965,,,,3.2121666666666666,2.2062,2.3287,4.1727,2.5942,2.4894,,,2.3899,,,,,,,,,0.40708066666666665,0.8366,0.1020399999999999,0.1433533333333333,0.34229999999999994,-0.22086,0.4264699999999999,0.11887,0.7631399999999999,1.3053799999999998,0.56114,0.77079,0.4433,0.479645,0.32087,1.0845,,,0.38515,,
0,310,1,2,,,,4.3197,4.4368,,,,,,-0.18552,,,,,,0.080839,,,,,,-0.225705,0.13365,,,-0.1602599999999999,,,5.144,,,,,,0.228563,0.33342,0.2163199999999999,,-0.027083,0.07471666666666663,,0.10839400000000002,0.37246,0.36098,,,0.31276,0.366715,0.7123,,,,0.3495,,
2,210,2,1,,,,,1.85515,,1.384415,,,,,0.95997,0.8845400000000001,0.16539,,0.048713,,,,,,0.1962299999999999,0.2378,0.41281,0.2498699999999999,,4.1725,,0.2498699999999999,,3.1546,,,0.23378,,,,,,-0.18665,,,-0.027729,,,,,0.21366,,0.18349,-0.1363599999999999,,,,,
0,613,1,1,,,0.648609,0.0643909999999999,0.11927033333333333,,,0.8464200000000001,0.22903,-0.006494999999999945,,0.81212,,0.41996500000000003,0.036952,-0.25345,-0.2969,,-0.21686,0.027805,,,0.31135,,,,,0.8372700000000001,,,4.3084,,,,,,,,,,0.0941169999999999,0.046098,0.36851,,-0.202,-0.24659,,,,0.078111,,,,-0.21686,,
2,603,2,1,,0.63298,0.48645,0.54945,0.670145,,,,,,,,1.4038,,,,,0.32081,0.93453,,,,,,,,,,2.236266666666667,3.0276666666666667,,,2.2703,,,0.20330666666666666,0.061733500000000004,0.019260000000000055,0.1434945,,-0.12089,,0.20402,0.56503,0.19552,,0.0649205,0.1934,,0.34735499999999997,0.1573,,0.6563399999999999,0.057488,,
1,843,2,1,,,-0.10315,,2.6089,1.8023,2.2635,0.93103,-0.010267666666666666,2.652,,2.2007,,2.3224,0.60527,,,0.74068,0.69752,,4.1415,0.11467,2.768815,1.343145,2.7973,0.9650500000000001,4.038133333333334,3.215253333333333,0.9418449999999999,,4.0081,,1.1803,,0.52285,1.3157,2.1497,0.79366,,,0.33446,0.34623,,1.0998,0.20493999999999996,,,,-0.12867,0.33446,,,,0.24419,0.018514,
