fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g170,chr7-g171,chr7-g172,chr7-g173,chr7-g174,chr7-g175,chr7-g176,chr7-g177,chr7-g178,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195,chr7-g196,chr7-g197,chr7-g198,chr7-g199,chr7-g200,chr7-g201,chr7-g202,chr7-g203,chr7-g204,chr7-g205,chr7-g206,chr7-g207,chr7-g208,chr7-g209,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224
3,86,2,1,,-0.366015,0.14456999999999998,0.631655,0.30120075,-0.18276499999999996,,-0.08801000000000006,0.0020469999999999,,0.1242099999999999,0.79925,0.4311773333333333,2.2276,,,0.08114199999999999,-0.119333,-0.12742666666666666,-0.22505,0.053732,,,,,,,-0.4599899999999999,0.630885,,0.17903,0.4311899999999999,1.0897999999999999,,1.2362,0.4056233333333334,2.90738,3.1321225,1.5439500000000002,4.5456,2.9334666666666664,0.6207149999999999,3.7469,1.1947400000000001,5.2301,3.909375,4.0609,,1.302,-0.33468666666666663,-0.37306,2.6145,0.25421,,0.03807
2,43,2,1,1.6865375,1.68169,,0.51745,0.16063,-0.2587,,1.0812,0.87003,,0.919205,0.92586,2.681765,1.2329233333333334,1.3943366666666668,1.36035,2.532366666666667,,,,,,,,,,,,0.087202,0.15395,0.15395,0.05686133333333337,-0.04660500000000003,,3.9868,1.25535,-0.10577600000000001,0.27592999999999995,2.3677,,,2.6268000000000002,3.0025,,5.4578,,-0.0511579999999999,-0.022331500000000004,,-0.3439575,-0.51496,-0.5396650000000001,-0.5232833333333332,-0.4820166666666667,-0.3952366666666667
0,620,2,1,,,,,,,-0.13518,,,-0.028797,-0.44250500000000004,-0.48585,,,-0.51737,-0.4582699999999999,,,,,,-0.60011,,,,,,0.1288099999999999,,0.13931333333333332,,,,,,,,,,,,,,,,0.57404,,,,,,,,,
2,181,2,2,,,-0.026604,,,,,-0.10583,,,,,,,,,,,,,,,,,,,,,0.13702,,0.073292,,,,,,,0.037123,-0.011103,,,,,-0.15406,,,,,-0.23156,,,,,,
3,353,2,2,5.2653,,0.14932600000000001,0.86424,0.22842200000000001,,1.2861,0.26087,,,0.07123950000000005,0.063128,-0.021040000000000003,0.611745,0.026621,0.33287,0.5316299999999999,,2.8397,,2.8397,,,,4.7907,,-0.064646,0.21118,0.4139856666666666,,1.2827266666666668,1.1978900000000001,0.27709449999999997,1.1096575,0.58233,3.9612,3.0891,,2.6064249999999998,,,4.2188,3.1135,1.6349,4.230266666666666,5.2227,,-0.53112,0.41298450000000003,,,,,,
1,94,1,2,,,,,,,,,,,,,-0.48383,,,,,,,,,,,,,,,0.2159,,,,,-0.342155,,-0.40991,-0.040336,,,,,-0.3088955,-0.25223,-0.49615,-0.18324,,,,,,,,,,,
2,578,2,1,4.7418,,,1.5812,,1.00931,,1.5225333333333335,0.816645,-0.34506,1.6716,,1.9808,-0.14292,,0.6513800000000001,,0.72272,0.31131,0.30655,0.22807,0.19478,,,,,,,0.3255699999999999,,,0.11154,,0.2815765,,,,,,,0.066356,,0.90822,,,,,,,,0.3667933333333333,1.1614974999999998,1.050895,0.95699,0.16445749999999998
1,144,1,1,2.9346,5.7444,0.60117,,,1.306,,,,,0.50783,1.3425,1.2497,1.318915,,,0.66232,5.1104,1.689,1.1901733333333333,2.5012000000000003,3.5992249999999997,,5.0202,3.6363000000000003,,,0.34368299999999996,,,0.49817,-0.016796,,,,4.399075,,4.0289,2.7286,4.4409,4.8239,7.1799,,,,,,,,,,,,,
2,230,2,2,,,,0.82955,,-0.009848999999999997,,,,,,0.10955,0.004407,0.036486,0.054308,0.043615,,,,,-0.0348,,,,,,,,0.35549,,,,,,2.09311,2.0763260000000003,,3.2729,4.0855,3.7504666666666666,3.4715999999999996,-0.18094,3.918,,,4.2727,,,3.984,,,1.288447,,1.4141,2.7721
2,603,2,1,,1.46225,,0.52893,,,,,0.61175,,0.1933925,,-0.27273000000000003,0.2995766666666666,,-0.20159,-0.06462000000000001,,,,,,,,,,,1.0874,-0.004096,0.042623,1.427514142857143,2.6496963333333334,-0.018961,0.7936654999999999,1.4144695,-0.3523699999999999,4.8504,,,6.39,,,5.4196,1.217,,,,3.05495,,,1.311485,,,,-0.069928
2,591,2,2,,,,,,,,,,0.35236,0.18879624999999997,0.253281,,0.3497699999999999,0.22981333333333334,,,,0.377,,0.661,,,,,,,,,0.38089,0.38089,,,0.38089,,,,,,,,,,,,,,,,,-0.35052,,,-0.085966,
2,636,2,2,,,0.080305,,-0.12116999999999994,,0.022075,-0.029167,0.1525099999999999,0.051577999999999964,,,-0.10137,,0.16183,-0.05013,,,,,,,,,,,,0.80701,-0.12233,0.550805,0.49257,,0.49257,-0.03537666666666666,,0.718485,0.88968,0.648625,0.45239225,0.821005,0.992765,0.6618366666666666,,1.0376233333333333,1.55355,,0.275955,0.057012666666666705,,-0.20619,-0.269075,-0.08739666666666666,0.0442,,0.031392
1,81,1,2,,,,,,,,,,,,,,,,,,,,,,0.08953199999999994,,,,,,0.43417,,,,0.43417,,,,,,0.16562,,,,,,,,,,,,,,,,,
1,77,2,1,-0.4983899999999999,,1.9375999999999998,2.5973,2.13125,1.8185666666666667,1.82565,1.7338666666666667,,,,,-0.3259,1.1478,1.346,0.07354,,,0.9234887500000001,0.680275,1.032805,0.96018,1.0408633333333333,1.173505,,,,1.0419,,-0.16855,0.725645,0.760455,1.00919,1.19823,-0.97348,,,,,,,,,,1.21585,0.4295966666666667,,,1.5351,0.1280099999999999,,,,,0.2853699999999999
2,569,2,1,,0.6723899999999999,-0.23110666666666665,-0.09356333333333333,1.2492999999999999,-0.08932549999999999,0.02410000000000001,-0.053149999999999954,-0.3054233333333333,-0.04728,0.08228099999999999,0.20630333333333337,0.570705,0.06419000000000001,,-0.12681000000000003,-0.0199,,0.10036900000000004,,0.11504,,,,,0.4787899999999999,,0.9139116666666668,0.3282025,0.52768,0.92858,1.303575,1.559062,0.93642,,,,,-0.15484,0.66066,0.56679,0.35949,,,0.57657,0.9393449999999999,,0.99507,,0.20597700000000002,0.15708299999999997,-0.18613,,,
2,636,2,1,,,0.31555,0.20608,0.3097275,,,0.25499499999999997,0.23791033333333333,0.2852699999999999,,0.07564799999999995,-0.12233,0.083797,0.047700000000000006,0.00577,0.029062,,,-0.008205,0.080305,,,,,,,,0.6544449999999999,0.53683,0.54847,,0.22937,0.22937,,,,1.1983,1.5267,,,1.28105,,1.4848,0.15484,0.65469,1.4499,,,,1.2635,,,,
1,843,2,2,,,-0.26015,,,,,-0.0737179999999999,-0.010922,0.3992199999999999,0.89374,,0.31679999999999997,0.53855,0.46593999999999997,,,,,,,,,,,,,0.60331,,,,,,,,,,2.87285,,,2.35575,,,0.8446799999999999,,,,,,,,,,-0.4034,
1,194,1,1,,,,,,,,,0.47035,,-0.14176,-0.1015399999999999,-0.6332300000000001,,-0.378555,,,,,,,0.7816166666666667,,,,,,,0.60439,,0.3061545,,0.21121,,,,,0.16653500000000002,,0.014622,,,,,,,,,,,,,,,
2,808,2,1,,,0.21607499999999993,0.2874465,,,0.2174699999999999,-0.010175333333333337,,,,,-0.0862115,-0.16598,-0.17998,,-0.124,,,,,,,,,,,1.2027,0.2314699999999999,0.47498,-0.1687799999999999,0.81925,3.2011,1.9752,,,,,4.0436,2.7897,,2.9548,,,,,-0.30033,,,-0.1156,-0.034431,-0.3703,-0.24715,,-0.30313
1,233,1,1,,,,,,0.72707,,,,,,1.3702400000000001,1.3584,1.554007142857143,2.0905,3.7429,1.4631,,,,,0.9182400000000001,,,,,,0.3224885,0.98493,,1.6192,1.267965,1.150935,0.8802066666666667,0.75522,1.2161,,1.9640333333333333,,,,1.45322,0.2380199999999999,0.35065,2.0905,0.90194,1.1183,,,,,,-0.38441,0.37583999999999995,
1,612,2,1,,,,,,,,,,,0.066183,-1.0163,-1.0334,-0.10563,,-0.74135,,,-0.44926,,,,,,,,,0.667535,,,,1.6812,1.939,,,5.1004,,,4.57635,5.5471,,4.0351,,,,,,,,,,,,,
0,620,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6725399999999999,,0.6725399999999999,,,,,,,,,,,,,,,,,,,,,,,,
2,45,2,1,,,,,,,,,,2.3781,,,,,,0.33183,,,,,,,,,,,,,0.71346,,,0.40421,,,,,,,,,,,,,,,,,,,,,,,
0,646,2,1,,,-0.23733,-0.3112499999999999,-0.240695,-0.1197425,0.10761033333333335,-0.6724325,,-0.40869,,,,-0.31012999999999996,-0.03070500000000005,-0.41792499999999994,,-0.24405,,,,,,1.0932,,,,,0.7555000000000001,0.7218950000000001,0.374155,0.74038,,1.61055,,,0.9470050000000001,1.7315,,1.7298499999999999,2.2725,,,,1.1906,1.2611500000000002,0.30696,,-0.70435,0.13224750000000002,0.16808666666666663,1.1385100000000001,,0.8546100000000001,0.0028955000000000057
0,27,2,1,,2.3142,,,,,,,,1.1904,0.93682,,0.37673,1.5334,0.67686,0.4138366666666667,-0.048337,,,,,2.1756,2.6298,,,,0.5464100000000001,,0.6941799999999999,1.090065,0.32931,0.28917,0.33478,1.028,,,3.0294,2.6645,2.3878,2.209,2.66905,2.6773,,,,,,,,,,,,,
1,98,1,1,4.2194,1.7969975,1.5954,1.653,,1.8977,,1.8854,1.7805,1.0268300000000001,1.7352999999999998,1.6633,0.23822,1.6921,1.1121500000000002,,,,1.5338,1.8031,-0.18539,,,,,,0.33488,1.86075,0.472655,0.48705,1.974375,0.6700699999999999,,1.407265,,,,1.7013500000000001,5.329866666666667,5.816533333333333,2.4345,,6.2851,0.6433300000000001,,7.0984,5.2826,1.213,,,,,,0.02538500000000006,
2,591,2,1,,,,,,,-0.2610355,,,0.5170600000000001,0.22818999999999995,0.2661199999999999,0.24763999999999997,,,0.028803,0.036584,,,,,,,,,,,0.061872,1.4158,0.9703,,1.583,0.87498,,1.0481,,1.03253,0.74465,4.5203500000000005,4.1935,3.2968,4.9036,,,,,,,,,,,,,-0.4847399999999999
2,260,1,1,,,0.02622,0.0972,0.21135500000000002,0.2486199999999999,0.009659,,,-0.13939,,0.09305675000000002,0.248615,0.19774999999999998,,,0.25098,,0.20839749999999999,0.21076,,,,,,,,0.4520899999999999,0.905135,1.1737166666666667,1.0932475,1.02345,0.65556,0.65556,,3.4355,,1.471815,2.766,2.22655,,0.97022,,,,0.57985,0.57038,0.42606,,0.59641,0.0889159999999999,,,,-0.040814333333333334
2,117,1,1,,,,,,,,,,,,,,,,,,,,,,2.3212,,,,,,1.01483,,,0.11753,,,-0.8379850000000001,,-1.7935,,2.375,4.1636,2.224215,0.37362499999999993,3.3345333333333333,,1.8733,1.3836,,7.3318,,,,,,,,
2,199,2,1,,0.98727,0.03254500000000005,,-0.15227,0.018067,-0.1744099999999999,,-0.04666,,1.003465,1.0985366666666667,0.86803,0.6678900000000001,1.048928,2.2171,0.5392899999999999,0.30763,,0.14070499999999994,0.6159399999999999,,,,,,0.91232,1.1104633333333334,0.9912466666666667,1.2530000000000001,,0.891885,1.7742200000000001,1.0247366666666666,2.07745,3.6411,2.87545,1.989872,1.7098219999999997,2.4862,0.88762,2.117142,,2.7894,2.9018,3.9886,1.2921675000000001,1.8588333333333333,-0.1676,,,0.02573149999999995,,,0.22928
1,942,2,1,,,0.598285,,,0.30623,0.27885,,,,,,,,,,,,,,,,,,,,,,1.0729,,,,,,,,,,,,,,,,,,,,,,,,0.9451,,
1,142,2,1,3.9893,0.1709466,0.13060666666666668,-0.041463,,,0.20923,-0.009355,,-0.009355,0.7942665,-0.057517,0.460159,0.23083700000000001,0.14902500000000002,0.48585,0.15890500000000002,0.26314783333333336,0.73531,,0.5343282500000001,0.059801,,,,,0.3784099999999999,1.9180979999999999,1.1724714285714286,0.91746,1.4453939999999998,1.0227325,0.6890016666666666,0.8893214285714286,,,,6.7543,,,-0.00812,-0.00812,5.667,6.5469,,2.4642,,5.4626,2.8840800000000004,0.040042,0.15983,-0.3860099999999999,-0.097035,,
2,711,2,1,2.7995,0.36872,2.00035,2.1506,1.3992333333333333,1.4231,,1.2298499999999999,0.96985,0.3937695,0.5088625,0.4140433333333333,0.30789249999999996,,0.6018950000000001,0.8434200000000001,,0.25064025,0.64185,0.031179999999999986,0.4212,-0.17833999999999997,,,,2.1387,,1.666856,0.2566,0.86251,1.0247,0.12063499999999999,0.47964199999999996,,,,4.9297,0.36156,4.9058,0.946,,2.4333045,3.8014,,,,3.2313,0.039529,,0.57387,0.50469,0.29,,,-0.1059799999999999
1,84,1,1,,,,,,0.0168745,,,,0.1497,0.354692,0.0863876,0.30023333333333335,-0.049538,0.12461066666666665,0.4463399999999999,0.20947,,,1.3009,-0.027399999999999994,3.62415,,,6.0626,,,2.2874399999999997,1.6229650000000002,-0.016332,,,5.4671,0.29470250000000003,2.3435,1.54215,3.3242,2.766325,1.4757,4.0758,4.288349999999999,5.350899999999999,6.4135,6.69135,2.7486,4.650233333333333,,,,0.5232725,0.41978000000000004,,,-0.264275,
1,468,1,1,1.1743,2.1728799999999997,,,,,0.0262699999999999,,-0.0657745,,0.10995,0.40449,,0.13338,0.33085666666666663,0.21705,,1.0572,,0.37771,,0.99693,,,,1.1609,,1.6262,1.4119549999999998,1.1174333333333333,2.85125,0.64213,,1.2948,1.6027,6.32885,0.6320899999999999,,1.5994,,,,,,,,,,,0.48482,,,-0.1846,-0.50257,
0,190,1,1,,,0.99276,0.39339,0.60134,,,0.5450699999999999,0.24172,,,,-0.228,,,,-0.005372,,3.2679,,,6.41155,,,,,,,,1.4013,,,,,,,4.6746,1.3279,,,1.9248,,8.5815,,,,,,,,,,,,-0.1179099999999999
0,158,2,1,5.5072,,1.4862,1.6746,2.5309,1.54865,,,,,1.7709,2.2359,2.5165,0.1178,,1.755872,2.2994,2.6968,2.4202,2.1416500000000003,1.7381,5.369999999999999,,,,0.44351,0.59509,1.989045,2.6056,,0.6340100000000001,0.9276300000000001,0.71117,1.64595,2.2789,2.37315,2.8197,3.101036666666667,2.17645,3.3461,2.088416666666667,4.1,,,1.5312,1.5312,1.142,1.9112,,1.2157749999999998,0.21613,,,,
0,407,1,2,0.661735,0.52749,0.7369899999999999,,,0.56585,,,0.52749,,,1.4038,0.77092,,0.803369,,,,0.9700850000000001,,0.56585,,,,,,,1.5307,,,,,,,2.1415,,2.6785,,,,,,2.6224,3.1506,,,1.9112999999999998,,,,,,,,
3,91,2,1,,-0.057477,0.333348,0.40653,,0.78489,,,-0.58221,-0.3938,0.37694249999999996,-0.3747275,-0.17737,,,-0.10730250000000001,-0.06682,,-0.40159,0.2041099999999999,,-0.39847,,,,,,0.076431,-0.054362,4.8613,2.5140249999999997,0.15064999999999998,0.39874,0.324,0.22201749999999998,0.25394,,-0.06059,0.27885,,5.5962,-0.099517,,,,5.2583,5.1524,0.7413,5.2941,,-0.24665749999999997,-0.268455,-0.2272,0.1278099999999999,
0,89,2,1,2.9271,1.4308,0.848625,,,0.90461,,,,1.2002999999999997,0.6116423999999999,1.09009,1.177332,1.4863775000000001,0.546832,0.7339650000000001,1.3213920000000001,0.90817,1.6797,0.349935,0.42285,,,,,,3.6708,1.6465100000000001,1.6886,-0.34514,,-0.24559,1.397495,1.4886249999999999,3.2058999999999997,,2.9917,,4.285866666666667,,3.473466666666667,,5.369699999999999,3.5866666666666664,,4.916683333333333,2.0601,2.5054499999999997,1.6175,0.07381666666666666,0.697485,0.3890699999999999,0.1384099999999999,0.5170633333333333,0.23285387500000004
0,275,1,1,,3.2447,2.6096,,,1.39415,,,,,1.3042,0.7157733333333334,1.5751,,,1.5284,,,1.2832,,,1.5985,,,,1.2248,,0.55232,1.7806,3.1864,6.5902,8.335333333333333,5.0451,,3.95,,3.748,2.696,,,,2.8501,3.6791,,,2.2827,1.5261,,4.8326,-0.15523,,,,,
0,406,1,1,,1.8395333333333335,,0.5231899999999999,,0.49594499999999997,,1.098285,0.43009,,,0.5951,0.31540999999999997,,,2.1264,-0.35562,,1.3589,1.0568,0.28361749999999997,,,,,,1.8902,,,,-0.012725,,,,0.9342349999999999,4.622,5.60755,5.1716,4.721966666666667,4.790100000000001,5.5016,5.7302,3.4889,6.1458,,,,,,,,,,,-0.27387
0,190,1,2,,,0.41296,,,,2.6172,,,,1.4331,2.2551,,3.6422,,,1.7316,3.1896,,4.2098,,4.898833333333333,6.7736,,,1.7512,,,2.1132,,,,1.8343,,,,,,-0.30139,,,,,,,,,,,,,,,0.21236,
1,826,1,1,1.3467,,,-0.2761865,-0.10905,,,,1.0519,,1.3807999999999998,,1.4437,,1.1256,,,,,2.3279,,,5.074,,,,2.3351,,1.5767,,1.3706399999999999,3.7693,1.8372899999999999,,1.4569033333333332,,1.0268,0.69609,-0.59788,,2.75385,,3.0468,,3.8088,,,,,1.0196,,,0.8146999999999999,,
1,208,2,1,,,0.34693,0.40569500000000003,0.15029499999999998,0.33035499999999995,0.362,0.46069,-0.10736,0.4682199999999999,0.36928,0.93211,0.5505833333333333,0.522166,0.5519557142857143,0.9114466666666666,0.921755,,0.467102,0.7548750000000001,0.944355,0.97901,,,,,,1.968175,1.3823,2.64475,1.3346,2.26125,1.6022999999999998,2.176125,3.2497,,2.146735,2.4722,1.6043075,8.4872,-0.34542,0.209065,1.79189,,2.9337666666666666,,1.4842966666666666,0.837678,0.9673449999999999,,,,,0.023731,
0,407,1,1,,,0.64257,,,,,,0.95533,,0.6661699999999999,,,,,2.0235,,,,,,0.099649,0.14981,,,,,,1.9999,,2.3657,1.9585,,,2.6874,,,,7.5618,,5.5583,,,,0.63371,,,,,,,,,,
1,663,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0536,,,,1.172,,,,,,,,,,,,,,,,,,,,,,
0,164,1,1,,0.1374652,,,-0.0144455,,,0.047645,,2.23005,2.5953,2.9305966666666667,0.8803199999999999,1.959266666666667,,,-0.24003,0.85065,,,,,,,,,,,2.4918699999999996,1.6194899999999999,3.7812,3.993875,,4.2614,2.0158,,5.5549,,,,,,,,,,,,,,,-0.27935,,-0.41388,
2,210,2,1,0.7655200000000001,,0.0936373333333333,0.14593999999999996,0.48523,,0.2025985,-0.1464099999999999,-0.33751999999999993,0.305195,-0.15647,0.29413,-0.18946199999999996,-0.4850366666666666,1.25299,0.165384,0.765855,5.4559,,-0.11288666666666664,0.4724918333333334,3.67865,,,,,,,2.7060666666666666,1.4266966666666665,1.7887750000000002,1.3904450000000002,0.8523499999999999,2.4284499999999998,1.6331666666666667,2.7563,4.68445,2.54815,5.1511499999999995,,3.0842,1.3844,1.7431766666666666,1.012276,0.6340950000000001,,0.6773195000000001,,0.37258,,,,-0.096124,-0.096124,-0.016664500000000002
0,99,2,1,,0.2414312,0.24368,,0.09677000000000001,-0.0033494999999999497,0.11174,,-0.12312,-0.19985,0.03174074999999999,0.16227000000000003,-0.45998,0.24835900000000002,,0.2431975,0.13046,0.8762200000000001,0.3497253333333334,,0.13513499999999995,,,,,,,2.4033,,1.7951,1.071775,,1.4432455,0.96979,3.4319333333333333,7.72,7.8304,4.360799999999999,4.9213,8.4068,4.07355,,,,4.1082,5.0261,,,-0.09691850000000005,-0.13622,-0.26161,-0.59004,,-0.15306499999999995,
3,937,2,1,,,-0.50646,,-0.44822499999999993,-0.47248999999999997,-0.31234,,,-0.47411,,-0.49999,-0.44337499999999996,-0.5420533333333334,-0.2444025,-0.12793,-0.53235,,-0.30911,,,,,,,,,,2.0106,2.1886,,,,,,4.0715,2.2662,4.4371,4.4339,,2.1886,,,5.4368,,5.6601,,,,,,,,,
3,157,2,1,3.03645,2.65541,-0.11527,,,0.21528,,0.19997599999999993,,1.2314,0.20763,,0.55731,0.936845,0.8350900000000001,0.66214,0.33771,0.043883,0.29027,-0.002027,,,0.7157,,,0.7157,4.5477,1.0916599999999999,1.8313020000000002,2.7428,2.5985333333333336,0.99575,3.6319666666666666,1.8940866666666667,,2.693936666666667,4.7825500000000005,2.9469033333333337,2.32335,4.8537333333333335,2.81455,3.02955,1.5431100000000002,2.497,,0.87026,1.5084,,0.77385,,,,,,
3,823,2,1,,,0.6931599999999999,-0.4211899999999999,,,,-0.24523,,0.517224,,1.0627,-0.098608,0.3842826666666667,-0.012587666666666634,,-0.016497,1.1213,0.96883,0.6579799999999999,0.57587,,,,,,3.004,1.6531033333333331,1.6403875,2.53482,1.905775,1.6257,2.658,1.5377,,,,,8.7459,,,1.2621,,,,,,,,,,0.29826333333333327,0.2415699999999999,,
2,584,2,1,,,1.1979,1.2959,1.23694,0.57145,0.8107949999999999,1.017075,,,,,0.5892936666666667,,2.7461,0.064717,2.1706,,,,0.83883,,,,,1.2106,,2.7003,3.07715,2.0025,2.3769,3.2757,2.5857,,,,0.27607,1.7631583333333334,,3.739825,2.8683,,3.9735,,,,,,-0.41656,1.4461499999999998,1.0655,1.1419,0.45941,,-0.16701
1,81,1,1,,,1.7471,0.5654600000000001,,2.1827,1.2697,1.5285,,,,1.1652,0.26111,,0.15965,2.3558,,,,5.465,2.66985,1.3771,2.3006,,3.6717,,,1.62775,2.1499,3.0093,4.3162,,3.2122,,,,,2.866024,2.142455,0.61619,,3.0093,,,1.9112,,,,,1.3055,0.17457,,,,
1,189,2,1,,2.4894,0.65023,-0.3249599999999999,0.3815866666666667,,,,,0.32141,0.9967744999999999,0.46889549999999997,0.4680899999999999,0.48743,-0.054966999999999995,0.34075,0.762245,-0.063832,0.06995400000000002,-0.08801,1.3444133333333335,2.2976,,,,,,4.197195,,0.50033,1.4747,,,0.50033,4.5332,3.3958,7.0252,5.367240000000001,5.474316666666667,6.4361,,1.299822,5.233225,3.7401999999999997,4.60335,4.7387500000000005,3.9581999999999997,2.6484166666666664,,1.3186243333333334,0.5556776666666666,1.800725,,0.19460699999999997,
2,198,2,1,,1.8097,,0.756534,2.0606,,,1.7392,1.29316,2.092,,,,,,,0.91073,,2.0998,0.68337,,,,,,,,,,2.5467,,,1.8045,,1.713,1.7300250000000001,1.98745,1.2452,,,3.080766666666667,1.8908,,,,,2.5493,2.2828,2.0267,,,,,,
2,119,1,1,,,-0.32454,-0.1476,,0.10035000000000005,,,-0.29661,0.080561,0.021892000000000002,0.13294499999999998,-0.52244,-0.35131825,0.74875,-0.25562959999999996,0.09840899999999997,0.68589,,,1.17365,,,,,,,,,2.5671,,2.5671,,,3.9966,4.1246,3.0443,1.7180333333333333,4.35745,2.78438,,,,,,,,0.22491,0.1085005,,,,,,
2,516,2,1,0.9881,,0.64241,,,0.4662199999999999,2.72885,0.40079666666666663,0.36139,,2.1551125,0.5844199999999999,0.29002350000000005,0.472905,0.8910899999999999,2.609523333333333,1.9092166666666666,0.38369,,8.6848,,9.0372,,,,0.99702,3.5061,,2.1857333333333333,3.6265,1.1509066666666665,0.70263,1.6872850000000001,,3.6823,2.7693666666666665,,3.5819,2.5382,,0.006775,7.0233,,,,,,,,-0.31885,,-0.399135,-0.355645,,-0.35453
2,80,2,2,,,,-0.63576,-0.74529,,,,,,0.600055,,,,,0.25599,0.33073,,,,,,,,,,,4.1181,1.33135,2.3565,3.6464,0.80948,1.0283133333333334,0.8474799999999999,,,,,,0.21604,,,3.0279,,3.0846,,2.689,3.0279,,,,0.09619249999999996,,-0.09066,
