fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g177,chrX-g178,chrX-g179,chrX-g180,chrX-g181,chrX-g182,chrX-g183,chrX-g184,chrX-g185,chrX-g187,chrX-g188,chrX-g189,chrX-g190,chrX-g191,chrX-g192,chrX-g193,chrX-g194,chrX-g195,chrX-g196,chrX-g197,chrX-g198,chrX-g199,chrX-g200,chrX-g201,chrX-g202,chrX-g203,chrX-g204,chrX-g205,chrX-g206
1,144,1,1,,,,-0.16177,,,,-0.3437,-0.87086,-0.6469199999999999,,,-0.8521799999999999,,,-0.61893,,,-0.52563,-0.03581499999999996,,-0.77754,,-0.0311529999999999,-0.7029,-0.39968149999999997,-0.70756,-0.6033833333333333,-0.97346
2,117,1,1,,,-0.97357,2.2713,-0.6449050000000001,3.7216,,-0.827495,-0.60839,,,,-0.63969,-0.84836,-0.984,-0.984,,-0.77533,-0.5249233333333333,-0.04497500000000005,-0.97357,-0.65013,,-0.8031533333333334,-0.84836,-0.4831899999999999,-0.733595,,
2,648,2,1,,,,0.44819,,,,,,,,,,,,,,0.34379,-0.12602,,-0.44574499999999995,,-0.80463,,,,-0.11297,0.38294,
2,210,2,2,,,,,-0.81724,-0.80606,,-0.88435,,,,,,,,,,,,-0.34747,,,,,,,0.066373,,
2,230,2,1,-0.58209,-0.6309100000000001,,,-0.42101999999999995,-0.3478,-0.338035,-0.36732,,,,,,-0.51864,,,,,-0.2664433333333333,0.034882199999999995,-0.07445500000000005,0.27048,-0.7122566666666668,-0.47471,-0.8066300000000001,,-0.72853,,
0,116,1,1,,,,,1.8832,1.5443500000000001,2.4772,,,,,,,,,,,,,0.045226,,-0.3415456666666667,,,,0.045226,0.41653,-0.7066600000000001,
0,158,2,1,,0.8709399999999999,0.19796,-0.2356,-0.025289999999999993,-0.06088500000000002,0.023245000000000043,,-0.394135,,,-0.2453035,0.9000805000000001,0.37753074999999997,,-0.099707,,,3.2976,2.2234,-0.5915,-0.11265,-0.11265,2.974,2.7216,0.73505,0.8159449999999999,,
1,189,2,2,,,,0.4713699999999999,-0.99463,-0.33048,-0.04699333333333333,0.20408849999999995,-0.63825,,,,0.29318,,,,0.95734,0.11094399999999999,-0.01864500000000001,0.04209933333333333,1.1071825,0.8317950000000001,1.27728,1.77135,,,0.05019666666666666,,
2,808,2,1,,1.0213,,,,,1.0489,0.69055,,,-0.8393200000000001,-0.89445,,,,,-0.177756,,,,1.9769666666666665,1.0075,,,,,1.1545833333333333,0.097895,
2,260,1,1,,,-0.72558,-0.8392333333333332,,,0.27453,,,,,-0.28235,,-0.29750333333333334,,0.60411,-0.4641875,-0.47555433333333336,0.6008671428571429,-0.007699999999999975,0.2915825,0.204068,0.2556066666666667,-0.342015,0.79165,1.8656166666666667,1.9082474999999999,-0.53238,2.83164
0,250,1,2,,-1.1915,,,,,-0.7640100000000001,,,,,,,,,,,,-1.0807,1.0649,-0.96194,,-1.14005,,,,,-1.1955,
3,353,2,1,,,-0.7427,,,,0.44947000000000004,0.30489499999999997,0.004631,,,,,,,,0.2315,1.9931,,-0.70267,0.32492,-0.1555099999999999,0.7475133333333334,,,0.6318600000000001,-0.43576000000000004,,-0.5291766666666666
0,99,2,1,,-0.8601766666666667,-0.91532,,,-0.73335,,-0.98976,-1.1221,,,-0.7499,,-0.7499,-1.1056,-0.41078,,,,,,,,,,-0.6837233333333333,-0.981475,-0.7912525,-0.29498
2,1001,1,1,,1.0359,0.78757,1.4206,,,1.3816666666666666,1.2404,,,,,,,,,,,-0.22044,,,0.51,0.51,,,,-0.90705,,
2,770,2,1,,,,,0.1755525,,-0.38072500000000004,,-0.15706649999999994,,,,,,,,-0.43233,1.2078,,2.263,,0.71462,0.93254,0.273045,,0.8751899999999999,,,0.14114
2,516,2,1,0.12854,0.285115,-0.44918,-0.2548045,-0.13062,-0.45998,-0.10902850000000001,-0.09822700000000001,-0.40059,,,-0.1198299999999999,-0.20621,,,-0.4869699999999999,-0.30879999999999996,-0.17382,-0.2170099999999999,-1.1187,0.79804,,-1.4696,,-0.022649999999999948,0.10154000000000005,-0.41138,-0.087431,
0,353,1,1,,-1.0305,,,,,-1.3914,0.39143,-1.2687,,,,1.40198,,,-0.4964,,0.23985,,,-1.1316,,,,-1.0666,0.3409,0.52496,0.3409,-0.940315
2,244,2,1,,,-0.19402,,,,,,,,,,,,,-1.0424,,,,,-0.73095,,,,,,-0.5322899999999999,,
1,339,2,1,,,,-1.2276333333333334,-1.6469,-1.62135,,-1.37235,-1.1553,,-1.2191,-1.0914,,,-1.2191,,,-1.0786,,-1.5575,0.23663,,,,,,,-1.1297,-1.1808066666666666
1,53,1,1,,,,-0.092058,,-0.1501745,-0.382635,-0.18778000000000003,-0.03736500000000001,,,0.020754999999999996,,0.84462775,0.97111025,,1.4053,,,1.7437,1.947125,1.454512,0.31133,1.9932333333333334,1.1181,,1.9728,0.69421,
1,189,2,3,,,0.26079,,,,,,,,,,,,,,,,,,,,,,,,,,
0,610,2,1,,-0.99209,,,,,,,,,,,,,,,,,,,,,,,,,-1.3313,,-0.83286
0,352,1,1,,1.3556,,0.587685,-0.4787,0.16913499999999998,,0.37657,,,,,,,,0.10362,,,0.8388100000000001,0.5088266666666666,-1.0174,-0.95184,-0.30403,0.08174999999999999,,0.22494,0.5512775000000001,0.26618933333333333,0.8388100000000001
0,620,2,1,,,,,0.5170399999999999,1.3004,,,,,,1.747366666666667,1.8367499999999999,1.8297,,,2.2955,0.43941,1.1310333333333333,,0.0512549999999999,,,1.1098866666666667,,,,0.9757825,1.5168466666666667
0,27,2,1,,,-0.420395,,-0.46928,-0.46928,0.69101,-0.34429,0.19374,,-0.83883,,,-0.7654650000000001,-0.83883,,,-0.24647,-0.6450033333333334,-0.40135,-0.5834100000000001,,-0.4855899999999999,-0.13777,-0.19212,-0.66493,-0.5979,-0.69753,
0,250,1,1,-0.68484,,,,-0.7640100000000001,,-0.15438666666666662,-0.4789899999999999,-0.7165100000000001,,,0.52649,,,,,,0.083128,-0.36815,,,,,,0.421585,,0.24939,,
1,1034,2,1,,,,0.67187,,,0.98253,,,,1.4582,,,,,,1.4,1.2738,,,,1.565,1.84175,,1.33205,,1.07477,0.79808,1.133005
0,55,2,1,,-0.25411049999999996,-0.25119,,-0.5100433333333333,,-0.13247,0.11664775000000001,-0.1928,,,0.19255500000000003,-0.3679699999999999,-0.49642,,0.7452900000000001,,0.4241533333333334,0.3803666666666666,1.6055,0.9136599999999999,1.0158,0.10497,0.8698366666666667,0.07772766666666671,0.6868933333333332,0.6290125,-0.0896533333333333,0.6961474999999999
1,194,1,1,,,,-1.0431,,,-1.1491,-0.52312,-1.0960999999999999,,,,,,,,-0.38830499999999996,,-0.64831,,,,,,,,,,
1,663,1,1,,,,,-0.44232,,-0.45203,,,,,,,,,,,,-0.1318099999999999,,-0.62669,0.52804,-0.33558,,0.52804,,,-0.16092,-0.2611866666666667
2,198,2,1,,-0.44016,-0.44016,,,,0.29511,,,,,0.33415,,2.8588,,,,0.2560699999999999,0.5445273333333333,1.092185,0.8302905,1.2629875,1.1621575,0.6356333333333334,1.3232,,-0.21567499999999995,,
2,119,1,1,,,-0.727,-0.5845199999999999,,,,,,,,,,,0.3038949999999999,,,,,,-0.006211,0.36257,0.36257,,,,,0.630765,
0,406,1,1,,,1.7658,,,,,,0.18352,,,,0.19859,,,1.6226,0.8766999999999999,,,0.96714,,0.24568500000000001,-0.15553,0.7335499999999999,0.8955599999999999,0.27018999999999993,0.35683999999999994,0.10063000000000007,0.18955800000000003
2,244,2,2,,,0.61138,,-0.1081155,0.01538099999999995,-0.2477199999999999,-0.25308499999999995,,,,,,,,1.7389,,,1.5242,,,3.2209,,,2.3403,0.8852150000000001,0.41808,,1.663755
2,578,2,1,,,-0.96249,-0.9624949999999999,-0.889995,-0.90449,,,,,,1.0965,,,,1.749,1.8795,1.7635,1.364765,1.43,,1.32125,,,1.8795,,1.79975,,
2,30,1,1,,-0.54276,,,,-0.9691,,,,,-0.36785,,0.15689,-0.7431766666666667,-0.28403666666666666,-0.7613966666666666,,-0.31319,,,,,,,,,,,
1,233,1,1,,,,-0.2356,,,,,0.26378,,,,0.80409,,,,,,0.8466596,0.6076199999999999,0.07140000000000002,,,1.00877,1.5327,0.10824,,0.9705400000000001,0.3824865
1,98,1,1,,,,,-0.91443,,-0.1547599999999999,,,,,-0.41745,,,,,,,1.0096,,,,-1.028,-0.957015,-0.20446,0.15761999999999995,-0.21866000000000002,0.13396,0.37061
0,215,1,1,,-0.53292,,,,,,,,,3.7591,2.27195,,,0.071987,2.0523,0.45366,,-0.10084,,0.4704633333333333,0.58328,1.9395333333333333,1.1522,-0.19446,1.9539333333333333,2.74005,2.3188079999999998,
2,711,2,1,,,-1.3475,-1.2544,-1.2145,,-1.0682,,-0.915285,,,,-1.414,,,0.15521,,,0.11088266666666667,0.11198725000000001,-0.0509105,,0.10202,0.1419099999999999,,,,,
1,826,1,1,,,0.1318035,,0.046050000000000035,-0.3732,0.29379,,0.036521,,,,,,,,,0.44148,,,1.1037,,1.3229,0.403365,,1.6468,0.6158384,0.67492,0.3319056666666667
2,199,2,1,,1.6512,,,,,1.7077333333333333,1.736,2.0159,,,,0.7096399999999999,,,1.2779566666666666,1.4928333333333335,0.97262,0.9832175,1.049,1.3289,-3.2686,1.10408,-1.118295,1.4193333333333333,0.2601,2.621043333333333,0.9344325,2.300103333333333
2,181,2,1,,,-0.6387,-1.0315,-0.7393099999999999,-0.68661,,,-1.2998,,,,,,,,,,0.5829719999999999,,0.022436,0.798525,1.0349033333333333,0.472775,0.362585,-0.10213,0.089507,0.041599,
3,741,2,1,,,,,0.001105,-0.39235,-0.4317,-0.1300505,,,,,,,,,,,,,,,,,,,,,
1,208,2,1,,-0.267254,,-0.30872666666666665,0.36789499999999997,-0.29562499999999997,0.7797166666666667,-0.27670999999999996,,,,,,-0.55319,0.005581,-0.014790000000000025,,,0.6516575,0.7578746666666666,-0.34146499999999996,0.5585277777777777,0.5759930000000001,0.909215,0.9372818571428573,0.39846999999999994,0.36354,,
3,62,2,1,,-0.5847,,-0.3293,,-0.007992,,-0.27987,-0.098617,,,,,,,,,-0.35402,,,,,,,,,,0.14854,
1,84,1,1,,-0.811315,-1.06144,0.20947,-0.496975,-0.25699,,-0.7437199999999999,-0.85865,,,,,,0.73,,,,0.5272,-0.07784500000000008,0.14524499999999996,,1.5175800000000002,0.5519866666666667,0.54917025,0.2737,0.38862500000000005,-1.2270500000000002,0.07427749999999997
0,164,1,1,,,-1.16865,,-0.21844,-0.77935,,,,,,,,-0.25193,,,,,,,,,,1.1127,,,,,0.4010599999999999
2,181,2,3,,,,-0.55247,-0.1251244,-0.17399,-0.435091,-0.5333,-0.79201,,,,,,,,,-0.2362699999999999,0.46319,-0.37041,,,0.2140699999999999,,,,-0.23147999999999996,0.305095,-0.10212533333333335
2,43,2,1,0.2113699999999999,0.23146,-0.1201225,-0.17035,-0.19044,-0.2708,-0.23955333333333337,0.1417278,,,,0.077435,0.13771,,0.19798,,1.4972,,0.18625799999999998,-0.0431115,0.29843,0.22030200000000008,,0.04562424999999999,-0.29759,0.5060399999999999,,0.40558,
1,468,1,1,,,,,-0.56851,0.24812333333333345,,0.06969500000000001,,,,3.4151,3.7754,,,,,1.6274666666666668,,-0.28029000000000004,,,0.8726,,0.8829,,,0.70791,
2,210,2,1,,-0.045478,-0.7687766666666667,-0.72404,-0.8340150000000001,-0.8433233333333333,0.5249400000000001,-0.857496,-0.3139050000000001,,,,-0.44814,-0.53762,0.65918,,1.9343,1.9343,-0.76132,-0.89554,0.10552750000000005,-0.062255000000000005,0.5585300000000001,1.856,0.066373,1.2296,1.0767433333333334,,1.5278766666666668
2,636,2,1,,,,0.37285,,,,0.61058,0.42945,,,,,,,0.36152500000000004,,0.0785049999999999,1.04641,2.6823,,,0.5502133333333333,,1.858675,2.0974,1.5219150000000001,0.5615256666666667,1.023805
3,157,2,2,,-0.1356415,-1.0804,-0.818495,-0.051453,-0.16682333333333332,,0.60334,,,,,,,,,,,,,,0.112245,,,,,,,
2,566,1,1,,-0.99703,,,-1.0095,-1.3401999999999998,,-0.32311,-0.13591,,,0.038813,0.9290376666666668,,0.579611,,0.82505,-0.6226349999999999,-0.06518999999999997,-0.4437499999999999,0.23537249999999998,0.62537,0.26345,-0.18583,0.08040666666666667,-0.45622999999999997,-0.43230999999999997,-0.455398,-0.10346079999999999
3,91,2,1,,,-0.80512,,,,-0.8820899999999999,,,,,,,,3.1303,,2.9187,,-1.0072,,,,,-1.0392666666666666,,-0.28874,-0.24703400000000003,,0.6381866666666667
0,149,2,1,,,-0.67473,,-0.82294,-0.91725,-1.0048,-0.83641,,,,,,,,,,,-0.27729,,-1.0116,-0.64779,-0.4221215,,-0.55348,-0.54674,,0.005643,
2,172,2,1,,0.764115,,,1.8406,,1.4528,1.1569,,,,2.0956,1.361,,2.64155,2.38135,1.3406,,,2.2181,0.17744,1.0345,2.1466749999999997,0.92227,1.4937,1.646685,0.6263799999999999,2.1671,0.3611
2,555,1,1,,-0.4126399999999999,-0.37824349999999995,-0.2177,,,-0.50438,0.10337,-0.17184,,,,0.068972,,,,,-0.40118,0.00016924999999997498,0.03457249999999997,,,,0.13204,-0.43558,,,,-0.55025
1,142,2,1,-0.38836,-0.4223333333333333,-0.062237999999999995,-0.09847349999999999,-0.1932685714285714,-0.541235,-0.3634493333333333,-0.146486,-0.10470100000000002,,,,0.34542,0.64437,1.018055,,0.24351,0.39751000000000003,-0.041854,-0.041854,0.31145,0.7598699999999999,-0.005619999999999996,,0.19934499999999997,0.326735,0.7259,-0.103,0.899145
0,544,1,1,,,,-0.076207,-0.76634,-0.59788,-0.3696485,,,,,,,,,,,-0.51637,0.021606666666666673,,,,,,1.77685,0.15203,-0.45116500000000004,-0.26097,
2,578,2,2,,,,,-0.77399,,,,-0.1069799999999999,,-0.54198,,,,-0.66524,,-0.005477,,-0.1432285,-0.28098,,,,,-0.48398,,,,
3,718,2,2,,0.37155,1.1722,0.7504500000000001,,,,,0.8576799999999999,,,,,,,,,1.1865,,,,,,,,,,,
