fov,cellID,rep,dbscan_ldp_nbr_allele,chr19-g15,chr19-g16,chr19-g17,chr19-g18,chr19-g19,chr19-g20,chr19-g21,chr19-g22,chr19-g23,chr19-g24,chr19-g25,chr19-g26,chr19-g27,chr19-g28,chr19-g29,chr19-g30,chr19-g31,chr19-g32,chr19-g33,chr19-g34,chr19-g35,chr19-g36,chr19-g37,chr19-g38,chr19-g39,chr19-g40,chr19-g41,chr19-g42,chr19-g43,chr19-g44,chr19-g45,chr19-g46,chr19-g47,chr19-g48,chr19-g49,chr19-g50,chr19-g51,chr19-g52,chr19-g53,chr19-g54,chr19-g55,chr19-g56,chr19-g57,chr19-g58,chr19-g59,chr19-g60,chr19-g61,chr19-g62,chr19-g63,chr19-g64,chr19-g65,chr19-g66,chr19-g67,chr19-g68,chr19-g69,chr19-g70,chr19-g71,chr19-g72,chr19-g73,chr19-g74,chr19-g75,chr19-g76,chr19-g77,chr19-g78
1,142,2,1,,,,0.27035849999999995,0.14439500000000002,,-0.14149,,-0.15014,,,0.044364999999999946,-0.13222950000000006,-0.0402295,,,,-0.22217666666666666,-0.076041,-0.171745,-0.3230249999999999,-0.05652999999999997,-0.2254699999999999,-0.15919166666666665,-0.1246976,0.015343666666666625,0.06659299999999994,-0.021705000000000002,0.014109999999999956,-0.0837625,0.08450066666666667,0.0882049999999999,0.18607274999999998,-0.0444264,-0.18657,0.26644666666666666,0.33889,-0.33044,-0.00812,-0.17051,-0.15919333333333333,-0.141493,-0.046403,-0.40824,,-0.13285,-0.014294,-0.27733499999999994,-0.019234,-0.10321,-0.178047,-0.004414500000000002,-0.084685,-0.1802682,-0.30327,-0.31720514285714285,-0.28474549999999993,-0.148286,-0.22464666666666666,-0.21608219999999995,-0.3069733333333333,-0.4712199999999999,-0.20241566666666666,-0.28227
1,98,1,1,,0.036697,-0.3704699999999999,,-0.23475,-0.30261,,,-0.52059,,-0.3314,,-0.43833,,,,,,,,,-0.18436450000000001,-0.37664,-0.09079999999999995,1.0094,,0.24028,-0.24503,,,,-0.14734925,,,-0.31906,,,,,,-0.28410149999999995,0.29477499999999995,,-0.4589,0.10558499999999998,0.15597,-0.43627,0.090164,0.46032,,,,,,,-0.39103,,-0.3555625,-0.24297,,-0.34579,-0.16689,,
0,610,2,1,,-0.6532600000000001,0.3415349999999999,0.15194,0.392017,,0.1864115,-0.8601,,,,-0.10661,,,,,0.46466,,-0.015499999999999951,,0.46466,0.12156866666666664,0.2873699999999999,,,,,,-0.23958,,,,0.48436,0.0115819999999999,0.2085699999999999,,-0.05983000000000001,0.24961133333333332,-0.6483300000000001,0.46466,,-0.727125,,-0.23958,,-0.8847200000000001,,0.090378,-0.0425899999999999,0.73059,-0.02289000000000002,0.48436,,1.04579,-1.2738,0.69612,,0.016510000000000025,0.76999,,,,,
3,823,2,1,,0.2415699999999999,0.95124,1.1624,,0.29826,,,-0.56195,,,,-0.20418,,,,,,,,,,,-0.18951649999999995,,0.083209,0.28262,0.083209,-0.045823,,,-0.013565,0.147725,0.289954,-0.19831,-0.29508999999999996,,0.3588699999999999,,,-0.46811,,,-0.386,-0.4857,,0.1184,0.20051,-0.10056066666666659,-0.236435,0.53482,0.7049,0.12426,,,-0.26722999999999997,,,-0.107404,,-0.26282999999999995,-0.36254,-0.43878,
0,275,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04714966666666667,,,,,,,0.5418099999999999,0.2324099999999999,,,0.37718,-0.18208000000000002,0.8652299999999999,0.455415,,0.574738,0.37018,1.1571,,,0.040925,,,1.0007,0.47292,0.253422,,-0.102688,-0.088676
2,80,2,2,,,0.3603699999999999,-0.46566,0.39967499999999995,-0.24079,-0.61965,,-0.2904,,,,,-0.079062,-0.71565,,-0.47339,,-0.40702499999999997,-0.58808,-0.10226,,,0.62841,-0.061021,1.2551266666666665,,-0.46308,-0.47983,-0.46179,,,,,,,,,,,,,,,,,,0.31526,,,0.4673199999999999,,,0.31526,,0.12841,,0.39903,,,,,0.375185,
3,157,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.036231,,0.12193,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30121,-0.43511,-0.3234,-0.33411,-0.3035,,-0.26677666666666666,,-0.5020625,-0.34635
0,352,1,1,,,,,,-0.2753135,,0.18811,-0.060153,,,-0.39353,,-0.43609,,-0.43373,,,,,,0.25431,-0.21384,-0.3320599999999999,-0.26467150000000006,0.0320579999999999,0.0899855,0.24485,0.6050466666666666,0.3016,,0.5262166666666667,1.5665299999999998,0.24485,-0.43136,-0.54013,0.14082,,,,-0.067246,-0.47156,,-0.3281166666666666,0.019055000000000002,,,0.7390100000000001,-0.041238,-0.25009333333333333,0.31815,-0.145864,-0.1984705,0.17865,-0.062515,,,-0.003408,-0.0022250000000000048,-0.051879999999999996,0.19757,,-0.56613,-0.025475500000000015
3,718,2,1,,,,-0.18952,-0.16808,,-0.5480499999999999,-0.47539,,,-0.34675,-0.39439,,-0.294335,-0.481345,,,0.26787,,,-0.29196,0.02012,0.08682074999999997,0.02012,,0.3226699999999999,,0.26311,0.06180699999999995,-0.20936999999999995,-0.33245,0.13685,0.37269,0.52595,0.282165,0.50848,,,-0.17523,0.10112,0.25835,,0.0034439999999999,0.15829,0.086823,,,0.52754,-0.006085,0.29408,0.425105,-0.01085,0.33696,0.2488199999999999,0.026077,0.19641,0.13209,,-0.08588949999999998,0.10112,0.26311,-0.10614,-0.027525,-0.151405
0,37,1,1,,,,-0.34389,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57402,,0.88956,0.46157,0.51208,0.21647000000000005,,,-0.63015,,,-0.66664,0.016740000000000033,,,,,,,,,,,,,,,,,,,,,
2,636,2,1,-0.10680666666666666,1.1937,-0.3964033333333333,-0.63941,,-0.4142566666666667,-0.42454749999999997,-0.5695399999999999,-0.3669,-0.1596,-0.18755,,-0.3917466666666667,,,,,-0.114184,,0.1199,-0.0757525,-0.33895,0.28294,0.33884,0.27362499999999995,-0.041980000000000045,-0.36224,,-0.302845,-0.23801666666666663,-0.21783,1.4545,0.059342,-0.25743,0.421535,,0.33419,-0.4065,0.96772,,1.1145,-0.3218666666666667,0.18977499999999997,-0.0547879999999999,-0.007040000000000046,1.352,0.9522033333333333,,-0.05013,,0.6928799999999999,1.1016625,0.504215,0.5508,0.741795,0.41221399999999997,0.37843999999999994,0.139116,1.2892,0.09699666666666668,0.2394666666666667,0.6944333333333333,,
0,407,1,1,,,,,0.15571,,,,-0.3518,-0.3813,-0.44622,-0.3763866666666667,,-0.45802,-0.4447399999999999,-0.074438,0.25603,,,,,,,,,-0.12755,,-0.37835,,,,0.56585,0.56585,0.56585,0.028834,,,,-0.074438,,,-0.0508329999999999,,,,,0.084896,0.6897800000000001,0.13505499999999998,,-0.008540000000000011,-0.10985,,,,,,,,,,,-0.16885499999999998,
2,172,2,2,,,,,,,,0.15249,-0.22407666666666662,-0.25847,-0.23955,-0.31177,,-0.2200633333333333,,,,,,,,,,0.29606,0.17369166666666666,,-0.009144,0.020087,0.135292,0.3674199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15186,,,
2,875,2,1,,0.49718,,,,,0.0074099999999999,-0.40843,,,-0.514705,,-0.47312,-0.40843,,-0.43616,,-0.4916,,,-0.25134,,,,,,,,,,,,,,,0.1367799999999999,0.1922299999999999,,,,,,,,,,2.3361,1.717,,,,,,,2.5856,1.7401,1.95266,2.6411,2.5487,2.4932,2.7058,,,
0,620,2,2,,,,,,,,,,0.7237600000000001,,,0.69224,,,,,,,,,,,,,,,,,,0.7277,0.546455,,-0.6079899999999999,0.32581,,,,-0.0760779999999999,-0.141088,,,,,0.057885,-0.091838,-0.59617,,-0.22186,0.12093,,-0.77741,-0.38734499999999994,-0.29672,,,-0.95472,0.2470099999999999,-0.35582349999999996,,-0.3637,,,
0,275,1,1,,,,,,,,-0.30001,4.5933,-0.30001,1.2832,-0.36306,-0.42377000000000004,,,,,,,,,,0.019906666666666666,0.38652,,,,,,,,0.30713,0.30713,,,-0.036136,0.31414,,,,,,,,,,0.213725,,0.6644049999999999,,,,,,0.0222419999999999,,,,,0.1693599999999999,,0.2721,,
3,62,2,1,,,,,,,,,,,,,,,,,,,,,,0.4136399999999999,0.012505000000000002,,0.297465,-0.014147,0.24758499999999994,0.16763,,,0.28107,0.231864,0.09655949999999995,0.21956499999999995,0.37947,0.292,,,0.3876699999999999,,,0.48198,0.2646699999999999,0.20794599999999996,,0.2783333333333333,,,,,0.2346,,,,,,-0.51164,,,,,0.13209549999999998,,
2,1001,1,1,,,0.51515,,,,0.67643,0.61742,,,-0.086709,,1.2153,1.0895,-0.3188,,0.3184599999999999,0.431556,0.68823,0.523032,,,0.14931,0.18340566666666666,0.32764333333333334,0.33813,,0.3106,,0.55055,,,-0.18899,0.296827,-0.0513049999999999,,0.24372,,0.41681,,,0.52695,0.75117,0.81018,,1.058,0.8396699999999999,1.4553,0.49942000000000003,0.12178,-0.11818,-0.3542,0.09719225000000001,0.4325385,0.191273,0.40697350000000004,,,1.4553,0.19126400000000007,0.15127999999999997,-0.16145,-0.043438,-0.42107
3,91,2,2,,,,,,,,,,,,,,,,,,,,,,,,0.106792,0.548995,,,,,0.0873299999999999,0.032833,,,,0.54355,,,,,-0.28014,,,,,,,0.38005999999999995,,,,0.15273,0.61984,,,,,,,,,,0.2477099999999999,,
1,189,2,1,,,,0.12315,-0.15893,0.61316,-0.11003999999999997,0.2827199999999999,0.34075,-0.12508,-0.29594,,,,,-0.27499,-0.31045,-0.345915,-0.2121199999999999,-0.29755,0.8339799999999999,,0.22026,0.72115,0.7477449999999999,0.3165699999999999,0.62766,0.1715,0.180365,-0.033206,0.26434599999999997,0.23274999999999998,0.10823524999999998,0.7598600000000001,0.33688,,,-0.42167,-0.13637,-0.47486,,,,,-0.054965,-0.140395,-0.27176,0.490655,0.29763325,0.8807299999999999,-0.04851849999999999,,1.2200199999999999,0.8984633333333334,1.7818,0.6010845,-0.16377,0.55513,0.086073,0.65077,0.20265333333333344,-0.12508,-0.15893,
3,455,2,1,,,,,,,0.6542899999999999,,,,,,,,-0.37258,,,,,-0.18064,,,,0.3184103333333334,0.1048665,,,0.13126,0.65428,,0.1216599999999999,0.48874399999999996,0.5583199999999999,,,,,,0.08807,-0.47335,,,0.0544805,,,,1.1341,0.70547,,,,,0.85583,,,,,,,,,1.482,,-0.74207
0,884,1,1,,,,,,,,1.193,,,,0.85614,1.2331349999999999,1.1413633333333333,0.829385,,,,,,,,,,,,,,,,,,,,0.26255,0.36415,,,,,0.50854,0.45506,0.44437,0.3802,,,,,,,,1.0487,,,0.41495499999999996,,,,0.39624,1.1396,,,,
2,730,2,1,-0.34653,0.79127,,0.5883,,-0.21073999999999998,-0.3141333333333333,,,,,-0.52664,,-0.59239,0.52683,1.0286,-0.1292599999999999,1.6432,,,-0.30651,0.35673,,0.30670200000000003,0.090864,,0.082287,0.37675,0.0193939999999999,-0.21503,-0.1121099999999999,0.7979333333333333,1.283,,,0.27383,,1.283,-0.30651,,,,1.3144,,1.3144,,0.40854999999999997,0.855595,0.8956050000000001,0.3367199999999999,0.18949500000000002,0.1709099999999999,0.92421,0.1223099999999999,2.06485,2.5637,0.1594799999999999,-0.014912,1.8376,,0.9441999999999999,-0.58667,2.0648999999999997,
1,826,1,1,,,-0.21329,-0.18812,,,0.034725,,0.18209,,-0.10545,-0.15936999999999998,,-0.16056766666666666,,,,,,-0.46848,,0.49121,,,,0.2414,,,,-0.3175199999999999,,0.18928,0.5792700000000001,0.6080399999999999,0.5496175,,,,0.4804199999999999,,0.32946,,,,-0.6410100000000001,,,,,,0.91894,,,1.0735,,0.24858700000000003,0.32227,1.4437,0.588255,0.370795,0.59544,1.7061,,
0,89,2,2,,,0.037076,,,-0.047367,,,,,,,,,,,,,,,,,,,,,,,0.2450699999999999,,0.56862,0.36063,,,,,,,,,,,,,,,,,,,,,,,,0.32152,,,,0.097519,,,,
3,741,2,1,,-0.12665,1.9486,-0.03564999999999999,,-0.25538,,,-0.33751,,-0.0689419999999999,-0.08004,,,,,0.847705,,,,0.15079,,,0.44081666666666663,1.5114,0.45432775000000003,0.18187,,-0.033429,-0.27536,0.49260000000000004,0.49185999999999996,0.27731,1.6112600000000001,0.3572099999999999,-0.06894499999999999,,,-0.2420699999999999,,0.6224299999999999,0.38828500000000005,-0.28424,0.6612899999999999,,-0.17104,,,0.43933,-0.3397266666666667,-0.28646,-0.37746,,,-0.030099499999999953,0.57695,-0.2132099999999999,-0.22653,-0.208775,-0.026771000000000034,-0.27203,,-0.15993999999999997,
1,820,1,1,0.8960600000000001,,0.1130099999999999,0.013578,,-0.08896099999999996,,,,,,0.23420000000000002,,,,-0.048568,,,,,,0.7904100000000001,,,0.18759,0.14098,,0.77177,,,,,1.2006,,-0.02371000000000001,0.42375,,0.1068,,,,,,,,,0.67855,,,-0.12936,-0.132465,1.3435,1.2565,,0.8214799999999999,,,,,,,-0.15422,-0.40902,
0,844,1,1,,,,,,,,,,,,0.28903,,,-0.40109,0.065376,0.065376,,,,,,,,1.8098,0.49989999999999996,,,0.84177,,0.77467,0.4104399999999999,0.065376,,-0.2221699999999999,0.039816,-0.11993,0.039816,,,,,,0.64048,,0.3721,,,,,,,,,1.0942,,0.99193,1.2284,0.71077,,,,,0.8769100000000001
3,455,2,2,,,,,,,,,1.1005,1.2349,1.0622,,,,0.80784,,,,,,,,,,,,,,,,,,,0.38558,,0.58951,,,0.29280333333333336,-0.30860333333333334,-0.5213399999999999,-1.1068,-0.39658,-1.1451,,-0.5945119999999999,-0.86203,,-0.559725,0.2368199999999999,-0.715675,,-1.3227,,,0.70707,,1.5036,0.06328083333333333,1.5516,,,-0.7132749999999999,
0,89,2,1,,,-0.089144,,,-0.2246975,-0.25981,,0.035298,0.0246319999999999,-0.046478,-0.15847633333333333,,,,-0.1593675,,-0.31669,,,,,,,0.46551,,,0.5472899999999999,0.6693600000000001,0.3695149999999999,,,,0.3760333333333333,0.6068450000000001,0.08685433333333331,,,0.3090699999999999,,0.966835,1.994373333333333,1.2966000000000002,0.45307,,0.48018,0.49039999999999995,-0.17980999999999997,0.26285,0.44951,0.3810699999999999,0.7175900000000001,0.23618299999999992,0.25351625,0.28003666666666666,0.61662,,0.2504099999999999,,-0.0304779999999999,0.022261666666666666,-0.10337,,-0.071366
1,53,1,1,,0.90199,,,,,,,,,,,-0.6368699999999999,-0.75026,-0.72481,,,,,-0.45869,,,,-0.60216,1.263,1.1519,,0.66133,,,0.022639,0.56259,0.91125,0.68794,,,,-0.7710899999999999,,,,,,,,0.006441,-0.274718,,-0.1694266666666667,-0.24001,0.17074,-0.74564,,-0.0942215,-0.2058755,,,,,,,,,
1,831,1,1,,,,,,,,,,,,,,,,,,,,,0.54084,,,,,,,,,,,,,,0.29589,0.57775,,,,,,,,,,,,,,,,,,,0.20194,0.242205,,,,,,,,
0,55,2,1,,0.12861050000000002,2.0475,,,0.00797633333333333,-0.009716500000000051,,-0.053945,,-0.11707899999999999,-0.45766,,-0.34265999999999996,,0.309555,-0.56623,-0.31853,,-0.41665,-0.4343399999999999,-0.284757,,0.68834,0.73659,0.7124699999999999,0.8105800000000001,0.6395533333333333,,,,,0.0369279999999999,0.15112399999999995,,,,0.28542999999999996,0.0900059999999999,,,0.240128,-0.12874,-0.0370595,,-0.05796850000000002,-0.1367845,-0.29682,-0.10461550000000004,-0.26546,,-0.1745805,,,,0.1575599999999999,0.093223,,-0.019367,-0.2003149999999999,,-0.006500000000000006,-0.4456,0.0859825
0,646,2,1,2.6857,,1.9499,,,,,,0.34392,,,0.30024,0.1608045,0.22296,0.10537,,,-0.13654,,,,,1.8894,,0.17593,,0.18264,,,,,0.18264,0.1477018,0.22632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,612,2,1,,,,,,,,,,-0.025449999999999973,,,-0.17436000000000001,,,,,-0.036906,,,,,,,,0.83935,0.779205,1.1314,,,,0.44418,,,0.0490009999999999,,-0.40631,,,,,,-0.38054,,,,-0.50081,0.28954,-0.32898950000000005,-0.82726,1.8015,,,,0.882305,,-0.04550000000000001,,,,0.916665,-0.054088,,
2,566,1,1,,,,,,-0.034946,,,,,,,,0.71965,,,,-0.37692,,0.092232,0.29289,-0.1169099999999999,0.708345,0.092232,0.4087699999999999,,,0.2307199999999999,,,0.7648699999999999,,0.6781933333333333,0.8468200000000001,,0.054079,,,,,,,,,,,,,0.78465,,,0.71305,0.60095,,,,-0.46453,0.25332,,,0.44551,-0.17343,,
2,792,2,1,,0.25824,-0.087976,,-0.2380036,,-0.2871865,,,,,,-0.61555,,,,,,,-0.24185,0.12635,0.13459,0.37914,1.4013,,0.20878,1.1210550000000001,,0.20054,0.302205,,,0.44326,,,,0.28023,0.087882,,,,1.2419,,,,,1.08397,,1.1842,1.6706,,,1.5332,1.2447,,0.48356,0.50829,0.038422,,,0.8645866666666667,,0.45333,
3,353,2,1,-0.2918,,0.3612599999999999,1.6207,,0.46469699999999997,,-0.43579999999999997,,-0.19546000000000002,0.36735,,,-0.65889,,-0.2775995,,,,,,-0.006843500000000051,0.732425,-0.15185333333333326,0.11383149999999995,2.07505,-0.09912300000000004,1.471898,0.6418216666666666,0.07225200000000001,,0.5823400000000001,0.81963,-0.17720999999999992,,,,-0.131575,,0.8317899999999999,-0.0038009999999999,0.38763200000000003,,0.14898466666666665,0.10572,,,,0.08705959999999995,0.072762,0.0894929999999999,0.15236649999999996,0.10166,0.21929,-0.30092499999999994,-0.088983,,0.263915,-0.13495333333333334,0.0428459999999999,0.56002,-0.12346349999999995,-0.0626169999999999,-0.19039
2,578,2,1,,,,,,,,0.37789,0.14007733333333336,0.2399599999999999,-0.09298000000000001,-0.12508499999999995,,,0.18764,,,-0.46397,,-0.39976,,1.1032,,0.0980633333333333,0.73224,,0.5182,,,0.412375,,0.47302,,0.80516,0.7393700000000001,0.33509,,0.4539899999999999,0.44686,0.60382,0.86541,,-0.033526,0.2685,0.3993,,0.14959,0.11392,0.22926000000000002,0.16862,,-0.20237,0.18764,-0.0145009999999999,0.052087,0.1591,0.15315675,,0.092516,,,,,
1,713,1,1,,,-0.13799,0.0280029999999999,,0.1767099999999999,0.17670499999999995,,-0.31205333333333335,-0.41464499999999993,-0.4042699999999999,,-0.36623,-0.42848,,-0.15528,,0.30466,0.71273,,,,,,,,0.20437,0.8026399999999999,,,,,,,,,,,,,0.05220999999999999,,,0.0435645,-0.08266,-0.4941899999999999,-0.35239666666666664,-0.068827,0.460275,0.47756666666666664,,-0.016954,,,-0.086119,0.041835,0.021086,0.055666999999999994,0.13175,,,-0.10513499999999996,0.031461,
2,172,2,1,0.439068,,0.32400225,-0.09597874999999999,,0.289185,0.18300499999999997,0.34678,,,-0.49403,-0.18797,-0.4072,-0.06503000000000003,-0.5439,-0.531,,,,-0.50435,,-0.33584,0.30036,-0.05126999999999995,0.546248,0.05017499999999994,,-0.3539,,-0.05041,0.170539,2.2674,,1.4049479999999999,1.4696,0.9228120000000001,,-0.35991,0.35137,-0.13179933333333332,0.10720533333333333,-0.06932700000000001,-0.1114525,,-0.108013,2.6835,1.5968,,,2.5623,1.8036050000000001,0.43218666666666666,1.4208633333333331,0.30809849999999994,0.8230766666666667,0.755155,0.696695,0.368275,,0.33991,0.3272966666666666,0.73536,0.20063,0.5935295
0,406,1,1,,,0.59132,,,-0.4214699999999999,0.37029,-0.1467,0.175755,0.0599419999999999,,,,,,,-0.2557,-0.17168,,-0.31929,,0.75027,-0.124,0.5163800000000001,0.41646,,0.22230700000000003,,,0.36878,-0.033162,1.38045,,0.61857,-0.04224533333333333,0.7510333333333333,0.89865,0.55612,1.511,,0.52546,0.40965,0.9819,,-0.14443,,0.5504399999999999,0.40965,0.4573399999999999,,-0.044516,0.60948,0.7169666666666666,0.5504399999999999,0.96374,0.29384,0.5209199999999999,0.29838,0.34152324999999994,0.6147833333333333,0.542495,,,0.3438
2,516,2,1,-0.23297999999999996,-0.10028,,-0.004376,-0.3188475,-0.296545,-0.25639999999999996,-0.11812,,-0.38575499999999996,,-0.2787,,-0.5664100000000001,,-0.0579029999999999,,-0.41475,,,-0.3166199999999999,0.14059,,-0.20956,0.11606,,,3.1069,1.1717216666666668,0.97249,-0.29877,-0.29654,,,0.8409,-0.34561,0.32905,0.85875,0.26326,0.050265000000000004,,0.73607875,-0.02445,,0.6730674999999999,0.9356965,0.021272,0.5582900000000001,1.49885,1.5747,0.2000733333333334,0.36919599999999997,0.446142,0.7728670000000001,-0.292085,0.895306,-0.325984,-0.16496,-0.11737666666666663,1.146475,,2.4846,-0.40806,-0.452665
2,770,2,1,,0.724615,0.57441,,,0.58565,,,,,,-0.3054,-0.57108,,-0.23387,,,,,-0.030524999999999997,,0.17146333333333338,0.54068,,,,,0.56725,,,,,,,,,,,,,,,-0.46276,-0.46276,-0.46276,,-0.17052,,,,,,,,,,,,,,,,,
2,68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43596,,,1.5482,,,0.468865,0.36836500000000005,-0.33246,0.82668,0.32103,,0.27963333333333334,0.67291,,0.79415,,,,,0.6541833333333333,0.93608,,-0.20161499999999996,-0.14322,,0.35208,0.10221,
3,157,2,1,,,0.32469499999999996,,,0.64377,0.40657,0.648365,1.1656000000000002,0.30251,,,,,,,,,,,,,0.6453,0.4203399999999999,0.72488,0.72182,,,,,,0.45656199999999997,0.27496,0.66367,,,,,,,0.64913,,0.42953,0.5366500000000001,,,,,,-0.005088,,,,,,,,,,,0.49151,,,
