fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g152,chr9-g153,chr9-g154,chr9-g155,chr9-g156,chr9-g157,chr9-g158,chr9-g159,chr9-g160,chr9-g161,chr9-g162,chr9-g163,chr9-g164,chr9-g165,chr9-g166,chr9-g167,chr9-g168,chr9-g169,chr9-g170,chr9-g171,chr9-g172,chr9-g173,chr9-g174,chr9-g175,chr9-g176,chr9-g177,chr9-g178,chr9-g179,chr9-g180,chr9-g181,chr9-g182,chr9-g183,chr9-g184,chr9-g185,chr9-g186,chr9-g187,chr9-g188,chr9-g189,chr9-g190,chr9-g191,chr9-g192,chr9-g193,chr9-g194,chr9-g195,chr9-g196,chr9-g197,chr9-g198,chr9-g199,chr9-g200,chr9-g201,chr9-g202,chr9-g203,chr9-g204,chr9-g205,chr9-g206,chr9-g207,chr9-g208,chr9-g209,chr9-g210,chr9-g211,chr9-g212,chr9-g213,chr9-g214,chr9-g215,chr9-g216,chr9-g217,chr9-g218,chr9-g219,chr9-g220,chr9-g221,chr9-g222,chr9-g223,chr9-g224,chr9-g225
0,407,1,1,,0.7614199999999999,0.0631765,0.75875,,,,,,-0.66437,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10472,,,,,,,,,-0.48848,,,0.96662,0.17511,,,,,,,,-0.91222,,-0.080732,-0.096722,,,,,-0.33657,,,,-0.35256,,,-0.056747
2,117,1,1,-0.6689,,-0.60839,-0.81706,0.89405,0.7714525,,1.11835,1.7496,,1.8331,1.4992,-0.8901,2.1043,0.20022250000000005,0.28368499999999996,-0.25887,,-0.2014766666666666,0.93578,,,,-0.003242,0.24716,0.90448,,,,,,,,,1.8331,1.1966,0.64363,0.12822180000000002,,0.4141,-0.17018,-0.14931300000000003,,-0.27452,,,,,,,,,-0.8901,1.2071,,,-0.7962,,,,,,,,,,,,,,,,,0.20543
2,584,2,1,,,,,,2.2615,,,,,0.52903,,0.86269,,0.33653,0.33653,0.965345,,0.91402,,-0.25379,,-0.086961,1.485075,1.3503,1.3375,1.51075,0.9225673333333333,0.23387,,0.535445,,,0.15687,,0.68302,0.79852,,0.2082,0.445615,0.3108599999999999,0.9952866666666665,,,,0.64452,1.915,2.4925,1.7673999999999999,1.6743700000000001,,,,,-0.035629,,-0.27946,,2.069,,,,,,,,,,,,0.2082,0.25953,,-0.2666199999999999
2,31,1,1,,,,,,,,,,,,-0.7799699999999999,,,-0.97533,-0.8431949999999999,,,,,,,,,,,,,,,,,-0.93512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6219899999999999,-0.8489200000000001,-0.56738,,-0.9236200000000001,-0.854665,-0.682295,,-1.055755,,-0.0675019999999999
2,603,2,1,,,-0.92484,-0.65492,-0.3850099999999999,,,,,,,,,,-0.25680499999999995,-1.0058,-0.7179166666666666,,-0.7561450000000001,-0.7196999999999999,,-0.43225,,,,,1.77425,,,,,,,,,1.0725,,,,0.55967,1.3154,0.80707,0.75535,,,,1.005,,,,,,,,,-0.3715199999999999,,,,,,,,,-0.62793,,,,-0.4434933333333333,,-0.439,,-0.61444,
0,215,1,3,,,,1.51945,,,,,0.28803,,,,,,,,,,,,,,-0.49691,-0.12965,,,,-0.2448699999999999,,,,,,,,,0.064788,0.36363999999999996,0.2304199999999999,0.22321499999999994,,,,0.37444,,,,,,,,-0.014429999999999998,0.51847,,,,,,,,,,,,,,,,,,,,,
1,826,1,2,,0.92266,,0.16992,,,,0.24615,,,,0.73209,,,1.9994,,-0.4208399999999999,1.9041,,,,,1.9327,2.1614,,,,,,,,,0.941725,1.1323,,0.50341,0.51294,,0.93219,,,0.88455,,0.1413299999999999,,,,,1.3514,0.58917,,,,,,,,,,,,,,,,,,,,,,,,
3,718,2,1,,,,,,,,,,,-0.14318,,,-0.128885,0.65751,0.97684,1.0721399999999999,-0.15748,1.1007433333333332,1.79419,1.26518,0.521675,,,,0.70755,,2.0587,,1.6441,1.13889,,,,2.2446,,1.5011,0.17137666666666665,0.49546333333333337,0.5907666666666667,,,,1.5583,1.837085,,,1.8299,3.0167,1.5154,1.8299,,,,0.15708,,-0.021644999999999998,-0.4434399999999999,-0.2575664999999999,0.06652233333333334,-0.4291399999999999,-0.14318199999999998,0.72187,0.099886,0.40014,0.27146,,0.2714599999999999,-0.028796,,,,,-0.114582
1,142,2,1,,,,,-1.1561,,,,,,,-0.965865,,,,,,,-1.3146333333333333,-1.2693666666666665,,,-0.955685,,,-1.1086,,,-0.79602,,,,,,,,0.787045,-0.7076899999999999,,,-1.2784,,0.73269,,-1.07119,,-0.68391,-0.7824300000000001,,,-0.8503700000000001,-0.8707600000000001,-0.53784,-0.8707600000000001,-1.1086,-0.72128,-0.5854,-0.7484500000000001,-0.44951,,-0.94549,,,-1.07795,,,,-1.1968999999999999,-0.91832,-1.1969,-1.15497,-1.0321225,-1.1289,-1.08135
2,591,2,1,0.16562233333333334,-0.77412,0.18592674999999997,-0.1650305,,,0.10761,,0.32805,-0.16618799999999997,,,,1.3915499999999998,0.22943000000000002,,3.0081,,1.3142,,0.32804999999999995,0.9236,,-0.066415,-0.7741225,-0.75962,,-0.031604999999999994,,0.003195000000000045,,1.3142,0.316461,0.88494,0.7379899999999999,,,,0.37445666666666666,0.6761033333333333,1.227175,0.17722,-0.33325550000000004,,,,0.83851,2.0722,,,,-0.12441999999999998,1.1634,0.09021000000000001,0.1598245,,0.6645,-0.072215,0.69931,,-0.4492900000000001,0.0380029999999999,-0.10122666666666665,-1.0293700000000001,-0.5072800000000001,-0.91335,,-0.29845,,,,-1.0062,-0.99456,
3,853,2,1,,,,,,,,,,,,,,,-0.78377,-0.7893100000000001,-0.523195,-0.4733,,,,,-0.77823,,,,-0.32360500000000003,-0.38274333333333327,-0.83367,,0.08112,-1.0222,-0.48993,1.0735,-0.37904499999999997,0.65956,,-0.43449,-0.817035,-0.24598499999999995,-0.29034,-0.46775,0.17537,-0.34578,-0.46775,,-0.5564600000000001,-0.27925,-0.41231,,-0.24599,,-0.57309,,-1.0998,,,0.3195199999999999,-0.24599,,,-0.090748,-1.2218,0.10884,,-0.40122500000000005,,,,,-0.20163,,,
2,10,2,2,-0.29235,,,,,-0.4841,-0.42889999999999995,-0.44924,,,,-0.4298666666666667,-0.46811749999999996,,0.7361385,,0.06403833333333335,,,-0.17614,,,,,-0.50153,-0.46375999999999995,,,,-0.170325,,,,,,,,,,,,-0.50153,,,-0.13546,0.6431600000000001,0.73032,,,,-2.4307,,,-0.34464,,-0.44924,-0.088977,,,-0.55964,-0.39694000000000007,-0.44633,-0.47248,-0.67004,,-0.6293633333333334,0.16669,,,-1.2453115,,,-2.4307,0.7419399999999999
0,89,2,4,,,,,,,,,,,,,,-0.87356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8682700000000001,-0.8577,-0.8682700000000001,-0.79424,-0.64088,-0.61443,-0.69376,,,,-0.7678,,-0.95289,,,,,,-0.79953,,,-0.70434,-0.45578,,,,-0.5404,-0.5404,-0.46636
3,455,2,1,,0.4100216666666667,0.4791399999999999,,,,0.29361,,-0.022885000000000016,,,,0.27724000000000004,,,,,0.22813,,,,,,,,0.22813,-0.54674,-0.40486,,,,,,,,0.18448,,,,,-0.33938,-1.0706,,,-1.2016,-0.8850600000000001,-0.97783,,,,,,,,,,,,,,-0.7650100000000001,-0.13202,,,1.6687,,,,,,,,0.064426,
2,578,2,1,,-1.0446666666666669,0.45853,-0.7449899999999999,-0.9093300000000001,-0.5516533333333333,0.79203,0.20477650000000003,,,,,,-1.36125,,-1.4265,,,,0.096026,,,,,0.87903,,,,,,,,-0.7377400000000001,,0.28453,,0.5455300000000001,0.23015249999999998,0.37153,1.488,2.242,-0.150478,0.4947675,1.1545,-0.0924779999999999,,0.07427050000000003,-0.5274800000000001,-0.12872899999999993,1.5895,,-1.0205,-0.94799,,,,,,,,,-0.81749,,,,,-0.9334899999999999,,,-0.0924779999999999,-0.16498,-0.42598,-0.6362399999999999,-1.006
1,339,2,3,1.0794075,1.6796,,1.78175,,0.7091,0.594175,1.0539,,0.3004699999999999,,0.54309,,,1.7179,,0.40263,,0.6069450000000001,0.4154,0.6537466666666666,,1.4242,1.3603,,1.5774,3.19275,2.1691,,,4.24625,3.4163,,1.6413,,,1.271,1.6349,1.6796,,1.5987,1.4837999999999998,1.0198,0.9836699999999999,0.383475,0.97728,0.3941133333333333,0.81126,0.73464,,0.78572,0.78572,,0.64525,,-0.41462,,,,-0.06346,-0.08687133333333334,-0.0506905,,-0.1464599999999999,-0.1464599999999999,,-0.031536,-0.12092000000000003,,,,-0.12092,1.0028,-0.17199999999999993
1,826,1,1,0.04128500000000006,0.188975,,-0.0682919999999999,0.007936,0.47959,-0.21122,,,,,,-0.21122,-0.0301779999999999,-0.22075,,0.3319,0.7035100000000001,,1.4372,,,,-0.0873495,,,-0.22075,-0.15405,,0.50341,1.3133,0.026992500000000048,1.1418,0.0555779999999999,0.43671,,0.5034133333333334,0.689215,0.4271899999999999,1.1228,-0.36367,,1.5611,,-0.32556,,1.1862833333333334,0.94172,0.81785,,,2.1232,0.007936,,0.16992,0.49388,,,,,,0.98936,,,,0.22709,0.92266,0.3319,,,,,0.030169333333333367,
1,81,1,1,-0.04945949999999995,,-0.17392,0.1683439999999999,,-0.0105659999999999,0.46393,,-0.04945949999999995,,0.26947,,,,2.7605750000000002,,2.4967666666666664,2.2686,3.0231000000000003,2.5097,1.8148333333333333,,,,-0.05335000000000001,,-0.27504,,,,-0.20503,,-0.15058,-0.14280349999999994,-0.15058,,0.38226000000000004,0.3083605,0.306415,,0.27725,-0.49285,,0.49116000000000004,0.479495,0.90991,,1.7241,,0.48338000000000003,,,0.3083599999999999,,,0.51839,,0.41726,,,,-0.39949999999999997,,,,,,,,,-0.02871666666666668,,,
2,648,2,1,-0.55667,-0.54362,-0.3609199999999999,,,,,,,,,1.4009,,,0.25571,0.8570966666666666,1.2878,0.5221566666666666,0.74835,0.3655566666666667,,0.77445,0.08278700000000005,,,0.23939,-0.086866,0.9702,0.41556650000000006,0.918,,,,,,,,1.2965,,,,0.44819,-0.26957,,,,,,,,,,,,,,,,,,-0.76548,-1.006915,-0.987315,-0.91772,-1.2483,-1.3527,,,,,-0.51752,-0.6480199999999999,-0.71328,
0,215,1,2,,0.40325,0.20881,,,,,0.5616800000000001,0.6120899999999999,,,,,,,-0.47891,0.07919,,,0.2232199999999999,,,,,1.289,0.96493,,0.7177000000000001,1.05495,-0.38889,-0.13924899999999998,,-0.36729,0.6144866666666666,,,,,0.46806,,,0.63369,,,,,,,-0.47171,,,,,-0.48251,,,,,,,,,,,,,,,,,,,,-0.34569
2,770,2,2,,,-0.9714,,,,,,,,,,,-0.95993,,-0.007961,,-0.67319,-0.75922,-0.78789,-0.007961,-0.300435,,,,-0.76495,,,,,,,,,,,,-1.0976,-0.8223,-0.18000500000000003,,-0.9790633333333334,,-0.85097,,,,,,,,,,,,,-0.40939,,-0.2258835,,,,,,,,-0.78789,,,-0.71907,-0.6540783333333333,-0.220146,-0.753485,
3,353,2,2,,1.9664,0.7208133333333332,,,-0.16885999999999995,,,,0.198135,0.8320299999999999,0.9833,,0.5984925,,,,,,0.378296,,0.017976,,,1.3792,0.19146,,0.8387199999999999,0.5384399999999999,1.7862,,1.34585,0.11139000000000002,,-0.04875,1.4326,0.3338123333333333,0.45837000000000006,0.42900799999999994,,0.344935,0.16477425,0.43167775,1.4726,0.765325,0.53177,,1.225695,-0.04875,1.3836199999999999,0.3338106666666667,0.058012,0.55178,0.551785,,,0.425005,0.5517866666666665,2.5135,,-0.46579,-0.549195,-0.52918,0.56513,,-0.67597,-0.3023099999999999,0.39164,-0.4758,-0.38238,0.8587400000000001,,,
2,1229,1,1,,0.01678999999999997,,,,-0.6657649999999999,,,,,,,,,-0.503255,0.19015000000000004,-0.2649,-0.091552,-0.11322,-0.27212,,,,1.2302,-0.004880000000000051,,0.13596499999999995,,,,,,,,1.1219,,-0.30823500000000004,,-0.37324,-0.43391599999999997,-0.9582966666666667,-0.65493,-0.633265,-0.14933399999999997,,,,-0.5465899999999999,-0.427425,0.1468,,,,,-0.914955,-0.84995,,,-1.1316,-0.004879,-0.17823,0.21181,,0.08179666666666664,,1.5553,,,,-1.0233,,,-0.19989,
1,718,1,2,2.2543,,2.061,0.861565,,2.061,,,0.90113,,-0.54871,-0.64537,-0.021499,,,-0.293892,-0.32904,-0.50478,-0.526745,,-0.33783,1.2262,0.3387699999999999,,,,-0.1642875,0.19817,0.699025,,,,,,-0.1533,,,,0.6463005,,,0.786877,1.6392,,0.75175,,1.3317,1.0857,1.7095,1.2175,0.32119,,2.2104,0.98021,,0.031223,,1.4283,0.80447,0.70782,,,,,,0.25968,,,,,0.8484099999999999,,,1.358
1,98,1,3,,,,,,,,,,,,,,,-0.94993,,,,,,,,,-0.81503,,-0.7227399999999999,-0.63754,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95703,,,,,,,,,,,,,,,,,,,,,
2,566,1,1,,,,1.786,0.47561,,,,,,0.65033,,,,-0.20580400000000001,-0.023587,0.36329,0.18025000000000002,-0.21079000000000003,0.20105,-0.62263,,-0.60391,-0.972065,0.65033,-0.39799,,-0.036067,,-0.13591,,,,-0.24823,-0.048547,-0.52279,0.7982971428571428,0.5193150000000001,0.39449,0.26345,1.71115,0.29256,,,,0.9186650000000001,1.1661566666666667,-0.1483885,0.40697150000000004,0.15737,,0.37577,,,0.32585,0.8312849999999999,-0.27319,0.77513,-0.53527,-0.26695,,-0.011107,-0.41671,-0.62263,,,,0.1074515,,,,,-0.36055,
0,99,2,2,,,,,,,,-0.84088,,,,-0.44386,-0.73335,-0.73335,,,,,,,,,,,,,,,,,,,,,,,,-1.2048,-1.1662000000000001,-1.0725,,-1.1097000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2048,,,,
2,199,2,2,,,,-0.6644800000000001,,,,-0.39305,,,,-0.091925,,-0.16402,0.28554,0.14134,0.6375649999999999,0.18375466666666665,0.5654600000000001,0.090449,0.1795155,,,0.28766474999999997,0.5315300000000001,,0.7096600000000001,,0.7096600000000001,,,,2.9745,0.5315300000000001,,2.8642,,-0.50332,,3.3392,2.8218,,1.71905,,,,1.876,1.7657100000000001,2.93034,,3.9075,1.702115,0.4297399999999999,0.31099,-0.18947,,0.031072,,,,,,,,,,,0.31099,-0.393045,,,0.039554,,-0.63055
1,81,1,2,-1.1774,,,,,,,-1.1463,,,-1.3563,,-1.3952,,-1.5974,-1.3563,-1.4288999999999998,-1.43795,-1.473,,,,,,,,,,,,,,,,,-0.92845,-0.59397,-0.64064,-0.48507,-0.5265533333333333,-0.7962100000000001,-0.508405,-0.7806500000000001,,,,,,,,,,,,,,,,,,,,,,-1.5507499999999999,,,-1.3174,,-1.3251499999999998,,-1.4341,-1.28235,-1.4185
1,53,1,1,0.14724,1.6514,,,,,-0.26982,,,,-0.0100125,0.81728,,-0.11257,0.38654,0.024173,0.348935,,0.87198,0.7033266666666668,0.76258,0.57456,,1.6172,0.8241200000000001,1.0908,1.9089333333333334,0.5711449999999999,1.2207,1.6309,,,,,1.0156,1.6309,0.044685,0.35691333333333336,-0.24247,,0.565667,0.0036700000000000066,0.52328,,1.018282,1.4530999999999998,0.3409600000000001,,,,,,,1.38475,,0.4891,,-0.071547,0.48226,1.8497,2.0958,,,,1.5864500000000001,,,,-0.7074,0.3250099999999999,0.26347,1.5215,1.05656,1.01899
3,28,2,1,,,,,,-2.5661,,,,,,,,,,,,,,,,,,,,,-0.12258,,,,,,,,,,,,,,,,,0.21838,,,,,,,,,,0.24363,,,,0.4961899999999999,,,,,,,,,-0.3961866666666667,-0.37514,,,,0.022644,,-0.32463
0,310,1,2,,-0.37592000000000003,-0.35568,,,,,,,,-0.011497,-0.37592,-0.36917,,,0.23145,,-0.32530499999999996,0.2112099999999999,0.56551,,,-0.051988,,,-0.031743,,,,,-1.1723,-0.78084,,,-0.40292,,,-0.7628466666666668,,,,,,,0.58238,,-0.19371,,-0.57163,0.035744,-0.1802099999999999,,,,,,,-1.0778,,-0.7853366666666667,-0.1059799999999999,,0.089733,,,,-0.058737,0.30569,0.09310900000000001,0.45416,0.35968,0.63637,0.81183,1.9590999999999998
0,613,1,1,,0.031019999999999992,,,-0.19466,,-0.0125329999999999,0.24086,0.13,,,-0.49556,,,,,-0.58267,,,,-0.3055199999999999,,,,,,-0.713325,,,-0.23425,-0.2421699999999999,,0.92977,1.22275,0.84267,1.5791,,,0.9020699999999999,0.8981,-0.26988749999999995,3.3053,1.088145,-0.2421699999999999,-0.32136,1.04855,,1.4049,,1.5316,,,1.2069,0.80308,0.80308,0.5100899999999999,,,,,,0.21710699999999994,,,0.29629,,,,,,,,,
2,516,2,1,,0.96002,0.39490333333333333,,0.64686,0.9816366666666667,0.75485,0.74405,,,0.38770000000000004,0.53888,0.53888,1.9966549999999998,1.4136,,2.3908,1.2948,,1.52152,2.26665,1.8670499999999999,0.62527,2.07765,1.59715,1.4028,1.16519,1.0787900000000001,1.0860133333333335,0.96002,1.0248,,,,,,0.6288666666666667,0.58207,,0.93844,1.2228,0.495685,,1.343365,,0.4308899999999999,0.42549499999999996,0.420095,,1.7212999999999998,0.70085,0.62527,,1.6781000000000001,,1.4351,,,,2.1802,0.5496766666666667,0.69006,0.94382,1.3811499999999999,,0.549682,,0.04215,-0.38979,,-0.38979,,,
2,210,2,2,,,,,,,,,-0.43695,-1.1752,,,,-0.51525,,,,,,,,-0.9291,-1.1304,-0.80606,,,,,,,,,,,,,,-0.78369,0.021633,,,,,,,,,,,,-0.34747,-1.2423,-0.16851,,,,-0.30273,,-0.16851,,,,,,,,,,,,,,,
1,144,1,1,,,,,,,,-0.63759,-0.38569,,-0.4914233333333333,,-0.57228,-0.56295,,,,,,,,,,,0.23707749999999997,0.8132050000000001,0.7338899999999999,2.236,,,,,,,1.219,,,0.5099750000000001,,0.56595,,,0.46799,1.0418,,,,1.1351,,0.33271,,,,,1.0604,1.9374500000000001,,,0.37935499999999994,0.42834000000000005,0.021714666666666632,0.32338,-0.24574,,,0.11812,1.13507,,,3.3462,,,3.0383,
3,91,2,2,,,,,,,,,,,,,,,,,,-3.4608,0.14748,0.21483,,0.20521,-1.1755499999999999,,-1.776939,-0.054589,,-3.4608,,,,,,0.21483,,,0.11861,0.22445133333333325,-0.8949166666666667,-0.4130124999999999,1.0487366666666667,0.06728999999999997,0.070499,1.0616,0.07049949999999999,-0.11232,0.39765,,0.44383799999999995,0.4393466666666666,-3.4608,0.373597,-0.33363,,1.32139,1.6742000000000001,,4.0541,0.6141350000000001,,0.69596,0.16672,,,,,-0.025722999999999954,0.28219,,-0.20854,-0.15081,,0.070495,
0,55,2,1,0.22759,1.191,0.60127,,0.94575,,,,,,-0.39132,,,0.6654899999999999,0.3735566666666667,-0.19426,0.6421399999999999,-0.44971,,0.514858,-0.1130066666666666,-0.467234,,0.020315,-0.07019,-0.656965,0.1604425,0.22759,,,,,,,,,,,,0.525365,0.659635,0.1429245,1.5822,0.79395,,,,1.5705,,,,0.64798,,0.43486499999999995,,,,0.19255,,-0.4847399999999999,0.6654899999999999,-0.4321899999999999,,-0.12274,-0.57816,-0.11105999999999999,,,,0.37355499999999997,1.6463666666666665,1.3136,,0.82314
2,555,1,1,,0.41298,,,0.41298,2.0069,0.080439,-0.30370549999999996,-0.34384,,0.942766,0.6881949999999999,1.3877,1.8148274999999998,2.8325,3.5893,0.940445,,2.155965,0.8602,,0.56205,0.60792,,,,,,,2.3394,0.44738,1.617,0.6996600000000001,1.79282,2.6204,0.67672,1.445,1.4641366666666666,3.2568,1.6973,0.11484,3.5664,4.296466666666666,,2.0872,1.3991,2.2477,2.0929,,,,,-0.46998,0.046038,,0.12630799999999995,2.0527666666666664,2.0184,-0.20624,-0.2521,-0.091567,,,,,-0.8369200000000001,1.6744,-0.34384000000000003,-0.99746,,-0.1059,0.12630499999999997,-1.0319,0.358525
3,86,2,2,-0.565265,,,-0.272645,-0.41452,,,-0.30812,,,-0.73373,-0.4765899999999999,-0.5032,-0.6805399999999999,,-0.78695,-0.5564,-0.5963,,-0.48989,-0.534235,,,,,,,-0.37905,,-0.85788,,-0.91109,,,,-0.78695,,-0.7293050000000001,-0.81355,-0.3347199999999999,-0.5564,-0.5386599999999999,-0.28151,-0.5164949999999999,-0.16624,,,-0.38792,-0.4411233333333333,,-0.2578706666666667,,,,,-0.18398,0.07317499999999999,-0.095304,0.26825,-0.583,-0.5298,-0.7337400000000001,-0.76921,-0.5298,,-0.46773,-0.37905,-0.26378,-0.086437,,0.33919,0.33623333333333333,0.50767,0.290405
1,53,1,2,,,,1.0566,1.1318,,0.49593,,,,,,,0.97453,,0.7284,-0.33136,,2.1368,1.6788,,,,,,,-0.20373,,,,,,,,,,,,,,,,,,-0.72107,-0.55698,,1.8018,,-0.66638,,,,,-0.27666,,-0.38605,,,,,,,-0.13308,,,,,0.8377899999999999,,,0.6737,,
2,711,2,1,0.12861,-0.20384,,-0.32352,-0.42547,-0.13734749999999998,-0.19054000000000001,-0.110754,,-0.044263,-0.19719099999999998,,-0.23044,-0.30135999999999996,-0.33017,-0.32352,,,0.28819,,,0.4344699999999999,0.60734,,1.0329,0.26159,0.18180400000000002,0.048825,-0.097455,0.24386333333333332,0.30149,0.022228,,0.60734,0.13526250000000004,,,0.48766,0.50539,0.24829,0.56745,0.633935,,0.51426,1.352,0.97969,1.2257,0.11531,,,,,,,,,,,,,,,,,,,,,1.2722,,,1.4983,-0.40996,-0.4964
2,172,2,1,,,,,-0.5231866666666666,0.12642,,,,,,,,,0.62638,-0.20008,,-0.5163800000000001,,-0.48577,,,,,,,,,-0.827585,,,,,,,,,-0.70004,,-0.65923,,-0.5776,-0.5572,,-0.86329,-0.79187,,-0.12866,,-0.64903,-0.6796300000000001,,,,,,,,,-0.71024,-0.8428899999999999,,,,,,,,,,,,,-0.73065
1,94,1,2,,-0.8008299999999999,-0.77572,-0.8546299999999999,-0.8115899999999999,,,,-0.9156150000000001,,,,,-1.1057,-1.0004833333333334,-0.8402799999999999,-1.0411,,-1.0627,-0.98375,-0.95506,-0.933555,,,,,,,,,,-0.8905,,,,,-0.85822,,,-1.1774,,,-1.1272,,,,-1.077,,,,,,,,-1.1631,,,,,,-0.99093,,,,,,,,-0.93354,,,-1.19895,,
2,244,2,1,,,,,,,,,,,,-0.6987399999999999,,-0.88129,-0.66652,-0.6772600000000001,-0.63162,-0.8276049999999999,,-0.5484,,,,,,0.20331,,,,,,-0.31215,-0.08305700000000003,-0.31215,-0.47323,,-0.32289,,,,-0.91351,-0.12959,-0.11079999999999998,-0.91351,,,,,,,,,,-0.54303,-0.8920299999999999,,,,,,-1.1444,-0.9538099999999999,,-1.0585,,,,0.063705,-0.473225,,-0.000727,,,
