fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195,chr7-g196,chr7-g197,chr7-g198,chr7-g199,chr7-g200,chr7-g201,chr7-g202,chr7-g203,chr7-g204,chr7-g205,chr7-g206,chr7-g207,chr7-g208,chr7-g209,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224,chr7-g225,chr7-g226,chr7-g227,chr7-g228,chr7-g229,chr7-g230,chr7-g231,chr7-g232,chr7-g233,chr7-g234,chr7-g235,chr7-g236,chr7-g237,chr7-g238,chr7-g239,chr7-g240,chr7-g241,chr7-g242
3,455,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43549,,-0.011969,,-0.066538,,,,,,,,,,,,,,,,,,,,,,,,,1.385,,,,,,0.99208,
2,636,2,2,2.0672,,,0.3502,,1.7313,0.423789,,,,,,,,,,,,-0.12527,0.089826,-0.02337999999999995,0.3841699999999999,,0.3841699999999999,0.24454666666666666,,0.27661,-0.40829000000000004,-0.164892,-0.1224375,-0.363005,-0.30074,-0.20451566666666662,,-0.2422513333333333,-0.47621499999999994,,-0.15073999999999999,-0.13659,,0.10115,0.82002,1.1992666666666667,0.27662,,0.37285,,,,,2.23515,,,,3.2596499999999997,1.9351,1.7086999999999999,,,,,,,3.8596
0,646,2,2,,,,,,,,,,,,,,,,,,,,,,,-0.6407499999999999,-0.36094,-0.5847899999999999,,,-0.5767899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,841,2,1,-0.59124,-0.3835766666666666,-0.9482200000000001,-0.19574999999999998,-0.115251,-0.4932275,-0.5328983333333334,,,0.129745,,,,,,,,,,,,,-1.3682,,,,,-0.89223,-1.0322,-0.9552149999999999,,,,,,,,-0.34625,,,,,,,0.54973,-0.40225,,-0.89223,,,,,-0.69624,,-0.857235,,,,,,,,,
2,636,2,1,-0.5667800000000001,,-0.583765,0.837,-0.6686650000000001,-0.09130000000000005,-0.98565,-0.73659,,,-0.36301,-0.37433,,,,,,,,-1.35355,-1.3366,-1.34225,,-1.3253,-1.3253,,,,-1.1215,-1.0762,,,-0.917725,,-1.1441,-0.94037,-1.141868,-1.0875,,,,-1.1328,,,,,,,,,,,,,,,,,-0.87244,,-0.8384799999999999,-1.053575,-0.6347,
1,233,1,1,,,0.45206999999999997,0.3783835,0.2088042857142857,-0.56306,-0.460725,0.01818533333333333,,,,,0.30062,,,,,,-0.280625,-0.4975699999999999,,-0.26016,0.11233000000000004,-0.542595,-0.21649333333333334,0.20238,0.20648,,0.61853,,,,0.030464999999999992,-0.12917,0.001812,0.33746,0.40295,-0.7104199999999999,,,,,,0.6076199999999999,0.3743000000000001,,,0.783625,-0.9642,,,-0.190575,-0.5248533333333333,-0.94782,-0.4539033333333333,-0.34202,-0.12644333333333335,,-0.50575,,0.6239899999999999,,,
0,646,2,1,-0.27299,,,,0.499827,-0.1330875,-0.16506475,,0.29463,,,,,,-0.5608,,,,,-0.30496999999999996,-0.19304499999999997,-0.77266,-0.14508,,-0.608775,,,-0.348945,-0.33695,,-0.312965,-0.5608,,,,-0.37692,-0.31296499999999994,0.36658,,-0.59278,0.09276374999999998,0.12140999999999998,-0.39291499999999996,,0.29463,-0.43888249999999995,,,-0.21703,-0.45687,-0.5847899999999999,-0.203705,,-0.28898,-0.47885750000000005,,,,-0.16106566666666666,-0.19305,,,,-0.053138
0,352,1,1,,-0.23849333333333333,,-0.304,,0.25648333333333334,-0.28945399999999993,-0.5903133333333334,0.023553,0.04173499999999997,,-0.43503,,,,,,-0.95912,-0.95184,-0.89361,-1.1629,,-0.99552,,-0.74803,,,,-0.23849499999999996,,,-0.23849,,,,,,0.13274,,,-0.60245,0.15458,-0.9664,-0.32825666666666664,,-1.0392,-0.74803,-0.8244549999999999,,,-0.98096,,,,,,,-0.90089,,-0.919085,-0.90089,-0.8208200000000001,,
2,260,1,1,-0.27099,,-0.66876,-0.754,-0.8619600000000001,,,-0.29372,,-0.5693175,-0.47556,,,,,,,,-0.79377,-0.95858,-0.8998466666666666,-0.7369475,-0.935855,-0.8960600000000001,-0.8960600000000001,,-0.23689,,-0.7312675,-0.8165,-0.975595,,-0.70285,,,,-0.54375,-0.6573899999999999,-0.18007,,-0.90742,-0.54375,,,,-0.331601,-0.6914899999999999,,-0.10051,,,,,-0.5248033333333333,-0.5267,,,0.35976,0.99052,0.15236,0.1978175,0.66094,-0.37327,0.14951650000000002
0,610,2,1,-1.026695,-1.0406,,,-1.0613000000000001,-1.14785,-1.2482,,,,,,,,,,,,,,,,,,,,1.50545,,-0.11285,,,,,,,,,,,,,,,,-1.1029,,,,,,,,,,,,,,,,,,,-0.8121
2,555,1,2,,,,,,,,,,,,,,,,,-0.80252,,-1.0547966666666666,,-1.2268,,-0.75665,,-0.928645,-1.2268,,,-0.93248,,,,,,-0.79106,,-0.84839,,,,,,,,,,-0.8254600000000001,-0.5273100000000001,,,,,,,,,,,0.16071,0.9634,,,,
2,648,2,1,,,,-0.8046300000000001,-1.1178333333333332,,,-1.3266,,,,,,,,,,,,-0.45227,-0.33482,-1.2875,,-0.53057,-0.38702,,-1.0395,,,,,,,,,-0.93513,,-0.9383900000000001,-0.9655699999999999,-1.12435,-1.00039,-0.86662,-0.9807899999999998,,-1.11129,-0.8176799999999999,-0.9547125000000001,-0.63497,,,,-1.17655,,,,,0.29159,,,,,,,
1,826,1,1,,0.79402,,0.198505,,0.35572000000000004,,,,,0.4653,,,-1.1831,,,,0.017464,,-0.14452,,-0.02699999999999997,-0.48754,-0.11593499999999998,,0.87183,,-0.92585,-1.2022,-0.60188,,-0.30174,,-0.39226,,-0.51613,,,,,-0.26839,,,0.57011,,,-0.39702000000000004,,,,,,-0.75434,,,-0.83533,,,,,,-0.8019666666666666,-0.35414,-0.84009
0,750,1,1,,,,,,-1.2043,,,,,,-0.99931,-0.9829049999999999,,,,,,,,,,,,,,,,,,,-0.92551,,,,,-0.93371,,,,,,,,,,,,,,-1.0444,-0.86401,,-0.81071,,,,,,-0.3925099999999999,,-0.74511,,
0,613,1,1,,,,-0.60642,-0.66185,-0.66977,-0.36095,,,,,,0.45466,,,,,,,,,0.11152666666666666,0.10624533333333334,-0.16299,-0.31344,-0.0838,,,,-0.58267,-0.55891,-0.5483566666666667,-0.7489600000000001,-0.701445,,-0.0838,,-0.48765,0.39923,,-0.7054050000000001,-0.90733,,,0.1537599999999999,,,,,,-0.8519,,-0.8519,,-0.4243,,,-0.511405,,0.08249,-0.19466,-0.4243,-0.62226,
2,43,2,1,,-0.37460499999999997,-0.023018,-0.151935,-0.2462483333333333,-0.02301766666666667,-0.237315,-0.14802766666666667,,,,,,,,,,,,-0.009625,0.25155,0.25155,0.12431166666666667,-0.06655,,-0.47171,-0.15696,0.41228,0.38548999999999994,-0.36456,,,-0.25405999999999995,-0.8668299999999999,,-0.66592,,0.16449,0.23313499999999998,,0.331913,-0.07085257142857142,-0.34446499999999997,-0.3690233333333333,0.20021,0.09305999999999996,-0.19378883333333333,,-0.53198,,,-0.629085,-0.6994049999999999,-0.2205755,-0.35562999999999995,0.22141500000000006,-0.7864599999999999,-0.62239,-0.61502,-0.4493850000000001,-0.5900166666666666,-0.3185175,,-0.391348
0,55,2,1,0.56623,0.7414,1.5958066666666666,-0.23951199999999995,0.11665249999999999,0.2918146666666666,0.54288,-0.017643333333333334,,-0.131495,-0.076029,,,,,,,,,-0.44971,,-0.035157,,,,-0.49642,-0.44971,,,-0.1363633333333333,-0.34928299999999995,-0.24535200000000001,,,0.011553,-0.74165,-0.165071,-0.23367333333333332,-0.47306,,-0.7591633333333334,-0.961184,-0.7903033333333335,,-0.8584200000000001,-0.92849,,,,-0.63071,,,,,,0.03490500000000002,0.26846,-0.11106,1.1501,0.47865499999999994,0.82314,-0.14414733333333332,1.0392,0.85233
3,91,2,1,-0.6223,-0.26627449999999997,-0.783465,-0.82436,,,-0.48758450000000003,-0.66078,,-0.35288,0.0897429999999999,,-0.3625,,,,,,-0.54532,-0.4587199999999999,0.44576,0.325485,-0.4041966666666666,-0.72814,0.57085,0.68631,0.29181,,-0.98794,0.83065,,-0.28552,-0.8339799999999999,,,,-0.4875899999999999,-0.39136,-0.66078,-0.13157,,-0.8845,0.29179000000000005,-0.51645,-0.64154,,-0.64154,,,,,,,-0.77625,-0.35288,-0.68965,-0.7345533333333334,,-0.8981333333333333,-0.68965,,,-0.8147399999999999,
1,843,2,2,-0.22464,-0.61732,,-0.28832,-0.45813,-0.0017649999999999888,,,,,,,,,,,,,-1.01,,,,,,,,,,-0.596095,,,-0.44751499999999994,,,-0.22464,,,,,,,,,,-1.1957,,,,,,,,,,,,,,,,,,-0.91449,
2,730,2,1,-0.9256900000000001,-0.7487633333333333,-0.7533,-0.578645,-0.77598,-0.49018,,-0.73515,-0.85764,,-0.14995,,,,,,,,-0.39492,,,0.095025,-0.40853,,,,,,-0.8168150000000001,-0.72835,-0.8803199999999999,-0.29965,-0.96652,,,,,,-0.85764,,,,,,,-0.9393,,,-0.8667233333333333,,-0.9393,,,,,,,,,,,,,
2,198,2,1,-0.34256,,,,,,,-0.4792,,-0.004204,0.1519599999999999,,,,,,,,,,-0.9607,,,-0.74598,,-0.70694,-0.44015925,-0.6516299999999999,0.021823,,,-0.7156133333333333,2.0259,,,,,-0.14085,-0.1929,-0.32954,,,,,,,,,,,,,,,,-0.29701,-0.18964599999999995,-0.583305,-0.0432445,-0.2351955,-0.28833666666666663,-0.1291356,-0.41413,-0.34256
1,81,1,1,,,4.3766,-0.018345,,0.71285,-0.48507,,,,-0.80399,-0.8954,-0.31394,-0.5823115,,-0.99846,,,-0.57841,-0.97512,-1.2396,-0.37616,,-0.6562,,,,,-0.621974,-0.632865,-0.072796,,-1.2396,,,-0.8973399999999999,,,,,-0.55508,0.79064,,,,,,,,,,,,-0.3372699999999999,,,0.10352199999999996,0.051664,,0.44838,,0.5378335000000001,,0.3083599999999999
1,718,1,1,0.0004699999999999427,0.8044849999999999,0.496955,1.24825,-0.56629,0.37830775,0.593585,0.49693,,0.24210700000000002,,,,,,,-0.60144,,-0.091794,-0.37298,-0.23238,-0.21481,,,-0.58386,-0.236777,0.2069599999999999,-0.1401215,-0.48721,-0.285105,,0.15424,-0.17088,,,,0.24211,,,,,-0.2763199999999999,0.09272999999999998,,,,-0.40812,,,,,,,,0.083944,,,-0.2763199999999999,-0.2236,-0.179665,-0.1533,,,-0.24117
1,208,2,1,1.6819,1.3588666666666667,1.004174875,1.0387233333333334,0.87866,1.0008828571428572,1.0067033333333333,1.6164,,0.195475,0.25004249999999995,0.6341950000000001,0.75643,,,,,,0.40065150000000005,-0.2214183333333333,0.594905,0.27623,0.9004750000000001,-0.13702099999999998,-0.14284249999999998,0.11035,,-0.30873,-0.07299499999999995,-0.4440525,1.0795,0.64293,0.4945,0.957225,,1.5946,,0.4101066666666666,0.44037420000000005,0.8306525,,,,,-0.5008,,-0.45715,,,-0.44842,0.5177713333333333,0.6545700000000001,0.59054,,4.1614,0.40719999999999995,0.0554734285714286,-0.47461,-0.46588,-0.56192,,0.31989,,-0.53572
2,210,2,1,-1.17515,-0.7277600000000001,-1.0577425,-0.40787600000000007,-0.14614000000000002,-0.98129,-1.102455,-0.845185,-0.55999,,-0.71658,-0.98129,-0.61591,,,,,,,-0.6084566666666666,-0.8769,1.7105799999999998,2.633325,-0.40340000000000004,-0.93469,-0.8880833333333333,-1.0521,-0.487285,-0.94028,-0.5488,,-0.5040600000000001,2.3705,0.24533333333333332,0.9007719999999999,-0.03429499999999999,,-0.006330000000000002,,1.0842,,,,-0.58236,-0.58236,0.16144599999999998,,,-1.0186,1.5204,,0.65918,-0.64947,0.7710333333333333,-0.6382800000000001,0.74866,1.81683,,,-1.3989,0.5174993333333334,,1.252,
2,199,2,1,,-0.520285,-0.6786166666666666,-0.52876525,-0.855335,-0.6288579999999999,-0.41849,-0.92744,-0.63055,,-0.592385,-0.28278,,,,,,-0.52877,-0.34781,-0.6871033333333333,-0.698415,,-0.7789975,-0.834132,-0.8313033333333334,-0.783235,-0.92744,-0.600865,-0.572872,-0.47956760000000004,-0.58814,-0.42061375,-0.64469,,-0.41849,-0.8341299999999999,-0.79172,-0.49695750000000005,-0.63621,-0.8341299999999999,,,-0.863815,,,-0.89351,,,,-0.74931,-0.8765400000000001,,,,-0.68993,-0.61359,-0.7153750000000001,-0.74082,,,-0.68145,-0.79596,-0.78748,-0.6644800000000001
2,117,1,1,,,,,,,,,,,,,-1.2657,,,,,,0.408885,,,-0.076278,,,-0.509274,,-0.065844,,-0.07180642857142859,0.30977,-0.03453999999999996,-0.316251,-0.8101066666666666,,0.23673,-0.5040600000000001,,-0.51449,,,,,,,,,,-0.4310199999999999,,-0.66056,-0.65013,-0.535355,-0.4258049999999999,,,-0.05540999999999996,1.8748,-0.27452,1.2279,,,,-0.5614399999999999,
0,158,2,1,,-0.81152,-0.41031,-1.0056,-0.81799,,-0.5332633333333333,-0.66268,0.12678,-0.3650199999999999,-0.034995,-0.21619,-1.08655,,,,-1.2062,-1.0056,-1.20945,-1.0541800000000001,,-1.038,-1.1156533333333334,-1.1739,-1.1189,-1.1157,-1.13185,-1.1286,-1.0595966666666667,-1.21915,-1.1868,-0.8158333333333333,-1.4068,,,-0.83093,-0.83093,-0.70798,-0.70798,,-0.5931225,-0.56562,,,,,,,-0.64974,,-0.94741,-0.9635825,-0.9625066666666666,,-0.20324,0.3985599999999999,,,-0.81799,-1.2192,,,,
2,808,2,1,,,,0.24261499999999994,-0.067496,-0.39828,,0.2357199999999999,,,,,,,,,,,-1.114985,-0.72906,-0.6188,0.84216,-1.1288,-0.99093,-0.75663,,,,,-1.432,-1.3493,,-1.3906,,,,,-1.0598,,,0.3322,0.63542,-1.2115,-1.2666,,-0.6118915,,,-0.89445,,,,,,,,,,,-0.60502,,-0.90824,,
2,80,2,2,,-0.79321,,,,,-0.62367,-0.67642,,,,,,,,,,,-0.6086,-0.29966,-0.5885033333333333,-0.22807500000000003,-0.337335,-0.3674766666666667,-0.31473,,,,,,-0.2017,,,0.13738,,-0.10375,,-0.6613399999999999,0.13738,,,,-0.40515,,-0.0736059999999999,,-0.058535,-0.37124,,,,-0.40515,,,-0.47296499999999997,-0.71409,-0.60106,,-0.8949299999999999,,-0.63497,-0.397615,-0.07360666666666667,-0.17156
2,770,2,1,,0.29025,0.27878,0.71462,-0.40939,,-0.28896449999999996,0.382,,0.40494,,,0.026448,,,,,,-0.848105,,-0.93699,-0.87391,-1.0899233333333334,-0.92552,,,,-0.95993,,-0.92552,-0.90259,-0.53556,-0.67319,-0.20294,-0.1341233333333333,-0.46674,0.42788,0.187025,0.5150458,-0.3979270000000001,-0.39793,,-0.6502533333333333,-0.34058,-1.0288,,,-0.007963333333333322,-0.065309,-0.1685299999999999,,,0.17552999999999996,0.014975000000000016,,,-0.10544999999999999,,,0.37053,,,,
1,94,1,1,0.0635775,-0.57486,,-0.008156666666666664,-0.4457399999999999,0.009776249999999986,0.40073,-0.4457399999999999,,-0.67529,-0.95506,,,,,,,,,,,,,,,,-0.25206,-0.79724,-0.55693,-0.047609999999999986,-0.32379,-0.262815,-0.8187666666666665,-0.7865,-0.8833200000000001,,-0.18032,-0.51748,,-0.49595,,,,,,-0.4027,-0.736265,,,,,-0.81876,-1.0842,,-0.768545,-0.37639533333333325,-0.22097133333333333,0.4796399999999999,-0.72551,-0.8618,-0.8618,0.11378999999999995,-0.6466,-0.5910025
0,407,1,2,,,-0.16868,0.087164,,-0.112715,,,,0.0711715,,-0.34457,,,,,,,0.079169,,,,,,,-0.65638,,-0.5844199999999999,,,,,,-0.74432,0.56687,,,-0.092725,,,,,,,,,,-0.96019,,,,,,,,-0.95619,,,,,,,,-0.67237
2,172,2,1,0.20805,-0.20008,-0.297012,-0.04023000000000001,0.029490000000000002,-0.174574,0.15703066666666668,0.011634999999999993,,0.21825,-0.5776,,,,,,,,,,,1.0957,,,,2.2997,,-0.77146,1.5957,0.8678666666666667,0.7437199999999999,,0.47333,,,0.095812,,1.0345,1.5141,,,-0.36333,-0.46537,-0.230695,,,-0.047034,,,,,,-0.38374,,,,0.24886,,,,,0.33049,,-0.83268
2,584,2,1,,,,-0.35645333333333334,,-0.21529,-0.35645,-0.16396,,,,-0.5361199999999999,,,,,-0.11263,,-0.11263,-0.478365,-0.54895,-0.17679,-0.16396,-0.34362,,,,-0.39495,0.4520283333333333,,-0.7125724999999999,-0.57462,,-0.63878,,,,,,-0.70295,-0.47195,-0.4847899999999999,-0.30512,0.04137,,-0.95961,,,-0.11263,-0.33079,,-0.35003999999999996,,,,-0.43345500000000003,0.4391899999999999,,0.25953,-0.18535,,-0.71578,,
1,468,1,1,,0.16234,-0.11559,,-0.21852,-0.47929666666666665,-0.9082,,-0.65086,,-0.37293,,-1.2685,,,,-0.4346899999999999,,-1.145,-0.70233,-0.6886033333333333,-0.753795,-0.35234,,-0.22882,-0.11559,-0.5324800000000001,-1.217,,-1.1758,,,,,,,,,,,-0.59939,,,-0.86703,1.5932,,1.0579,,,,,-0.48616,,,-0.5685100000000001,,-0.609685,-0.99055,,0.13146,,,,
2,711,2,1,-0.529655,-0.848795,0.159639,-0.9518575,,-0.3368175,-0.86874,,-0.6094275,-0.06421,-0.70251,-0.31022,-1.0593433333333333,,,,0.1951,,-0.935234,-0.32352,-0.52299,-0.7534899999999999,-0.828845,-0.995075,,,,-0.93523,-0.81555,-0.72246,-0.78895,,-0.99508,-1.0017,,,,-0.97513,-1.0682,,0.78022,-0.4831,-0.80225,,,-1.4007,,1.2058,,0.48766,,,,,0.235,-0.69587,-0.7490600000000001,-0.32352,-0.70916,-0.36341749999999995,,,,0.1419099999999999
0,27,2,1,-0.94753,-0.94209,,-0.92035,-0.8442700000000001,-0.404067,-0.5200033333333333,-0.8334,,,,,-0.96926,-0.82796,,,,-0.8660100000000001,,-0.9909950000000001,-1.0263,-1.078,-1.0127,-0.972005,-0.96926,,,-1.1269,-0.96925,-1.0054833333333333,-1.1413666666666666,-1.1595,-0.69753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,1,-0.79043,-0.9401,,-0.7296149999999999,-0.60335,-0.46771499999999994,-1.043,-0.67818,-0.92139,0.21982,-0.79043,,,-0.3695,,,-0.5191600000000001,-0.15435,-0.40067333333333327,-0.1300276,-0.21234579999999997,-0.14499333333333334,-0.45368,-0.3383133333333333,-0.07951300000000004,,-0.5347566666666667,-0.397555,-0.4380933333333333,-0.46771499999999994,-0.3913196666666667,-0.542545,-0.505135,-0.5519016666666666,-0.21983,,0.9588,-0.57529,,0.46303,,,,,,,,,-0.24321500000000004,0.2853,0.29698925,0.27594,-0.54723,-0.47239499999999995,,-0.014034999999999992,-0.014034999999999964,1.35635,1.89891,2.18048,0.776395,0.84655,0.31335999999999997,1.4359
3,86,2,1,,1.4742,0.7027399999999999,0.5224466666666666,0.96876,,,-0.47216,0.928855,2.3165999999999998,1.1372,0.30372,,,,,,,-0.1219099999999999,-0.41895999999999994,,0.18845,-0.70714,0.4766290000000001,,-0.277085,-0.16033333333333333,0.28154999999999997,0.250515,0.3524899999999999,0.39239,0.36283666666666664,-0.263781,0.4456,1.73576,-0.13077,0.22391699999999998,0.15298,,0.1175099999999999,-0.4174799999999999,-0.29924999999999996,-0.18398,-0.30812,,-0.38792,,0.60964,,-0.432255,-0.614035,1.5895,-0.64507,-0.32585000000000003,-0.86675,-0.21501499999999996,,0.037704,0.343626,-0.22387749999999998,0.54313,,0.15002433333333334,
2,555,1,1,0.32125,-0.43557799999999997,2.13305,0.88312,-0.011297,,,,,-0.4470399999999999,,,,-0.59612,,,,,,-0.1833,-0.28651,0.16071,0.05750499999999995,-0.4279333333333333,,,0.94047,,,,-0.5464266666666667,,,,,,,,,,,,,,,-0.68785,,,,,,0.0001699999999999,0.080439,0.068972,1.3303,,,,-0.183302,,-0.34384,,-0.48145,
