fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98,chr7-g99,chr7-g100,chr7-g116,chr7-g117,chr7-g118,chr7-g119
2,181,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11444,,,,,,,,,,,,,,
3,28,2,1,,0.37563,,,,,,,,,,6.3668,5.526,,,,,,,6.5702,,,,,,,,,,,,0.03670999999999995,,,,,,,,,,,,,
3,157,2,2,,,0.028579,,,,,,,,-0.14435,,,,,,,,,,0.0040939999999999,-0.04793850000000006,,-0.066301,0.0928529999999999,0.045413,,,,0.10356699999999994,0.045413,0.036231,,0.074489,,,,,,0.30098,,,,,
0,89,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1153,,,,,,,,,,,
2,18,1,1,,,,,,,0.52107,,1.4458,,,,-0.20399,,,,,,,,,,0.090945,,,0.92046,0.69004,1.0833,,,,,,-0.27363066666666663,-1.3392,-0.44671,-0.64487,-0.28079999999999994,,,,,-0.01044,,
1,142,2,2,,,,0.0647409999999999,,-0.004415,,,,,,,,,,,,,,,,,,,,,,,0.24134,,0.13143,0.62293,,,,,,,,,,,,,
2,792,2,1,,,,,,,,,,,,,,,,,,1.0001,,,,,,,,0.31595,,,0.4148699999999999,,0.50279,,,0.553625,,,,,,,,,,,-0.32154
2,1001,1,2,,0.23192,,,,,,,,,,,,,,,0.45221,0.31748,0.49155,,,,,,,,,,,0.749205,0.2594599999999999,,,,,,,,,0.8278949999999999,,,,,
2,80,2,2,,2.6039,1.4583,,0.198,,1.372,0.9028649999999999,,1.2083,,,,,,,0.198,,,,0.48343500000000006,0.41319999999999996,-0.085508,0.138075,0.8133174999999999,,0.66835,,,,0.406105,,,,,,,,,,,,,-0.32133,4.5781
0,648,2,1,,0.048497,,,,,0.1116,,,,,,,,,,,,,,,,,,0.8785200000000001,,,0.55816,,,,,,,,,,,,,,,0.54845,,
1,98,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61043,,,,,,,,,,,,,,,,
0,37,1,1,,,,,,,,,,,,,,,,,,3.4449,,-0.35231,,,,,,1.8059,,-0.70312,1.58555,,0.13742500000000007,,,,,,-0.68628,-0.2176,0.23424,,,,,,0.7871199999999999
2,80,2,1,4.9351,1.4583,1.4351,2.5562,2.9737,0.4827899999999999,,,,,,,,,4.3075,-0.34581,,1.5756,0.27402,0.55884,0.967042,1.7624,,,1.1774,,1.1774,,,1.015,1.2998,,0.0047,0.569902,0.26801333333333327,,0.19671000000000002,,,0.8784,0.4132,,,,
2,30,1,1,0.10319,0.79075,0.55423,,,1.0685,1.5196,1.3004566666666666,1.372154,1.28855,1.2074,0.97089,1.7863,1.7121,,2.3034,,1.9128,,0.13756500000000002,0.2737,,,0.57210275,1.3215,0.2627,-1.5442,1.8065,,0.7604666666666667,1.6554099999999998,1.0905,-0.312095,1.2033,1.6144500000000002,1.0685,-1.5442,,,,,,,,
2,808,2,1,,4.4243,,2.84705,,2.9873,3.45585,1.13133,1.8213,4.072566666666667,5.4767,4.9288,3.7609,1.78629,,,,,,,,-0.51025,,-0.270945,,0.591835,,0.556145,,,,1.1719,,,,,,,,,,,,,
2,569,2,1,,2.0325499999999996,,0.873825,2.4012,,1.030275,1.4383666666666668,,1.6326,0.914895,1.7010666666666667,1.0029,2.1763,,,,,,0.8229799999999999,0.53159,,,0.0153,1.46735,0.6191025,1.1476199999999999,0.983835,1.1652033333333334,0.782306,0.6098125,0.93641,0.8014650000000001,0.62546,0.479765,0.1033,,2.4188,,,1.7323,,,,
2,636,2,1,-0.1433,1.571,,-0.218995,,,1.0344866666666668,1.4654,1.49645,1.7270666666666665,1.7439,1.3714366666666666,1.02477,0.9188175000000001,,,,,1.0725,0.7021949999999999,0.22859566666666664,0.78605,0.1804599999999999,0.74412,,0.7278133333333333,1.5523500000000001,0.42969999999999997,1.026,0.47394,1.4429,1.6618,,,0.18512,-0.07691549999999994,-0.11535,,,,,,1.13311,,
0,610,2,1,,,,,,0.115,,2.6611,,,,,1.622,,,,,,,0.58285,,,,,,,,,1.0212,,,,,,,,,,,,,,,,
1,77,2,1,0.09068999999999998,-0.17157,-0.1957799999999999,0.77861,0.30655,,,-0.42274,2.2977,,,0.5440799999999999,1.7651333333333332,1.443738,,,,-0.14736,,0.57889,,0.6439507499999999,,,0.58495,,,,,,,,,,1.0691,0.7952575,,,0.20063,1.02751,-0.017243,,,,1.1296
1,663,1,1,,,1.5411,,,,,1.8056,1.1995,1.486,,,,,,,,,,,,1.7064,,1.7505,,,,1.1665,,,,,,,,,,,,,,,,,
2,841,2,1,,,,,,,,,,,3.8499,3.5443,2.3461,,,,,,,,,,,,,,,1.499,,0.8864749999999999,,,,,,,0.01662,,0.217665,0.21231,,,,,
0,352,1,1,4.19695,,,,4.593,6.981,4.0207999999999995,5.4158,4.9335,3.432066666666667,3.2405,4.578766666666667,4.50545,4.4558,,,0.022601,,3.5124,,,1.1977,0.004870000000000055,-0.58505,,0.42927499999999996,0.9341,,2.2687500000000003,0.951825,1.4311924999999999,1.6973633333333333,2.609246666666667,0.8052199999999999,0.32524,0.41508500000000004,0.834755,,0.11954,,,,,,
2,578,2,1,,,,1.63,,,,,,,,,,,,,,,,,,0.43735,,,,,,,,,2.2971,1.869,,-0.13579,,,-0.047795,,,1.6478,1.125823,,,,
2,584,2,1,4.17845,3.9709,2.7639,1.08203,,,1.155839,,,1.29338,,,,,,,,1.6308,,,-0.58207,,-0.16446,1.0273,,-0.16701,,,,2.4787,2.2572,2.4482,2.7868,0.30917,-0.004883333333333313,,-0.57189,-0.2052,,-0.18738,0.37029,,,,
2,198,2,1,1.9901,,,1.7958333333333332,1.0597066666666668,2.2279,2.4631,3.0197,2.8839,,2.9134666666666664,2.8839,3.27325,2.66175,,,,,,0.94471,,,,,,,,1.4883,,,,,,,,,,2.1077,1.8254,,,,,,
0,884,1,1,,,,,,,,-1.6519,,,,2.6957,1.5834,-1.7856,,,,,,,,,,,,,,,0.96844,,2.1396,,,,,,,,0.40159,,,,,,
0,750,1,1,0.94072,,,1.3395,2.1268,,,1.0339,,,,,,,,,,,,,0.5833349999999999,0.471975,1.033955,,,,,,1.9455,1.2515,,,,,,,,,,,,,,,
2,555,1,2,,,,0.916455,,0.206488,1.8744999999999998,2.1902,3.0197833333333333,2.8091,2.9901,3.0088,3.0452333333333335,3.1368,,2.2911,0.93048,0.8223106666666666,,3.0619,0.5591166666666666,1.233165,0.791922,0.82437,,1.1614,,1.4891,1.709055,2.2682,2.3816,1.358,2.3857666666666666,1.6357,1.099,,,,,,,,,,
0,353,1,1,2.3779,4.8665899999999995,3.582802,2.8925,,1.779055,3.2666399999999998,4.4992,1.539757,2.347204666666667,2.967366666666667,-0.096163,4.33852,5.7463,,0.25214,0.20495,0.038663,,5.81825,0.15102,0.7225333333333334,0.462245,0.33304,2.018375,2.2611,2.9509,0.29483499999999996,0.20495,,,2.924,,,,,-0.24672,0.62741,0.8521200000000001,,,,,,
2,230,2,1,,,3.26575,4.34485,3.0751,,3.8239380000000005,3.0352533333333334,5.7114666666666665,4.9677,,4.3662399999999995,6.59126,0.65846,,,,,,8.1114,,,,,,1.6912,,,,,,,2.1394,,1.5959,,,,2.061,,,,,2.9664,3.6614
3,741,2,1,0.037596,4.4523,1.5824,1.8487,0.5014799999999999,,1.5058349999999998,1.5735,,1.4182,1.416315,1.6179,,1.362685,,,-0.27092,,1.609,,-0.10889499999999999,0.073111,1.6468,0.18334466666666668,,1.521,1.8077,2.377,2.0973,1.718556666666667,2.06515,,1.384426,2.1473,,0.47927666666666663,1.47255,1.2394500000000002,1.7185666666666666,1.67117,,,-0.33307,2.6855,2.1484
0,310,1,1,,2.5585,,,,3.6813000000000002,,1.71346,1.9074659999999999,6.4976400000000005,7.8489,,0.085432,4.4942,,,,0.5217,0.21861,,0.55616,0.02573000000000005,,,-0.33018333333333333,,,0.85926,1.8214,,2.22895,2.5791,2.56765,2.1704,1.6491500000000001,,0.6571899999999999,,,,,,,,
2,210,2,1,0.5395449999999999,6.241475,,6.198866666666667,2.5974333333333335,1.8762500000000002,4.1886,3.6173,3.4504,3.37595,3.6048320000000005,,3.69414,3.4091,,,0.78496,,,,2.4707,0.42488,0.92879,1.841065,0.90063,1.56497,2.1006,,1.4488,0.4047699999999999,2.328676,,3.55595,4.1021,0.63208,1.2838450000000001,1.1209,0.38766999999999996,1.352634,2.1884,2.5411,,,0.4228699999999999,
2,45,2,1,2.8223,,,3.2467,,,,,,,,3.5493,,,,,,,,,,,,,2.5097,2.0393,,,,,1.9965,,,,,,,,,,,,,,
3,157,2,1,5.7872,1.946601,3.8284,,5.42605,3.6363250000000003,4.4237,0.38515,2.64165,4.8537,5.174566666666666,4.511539999999999,4.4050666666666665,5.65485,,,,3.294333333333333,1.5459,1.47473,1.2991237500000001,0.93377375,0.11122,1.6609166666666668,0.97892,2.2505975,1.6956300000000002,3.2859,3.77335,3.0079688888888887,2.2812,2.061628333333333,1.3913425,0.046943,0.7485999999999999,1.5471666666666666,0.580265,-0.3233975,,,,,,,
0,27,2,1,,2.15,2.3325,,0.17423,3.2136,3.1479,,3.296333333333333,3.9324,2.43827,2.33611,5.7002,3.8613,,4.4232,5.2168,4.27905,4.2371,,,,,,,,,,2.5496,3.2738333333333336,,1.2105,3.1954,0.47525,1.7195,,,1.2287,0.8711399999999999,-0.017320000000000058,,0.7124199999999999,,,0.07024649999999999
2,172,2,1,5.4106,4.518166666666667,,3.9714,,,,,,5.66765,,,,,,,,-0.45277,,0.32271,,-0.07391333333333333,-0.2137599999999999,0.1009,-0.064167,2.4755,,,,,,2.4755,1.5435,2.4755,1.4071266666666666,,,,,,,,,,
3,455,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2426,,,,,,,,,,,,,1.0238
2,648,2,1,2.87365,2.2535825,3.7169,1.6902,2.9723,2.2055,0.32189,,3.9116,,3.9781999999999997,2.3324499999999997,3.34085,,,,,2.0946,,,,,-0.37091,-0.17614,-0.17861,1.27111,1.742,,,3.324833333333333,2.4743,,2.8539,,,,,,,,,,,,0.66952
2,199,2,1,1.2798025000000002,1.056275,0.6182033333333333,,,1.860225,0.9089149999999999,2.1381666666666668,0.7964899999999999,1.6532733333333332,,3.01085,,,,,,,,1.93685,0.5239550000000001,,,0.99238,0.62446,2.3386,,3.8318,3.716,,2.769,2.4555,2.7179,0.31189,1.1814,2.0774,,0.88642,0.39392866666666665,0.31018999999999997,,,,1.2104,2.1455
3,718,2,2,,4.93355,,4.7763,,,,,,,6.6023,,4.6798,,,,,,,1.7377,,,,,1.4899944999999999,,3.2338,3.877,,2.463125,2.6536999999999997,2.662,1.0278,,1.0493,,0.29646,,,0.761025,,,,,
1,94,1,1,,,,-0.082221,,,3.7552,3.19172,2.885066666666667,3.2255,3.9055,4.831533333333334,,,,2.8301,,,2.8301,,,,,3.3893,,0.43026,3.8994,1.60181,3.70715,2.6095,2.18994,2.029285,2.378334333333333,3.0296000000000003,2.5162999999999998,0.3785199999999999,0.31692,,2.7561,0.9706423333333333,0.46229,,,,
1,826,1,1,2.70535,1.6702,0.35462,,0.7104600000000001,1.5336,1.377202,2.4286,1.0070000000000001,,0.85783,2.8838500000000002,,4.575100000000001,,,-0.3283,1.5911,,0.6924899999999999,1.465295,1.0124,,0.30071,-0.2600099999999999,1.503005,,2.4537,0.7643800000000001,4.8224,3.0959000000000003,2.2332666666666667,,,,1.81755,,-0.0120019999999999,0.35822,,,,,,
1,468,1,1,0.73585,,1.7902,,,,,4.5381,3.08885,,,1.8806,3.0637499999999998,,,,,,,1.1643,1.04548,,,,0.3559605,,,,,3.50725,3.9959499999999997,-0.020589,,,,,,,,,,,,,
2,591,2,1,0.14941,0.36533,5.4015,2.7891,0.64544,2.8251,2.1141,,,,,,4.0729500000000005,,,,,5.1389,,,,,2.3709,0.0793789999999999,,2.29205,,,2.474,2.6432,2.0648,3.1438,2.14035,3.254,,,,1.832,,1.3418,,,,,
2,260,1,1,,,1.58678,2.3188,0.8243066666666667,0.5904925,0.90871,1.2383566666666666,2.0822,,3.5964,0.4047699999999999,1.5049,,,,0.789235,1.4055533333333334,1.502565,1.706035,0.79515,0.661475,1.2147,,,2.7577,2.5956,2.4868,0.98089,3.1729,2.29515,4.3535,2.3259,,,,,,,,,,0.4165995,0.68395,
0,884,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6583,,,,,,,1.0237133333333333,,,,,,0.83475,
0,275,1,1,,,,0.9784845,,,,2.688966666666667,3.95415,5.5413499999999996,2.39245,5.68845,4.9307,,,,,,,2.9038,1.1182033333333334,0.6581836666666666,,,1.3556,2.1682,3.0579,4.8723,2.1262,3.11745,,,,0.69009,,,,,,2.0071,,5.121,5.2063,,
1,189,2,1,3.97395,7.3073,-0.15893,2.9638333333333335,1.9612116666666666,2.1783,3.795,3.8557333333333332,2.12025,6.1943,4.796685714285714,,5.84114,4.0137,,,,,2.0429,,0.70181,0.70181,0.61155,,,,,3.19135,,,3.8095,2.810133333333333,2.5275000000000003,2.6167,1.2353,0.40845,-0.17505,,2.2412,,,,1.1757,1.5239,1.6851
1,53,1,1,,2.80415,3.886,5.1899750000000004,2.9685,5.8032,4.6693,4.652333333333334,,6.215516666666666,6.416449999999999,6.65432,0.76777,6.1179499999999996,,,,,6.0462,,,0.36975,2.7371,1.9526,0.20545249999999995,0.64281,2.5554,,3.1428,,,3.466,4.1278,,,0.86265,,,,,,3.0471,0.543314,,3.7529500000000002
1,233,1,1,2.2446,,0.54923,2.13345,0.72707,1.50065,,1.6103,0.69743,2.34685,3.2998,,,,,,,1.2398,,,,,,0.92269,,3.0123,,2.77665,2.28465,,3.2998,3.4865,,,,0.52255,,1.3702,,2.993,,,,,
2,591,2,2,,3.1580333333333335,,3.6372,,,,,,,,,,,,,,,,,,,,,,1.3418,,4.9483,5.3257,1.2426,2.48855,2.789575,,,,1.6258,,0.84191,,1.9461666666666666,,,,0.91972,
1,713,1,1,-0.079202,1.4406534999999998,,1.8228,-0.016954,,4.482150000000001,1.6361,,1.1485,4.952466666666667,5.7513,6.9029,5.2948,,,,5.4366,,0.7507699999999999,,,5.0562,-0.051536,-0.380065,,,7.3248,,2.25855,2.784202,,,0.017628,,-0.04462,,,-0.023871333333333408,,,,0.477575,,0.17325
1,142,2,1,5.8325,3.87695,,,3.161733333333333,,3.6349,4.8674,3.6843,4.09865,,1.847955,,0.60317,,,2.4679,,,2.6186,0.31604899999999997,1.6603,2.1040129999999997,0.921795,2.1299466666666667,2.0822,4.083633333333333,3.5223714285714287,2.299325,5.364633333333334,3.5505333333333335,3.952915,4.85576,1.3754,1.16505,0.22219499999999998,0.3327199999999999,0.35402249999999996,0.503755,1.6088130000000003,,,3.3546,4.9625,4.4858
0,613,1,1,,,,,,,1.113955,,5.0412,,,,5.6575,4.928033333333333,,,,,,,0.070106,,-0.38379,,1.1894,4.7565,,3.48515,3.0141,3.707,,,,,1.205435,-0.011069000000000032,,0.9173,,1.8349799999999998,,,-0.37692499999999995,,
2,770,2,1,,2.2308,,,,1.8936,3.4948,1.912015,,1.6611500000000001,2.2996216666666665,1.997412,3.1320499999999996,1.9794,,,6.6411,,,-0.16643,0.28522,0.7171366666666668,1.1272069999999998,0.783895,0.126838,3.14535,2.63955,,2.9645,6.444059999999999,,1.273325,,,,,1.8609,-0.043808,,0.551925,4.3818,,,,1.4072
3,353,2,2,,2.0771,,0.24769,,,-0.582835,-0.5013733333333333,-0.61833,4.6224,1.1062866666666666,,3.834146666666667,4.40435,,,,2.5252950000000003,,,,0.59653,1.04879,0.7790566666666668,1.8641233333333334,,4.164,2.4036,,4.4277,2.3488,,,,,,,,,,,,,,
3,937,2,1,8.8404,8.8404,8.4942,,,,,,,,5.3171,,,,,,,3.9259,,,,,0.36384,,,5.0842,,,3.14945,,5.8024,,,1.6321,1.1597,,,,-0.26543500000000003,-0.0535179999999999,,,,,
2,516,2,1,,,1.4988,2.4311,2.61175,2.0638333333333336,,2.8116,,,5.636033333333334,6.0999,6.4568,,,,,4.56995,,,,0.101563,1.1040999999999999,-0.16719,2.0921,3.05,,,2.132233333333333,5.8836,1.5635,,,4.5343,,0.69036,,-0.15381,0.16959,0.27441,,,,,
2,711,2,1,,4.2713,2.87105,,2.5204,1.9026,1.1297,,0.6478349999999999,,,3.37555,0.10155,,,,,,,,,0.7790199999999999,1.3611,2.58,4.78655,-0.29443,7.4535,4.022,3.3052,5.5332,2.7422,3.098466666666667,5.0323,2.481,0.9674630000000001,,,0.7098450000000001,,,,,0.4379,,
1,81,1,1,,0.35661,0.04327999999999996,,,,3.348433333333334,0.04477500000000001,,,,0.95934,,,,,,,,,-0.07309,2.1111,2.2245,,0.75942,4.3073,5.653,4.8742,4.84135,3.26092,2.2842,2.73176,,1.953,1.1563,,,0.86982,,0.97127,,,,2.4423,
1,718,1,1,,8.2178,2.5832,2.4491,,,,,,6.1739,4.3262,,-0.1081599999999999,,,,,,0.5328,,,1.023305,0.23738766666666666,-0.075463,,,3.9338,,2.63062,,3.0345,4.1856,4.36545,2.85626,,,,0.3660199999999999,,,,,,,
1,137,1,1,5.8444,4.4488,0.5232399999999999,,1.6421766666666666,2.7491,,1.6939281666666668,5.705000000000001,6.6289,5.9817,,6.356533333333334,,,,,,,2.4125,0.60823,1.673746666666667,0.41538,0.4774899999999999,0.33694,,,,,9.43165,7.397,0.28791,,0.14082,0.32713,,,,,,,,,,0.8751433333333334
3,86,2,1,4.0554,4.04286,4.09695,3.8082166666666666,4.82755,6.0711,2.7163,2.2689033333333337,1.6847,4.01236,2.1363,,1.32341,7.1643,,,3.7077,,,,,0.8394333333333331,0.9015766666666667,0.18529,,2.4397285714285712,5.43685,5.5778,3.6686,2.2411956666666666,3.4347,4.568350000000001,5.5535,2.47823,0.29258100000000004,,0.172765,-0.0621679999999999,0.11403499999999998,2.4579,,,,,
0,190,1,2,,,,,,1.7512,,5.2153,3.8502,0.087591,5.2153,,1.5163,1.2496,,,,3.4979,,4.7187,,,,,1.1395,0.2612833333333333,,,,,4.1609,,3.7376,6.1767,,,,,,,,,,,
2,603,2,1,1.7861025000000001,1.54117,2.204455,0.91117,,1.4803,0.26630966666666667,0.84323,1.7409974999999998,5.4004,3.9452499999999997,2.8054,3.4233833333333332,5.2659666666666665,,,,,,0.7489306,,-0.069928,-0.14318999999999998,,,4.024900000000001,5.346299999999999,3.3427,4.6466,5.4012,5.4875,4.0477,0.095713,2.0961,1.5238099999999999,,1.2275999999999998,-0.22707,-0.23769,1.0216,0.20402,,,1.5313,
2,730,2,1,1.5689,2.4379,,,,,,3.464233333333333,1.6317599999999999,,2.5666,2.665925,3.0269,,,,,,,,,,0.17949,,,0.49396,3.8602,1.9491,,5.23385,6.555600000000001,,,,,0.4282,-0.60383,-0.18072,-0.34653,,,,,,6.2545
0,646,2,1,,,2.3027,0.814285,,0.62949,2.5984,1.3888,2.0565800000000003,1.907594,,2.9040999999999997,3.3486999999999996,2.1649,,,,3.7306,2.895685,2.447175,-0.400285,0.33608,0.37919425000000007,0.31030433333333335,1.4770225,3.6488666666666667,4.3488,4.64654,3.4349333333333334,3.5559,3.3710999999999998,2.773075,5.673733333333334,4.468666666666667,2.004773333333333,0.50115,,0.835557,2.70251,1.2376,,,,2.4505,3.5626433333333334
2,68,1,1,7.332,2.0479,,3.8014,,1.7759,4.53475,10.010133333333334,,6.9861,7.956,0.82963,2.7383800000000003,,,,0.73501,2.6097,7.6455,6.1256,0.5221100000000001,1.16377,0.5221100000000001,0.069688,,3.3638,5.027566666666666,3.0163,5.023633333333334,,6.161099999999999,2.7665,2.1277,3.0326,,1.1889,,2.2963,3.7304,2.1395615,-0.063377,,,,
0,407,1,2,,,,1.4864,,1.4112,,,5.4993,,,4.086,,5.3311,,,,,,,,,,,,2.5811,,,,3.543,4.4725,,4.6967,,,,,,,,,,,,
0,55,2,1,1.9292500000000001,,,,,,,,2.2914033333333337,,,1.573,,,,,1.5376,2.8994,4.8944,3.4581,,,,,6.6363,5.648325,,3.51595,,,5.14208,3.8623,5.1405,3.6929,0.75268,4.3225999999999996,2.4367,4.7175,3.57945,1.27943,4.0886,0.74785,0.6572466666666666,2.7825,
3,91,2,1,5.57055,4.369233333333334,4.9282,4.2883,,3.1205,,2.1442,3.1516,3.3244666666666665,1.305725,4.2984,3.8103,5.6009,,,,7.2374,,,,1.7549,0.42521,,1.89195,1.1461,5.985466666666667,,4.3319,4.63706,6.6223,4.5557,4.58955,,-0.12391133333333332,-0.45608,-0.1945,0.9250325,-0.28636,,,,,,
0,215,1,1,,,,1.5109,,,-0.06022,,,1.805475,1.242,2.1936,2.2832,2.3981500000000002,,,,,0.4073699999999999,-0.12334,1.3239,,,,0.8609300000000001,2.2006,2.7535,6.9326,5.7169,2.42386,2.41334,,,5.3872,,,6.0909,,,,,,,,
0,250,1,1,,,2.9282013333333334,,4.6126,,,4.859166666666667,,5.5743,5.024050000000001,,6.9525,,,,,,,,0.3873,0.72048,,,,3.0822000000000003,5.0241,2.4015,4.6696800000000005,3.410306666666667,3.1453333333333333,5.03415,5.1074,,,,,,,,3.9942,,1.0789,0.8416399999999999,
2,244,2,1,,7.3812,,,-0.089794,0.26396,4.101,5.091233333333333,5.754175,6.3903,4.583333333333333,3.5790666666666664,3.8045,3.2266,,,,,,3.32815,2.0247,0.040853,,1.3152,1.2026,4.7743,5.12505,2.156686666666667,3.9965,4.41655,3.5422,3.2259333333333333,5.118,,,1.275,,,2.109115,,,,,6.7983,7.4214
0,5,2,1,9.6315,11.0985,9.0069,,,,,,6.53765,9.1957,,3.8755,,,,,,,,,,0.05751966666666664,,0.6986899999999999,,1.5155333333333332,5.879233333333333,6.104,2.01836,7.0412,4.9918,7.0274,2.03705,3.6867,0.2308,,-0.455,,-0.58158,,,,,,
0,885,1,1,5.9594,5.506,,,,,,,,,,,,,,,,,,,2.3168,,1.1375,1.7403,,4.0778,,,,,,,,4.1512,,0.95932,2.039,,,,,,,,
0,99,2,1,1.5799,5.5361,3.83495,2.7002333333333333,0.58241,1.2168,1.651,1.681306,2.3122333333333334,2.7074249999999997,,2.3336,3.1450333333333336,,,,,-0.40571,,-0.271895,-0.24944499999999997,0.25677999999999995,-0.26348,,0.36158,1.3862,3.7451033333333332,3.0596975,4.043782,1.467575,8.0007,8.0438,5.5211,,2.6073,,1.423605,1.03155,0.9023933333333334,0.9386,0.8294299999999999,,,,
1,1034,2,1,7.847433333333334,1.3106,7.5037,6.1768,,5.1819,,8.3352,3.581,6.3644,,5.336766666666667,5.5599,4.26945,,5.4924,,6.0458,,,,,,,,3.8888,,5.6382,4.0859,3.1180499999999998,,6.274,3.1788,,,,,-0.42393000000000003,1.3187,,,,1.4969,,
2,119,1,1,5.0838,5.9623333333333335,4.6997,2.205035,3.44245,4.5018,,,4.6485,4.4133,4.2061,6.2627,0.66028,,,,0.59509,,1.8022449999999999,1.0549,,1.0607,-0.27797999999999995,,2.231785,,6.556,4.7734,6.2596,5.4389,3.750173333333333,7.4161,0.8535200000000001,,-0.0474889999999999,0.99088,,1.7918,,-0.004415000000000002,,,-0.052145,-0.49334,-0.0684429999999999
3,62,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6068,4.3102,,,,,,,,,,,,,
0,406,1,1,6.082933333333333,4.345,4.68675,3.5161499999999997,0.906974,2.5389466666666665,2.6842666666666672,4.983866666666667,4.98425,6.11965,3.952125,6.1821,1.0636,,,,,,,3.2096,0.530005,,,0.49367,2.69715,3.135205,,5.4827,4.7787,,5.5016,,,4.1838,4.0687,,7.1654,2.287645,1.2499,,7.7876,,,,
2,1001,1,1,-0.16145,4.210850000000001,,3.8667,2.3129,5.7312,3.4064,6.3842,,7.198550000000001,6.083933333333333,,8.441600000000001,9.012,,,,6.2702,,,,,,,2.954,4.2665999999999995,6.335100000000001,7.7256,,5.40085,3.7054,4.68885,4.11841,,0.18865,,,,,,,,,1.176,2.7239
0,190,1,1,,,,1.31938,,,,,,,,2.6783,,,,,,,,,,,,0.31510499999999997,,,5.2715,,4.38595,,,4.0386,,,,,,,,,,,,,
1,144,1,1,5.7219,2.1171,,,,,,,8.0553,,5.03315,,2.4518,1.718,,,,,,,,-0.12623,,,,,,,7.2024,5.3807,2.2813,4.166266666666666,,,,,,1.0679,2.1364,,,,,,
