fov,cellID,rep,dbscan_ldp_nbr_allele,chr1-g377,chr1-g378,chr1-g379,chr1-g380,chr1-g381,chr1-g382,chr1-g383,chr1-g384,chr1-g385,chr1-g386,chr1-g387,chr1-g388,chr1-g389,chr1-g390,chr1-g391,chr1-g392,chr1-g393,chr1-g394,chr1-g395,chr1-g396,chr1-g397,chr1-g398,chr1-g399,chr1-g400,chr1-g401,chr1-g402,chr1-g403,chr1-g404,chr1-g405,chr1-g406,chr1-g407,chr1-g408,chr1-g409,chr1-g410,chr1-g411,chr1-g412,chr1-g413,chr1-g414,chr1-g415,chr1-g416,chr1-g417,chr1-g418,chr1-g419,chr1-g420,chr1-g421,chr1-g422,chr1-g423,chr1-g424,chr1-g428,chr1-g429,chr1-g430,chr1-g431,chr1-g432,chr1-g433,chr1-g434,chr1-g435,chr1-g436,chr1-g437,chr1-g438,chr1-g439,chr1-g440,chr1-g441,chr1-g442,chr1-g443,chr1-g444,chr1-g445,chr1-g446,chr1-g447,chr1-g448,chr1-g449,chr1-g450,chr1-g451,chr1-g452,chr1-g453,chr1-g454,chr1-g455,chr1-g456,chr1-g457
1,36,1,1,,,-0.59263,0.0183419999999999,,,,0.18347,-1.055,,-0.07798333333333334,,,,,,,,-0.33393333333333336,0.65409,,,-0.25412166666666663,-0.36971,,,,,,1.5458,1.1908,1.1949,1.68205,1.116455,0.3155699999999999,0.13943666666666663,-0.12201733333333332,,,,-0.46466,,,,-0.592635,,-0.24586,,,0.27429,,,0.20411225,0.14219,,,,0.64583,0.3816199999999999,,0.076137,,,-0.22109499999999993,,,,0.076137,-0.75776,,,,-0.12202,,,,,
0,190,1,2,,,,-0.7682399999999999,,-0.8372700000000001,-0.4403399999999999,,-0.5266299999999999,-0.66038,,-0.59566,-0.40583,-0.3972,-0.50074,-0.40583,1.3027,,,0.621,,,-0.81138,,,,,,,,,,,,,,,,,,0.81083,0.83672,,,,,,,,0.06300466666666667,1.4839,1.8981,2.2605,-0.09518999999999996,,0.45705,,,,,,,,,,,,,,,,,0.21545,,,,,
2,569,2,2,-0.38118,,0.56818,,,-0.052554,-0.29598,-0.0038689999999999,,0.562095,,0.4343,,,,,,,0.014386000000000003,,,,,-0.052554,0.44647,,,,0.19696,0.96679,1.292385,1.8705,0.8694124999999999,0.835936,1.5905500000000001,0.9211400000000001,,,,0.28824,,,,,,,,,,,,,-0.064726,-0.022126499999999997,0.48298,-0.24729500000000001,,,,,,0.31257,1.3471,,1.481,1.6960666666666668,3.0916666666666663,3.0998,3.185,,1.5297,,,,,,,
3,741,2,2,,,,-0.5934533333333333,-0.47104500000000005,-0.6808933333333332,-0.54974,-0.7595833333333334,,-0.40546666666666664,-0.13005,,,-0.37924,-0.7727,-0.54974,,-0.90385,-0.926805,-0.98912,-0.61532,-0.4317,,,1.1946,,0.26997000000000004,-0.93008,-0.8470166666666668,-0.4776,-0.2349699999999999,,-0.2349699999999999,,,,,,,,,-0.57597,,,,,,-0.79893,,,,-0.48416,-0.5803433333333333,-0.24153000000000002,-0.30055,,,-0.54974,-0.75958,-0.37924,-0.37924,-1.0481,-1.0612,-0.61532,-0.6808900000000001,-0.72024,,,-1.054665,,-0.9432,,,,,,-0.10381799999999997,
2,210,2,2,,-0.079033,-0.079033,-0.1796965,,0.1223,-0.0902179999999999,,-0.10699399999999995,-0.28036,0.044003,-0.17969499999999997,,,,-0.47051,-0.49288,,,,,,,,,,,1.0171,0.357184,,,,,,1.34707,,,,,,,,,,,,,,,,,,-0.25799,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,2,,,-0.21513,-0.85782,,,-0.53647,-0.98772,,-0.3928925,-0.14675,,-0.8851600000000001,-0.30401,0.33526,-0.051035,,,,-0.39973,-0.77577,-0.7689349999999999,-0.809955,0.27259,-0.48178,-0.11940599999999997,-0.55698,,1.25485,-0.01685,1.5762,0.3181866666666667,0.5369533333333333,-0.08179999999999998,0.27031,0.441235,-0.65497,,-0.2288,,-0.6982833333333334,-0.433912,-0.76893,-0.49089,1.6446,-0.0008966666666666937,-0.39973,-0.96721,,-0.77577,,,0.5711325,-0.010010000000000019,-0.34845000000000004,-0.832175,-0.74842,0.26347,,,0.26347,-0.95353,,,0.085707,,,,-0.23564,-0.53647,,,,,,-0.7074,0.020755000000000023,1.343725
0,55,2,2,,,,,,,,-0.040996,,-0.92265,-0.709535,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51977,,,,0.2451,,-0.5197733333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,831,1,1,,1.36877,,1.9307,,,2.1759,,1.7774,,,2.1044,,,,,,,,,,,,,,,,,,0.531,,,,0.4288399999999999,,0.81707,,,,,,0.39819,,,,,,,,,,,,,,,,,,,,,,,,,-0.21481,,,,,,,,,,,
2,181,2,2,,,,2.2837,2.22625,3.3473,,,0.19491,0.42806066666666664,0.2524,0.405701,0.1086709999999999,,0.0032719999999999,,,-0.46623,,-0.2075199999999999,-0.6099600000000001,,,,,,,,1.2935666666666668,1.64655,1.0029633333333334,1.109975,0.79855,,,0.3961199999999999,0.39611999999999997,-0.044636,-0.05900999999999999,,,,-0.31292,0.079926,,0.836865,0.638849,0.83209,,,0.463195,,0.5111,1.1531,1.6705,-0.035055,0.64525,,-0.10213,0.3066933333333333,0.6612166666666667,0.7458400000000001,0.17574,0.97102,,0.9742033333333332,1.1339,,-0.020684999999999995,0.57817,0.697955,,,,,,,
0,646,2,2,,,,,,,,,,,,,,,,,,,,,0.11075,0.11075,,0.51049,0.302626,-0.35294,,0.0148169999999999,-0.82463,-0.21703,-0.39691,,,,,,-0.235685,,-0.36094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,353,1,1,,0.56466,0.0016489999999999,-0.71294,-0.71294,-0.48918,-0.61911,-0.03443999999999997,-0.50362,,,-0.54693,-0.47474666666666665,,,,-0.005569,,,,,,,,-0.009180000000000021,-0.47475,,,-0.04165999999999997,,0.78842,,0.095484,,,,,,,,,,-0.46031,,,-0.88618,,,,,,,,-0.3827155,,-0.66242,,0.48165499999999994,,,,0.17849000000000007,,,0.9159433333333333,-0.39535,1.5535,0.081048,0.98331,0.80286,0.2831599999999999,-0.020005,,-0.005569,0.29759,,,0.29759
2,792,2,2,,,,-0.1140099999999999,,,,-0.41702,,-0.17172,-0.590175,-0.2438699999999999,0.015859,,,,,,,,,,0.56418,,1.0548000000000002,0.56418,,,,,,,-0.48917,,,,,0.52089,,1.040325,,,,,0.1168599999999999,,,,-0.97977,,,0.10244,-0.97977,,,,,-0.59018,,-0.34488,,-0.73447,,,,,,,,,-0.53246,,,,,,-0.7056100000000001,
2,578,2,1,0.11052,,,0.096024,,-0.034478,-0.357104,0.665155,0.505655,0.3280265,0.023523,0.9287299999999999,0.949462857142857,,,-0.94799,,-0.51298,,,,-0.5999866666666667,0.61803,-0.2036456666666667,0.0815215,-0.35348,-0.12147999999999995,-0.73774,,,0.18591600000000003,0.37153,-0.3438133333333333,0.69053,0.53103,,-0.83199,,,0.4730265,-0.58548,-0.6072375,-0.7304866666666666,-0.454985,-0.056228499999999994,-0.27372899999999994,,-0.099729,,,-0.45498,,,,,,,-0.26648000000000005,0.51653,,-0.32448,0.24101,,,-0.0924779999999999,,,,,,,-0.708735,,,,,-0.26648,
2,603,2,1,,,,-0.84386,-0.78988,,-0.061122500000000045,,-0.007136666666666643,-0.560455,-0.27367575,-0.2590533333333333,-0.5807,,-0.62119,0.40447,0.22228,-0.68642,-0.47048666666666666,0.37073,,2.4086,3.1508,0.620425,3.2858,-0.810125,,,,,-0.18260500000000002,-0.7763800000000001,-0.047630000000000006,,,-1.01931,,,,,-1.1003,,,,,,,-0.1151,-0.452495,,,,,,-0.60769,,,-1.2487,,,-0.99231,,-0.76964,,,,,,-0.74939,-0.6774166666666667,-0.82362,-0.80338,,,-0.81687,,,
2,80,2,1,,,1.712195,3.871,3.92,,,2.0212,3.35865,,,3.638666666666667,3.7617666666666665,,3.0233,,,1.73485,1.8855,,1.3882,3.0384,,1.9570999999999998,1.9382666666666666,1.8742,,2.3904,1.0265,1.9006,,,1.4922,1.4485,1.919435,1.9659333333333333,1.4384666666666668,1.84035,,0.2504,,1.0315433333333333,0.49153,,,,0.8682799999999999,,,,,,-0.32226,,,,,,,-0.7517699999999999,,,,,,-0.555855,-0.53325,-0.53325,,,,-0.15460874999999996,,,,-0.26952,0.20519,
1,843,2,1,,-0.6279349999999999,0.072527,-0.44751,,-0.6491600000000001,-0.30954333333333334,-0.56426,-0.70223,,-0.007070000000000021,-0.47935,,-0.08667,,,0.81545,,,,1.3743999999999998,,,,,0.16804,0.5793105000000001,0.093752,1.31425,1.9404,2.3862,1.5053,0.17865450000000002,2.1703666666666668,1.9404,,,0.1362,-0.21403,,0.534195,0.18927,0.061913,,,0.1786599999999999,,,,,,,-0.458125,-0.44751,,,,,0.42276,-0.23525,,,0.7942100000000001,0.8791200000000001,,,,-0.53242,,-0.32016,,-0.18219,0.640325,,,,,
2,244,2,1,,1.202,,1.236875,,,0.020751,0.33754,0.5326233333333333,0.257,0.5075556666666666,0.41163799999999995,0.57558,0.8905799999999999,0.8905799999999999,0.87984,,,1.29325,,1.9,1.6780966666666668,1.36305,2.31885,,1.9752,1.271805,,1.0981933333333334,2.4906,0.67581,,,,1.0766966666666666,0.38586,,-0.258455,1.3738,,-0.47323,,-0.95647,0.77246,,,0.54694,,,-0.10811,-0.87056,0.75098,,,-0.6987399999999999,,,,,,,-0.543025,,0.17109,1.2664,1.159,1.1054,1.0946,,-0.30141,0.34291,,-0.1618099999999999,-0.26919,,,,1.0946
2,792,2,1,,0.27559,,-0.30159,0.1745799999999999,-0.17172,,,0.5497584999999999,-1.2972,,-0.17172,-0.9557166666666667,,-0.62625,,-1.0231,-0.8354799999999999,-0.33045,-1.0086,-0.53246,-0.87877,-0.87877,-1.2395,-1.4704,-1.3694,-1.2395,,-1.2106,-0.6190399999999999,,-1.1096,,-1.0086,,,-1.3261,,,,,,,-0.76333,-0.92205,,,,,,,,,,,,,-0.4843633333333333,,-0.6226425,,-0.63347,,-0.86434,,-0.62625,,,-0.79219,,,,,,-0.18615,0.5786100000000001,,
2,555,1,2,,,,,,0.33271,0.33271,,0.344183,,-0.19477,,,,,,-0.0801,-0.332375,-0.40118,-0.76812,,,,,,1.7661,,1.055115,1.5712,1.6744,2.19035,1.8234325,1.2157,1.4909,-0.43558,0.61939,,-0.32091,-0.53878,-0.51585,,,,,0.12057499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,2,1,-0.34874499999999997,,-0.04685000000000003,-0.61756,,-0.20675666666666667,-0.5817133333333333,-0.25775950000000003,-0.31703999999999993,-0.1709099999999999,-0.25776499999999997,-0.3384075,0.03793,-0.84088,-0.82847,-0.45213,-0.15602699999999997,-0.37769366666666665,-0.7499,-0.2701699999999999,-0.483564,-0.4066415,-0.17367183333333336,,0.0772195,-0.5058966666666667,0.42874499999999993,-0.01927666666666668,0.1992175,-0.07993333333333334,0.31708000000000003,-0.8326033333333335,-0.45626999999999995,,,-0.63825,-0.16884500000000002,,-0.534845,0.284,-0.31566,-0.34461,0.6727425,-0.11853066666666667,-0.48522,,,0.04000000000000001,0.63139,,3.1237666666666666,-0.055119,-0.20951299999999998,1.644585,0.13512,,0.058620000000000005,,-0.45213,0.12958999999999998,1.2186,,0.437015,,0.44942,0.15166,-0.10474499999999999,0.20129,-0.74576,0.3694773333333334,,0.42874,0.02759066666666665,1.0118349999999998,-0.5431199999999999,0.01932233333333333,-0.5513899999999999,
0,310,1,1,0.35293,,1.08518,0.3394333333333333,1.7027,0.34618,0.34618,,,,,,,,,,,,2.3303,,,,0.76459,,,,,,,1.2977,,1.0278,,1.2066,,,,,,,,,,,,,,,2.6407,,,0.57563,0.4879,,,,,,,,,,,-0.058737,-0.11947,,,,,,0.055989,,,-0.537897,,,,0.055989
2,648,2,1,-0.43922,-0.59582,,-0.021615,,,0.39598999999999995,-0.28262,,-0.276095,,,,-0.2173699999999999,-0.26957,,,,,,0.5656399999999999,-0.2173675,0.1480375,0.38294,0.4351399999999999,0.16543833333333333,,0.8136,,-0.302195,-0.13907,,,,,,,,-0.56537,-0.2304199999999999,,,,0.148038,0.05668333333333333,0.16109,,,,,-0.12602,,,-0.28262,,,0.5395449999999999,0.33073874999999997,,,,,,,,-0.32177,-0.21737,,,-0.38702,,,,,,0.017535,0.18719,
2,199,2,1,-0.2940833333333333,-0.100405,-0.3223576666666666,-0.17251,-0.08768,-0.5485566666666667,0.37037,-0.61359,-0.549975,-0.289564,-0.274296,-0.2149155,-0.403226,-0.52877,-0.32519,-0.67297,0.4043,-0.8511,,-0.50332,-0.5923849999999999,-0.5118,-0.5245249999999999,-0.4948399999999999,-0.3888049999999999,-0.079199,-0.52877,-0.18099,,0.3534,-0.31671,-0.19370900000000002,-0.2912565,-0.41001,,,,,,,,-0.30398499999999995,-0.14706000000000002,0.073484,-0.28278,-0.0007374999999999743,-0.5174566666666667,-0.18946933333333335,,,,0.036739999999999995,0.34916,0.073484,0.38309,,,,0.13710249999999993,-0.14706,-0.8002,-0.13221149999999998,,0.31098,-0.54997,-0.56835,-0.13009,-0.213502,0.014107,,0.7181366666666666,1.2949,-0.656005,,1.0829,-0.52028,,-0.316705
0,275,1,1,,1.6522,,0.7420899999999999,,,1.0789,1.90665,2.2435,0.8543733333333332,0.7922600000000001,,0.5486,0.84959,0.38376,2.79535,1.6271499999999999,0.054102,2.25662,1.0956533333333334,1.2008,,0.5916,,0.5056,0.3407633333333333,2.0536,,1.0478766666666666,,1.0359,,0.853195,,1.2843533333333335,3.4152,0.674015,,,-0.04623,,,,,,,,,,,,,,,,,,,,,,0.76359,,,,,,,,,,,,,,,,
2,260,1,1,-0.31645,0.189295,0.0767804,-0.10051,0.035867,0.1892935,-0.10808999999999996,-0.018685800000000002,-0.3482706,-0.057895,,-0.13460699999999998,-0.30508399999999997,,0.35409,,0.05860000000000001,-0.8392299999999999,-0.285195,-0.44600999999999996,,0.50183,-0.6119399999999999,-0.4263071666666667,-0.71422,,-0.8278700000000001,0.013137,-0.4982899999999999,-0.45851,-0.020943333333333387,-0.10051,-0.5323833333333333,,-0.19900766666666667,-0.4982899999999999,,-0.753995,-0.5399566666666666,-0.4869199999999999,-0.35054,-0.24256999999999995,-0.5494300000000001,-0.8392299999999999,-0.54943,,,-0.42441,0.22907,-0.2287747142857143,-0.43577999999999995,0.17603400000000002,0.05860000000000001,,-0.0607355,0.8086800000000001,0.21202,-0.691492,-0.90742,,-0.05505249999999999,0.17604333333333333,-0.30887333333333333,-0.20848,-1.0438,,-0.5210199999999999,-0.4187289999999999,-0.6498166666666666,,-0.498285,-0.25961999999999996,-0.00959500000000002,-0.70285,,0.15709233333333325,0.2631699999999999,-0.214162
1,208,2,1,0.7767966666666667,-0.2912599999999999,0.25295,0.247859,0.7651600000000001,0.603635,,,0.2704126666666667,0.5119625000000001,0.075427,0.18455999999999995,0.24131,,1.2104,-0.35238,0.31116,1.0445,0.34608,0.350445,,,,,-0.3785699999999999,0.3024266666666667,0.58181,-0.02933999999999995,-0.00315,0.19766,-0.14866000000000001,-0.020614999999999994,-0.35019500000000003,,0.14091000000000006,0.19329000000000002,,,,1.0759640000000001,1.7255,1.2803,,,,0.25003999999999993,,,,,0.5032300000000001,,,,,,,1.3414,-0.10792,0.67785,1.2366,,0.88739,,0.42466,-0.064265,-0.038073,,,0.2675,,-0.12101349999999998,-0.40476,,,,,
0,250,1,2,,-0.019795,0.44732,,0.3919,0.3919,0.29689,,-0.17022,,-0.43149,,,,,,,-0.88277,,-0.24148,-0.59775,,,,,-0.46316,,0.22036,,,-0.05146199999999995,,,-0.3523199999999999,,0.6531600000000001,,0.011874,-0.12272,,0.24147,,,,,,,,,-0.25731,-0.22564,,,-0.522535,-0.4394,,,,,,,-0.40378,0.019791,-0.8035899999999999,-0.36023499999999997,,-0.3523199999999999,,-0.459195,,,,-0.85901,,,,,
