fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g15,chr7-g16,chr7-g17,chr7-g18,chr7-g19,chr7-g20,chr7-g21,chr7-g22,chr7-g23,chr7-g24,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61
1,468,1,1,,1.0003,,0.5618,1.9843,0.92329,1.0438,0.77937,0.23044,0.23044,0.5735414999999999,0.92664,,2.3859575,2.4707766666666666,2.5466,,,1.8560333333333334,1.8103,,1.1409,,,,3.5943,,,,,,0.730835,0.8329200000000001,0.73585,
2,210,2,1,,2.3084000000000002,2.490475,1.8698666666666668,2.25695,2.850375,2.51495,4.16345,,2.3279,1.9095,7.5299,5.0697,4.35255,6.2787,5.0496,,1.0746,1.5293,4.0337,0.6602399999999999,1.143,,4.782,0.6421399999999999,6.8339,2.9922075,0.2317699999999999,4.8283,3.533835,8.4291,6.642799999999999,3.1841266666666663,0.5395449999999999,6.241475
2,198,2,1,,2.4396,1.46085,1.4151500000000001,1.9443000000000001,,,3.0903,2.83025,,,2.6905,,,,2.5742000000000003,1.828,,2.0737,1.4047,,1.1747,,,,,,,,,,,1.514405,1.9901,
1,843,2,1,,,0.55425,1.2332,,,2.6874,,,,2.9582,7.2558,,,,-0.16791549999999997,,-0.38378,2.0182,1.1704275000000002,0.11269999999999997,1.1763,,,,,,,,,,,,6.2442,
2,80,2,1,-0.30522,-0.31617,,,0.34233,0.26564750000000004,-0.10526333333333326,,,,,0.8384625,,1.6683,1.5145333333333333,0.45916666666666667,0.1361405,0.5974825,,,,1.1851,,,,,,,,,,3.091,2.1185,4.9351,1.4583
0,116,1,1,,,5.6352,1.2813,,,,2.039,-0.58716,,,1.3502,,2.7249,,-0.60151,0.5694899999999999,,,,,1.3272,,,4.69382,,,6.723,7.9858,4.978,,,,,
2,117,1,1,1.673245,1.97485,1.62848075,,1.2273333333333334,0.8939,0.66099,0.95064,-0.28559,0.130965,,0.7445999999999999,,,0.98647,,4.56975,1.0492,,0.8799666666666667,0.8843479999999999,1.4553,,5.4924,4.977625999999999,,,2.9214633333333335,4.01585,4.1368,,,,0.40718,1.1776
2,555,1,1,3.2678,2.8778,0.83998,3.4457,4.9187,,,,4.727266666666666,4.6846,,4.625333333333333,,,4.1354,,1.0678,3.2304,,1.5234,,1.5234,,,,,,,,,,,8.1735,,
2,30,1,1,0.675235,0.7898266666666666,0.5336050000000001,,0.497825,1.6406,,0.04130600000000001,0.17469499999999996,1.201895,,0.111435,3.58085,2.6197,1.0245333333333333,1.5140500000000001,2.11967,-0.1567065,2.46155,1.769835,1.429706666666667,1.7561,,,1.1593,2.8892,0.15544,0.33421,0.13069,0.17194,0.17469,,,0.10319,0.79075
2,591,2,1,2.1225233333333335,3.17815,,1.6122,0.92456,,2.08885,3.892,2.8319,4.668675,2.8118,4.0139000000000005,4.1157,3.5101333333333335,3.289,,,3.7121,1.4598266666666666,1.8758,2.3534,1.9312,,,,-0.46723,5.5961,5.6233,,,,4.036,,0.14941,0.36533
1,36,1,1,,2.5553,,0.619948,,,,,,-0.41612,,6.0972,,2.22783,,,,4.2096,3.1564,3.00245,3.909,1.9713,,1.612,2.5577,1.3017,1.3799000000000001,,1.1209,1.375,,4.041,,,2.9315666666666664
0,613,1,1,,,-0.58044,-0.004208,-0.21458,-0.2969,,-0.2283,0.38681,2.7763566666666666,1.469535,2.7489,3.0416,,,2.8564,-0.1414099999999999,,,0.31363,2.3167,1.9966,,,,,,1.5141,,,9.8946,,,,
1,144,1,1,,,2.0624,,,,0.8972700000000001,1.1209600000000002,,,1.38485,1.3328366666666667,0.94233,,,0.8135899999999999,2.19115,1.08288,1.3318,,2.33915,2.4905,,,,,,,2.5355,,,,,5.7219,2.1171
2,648,2,1,,0.721305,,1.4461,0.9168733333333333,1.6771,,-0.36598,1.5423,,,,0.9851,1.11455,0.17889,,,0.8223799999999999,0.9246949999999999,0.8075899999999999,,3.4013,,,1.5768499999999999,,1.673,,,,1.3993,2.2967333333333335,2.9353,2.87365,2.2535825
1,1034,2,1,,0.579,1.0892,1.0406,,1.3133,1.2782,,,6.4292,,,5.28725,,6.36035,,,,,4.5016,5.8731,3.9482,,6.91515,,2.6362,8.2407,7.5712,,7.096,,8.7428,,7.847433333333334,1.3106
0,158,2,1,,,2.1376,,,,6.0644,,,-0.0706519999999999,2.188098,5.3106,2.9951666666666665,2.5974500000000003,2.1355,2.0782,2.79409,4.7391,2.7726,1.1441,2.80435,4.27,,,7.6417,5.0361,7.1993,,,,,4.19213,,,
1,189,2,1,2.5176,1.685065,1.7878999999999998,2.3298,1.5529,3.9594,0.5685466666666666,1.46478,1.12574,,2.2073,,,1.5996,,,3.9170000000000003,3.0552,4.5937,3.1132,,4.8395,,,,,,,5.4311,,8.7757,,7.5958,3.97395,7.3073
3,823,2,1,,,,,,,1.6609,,0.353,2.1946333333333334,4.302166666666667,4.5074,,,7.915033333333334,,,,0.7225,5.4263,2.0851333333333333,7.19755,,,,,4.611,,,,,,,1.1213,4.104666666666666
