fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g68,chr9-g69,chr9-g70,chr9-g71,chr9-g72,chr9-g73,chr9-g74,chr9-g75,chr9-g76,chr9-g77,chr9-g78,chr9-g79,chr9-g80,chr9-g81,chr9-g82,chr9-g83,chr9-g84,chr9-g85,chr9-g86,chr9-g87,chr9-g88,chr9-g89,chr9-g90,chr9-g91,chr9-g92,chr9-g93,chr9-g94,chr9-g95,chr9-g96,chr9-g97,chr9-g98,chr9-g99,chr9-g100,chr9-g101,chr9-g102,chr9-g103,chr9-g104,chr9-g105,chr9-g106,chr9-g107,chr9-g108,chr9-g109,chr9-g110,chr9-g111,chr9-g112,chr9-g113,chr9-g114,chr9-g115,chr9-g116,chr9-g117,chr9-g118,chr9-g119,chr9-g120,chr9-g121,chr9-g122,chr9-g123,chr9-g124,chr9-g125,chr9-g126,chr9-g127,chr9-g128
2,260,1,2,,,-0.1323,,,,,,0.19657,,0.075905,,,0.32078,0.17764,0.45209,0.23915,,0.26518,0.075905,0.5301600000000001,,,,0.419555,,-0.19854,,-0.19854,,-0.23167,-0.36179000000000006,0.5183300000000001,0.10783999999999999,0.029770000000000005,0.16580999999999999,,,,,,,,,,-0.1857666,-0.087344,,,-0.16305,,,-0.15122,,,,,,,,
1,144,1,1,0.575428,,,-0.039325,0.7958700000000001,,,,,,,,,,,,-0.22278,-0.016796,-0.20239666666666667,-0.15519,-0.087604,0.24069,,,-0.0908205,,,,,,-0.07151049999999999,,,,,0.054014999999999994,-0.0023124999999999986,,,,,0.021827,,-0.27428,,,,,,,,,,0.30506,,,,1.090365,-0.02967,,
2,584,2,2,,0.246785,,,,0.19713,0.2455099999999999,,,1.1087,0.69877,1.5926,1.5951,,1.2259,,,,,,,,0.6453,,-0.070243,0.12328,-0.1262599999999999,,,,,,,,,,,,,-0.26122,-0.2816,,,,,,0.4976075,,0.092727,,0.1614799999999999,,,,,,,1.3354,,1.5696,1.3226
3,718,2,1,-0.28243,-0.50159,-0.46824,,,,,-0.577825,-0.4206,-0.48333000000000004,-0.21572,-0.20858,,,,,-0.14822866666666668,-0.17523,0.035605,-0.34198,0.0630005,0.07610349999999999,,-0.11328449999999995,-0.041819,-0.10614,-0.1514,-0.18952000000000002,-0.0048939999999999505,-0.1371099999999999,0.470368,-0.28481,0.23214,,0.1737745,0.053471,,,-0.03229,0.23214,0.49895,,,,,,0.4632199999999999,,-0.29434,,-0.2776649999999999,0.11461733333333333,0.15829,-0.21572,-0.21572,,,,-0.50398,,
1,233,1,1,0.8382100000000001,-0.064307,0.006828,0.33286,0.38918,0.83081,0.60258,0.60258,,0.28248,0.63518,0.500819,0.37287499999999996,0.3743599999999999,,,,,-0.03269049999999999,-0.65413,,,1.1687,0.33879,0.33879,0.53589,0.0572149999999999,0.2617265,0.024612,-0.09691,0.036467,-0.33847499999999997,0.054251,,,-0.09690850000000001,0.051287,-0.079127,-0.0317029999999999,,-0.0030533333333333246,,,-0.10284,0.11946,0.17577249999999994,,0.19059500000000004,-0.1443299999999999,,,0.57492,0.0009,0.21627966666666668,0.18317999999999995,,,0.33583,,,0.5047699999999999
2,230,2,1,0.009163333333333329,-0.089154,,,0.048961000000000005,-0.37519,0.04094149999999995,0.22984999999999994,-0.19341499999999998,,,,,,0.19866,0.3317333333333333,0.3180699999999999,-0.077572,0.484695,0.26282000000000005,-0.12034499999999998,0.29401,0.22004966666666667,0.50698,-0.58549,0.036486,,,-0.15123666666666666,-0.088265,-0.0802455,0.0035199999999999954,0.39291499999999996,0.441925,-0.09895500000000002,,-0.29856,-0.41975,-0.34133,0.09797000000000008,,,-0.3270699999999999,,0.5836100000000001,0.28421,,0.23876,0.5925199999999999,0.5212325,0.30203,0.531212,0.37866,0.6721199999999999,0.62638,0.33113466666666663,0.74089,0.4356899999999999,0.91687,,0.18856399999999998
3,353,2,2,,,,-0.001773,,0.0793529999999999,-0.10115,,,,,,0.47484,0.20104,0.82165,0.69794,,,0.41197,,0.97376,,0.73039,0.046902,,-0.064646,0.11383,0.13952033333333336,,,-0.0524769999999999,0.11789000000000004,0.0894929999999999,,,,,,,,,-0.095068,-0.095068,,,,-0.2897699999999999,-0.29991,,-0.1336,,,,,-0.10724,-0.0818835,,,,,
0,55,2,1,-0.38448,,-0.11587,,,0.088398,0.2798,0.14469,,,-0.049927,0.25728,-0.052337999999999996,0.020844,0.0795485,0.36075999999999997,0.020844,0.077141,-0.13357,0.2798,0.15595,0.094833,0.1197635,,0.009585000000000048,0.0200395,0.45351,0.33127,0.20742,,0.017627,-0.07566199999999994,-0.086921,0.049797,,,-0.0241919999999999,,,-0.1014,-0.07163950000000005,-0.31773,-0.003283,,,0.38351999999999997,0.036930500000000005,-0.26063,0.36826499999999995,0.65376,1.1097,0.52589,0.206615,-0.07888,,,0.88939,0.63285,0.2026,-0.30405499999999996,0.19777
3,27,2,1,,-0.7683800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13347,,,,,,,,,,,,,-0.009542,,,,0.60629,,0.3377699999999999,0.4107399999999999,0.21907999999999997,-0.29848,0.04202,0.25605,,-0.40647500000000003,-0.062079999999999996
2,555,1,1,0.078541,,0.12379074999999999,,,,,-0.08997100000000001,,-0.14302,-0.24913,-0.48317,-0.275655,,-0.5565100000000001,-0.14927,-0.34899,-0.36615,-0.48629500000000003,-0.3762925,-0.42076,,-0.77651,0.025491,-0.12430000000000002,-0.18359,0.27982,0.0925835,0.3614813333333333,-0.22728,0.18880333333333332,0.33443,-0.334945,0.36563999999999997,0.45926,,0.20961,,,,0.22209,,,,-0.44573,,-0.29594,-0.17110999999999998,,-0.44573,,,-0.44573,,,,,0.580985,,1.3206,
2,121,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14284,,,,,,,,,,,,,,,0.5383,0.40648,-0.38445,-0.21308499999999994,,,,-0.31853999999999993,,,,,-1.2808,-1.0172,,,,
2,210,2,2,,,,-0.037787,,,,,,,,,,,,,,,-0.2661049999999999,,,-0.30935,,,,,,,,,,,,,,0.18148,,,-0.52862,,,,-0.46224,,,,,,,-0.202735,,,-0.1745799999999999,,,,,,,,
3,157,2,1,1.366875,0.670094,-0.39838,0.13646499999999998,0.10866666666666665,1.38064,2.04311,2.5154,0.18314999999999998,0.8156855000000002,1.2284,-0.51928,0.15151333333333333,,-0.013506249999999987,0.056125,0.493034,,1.0401,-0.4068,,,0.09284999999999999,0.3683099999999999,0.0018009999999999485,0.018630000000000035,0.056125,1.3431,0.7019295,0.08443699999999998,0.07857000000000001,0.15713,,-0.17649,-0.49173,,-0.45195,1.1717,,-0.18414,-0.1474099999999999,-0.31115,0.5968466666666666,-0.39073,-0.2514699999999999,-0.02574749999999995,1.8614266666666666,0.016336666666666666,-0.075483,-0.050998,1.0921859999999999,-0.11068,,,4.3916,1.80492,,1.6798,1.651875,0.7814800000000001,2.3023
2,244,2,1,,,,,,,,,-0.11391499999999999,-0.12295900000000004,,0.224765,,0.37049,,0.27803,,,,,,,,,,,,,,,0.2036599999999999,,,,,,,,,0.11522,-0.20838,-0.29481,-0.39732,0.22376000000000001,-0.024469999999999992,-0.017436,,-0.059645,,,,,-0.073714,,,0.12326,-0.17823,,,0.062963,0.18155
2,770,2,1,-0.158256,-0.17052,0.086988,-0.090813,0.24435,0.086988,0.084944,0.23209,,0.00524,,,,0.15647,,0.064507,-0.03631566666666667,0.025677,0.077792,0.10469833333333334,0.113555,-0.015707499999999975,0.031807749999999975,-0.40758,,,0.19735,0.280115,0.45076,0.43646,0.3996699999999999,-0.08917839999999999,0.15647,-0.049939,0.10538,,-0.26453,-0.10307,-0.29518,,,-0.193,,-0.23387,,,0.04917999999999999,,-0.2073,,,,,0.26683,-0.0335895,0.21574,,0.24231,0.137057,,0.28522
1,718,1,2,,,-0.1670299999999999,0.40526,,,,,-0.18011,,0.2074085,0.1371,,-0.065652,-0.134327,-0.088544,-0.065652,0.14364,,,,0.058614999999999993,,-0.18665,,0.21885849999999998,,,,,,0.3562,-0.28149,0.40199,0.43142,0.15127,,,,-0.3174599999999999,,,,,,,,,0.24175,,,,-0.03295,,-0.14414,,,,,,0.43796
1,53,1,2,,,,0.460005,,,,,,-0.01670000000000001,-0.38927,,0.035368500000000046,0.4276,,-0.010914999999999994,,,0.04732400000000003,,,,0.38826,0.34892,,0.67752,0.79323,,,,-0.16943,,-0.12199499999999999,,-0.023642,,,,,,,,,,,,0.48545499999999997,,,,,,,,0.76546,0.59422,0.066607,,,,0.18925399999999998
2,80,2,1,-0.035245,-0.37803,-0.28653,,0.29851,-0.25947,0.29851,-0.098392,,,,,,,,0.11326825000000003,0.065266,0.65996,0.92093,1.158,0.08974999999999995,0.7916333333333334,,,,,,,,-0.17184,,,0.63807,,,,,-0.45406,,,-0.39865,,-0.20148,-0.202125,0.035628,1.4037316666666666,,,-0.17313,,,,,-0.27623,,,,,,-0.38705,-0.04727566666666663
1,98,1,4,,,,,,,,,,,0.28141,,,,,,,,,,,,,,,0.127179,,,0.2526199999999999,0.33076,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37395,,,0.21766
2,636,2,1,,,-0.0151919999999999,-0.03382500000000001,,,,-0.30867,-0.36923,-0.092055,-0.043142,0.030225000000000002,0.15600399999999995,0.29070666666666667,0.16416,-0.29469,0.18666983333333334,,0.51703,0.52518,0.11602000000000003,0.16182499999999994,-0.20619,0.59816,0.18589466666666665,0.5508,0.44133,0.53683,0.010429,0.024400000000000005,0.34583,0.3275881666666667,-0.019851000000000008,0.19035849999999999,0.107091,0.098938,0.5795266666666666,,,,,,,,,0.3644699999999999,0.572345,,,,,,0.29459,,,,,1.7713,,,
1,84,1,1,-0.2045,,-0.04511,,,0.1984,,-0.065034,,,,-0.2244199999999999,-0.30412,-0.30744,,0.1984,,,,,0.1984,0.119815,0.087992,,-0.14104133333333332,-0.065034,,0.36001,,0.5895,0.14748633333333333,0.081074,0.012447,0.44413199999999997,0.5503899999999999,0.06115,,,-0.3926699999999999,-0.57863,,,,0.4397,0.36886499999999994,,,0.5068533333333334,,0.39985,0.391,0.3865699999999999,-0.7099766666666666,,0.29802,,,,-0.35725,,0.19065199999999993
0,352,1,1,1.01801,,,,,0.084075,0.09353100000000006,,0.24958,,0.327606,-0.09975575,-0.23985,-0.10744,-0.041234999999999994,-0.0424205,,-0.03886999999999999,-0.1783745,0.5415665,0.3465218,1.05822,0.10772,0.42693499999999995,-0.5153000000000001,0.84305,0.132545,-0.43845499999999993,,0.9029266666666667,0.16446300000000003,0.16367666666666666,0.45175999999999994,-0.27295,,,,,0.047426499999999996,,,,,,,,,0.16919,0.78394,,0.088804,,,,,-0.34152,,,0.71537,0.7744800000000001,0.92344
0,310,1,1,0.13135666666666668,0.016545000000000004,0.30357500000000004,,0.51712,0.05213600000000005,0.3426099999999999,0.21325600000000003,0.09614933333333332,0.12447,,,-0.062675,-0.027083,,0.17804333333333333,,,0.20713,,0.20483666666666664,-0.145335,,-0.50125,,-0.321,0.86385,-0.052341,,0.17269,0.18875999999999998,1.0797,0.7146,,,-0.54603,,-0.41285,0.24960999999999994,0.071657,-0.32329,-0.23374,,-0.4587699999999999,-0.326735,-0.60343,-0.506995,-0.43122,-0.38070333333333334,,,-0.3669199999999999,,,,,,1.0269,,0.80185,2.0969
2,1001,1,1,,,,,-0.57055,,0.23586,,-0.027703,,,,,0.0942419999999999,,0.0077,,-0.24799,,,0.18865,0.049005999999999994,-0.13391500000000006,0.15718,,,,,,,0.51121,,,,0.043104,,-0.2952,,,0.20439,,,,,,,,,,0.5190803333333333,0.82591,,,0.682315,,0.95966,0.9636100000000001,0.47187499999999993,0.4587666666666667,-0.1103099999999999,0.0568695
0,37,1,1,,,,,,,0.40263,,,,,,,,,,,,,,,,,,,,,,-0.7087399999999999,,,0.76186,,0.54296,,0.54296,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,1,,0.11788,0.028362,0.4520699999999999,0.21933,,,,,,,,0.53562,,,0.70421,0.452075,0.037314,0.35957,-0.22825,0.49683,0.71167,,,0.22232,,,,,,0.3924,,0.26707,,,,,,-0.29688,,,,,,,-0.22228,,-0.34164,-0.17454,,-0.16857,-0.41922,,,,,-0.11188,,-0.11188,,
3,741,2,1,,-0.350825,-0.32863,-0.2043299999999999,-0.1754795,,,-0.2631549999999999,-0.50175,-0.50175,,-0.41741,-0.37968,-0.28091,-0.34194499999999994,-0.044527,0.07533,,0.11416950000000003,-0.3097599999999999,-0.21099,-0.044530000000000014,-0.2909,-0.40409,,-0.57722,,0.6690499999999999,0.680155,0.83441,,0.504441,0.037596,0.035377,0.7167549999999999,0.38163,,,,0.114172,,0.13304,,0.17521,-0.000136,0.8299799999999999,,,,0.628,,,,0.73453,,,,0.47707,0.595815,,0.94539
0,884,1,1,,,,,,,,,,,,,,,,,,0.12886,,,0.98983,,,,,0.37485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,210,2,1,-0.0830465,,0.1171099999999999,-0.19670249999999997,0.06413666666666666,0.04670000000000005,-0.34556,0.046701,0.29346,,0.213665,0.37861666666666666,0.27267166666666665,0.18952666666666665,-0.30734,0.17611333333333334,0.4007425,0.38022999999999996,0.15667333333333336,-0.056900000000000006,0.2780376666666667,0.49931,0.24484450000000002,,0.5576575,-0.19268000000000002,,0.084922,,0.38465,,0.429915,0.842776,0.83627,0.593839,0.14325800000000005,,0.2126555,0.311225,0.2659656666666667,,,1.7948000000000002,,0.1995833333333333,0.21467,,0.31827,,0.6320833333333333,0.5469233333333333,0.6421275000000001,1.3874300000000002,1.3160566666666667,,0.77741675,1.4508,-0.19469,0.77893,-0.061925499999999994,1.4609
0,844,1,1,0.6340899999999999,1.247545,,,,,,,,,,,1.6373,1.1932049999999998,,0.57658,,,,2.1102,,-0.6055699999999999,,1.2049266666666667,1.8865,0.7810633333333333,0.0014759999999999,,,,,,,,,,,,,,,,,,,,-0.28607133333333334,,0.27625,,,,2.206,,,,,,-0.011304,,
1,98,1,1,-0.40749,-0.6563100000000001,-0.5007066666666666,-0.41673499999999997,-0.60696,-0.6501399999999999,,-0.7022333333333334,,,,,-0.61724,,,-0.48357,-0.4403899999999999,-0.54629,,,,,,,,,,,,,0.81813,0.25159,0.24439,,,0.2773,,,,,,,,,,,-0.6151800000000001,,,,-0.509072,-0.36841,,,-0.395145,0.13643499999999997,-0.15180666666666667,-0.26405049999999997,-0.1895099999999999,,-0.39617500000000005
2,10,2,1,,,,0.13808,,,,,0.12159,0.29354,0.060349999999999994,0.370095,,0.013236499999999998,-0.4484399999999999,0.6963349999999999,,,0.6350899999999999,1.3888,0.5338100000000001,0.3889398333333333,0.29354,0.3677375,0.30532,0.40189,0.80233,0.80233,0.7622899999999999,0.53498,0.5208575,0.58327,0.6186,0.269985,-0.2678533333333333,-0.5520849999999999,-0.92896,,,,,,,,,,,,,,,,,,,,,,,,
0,646,2,1,-0.50612,-0.018945,0.28512,0.12440666666666667,0.186007,,1.1604,,,0.06168333333333335,,,-0.35157,,0.165845,0.4480733333333333,-0.020625000000000004,0.47495333333333334,0.4552771428571429,0.35848366666666664,1.2353866666666669,1.577,0.14345,0.1860045,0.35064,0.095289,0.12384499999999996,0.025853333333333322,0.92517,,0.7504599999999999,0.6211,0.5802266666666667,0.22632,0.3797566666666667,0.35904,,,,,,,,,-0.1600599999999999,,,-0.42716,-0.239016,-0.37004499999999996,0.72022,-0.18357999999999997,-0.17685649999999992,0.5119066666666666,,-0.0592629999999999,0.2061599999999999,0.58582,,-0.44228,0.621105
2,603,2,1,,,,-0.022146500000000003,0.15092433333333333,,,0.38665,-0.091163,,,,,-0.067804,,0.008645,,,,,-0.240875,,,,,,,,,,0.5629,-0.0901025,,1.3231,0.034125000000000016,0.2167599999999999,,,,,,,-0.52225,,,,,,,,,,,-0.29928,,,,,,,-0.26742
2,63,1,1,,,,,,,,,0.26757,,0.09033,-0.08069,,0.008447000000000001,-0.035084000000000004,0.36085066666666665,0.6531399999999999,0.1183099999999999,0.26757,0.108986,0.538085,0.012593,0.391945,0.737095,0.415265,,,,,0.28622,,,,,0.5505249999999999,,,,,,,,,,,,,0.189829,,0.351519,0.90189,,0.49145,0.65521,0.2582395,-0.40407,0.099657,-0.36054,,0.56607,
2,555,1,2,,,-0.37083,-0.08997466666666663,-0.1399,,,-0.38955499999999993,,0.12951333333333334,,,-0.3697899999999999,-0.3489866666666666,0.07542,0.03797499999999998,-0.12117666666666664,,0.24394,0.56848,0.26369733333333334,0.60281,0.4488566666666667,0.44678,0.16747999999999993,0.33131499999999997,0.70579,0.8633599999999999,,-0.10349733333333333,0.9694699999999999,1.0116,0.1596765,-0.06188749999999994,0.31675233333333336,-0.0010350000000000081,,,,,,,-0.48317,-0.42544000000000004,-0.36771,,,,-0.5955199999999999,-0.3053,-0.35211,-0.264725,0.10350499999999999,,-0.44261,-0.37395333333333336,-0.23872366666666664,-0.27409,-0.036922,0.094145,
1,94,1,2,,,,,,,,0.092712,-0.0354079999999999,0.0705375,,,,,,,,0.57316,,,,,0.24301,0.35634,,,0.42779500000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,2,,,-0.15962,,,,,-0.17454,,,,0.15667,-0.016396,,-0.4013199999999999,,,-0.547525,,,-0.6340600000000001,,,,,,,,,,,,,0.58933,0.28498,,,,,,,,,,,0.2581199999999999,-0.24914,0.040298,-0.050712,,0.094008,-0.53261,-0.14769,,,,,,,,0.1865099999999999
