fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98,chr7-g99,chr7-g100,chr7-g116,chr7-g117,chr7-g118,chr7-g119
1,77,2,1,2.6181666666666668,3.1287,3.1258,0.1506,-0.035102,,,2.5083,-0.49283,,,1.038695,-0.18863666666666665,1.4808672,,,,-0.50434,,-0.7807,,-0.48131,,,-0.53457,,,,,,,,,,-0.53313,-0.35105,,,-0.5907,-0.6813875,-0.69722,,,,-0.08692
1,663,1,1,,,0.79004,,,,,0.4116,0.58627,0.39219,,,,,,,,,,,,1.1491,,0.091379,,,,0.76093,,,,,,,,,,,,,,,,,
2,841,2,1,,,,,,,,,,,-0.89223,-0.82224,-0.6402399999999999,,,,,,,,,,,,,,,-0.72424,,-0.98322,,,,,,,-0.45824,,-0.57724,-0.79424,,,,,
0,352,1,1,-0.83173,,,,-0.49326,-0.4204699999999999,-0.80626,-0.29673,-1.1557,-1.1362466666666666,-1.061,-0.7286133333333332,-0.39863499999999996,-1.243,,,1.1736,,-0.49326,,,-0.020121,-0.48234,-0.3840699999999999,,-1.18475,0.03447,,-0.70434,-1.02462,-0.17661999999999997,-0.5854566666666666,-0.1923933333333333,0.19097,-0.5514899999999999,-0.33676000000000006,-0.6388449999999999,,-0.5878899999999999,,,,,,
2,578,2,1,,,,-0.43323,,,,,,,,,,,,,,,,,,-1.267,,,,,,,,,-0.0924779999999999,-0.23748,,-1.035,,,-1.383,,,-0.54198,-1.0132400000000001,,,,
2,584,2,1,-0.5938650000000001,-0.8312799999999999,-1.1008,-0.914695,,,-0.446286,,,-0.5297000000000001,,,,,,,,-1.0623,,,0.10553,,-0.49762,-0.65162,,-0.30512,,,,-0.84411,-0.5617800000000001,-1.0366,-0.74145,-0.43345,-0.7500033333333332,,-0.61312,0.33653,,0.6188600000000001,-0.47195,,,,
2,198,2,1,0.2560699999999999,,,0.0196533333333333,0.019656666666666645,-0.06601649999999999,-0.63536,-0.37509,-0.4792,,-0.35773666666666665,-0.4792,-0.3881,-0.436905,,,,,,-0.2449599999999999,,,,,,,,-0.34906,,,,,,,,,,-0.284,-0.2449599999999999,,,,,,
0,884,1,1,,,,,,,,1.8324,,,,-0.91188,-0.98576,1.2519,,,,,,,,,,,,,,,-0.79578,,-0.80633,,,,,,,,-0.6269,,,,,,
0,750,1,1,-1.0977,,,-1.1059,-1.2453,,,-0.1137099999999999,,,,,,,,,,,,,-0.85581,-0.3310075,-0.954205,,,,,,-0.81891,-0.63031,,,,,,,,,,,,,,,
2,555,1,2,,,,-1.054815,,-0.9515899999999999,-1.04905,-1.0662666666666667,-0.9229250000000001,-0.8999950000000001,-0.2291699999999999,-0.2635699999999999,-0.6228833333333333,-1.1924,,0.0001699999999999,-1.0089,-0.5464233333333334,,-0.72225,-0.8942799999999999,-0.9573175,-0.832346,-0.72225,,-0.63052,,-0.98599,-0.676385,-0.7643,-0.8598600000000001,-0.74519,-0.57318,-0.6993199999999999,0.16071,,,,,,,,,,
0,353,1,1,-0.33038,-0.6263274999999999,-0.13838800000000004,-0.96558,,-0.2401569999999999,-0.629935,-1.0233400000000001,-0.666035,-0.2702333333333333,-0.7394066666666667,-0.27264,-0.4675275,-0.90061,,1.1854,0.39143,0.20376,,-0.3051185,0.76677,-0.29429333333333335,0.470825,-0.23655,-0.227525,0.33368,-0.048878,-0.8681300000000001,0.39143,,,0.2903699999999999,,,,,-0.6696300000000001,-0.8284299999999999,-0.71294,,,,,,
2,230,2,1,,,-0.45520499999999997,-0.54793,-0.064693,,-0.16036199999999998,0.27698666666666666,-0.3510533333333334,-0.97747,,-0.191605,-0.68362,0.57962,,,,,,-0.82615,,,,,,0.599145,,,,,,,1.1263,,0.003643,,,,0.03293,,,,,1.2337,2.3564
3,741,2,1,-1.2317,0.6831,0.55195,0.079797,-0.01201,,-0.45137499999999997,-0.75958,,-0.64155,-0.17376466666666665,-0.64155,,-0.536625,,,0.10603,,-0.89074,,-0.418585,-0.45793,-0.58908,-0.37049466666666664,,-0.5191353333333334,-0.385798,0.4208,-0.56285,-0.7945566666666667,-0.34645099999999995,,-0.5995779999999999,1.03723,,-0.38798400000000005,-0.26776,0.624085,0.4426623333333333,0.15849000000000005,,,-0.72024,0.6831,0.040451
0,310,1,1,,-0.57838,,,,-1.01025,,-0.10260000000000002,-0.50415,-1.0103024999999999,-1.2465,,-0.40967,-1.125,,,,0.52839,-0.29156499999999996,,-0.024994,0.19096,,,0.27869266666666664,,,-0.77409,-0.63912,,-0.8415750000000001,-0.42316,-0.642495,-0.5513899999999999,-0.355675,,-0.40292,,,,,,,,
2,210,2,1,-1.1919499999999998,1.37222,,0.5622433333333333,-0.38103,-0.46491499999999997,0.83814,0.30685,-0.8396100000000001,-0.70539,0.2990126,,0.21625,0.10552,,,-0.045478,,,,-0.39221,-0.39221,-0.52084,-0.02869999999999999,-0.95706,-0.1629275,-0.6382800000000001,,-0.79487,-0.86198,-0.5599919999999999,,-0.47051,0.21178,-0.52084,-0.13216,-0.0902179999999999,-0.72217,0.49588659999999996,1.0655533333333334,1.6881950000000001,,,-1.3094,
2,45,2,1,-0.28456,,,-2.1519,,,,,,,,-0.15911,,,,,,,,,,,,,-2.1519,-0.53546,,,,,-2.1519,,,,,,,,,,,,,,
3,157,2,1,-0.66883,-0.5191633333333333,-0.44433,,-0.44900999999999996,-0.5635924999999999,-0.67818,-1.1178,-0.36482,-0.584645,-0.6781833333333332,-0.528516,-0.6314116666666667,-0.51916,,,,-0.4193846666666667,-0.327405,-0.5846425,-0.66649,-0.39522,-0.27595,-0.45056333333333326,-0.47239,-0.49577775,-0.5316366666666666,-0.84188,-0.430295,-0.5638566666666667,-0.34143,-0.5035733333333333,-0.451345,-0.17306,-0.070161,-0.43185566666666664,-0.15434900000000001,-0.34611000000000003,,,,,,,
0,27,2,1,,-0.7084,-0.56167,,-0.05082,-0.75188,-0.90948,,-0.6123933333333333,-0.50732,-0.505965,-0.6232633333333333,-0.24375,-0.80079,,-0.70297,-0.1595099999999999,-0.6105799999999999,-0.2682,,,,,,,,,,-1.1214,-1.1250666666666667,,-1.0834,-1.1323,-0.17582,-0.1866799999999999,,,-0.21386,-0.029082,-0.004626499999999999,,-1.2193,,,-0.550805
2,172,2,1,-0.39394,-0.52659,,-0.38374,,,,,,-0.669435,,,,,,,,-0.29191,,-0.39394,,-0.76126,-0.62862,-0.42455,-0.94492,0.095812,,,,,,0.095812,-0.36333,0.095812,-0.13206,,,,,,,,,,
3,455,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44851,,,,,,,,,,,,,0.6974199999999999
2,648,2,1,0.1741375,-0.8405100000000001,-0.55667,-0.8176800000000001,-0.17822,-0.50447,-0.53057,,-0.41312,,-0.44791999999999993,0.29811499999999996,-0.6088724999999999,,,,,-0.73938,,,,,-0.3739699999999999,-0.3739699999999999,-0.3739699999999999,-0.432695,-0.51752,,,-1.0743266666666667,0.082786,,-0.15212,,,,,,,,,,,,-1.17
2,199,2,1,-0.9295575,-0.91047,-0.6362066666666667,,,-1.0631625,-0.821405,-1.0773,-0.46091,-0.7182066666666667,,-0.83413,,,,,,,,-0.5923849999999999,-0.460905,,,-1.114,-0.93592,-0.70972,,-0.5966199999999999,-0.97833,,-0.9953,-0.61359,-1.148,-1.10135,-1.0123,-0.8341299999999999,,-0.76628,-0.6333833333333333,-0.8935099999999999,,,,-0.93592,-0.8850299999999999
3,718,2,2,,-0.686505,,-0.60072,,,,,,,-0.78659,,-1.0726,,,,,,,-0.7151,,,,,-0.7865949999999999,,-0.6722100000000001,-0.8866799999999999,,-0.783005,-1.06545,-0.62931,-0.98677,,-0.6865100000000001,,-0.97247,,,-0.8080400000000001,,,,,
1,94,1,1,,,,-0.86898,,,-1.1666500000000002,-1.041134,-0.8881066666666667,-0.2251375,-0.78289,-1.0387733333333333,,,,-1.2061,,,-1.2061,,,,,-1.1129,,-0.99093,-0.98375,-0.6035550000000001,-1.10925,-0.800815,-0.49595960000000006,-0.980165,-1.01246,-0.9155949999999999,-1.00287,0.95309,0.8598399999999999,,-1.0698,-1.1439666666666666,0.7307100000000001,,,,
1,826,1,1,-0.763865,-0.7733899999999999,1.3229,,-0.34462,-0.61141,-0.311265,-0.64,0.27949499999999994,,-0.1731,-0.08098666666666669,,-0.97729,,,-0.85915,0.52247,,-0.9449,0.289045,-0.45896,,1.5801,-0.84962,-0.5971389999999999,,0.084163,-0.19216,-1.2784,-0.39543533333333336,-0.8527833333333333,,,,-0.29220899999999994,,-0.1731,-1.1355,,,,,,
1,468,1,1,-0.78468,,-1.145,,,,,-0.45528,-0.21337799999999998,,,0.36821,-0.722915,,,,,,,-0.37293,-0.347198,,,,-0.47072,,,,,-1.093475,-1.11405,-0.67145,,,,,,,,,,,,,
2,591,2,1,-1.1686,-1.3774,-1.0062,-1.4122,-1.273,-1.1454,-1.1338,,,,,,-0.565295,,,,,-0.066413,,,,,-0.71612,-1.1222,,-1.1221999999999999,,,-0.8437399999999999,-1.099,-1.1763333333333332,-0.80506,-1.093175,-1.2227333333333332,,,,-1.1686,,-1.3774,,,,,
2,260,1,1,,,-0.777866,-0.74831,-0.5929933333333334,-0.867645,-0.77104,-0.6157233333333334,-0.089148,,-0.68012,-0.21416,-0.74831,,,,-0.685805,-0.9415100000000001,-0.6630749999999999,-0.90741,-0.8165,-0.850595,-0.7937633333333333,,,-0.8619650000000001,-0.27099,-0.47556,-1.12338,-0.719905,-0.9131199999999999,-0.6914899999999999,-0.8619600000000001,,,,,,,,,,-0.81653,-1.112,
0,884,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94355,,,,,,,-0.3313663333333333,,,,,,-0.078052,
0,275,1,1,,,,-0.97071,,,,-0.8417266666666667,-0.936308,-0.952795,-1.010125,-0.9742975,-1.10331,,,,,,,-1.2789,-0.8775533333333333,-0.7413866666666666,,,-0.75572,-0.48339,-0.98505,-0.89189,-0.29706,-0.74497,,,,-0.92772,,,,,,-1.0925,,-1.2824499999999999,-0.77722,,
1,189,2,1,-0.5896600000000001,-0.5815600000000001,0.24459,-0.29537816666666666,-0.09019166666666667,-0.26568,-0.52486,0.07585000000000001,0.617175,-0.2697299999999999,-0.4103138571428572,,-0.618816,-0.4708666666666667,,,,,1.2813,,-0.12799,2.966,2.2047,,,,,-0.6423050000000001,,,-0.6099049999999999,-0.58426,-0.5599599999999999,-0.45197,-0.0024500000000000355,5.0962,-0.3952699999999999,,-0.22518,,,,-0.65445,-0.54916,0.31748
1,53,1,1,,0.09596499999999995,0.12330899999999999,0.003659999999999993,0.4412399999999999,-0.35643,-0.574075,-0.5911666666666666,,-0.261847,-0.4715175,-0.273928,0.74207,-0.5774900000000001,,,,,-0.29717,,,0.564305,-0.1057299999999999,-0.50229,-0.87149,2.0206,-0.47152000000000005,,0.6577366666666666,,,-0.5706600000000001,-0.62535,,,0.39338,,,,,,-0.66638,-0.4168205,,-0.529635
1,233,1,1,-0.29699499999999995,,0.22285,-0.10461499999999996,0.23513,-0.722695,,1.107,-0.10461,0.24331299999999997,-0.08824,,,,,,,-0.72679,,,,,,-0.8414,,0.050931,,0.38658,-0.12508000000000005,,-0.08824,-0.15373,,,,0.14098,,0.5666800000000001,,0.8736550000000001,,,,,
2,591,2,2,,-0.98296,,-0.8321299999999999,,,,,,,,,,,,,,,,,,,,,,0.049605,,-0.8321299999999999,-1.2498,-1.2614,-0.69291,-0.9771650000000001,,,,-0.98296,,-1.0758,,-0.99843,,,,-1.273,
1,713,1,1,-0.005981,-0.33566899999999994,,-0.6339600000000001,0.2766099999999999,,-0.41416499999999995,-0.59209,,-0.65489,-0.4664999999999999,-0.4979,-0.2781099999999999,-0.42463,,,,-0.61303,,0.32894,,,-0.61303,0.21381,-0.330435,,,-0.3095,,0.05158,-0.314735,,,0.5278,,-0.26764,,,1.0266666666666666,,,,0.21903999999999998,,0.4231399999999999
1,142,2,1,-0.16754849999999996,-0.07242825000000003,,,-0.006749500000000001,,0.17556,0.0532659999999999,-0.50047,-0.235495,,-0.49707,,0.11441,,,-0.0588395,,,-0.2253,-0.14037000000000005,-0.43592,-0.13018,-0.4597,0.3771233333333333,-0.25361,-0.046381333333333365,-0.09814842857142858,-0.32721625,-0.09394233333333334,-0.27738666666666667,-0.0690305,-0.21442999999999998,-0.45404,-0.4495125,0.18235799999999996,-0.5446300000000001,-0.55652,-0.71109,-0.349859,,,-0.30683,-0.30004,0.29107
0,613,1,1,,,,,,,-0.51536,,-1.16465,,,,-0.49556,-0.2896833333333333,,,,,,,-0.72916,,0.019141,,-0.364909,-1.2716,,-0.63018,-0.47973,-0.89149,,,,,-0.436175,-0.6512966666666666,,-0.6301800000000001,,-0.4744466666666667,,,-0.36490500000000003,,
2,770,2,1,,0.47376,,,,-0.065309,-0.05957250000000001,-0.07678000000000006,,-0.673205,-0.17999733333333334,0.042503599999999996,0.03218500000000002,0.014978,,,-0.065309,,,-0.89112,2.1024,0.05703333333333338,1.127515,0.33040500000000006,-0.134124,0.295984,0.129675,,-0.32911,0.17784400000000003,,-0.1513295,,,,,-0.62732,-0.2947,,-0.564235,-0.145595,,,,-0.1226599999999999
3,353,2,2,,-0.71601,,-0.92953,,,-1.4633500000000002,-1.4144333333333332,-1.4367,-0.07544000000000001,-1.3832666666666666,,-0.33123166666666665,-0.87615,,,,-0.69597,,,,-0.5959,0.024650000000000005,0.33826333333333336,-0.3690343333333333,,-0.4891399999999999,-0.28896,,-0.329,-0.6893199999999999,,,,,,,,,,,,,,
3,937,2,1,0.45655,0.45655,-0.24486,,,,,,,,-0.5955699999999999,,,,,,,1.3187,,,,,0.156984,,,0.12045,,,0.13507,,0.3688666666666667,,,-0.2887,-0.21564,,,,-0.281397,-0.24486,,,,,
2,516,2,1,,,-0.87572,0.031352,0.23112499999999997,-0.3357966666666667,,-0.11118999999999998,,,0.556874,0.46329,0.3625036666666667,,,,,-0.557165,,,,-0.8433250000000001,-1.0323,-1.0053,-0.95131,-0.17921499999999996,,,-0.14862333333333333,-0.2242133333333333,-0.35739,,,-0.43298,,0.07994449999999995,,-0.20621,-0.51937,-0.50857,,,,,
2,711,2,1,,-0.64267,-1.034965,,-1.1214,-0.901985,-0.57618,,-0.981765,,,-0.51634,-0.57618,,,,,,,,,-0.70916,-0.28363,-0.5362899999999999,-0.7690049999999999,-0.98842,-0.80225,-1.03495,-1.1214,-0.84215,-1.0416,-1.02388,-0.42991,0.08206750000000004,-0.004349999999999965,,,-0.17724499999999999,,,,,-1.3209,,
1,81,1,1,,0.00499000000000005,0.15667499999999995,,,,-0.8999333333333334,0.19557,,,,0.47171,,,,,,,,,0.44838,-0.5784100000000001,-0.62508,,-0.8273299999999999,-0.64842,-1.0374,-1.0723525,-0.6328699999999999,-0.6925,-0.78066,-0.6678649999999999,,-0.72621,-0.7651,,,-0.4772899999999999,,-0.5784100000000001,,,,-1.0762,
1,718,1,1,,-0.45206,-0.6190100000000001,-0.39934,,,,,,-0.17966,0.083944,,-1.1814,,,,,,0.2509,,,-0.24117500000000008,0.11909166666666667,-0.17088,,,-0.434485,,-0.394945,,-0.19724,-0.17088,-0.6497649999999999,-0.039069999999999994,,,,-0.07422,,,,,,,
1,137,1,1,-1.1666,-0.014672,-0.77447,,-0.7172866666666667,-0.96238,,-0.34146833333333326,-0.26794,-0.79898,-0.46129000000000003,,-0.8970199999999999,,,,,,,-0.08412000000000006,-0.51303,-0.5375433333333333,0.034348,-0.415,-0.2189199999999999,,,,,-0.85617,-0.48035,0.009838,,-0.93787,-0.86434,,,,,,,,,,-0.24342766666666668
3,86,2,1,-0.2637849999999999,-1.63376,0.330321,0.18401283333333332,0.192882,-0.0066319999999999,-0.31698,0.4352563333333333,0.09092000000000001,0.028840000000000005,0.6259066666666667,,-0.08939333333333332,-0.36132,,,1.1904,,,,,0.47811,0.27416233333333334,0.0643059999999999,,0.12384328571428574,-0.17953999999999998,-0.21944,0.037704,0.043615000000000036,0.22687366666666664,0.223915,-0.130772,-0.16623949999999998,0.37022350000000004,,-0.414525,-0.5475300000000001,-0.48102999999999996,-0.57413,,,,,
0,190,1,2,,,,,,-0.55252,,-0.16422,-0.56115,-0.7078399999999999,-0.16422,,-0.56115,-0.8545299999999999,,,,-0.5784,,-0.56977,,,,,-0.54389,-0.9407966666666666,,,,,0.62963,,1.527,0.36214,,,,,,,,,,,
2,603,2,1,-0.8776005,-0.9023433333333334,-0.999085,-0.034131,,-1.1947,-0.4794833333333333,-0.891095,-0.536835,0.22228,-0.43225025,-0.19608,-0.33552999999999994,-0.17808333333333334,,,,,,-0.6711199999999999,,-1.0058,-0.2703,,,-0.9821975000000001,-0.688675,-0.7763800000000001,-0.80338,-0.5379666666666667,-0.76289,-0.76289,0.11432,-0.84386,-0.93833,,-0.918085,-0.83037,-0.87085,-0.6009399999999999,-1.0868,,,-1.2217,
2,730,2,1,-0.99373,-0.92569,,,,,,-0.9892033333333333,-0.986925,,-0.72154,-0.94951,-0.6262800000000001,,,,,,,,,,-0.5174,,,-0.73515,-0.43574499999999994,-0.44935,,-0.6671050000000001,-0.59906,,,,,-0.74876,-0.74876,-0.83042,-0.29965,,,,,,-0.34048
0,646,2,1,,,-0.057136,-0.584785,,-0.756675,-0.75268,-0.8486100000000001,-0.618765,-0.7238960000000001,,-0.3795866666666667,-0.6007766666666666,-0.8486100000000001,,,,-0.3489399999999999,0.19069849999999997,-0.20503499999999994,-0.39690999999999993,-0.27832266666666666,0.1607225,0.1640506666666667,0.468515,-0.08644833333333331,0.27864,0.0963638,-0.11842666666666668,-0.10510333333333333,-0.177056,-0.18305,-0.07845633333333334,-0.09977333333333327,-0.3076366666666666,-0.17545679999999997,,-0.11043366666666665,-0.18505,0.270645,,,,-0.44888,0.16138699999999997
2,68,1,1,-0.69489,-0.5242899999999999,,0.09076949999999999,,1.2446,-0.447965,-0.8774633333333334,,-0.7757,-0.71285,1.0021,-0.45694500000000005,,,,-0.36267,-0.83855,-1.072,-0.86549,-0.70387,-0.7367933333333334,-0.70387,-0.29982,,-1.0271,-0.9912133333333332,-0.76223,-0.7906666666666666,,-0.9238550000000001,-1.1438,-1.2247,-1.2606,,0.5846300000000001,,-1.2247,0.1491299999999999,0.17158499999999993,0.2209699999999999,,,,
0,407,1,2,,,,-0.56843,,-0.36855499999999997,,,-0.896205,,,-1.0961,,-0.9362,,,,,,,,,,,,0.031199,,,,-0.5604399999999999,-0.87222,,-0.41652,,,,,,,,,,,,
0,55,2,1,-0.9226449999999999,,,,,,,,-0.7397066666666666,,,-0.78252,,,,,-0.2979,-0.7435966666666666,-0.8876200000000001,-0.98687,,,,,-0.66574,-0.649685,,-0.90513,,,-0.6657420000000001,-0.8000333333333334,-0.72997,0.06994,-0.9752,-0.7591600000000001,0.33268,-0.02348,-0.39424099999999995,-0.9956499999999999,-0.84091,-0.99271,-1.1095,-1.0453,
3,91,2,1,-0.477965,-0.2855233333333333,0.1282299999999999,-0.50202,,-0.7954899999999999,,-0.50683,-0.49721,-0.36249766666666666,0.08974000000000001,-0.19410850000000004,-0.54532,0.003144,,,,-0.17968,,,,-0.68003,-0.46834,,-0.59343,-0.58381,-0.5966366666666666,,-0.57418,-0.49143400000000004,-0.39136499999999996,-0.5236675000000001,-0.59343,,-0.5421133333333333,-0.3240099999999999,-0.670405,-0.7281375,-0.37212,,,,,,
0,215,1,1,,,,-0.91459,,,-0.014427,,,-0.92901,-1.2098,-1.3755,-1.2074666666666667,-1.07304,,,,,-0.4177,-0.91459,-1.1018,,,,-0.91459,-1.2747,-1.15945,-1.0946,-1.3827,-1.20265,-1.2819,,,-1.2603,,,-1.4763,,,,,,,,
0,250,1,1,,,-0.8880466666666668,,-1.1124,,,-0.8616533333333333,,-0.98569,-0.97777,,-0.82735,,,,,,,,0.669,-0.3760699999999999,,,,-0.6505299999999999,-0.8352700000000001,-0.34043850000000003,-1.009436,-0.7877633333333334,-0.9566733333333334,-1.2944499999999999,-1.2707,,,,,,,,-0.93819,,-1.342,-1.4132,
