fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754,chr4-g755,chr4-g756,chr4-g757,chr4-g758,chr4-g759,chr4-g760,chr4-g761,chr4-g762,chr4-g763,chr4-g764
3,91,2,2,,-0.22779,-0.22779,,-3.4608,-0.55494,-0.40098666666666666,-0.17006,-0.00968333333333334,0.3303,-0.38655,-0.03213666666666667,,-0.91096,,,,-0.8820899999999999,,,,-0.95907,,-0.4394699999999999,,,,,,,0.0223879999999999,-0.2181699999999999,,-0.2694833333333333,-0.11873666666666667,,,-0.2759,-0.8788833333333333,,-0.814735,-0.42504,-0.458715,-0.39136333333333334,-0.49239499999999997,-0.093078,-0.13156500000000004,,,-0.69927
0,620,2,1,0.77817,0.82992,0.77817,1.3357,1.67095,,0.7287600000000001,,,0.25592100000000007,0.98283,1.24748,0.5311533333333334,0.5099899999999999,1.6674,,,,,,,,1.235478,,1.15927,,0.7569899999999999,,,,,0.9934049999999999,,0.9987025,,1.4698,0.9087500000000001,,0.0724279999999999,-0.06872,,2.5213,,0.086542,1.3428,0.25592,0.1077099999999999,0.18886999999999995,0.1077099999999999,0.11477
0,55,2,2,,,,-0.59568,-0.59568,-0.46723,-0.26092333333333334,,-0.943085,-0.946,,-0.946,-0.96936,-0.6891,-0.8876200000000001,,,,,-0.90513,,-0.12274,-0.55189,-0.765,-0.58984,-0.750405,-0.837402,-0.31074599999999997,,-0.423435,,,-0.91097,,0.25094,,-1.0569,,-0.8759399999999999,-0.18502000000000005,-0.765,-0.36213,,,,,1.109215,1.40409,0.44946,0.7414
1,233,1,1,-0.90689,-0.48119,-0.60399,-0.76772,,-0.45663,-1.0624,-1.05015,-0.97238,-0.90689,,-0.8823449999999999,-0.808655,-1.0051,,-0.035030000000000006,,-0.4320699999999999,,,,-0.33384,,,-0.911,,,-0.9642,-0.45663,,-0.9642,,-0.41569999999999996,2.0648,-0.93145,-0.7104199999999999,,,,,,,0.66492,0.05093,,,,0.65673,-0.48938,0.001812
1,612,2,1,,,,,,-0.54856,,,,,,,,,,,,,,,,,,,-0.27059,,-0.44432,,,,,,,,,,,,,0.563315,-0.2184699999999999,0.5633199999999999,,,,,-0.09686,,,
0,158,2,1,,-0.81152,-0.627095,-0.81152,-0.7921,0.2173699999999999,-0.50091,-0.45561,-0.8438700000000001,-0.45885,-0.5933514285714285,-0.74034,,-0.5947375,-0.3520749999999999,-0.6109166666666667,-0.2000065,,,,,-0.72739,-0.6324866666666668,-0.86976,-0.42326,,,-0.6756300000000001,-0.9279999999999999,-0.91505,,-0.91505,,,-0.50738,-0.19353599999999999,-0.733865,,,-0.13853,0.668184,0.1203099999999999,,-0.060880666666666694,-0.46855,0.67681,,-1.02185,,-0.16442
2,80,2,1,,,-0.405152,-0.533245,-0.32226,-0.6425050000000001,-0.82335,-0.73293,,-0.51818,-0.57092,-0.57092,-0.60106,,,0.039421,,,,,,-0.81205,,-0.29966,,,0.5744100000000001,0.44255,,,-0.51064,,0.92103,-0.91,-1.2641550000000001,,-0.4126899999999999,-0.45413000000000003,-0.261985,-0.5458066666666667,-0.5633900000000001,0.190122,-0.71409,-0.3297999999999999,-0.10123333333333334,0.0032519999999999884,-0.24691333333333335,0.04695400000000003,-0.2431445,0.5292
0,275,1,1,,,,,0.2261,-0.43800466666666665,0.31567500000000004,-0.89188,0.5199400000000001,,0.5701,,-0.547886,-1.0281,,,-1.0281,,-0.26123,,-0.56939,-0.50489,0.1616,-0.66257,-0.5514749999999999,-0.082063,-0.21106,-0.6171700000000001,,,-0.15373,,-0.30423,,,,-0.5622199999999999,,,,,-0.43322,-0.67689,,-0.97072,,-0.4547199999999999,-0.8202200000000001,,-1.114
2,181,2,3,0.62608,,,,,-0.7211,,-0.91178,-0.8495,-0.8495,-0.590795,-0.7345200000000001,,,,,,,,,,1.4022,1.4405,,,-0.44227500000000003,,-0.30334,0.0543746666666667,-0.82075,-0.66745,-0.5333,0.28114,-0.859075,-0.7608675,-0.586,-0.5333049999999999,,0.04399749999999998,-0.34167,-0.36083049999999994,0.630875,-0.20752600000000002,,0.3410275,,,,,
1,94,1,2,,,,,-0.495955,,,,-0.1157599999999999,,,,0.35052,0.493985,1.06789,0.62311,,0.5442,,,,,-0.15163,,,,,-0.036851,-0.23054,0.40073,,-0.4564999999999999,,,,,-0.4600899999999999,,,,-0.61073,,,,,0.0564039999999999,,,-0.3692233333333333,
2,199,2,1,,,,,-0.74082,,,-0.20785166666666668,0.12437699999999992,,,,-0.91895,-0.7761683333333332,0.056519,0.007744999999999997,-0.38456,,-1.0292,,,-0.73517,-0.781115,-0.62207,,,0.03956200000000003,-0.6248966666666668,-0.6644800000000001,,-1.0264,-0.5626899999999999,-0.600865,-0.538944,-0.558455,-0.40153000000000005,-0.65883,-0.44393000000000005,0.2261699999999999,,0.646045,0.374615,,,,,-0.57118,-0.5429033333333333,-0.10465,
1,189,2,1,,-0.1846799999999999,0.49566750000000004,0.15144249999999995,-0.52486,-0.7206,-0.83264,-0.52486,-0.6909,-0.75165,-0.925785,-0.9298366666666666,-0.909585,-0.71115,-0.69495,-0.5572600000000001,-0.7476,,,,,,,,-0.52486,,-0.8731399999999999,,-0.5896600000000001,-0.56536,0.281033,,,1.7106,0.13119,0.8520449999999999,-0.56131,,-0.20898,-0.32238,,-0.7327466666666668,,-0.723295,0.16359,,,-0.8893399999999999,-0.7570466666666666,-0.78404
2,566,1,1,-0.6600699999999999,-0.49366899999999997,,,,,-0.6975100000000001,0.057530000000000026,-0.6101500000000001,-0.2232699999999999,-0.19831000000000001,,,0.0045024999999999996,-0.061027,0.43816999999999995,-0.029828499999999997,-0.22951,,,,,0.1417715,-0.21079,-0.25758925,,,,-0.08598999999999998,-0.34807,,,,,,,-0.80983,-0.55191,,,-0.74743,,,,0.20728999999999997,-0.11718999999999995,,0.18857,,-0.49783
0,89,2,1,,0.02017,,,-0.014204999999999968,-0.6250100000000001,-0.5641925,-0.2019405,-0.564195,,-0.8048150000000001,-0.5351079999999999,0.18146500000000002,,0.20526,,,,,,,-0.68318,-0.1790233333333333,,-0.84183,,-1.1909,-1.0534,-0.6673166666666667,,-0.4957237777777777,-0.45710524999999996,-0.5809433333333333,-0.82728,-0.6772330000000001,0.9509200000000001,-0.7109475,,,-0.7202,-0.34473,,-0.14377,-0.053867,,,,,,-0.8859
0,215,1,1,,0.144,0.21602,,,-0.277275,0.028781,,-0.34569,-0.4177,-0.5065183333333333,,,,,,,,,,,,,-0.46091,-0.55453,,,,,,,,,,,-0.63374,-0.36489,,,,,,-0.72016,,,,,,,
1,468,1,1,0.3888,,,,,0.18810000000000004,-0.79497,-0.9957100000000001,-1.2582,,-1.3199,,,,,,,,,,,,-0.48616000000000004,,0.21380899999999994,,,,,0.25498,,,,-0.5788,-0.23911,-0.197938,,-0.20823,-0.20823,0.19837,,,,,1.05276,,,,-0.4346899999999999,-0.5170399999999999
3,718,2,2,0.1284799999999999,,-0.41484,,-0.17178,0.9005799999999999,-0.4434399999999999,,0.3095903333333333,-0.41484,0.014096666666666646,,,,,0.15708,,,,,,-0.52923,-0.643615,,-0.49110000000000004,,,-0.2289699999999999,0.77189,,,-0.37195,0.2428699999999999,-0.51493,-0.4291399999999999,-0.5864199999999999,,,,-0.57212,,,0.15708,,,,,,,
0,544,1,1,,-0.5218,-0.88046,,,-0.30444,-0.9348,-0.9348,,,,,,,-0.3805199999999999,,-0.56528,,,,-1.3695,,,-0.43486,,-0.7119949999999999,,-0.6957,,,,,,-0.6957,,0.10855300000000001,,0.60849,,,,,,,,,-0.3805199999999999,,,
3,62,2,2,,-0.52703,,,0.62641,,,,,,,,,,,,,,,,,,-0.321062,,-0.24279499999999998,,0.19798,0.3105586666666667,-0.13157,,-0.33754,-1.692825,-0.11509499999999995,-0.27987,-2.119866666666667,-3.0893,-1.441545,,,,,,,,,,,,,
1,339,2,1,2.6884,1.9435333333333336,0.14724,,0.39625,,,-0.095384,-0.035792,-0.014509000000000003,-0.127308,0.00039000000000000146,-0.0826139999999999,-0.04941300000000001,0.46648,-0.46059400000000006,-0.49123999999999995,,-0.35078,,,,-0.009190000000000031,,,-0.2997,-0.25287333333333334,-0.22308,0.46648,3.429,-0.58063,-0.78494,0.22385500000000003,-0.12092249999999999,0.862325,,1.04109,0.8176399999999999,1.6796,0.817655,,0.4281633333333333,-0.057074999999999945,-0.45293,-0.855175,-0.36993,0.24939,0.19832,0.10892999999999999,-0.23584699999999997
2,648,2,1,,-0.40007,-0.26957,,,-0.3739699999999999,,,,,,,-0.50447,,,-0.4783699999999999,,,-0.4783699999999999,,-0.63497,,,-0.70023,-0.12602,,,,,-0.77853,-0.556675,0.21981499999999998,0.23939,0.49060499999999996,0.85275,0.53302,,,-0.53057,,,,,,2.2752,,,-0.0999169999999999,0.9180200000000001,
2,591,2,1,,-0.87854,-0.5614266666666666,-0.37966,,-0.8727400000000001,-0.36226,-0.36419566666666664,,,0.21203,,,0.7921199999999999,,0.061206666666666666,,,1.0242,,,-0.46087500000000003,-0.4763416666666667,,-0.6697066666666666,,0.5948899999999999,-0.6117,,,-1.5979,,,-1.0642,-0.12442,,,-0.22884,-0.10122,,,,-0.18243,,,-0.90174,-0.90174,-0.6001,-0.79733,-0.6001
0,164,1,2,,-0.63703,,,,,,,,,-1.0388625,,,-0.624455,,,,,,,,,-0.95515,,0.13317,,,0.4010599999999999,,,,,,-0.69563,,,,-0.034266,,0.10805,,1.0289,,0.92011,,,,,-0.23519,
2,808,2,1,,-0.57745,,,,,,,-0.90134,,,,,,,,-0.17776,,,-0.13641,,,-0.16397,,,,,,,,-0.12951999999999997,,-0.8668899999999999,,,-0.97715,0.001417,,,,-0.94958,,,,,,,,,
0,406,1,1,,,,-0.9290966666666667,,-0.24595,-0.618915,,-0.66035,-0.5284949999999999,-0.30623,-0.34640999999999994,-0.5624,,,-0.75455,,,-0.087722,,,,,,-0.487055,,,,,,0.48741999999999996,1.0801,,,,,0.36247050000000003,0.83904,-0.01991,,,,0.6054558333333334,3.1898,0.76369,-0.8939299999999999,,,-0.48706,
2,230,2,1,0.54547,-0.6309100000000001,-0.43566,0.58938,,0.16309333333333328,-0.38684699999999994,1.3996,-0.54695,0.06221666666666666,0.062220000000000004,-0.081775,-0.2452945,,,-0.43566,,,,,-0.054928500000000005,-0.09886349999999999,-0.08096366666666664,,-0.1964835,-0.2697,-0.05493150000000001,0.2477,-0.36081333333333326,,,0.08824666666666665,-0.66995,,,-0.657745,-0.77734,-0.59186,-0.8652,-0.1603692,,,-0.39173,-0.85544,,-0.72853,,-0.709,-0.133031,
0,27,2,1,1.0035,0.98719,1.43555,-0.63775,0.5868333333333333,0.7969715714285714,-0.11604,,0.6122,0.6285,-0.10788500000000001,,0.17471299999999998,,,-0.039951,0.264385,0.43286,0.90023,,0.19374,0.23721,0.5288716666666667,1.2372,0.42199,,,1.0796,,0.29156,0.014393333333333305,0.37308,,-0.40135,-0.16495,,-0.23287999999999998,-0.10788499999999995,-0.45841,0.287923,,-0.27907,2.1610333333333336,0.5053133333333334,-0.46385,0.67198,0.12309,1.6719,1.063245,1.21271
2,244,2,3,0.14961499999999997,-0.258455,-0.51618,0.4681866666666667,-0.011465,-0.29067,,-0.37121000000000004,,,,0.09592000000000006,0.41808,,,,,,,,,,0.246262,,-0.2781431666666667,-0.15107,,1.8839000000000001,0.6650699999999999,,0.11381866666666667,-0.05442,-0.065158,0.03685999999999999,,1.6583999999999999,-0.40879,0.8959349999999999,0.7831849999999999,0.3321699999999999,,,-0.40879,,-0.65578,,,,,
1,94,1,3,,,0.10662,,,,,-0.4457399999999999,-0.66095,,-0.68964,,,,,,,,,,,-0.517475,,,-0.49595,-0.653775,-0.60595,-0.7542,-0.70399,,-0.686055,,0.6805,,-0.463651,,,-0.201845,0.28595666666666664,0.14966,-0.18749,-0.420635,,,,,,-0.5963849999999999,-0.23412,-0.44573833333333335
1,84,1,1,0.3277685,1.2911000000000001,1.3249,,0.85845,,,0.7502800000000001,-0.31783,,2.2409,,,-0.8721699999999999,,,,,-0.12854,,,-0.20967000000000002,0.26355,,0.324392,-0.88569,-0.060943,,-0.22093333333333334,,0.07088,-0.42599,-0.8316100000000001,0.0337,-0.35839,-0.412475,-0.44627,-0.05148000000000004,-0.5544399999999999,,0.24327,-0.5544399999999999,-0.41923,-0.10826,-0.25023,-0.29417,,,,
1,820,1,1,,,,,,,,,,,,,,,,,,,,,,,,,-0.024647,,,,,,,-0.014877,0.17074,,,,,,,,,,,,,,,,,
2,260,1,1,,-1.3507,,-0.80893,-0.6289849999999999,-0.469875,-0.4130499999999999,-0.5134366666666667,-0.6573899999999999,,-0.41873249999999995,-0.043688,0.018820000000000045,-0.15165500000000004,-0.70285,,,,,,,-0.782405,-0.3192865,0.08890333333333333,,-0.30508,,,0.467735,0.36545,,,-0.54375,-1.1234,-0.6119399999999999,,-0.4641899999999999,,-1.112005,-1.1347,-1.015405,-0.8165,0.12679,0.31999,,,-0.18006499999999998,-0.06073500000000005,,
1,6,1,1,-0.034774,,,,,,0.5432600000000001,0.49204,,,0.33107,0.20668,,,-0.34208,,,,,,,-0.30549999999999994,-0.20306249999999998,-0.18111,-0.68598,-0.14453,0.038395000000000026,-0.23233,,,0.1115615,-0.411595,,0.067662,-0.29086,,,,,,,0.6457,1.4835,2.0871,1.1359,-0.75183,,,,
1,208,2,1,-1.0508,,,-0.73653,-0.592475,,-0.6550466666666667,-0.81511,-0.92861,-0.80638,-0.69288,-0.7518125,,,,,-0.9548,,-0.76272,,-0.96353,,-0.96353,,-0.59102,,,-0.6143,-1.1469,,1.2541,0.018674999999999997,,,,,-0.8413,-0.6055699999999999,-1.4699,-1.4786,-0.265075,0.54689,-0.11665,0.01868000000000003,,,,,,-0.81511
1,718,1,2,,,,-0.07422,,-0.44327,,-0.56629,,,-0.56629,,-0.93534,-0.8255049999999999,,,,,,,,,-0.57507,,-0.6893,,,-0.74203,,,1.2175,,,,0.42663,,,,,,,,,,,,,,,0.5848
0,99,2,1,,-0.526575,-0.5899833333333334,-0.64237,-0.2701699999999999,0.5983,-0.16677999999999998,-0.20813475,0.0524059999999999,-0.37769,-0.204,-0.43007666666666666,-0.23088249999999994,0.48250499999999996,-0.79952,-0.50176,,,,,,-0.81606,-0.65891,-0.97322,,,,,,,,,0.26469666666666664,-0.10198999999999998,-0.43559,,0.62312,0.20956,-0.1709099999999999,-0.62583,-0.34185,,0.068948,-0.5886049999999999,-0.45213,,,-0.76644,-0.303254,-0.45213
0,250,1,1,,,0.13063,,,0.17022,,,,,-0.7917050000000001,,,-1.03584,,0.28897,-0.26523,,-0.419611,,-0.518575,-0.661085,-0.9355600000000001,-0.62414,-0.58191,-0.70067,0.886695,,,,,-0.70067,,,,,,,,0.047500499999999994,,,,,0.23355,,,0.059377,,0.74817
1,81,1,1,,,-0.632865,,-1.0374,-0.3294910000000001,-0.5784100000000001,,0.3213266666666667,-0.6017466666666667,0.15473000000000003,0.10611250000000003,0.45616,0.2928,,,,,,,-0.93234,-0.5122829999999999,-0.47469433333333333,0.20464666666666673,0.2227933333333334,0.004991500000000003,,,,,-0.8817799999999999,,,,,0.89176,0.3083599999999999,-0.17392,1.125125,0.46393,-0.59915,-0.15058,-0.26726,0.41726,-0.3606066666666667,-0.34505,,-0.4902533333333334,-0.50581,1.8019
2,569,2,1,-0.6489475,-0.794995,,,,-0.795,-0.90454,1.1281,-0.14992,0.3856133333333333,-0.7706474999999999,-0.7658039999999999,,-0.40552,1.1159,,,,,,-0.33858,-0.39335000000000003,-0.016042499999999987,-0.21078166666666664,-0.6185200000000001,,-0.81934,-0.58809,-0.38726499999999997,,-1.2453,-0.98669,-1.154045,-0.63678,-0.089068,-0.6854600000000001,-1.1601,-1.2574999999999998,-1.2088,-0.92889,-0.7138466666666666,-1.020175,,,,-0.75849,-0.9836625000000001,,-1.0871,
2,578,2,1,-0.65799,-0.7087375,-1.151,,,,,-0.91899,-0.46948,-0.91899,-1.078495,-1.035,,,-0.62898,0.22653,,,,,,,-0.6217349999999999,,,,,0.45853,,,-0.13598,-0.7884899999999999,-0.96249,,-0.44048,,,,-0.44048333333333334,-0.58548,,-0.33172999999999997,-0.65799,,,-0.33898,0.67603,,,
1,137,1,2,,,,,,-0.1699,-0.64375,-0.42317,,-0.69277,-0.79898,,,,,,,-0.67643,-0.48035,,,-0.48035,-0.47627,0.0261779999999999,,-0.8153199999999999,,0.22225,-0.13722,,,,,,,,,,,0.51637,-0.231175,0.009838,,,0.050687,,,,,0.2059099999999999
2,119,1,1,0.47152,-0.8946299999999999,,,-1.1125,-0.5034866666666667,-0.49441999999999997,-0.4537718,-0.4867266666666667,-0.8820524999999999,-0.7228049999999999,-0.43366,,-0.3889666666666667,-0.15287,-0.80243,-0.52082,,0.06922,,,-0.31213275,-0.7186222222222223,-0.6627433333333334,-0.46718100000000007,,,,-0.35822450000000006,,,-0.91977,-1.0035866666666666,-1.0623,,,,,,,,,,-1.1964,,-0.67671,,-1.0958,-0.882055,-1.1628500000000002
2,68,1,1,,,,,,-0.7996300000000001,,,,,,,1.6396,,1.6396,-0.27286,,,,2.2323,,,0.18505000000000002,,0.2838199999999999,0.05934499999999998,,,-0.13819000000000004,,-0.6889033333333333,-0.838565,-0.564695,-0.91936,-0.816105,,,,,,,,,,,,,,,
1,826,1,1,,-0.51613,-0.80198,-0.068295,,-0.22709766666666667,0.741645,,-0.66858,0.51294,-0.21122,,0.3986,,,,-0.29697666666666667,,,,,-0.38273,0.45577,-0.14452,1.12755,0.408122,,,,,,,,,,,,0.1318,0.1318,,0.17945,,,,0.79879,,,,,0.30332
2,516,2,1,,-0.028039999999999954,-0.69214,,-0.23861,,,,,,,,,,-0.50857,,,,,,1.5863,1.5323333333333335,,,,0.91682,1.8347,,-0.18462,,-0.04783666666666663,,,-0.02264,,,0.04215,-0.2818,,,,,,0.025955000000000006,,,,,-0.19002000000000002,
2,711,2,1,-0.86874,-0.89534,-0.66927,-1.2544,-1.0881675,-1.2278,-0.735765,,-0.9352400000000001,-0.655975,-0.76236,-0.9596116666666666,-1.0150275,,,,,,,,-0.17724,0.12861500000000003,-0.4964,-0.12405,0.55415,,,0.062122,-0.017667,,-0.12405,-0.28363,0.022228,-1.27435,-1.1169799999999999,-0.32352,-0.41661,,-0.31022,-0.6205133333333333,,-0.90864,-1.08815,,,-1.281,,-1.1613,-1.29426,
1,98,1,1,-0.26126,,0.2783199999999999,,,,,,,,,,,,,-0.05537,-0.1547599999999999,,,,,,0.6191,0.16472,0.43096999999999996,0.6333,,,1.6912,,,1.7267,0.31382,0.12922,,,0.11502,,-0.16186,,-0.37485,,-0.42455,,-0.63044,-0.63044,,-0.3287035,,-0.31806
0,353,1,1,1.0988,-0.61911,0.450984,0.824515,,-0.64798,,,-0.13549,,-0.66723,-0.11384,,-0.22211,,-0.09940500000000002,,,,,,-0.82121,-0.88618,-0.85731,,,-0.30873,,1.0411,,0.27232649999999997,-0.211284,0.0738299999999999,0.0630015,0.81008,-0.52527,,,,,,,,,-0.175196,,,-0.39535,,
