fov,cellID,rep,dbscan_ldp_nbr_allele,chr17-g157,chr17-g158,chr17-g159,chr17-g160,chr17-g161,chr17-g162,chr17-g163,chr17-g164,chr17-g165,chr17-g166,chr17-g167,chr17-g168,chr17-g169,chr17-g170,chr17-g171,chr17-g172,chr17-g173,chr17-g174,chr17-g175,chr17-g176,chr17-g177,chr17-g178,chr17-g179,chr17-g180,chr17-g181,chr17-g182,chr17-g183,chr17-g184,chr17-g185,chr17-g186,chr17-g187,chr17-g188,chr17-g189,chr17-g190,chr17-g191,chr17-g192,chr17-g193,chr17-g194,chr17-g195,chr17-g196,chr17-g197,chr17-g198,chr17-g199,chr17-g200,chr17-g201,chr17-g202,chr17-g203,chr17-g204,chr17-g205,chr17-g206,chr17-g207,chr17-g208,chr17-g209,chr17-g210,chr17-g211,chr17-g212,chr17-g213,chr17-g214,chr17-g215,chr17-g216,chr17-g217,chr17-g218,chr17-g219,chr17-g220,chr17-g221,chr17-g222,chr17-g223,chr17-g224,chr17-g225,chr17-g226,chr17-g227,chr17-g228,chr17-g229,chr17-g230,chr17-g231,chr17-g232,chr17-g233,chr17-g234,chr17-g235,chr17-g236,chr17-g237,chr17-g238,chr17-g239,chr17-g240,chr17-g241,chr17-g242,chr17-g243,chr17-g244,chr17-g245,chr17-g246,chr17-g247,chr17-g248,chr17-g249,chr17-g250
1,189,2,2,,,,,,,,,,,-0.86504,-0.71925,,,,,,,,,,,,,,,,0.0421,-0.20088499999999998,-0.20088,-0.64635,-1.1404,-0.76379,-0.74355,-1.0351,-1.19305,,-1.0837,-0.77595,-0.90554,0.74675,1.7349,,,0.67386,0.13119,1.27729,1.8321,-0.3709699999999999,1.342075,0.4713699999999999,-0.046995000000000064,0.7089433333333334,-0.022694999999999993,0.27698,-0.16849,-0.35477,-0.23598333333333335,,,,,,-0.74355,,,-0.74355,,,,,,-1.1404,,,,,-1.373275,-1.2781,,-1.055375,-1.6021,-1.1485,-1.3024,,,,-0.929825,-1.27,-0.148238,,,,
2,244,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62357,,,,-0.38732,-0.66652,-0.55914,-0.72022,,,,,,,,0.42882,,,-0.3551,,,,0.4503,0.36439,,,-0.097374,,,-0.3336199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,2,2,0.37006,,0.31196,0.262565,0.274185,,0.5192,0.61411,,,,,,,,,,-0.23424,,,0.5153300000000001,1.09347,0.78843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3468199999999999,,,,3.1243,0.50371,,1.9186,3.8041,4.0714,,,,,,,,,,,,,,,,,,,,-2.4307,-0.55528725,,,0.54438,1.079
0,116,1,3,,,,,,,-0.9201550000000001,-0.62312,,,,,,,,,,,,,,,,,,,,,,,,,-0.019752,,-0.16827,0.082356,,,,,,,,,,-0.53957,0.97348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.078,,,,,,,-0.77164,,,-0.92944,
1,81,1,1,,,,,-0.7651,-1.4418,,,,,,,,,,,,,,-1.0529,,,-0.22837,,,,,,,,,,-0.8428899999999999,,-0.56285,,,,,,0.48727,,,0.14501,,0.3317,,-1.6363,-0.0514,1.4052,1.164,1.3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15279,,0.16057,0.17223500000000008,-0.70287,,,,,-0.4383899999999999,-0.45395,,
2,10,2,1,-0.6468,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3778066666666667,0.5530999999999999,-0.3582,0.5763400000000001,0.48917999999999995,,0.23835666666666666,0.274186,0.10858,,-0.16451,0.46303,0.17250349999999998,,,0.275156,0.387495,0.56472,0.003993,-0.3601433333333333,-0.1819445,0.096963,0.65478,0.0504779999999999,0.096963,,0.38749,,,,,1.9041,,,,,-0.152894,,-0.24005,,0.044669999999999946,,-0.225525,,,,,,0.14345,,,,,,,,,,,,,,,,,,
1,942,2,1,-0.458755,,,,,,,,,0.5684600000000001,,,,0.4126,,,0.5684600000000001,,-0.15413,,,,,,,,,0.15757,,,,,,,,,,,,,,,,,0.27092,,0.48345,,-0.9334,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5568,,,-0.32415,,,,,,,,,,,-0.0549535,,-0.097459,,
1,713,1,1,,0.71619,,,,-0.12634499999999999,0.098682,-0.0687789999999999,-0.4351,-0.4071900000000001,-0.079246,-0.0687789999999999,,0.82086,0.25044449999999996,,0.82086,,,,,-0.42463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0149509999999999,,,,,,,,,,,,,,,,-0.46649499999999994,,,0.4545399999999999,,,,-0.45603,,,-0.69676,,,,-0.45603,-0.48743,-0.14204,,,,-0.36184,0.11961,
0,55,2,2,,,,,-0.5489649999999999,,-0.36018,-0.654065,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.98687,,-0.96157,,,-0.96352,,,,,,,,,,,-0.95184,,,-0.90513,,,,,,,,,,,,,,,,,-0.54313,-0.6599,-0.4321899999999999,,,,,,,,,-0.86426,,,,,-0.0877059999999999,,,,,,
1,144,1,2,,,,,,,,,-1.1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11512,0.015496,,,,,,-0.22707999999999998,,,,,,,,,,,,,,,,,,,,,,,,,-0.32038,,,,,-1.188,,,,,
3,921,2,1,,,,,,,0.22302500000000003,-0.20935,0.10617,,,,-0.03406,,-0.057432,-0.1158599999999999,,,,,0.9008,,,,1.4383,,,,1.1813,,,1.5085,-0.1158599999999999,-0.12754749999999995,0.06331966666666665,,0.059426,-0.0457459999999999,-0.12170500000000001,,1.0293,,0.45674,,,,,,1.2981,,,,1.0878,,1.0644,,,,,0.53854,,,0.071111,-0.17429,0.55023,,0.3282,0.23471,,,,,,-0.3145199999999999,0.36325,,,,,,,,,,-0.6066600000000001,,,,,,,,,
1,94,1,2,,,,,,0.931565,,,,,,,,,,,,,,,,,,,,,,,,-0.42422,,,,,,,,,,,,,,,,,,,,-0.044025,,,,,,-0.10500000000000001,-0.15163000000000001,-0.348895,-0.28075,,,-0.35248,,,,,,,,,,,,,,,,,,0.99257,,,,1.6131,-0.19825500000000001,,-0.18032,-0.38118,-0.15162550000000002,,0.049231,,,
0,215,1,1,,,,,,,0.21602,,-0.36008999999999997,,-0.414085,-0.48971,,,0.24242333333333332,,0.25922,-0.21606,,,0.2016099999999999,,,,-1.0514,-0.15125,-0.91459,2.542,1.7427000000000001,2.7581,-0.021628,-0.831765,-0.8785799999999999,0.190815,0.1512,,-1.2218666666666667,-0.08283500000000005,0.64089,-1.1306266666666667,,-0.36010500000000006,1.4474,1.253,,0.64089,,,-0.05043499999999998,-0.53292,,,-0.15845,,0.38885,-0.37449,-0.5209166666666666,-0.73456,0.30963,-0.640945,-0.30248,,-0.7093349999999999,-0.2208566666666667,,-1.2314500000000002,-0.7651525,-0.675155,-0.7993699999999999,,,,0.1296,,,0.26642,,,-1.3827,-1.3395,-1.0082,,-1.2026,-1.0082,,,,,,,,,,
2,1001,1,2,,,,,0.81679,,,,-0.83401,,,,,,,,,,-0.92166,-0.92166,,,-1.0093166666666666,,,1.8247900000000001,1.7956,1.6057000000000001,1.4742,,,,0.5903499999999999,0.78757,,,1.4742,1.3621703333333333,0.39313,,,,2.08776,0.52461,2.0293,1.4401066666666666,0.52461,-0.17661,,1.6495,,1.6495,1.0505,,0.59765,-0.3519199999999999,-1.1116,,,-0.24966,,,-0.46879,,-0.24966,,,,,,,,,,,-1.0239,,,,-0.71714,0.15939,,,,0.5026985,1.1528,0.8752200000000001,0.26165000000000005,0.80218,,,,,-0.33731
2,636,2,1,,-0.1592299999999999,-1.0083,,,-0.07998549999999995,-0.2498,-0.58659,,-0.64603,-0.67999,,,0.11247,-0.19319,,-1.013965,-0.14224999999999993,,,0.21435,-0.057344,0.033223333333333306,,,,0.49737,0.044543,,0.82568,0.58794,1.5728,0.7313366666666666,1.61815,1.4501983333333335,,1.915325,1.3690949999999997,0.92756,1.61247,-0.060176250000000014,,0.49737,0.42945,0.2973726666666667,0.11813000000000004,,,1.5162,0.91626,,1.48795,,,0.4219033333333333,-0.18941999999999995,0.63322,0.73511,,,,,-0.34036,-0.29508,-0.23848,0.7388766666666666,-0.5667800000000001,-0.759235,-0.3705533333333333,-0.23093333333333332,,-0.18187,0.33888,,,1.4257,-0.034703,,,,,-0.51018,,,,-0.289425,-0.13659,,,,,-0.29508,,
0,89,2,2,,-0.43992,,,,,,,,,,,,,,-0.94231,,,,,,,,,,,,,,,,,-1.0851,,,,,,,,,,,,,,,,,,,,,,,,,,-0.080308,,,-0.43463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,1,-0.19177,-0.594,-0.43809000000000003,-0.2666,-0.4973366666666667,-0.92139,-0.92139,-0.76237,-0.20111833333333332,2.4742,,,,,,,,-1.0524,,-0.81382,-0.5893200000000001,-0.273615,0.50358,0.4724,1.1927,2.1374500000000003,,1.3423150000000001,,1.0056,-0.52852,4.9437,1.086028,2.9076166666666663,3.4064616666666665,2.483546666666667,2.64816,1.0312875,2.07193,0.0701562857142857,1.190325,-1.688425,-0.7997755555555556,0.13330000000000003,1.5687039999999999,0.05611749999999993,0.31960999999999995,0.5783966666666667,1.27216,1.31427,1.5083674999999999,1.31425,1.492,1.1318650000000001,1.4857333333333334,0.50045,0.657135,0.364808,0.16930640000000002,0.41392500000000004,0.25724,,,,,0.35078,-0.6127,0.0444275,-0.83721,-0.2291833333333333,-0.10446,,-0.98687,-0.48642499999999994,-0.40691,,-0.59865,-0.90269,-0.8839750000000001,-0.5519050000000001,-2.1537949999999997,-3.6715,-0.09510233333333333,-0.028064999999999993,,,0.360135,-0.2666,0.71559,,0.64076,0.799785,,0.69688
2,516,2,1,-0.36459,,,-0.4275835,,-0.055036,-0.40922400000000003,-0.546365,-0.7515350000000001,,,,,,-0.34659,,,-0.6975450000000001,,-0.90811,-0.80013,-0.616556,-0.21161499999999994,-0.87572,-0.89731,-0.702945,,-0.89731,-0.49777,,-0.83252,-0.76773,-0.20351575000000002,-0.4185836666666667,,-0.956715,-0.10903,-0.001045000000000046,-0.62735,-0.83792,,,-0.7677350000000001,,-0.91891,,,,,,-1.1529066666666667,-0.5949833333333333,-0.8757143333333334,,-0.962105,-0.49777649999999996,-0.346595,-0.22241316666666666,-0.10902666666666672,1.5053,-0.38979,-0.38979,,,,-0.51937,,,,,-0.43298,,,-0.89731,,-0.492375,0.8196399999999999,0.13393749999999996,-0.54097,,0.94922,-0.55176,,0.085344,,-0.017242999999999946,0.3013133333333333,0.79264,,0.3790728,1.2408,0.0961419999999999,1.2731599999999998,0.20413
1,189,2,3,-0.71115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49246,,,-0.3952699999999999,-0.28998,-0.12393900000000004,,,,,,,,,-0.24138,,,,,,,,,,,,,,,,,,,,,,,
2,1001,1,1,-0.8194,,,,0.59765,,,-0.61488,,,,,,,,-0.8778299999999999,,,,,,,,,1.3865,,,1.1674,,1.16008,,-0.030525999999999998,0.38825333333333334,,1.92705,3.198,0.40774,-0.235045,0.10582366666666666,,3.25645,1.1381766666666666,2.56983,,1.07245,0.4515666666666666,1.4814850000000002,,2.08045,,-0.45418,,-0.6587,-0.571045,1.013995,0.27626,-0.030524,,3.9577,,,,,,,1.54722,1.3281,0.8386975000000001,-0.51261,,,,,,,,,,-0.6733100000000001,,,-0.79018,,-0.61488,,,,,0.74374,1.6494666666666669,,,,
1,194,1,1,,,,,,,,,,,-0.24064766666666668,-0.40756,,-0.2631199999999999,,,-0.52312,,,,,,,,,,,,,,,,,,,,,,,,,-0.72534,,,,-1.0528,-0.9307933333333334,,,,-0.77349,,,,,,0.073923,,-0.099412,-0.7783100000000001,,-0.55201,,,1.7206,,,,,,0.3917,,,-0.015953333333333337,-0.10904,,0.46874,0.12207,,,-0.14756,0.049850000000000005,,,,,,,,,,,,0.035404
0,885,1,2,,0.3013699999999999,,,,,,,,,,,,,,,,,,,0.35504,,,,,,,0.39337,1.6353499999999999,0.918535,1.68135,,,,,-0.36562,,,,,,,0.35504,0.477705,0.6080399999999999,0.85847,1.3287,,,-0.058953,0.78437,-0.074287,,,,1.6124,0.573535,0.99136,,,0.891715,1.106385,0.5697,0.50837,0.5237,0.5467,0.6617,0.14038,,,,1.0527,,1.2827,,,0.50837,,,,,,,,-0.058953,,,,,,,-0.44994666666666666,,1.6814
0,5,2,1,-0.19448999999999997,,,-0.18517,-0.77537,-0.58122,,-0.76139,,-0.8002199999999999,,,,,,,,,,-0.7474133333333333,-0.70703,-0.78003,-0.7862399999999999,,-0.39019,0.2667966666666666,,0.5743199999999999,,-0.38087,,0.02566750000000001,0.80262,0.66285,1.1288,0.09206500000000001,0.6954600000000001,0.101385,0.7676999999999999,,0.420555,1.6739,,0.8166100000000001,0.7271560000000001,0.3576549999999999,0.8492200000000001,0.33668,0.7047833333333333,0.56966,0.972715,1.2313,,1.1521,,,0.6255633333333334,1.1707,0.2683466666666667,-0.06495999999999999,1.0588916666666666,0.49043500000000007,-0.33893,,-0.37854,,0.07575499999999999,0.1736,,-0.43212,-0.56725,-0.5043424999999999,-0.2504,-0.5695749999999999,,-0.59054,,1.6227,-0.83283,,0.4888966666666667,0.78399,-0.35291,0.70944,-0.8840899999999999,-0.8374950000000001,-0.8258449999999999,,-0.893405,-0.32263,,,,
2,43,2,1,0.07297000000000003,-0.19714,-0.38465,,0.184585,-0.37126,,,-0.016321,0.037254,,-0.016321,-0.06655,0.0874785,0.10422,0.8341799999999999,,,,-0.3344225,-0.38911,-0.55877,-0.0632,,,,0.274995,-0.39135,0.09864166666666667,-0.12346966666666663,0.030558000000000002,,-0.588905,-0.5102150000000001,-0.65252,-0.45608333333333334,-0.27247575,-0.15360499999999996,-0.35619,-0.012970749999999996,0.2180699999999999,0.17621450000000002,0.0015400000000000136,0.16449,0.09529166666666666,0.3095933333333333,0.546215,0.334604,-0.18374,0.037253400000000006,-0.07458359999999999,-0.04143424999999999,-0.23731533333333332,0.10310800000000002,-0.3321908333333333,1.1021,-0.43153,-0.12012224999999997,0.15445,0.61988,-0.089987,0.3386133333333334,,-0.08329,-0.68601,-0.5833233333333333,,-0.1368675,-0.51524,-0.45832,,-0.65922,-0.6324350000000001,-0.6101133333333334,-0.57216,-0.44492,-0.5051899999999999,0.5841599999999999,0.9915499999999999,,0.4390699999999999,-2.7353,0.4390699999999999,1.3699,,-0.056503,,,,,,,,
2,172,2,2,,,,,-0.057237,,,,,,,,,,,,,,-0.5776,,,,,,,,,,,,,,,,-0.66943,,-0.7510600000000001,,-1.0572,,,,,,,,,-0.81228,,,-0.69494,-0.6762366666666667,,-0.81228,-0.76126,-0.8735,-0.72045,,-0.5674,-0.8735,,,,,-0.2409,-0.74085,-1.1286,,,,,-0.64392,,,,,-0.74085,,,,,,,,,,-0.43476,,,,,,,
2,199,2,2,,,-0.079199,-0.12161,0.039554,,,0.048037,,,-0.7238600000000001,,,,1.4137,,,,,,-0.74931,,,,-0.89351,-0.9444,,,,,-0.93592,,0.039554,,,,-0.656,,,,-0.091922,,,-0.20643,,,,0.43823,,-0.42698,-0.34215,-0.4948399999999999,,,,,0.2261699999999999,0.315233,-0.626315,-0.35487500000000005,,,,,,,-0.89351,-0.7832399999999999,-0.448185,,,,-0.20643,-0.27429,,-0.63904,-0.44818499999999994,-0.660245,-0.79172,,,,,-0.6984100000000001,,-0.71538,,,,-0.6390399999999999,,,,
3,62,2,1,,-0.55175,,,,,,,-0.51879,,-0.64237,-0.66983,,,-0.003872500000000001,-0.5187900000000001,,-3.0893,-3.0893,,-1.8727066666666667,,,,,,,,,1.6315,,3.2875,1.4942,2.7355,1.1701,1.3843299999999998,1.10013,1.82305,0.71289,3.0238,0.3462699999999999,0.7005466666666665,0.37098600000000004,0.41218,0.41218,0.75654,0.391585,0.7994,2.0187500000000003,0.75203025,1.096015,1.1179736666666666,0.9998833333333333,1.4612666666666667,2.2412,,2.27,-1.6557500000000003,-0.24691,-0.34577499999999994,,-0.9774233333333333,-0.48995500000000003,-0.72201,,-0.28399,-0.65575875,-0.46661,-0.38697299999999996,,0.024963,-0.25515,0.0332019999999999,,0.18149699999999996,0.10323199999999999,-0.073901,-0.0162305,-0.23868,0.432775,-0.4858399999999999,,-0.37049,-0.32106,-0.213959,-0.17276666666666662,-0.37873,-0.4858366666666667,-0.31556999999999996,-0.098617,-0.38285,-0.32106,,-0.29635
3,741,2,1,,-0.31553714285714285,,,,,-1.07435,-0.5672240000000001,-0.7267950000000001,-1.0088,-0.54974,-0.8557600000000001,-0.68089,-0.4317,-0.530065,-0.8317,0.66999,,,,-1.1793,-0.0775894,,,,1.27329,2.5586,,-0.35301,0.24592333333333335,1.2689033333333333,,-0.389073,-0.33552000000000004,0.12438900000000001,,-0.32678,0.008974000000000005,-0.064472,1.0328633333333335,-0.071025,1.1762320000000002,,-0.15190666666666663,1.7880800000000001,3.1947,1.957918,0.847045,1.1508666666666667,0.6087913333333334,0.21095,0.90605125,,0.32242800000000005,1.0011700000000001,,,-0.48416,-0.49728,0.27653,0.46670000000000006,-0.24808666666666668,,,-0.49072,-0.162835,-0.37268249999999997,-0.392355,-0.059225799999999995,0.27652499999999997,-1.1137,-0.89074,,-0.45793,-0.569415,-0.32678,,0.04045000000000004,,-0.09070199999999996,-0.14972000000000002,0.61752,0.66999,,,,,,,-0.52788,,,-0.425145,
2,30,1,2,,,,,,,,,,,-0.40064,,,-0.94724,,-0.094548,,,,,,,,,,-1.2643,,,-1.2861,2.54,,,,3.5239333333333334,,1.5234,2.5291,1.1517,2.0809,0.5395,,-0.466235,0.3318,0.58323,0.30993,1.1626,0.282605,,,,,0.12409,,,,,0.49577,0.04210000000000004,1.2993000000000001,,-0.14373999999999995,,1.0424,,-0.9363250000000001,,,-0.7723300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
3,353,2,2,,-0.3690366666666667,,,0.09137500000000001,-0.67597,-0.549195,,-0.90284,-0.66263,-0.5825400000000001,-0.8628100000000001,-0.72936,,,,,1.0456,0.8186899999999999,,,,,0.48506,,,,1.1924,,,,4.5153,2.529542,1.4703816666666665,2.2366115000000004,0.9334579999999999,1.112305,3.0847,1.9664,2.75375,0.6808016666666666,1.5393299999999999,0.8186899999999999,1.6261,,0.9067670000000001,0.97218,3.0962666666666667,2.7848666666666664,2.2199,4.5954,0.9721599999999999,3.1807999999999996,4.0883,5.1959,0.9165533333333333,,1.4993,1.4993,0.77865,1.8396,,,,,1.8997,,,1.2991,,3.6212,,,,,3.2208,,,1.2991000000000001,,,1.3792,,1.0589,2.1265,,0.11139,,,,,0.2315,0.11139,0.18478999999999998
1,233,1,1,,,0.4111399999999999,0.4111399999999999,0.21466,,0.1368895,,,1.0319666666666667,,0.5421199999999999,,,,0.009999,,0.91871,,0.8450200000000001,1.3116400000000001,2.073,1.8315,2.03615,,,,1.5982,0.599405,0.050929499999999996,,,,-0.4975699999999999,0.90233,2.4005,,-0.14827333333333337,0.75908,,,0.10005,1.5081,0.828635,2.9817,,1.8274,2.0321,2.1917,,1.0661,2.6952,,1.9216000000000002,1.5954500000000003,,,0.42751,0.1246099999999999,0.24740999999999996,0.38658,,-0.16192,,-0.5589649999999999,0.3129,0.292415,,,0.11233000000000004,-0.100517,1.0661,0.20648,-0.022747,,,-0.6121800000000001,,,,,,-0.58762,,,,-0.26834499999999994,1.1806566666666667,,0.65264,0.3129,0.6676626666666667,1.59,
2,555,1,1,-0.99746,,-0.17757000000000006,-0.710785,-0.57318,-0.464245,0.0575049999999999,,,-0.8770600000000001,,-1.0204,,,,,,,-1.2268,,-0.92866,-0.91719,-0.45851,-1.1236,,-0.4126399999999999,,,-0.37250999999999995,-0.36678,,,-0.07436750000000003,,0.5649275,1.020745,1.332632,-0.2291699999999999,1.5214446666666666,0.20658,0.36138000000000003,0.42215199999999997,0.3843155,,0.9481033333333334,1.9037,2.0184,,,-0.5273100000000001,-0.0571659999999999,2.1101,1.53673,0.5849766666666668,0.5505899999999999,,,-1.0204,,,,,,-0.72225,,-0.785325,-0.48144666666666663,,,-1.02041,,-0.6763899999999999,,,0.39005,0.27538,-0.051430000000000003,,,0.0919059999999999,0.30978,0.30978,1.1354,0.5333800000000001,,,,,0.72259,,0.60792,,,
0,648,2,1,-0.4936775,-0.43954000000000004,-0.75389,-0.67006,,,,-0.36968,,-0.62815,-0.5722659999999999,-0.8377100000000001,-0.78183,,-0.47912333333333335,-0.1391599999999999,-0.60021,,,,,,,,,,,,,,,,-0.48145,-0.69451,-0.21250999999999998,-0.3749225,0.0564289999999999,-0.682285,,,,,,,,-0.1671099999999999,,,-0.12519,,0.99947,,1.3068,0.856265,1.237,,,,0.73402,1.0833,,0.9365966666666666,1.1322,,1.5164,,0.69909,,,-0.17409,,,,,,,,,0.0424579999999999,0.2310699999999999,,-0.29983,,,,-0.53035,,,,,,,,
2,80,2,1,0.5442750000000001,,-0.52571,-0.02086,-0.35617,,,,-0.028395000000000045,0.22403,,-0.42022,0.2202599999999999,0.819315,,,,,,-0.42022,,,,,,1.3656,0.4011099999999999,0.23533,,,,,-0.13389,0.2428699999999999,0.062027,-0.04534875000000003,0.480225,0.6874399999999999,-0.043465,,,0.3785,0.046956,0.8532150000000001,,,-0.17344549999999997,,,,1.3844500000000002,0.849445,1.1848,,0.31822,,,0.75526,,,0.12984,,-0.11882,,0.39357,,,0.34836,,,0.59702,,,-0.028395,-0.40515,,,,,,,,,,,,,,,,,,,
0,275,1,1,0.60593,1.6522,1.10042,,,,,-0.082063,,,,,0.039769,-0.770055,-0.096396,-0.21823,,0.62743,,,0.26193,0.5342600000000001,,0.3766,,0.8388175,,0.21893,1.0431,2.2614,-0.79872,-1.05314,-0.9277150000000001,,,,0.7510475000000001,0.46617000000000003,0.039769,0.38616000000000006,1.706,1.7526,-0.34363999999999995,1.738265,1.3584142857142858,1.3083,0.24997333333333338,0.545015,1.05023,,1.7239,0.48946999999999996,0.6584866666666667,1.1529833333333332,0.47693399999999997,-0.08444999999999997,0.75167,2.1252,-0.0229375,0.9666566666666667,,,-0.5765600000000001,-0.60522,,-0.80589,-0.716305,,,,-0.099978,-0.48339,,,,,,,,,,,-0.1895599999999999,-0.074896,,-0.77722,,-0.24689550000000002,1.4981499999999999,-0.53356,,1.3943,,
