fov,cellID,rep,dbscan_ldp_nbr_allele,chr2-g150,chr2-g151,chr2-g152,chr2-g153,chr2-g154,chr2-g155,chr2-g156,chr2-g157,chr2-g158,chr2-g159,chr2-g160,chr2-g161,chr2-g162,chr2-g163,chr2-g164,chr2-g165,chr2-g166,chr2-g167,chr2-g168,chr2-g169,chr2-g170,chr2-g171,chr2-g172,chr2-g173,chr2-g174,chr2-g175,chr2-g176,chr2-g177,chr2-g178,chr2-g179,chr2-g180,chr2-g181,chr2-g182,chr2-g183,chr2-g184,chr2-g185,chr2-g186,chr2-g187,chr2-g188,chr2-g189,chr2-g190,chr2-g191,chr2-g192,chr2-g193,chr2-g194,chr2-g195,chr2-g196,chr2-g197,chr2-g198,chr2-g199,chr2-g200,chr2-g201,chr2-g202,chr2-g203,chr2-g204,chr2-g205,chr2-g206,chr2-g207,chr2-g208,chr2-g209,chr2-g210,chr2-g211,chr2-g212,chr2-g213,chr2-g214,chr2-g215
2,516,2,2,,,,-0.33,-0.309925,,0.14728,,,-0.294315,,-0.41252,,0.0290779999999999,-0.32108,,0.12944166666666665,-0.037831,0.219209,,0.073684,-0.077976,-0.086897,0.13613,,-0.26978,-0.22741,,,,-0.23187,-0.34709999999999996,-0.4259,-0.1902363333333333,-0.4482,,-0.0846669999999999,-0.026679,,0.08037425000000001,,-0.408055,-0.27814724999999996,0.07479899999999995,0.12052,,,,-0.32554,,,,,,,0.149511,0.073684,0.082605,0.04023,,,,0.19189,,,-0.1538065
1,208,2,2,,,-0.38309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21584,-0.1917299999999999,,-0.2218699999999999,,,,,,,,,,,,,,,,,-0.34693,,-0.34014999999999995,-0.39515,,,,,-0.17968,,-0.33036,-0.2550199999999999,
2,648,2,1,,,,,-0.7801833333333333,,-0.57801,,,-0.7259399999999999,-0.73334,-0.596505,-0.5410299999999999,-0.30064499999999994,-0.38078,,,-0.33886,-0.30188,,-0.44488,-0.158885,,-0.3240699999999999,-0.43995,,,,,,,,,-0.3789275,,-0.3363999999999999,,,-0.31503,-0.04547,0.0852,-0.06766,,0.013701,,-0.563225,-0.5977399999999999,-0.6421166666666667,-0.30188,,-0.57062,,-0.76909,0.0852,,-0.43995,,,,,,,-0.54843,-0.2612,,-0.2427099999999999
2,260,1,1,-0.35706,-0.44814499999999996,,,,-0.31211,,,,,,,,,,,,-0.11692,-0.19618,0.012024666666666664,,,-0.040026,-0.30028,,-0.3144699999999999,,,,-0.3357699999999999,-0.25059,-0.44933,-0.2435,-0.2435,,,,,0.08537000000000002,0.16818,,-0.2837199999999999,,-0.3263,-0.34996000000000005,-0.53687,,,,,-0.45879,,,,-0.28845,-0.5132099999999999,-0.37362,-0.3263,-0.3286699999999999,-0.3476,-0.4304,,-0.30974,-0.3404949999999999,,
2,1001,1,1,,,,0.003766,,-0.10638,,,,,-0.25979,,,,-0.3188,-0.38764,-0.11424,-0.307,,,,-0.2401199999999999,,,,-0.16145,0.16505,-0.17325,,,,-0.17455999999999997,-0.24143666666666666,-0.36468999999999996,,-0.20079,-0.20471900000000007,,-0.11227950000000005,-0.163022,-0.52728,0.074573,-0.0847435,-0.20079,-0.38567,,-0.090642,,,-0.059173,,,-0.151615,-0.01983500000000002,-0.12604500000000002,0.04605399999999997,0.07457,,0.255523,0.13947900000000002,0.17292,0.30273,-0.078841,,0.06932866666666666,-0.11424
3,741,2,2,,,,-0.31531,-0.28868,-0.45403,,-0.4373899999999999,,,,,,,,,-0.22875,,-0.552805,-0.53505,,,,,,,,-0.16216,,,,,-0.28202,,,,-0.13775,,,,,,0.28175,,,,,,0.55253,0.12637649999999995,0.22848,0.4149199999999999,0.4149199999999999,0.16633,0.23292,,,0.22182,,,0.19518,,,,0.23291766666666666,0.17521
2,210,2,3,,,,,,,,-0.51856,,,,,,,,,-0.30332,-0.47833,-0.37842000000000003,-0.5004599999999999,-0.36568,-0.18061,-0.34556,-0.47028499999999995,,0.15332,,,,0.16136,,-0.1973756666666667,-0.5990233333333334,-0.456205,-0.06443925,-0.007613,-0.474305,,,,,-0.3697,-0.13937449999999998,,,,,,,,,,,-0.0921,-0.023705,-0.06528000000000005,0.5113800000000001,0.142255,0.10000500000000004,0.38666275000000006,0.08492366666666669,,,,-0.345566,
1,142,2,1,-0.020469,,-0.05504500000000001,-0.1686625,-0.0053412500000000005,0.02966879999999994,,-0.046403,-0.21188,-0.04640249999999997,-0.1458155,-0.1828599999999999,0.043747,0.11784,,,,,,,,,,,,,,,,,,,-0.16619,,-0.0958,,,-0.28845,,,,,,,,,,,,,,,,,,,,,,,,0.080795,,,,
0,55,2,1,-0.31693,,,,,,,,-0.49385,,,,,,,,-0.017759,,,-0.15688999999999995,-0.051536,,,,,,,,,,,,,,,-0.24133,,-0.11587,,,,,,,,,-0.1367799999999999,,,,,,,,,,,,,,,,,,,
2,1229,1,1,,-0.66237,,,,,,,,,,,,,,,,-0.59735,-0.2614599999999999,,,-0.41857,,,,,,,,,,-0.2614599999999999,,-0.3860699999999999,0.0581799999999999,-0.0718429999999999,,,,,,,,0.35615,,,0.2098699999999999,,,,-0.54318,,,0.025674,-0.29938,,0.258633,0.004003,,1.288,,,,-0.066426,,
2,210,2,2,,,,,,-0.7519100000000001,,,,,,,,,,,,,-0.41195,-0.47028,-0.41798,-0.43609,,,,,,,-0.024711499999999997,-0.090089,-0.02974,,,,,,,,-0.53063,-0.1051765,,-0.10819,,,,-0.1263,,-0.61311,-0.41999,,-0.55075,,,,,,,,,,-0.46023,,-0.5658350000000001,,-0.43709,
1,98,1,2,,,-0.5154449999999999,-0.47329,,,,,-0.35608,,-0.54938,,,,,,,,,,,,,,-0.2244699999999999,,,,-0.163805,-0.12165,,,,-0.18745,,,,-0.1278099999999999,,,,,,,,,-0.64603,,-0.77558,,,,,,,,,,,,,,,,,
0,885,1,1,,,,,,,,,,,,0.23604,,,,-0.18324849999999995,0.81257,1.1952,,1.583,0.71823,1.6197,-0.17801,,-0.2566199999999999,-0.5082,,0.550515,,-0.02862999999999999,0.55576,,,,,,-0.41386,,-0.57633,-0.1937299999999999,-0.44530499999999995,,,0.0224675,0.1417,-0.026014999999999996,,,1.2371,,1.4468,,0.48238,,0.20983999999999997,,,0.73395,,1.36025,,0.15219,0.36707,,,0.19586433333333333
2,555,1,1,,,0.091024,,,,0.033295000000000005,,0.04213333333333328,0.158635,-0.39517199999999997,0.017689999999999997,0.20025,0.44366,-0.20856,,,-0.0728115,,-0.236645,,-0.4862899999999999,-0.093094,0.02133099999999996,,,-0.1711099999999999,,-0.0119569999999999,-0.002595,,,0.51855,-0.4394899999999999,0.009887,-0.62048,-0.39268,,,-0.021319,,0.02340933333333332,-0.08477266666666666,-0.005716,-0.1711099999999999,-0.06657,,,0.0005300000000000027,-0.0587669999999999,,-0.0774909999999999,0.0442139999999999,,-0.05720849999999995,0.041094,,-0.0743695,0.025491,-0.086853,-0.055646,0.334435,,-0.071249,,
0,646,2,1,0.031452,,,0.27,0.39095,,,,,,,,,,,,-0.096221,,-0.11974099999999996,-0.11974,,-0.054223,-0.26085,,,-0.11974,,-0.16342,-0.2339699999999999,-0.26421,-0.2664533333333334,0.044892,,-0.059262999999999996,0.08185,0.12048599999999995,-0.21718,,-0.37173,0.024733,,-0.22725,-0.076062,,,-0.27093,,,0.5555899999999999,,,0.25151999999999997,-0.079422,-0.049184,0.081849,0.31032,0.29688,-0.35493,0.28008,0.30024,,0.40607250000000006,0.206165,0.5040666666666667,0.569025,0.5673389999999999
1,142,2,2,,,-0.12914,,,-0.014294,,0.011639,-0.001945,,-0.094565,,,-0.11432,-0.0958,,,,,,-0.19089,,,,-0.5873,,,,,,,,,,-0.073571,-0.12049750000000001,-0.0488725,-0.066161,,,-0.2477,-0.2477,,,-0.32303,,,,,,,,,,,-0.046403,,,,,,-0.49962,-0.062457,-0.10321,,-0.046403
1,189,2,3,,,-0.5393399999999999,-0.37412,,-0.40152,-0.5038699999999999,-0.26532,,,,,,,,,,,,,,,,,,,,,,,,-0.14281,,,,-0.1089599999999999,,,,,-0.055773,,,,,,,,,,,,-0.14281,-0.201645,-0.2298599999999999,-0.236305,,-0.19439,,,,,-0.13798,,-0.079951,
1,189,2,2,0.011926,-0.037237,-0.18795,0.081237,,,0.000643,,,-0.06813133333333334,-0.057385,,,,,,0.25854,0.1114575,,,,,,,-0.0461009999999999,,,-0.42973,,-0.51193,,,0.06673,-0.0783389999999999,-0.12024833333333333,-0.044489,-0.020310250000000002,0.061894,0.006284999999999999,0.047388,,-0.234695,,-0.11098,-0.26854,-0.11219,,-0.24516649999999995,0.029657,-0.39749,-0.16377,-0.39749,-0.0638305,-0.1557103333333333,,-0.168605,-0.075115,,-0.143888,-0.104127,-0.0783389999999999,-0.020311,-0.071891,,0.0030610000000000004,-0.12830999999999998
2,841,2,1,,,,,,,,,,,-0.18979,,,-0.1013299999999999,,,,-0.36939,-0.36939,,,,-0.37743,,-0.17906999999999995,,-0.3962,,,,,-0.44713,,0.56347,,,,,,,,,,,,,-0.18711,-0.05978,,,,,,,-0.018228,,-0.023589,,,,,,-0.32382,-0.3202466666666666,-0.30238,-0.28495499999999996
0,116,1,2,,,,,,,,,,,,,,,,,,,0.15332,0.15332,0.19780999999999999,-0.09829100000000002,,0.018429,,,-0.050453,,0.1734099999999999,0.20786,,,,,,,,,,-0.070544,-0.44366,,-0.21979,,-0.48671,,,-0.10211,,-0.090635,-0.15378,0.0069489999999999,-0.064804,,0.37288449999999995,,,0.13897,,0.30831,,0.46903,,0.22221,,0.3154855
3,27,2,2,,,,,,,,,,-0.6603899999999999,,,,,,,,0.3377699999999999,,,,,,,,0.034237,,-0.21968,-0.012461,,,-0.2226,-0.05624,-0.21189966666666668,0.0546669999999999,0.3728,,,,,,,,,,,,-0.16715,0.1218,,0.075098,,-0.5572666666666667,0.4224133333333333,-0.037757000000000006,0.27793999999999996,0.05466500000000005,0.2867,0.442845,0.5916899999999999,0.48078499999999996,0.37396379999999996,0.2327,-0.047484,-0.047484,-0.088347
1,208,2,1,-0.30323,,-0.14878999999999998,-0.1902299999999999,,,,-0.13297,,-0.27762,-0.1201625,,0.0177039999999999,-0.029005,0.029758,-0.206805,,0.005650999999999989,-0.19324,-0.1359835,-0.156073,-0.18742785714285715,-0.21383233333333332,-0.071696,,,,-0.06366,0.38837,-0.01694949999999995,-0.27913,0.013185000000000002,0.6528,,0.08902666666666668,-0.22639333333333334,-0.10321250000000001,-0.2410775,-0.20152999999999993,-0.062153,-0.187965,-0.34617499999999995,,,-0.1179,-0.25150333333333336,0.08601266666666667,-0.049593333333333295,0.25276,-0.07119333333333333,0.37631,-0.3680199999999999,-0.2098199999999999,-0.239949,-0.009417,0.0011310000000000024,-0.2595366666666667,-0.10635133333333334,-0.09756224999999999,-0.15255849999999999,-0.5056433333333333,-0.10584875000000002,-0.197762,-0.23693660000000002,-0.06165333333333334,-0.16913285714285714
3,157,2,2,,-0.034929999999999996,,-0.028043,,,,,-0.3693099999999999,,,-0.23769499999999993,0.089793,-0.18413666666666664,-0.27799666666666667,-0.20862,,-0.21626999999999996,,-0.043344999999999995,,-0.25988999999999995,-0.12751349999999995,-0.15556899999999999,,-0.13822849999999995,-0.23464,-0.06171,,-0.12445249999999995,,-0.06324049999999995,0.036231,0.030623333333333332,0.1051,0.04969799999999998,0.07703899999999998,0.13264399999999998,,,,,,-0.51622,,-0.30197,,0.28415,-0.1122099999999999,-0.22393,-0.318804,0.1081599999999999,-0.2025,-0.12904499999999997,-0.28055,-0.17036149999999994,,,-0.45959500000000003,0.14182,-0.296615,-0.44888,-0.198291,0.16325,0.247418,-0.26218
0,544,1,1,,,,,,,,-0.46875,,,,,,,,,,,0.34469666666666665,,,,,,,,0.20811,,,,,0.18686,,,,,-0.40501,,,,,,,,,,,,,,-0.1075599999999999,,,,,,,,,0.16258,,,-0.46268,0.06544999999999995,,
0,99,2,2,,,,,,,,,,,,,,,,,,,0.2474199999999999,,,,,0.7689233333333333,,,,,,,,-0.031421,,0.21810433333333334,-0.25225,0.09084633333333332,-0.02805140000000002,,-0.01457799999999995,,,,,1.054,,,-0.2279199999999999,,,,0.25771,-0.20733,0.7358600000000001,-0.33646,0.25303,0.1080015,0.40836,0.38216,,,0.017236,0.41491,1.1813,,0.07462666666666667,0.38216
2,244,2,1,-0.4335,,,0.073013,0.18489999999999998,,,0.052913,,0.002664,-0.0335149999999999,-0.191295,-0.21340499999999998,-0.047585,,,,-0.13401,,,,,-0.18225,,,,,,,0.5353,-0.11391,0.169491,,-0.28878,0.095122,-0.083764,,,,-0.23451000000000005,-0.063665,0.23883499999999996,-0.09180140000000003,0.1902613333333333,0.43481,,,,,,0.34034,,,-0.42546,0.474,,,0.444855,,0.8508700000000001,,0.93528,0.15542499999999998,0.60866575,0.0318085,0.46227333333333337
2,578,2,1,,1.9736,,2.0616,2.5658,1.3624,,,,,,,-0.35458,0.06516649999999999,,-0.2,,,0.16624,,,-0.2,,,-0.21902,-0.085845,,0.06517000000000005,0.056845,,,-0.18017933333333325,0.24234,,0.011659,-0.05374000000000001,,,,,,,,,-0.354575,-0.40452,,-0.009744,,-0.46080000000000004,,,,-0.17146,-0.26896,-0.050173,,,,,-0.0941675,,,0.7084550000000001,0.670405,0.040197
2,80,2,1,-0.07081380000000001,0.08459624999999997,0.6533183333333333,0.54271,,,,,,,-0.3703,,0.44670799999999994,-0.14994,-0.080351,-0.40638,2.3212433333333333,0.060541333333333336,,0.62807975,0.370355,0.3839923333333333,0.14903,-0.09194900000000006,-0.27364666666666665,,-0.35097,,0.8204100000000001,-0.3715866666666667,-0.3110199999999999,-0.158635,-0.01935600000000004,0.16397799999999998,-0.3539733333333333,0.2095965,,-0.43988,-0.19031333333333336,1.29496025,-0.1789335,1.26081,,0.28563,-0.1470365,-0.14639399999999997,-0.060163333333333326,-0.051356,,-0.1164299999999999,0.070421,0.1632,,0.12239566666666668,,-0.1737755,,-0.0603765,,0.07944233333333334,-0.02686999999999999,-0.26463,-0.17957499999999993,-0.097749,-0.08980033333333337,-0.103118
0,55,2,2,,-0.39735,-0.07727,0.017627,0.069096,-0.30727666666666664,-0.24616,-0.1470748,-0.2767199999999999,-0.29601500000000003,-0.18664,0.17203299999999996,,,,0.26371500000000003,0.07874666666666667,,-0.347166,-0.19307799999999997,-0.24025866666666662,-0.11225499999999997,-0.1142675,-0.32979,-0.2091599999999999,-0.099788,,,0.12861,0.36666,-0.17779499999999998,-0.069228,,0.450295,,,0.015214500000000002,-0.17458,-0.16814499999999996,,-0.18020999999999995,-0.1416099999999999,-0.1753823333333333,,-0.314515,-0.33784,,0.22028760000000003,,,0.51463,,0.74464,,0.11092,,,-0.029821999999999998,-0.0354509999999999,,,,0.13342999999999994,0.89261,,0.662605
2,578,2,2,,,,,0.05209000000000005,-0.05730666666666667,-0.30939,,,0.49204,,,,,,,0.47778,,,,,,,,0.12343,-0.11438,,,,,,,0.075869,,,-0.019257,0.094894,,,,,,,,,-0.31177,0.5182,,0.678725,0.59668,0.2031,,,-0.22616,0.19715,,0.37076,-0.0775215,,0.002146,0.09846150000000001,,,0.46113,0.71797,0.5729
2,711,2,2,,-0.0105659999999999,,,,,,,,,,,-0.048733,-0.096441,,,,-0.19066499999999995,-0.19663,,,-0.10741559999999999,-0.0368055,,0.12302,,-0.054695999999999995,,-0.14415,,,,,0.19935,,,,,,0.001362,0.053841,,,,,,-0.20975,,,,,,,,,,-0.12745,,,,,-0.036805,-0.20856,0.1254,0.015674,
2,636,2,1,-0.1759099999999999,,,,-0.31566,,,0.26897,,,-0.0990429999999999,-0.16504,-0.15029,,,,,,,,0.017416,0.2068566666666667,,,0.066329,,-0.066434,,,,-0.0314959999999999,0.0081,-0.1246599999999999,0.27362566666666666,,,,0.043038,,,,,,,0.053126666666666655,,,,0.071764,0.61369,0.4529749999999999,,-0.436775,,0.4762699999999999,0.65561,0.45065,0.6672600000000001,0.44832,0.528675,,0.073317,-0.12932,,0.25499,0.2666395
1,942,2,1,,,,,,,,,,,,,,,,,,,,,,,,-0.23224,0.096317,0.078064,,-0.1136,0.33361,,,,,,,,,,,-0.20486,,,,,,,,,,-0.73421,-0.8802399999999999,-1.01258,,,,,,,,,,,,,-1.3366,-1.1266766666666668
1,53,1,2,-0.40547,,,,,,,,,-0.06375366666666667,0.3550966666666666,0.078177,,0.4762,,,,0.1406599999999999,,-0.588275,,-0.57902,,1.8623,,,0.475045,0.46231,,,,0.22704333333333335,0.378427,0.6042333333333333,0.36107,,-0.72944,0.49934,-0.5119100000000001,-0.707455,-0.72712,-0.66233,-0.62068,-0.58828,,,,,,,,,,,,,,,,,,,,,,
0,89,2,1,-0.24558333333333335,-0.66691,,-0.46247,0.039446666666666665,-0.36706666666666665,-0.38365333333333335,-0.2870663333333333,-0.23847,-0.11580925000000003,,0.63973,0.12151999999999996,,-0.0562555,,,0.16507,0.07973999999999998,-0.35224999999999995,-0.27802725000000006,-0.07847899999999997,-0.042920000000000055,-0.19817666666666667,-0.22603,,-0.66069,-0.12825,-0.2681033333333333,-0.5190616666666666,-0.4518,0.387295,-0.058475000000000006,0.5712775,0.5472849999999999,0.3227003333333333,0.2664066666666667,0.20774,0.40685,,,,-0.34514,,,-0.33127260000000003,,,0.3452166666666667,0.1323638,0.0038893333333333002,0.384092,-0.04114499999999999,-0.050389999999999956,0.13602666666666666,0.58907,0.1824085,-0.2433625,0.407725,-0.010330000000000034,0.43840250000000003,0.73484,0.7112925,1.04417,0.2795622,0.8960899999999998
2,244,2,2,,-0.4073699999999999,,,-0.2063699999999999,,-0.016095666666666633,-0.32697,-0.20838,,,,0.004674,,-0.10587,,0.11522,,,-0.1048685,0.1252715,-0.36582999999999993,-0.21240233333333336,0.18557250000000006,-0.021455,,,,,,0.09378166666666671,,0.44686,,,0.252905,0.307175,-0.35712,,,-0.3732,-0.33702,-0.03150549999999995,-0.17622,-0.28476,,-0.58826,0.23984,-0.099844,,-0.21843,,-0.281745,,,,,,,,0.1916,,0.25592,0.2318,0.03482425000000002,-0.24590166666666669
2,730,2,1,,,,,0.2481,-0.003477,,-0.1178299999999999,,,0.20808,,,,,,-0.094959,0.19378,-0.13498,0.39676,0.033688,0.38532,,-0.023489,,0.19949999999999996,0.02797,-0.0435,,-0.17215,,-0.10210500000000003,0.26811,-0.09781666666666665,0.11659,0.3367199999999999,0.21379666666666663,,,0.010817,,0.056558,,,,0.51683,0.158045,,-0.083524,0.5282600000000001,0.1023,0.1773445,,0.3710275,,-0.02063,0.62546,0.1108799999999999,0.6712,0.11945,,0.43392,,0.36102,1.0629,1.0228
3,921,2,1,,,,,,,,,-0.059614,-0.063314,,-0.056532,,-0.041735,,-0.0041259999999999,,,,,,-0.046667,-0.0602309999999999,,,0.070475,0.008204,-0.053449,,0.0066635,,0.075407,0.13398,0.121032,,0.1459,0.170045,0.11548,,,0.01313699999999995,0.0562943333333333,,,,0.019919,-0.067629,,0.064464,0.07664,0.06400099999999995,,0.030400000000000035,0.0260839999999999,,-0.053449,,-0.0491329999999999,,-0.030431333333333335,,-0.016457,-0.002277,-0.018923,-0.021389,-0.0414265
2,591,2,2,,-0.21241,,,,,,,,,,,,,,,,,,,,,,,,0.010323000000000002,,,-0.16572,-0.11709,,0.1409786666666666,0.26547333333333334,0.24083,0.249585,,0.26806499999999994,,0.12412,0.021024249999999974,-0.15599499999999994,,,,,-0.10931099999999999,,,0.2661199999999999,0.21749,,0.12412,,,-0.0421995,-0.043171,,-0.10347400000000001,-0.091801,-0.078185,0.003515,,,0.47621,0.80106,0.593895
0,884,1,1,,,,,,,,,0.4925,,,,,,,,,0.1181599999999999,,,,-0.095747,,,,,0.16629,,,,,,,,-0.063661,,,-0.063661,,0.29731050000000003,,,,0.048641,,,,,,,,0.69571,,,,,,,,,,,,,1.1075,0.78127
2,792,2,1,-0.33664999999999995,-0.31329,-0.31329,,-0.11636900000000001,-0.03302,,0.1236,0.324185,,0.0027010000000000003,0.21703,,0.707784,,-0.14843,,0.098873,,-0.041264,-0.13744,1.617,0.960291,,-0.2308599999999999,,-0.0550019999999999,-4.7e-05,,,,0.4753199999999999,,0.26374,,,,-0.2446,,,,,,,,0.3132,0.8590566666666666,0.535765,0.6353725,,,0.7446,0.90946,0.12451933333333333,-0.52762,,,,0.6621600000000001,,,-0.079732,,0.27656333333333327,,0.20493679999999997
0,164,1,1,-0.35386,,,,,0.078689,,,,,,-0.17587133333333335,-0.30522,0.13457,,,,1.3632039999999999,,,,0.013496499999999995,-0.14483,,-0.075495,0.47812,0.4051675,,,0.096625,-0.22968,0.30427999999999994,0.082828,0.8748066666666666,,,-0.11481650000000002,-0.33523,-0.14483,0.099385,-0.4469899999999999,-0.31661,-0.1872575,0.02763666666666667,0.4181033333333333,0.14285,,0.14078,0.3436,0.1587156666666666,0.07041,0.4884699999999999,0.4884699999999999,-0.76157,-0.310395,,-0.2276099999999999,,,,,,,,,
2,711,2,1,0.225595,,,,,,,,0.049071,8.5579,-0.094056,,0.14687,,,,,,0.19935,,,,,,,,,,,,0.065769,0.081272,-0.10359666666666663,0.29954,0.192195,0.07650149999999994,0.08564599999999996,,,0.059804999999999955,,0.0860455,,0.0069276666666667,-0.0105659999999999,-0.00818,-0.00818,-0.029649,,0.12381500000000001,0.07053799999999999,0.4212,,0.2303599999999999,0.40926999999999997,0.26017999999999997,,,,,0.59772,,0.75755,0.54524,0.59534,0.63827
0,250,1,2,,,,,,,0.81135,-0.2210099999999999,-0.14781,,-0.15538,,0.0919799999999999,0.7697,0.40497,,,-0.15033,,,,,,0.11974,,,0.50341,0.83406,0.9085099999999999,0.12479,,,,-0.32197,,,-0.48351,,-0.5074925000000001,,-0.24540666666666666,-0.22941999999999999,,,-0.5558733333333333,-0.23110333333333333,-0.4103199999999999,,-0.52138,,,,,,,-0.73466,-0.6955399999999999,-0.6930166666666667,-0.33290966666666666,-0.460795,-0.49235,-0.37498,,,,
2,43,2,1,,,,,,,,,,,-0.36712000000000006,-0.474125,-0.36307333333333336,,-0.30573,-0.30482,-0.14582499999999998,-0.1179099999999999,0.02409,-0.13004533333333332,-0.15007399999999999,0.067783,-0.20287,0.005885000000000043,-0.0991,,,,,-0.09121,,,0.36149,0.16275175,0.33601,,0.015593500000000003,,,-0.077859,0.015594,,,,-0.0742179999999999,,,,,,,,,,,,0.014381,,,,,,,,,
