200kb name,category,Granule_mean,MLI1_mean,gene,chrom,chrom_id,group,log2FC_G2M
chr1-g195,MLI1,0.3247929417918332,1.608347793191097,Npas2,chr1,1,195,-2.3079872260930565
chr1-g196,"MLI1,Granule",3.4160029987272935,2.3734395119862404,"Npas2,Tbc1d8",chr1,1,196,0.5253299588232464
chr1-g197,Granule,3.09121005693546,0.7650917187951433,Tbc1d8,chr1,1,197,2.0144670801422326
chr1-g212,MLI1,0.19778532062690396,0.8684845077095749,Pantr1,chr1,1,212,-2.1345647588401415
chr1-g213,"MLI1,MLI1",0.22390458115126327,1.3836990438676748,"Pantr1,Pou3f3",chr1,1,213,-2.6275742377097897
chr1-g230,MLI1,0.1715257315629944,1.5870716198176331,Dnah7b,chr1,1,230,-3.209870309435341
chr1-g231,MLI1,0.1715257315629944,1.5870716198176331,Dnah7b,chr1,1,231,-3.209870309435341
chr1-g258,MLI1,0.07176139177414331,0.4009135704724302,Myo1b,chr1,1,258,-2.4820114759695353
chr1-g259,MLI1,0.07176139177414331,0.4009135704724302,Myo1b,chr1,1,259,-2.4820114759695353
chr1-g295,Granule,12.752314357948375,1.1067501728773226,Als2,chr1,1,295,3.5263575949268
chr1-g296,Granule,12.752314357948375,1.1067501728773226,Als2,chr1,1,296,3.5263575949268
chr1-g313,MLI1,0.13072461883832548,1.8781959394937109,Nrp2,chr1,1,313,-3.8447448087196348
chr1-g314,MLI1,0.13072461883832548,1.8781959394937109,Nrp2,chr1,1,314,-3.8447448087196348
chr1-g320,Granule,6.187356311797506,0.5334944133284318,Klf7,chr1,1,320,3.5357780483814385
chr1-g340,Granule,26.059244427792763,3.3160220919071803,Erbb4,chr1,1,340,2.9742697309727593
chr1-g341,Granule,26.059244427792763,3.3160220919071803,Erbb4,chr1,1,341,2.9742697309727593
chr1-g342,Granule,26.059244427792763,3.3160220919071803,Erbb4,chr1,1,342,2.9742697309727593
chr1-g343,Granule,26.059244427792763,3.3160220919071803,Erbb4,chr1,1,343,2.9742697309727593
chr1-g344,Granule,26.059244427792763,3.3160220919071803,Erbb4,chr1,1,344,2.9742697309727593
chr1-g345,Granule,26.059244427792763,3.3160220919071803,Erbb4,chr1,1,345,2.9742697309727593
chr1-g362,MLI1,0.11034418834968608,4.36423167777137,March4,chr1,1,362,-5.30564513768624
chr1-g376,Granule,2.6309094659693,0.5147780803616347,Speg,chr1,1,376,2.3535390748513887
chr1-g377,Granule,2.6309094659693,0.5147780803616347,Speg,chr1,1,377,2.3535390748513887
chr1-g386,MLI1,0.04458477551136685,0.9013537684323565,Epha4,chr1,1,386,-4.337470396089583
chr1-g387,MLI1,0.04458477551136685,0.9013537684323565,Epha4,chr1,1,387,-4.337470396089583
chr1-g390,MLI1,0.03049164790444185,0.36370046166810976,Pax3,chr1,1,390,-3.5762647298671104
chr1-g420,MLI1,2.52351358816524,15.268656403399927,Pid1,chr1,1,420,-2.597067354687485
chr1-g421,"MLI1,MLI1",3.1015667480533837,27.755569600134965,"Pid1,Dner",chr1,1,421,-3.1617082221676553
chr1-g422,MLI1,0.5780531598881435,12.486913196735038,Dner,chr1,1,422,-4.433070897799717
chr1-g423,MLI1,0.5780531598881435,12.486913196735038,Dner,chr1,1,423,-4.433070897799717
chr1-g443,MLI1,0.3379903454458506,5.864183657022125,Arl4c,chr1,1,443,-4.116876344899429
chr1-g451,MLI1,0.008854529476968936,0.20475666222949837,Ackr3,chr1,1,451,-4.531350938524369
chr1-g488,MLI1,0.834264448602259,11.78913273786258,Pam,chr1,1,488,-3.8208090131792734
chr1-g489,MLI1,0.834264448602259,11.78913273786258,Pam,chr1,1,489,-3.8208090131792734
chr1-g490,MLI1,0.834264448602259,11.78913273786258,Pam,chr1,1,490,-3.8208090131792734
chr1-g616,Granule,18.50823320074584,2.3822740396871014,Dpp10,chr1,1,616,2.957755896723298
chr1-g617,Granule,18.50823320074584,2.3822740396871014,Dpp10,chr1,1,617,2.957755896723298
chr1-g618,Granule,18.50823320074584,2.3822740396871014,Dpp10,chr1,1,618,2.957755896723298
chr1-g619,Granule,18.50823320074584,2.3822740396871014,Dpp10,chr1,1,619,2.957755896723298
chr1-g620,Granule,18.50823320074584,2.3822740396871014,Dpp10,chr1,1,620,2.957755896723298
chr1-g636,MLI1,2.828481061781305,20.577043881811914,Mgat5,chr1,1,636,-2.8629363216427697
chr1-g637,"MLI1,Granule",31.33609919484512,21.21791503126685,"Mgat5,Tmem163",chr1,1,637,0.5625427028311678
chr1-g638,Granule,28.507618133063815,0.6408711494549333,Tmem163,chr1,1,638,5.475169369603203
chr1-g655,MLI1,0.3182233119743564,1.444570952843424,Mapkapk2,chr1,1,655,-2.18252963468609
chr1-g656,Granule,19.626532903403426,3.4284072433577633,Srgap2,chr1,1,656,2.517194942846232
chr1-g657,Granule,19.626532903403426,3.4284072433577633,Srgap2,chr1,1,657,2.517194942846232
chr1-g662,Granule,3.2796637454459985,0.31854049151603203,Cntn2,chr1,1,662,3.363999228499954
chr1-g666,MLI1,0.26671087589569414,3.06925758090524,Gm19461,chr1,1,666,-3.5245411647928475
chr1-g670,"Granule,Granule",2.749549403857623,0.09315559108068175,"Btg2,Adora1",chr1,1,670,4.883409038430879
chr1-g671,"Granule,Granule",5.369707948266486,0.29955999277004447,"Adora1,Ppfia4",chr1,1,671,4.163926758886601
chr1-g677,"MLI1,MLI1",0.15852066417640887,10.410913530578815,"Nav1,Gm4793",chr1,1,677,-6.0372819396088975
chr1-g678,"MLI1,MLI1",0.2857138890467418,10.85024583655731,"Nav1,Gm38399",chr1,1,678,-5.24701275041139
chr1-g680,MLI1,0.13078053050751087,1.3590086094384286,Kif21b,chr1,1,680,-3.3773349099603758
chr1-g771,Granule,21.710243981765387,3.647949293628211,Cacna1e,chr1,1,771,2.5732183578444334
chr1-g772,Granule,21.710243981765387,3.647949293628211,Cacna1e,chr1,1,772,2.5732183578444334
chr1-g773,Granule,21.710243981765387,3.647949293628211,Cacna1e,chr1,1,773,2.5732183578444334
chr1-g774,Granule,21.710243981765387,3.647949293628211,Cacna1e,chr1,1,774,2.5732183578444334
chr1-g797,MLI1,6.81592520500213,28.472212477373276,Tnr,chr1,1,797,-2.062573195033441
chr1-g798,MLI1,6.81592520500213,28.472212477373276,Tnr,chr1,1,798,-2.062573195033441
chr1-g799,MLI1,6.81592520500213,28.472212477373276,Tnr,chr1,1,799,-2.062573195033441
chr1-g822,MLI1,4.9519610112019,31.388213911560964,Atp1b1,chr1,1,822,-2.664151076568221
chr1-g835,Granule,2.7933383775010125,0.7928833209332508,Fam78b,chr1,1,835,1.8168098657540992
chr1-g851,MLI1,0.9556220919553322,22.3204424905258,Nos1ap,chr1,1,851,-4.545781611634636
chr1-g852,MLI1,0.9556220919553322,22.3204424905258,Nos1ap,chr1,1,852,-4.545781611634636
chr1-g892,Granule,14.077321384570912,1.3144082591989361,Kif26b,chr1,1,892,3.4208874900060957
chr1-g893,Granule,14.077321384570912,1.3144082591989361,Kif26b,chr1,1,893,3.4208874900060957
chr1-g894,Granule,14.077321384570912,1.3144082591989361,Kif26b,chr1,1,894,3.4208874900060957
chr1-g920,MLI1,0.24375156464955758,6.998042574833537,Dusp10,chr1,1,920,-4.843468056988861
chr1-g938,"MLI1,MLI1",0.884814691334719,64.66407835424438,"Gm36388,Esrrg",chr1,1,938,-6.1914453506091345
chr1-g939,MLI1,0.755969136230597,61.50153383298209,Esrrg,chr1,1,939,-6.346151246044793
chr1-g940,MLI1,0.755969136230597,61.50153383298209,Esrrg,chr1,1,940,-6.346151246044793
chr1-g941,MLI1,0.755969136230597,61.50153383298209,Esrrg,chr1,1,941,-6.346151246044793
chr1-g950,Granule,1.8297380998917887,0.238050091502173,Prox1,chr1,1,950,2.9423000741490344
chr1-g960,Granule,8.637063158194097,0.24843165033963696,Kcnh1,chr1,1,960,5.119619948729148
chr1-g961,Granule,8.637063158194097,0.24843165033963696,Kcnh1,chr1,1,961,5.119619948729148
chr1-g962,Granule,8.637063158194097,0.24843165033963696,Kcnh1,chr1,1,962,5.119619948729148
chr1-g966,MLI1,0.01675463176335596,1.2251846433731517,Camk1g,chr1,1,966,-6.192295399955537
chr2-g20,MLI1,1.6108315941760194,108.68500178453644,Frmd4a,chr2,2,20,-6.076203382048351
chr2-g21,MLI1,1.6108315941760194,108.68500178453644,Frmd4a,chr2,2,21,-6.076203382048351
chr2-g22,MLI1,1.6108315941760194,108.68500178453644,Frmd4a,chr2,2,22,-6.076203382048351
chr2-g23,MLI1,1.6108315941760194,108.68500178453644,Frmd4a,chr2,2,23,-6.076203382048351
chr2-g25,MLI1,0.21963520894040164,1.6748875337676994,Optn,chr2,2,25,-2.9308829726606502
chr2-g30,MLI1,0.15906216405340212,1.512588967009606,Proser2,chr2,2,30,-3.2493573916262366
chr2-g51,MLI1,0.1092984532286879,0.5907261545503286,Sfmbt2,chr2,2,51,-2.4342165046602813
chr2-g52,MLI1,0.1092984532286879,0.5907261545503286,Sfmbt2,chr2,2,52,-2.4342165046602813
chr2-g60,MLI1,0.02972274874324645,1.599339952300484,Itga8,chr2,2,60,-5.749765275699892
chr2-g61,MLI1,0.02972274874324645,1.599339952300484,Itga8,chr2,2,61,-5.749765275699892
chr2-g73,"MLI1,MLI1",1.1913737872518013,13.451175681288927,"Cacnb2,Gm13269",chr2,2,73,-3.4970342477374206
chr2-g74,MLI1,1.146022016154035,12.622449288484642,Cacnb2,chr2,2,74,-3.461285216285203
chr2-g81,Granule,3.9775136935161655,0.858209706943647,Plxdc2,chr2,2,81,2.212464773211078
chr2-g82,Granule,3.9775136935161655,0.858209706943647,Plxdc2,chr2,2,82,2.212464773211078
chr2-g83,Granule,3.9775136935161655,0.858209706943647,Plxdc2,chr2,2,83,2.212464773211078
chr2-g99,MLI1,0.8319132822915515,46.267274823786586,Etl4,chr2,2,99,-5.797415164101678
chr2-g100,MLI1,0.8319132822915515,46.267274823786586,Etl4,chr2,2,100,-5.797415164101678
chr2-g101,"MLI1,MLI1",0.8319132822915515,47.25518690224272,"Etl4,Gm17171",chr2,2,101,-5.827895731997907
chr2-g102,MLI1,0.8319132822915515,46.267274823786586,Etl4,chr2,2,102,-5.797415164101678
chr2-g103,MLI1,0.8319132822915515,46.267274823786586,Etl4,chr2,2,103,-5.797415164101678
chr2-g104,MLI1,0.8319132822915515,46.267274823786586,Etl4,chr2,2,104,-5.797415164101678
chr2-g113,MLI1,0.1257233985842401,7.579247291655518,Gad2,chr2,2,113,-5.913729496777077
chr2-g120,MLI1,0.016201057375139313,0.21258330858889612,Hnmt,chr2,2,120,-3.713868445222282
chr2-g136,MLI1,0.019011175550504862,1.6022883263504946,Vav2,chr2,2,136,-6.39714222558948
chr2-g137,MLI1,0.019011175550504862,1.6022883263504946,Vav2,chr2,2,137,-6.39714222558948
chr2-g140,Granule,5.111545851345108,0.3512805056966428,Olfm1,chr2,2,140,3.863064240398907
chr2-g141,Granule,5.111545851345108,0.3512805056966428,Olfm1,chr2,2,141,3.863064240398907
chr2-g164,Granule,6.068831237387017,0.443295138064982,Garnl3,chr2,2,164,3.775079257946148
chr2-g165,Granule,6.068831237387017,0.443295138064982,Garnl3,chr2,2,165,3.775079257946148
chr2-g171,MLI1,0.19783619350204587,1.0822091167554757,C79798,chr2,2,171,-2.4516010082257806
chr2-g250,MLI1,0.02610006101574791,6.771639124570664,Lypd6,chr2,2,250,-8.0193081012115
chr2-g260,"Granule,Granule",14.467678246752277,2.050504306128735,"Rif1,Neb",chr2,2,260,2.818782740225236
chr2-g261,"Granule,Granule",6.581004139695354,0.6951369919622569,"Neb,Arl5a",chr2,2,261,3.242938503766839
chr2-g262,"Granule,Granule",45.839119075008284,9.657221899361787,"Arl5a,Cacnb4",chr2,2,262,2.2468991863633363
chr2-g263,Granule,43.01793520944348,8.983444884304552,Cacnb4,chr2,2,263,2.2595975925395577
chr2-g277,Granule,26.721056654156325,3.2470533342658934,Kcnj3,chr2,2,277,3.0407740718681273
chr2-g291,Granule,1.9050028225035929,0.20748368103265324,Acvr1c,chr2,2,291,3.1987233598000357
chr2-g294,"MLI1,MLI1",0.2711707772237919,2.0798974092279776,"Ccdc148,Gm11099",chr2,2,294,-2.9392387496776524
chr2-g295,MLI1,0.23087210729792765,1.2266045112761108,Ccdc148,chr2,2,295,-2.409504371878657
chr2-g298,Granule,5.564398941639871,0.389495747480646,Tanc1,chr2,2,298,3.8365463760192973
chr2-g299,Granule,5.564398941639871,0.389495747480646,Tanc1,chr2,2,299,3.8365463760192973
chr2-g303,MLI1,0.43019545922193136,14.024452037568953,Rbms1,chr2,2,303,-5.026808295850784
chr2-g304,MLI1,0.43019545922193136,14.024452037568953,Rbms1,chr2,2,304,-5.026808295850784
chr2-g319,MLI1,0.13015616475347816,0.7060786688945648,Fign,chr2,2,319,-2.43958528707114
chr2-g320,MLI1,0.13015616475347816,0.7060786688945648,Fign,chr2,2,320,-2.43958528707114
chr2-g324,MLI1,0.03547978810795279,0.7117587011524564,Grb14,chr2,2,324,-4.326318926096278
chr2-g325,"MLI1,Granule",0.3000504235367486,0.7117587011524564,"Grb14,Cobll1",chr2,2,325,-1.246183258524447
chr2-g326,Granule,0.26457063542879583,0.05,Cobll1,chr2,2,326,2.403652946453498
chr2-g327,MLI1,0.10866851546922901,1.1318522698408853,Scn3a,chr2,2,327,-3.3806797549191145
chr2-g329,MLI1,1.0366523853511493,8.95973168596644,Csrnp3,chr2,2,329,-3.1115233243738514
chr2-g330,MLI1,1.0366523853511493,8.95973168596644,Csrnp3,chr2,2,330,-3.1115233243738514
chr2-g332,"MLI1,MLI1",0.6422025208592566,15.613768634431974,"Gm13629,Scn9a",chr2,2,332,-4.603646658661507
chr2-g333,MLI1,0.22857991616540152,6.814071747232605,Scn9a,chr2,2,333,-4.897746584068495
chr2-g352,"MLI1,MLI1",0.43524971932853374,18.20292435490945,"Gad1os,Gad1",chr2,2,352,-5.386183064591999
chr2-g353,MLI1,0.4166407024265617,16.95507974262105,Gad1,chr2,2,353,-5.346769973494583
chr2-g359,Granule,29.853565968560236,3.295449408987621,Rapgef4,chr2,2,359,3.179356141948803
chr2-g360,"Granule,Granule",36.86614188328301,4.192696300364396,"Rapgef4,Rapgef4os1",chr2,2,360,3.1363462064730694
chr2-g361,Granule,29.853565968560236,3.295449408987621,Rapgef4,chr2,2,361,3.179356141948803
chr2-g396,"Granule,Granule",4.18420637172199,0.26307547766141676,"Itga4,Cerkl",chr2,2,396,3.991405328963728
chr2-g397,Granule,3.366999208213759,0.2417155007563941,Cerkl,chr2,2,397,3.80008148342216
chr2-g452,Granule,22.66067143881005,5.190656150246964,Ptprj,chr2,2,452,2.1262017829064437
chr2-g454,Granule,8.87335005456147,2.16056483451423,Mtch2,chr2,2,454,2.038070359919717
chr2-g462,MLI1,0.05807142889083454,0.7997155657854222,Chst1,chr2,2,462,-3.783586530825979
chr2-g463,MLI1,0.05807142889083454,0.7997155657854222,Chst1,chr2,2,463,-3.783586530825979
chr2-g509,Granule,4.1102004372218035,0.5587736588658353,Ldlrad3,chr2,2,509,2.8788728323890402
chr2-g510,"Granule,Granule",6.727519940015605,1.0395312956508698,"Ldlrad3,Gm13919",chr2,2,510,2.694141569981163
chr2-g517,MLI1,0.12621709919124602,1.8588154793767537,Abtb2,chr2,2,517,-3.8804042871438487
chr2-g518,MLI1,0.12621709919124602,1.8588154793767537,Abtb2,chr2,2,518,-3.8804042871438487
chr2-g520,MLI1,0.06511822058904114,0.9178153693353759,Cd59a,chr2,2,520,-3.817070783311587
chr2-g528,Granule,5.8885354537800465,0.34337518045543836,Pax6,chr2,2,528,4.100051195286702
chr2-g553,Granule,8.3705141598352,1.2184436181982752,Ano3,chr2,2,553,2.78027674933508
chr2-g554,Granule,8.3705141598352,1.2184436181982752,Ano3,chr2,2,554,2.78027674933508
chr2-g563,Granule,2.9109144746311184,0.549311535276562,Ryr3,chr2,2,563,2.4057759591788606
chr2-g564,Granule,2.9109144746311184,0.549311535276562,Ryr3,chr2,2,564,2.4057759591788606
chr2-g565,Granule,2.9109144746311184,0.549311535276562,Ryr3,chr2,2,565,2.4057759591788606
chr2-g566,Granule,2.9109144746311184,0.549311535276562,Ryr3,chr2,2,566,2.4057759591788606
chr2-g600,MLI1,1.8264207433828452,8.254128381516963,Pla2g4e,chr2,2,600,-2.176096727612974
chr2-g601,MLI1,1.8264207433828452,8.254128381516963,Pla2g4e,chr2,2,601,-2.176096727612974
chr2-g611,Granule,4.539580259186078,1.0941110261812679,Shf,chr2,2,611,2.0527997638264552
chr2-g628,MLI1,0.13024436657390118,4.021779532418656,Shc4,chr2,2,628,-4.948541119106504
chr2-g649,Granule,0.7500133391570323,0.113334892883628,Stk35,chr2,2,649,2.726324156441059
chr2-g655,MLI1,0.061967013369772166,0.9327023152187083,Gfra4,chr2,2,655,-3.9118443571795565
chr2-g663,Granule,9.499765211953227,1.262510971819087,Chgb,chr2,2,663,2.9115959318483053
chr2-g673,MLI1,4.530896176243834,57.171741203159016,Plcb1,chr2,2,673,-3.6574338916350078
chr2-g674,MLI1,4.530896176243834,57.171741203159016,Plcb1,chr2,2,674,-3.6574338916350078
chr2-g675,MLI1,4.530896176243834,57.171741203159016,Plcb1,chr2,2,675,-3.6574338916350078
chr2-g676,MLI1,4.530896176243834,57.171741203159016,Plcb1,chr2,2,676,-3.6574338916350078
chr2-g677,MLI1,4.530896176243834,57.171741203159016,Plcb1,chr2,2,677,-3.6574338916350078
chr2-g717,Granule,17.55707372601774,1.2419137824794393,Pcsk2,chr2,2,717,3.8214154821607362
chr2-g718,Granule,17.55707372601774,1.2419137824794393,Pcsk2,chr2,2,718,3.8214154821607362
chr2-g719,Granule,17.55707372601774,1.2419137824794393,Pcsk2,chr2,2,719,3.8214154821607362
chr2-g725,MLI1,0.7139079632354892,53.301987374795864,Slc24a3,chr2,2,725,-6.222307420419493
chr2-g726,MLI1,0.7139079632354892,53.301987374795864,Slc24a3,chr2,2,726,-6.222307420419493
chr2-g727,MLI1,0.7139079632354892,53.301987374795864,Slc24a3,chr2,2,727,-6.222307420419493
chr2-g728,MLI1,0.7139079632354892,53.301987374795864,Slc24a3,chr2,2,728,-6.222307420419493
chr2-g749,MLI1,3.0696586798816035,18.092025795357603,Syndig1,chr2,2,749,-2.559203803935329
chr2-g750,MLI1,3.0696586798816035,18.092025795357603,Syndig1,chr2,2,750,-2.559203803935329
chr2-g761,MLI1,0.049804145040101444,1.5031954069684994,Nrsn2,chr2,2,761,-4.9156229352843415
chr2-g764,MLI1,0.3270302925006486,2.9428462930280928,Dusp15,chr2,2,764,-3.169716008773583
chr2-g778,Granule,16.884249369511174,2.836959435756003,Mmp24,chr2,2,778,2.5732606147363164
chr2-g779,Granule,16.884249369511174,2.836959435756003,Mmp24,chr2,2,779,2.5732606147363164
chr2-g782,Granule,4.542112018355779,0.6640990998545709,Epb41l1,chr2,2,782,2.7738928382871944
chr2-g785,Granule,8.91839236199555,0.7510731619460429,Soga1,chr2,2,785,3.569758319536368
chr2-g787,MLI1,0.38691247221313285,1.8809925119467525,Src,chr2,2,787,-2.2814149653880142
chr2-g789,MLI1,0.0569703774264024,0.7586222870965262,Vstm2l,chr2,2,789,-3.7350978871549696
chr2-g791,MLI1,29.442917620665625,183.40732873893438,Snhg11,chr2,2,791,-2.639058742245471
chr2-g793,"MLI1,MLI1",0.3151134542742253,8.000903132211583,"Slc32a1,Ppp1r16b",chr2,2,793,-4.66621959989152
chr2-g807,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,807,-3.191256255899373
chr2-g808,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,808,-3.191256255899373
chr2-g809,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,809,-3.191256255899373
chr2-g810,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,810,-3.191256255899373
chr2-g811,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,811,-3.191256255899373
chr2-g812,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,812,-3.191256255899373
chr2-g813,MLI1,0.4025767161873551,3.677159853106561,Ptprt,chr2,2,813,-3.191256255899373
chr2-g821,MLI1,0.005545015988476275,0.6835081608985514,Matn4,chr2,2,821,-6.945623132835064
chr2-g822,MLI1,0.005545015988476275,0.6835081608985514,Matn4,chr2,2,822,-6.945623132835064
chr2-g825,Granule,4.337497003790178,0.21792825588164927,Cdh22,chr2,2,825,4.314937592196389
chr2-g826,Granule,4.337497003790178,0.21792825588164927,Cdh22,chr2,2,826,4.314937592196389
chr2-g827,Granule,0.5810204657446967,0.05331599492747738,Eya2,chr2,2,827,3.4459486666812027
chr2-g828,Granule,0.5810204657446967,0.05331599492747738,Eya2,chr2,2,828,3.4459486666812027
chr2-g830,MLI1,0.06050029795872368,0.3599886107357546,Sulf2,chr2,2,830,-2.5729371108479735
chr2-g838,"MLI1,MLI1",0.2783777589027917,5.874779377030872,"Tmem189,Cebpb",chr2,2,838,-4.3994188171228155
chr2-g842,Granule,1.2885624588488773,0.03756934428102775,Nfatc2,chr2,2,842,5.100062722560051
chr2-g843,"Granule,Granule",10.837909040847903,2.0199866587210904,"Nfatc2,Atp9a",chr2,2,843,2.42366877455904
chr2-g853,Granule,0.8048566721757409,0.16785896712888473,Dok5,chr2,2,853,2.261482284105371
chr2-g854,Granule,0.8048566721757409,0.16785896712888473,Dok5,chr2,2,854,2.261482284105371
chr2-g861,Granule,0.4510693580978705,0.08489564695465263,Cass4,chr2,2,861,2.409586798437515
chr2-g862,Granule,0.4510693580978705,0.08489564695465263,Cass4,chr2,2,862,2.409586798437515
chr2-g866,MLI1,0.07733280278537982,0.5127413360483256,Pmepa1,chr2,2,866,-2.729078802299545
chr2-g906,Granule,5.286340552959645,0.5217466676900369,Zbtb46,chr2,2,906,3.340847981999469
chr2-g907,Granule,5.286340552959645,0.5217466676900369,Zbtb46,chr2,2,907,3.340847981999469
chr3-g42,Granule,19.892430957301073,4.832972050846349,Stmn2,chr3,3,42,2.041237034919796
chr3-g67,Granule,10.345796514593646,1.7320563326920295,Ralyl,chr3,3,67,2.5784869638463834
chr3-g68,Granule,10.345796514593646,1.7320563326920295,Ralyl,chr3,3,68,2.5784869638463834
chr3-g69,Granule,10.345796514593646,1.7320563326920295,Ralyl,chr3,3,69,2.5784869638463834
chr3-g70,Granule,10.345796514593646,1.7320563326920295,Ralyl,chr3,3,70,2.5784869638463834
chr3-g74,MLI1,0.5186330673933928,2.256270709526526,Car2,chr3,3,74,-2.1211540753968126
chr3-g90,"MLI1,MLI1",0.22605772677839137,8.872497239928828,"Bhlhe22,Cyp7b1",chr3,3,90,-5.294577084761918
chr3-g91,MLI1,0.11206971210192256,3.7044811277804084,Cyp7b1,chr3,3,91,-5.046803150041164
chr3-g127,MLI1,20.1962348480494,120.77324632983525,Nlgn1,chr3,3,127,-2.580142640666028
chr3-g128,MLI1,20.1962348480494,120.77324632983525,Nlgn1,chr3,3,128,-2.580142640666028
chr3-g129,MLI1,20.1962348480494,120.77324632983525,Nlgn1,chr3,3,129,-2.580142640666028
chr3-g130,MLI1,20.1962348480494,120.77324632983525,Nlgn1,chr3,3,130,-2.580142640666028
chr3-g131,MLI1,20.1962348480494,120.77324632983525,Nlgn1,chr3,3,131,-2.580142640666028
chr3-g183,MLI1,0.1330238713412357,0.6043605038026851,Trpc3,chr3,3,183,-2.1837242176718052
chr3-g258,Granule,24.866547994659904,1.992548362835951,Maml3,chr3,3,258,3.6415195980905066
chr3-g259,Granule,24.866547994659904,1.992548362835951,Maml3,chr3,3,259,3.6415195980905066
chr3-g260,Granule,24.866547994659904,1.992548362835951,Maml3,chr3,3,260,3.6415195980905066
chr3-g265,Granule,38.97252144169485,5.930170580091125,Lhfp,chr3,3,265,2.716311764622087
chr3-g266,Granule,38.97252144169485,5.930170580091125,Lhfp,chr3,3,266,2.716311764622087
chr3-g311,MLI1,0.11290370862694007,7.9235752643882424,Arhgef26,chr3,3,311,-6.132986766810393
chr3-g312,MLI1,0.11290370862694007,7.9235752643882424,Arhgef26,chr3,3,312,-6.132986766810393
chr3-g318,MLI1,0.08069762944538034,9.435437590963629,Plch1,chr3,3,318,-6.869419323727101
chr3-g319,MLI1,0.08069762944538034,9.435437590963629,Plch1,chr3,3,319,-6.869419323727101
chr3-g325,"Granule,Granule",12.071800614985856,0.900554439357612,"Kcnab1,A330015K06Rik",chr3,3,325,3.744683581510925
chr3-g326,"Granule,Granule",12.071800614985856,0.900554439357612,"Kcnab1,A330015K06Rik",chr3,3,326,3.744683581510925
chr3-g380,Granule,14.321192674792975,0.44241842879709625,Fstl5,chr3,3,380,5.0165963537928695
chr3-g381,Granule,14.321192674792975,0.44241842879709625,Fstl5,chr3,3,381,5.0165963537928695
chr3-g382,Granule,14.321192674792975,0.44241842879709625,Fstl5,chr3,3,382,5.0165963537928695
chr3-g383,Granule,14.321192674792975,0.44241842879709625,Fstl5,chr3,3,383,5.0165963537928695
