200kb name,category,Bergmann_mean,Purkinje_mean,gene,chrom,chrom_id,group,log2FC_B2P
chr1-g276,Bergmann,3.2954649308363253,0.0045500018343722,Rftn2,chr1,1,276,9.500399175633193
chr1-g277,Bergmann,7.703800792703338,0.0692674593160813,Plcl1,chr1,1,277,6.79724883005984
chr1-g278,Bergmann,7.703800792703338,0.0692674593160813,Plcl1,chr1,1,278,6.79724883005984
chr1-g325,Bergmann,1.2726119009396308,0.061978676944424854,Idh1,chr1,1,325,4.359876749909557
chr1-g340,Bergmann,14.031707066668831,0.3097532462501669,Erbb4,chr1,1,340,5.501427322462899
chr1-g341,Bergmann,14.031707066668831,0.3097532462501669,Erbb4,chr1,1,341,5.501427322462899
chr1-g342,Bergmann,14.031707066668831,0.3097532462501669,Erbb4,chr1,1,342,5.501427322462899
chr1-g343,Bergmann,14.031707066668831,0.3097532462501669,Erbb4,chr1,1,343,5.501427322462899
chr1-g344,Bergmann,14.031707066668831,0.3097532462501669,Erbb4,chr1,1,344,5.501427322462899
chr1-g345,Bergmann,14.031707066668831,0.3097532462501669,Erbb4,chr1,1,345,5.501427322462899
chr1-g362,Purkinje,0.020938939657552374,1.9788926191154625,March4,chr1,1,362,-6.562361132734656
chr1-g369,Bergmann,1.111500450029021,0.03963060500650766,Tns1,chr1,1,369,4.8097497304005365
chr1-g370,Bergmann,1.111500450029021,0.03963060500650766,Tns1,chr1,1,370,4.8097497304005365
chr1-g371,Bergmann,0.4250939588999601,0.05,Ctdsp1,chr1,1,371,3.087781756678811
chr1-g376,Purkinje,0.06396368498150712,1.7638994411834754,Ptprn,chr1,1,376,-4.785371450230269
chr1-g390,Bergmann,11.347089300254478,0.046131568404755637,Pax3,chr1,1,390,7.9423522138479195
chr1-g393,Bergmann,6.425301356537852,0.2729088946042961,Acsl3,chr1,1,393,4.55727279993101
chr1-g398,Bergmann,1.5806530877463942,0.01668495768095285,Serpine2,chr1,1,398,6.56582893083105
chr1-g399,Bergmann,1.5806530877463942,0.01668495768095285,Serpine2,chr1,1,399,6.56582893083105
chr1-g416,Purkinje,0.3305553915155834,7.970327411181694,Sphkap,chr1,1,416,-4.5916750385261365
chr1-g417,Purkinje,0.3305553915155834,7.970327411181694,Sphkap,chr1,1,417,-4.5916750385261365
chr1-g421,Purkinje,0.20322101604682688,21.392651192034712,Dner,chr1,1,421,-6.7179218708604855
chr1-g422,Purkinje,0.20322101604682688,21.392651192034712,Dner,chr1,1,422,-6.7179218708604855
chr1-g423,Purkinje,0.20322101604682688,21.392651192034712,Dner,chr1,1,423,-6.7179218708604855
chr1-g429,Bergmann,3.988876471054447,0.19223728028157278,Itm2c,chr1,1,429,4.375022398225749
chr1-g455,Bergmann,1.2036117442227987,0.0229107968463917,Ramp1,chr1,1,455,5.715198641693887
chr1-g456,Bergmann,1.2036117442227987,0.0229107968463917,Ramp1,chr1,1,456,5.715198641693887
chr1-g466,Bergmann,5.825358816414749,0.1487570526639957,Sned1,chr1,1,466,5.291316941936361
chr1-g498,Purkinje,0.08454038656775026,50.45873060408144,Cntnap5b,chr1,1,498,-9.221247488169164
chr1-g499,Purkinje,0.08454038656775026,50.45873060408144,Cntnap5b,chr1,1,499,-9.221247488169164
chr1-g500,Purkinje,0.08454038656775026,50.45873060408144,Cntnap5b,chr1,1,500,-9.221247488169164
chr1-g501,Purkinje,0.08454038656775026,50.45873060408144,Cntnap5b,chr1,1,501,-9.221247488169164
chr1-g502,Purkinje,0.08454038656775026,50.45873060408144,Cntnap5b,chr1,1,502,-9.221247488169164
chr1-g523,Bergmann,24.011005391922627,0.039230376067680525,Cdh20,chr1,1,523,9.257508932857778
chr1-g524,Bergmann,24.011005391922627,0.039230376067680525,Cdh20,chr1,1,524,9.257508932857778
chr1-g530,Bergmann,18.658347634326876,0.9119093141561327,Phlpp1,chr1,1,530,4.354787056810973
chr1-g531,Bergmann,18.658347634326876,0.9119093141561327,Phlpp1,chr1,1,531,4.354787056810973
chr1-g554,Bergmann,6.302968974013534,0.0229107968463917,Cdh19,chr1,1,554,8.103860113936834
chr1-g578,Purkinje,0.37939555964774185,6.080940493616916,Cntnap5a,chr1,1,578,-4.002519772771703
chr1-g579,Purkinje,0.37939555964774185,6.080940493616916,Cntnap5a,chr1,1,579,-4.002519772771703
chr1-g580,Purkinje,0.37939555964774185,6.080940493616916,Cntnap5a,chr1,1,580,-4.002519772771703
chr1-g581,Purkinje,0.37939555964774185,6.080940493616916,Cntnap5a,chr1,1,581,-4.002519772771703
chr1-g582,Purkinje,0.37939555964774185,6.080940493616916,Cntnap5a,chr1,1,582,-4.002519772771703
chr1-g594,Bergmann,4.999693611315221,0.0040287361288862625,Gli2,chr1,1,594,10.277296655721894
chr1-g595,Bergmann,4.999693611315221,0.0040287361288862625,Gli2,chr1,1,595,10.277296655721894
chr1-g605,Bergmann,2.5600164135019927,0.046997165162162624,Celrr,chr1,1,605,5.767435512837975
chr1-g616,Purkinje,0.22287053047073938,56.35859125904285,Dpp10,chr1,1,616,-7.982285874433921
chr1-g617,Purkinje,0.22287053047073938,56.35859125904285,Dpp10,chr1,1,617,-7.982285874433921
chr1-g618,Purkinje,0.22287053047073938,56.35859125904285,Dpp10,chr1,1,618,-7.982285874433921
chr1-g619,Purkinje,0.22287053047073938,56.35859125904285,Dpp10,chr1,1,619,-7.982285874433921
chr1-g620,Purkinje,0.22287053047073938,56.35859125904285,Dpp10,chr1,1,620,-7.982285874433921
chr1-g629,Bergmann,23.077369634800515,0.23310898780954187,Nckap5,chr1,1,629,6.629330353878085
chr1-g630,Bergmann,23.077369634800515,0.23310898780954187,Nckap5,chr1,1,630,6.629330353878085
chr1-g631,Bergmann,23.077369634800515,0.23310898780954187,Nckap5,chr1,1,631,6.629330353878085
chr1-g632,Bergmann,23.077369634800515,0.23310898780954187,Nckap5,chr1,1,632,6.629330353878085
chr1-g633,Bergmann,23.077369634800515,0.23310898780954187,Nckap5,chr1,1,633,6.629330353878085
chr1-g634,Bergmann,23.077369634800515,0.23310898780954187,Nckap5,chr1,1,634,6.629330353878085
chr1-g659,Bergmann,0.9294284199634258,0.06003256824531335,Slc41a1,chr1,1,659,3.952526465956459
chr1-g670,Bergmann,0.876509628585546,0.0040287361288862625,Adora1,chr1,1,670,7.765298813029511
chr1-g671,Bergmann,0.876509628585546,0.0040287361288862625,Adora1,chr1,1,671,7.765298813029511
chr1-g675,Bergmann,13.634425502188375,0.4374779084922321,Gpr37l1,chr1,1,675,4.96189993575801
chr1-g676,Bergmann,2.199286060074705,0.09311363469979587,Shisa4,chr1,1,676,4.561899018642819
chr1-g678,Bergmann,7.04513481407013,0.04186933955219359,Csrp1,chr1,1,678,7.394589342495331
chr1-g680,Bergmann,0.3876361091394826,0.05,Kif21b,chr1,1,680,2.9547029671669014
chr1-g768,Purkinje,0.193555933569991,4.5507645803017365,Rgs8,chr1,1,768,-4.555286514802516
chr1-g769,Bergmann,10.936272954154557,0.10036554694252837,Glul,chr1,1,769,6.767713233878601
chr1-g791,"Purkinje,Purkinje",0.32612465407902536,6.150085296066715,"Brinp2,Astn1",chr1,1,791,-4.2371110055662635
chr1-g792,Purkinje,0.32612465407902536,3.8290588170053765,Astn1,chr1,1,792,-3.5534944072699663
chr1-g793,Purkinje,0.32612465407902536,3.8290588170053765,Astn1,chr1,1,793,-3.5534944072699663
chr1-g816,Bergmann,2.1761742420662884,0.05,Prrx1,chr1,1,816,5.443722169904382
chr1-g835,Purkinje,0.12919608071763364,3.3561087641017977,Fam78b,chr1,1,835,-4.699155260785275
chr1-g851,Bergmann,6.091779367675109,0.09486565575226363,Nos1ap,chr1,1,851,6.004833998596493
chr1-g852,Bergmann,6.091779367675109,0.09486565575226363,Nos1ap,chr1,1,852,6.004833998596493
chr1-g861,"Bergmann,Bergmann,Bergmann",40.28148588168711,0.2364813985247739,"Atp1a2,Igsf8,Kcnj10",chr1,1,861,7.412246384895692
chr1-g875,Purkinje,0.31523500874546884,7.7646308759451355,Rgs7,chr1,1,875,-4.62241767295392
chr1-g876,Purkinje,0.31523500874546884,7.7646308759451355,Rgs7,chr1,1,876,-4.62241767295392
chr1-g877,Purkinje,0.31523500874546884,7.7646308759451355,Rgs7,chr1,1,877,-4.62241767295392
chr1-g901,Bergmann,3.171723249465716,0.05,Itpkb,chr1,1,901,5.987194988236319
chr1-g902,Bergmann,3.171723249465716,0.05,Itpkb,chr1,1,902,5.987194988236319
chr1-g909,Bergmann,14.503660730403023,0.21503813881113087,Enah,chr1,1,909,6.075680716314053
chr1-g910,Bergmann,14.503660730403023,0.21503813881113087,Enah,chr1,1,910,6.075680716314053
chr1-g912,Bergmann,1.4180066395448945,0.04858869680699504,Trp53bp2,chr1,1,912,4.867099738929576
chr1-g913,Purkinje,0.022687290631621875,3.926601602744206,Susd4,chr1,1,913,-7.4352530884610815
chr1-g914,Purkinje,0.022687290631621875,3.926601602744206,Susd4,chr1,1,914,-7.4352530884610815
chr1-g924,Bergmann,1.4882431238773195,0.06679338470310331,Marc2,chr1,1,924,4.477761194950823
chr1-g950,Bergmann,0.4180498223458816,0.02353920233777771,Prox1,chr1,1,950,4.150537551708561
chr1-g966,Bergmann,1.5193815684431453,0.052877549786122885,Hsd11b1,chr1,1,966,4.844685087459933
chr1-g973,Bergmann,5.273347311560554,0.05958465447655439,Plxna2,chr1,1,973,6.467634383326268
chr1-g974,Bergmann,5.273347311560554,0.05958465447655439,Plxna2,chr1,1,974,6.467634383326268
chr2-g15,Bergmann,3.340413141806502,0.11067451353731991,Fam171a1,chr2,2,15,4.915631608755702
chr2-g16,Bergmann,3.340413141806502,0.11067451353731991,Fam171a1,chr2,2,16,4.915631608755702
chr2-g18,Purkinje,0.08279203559368063,23.550540537766835,Fam107b,chr2,2,18,-8.152052467565658
chr2-g29,Bergmann,1.562156183095309,0.07824637865422228,Dhtkd1,chr2,2,29,4.319370906175928
chr2-g50,Bergmann,0.9752514003205427,0.013035403083150727,Itih5,chr2,2,50,6.225267064794237
chr2-g51,Bergmann,0.9752514003205427,0.013035403083150727,Itih5,chr2,2,51,6.225267064794237
chr2-g67,Bergmann,3.1900953958494798,0.04815763776441951,Vim,chr2,2,67,6.049691129874899
chr2-g71,Bergmann,6.05447466849515,0.12855254430141724,Slc39a12,chr2,2,71,5.55757171706933
chr2-g72,Bergmann,6.05447466849515,0.12855254430141724,Slc39a12,chr2,2,72,5.55757171706933
chr2-g81,Purkinje,0.2691161949747247,7.541865520653989,Plxdc2,chr2,2,81,-4.808620308204759
chr2-g82,Purkinje,0.2691161949747247,7.541865520653989,Plxdc2,chr2,2,82,-4.808620308204759
chr2-g83,Purkinje,0.2691161949747247,7.541865520653989,Plxdc2,chr2,2,83,-4.808620308204759
chr2-g88,Bergmann,33.11218316949346,0.16209768602177121,Nebl,chr2,2,88,7.674354827926828
chr2-g90,Bergmann,1.2915616414665707,0.020099091389873237,Skida1,chr2,2,90,6.005842405733917
chr2-g101,Purkinje,0.5885720486081194,26.082044585448656,Etl4,chr2,2,101,-5.469694127354328
chr2-g102,Purkinje,0.5885720486081194,26.082044585448656,Etl4,chr2,2,102,-5.469694127354328
chr2-g103,Purkinje,0.5885720486081194,26.082044585448656,Etl4,chr2,2,103,-5.469694127354328
chr2-g104,Purkinje,0.5885720486081194,26.082044585448656,Etl4,chr2,2,104,-5.469694127354328
chr2-g113,Purkinje,0.05,1.3235185216643264,Gad2,chr2,2,113,-4.726306479313648
chr2-g114,Bergmann,6.543222460455824,0.3643414711376715,Abi1,chr2,2,114,4.166638196973854
chr2-g115,Bergmann,6.543222460455824,0.3643414711376715,Abi1,chr2,2,115,4.166638196973854
chr2-g120,Bergmann,0.49446580227320214,0.018016463960098452,Hnmt,chr2,2,120,4.778482955854698
chr2-g124,Bergmann,15.593021837349262,0.4034660314153582,Pnpla7,chr2,2,124,5.27230951551754
chr2-g125,Bergmann,15.593021837349262,0.4034660314153582,Pnpla7,chr2,2,125,5.27230951551754
chr2-g132,Bergmann,1.1464753157207503,0.008485401248778526,Notch1,chr2,2,132,7.0780066958182495
chr2-g136,Bergmann,0.40230899913613627,0.018989200503405513,Vav2,chr2,2,136,4.405052939037991
chr2-g137,Bergmann,0.40230899913613627,0.018989200503405513,Vav2,chr2,2,137,4.405052939037991
chr2-g155,Bergmann,25.876717988401214,0.15114367543226057,Fnbp1,chr2,2,155,7.41959022690487
chr2-g164,Purkinje,0.44863592137262387,45.02366602194255,Garnl3,chr2,2,164,-6.648994583101259
chr2-g165,Purkinje,0.44863592137262387,45.02366602194255,Garnl3,chr2,2,165,-6.648994583101259
chr2-g202,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,202,-4.943877626936445
chr2-g203,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,203,-4.943877626936445
chr2-g204,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,204,-4.943877626936445
chr2-g205,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,205,-4.943877626936445
chr2-g206,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,206,-4.943877626936445
chr2-g207,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,207,-4.943877626936445
chr2-g208,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,208,-4.943877626936445
chr2-g209,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,209,-4.943877626936445
chr2-g210,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,210,-4.943877626936445
chr2-g211,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,211,-4.943877626936445
chr2-g212,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,212,-4.943877626936445
chr2-g213,Purkinje,1.137631991404965,35.01525205807048,Lrp1b,chr2,2,213,-4.943877626936445
chr2-g224,Bergmann,32.21711703536196,0.0040287361288862625,Zeb2,chr2,2,224,12.965212463059654
chr2-g225,Bergmann,32.21711703536196,0.0040287361288862625,Zeb2,chr2,2,225,12.965212463059654
chr2-g260,Bergmann,1.03158215577536,0.0045500018343722,Tnfaip6,chr2,2,260,7.824775880549326
chr2-g303,Purkinje,0.4068351649449846,12.559653871506965,Rbms1,chr2,2,303,-4.948208511211111
chr2-g304,Purkinje,0.4068351649449846,12.559653871506965,Rbms1,chr2,2,304,-4.948208511211111
chr2-g310,Purkinje,0.14296252137991977,7.893825264670598,Slc4a10,chr2,2,310,-5.787015695387011
chr2-g311,Purkinje,0.14296252137991977,7.893825264670598,Slc4a10,chr2,2,311,-5.787015695387011
chr2-g325,Bergmann,1.2652410596933015,0.0183607950120195,Cobll1,chr2,2,325,6.106639941963036
chr2-g326,Bergmann,1.2652410596933015,0.0183607950120195,Cobll1,chr2,2,326,6.106639941963036
chr2-g331,Purkinje,0.18229329021827564,4.072306465460175,Scn1a,chr2,2,331,-4.48151277164516
chr2-g332,"Purkinje,Purkinje,Purkinje",0.24867255196325216,7.78659614174153,"Scn1a,Gm13629,Scn9a",chr2,2,332,-4.9686736223082795
chr2-g333,Purkinje,0.05,1.5877709025161226,Scn9a,chr2,2,333,-4.988930857716014
chr2-g378,Bergmann,1.3402882277090722,0.08372054187812451,Nfe2l2,chr2,2,378,4.000817824604573
chr2-g382,Purkinje,0.38941827262971074,9.34474533714434,Osbpl6,chr2,2,382,-4.584762862027258
chr2-g383,"Purkinje,Bergmann",1.092900654695652,9.392591072031582,"Osbpl6,Fkbp7",chr2,2,383,-3.1033609343788977
chr2-g387,"Purkinje,Purkinje",0.34635971478959754,15.3458817526666,"Zfp385b,Gm13944",chr2,2,387,-5.4694365936821105
chr2-g388,Purkinje,0.32542077513204515,11.66205064806361,Zfp385b,chr2,2,388,-5.163371326461215
chr2-g389,Purkinje,0.32542077513204515,11.66205064806361,Zfp385b,chr2,2,389,-5.163371326461215
chr2-g418,Bergmann,6.011272922611148,0.11325679299097137,Itgav,chr2,2,418,5.73000103359994
chr2-g419,Bergmann,6.011272922611148,0.11325679299097137,Itgav,chr2,2,419,5.73000103359994
chr2-g421,Bergmann,0.5882079263286725,0.008578737963258462,Calcrl,chr2,2,421,6.099416989663517
chr2-g422,Bergmann,0.5882079263286725,0.008578737963258462,Calcrl,chr2,2,422,6.099416989663517
chr2-g454,Purkinje,0.05517587023799925,1.5703927446551278,C1qtnf4,chr2,2,454,-4.830944123356314
chr2-g513,Bergmann,20.9267054496272,0.0700118802583299,Slc1a2,chr2,2,513,8.22352973401085
chr2-g517,Bergmann,1.8959355059101137,0.07612161248835103,Abtb2,chr2,2,517,4.638459956024068
chr2-g518,Bergmann,1.8959355059101137,0.07612161248835103,Abtb2,chr2,2,518,4.638459956024068
chr2-g528,Bergmann,2.494224534566647,0.034990396509225016,Pax6,chr2,2,528,6.155488521573567
chr2-g533,Purkinje,0.0663792617449765,2.818693761993933,Mpped2,chr2,2,533,-5.4081503498912
chr2-g534,Purkinje,0.0663792617449765,2.818693761993933,Mpped2,chr2,2,534,-5.4081503498912
chr2-g585,Bergmann,9.38513368487503,0.1759565471262325,Spred1,chr2,2,585,5.737086194313449
chr2-g607,Purkinje,0.15688271174705426,29.17020894334909,Frmd5,chr2,2,607,-7.538665531818873
chr2-g608,Purkinje,0.15688271174705426,29.17020894334909,Frmd5,chr2,2,608,-7.538665531818873
chr2-g609,Purkinje,0.15688271174705426,29.17020894334909,Frmd5,chr2,2,609,-7.538665531818873
chr2-g612,Bergmann,0.9686651664576825,0.016542873506551037,Gatm,chr2,2,612,5.87171630444228
chr2-g613,Bergmann,0.9686651664576825,0.016542873506551037,Gatm,chr2,2,613,5.87171630444228
chr2-g620,Bergmann,24.720139739811323,0.27508317985596636,Sema6d,chr2,2,620,6.489675160609013
chr2-g621,Bergmann,24.720139739811323,0.27508317985596636,Sema6d,chr2,2,621,6.489675160609013
chr2-g622,Bergmann,24.720139739811323,0.27508317985596636,Sema6d,chr2,2,622,6.489675160609013
chr2-g623,Bergmann,24.720139739811323,0.27508317985596636,Sema6d,chr2,2,623,6.489675160609013
chr2-g637,Bergmann,3.7714776965360413,0.05,Kcnip3,chr2,2,637,6.237057989142193
chr2-g638,Bergmann,0.9579606715560663,0.05,Nphp1,chr2,2,638,4.259966428283269
chr2-g643,Bergmann,31.731355298454464,0.0825081478437658,Mertk,chr2,2,643,8.587156831716024
chr2-g644,Bergmann,31.731355298454464,0.0825081478437658,Mertk,chr2,2,644,8.587156831716024
chr2-g647,Bergmann,6.573879428558418,0.18701165362135466,Sirpa,chr2,2,647,5.135544916716585
chr2-g648,Bergmann,6.573879428558418,0.18701165362135466,Sirpa,chr2,2,648,5.135544916716585
chr2-g651,Bergmann,0.5407160976923067,0.01346646212572625,Ebf4,chr2,2,651,5.327428523058849
chr2-g659,Bergmann,1.6519087667251038,0.01213495584658065,Rassf2,chr2,2,659,7.088821340915751
chr2-g660,Bergmann,1.6519087667251038,0.01213495584658065,Rassf2,chr2,2,660,7.088821340915751
chr2-g673,Bergmann,71.78300871791262,2.9457506926023886,Plcb1,chr2,2,673,4.606935152438789
chr2-g674,Bergmann,71.78300871791262,2.9457506926023886,Plcb1,chr2,2,674,4.606935152438789
chr2-g675,Bergmann,71.78300871791262,2.9457506926023886,Plcb1,chr2,2,675,4.606935152438789
chr2-g676,Bergmann,71.78300871791262,2.9457506926023886,Plcb1,chr2,2,676,4.606935152438789
chr2-g677,Bergmann,71.78300871791262,2.9457506926023886,Plcb1,chr2,2,677,4.606935152438789
chr2-g725,Bergmann,9.35657048426055,0.10330989606494886,Slc24a3,chr2,2,725,6.500929465839157
chr2-g726,Bergmann,9.35657048426055,0.10330989606494886,Slc24a3,chr2,2,726,6.500929465839157
chr2-g727,Bergmann,9.35657048426055,0.10330989606494886,Slc24a3,chr2,2,727,6.500929465839157
chr2-g728,Bergmann,9.35657048426055,0.10330989606494886,Slc24a3,chr2,2,728,6.500929465839157
chr2-g735,Bergmann,3.0777817313658806,0.03849966671229696,Nkx2.2os,chr2,2,735,6.320901156123185
chr2-g736,Bergmann,3.0777817313658806,0.03849966671229696,Nkx2.2os,chr2,2,736,6.320901156123185
chr2-g753,Bergmann,2.846605969041047,0.05,Acss1,chr2,2,753,5.831170902034079
chr2-g771,Bergmann,5.755477973832696,0.21362322321204502,Snta1,chr2,2,771,4.751795346885603
chr2-g772,Bergmann,5.755477973832696,0.21362322321204502,Snta1,chr2,2,772,4.751795346885603
chr2-g778,Purkinje,0.04362623028917425,2.7429833321829165,Mmp24,chr2,2,778,-5.974406228538638
chr2-g779,Purkinje,0.04362623028917425,2.7429833321829165,Mmp24,chr2,2,779,-5.974406228538638
chr2-g782,Bergmann,3.1665496991353246,0.09150339713005089,Epb41l1,chr2,2,782,5.1129426070283355
chr2-g791,Purkinje,0.5578991143774592,165.22638873796987,Snhg11,chr2,2,791,-8.210224145194818
chr2-g793,Purkinje,0.2277336123057,15.653413775789861,Ppp1r16b,chr2,2,793,-6.102986269958669
chr2-g819,Purkinje,0.022687290631621875,1.470456603523762,Rims4,chr2,2,819,-6.018236068117524
chr2-g821,Bergmann,0.43615448669529155,0.022514760589124074,Matn4,chr2,2,821,4.275896188708296
chr2-g822,"Bergmann,Bergmann",7.562097579787523,0.034128450730218786,"Matn4,Sdc4",chr2,2,822,7.791667731055339
chr2-g824,"Bergmann,Purkinje",2.7669436248279005,2.5490642354124775,"Pltp,Slc12a5",chr2,2,824,0.11832552085218402
chr2-g825,Bergmann,12.738887931843575,0.0225454183867277,Cdh22,chr2,2,825,9.142189341594126
chr2-g826,"Bergmann,Bergmann",17.39319263318456,0.2056839762771802,"Cdh22,Elmo2",chr2,2,826,6.401949557051278
chr2-g832,Bergmann,7.527426257955728,0.06437007719980828,Prex1,chr2,2,832,6.869622660415935
chr2-g833,Bergmann,7.527426257955728,0.06437007719980828,Prex1,chr2,2,833,6.869622660415935
chr2-g861,Purkinje,0.039165805304506376,1.9138898770529575,Cass4,chr2,2,861,-5.610769388497001
chr2-g862,Purkinje,0.039165805304506376,1.9138898770529575,Cass4,chr2,2,862,-5.610769388497001
chr2-g870,Bergmann,0.4169798876412705,0.01346646212572625,Npepl1,chr2,2,870,4.952535014694074
chr2-g872,Bergmann,0.2855558157301171,0.008485401248778526,Ctsz,chr2,2,872,5.072646075067514
chr2-g897,Bergmann,14.795205276900276,0.15199463298556376,Cdh4,chr2,2,897,6.604965520988623
chr2-g898,Bergmann,14.795205276900276,0.15199463298556376,Cdh4,chr2,2,898,6.604965520988623
chr2-g899,Bergmann,14.795205276900276,0.15199463298556376,Cdh4,chr2,2,899,6.604965520988623
chr2-g902,Bergmann,3.4030406654369854,0.008578737963258462,Col9a3,chr2,2,902,8.631843250553363
chr2-g903,Bergmann,3.4030406654369854,0.008578737963258462,Col9a3,chr2,2,903,8.631843250553363
chr2-g907,Purkinje,0.16413216539550213,6.719481158270692,Zbtb46,chr2,2,907,-5.355419939986083
chr3-g90,Bergmann,2.0297436083927547,0.011613690141094712,Cyp7b1,chr3,3,90,7.449327243579783
chr3-g91,Bergmann,2.0297436083927547,0.011613690141094712,Cyp7b1,chr3,3,91,7.449327243579783
chr3-g139,Bergmann,0.9173386183057309,0.04985032982166979,Pld1,chr3,3,139,4.201779420904526
chr3-g140,Bergmann,0.9173386183057309,0.04985032982166979,Pld1,chr3,3,140,4.201779420904526
chr3-g162,Bergmann,8.569444231345283,0.0215208043319292,Gnb4,chr3,3,162,8.637325832521718
chr3-g163,Bergmann,8.569444231345283,0.0215208043319292,Gnb4,chr3,3,163,8.637325832521718
chr3-g173,Bergmann,1.4337090167511979,0.013128739797630663,Sox2,chr3,3,173,6.77087999511983
chr3-g183,Purkinje,0.13865584610010026,15.461552958180924,Trpc3,chr3,3,183,-6.801032975057858
chr3-g261,Bergmann,7.973593044991367,0.0045500018343722,Foxo1,chr3,3,261,10.775147132883598
chr3-g275,Bergmann,0.7385510551696015,0.04692375236586811,Spg20,chr3,3,275,3.9763073647342484
chr3-g311,Bergmann,6.030307114938585,0.054716915091839555,Arhgef26,chr3,3,311,6.784100773970323
chr3-g312,Bergmann,6.030307114938585,0.054716915091839555,Arhgef26,chr3,3,312,6.784100773970323
chr3-g325,Purkinje,0.197701870186549,9.941237010730006,A330015K06Rik,chr3,3,325,-5.652026957176719
chr3-g326,Purkinje,0.197701870186549,9.941237010730006,A330015K06Rik,chr3,3,326,-5.652026957176719
chr3-g327,Bergmann,3.6191423926193576,0.174899204205012,Tiparp,chr3,3,327,4.371052240556807
chr3-g395,Bergmann,3.217419881628017,0.0676987617709146,Rapgef2,chr3,3,395,5.570630966741148
chr3-g409,Bergmann,1.7879185698580813,0.052482464712267966,Ctso,chr3,3,409,5.090301746501218
chr3-g441,Bergmann,2.7136532930156774,0.05,Paqr6,chr3,3,441,5.762164503043231
chr3-g442,Bergmann,0.6425371700774115,0.05,Sema4a,chr3,3,442,3.68377991506176
chr3-g447,Bergmann,1.0333475692042493,0.05,Pbxip1,chr3,3,447,4.369253685032398
chr3-g452,Bergmann,1.1186100651083537,0.03759115959291628,S100a16,chr3,3,452,4.895169986864138
chr3-g482,Bergmann,0.6720839527782415,0.05,Txnip,chr3,3,482,3.748641457247834
