200kb name,category,Bergmann_mean,MLI1_mean,gene,chrom,chrom_id,group,log2FC_B2M
chr1-g390,Bergmann,11.347089300254478,0.36370046166810976,Pax3,chr1,1,390,4.96342770458572
chr1-g391,MLI1,0.07611480989555162,4.258912490075812,Sgpp2,chr1,1,391,-5.806164085510633
chr1-g392,MLI1,0.07611480989555162,4.258912490075812,Sgpp2,chr1,1,392,-5.806164085510633
chr1-g398,Bergmann,1.5806530877463942,0.03896971038651013,Serpine2,chr1,1,398,5.342023748377817
chr1-g399,Bergmann,1.5806530877463942,0.03896971038651013,Serpine2,chr1,1,399,5.342023748377817
chr1-g405,MLI1,0.103730975251233,2.8411095161532938,Nyap2,chr1,1,405,-4.775535775339606
chr1-g406,MLI1,0.103730975251233,2.8411095161532938,Nyap2,chr1,1,406,-4.775535775339606
chr1-g416,MLI1,0.3305553915155834,12.41616059502139,Sphkap,chr1,1,416,-5.231183266941749
chr1-g417,MLI1,0.3305553915155834,12.41616059502139,Sphkap,chr1,1,417,-5.231183266941749
chr1-g420,MLI1,0.10312949028601351,15.268656403399927,Pid1,chr1,1,420,-7.209972368538817
chr1-g421,"MLI1,MLI1",0.3063505063328404,27.755569600134965,"Pid1,Dner",chr1,1,421,-6.501450254394951
chr1-g422,MLI1,0.20322101604682688,12.486913196735038,Dner,chr1,1,422,-5.94122346640708
chr1-g423,MLI1,0.20322101604682688,12.486913196735038,Dner,chr1,1,423,-5.94122346640708
chr1-g436,Bergmann,0.9944354246107217,0.05,Efhd1,chr1,1,436,4.313877690195623
chr1-g443,MLI1,0.38401956393709336,5.864183657022125,Arl4c,chr1,1,443,-3.9326785708649927
chr1-g455,Bergmann,1.2036117442227987,0.09090236192371462,Ramp1,chr1,1,455,3.72690849812866
chr1-g456,Bergmann,1.2036117442227987,0.09090236192371462,Ramp1,chr1,1,456,3.72690849812866
chr1-g466,Bergmann,5.825358816414749,0.4774910660434914,Sned1,chr1,1,466,3.608801270765209
chr1-g476,MLI1,0.07849657414286225,1.2609478390436113,Fam174a,chr1,1,476,-4.005735096213293
chr1-g489,MLI1,0.8599572784666542,11.78913273786258,Pam,chr1,1,489,-3.7770487903726786
chr1-g490,MLI1,0.8599572784666542,11.78913273786258,Pam,chr1,1,490,-3.7770487903726786
chr1-g523,Bergmann,24.011005391922627,1.7156975952717834,Cdh20,chr1,1,523,3.80682861914415
chr1-g524,Bergmann,24.011005391922627,1.7156975952717834,Cdh20,chr1,1,524,3.80682861914415
chr1-g526,MLI1,0.12121360839068701,1.140977112871285,Rnf152,chr1,1,526,-3.234646271276745
chr1-g549,MLI1,0.05,3.4906568910084994,Cdh7,chr1,1,549,-6.125426651157159
chr1-g550,MLI1,0.05,3.4906568910084994,Cdh7,chr1,1,550,-6.125426651157159
chr1-g554,Bergmann,6.302968974013534,0.10250538043614013,Cdh19,chr1,1,554,5.942260018279521
chr1-g594,Bergmann,4.999693611315221,0.02596632576860225,Gli2,chr1,1,594,7.589053989550988
chr1-g595,Bergmann,4.999693611315221,0.02596632576860225,Gli2,chr1,1,595,7.589053989550988
chr1-g605,Bergmann,2.5600164135019927,0.18099898406348286,Celrr,chr1,1,605,3.8220995553873056
chr1-g616,MLI1,0.22287053047073938,2.3822740396871014,Dpp10,chr1,1,616,-3.4180616091134586
chr1-g617,MLI1,0.22287053047073938,2.3822740396871014,Dpp10,chr1,1,617,-3.4180616091134586
chr1-g618,MLI1,0.22287053047073938,2.3822740396871014,Dpp10,chr1,1,618,-3.4180616091134586
chr1-g619,MLI1,0.22287053047073938,2.3822740396871014,Dpp10,chr1,1,619,-3.4180616091134586
chr1-g620,MLI1,0.22287053047073938,2.3822740396871014,Dpp10,chr1,1,620,-3.4180616091134586
chr1-g629,Bergmann,23.077369634800515,0.7660249005227726,Nckap5,chr1,1,629,4.91294369495642
chr1-g630,Bergmann,23.077369634800515,0.7660249005227726,Nckap5,chr1,1,630,4.91294369495642
chr1-g631,Bergmann,23.077369634800515,0.7660249005227726,Nckap5,chr1,1,631,4.91294369495642
chr1-g632,Bergmann,23.077369634800515,0.7660249005227726,Nckap5,chr1,1,632,4.91294369495642
chr1-g633,Bergmann,23.077369634800515,0.7660249005227726,Nckap5,chr1,1,633,4.91294369495642
chr1-g634,Bergmann,23.077369634800515,0.7660249005227726,Nckap5,chr1,1,634,4.91294369495642
chr1-g636,MLI1,0.5096073812776398,20.577043881811914,Mgat5,chr1,1,636,-5.335505753823897
chr1-g637,MLI1,0.5096073812776398,20.577043881811914,Mgat5,chr1,1,637,-5.335505753823897
chr1-g664,MLI1,0.6399161589361898,5.6506393104942,Lrrn2,chr1,1,664,-3.1424593001582353
chr1-g665,MLI1,0.07583902712744313,1.202712703353484,Pik3c2b,chr1,1,665,-3.9872077940030004
chr1-g670,Bergmann,0.876509628585546,0.017583604751994875,Adora1,chr1,1,670,5.63946717161527
chr1-g671,Bergmann,0.876509628585546,0.017583604751994875,Adora1,chr1,1,671,5.63946717161527
chr1-g673,MLI1,0.20503510784507675,10.624886578984425,Syt2,chr1,1,673,-5.695432668962263
chr1-g675,Bergmann,13.634425502188375,0.124954934111263,Gpr37l1,chr1,1,675,6.769702231727402
chr1-g678,Bergmann,7.04513481407013,0.0582730421825815,Csrp1,chr1,1,678,6.9176548741554225
chr1-g692,Bergmann,2.844901238514884,0.03756934428102775,Nek7,chr1,1,692,6.2426788236144555
chr1-g693,Bergmann,2.844901238514884,0.03756934428102775,Nek7,chr1,1,693,6.2426788236144555
chr1-g764,MLI1,0.810836486547463,7.782622223573265,Nmnat2,chr1,1,764,-3.262773414225239
chr1-g765,MLI1,0.810836486547463,7.782622223573265,Nmnat2,chr1,1,765,-3.262773414225239
chr1-g769,Bergmann,10.936272954154557,0.2521989164783816,Glul,chr1,1,769,5.438415268509233
chr1-g771,MLI1,0.209276042300716,3.647949293628211,Cacna1e,chr1,1,771,-4.123606608268254
chr1-g772,MLI1,0.209276042300716,3.647949293628211,Cacna1e,chr1,1,772,-4.123606608268254
chr1-g773,MLI1,0.209276042300716,3.647949293628211,Cacna1e,chr1,1,773,-4.123606608268254
chr1-g782,Bergmann,2.74762754940468,0.07651292593804525,Soat1,chr1,1,782,5.166339150428147
chr1-g791,MLI1,0.32612465407902536,3.740739803090413,Astn1,chr1,1,791,-3.519828205076691
chr1-g792,MLI1,0.32612465407902536,3.740739803090413,Astn1,chr1,1,792,-3.519828205076691
chr1-g793,MLI1,0.32612465407902536,3.740739803090413,Astn1,chr1,1,793,-3.519828205076691
chr1-g797,MLI1,1.8779524452304892,28.472212477373276,Tnr,chr1,1,797,-3.9223221686121192
chr1-g798,MLI1,1.8779524452304892,28.472212477373276,Tnr,chr1,1,798,-3.9223221686121192
chr1-g799,MLI1,1.8779524452304892,28.472212477373276,Tnr,chr1,1,799,-3.9223221686121192
chr1-g816,Bergmann,2.1761742420662884,0.05,Prrx1,chr1,1,816,5.443722169904382
chr1-g822,MLI1,0.5290641576961603,31.388213911560964,Atp1b1,chr1,1,822,-5.890636443773451
chr1-g861,"Bergmann,MLI1,Bergmann",32.574072449101955,1.8528278709773323,"Atp1a2,Kcnj9,Kcnj10",chr1,1,861,4.135923333140609
chr1-g866,MLI1,0.06396368498150712,3.5714730411356985,Cadm3,chr1,1,866,-5.803122365491306
chr1-g867,MLI1,0.04362623028917425,1.3161420117720672,Aim2,chr1,1,867,-4.914975537224317
chr1-g875,MLI1,0.31523500874546884,21.840437554724488,Rgs7,chr1,1,875,-6.114430185837852
chr1-g876,MLI1,0.31523500874546884,21.840437554724488,Rgs7,chr1,1,876,-6.114430185837852
chr1-g877,MLI1,0.31523500874546884,21.840437554724488,Rgs7,chr1,1,877,-6.114430185837852
chr1-g879,MLI1,0.2619593290571456,13.587420296351235,Pld5,chr1,1,879,-5.696784921152687
chr1-g880,MLI1,0.2619593290571456,13.587420296351235,Pld5,chr1,1,880,-5.696784921152687
chr1-g881,MLI1,0.2619593290571456,13.587420296351235,Pld5,chr1,1,881,-5.696784921152687
chr1-g887,MLI1,0.060104744962058754,3.3076996323264014,Zbtb18,chr1,1,887,-5.782205532247538
chr1-g913,MLI1,0.022687290631621875,1.61485508542294,Susd4,chr1,1,913,-6.153376565959187
chr1-g914,MLI1,0.022687290631621875,1.61485508542294,Susd4,chr1,1,914,-6.153376565959187
chr1-g915,Bergmann,0.8368287936190207,0.02596632576860225,Disp1,chr1,1,915,5.0102187002860274
chr1-g916,Bergmann,0.8368287936190207,0.02596632576860225,Disp1,chr1,1,916,5.0102187002860274
chr1-g920,MLI1,0.4858433337591317,6.998042574833537,Dusp10,chr1,1,920,-3.848388362771741
chr1-g938,MLI1,1.8326677061051488,61.50153383298209,Esrrg,chr1,1,938,-5.068605261857293
chr1-g939,MLI1,1.8326677061051488,61.50153383298209,Esrrg,chr1,1,939,-5.068605261857293
chr1-g940,MLI1,1.8326677061051488,61.50153383298209,Esrrg,chr1,1,940,-5.068605261857293
chr1-g941,MLI1,1.8326677061051488,61.50153383298209,Esrrg,chr1,1,941,-5.068605261857293
chr1-g966,Bergmann,1.5193815684431453,0.1438249681407031,Hsd11b1,chr1,1,966,3.4010981694297224
chr1-g975,Bergmann,1.0880553043851104,0.05689880480659175,Cr2,chr1,1,975,4.257209730293385
chr2-g18,MLI1,0.08279203559368063,2.496967048736262,Fam107b,chr2,2,18,-4.9145409822154
chr2-g30,MLI1,0.06396368498150712,1.512588967009606,Proser2,chr2,2,30,-4.563623135034979
chr2-g50,Bergmann,0.9752514003205427,0.06490990742561975,Itih5,chr2,2,50,3.9092635610324455
chr2-g51,Bergmann,0.9752514003205427,0.06490990742561975,Itih5,chr2,2,51,3.9092635610324455
chr2-g60,MLI1,0.08671671643730938,1.599339952300484,Itga8,chr2,2,60,-4.205022687870848
chr2-g61,MLI1,0.08671671643730938,1.599339952300484,Itga8,chr2,2,61,-4.205022687870848
chr2-g67,Bergmann,3.1900953958494798,0.18671861965783126,Vim,chr2,2,67,4.094661860647087
chr2-g71,Bergmann,6.05447466849515,0.117686850411097,Slc39a12,chr2,2,71,5.684976749519447
chr2-g72,Bergmann,6.05447466849515,0.117686850411097,Slc39a12,chr2,2,72,5.684976749519447
chr2-g101,MLI1,0.5885720486081194,46.267274823786586,Etl4,chr2,2,101,-6.296629285331307
chr2-g102,MLI1,0.5885720486081194,46.267274823786586,Etl4,chr2,2,102,-6.296629285331307
chr2-g103,MLI1,0.5885720486081194,46.267274823786586,Etl4,chr2,2,103,-6.296629285331307
chr2-g104,MLI1,0.5885720486081194,46.267274823786586,Etl4,chr2,2,104,-6.296629285331307
chr2-g106,MLI1,2.850496645785289,23.88734738956904,Gpr158,chr2,2,106,-3.066961447258271
chr2-g107,MLI1,2.850496645785289,23.88734738956904,Gpr158,chr2,2,107,-3.066961447258271
chr2-g108,MLI1,2.850496645785289,23.88734738956904,Gpr158,chr2,2,108,-3.066961447258271
chr2-g109,MLI1,2.850496645785289,23.88734738956904,Gpr158,chr2,2,109,-3.066961447258271
chr2-g113,MLI1,0.05,7.579247291655518,Gad2,chr2,2,113,-7.243982673822414
chr2-g123,MLI1,0.1717233119845395,4.01449486178488,Cacna1b,chr2,2,123,-4.547060658706929
chr2-g124,Bergmann,15.593021837349262,0.520309039349631,Pnpla7,chr2,2,124,4.905387959320142
chr2-g125,Bergmann,15.593021837349262,0.520309039349631,Pnpla7,chr2,2,125,4.905387959320142
chr2-g126,"MLI1,MLI1",0.6197919174598765,17.220546226808185,"Grin1os,Grin1",chr2,2,126,-4.796203153527016
chr2-g129,MLI1,0.18551881696448289,4.482639652307924,Kcnt1,chr2,2,129,-4.594711099252011
chr2-g132,Bergmann,1.1464753157207503,0.021359976905022626,Notch1,chr2,2,132,5.746151395819976
chr2-g161,MLI1,0.24189577292478412,6.549539073159884,Dnm1,chr2,2,161,-4.7589359160185944
chr2-g162,MLI1,0.14074572066645863,1.2009849233527492,St6galnac4,chr2,2,162,-3.093055076832054
chr2-g163,MLI1,0.2014181380775781,5.7979867746452545,Stxbp1,chr2,2,163,-4.847286530902756
chr2-g164,MLI1,0.2014181380775781,5.7979867746452545,Stxbp1,chr2,2,164,-4.847286530902756
chr2-g177,MLI1,0.21584705633076273,4.3375013389529276,Dab2ip,chr2,2,177,-4.328782880114817
chr2-g178,"MLI1,MLI1",0.5376353475818586,6.964943666850989,"Dab2ip,Ttll11",chr2,2,178,-3.695411785879775
chr2-g179,MLI1,0.32178829125109587,2.627442327898062,Ttll11,chr2,2,179,-3.029475360010745
chr2-g202,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,202,-6.117965086545938
chr2-g203,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,203,-6.117965086545938
chr2-g204,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,204,-6.117965086545938
chr2-g205,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,205,-6.117965086545938
chr2-g206,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,206,-6.117965086545938
chr2-g207,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,207,-6.117965086545938
chr2-g208,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,208,-6.117965086545938
chr2-g209,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,209,-6.117965086545938
chr2-g210,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,210,-6.117965086545938
chr2-g211,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,211,-6.117965086545938
chr2-g212,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,212,-6.117965086545938
chr2-g213,MLI1,1.137631991404965,79.01195356853125,Lrp1b,chr2,2,213,-6.117965086545938
chr2-g224,Bergmann,32.21711703536196,0.08489564695465263,Zeb2,chr2,2,224,8.567921103075037
chr2-g225,Bergmann,32.21711703536196,0.08489564695465263,Zeb2,chr2,2,225,8.567921103075037
chr2-g248,MLI1,0.9105688048767326,9.776104998250647,Kif5c,chr2,2,248,-3.424419840098454
chr2-g260,Bergmann,1.03158215577536,0.05,Tnfaip6,chr2,2,260,4.366786817720911
chr2-g272,MLI1,0.8679640913757157,20.56302681634959,Galnt13,chr2,2,272,-4.566273472322109
chr2-g273,MLI1,0.8679640913757157,20.56302681634959,Galnt13,chr2,2,273,-4.566273472322109
chr2-g274,MLI1,0.8679640913757157,20.56302681634959,Galnt13,chr2,2,274,-4.566273472322109
chr2-g275,MLI1,0.8679640913757157,20.56302681634959,Galnt13,chr2,2,275,-4.566273472322109
chr2-g303,MLI1,0.4068351649449846,14.024452037568953,Rbms1,chr2,2,303,-5.107356208374108
chr2-g304,MLI1,0.4068351649449846,14.024452037568953,Rbms1,chr2,2,304,-5.107356208374108
chr2-g310,MLI1,0.14296252137991977,13.896610255195164,Slc4a10,chr2,2,310,-6.602952220756379
chr2-g311,MLI1,0.14296252137991977,13.896610255195164,Slc4a10,chr2,2,311,-6.602952220756379
chr2-g313,Bergmann,0.8254444489487321,0.05331599492747738,Gca,chr2,2,313,3.9525308123711063
chr2-g325,Bergmann,1.2652410596933015,0.05,Cobll1,chr2,2,325,4.661340375057583
chr2-g326,Bergmann,1.2652410596933015,0.05,Cobll1,chr2,2,326,4.661340375057583
chr2-g329,MLI1,0.3585178053131125,8.95973168596644,Csrnp3,chr2,2,329,-4.643338853670569
chr2-g330,MLI1,0.3585178053131125,8.95973168596644,Csrnp3,chr2,2,330,-4.643338853670569
chr2-g331,MLI1,0.18229329021827564,14.631224828338874,Scn1a,chr2,2,331,-6.326645276904677
chr2-g332,"MLI1,MLI1,MLI1",0.24867255196325216,30.24499346277085,"Scn1a,Gm13629,Scn9a",chr2,2,332,-6.926305264420234
chr2-g333,MLI1,0.05,6.814071747232605,Scn9a,chr2,2,333,-7.090445232933852
chr2-g344,MLI1,0.1397162568057495,4.0776062036113165,Cers6,chr2,2,344,-4.867150651598469
chr2-g345,MLI1,0.1397162568057495,4.0776062036113165,Cers6,chr2,2,345,-4.867150651598469
chr2-g352,"MLI1,MLI1",0.22947074945076826,18.20292435490945,"Gad1os,Gad1",chr2,2,352,-6.309716166574229
chr2-g358,Bergmann,2.04459473319241,0.19971679555230148,Itga6,chr2,2,358,3.355787340400104
chr2-g359,Bergmann,2.04459473319241,0.19971679555230148,Itga6,chr2,2,359,3.355787340400104
chr2-g367,Bergmann,1.3402403607224889,0.05266099141021888,Wipf1,chr2,2,367,4.669613266549638
chr2-g378,Bergmann,1.3402882277090722,0.10765598996515763,Nfe2l2,chr2,2,378,3.6380427860304074
chr2-g382,MLI1,0.38941827262971074,13.24141462423415,Osbpl6,chr2,2,382,-5.087592866985506
chr2-g383,MLI1,0.38941827262971074,13.24141462423415,Osbpl6,chr2,2,383,-5.087592866985506
chr2-g387,"MLI1,MLI1",0.34635971478959754,16.411030578481004,"Zfp385b,Gm13944",chr2,2,387,-5.566250890214027
chr2-g388,MLI1,0.32542077513204515,13.641733550273386,Zfp385b,chr2,2,388,-5.389576822314527
chr2-g389,MLI1,0.32542077513204515,13.641733550273386,Zfp385b,chr2,2,389,-5.389576822314527
chr2-g410,MLI1,0.2949885648575944,8.034759738589909,Zfp804a,chr2,2,410,-4.767523948961944
chr2-g411,MLI1,0.2949885648575944,8.034759738589909,Zfp804a,chr2,2,411,-4.767523948961944
chr2-g418,Bergmann,6.011272922611148,0.5649416981225538,Itgav,chr2,2,418,3.411496628033862
chr2-g419,"Bergmann,MLI1",6.304099406447705,3.5790482860388413,"Itgav,Fam171b",chr2,2,419,0.8167142764418827
chr2-g423,MLI1,0.0967779667849955,1.3490011085882228,Ypel4,chr2,2,423,-3.801069093792739
chr2-g454,MLI1,0.05517587023799925,8.870296786292903,C1qtnf4,chr2,2,454,-7.328801086454434
chr2-g455,MLI1,0.33759958013458036,2.9980824284482903,Madd,chr2,2,455,-3.150655033979403
chr2-g464,MLI1,0.05580928351124038,2.3275500514639718,Syt13,chr2,2,464,-5.382163256548742
chr2-g481,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,481,-5.29446854056784
chr2-g482,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,482,-5.29446854056784
chr2-g483,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,483,-5.29446854056784
chr2-g484,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,484,-5.29446854056784
chr2-g485,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,485,-5.29446854056784
chr2-g486,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,486,-5.29446854056784
chr2-g487,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,487,-5.29446854056784
chr2-g488,MLI1,1.276249608535093,50.08751248490057,Lrrc4c,chr2,2,488,-5.29446854056784
chr2-g513,Bergmann,20.9267054496272,0.48693542765654435,Slc1a2,chr2,2,513,5.425470922001153
chr2-g520,MLI1,0.6463923157594803,7.010667751518503,D430041D05Rik,chr2,2,520,-3.4390699117769508
chr2-g521,MLI1,0.6463923157594803,7.010667751518503,D430041D05Rik,chr2,2,521,-3.4390699117769508
chr2-g522,MLI1,0.6463923157594803,7.010667751518503,D430041D05Rik,chr2,2,522,-3.4390699117769508
chr2-g533,MLI1,0.0663792617449765,5.04881140512622,Mpped2,chr2,2,533,-6.249067393110397
chr2-g534,MLI1,0.0663792617449765,5.04881140512622,Mpped2,chr2,2,534,-6.249067393110397
chr2-g553,MLI1,0.04187787931510475,1.2184436181982752,Ano3,chr2,2,553,-4.862707297235237
chr2-g554,MLI1,0.04187787931510475,1.2184436181982752,Ano3,chr2,2,554,-4.862707297235237
chr2-g566,MLI1,0.19736034659426013,4.154949858408447,Fmn1,chr2,2,566,-4.395927007322524
chr2-g567,MLI1,0.19736034659426013,4.154949858408447,Fmn1,chr2,2,567,-4.395927007322524
chr2-g568,"MLI1,MLI1",0.5688483681075281,15.681917189976952,"Fmn1,Scg5",chr2,2,568,-4.7849139966135175
chr2-g569,MLI1,0.37148802151326804,11.526967331568505,Scg5,chr2,2,569,-4.955553496843505
chr2-g586,Bergmann,2.30024469942248,0.05,Rasgrp1,chr2,2,586,5.523715437737541
chr2-g593,MLI1,0.1553105381358354,1.586332594038415,Disp2,chr2,2,593,-3.3524676534721283
chr2-g597,Bergmann,1.0282649968402584,0.05,Exd1,chr2,2,597,4.36214020801843
chr2-g600,MLI1,0.04369197111335463,8.254128381516963,Pla2g4e,chr2,2,600,-7.561603874625593
chr2-g601,MLI1,0.04369197111335463,8.254128381516963,Pla2g4e,chr2,2,601,-7.561603874625593
chr2-g607,MLI1,0.15688271174705426,16.546228215453475,Frmd5,chr2,2,607,-6.72067219757573
chr2-g608,MLI1,0.15688271174705426,16.546228215453475,Frmd5,chr2,2,608,-6.72067219757573
chr2-g609,MLI1,0.15688271174705426,16.546228215453475,Frmd5,chr2,2,609,-6.72067219757573
chr2-g611,MLI1,0.12044019428214738,1.0941110261812679,Shf,chr2,2,611,-3.1833702992041855
chr2-g612,Bergmann,0.9686651664576825,0.073736307709352,Gatm,chr2,2,612,3.715550981307215
chr2-g613,Bergmann,0.9686651664576825,0.073736307709352,Gatm,chr2,2,613,3.715550981307215
chr2-g620,Bergmann,24.720139739811323,2.001806423545098,Sema6d,chr2,2,620,3.6263125224945427
chr2-g621,Bergmann,24.720139739811323,2.001806423545098,Sema6d,chr2,2,621,3.6263125224945427
chr2-g622,Bergmann,24.720139739811323,2.001806423545098,Sema6d,chr2,2,622,3.6263125224945427
chr2-g623,Bergmann,24.720139739811323,2.001806423545098,Sema6d,chr2,2,623,3.6263125224945427
chr2-g628,MLI1,0.10055045150124312,4.021779532418656,Shc4,chr2,2,628,-5.321842532657183
chr2-g638,Bergmann,0.9579606715560663,0.019329460525564,Nphp1,chr2,2,638,5.631093149871576
chr2-g643,Bergmann,31.731355298454464,0.1967043750681174,Mertk,chr2,2,643,7.33373628605592
chr2-g644,Bergmann,31.731355298454464,0.1967043750681174,Mertk,chr2,2,644,7.33373628605592
chr2-g651,MLI1,0.04362623028917425,1.3727531658778023,Nop56,chr2,2,651,-4.975732611369232
chr2-g659,Bergmann,1.6519087667251038,0.056553315138505006,Rassf2,chr2,2,659,4.868378603075032
chr2-g660,Bergmann,1.6519087667251038,0.056553315138505006,Rassf2,chr2,2,660,4.868378603075032
