200kb name,category,Granule_mean,Purkinje_mean,gene,chrom,chrom_id,group,log2FC_G2P
chr1-g182,Granule,1.81421360586222,0.20237458000785713,Cnnm3,chr1,1,182,3.164244337472535
chr1-g183,Granule,4.869191680636613,0.9891018142671447,Tmem131,chr1,1,183,2.299491355750529
chr1-g184,Granule,4.869191680636613,0.9891018142671447,Tmem131,chr1,1,184,2.299491355750529
chr1-g189,Granule,1.2447323415788674,0.26966351696816226,Txndc9,chr1,1,189,2.2066032924121566
chr1-g190,Granule,4.604000470264772,1.1433606243791963,Rev1,chr1,1,190,2.009607468839068
chr1-g193,Granule,1.9051127618722488,0.20480041824298925,Lonrf2,chr1,1,193,3.2175858253160774
chr1-g194,"Granule,Granule,Granule",3.6723267687322676,0.25357733898599416,"Lonrf2,Chst10,Pdcl3",chr1,1,194,3.856196707989581
chr1-g196,Granule,3.09121005693546,0.10183017024655797,Tbc1d8,chr1,1,196,4.9239347213552165
chr1-g197,Granule,3.09121005693546,0.10183017024655797,Tbc1d8,chr1,1,197,4.9239347213552165
chr1-g200,Granule,0.7305311343922918,0.10291442465121836,Gm16894,chr1,1,200,2.827500553472928
chr1-g213,Granule,0.19778532062690396,0.07136357424636072,Pantr1,chr1,1,213,1.4706755754959302
chr1-g217,Granule,2.2128037019060773,0.28535588872931567,Nck2,chr1,1,217,2.9550412346351798
chr1-g230,Purkinje,0.1715257315629944,1.1112320266242337,Dnah7b,chr1,1,230,-2.6956631599538263
chr1-g231,Purkinje,0.1715257315629944,1.1112320266242337,Dnah7b,chr1,1,231,-2.6956631599538263
chr1-g258,Purkinje,0.07176139177414331,1.7745721734411002,Myo1b,chr1,1,258,-4.628119570233556
chr1-g259,Purkinje,0.07176139177414331,1.7745721734411002,Myo1b,chr1,1,259,-4.628119570233556
chr1-g260,"Granule,Granule",12.722856642360437,1.5611493979384352,"Stat1,Gls",chr1,1,260,3.0267421217704924
chr1-g261,Granule,11.97815692126365,1.4600360400665018,Gls,chr1,1,261,3.036330051077653
chr1-g263,Granule,2.2451060707029122,0.3257071638711891,Mfsd6,chr1,1,263,2.7851362501156927
chr1-g265,Granule,1.8429047908882463,0.2798868182022891,Pms1,chr1,1,265,2.7190660924487933
chr1-g266,"Granule,Granule",2.156140103806672,0.3438289664110914,"Pms1,Osgepl1",chr1,1,266,2.648687928845773
chr1-g268,Purkinje,0.03736779987990324,2.01292594888445,Stk17b,chr1,1,268,-5.751354665394789
chr1-g272,Granule,1.8725716415819915,0.1978042578627944,Pgap1,chr1,1,272,3.2428755284592095
chr1-g275,Granule,1.0108461941400055,0.14383838695510717,Coq10b,chr1,1,275,2.8130428475072935
chr1-g277,Granule,1.8153690490601126,0.0692674593160813,Plcl1,chr1,1,277,4.711941297702978
chr1-g278,Granule,1.8153690490601126,0.0692674593160813,Plcl1,chr1,1,278,4.711941297702978
chr1-g288,Purkinje,0.03351581589291201,0.6626403149758903,Spats2l,chr1,1,288,-4.305312019863453
chr1-g289,Purkinje,0.03351581589291201,0.6626403149758903,Spats2l,chr1,1,289,-4.305312019863453
chr1-g292,Granule,4.080196438476974,0.6862026337305082,Fam126b,chr1,1,292,2.5719320432484354
chr1-g295,Granule,12.752314357948375,0.28357451353845636,Als2,chr1,1,295,5.490887413444086
chr1-g296,Granule,12.752314357948375,0.28357451353845636,Als2,chr1,1,296,5.490887413444086
chr1-g298,Granule,3.767221309657505,0.8345650452862214,Bmpr2,chr1,1,298,2.174404387018612
chr1-g299,"Granule,Granule,Granule",8.927716369235352,1.5027609865167346,"Bmpr2,Fam117b,Ica1l",chr1,1,299,2.5706756264442117
chr1-g300,Granule,1.6272770054478725,0.1479039932129174,Ica1l,chr1,1,300,3.4597269477060526
chr1-g315,Granule,3.9537172051657636,0.7419127358745433,Ino80dos,chr1,1,315,2.413888272625839
chr1-g320,Granule,6.187356311797506,0.15841481693377804,Klf7,chr1,1,320,5.287543931227703
chr1-g330,Granule,18.374335468321675,2.084931962633864,Map2,chr1,1,330,3.139619863720091
chr1-g331,Granule,18.374335468321675,2.084931962633864,Map2,chr1,1,331,3.139619863720091
chr1-g332,Granule,18.374335468321675,2.084931962633864,Map2,chr1,1,332,3.139619863720091
chr1-g334,Granule,0.6530984635381538,0.1544121533835437,Acadl,chr1,1,334,2.080514206313936
chr1-g340,Granule,26.059244427792763,0.3097532462501669,Erbb4,chr1,1,340,6.394532042149798
chr1-g341,Granule,26.059244427792763,0.3097532462501669,Erbb4,chr1,1,341,6.394532042149798
chr1-g342,Granule,26.059244427792763,0.3097532462501669,Erbb4,chr1,1,342,6.394532042149798
chr1-g343,Granule,26.059244427792763,0.3097532462501669,Erbb4,chr1,1,343,6.394532042149798
chr1-g344,Granule,26.059244427792763,0.3097532462501669,Erbb4,chr1,1,344,6.394532042149798
chr1-g345,Granule,26.059244427792763,0.3097532462501669,Erbb4,chr1,1,345,6.394532042149798
chr1-g361,"Granule,Granule",2.60225204308054,0.42254406280555235,"D230017M19Rik,Tmem169",chr1,1,361,2.6225870038512977
chr1-g362,Purkinje,0.11034418834968608,1.9788926191154625,March4,chr1,1,362,-4.164610777065823
chr1-g363,Granule,1.4540349340708778,0.34850213873590113,Rpl37a,chr1,1,363,2.0608225163339284
chr1-g364,Granule,1.1599263982208123,0.00758495401220845,Igfbp5,chr1,1,364,7.256677114987207
chr1-g371,"Granule,Granule,Granule",4.184946953075233,0.5132411810616929,"Pnkd,Tmbim1,Ctdsp1",chr1,1,371,3.027500497724189
chr1-g373,Purkinje,0.05346286845722674,1.7977290406708006,Cyp27a1,chr1,1,373,-5.071494534564498
chr1-g375,Granule,0.44164722601925427,0.07506934230198431,Cnppd1,chr1,1,375,2.556598701555722
chr1-g376,Granule,2.6309094659693,0.04403869497262284,Speg,chr1,1,376,5.900646076351395
chr1-g377,"Granule,Granule",3.319785083040532,0.06302789547602836,"Speg,Gmppa",chr1,1,377,5.718955545435733
chr1-g386,Purkinje,0.04458477551136685,0.6806925449252575,Epha4,chr1,1,386,-3.9323802509268844
chr1-g387,Purkinje,0.04458477551136685,0.6806925449252575,Epha4,chr1,1,387,-3.9323802509268844
chr1-g391,Granule,8.41400681224055,0.5716594500839415,Sgpp2,chr1,1,391,3.8795651228315533
chr1-g392,Granule,8.41400681224055,0.5716594500839415,Sgpp2,chr1,1,392,3.8795651228315533
chr1-g405,Granule,6.718356553929617,0.5787693172462751,Nyap2,chr1,1,405,3.5370480174570376
chr1-g406,Granule,6.718356553929617,0.5787693172462751,Nyap2,chr1,1,406,3.5370480174570376
chr1-g416,Granule,41.0411815473095,7.970327411181694,Sphkap,chr1,1,416,2.364361371066317
chr1-g417,Granule,41.0411815473095,7.970327411181694,Sphkap,chr1,1,417,2.364361371066317
chr1-g420,Granule,2.52351358816524,0.4308534535886877,Pid1,chr1,1,420,2.550164701785414
chr1-g421,"Granule,Purkinje",3.1015667480533837,21.8235046456234,"Pid1,Dner",chr1,1,421,-2.814813725018229
chr1-g422,Purkinje,0.5780531598881435,21.392651192034712,Dner,chr1,1,422,-5.209769302253123
chr1-g423,Purkinje,0.5780531598881435,21.392651192034712,Dner,chr1,1,423,-5.209769302253123
chr1-g428,Granule,2.6278802444762897,0.552614297317928,Cab39,chr1,1,428,2.2495547385237176
chr1-g429,"Granule,Granule",4.466223854987467,0.7448515775995008,"Cab39,Itm2c",chr1,1,429,2.58403068181487
chr1-g432,Granule,3.30492166041715,0.5817533300082838,Ptma,chr1,1,432,2.506136605734511
chr1-g436,Granule,0.4612035730050757,0.10835583203094976,Kcnj13,chr1,1,436,2.0896268841522763
chr1-g439,Granule,12.982140641258098,1.2406152790804639,Dgkd,chr1,1,439,3.3874005876409035
chr1-g443,Granule,0.3379903454458506,0.029057010884215775,Arl4c,chr1,1,443,3.5400238324788256
chr1-g447,Granule,15.085598735180511,2.959323159576355,Agap1,chr1,1,447,2.3498328037466525
chr1-g448,Granule,15.085598735180511,2.959323159576355,Agap1,chr1,1,448,2.3498328037466525
chr1-g449,Granule,15.085598735180511,2.959323159576355,Agap1,chr1,1,449,2.3498328037466525
chr1-g453,Granule,1.2843725790014098,0.2678981085866822,Cops8,chr1,1,453,2.2613074687475914
chr1-g454,Purkinje,0.5514294795658325,7.280089428823953,Lrrfip1,chr1,1,454,-3.7227078712585007
chr1-g455,Purkinje,0.5514294795658325,7.280089428823953,Lrrfip1,chr1,1,455,-3.7227078712585007
chr1-g456,Granule,0.35880311316207886,0.07131748626496814,Scly,chr1,1,456,2.330864649736634
chr1-g457,Granule,0.865848336280851,0.09433559520340476,Per2,chr1,1,457,3.1982401977167036
chr1-g464,Granule,0.28001980002704113,0.016070355260986977,Gpc1,chr1,1,464,4.123055115285174
chr1-g466,Granule,0.8716050058082222,0.2275908177118569,Ppp1r7,chr1,1,466,1.937232129752984
chr1-g468,Granule,1.268102696334591,0.3230623431227364,Dtymk,chr1,1,468,1.972787084052065
chr1-g469,Granule,1.268102696334591,0.3230623431227364,Dtymk,chr1,1,469,1.972787084052065
chr1-g498,Purkinje,0.3840738732641813,50.45873060408144,Cntnap5b,chr1,1,498,-7.03757627504401
chr1-g499,Purkinje,0.3840738732641813,50.45873060408144,Cntnap5b,chr1,1,499,-7.03757627504401
chr1-g500,Purkinje,0.3840738732641813,50.45873060408144,Cntnap5b,chr1,1,500,-7.03757627504401
chr1-g501,Purkinje,0.3840738732641813,50.45873060408144,Cntnap5b,chr1,1,501,-7.03757627504401
chr1-g502,Purkinje,0.3840738732641813,50.45873060408144,Cntnap5b,chr1,1,502,-7.03757627504401
chr1-g523,Granule,0.5066189971610123,0.039230376067680525,Cdh20,chr1,1,523,3.690858105671406
chr1-g524,Granule,0.5066189971610123,0.039230376067680525,Cdh20,chr1,1,524,3.690858105671406
chr1-g526,Granule,3.0919663510819113,0.25669468057549677,Rnf152,chr1,1,526,3.5903993142420885
chr1-g530,Granule,5.2906027532122835,0.9119093141561327,Phlpp1,chr1,1,530,2.5364698303314963
chr1-g531,Granule,5.2906027532122835,0.9119093141561327,Phlpp1,chr1,1,531,2.5364698303314963
chr1-g532,Granule,3.3061169091033014,0.6274618666289253,Bcl2,chr1,1,532,2.3975380528440255
chr1-g533,Granule,3.3061169091033014,0.6274618666289253,Bcl2,chr1,1,533,2.3975380528440255
chr1-g549,Granule,12.223854823281561,0.03768762635896568,Cdh7,chr1,1,549,8.341392664985264
chr1-g550,Granule,12.223854823281561,0.03768762635896568,Cdh7,chr1,1,550,8.341392664985264
chr1-g578,Purkinje,0.5722937909230311,6.080940493616916,Cntnap5a,chr1,1,578,-3.409466612158451
chr1-g579,Purkinje,0.5722937909230311,6.080940493616916,Cntnap5a,chr1,1,579,-3.409466612158451
chr1-g580,Purkinje,0.5722937909230311,6.080940493616916,Cntnap5a,chr1,1,580,-3.409466612158451
chr1-g581,Purkinje,0.5722937909230311,6.080940493616916,Cntnap5a,chr1,1,581,-3.409466612158451
chr1-g582,Purkinje,0.5722937909230311,6.080940493616916,Cntnap5a,chr1,1,582,-3.409466612158451
chr1-g591,Granule,1.6979539542682662,0.40772174787821724,Tsn,chr1,1,591,2.058140518547916
chr1-g600,Granule,2.077894213465235,0.4277206413141697,Dbi,chr1,1,600,2.280381471017162
chr1-g637,Granule,28.507618133063815,0.07553890280212366,Tmem163,chr1,1,637,8.559911960122637
chr1-g638,Granule,28.507618133063815,0.07553890280212366,Tmem163,chr1,1,638,8.559911960122637
chr1-g659,Granule,0.2710014021192332,0.06003256824531335,Slc41a1,chr1,1,659,2.174483021736637
chr1-g660,"Granule,Granule",0.8592116187075721,0.12943177182409954,"Elk4,Lemd1",chr1,1,660,2.730821700866877
chr1-g661,Granule,0.20959438094795926,0.039360333638462766,Lemd1,chr1,1,661,2.4127856850647884
chr1-g662,"Granule,Granule",6.045929361969731,0.579364568297914,"Dstyk,Cntn2",chr1,1,662,3.3834207604823887
chr1-g665,"Granule,Granule",0.5057666281111739,0.05351492242702667,"Pik3c2b,Ppp1r15b",chr1,1,665,3.240458704509534
chr1-g668,Granule,0.9344560561839665,0.017495198254612515,Atp2b4,chr1,1,668,5.739095902933652
chr1-g670,"Granule,Granule",2.749549403857623,0.0040287361288862625,"Btg2,Adora1",chr1,1,670,9.414652177782664
chr1-g671,"Granule,Granule,Granule",6.103643047340007,0.20015968496766712,"Adora1,Ppfia4,Tmem183a",chr1,1,671,4.9304472640223365
chr1-g672,Granule,2.2443525786810086,0.5111644278387196,Klhl12,chr1,1,672,2.1344399881890515
chr1-g676,"Granule,Granule",3.158062908522365,0.5028553047075393,"Rnpep,Shisa4",chr1,1,676,2.6508246767763346
chr1-g677,Purkinje,0.15546024186374113,2.971103845256274,Nav1,chr1,1,677,-4.2563814597609735
chr1-g678,Granule,0.1641054096030546,0.04186933955219359,Csrp1,chr1,1,678,1.970656730649389
chr1-g680,"Granule,Granule",0.8976230041665949,0.0960365466630234,"Tmem9,Kif21b",chr1,1,680,3.2244542172612674
chr1-g683,Granule,0.7520221190866185,0.16727592104138475,Zfp281,chr1,1,683,2.1685453083390365
chr1-g718,Granule,1.1004557802591066,0.29409356681561444,Glrx2,chr1,1,718,1.9037540431337285
chr1-g752,Granule,0.38458885284740574,0.056767033525281625,Hmcn1,chr1,1,752,2.760191689566304
chr1-g753,Granule,0.38458885284740574,0.056767033525281625,Hmcn1,chr1,1,753,2.760191689566304
chr1-g754,Granule,0.38458885284740574,0.056767033525281625,Hmcn1,chr1,1,754,2.760191689566304
chr1-g761,Granule,0.7916330341609907,0.17699380045033988,Tsen15,chr1,1,761,2.16113298804288
chr1-g763,Granule,0.762280772826006,0.18839366707459612,Arpc5,chr1,1,763,2.0165720181415954
chr1-g764,Granule,20.412131052941376,3.886558141311041,Nmnat2,chr1,1,764,2.3928618058283937
chr1-g765,Granule,20.412131052941376,3.886558141311041,Nmnat2,chr1,1,765,2.3928618058283937
chr1-g769,"Granule,Granule",1.296139163867072,0.17923732942210135,"Teddm2,Glul",chr1,1,769,2.854277584627858
chr1-g771,Granule,21.710243981765387,0.12626254850683452,Cacna1e,chr1,1,771,7.425805352828277
chr1-g772,Granule,21.710243981765387,0.12626254850683452,Cacna1e,chr1,1,772,7.425805352828277
chr1-g773,Granule,21.710243981765387,0.12626254850683452,Cacna1e,chr1,1,773,7.425805352828277
chr1-g775,Granule,0.26618235907278576,0.020192428104353163,Ier5,chr1,1,775,3.720528653694656
chr1-g780,Granule,1.7798875866341688,0.24201003787912925,Tor1aip1,chr1,1,780,2.8786473342758527
chr1-g785,Purkinje,4.136786986716504,17.535708972322563,Rasal2,chr1,1,785,-2.0837131835265486
chr1-g786,Purkinje,4.136786986716504,17.535708972322563,Rasal2,chr1,1,786,-2.0837131835265486
chr1-g787,Purkinje,4.136786986716504,17.535708972322563,Rasal2,chr1,1,787,-2.0837131835265486
chr1-g797,Granule,6.81592520500213,0.13218447254325377,Tnr,chr1,1,797,5.688284882854226
chr1-g798,Granule,6.81592520500213,0.13218447254325377,Tnr,chr1,1,798,5.688284882854226
chr1-g799,Granule,6.81592520500213,0.13218447254325377,Tnr,chr1,1,799,5.688284882854226
chr1-g801,Granule,26.04113944683985,0.7598821794176998,Rabgap1l,chr1,1,801,5.098873021295063
chr1-g802,Granule,26.04113944683985,0.7598821794176998,Rabgap1l,chr1,1,802,5.098873021295063
chr1-g803,Granule,26.04113944683985,0.7598821794176998,Rabgap1l,chr1,1,803,5.098873021295063
chr1-g812,Granule,1.8405045644720726,0.38563319165423987,Vamp4,chr1,1,812,2.254800192070999
chr1-g836,Granule,0.7077159153087459,0.1107238164002685,Aldh9a1,chr1,1,836,2.676204787994299
chr1-g851,Granule,0.9556220919553322,0.09486565575226363,Nos1ap,chr1,1,851,3.3324824187565407
chr1-g852,Granule,0.9556220919553322,0.09486565575226363,Nos1ap,chr1,1,852,3.3324824187565407
chr1-g856,Granule,0.45307062463898895,0.09450340734416918,Usp21,chr1,1,856,2.2612977029548333
chr1-g860,"Granule,Granule",2.587286626710175,0.36251429451759737,"Vangl2,Pea15a",chr1,1,860,2.835330099459239
chr1-g861,"Granule,Granule,Granule,Granule",6.099117523132665,0.9436399213429186,"Pea15a,Atp1a2,Igsf8,Kcnj9",chr1,1,861,2.692292156084116
chr1-g863,Granule,0.2055379265568431,0.01496046437451925,Dusp23,chr1,1,863,3.780177767012097
chr1-g866,Granule,10.103232773714431,0.22929833418256476,Cadm3,chr1,1,866,5.4614473078002215
chr1-g867,Granule,3.0058383437111,0.1927697050885774,Aim2,chr1,1,867,3.9628171757508586
chr1-g875,Granule,37.018420835310486,7.7646308759451355,Rgs7,chr1,1,875,2.253254105913847
chr1-g876,Granule,37.018420835310486,7.7646308759451355,Rgs7,chr1,1,876,2.253254105913847
chr1-g877,Granule,37.018420835310486,7.7646308759451355,Rgs7,chr1,1,877,2.253254105913847
chr1-g879,Granule,27.614761655870957,0.19556136511564937,Pld5,chr1,1,879,7.141674484054786
chr1-g880,Granule,27.614761655870957,0.19556136511564937,Pld5,chr1,1,880,7.141674484054786
chr1-g881,Granule,27.614761655870957,0.19556136511564937,Pld5,chr1,1,881,7.141674484054786
chr1-g883,Granule,4.204580688738834,0.5597795691994478,Cep170,chr1,1,883,2.9090311940591644
chr1-g884,Granule,4.204580688738834,0.5597795691994478,Cep170,chr1,1,884,2.9090311940591644
chr1-g885,Granule,19.16190289630384,2.1219589054500085,Akt3,chr1,1,885,3.1747722148594373
chr1-g886,Granule,19.16190289630384,2.1219589054500085,Akt3,chr1,1,886,3.1747722148594373
chr1-g887,Granule,3.319992880655164,0.05361833283771977,Zbtb18,chr1,1,887,5.952309975555521
chr1-g891,Granule,1.5946085242512649,0.3122022278937263,Cox20,chr1,1,891,2.3526495487856787
chr1-g892,"Granule,Granule",15.552894849107329,0.5279497567904139,"Efcab2,Kif26b",chr1,1,892,4.8806386832494795
chr1-g893,Granule,14.077321384570912,0.4057971069593817,Kif26b,chr1,1,893,5.116470455866285
chr1-g894,"Granule,Granule",27.831397585607874,1.964980168406578,"Kif26b,Smyd3",chr1,1,894,3.824126699830221
chr1-g895,Granule,13.754076201036963,1.5591830614471962,Smyd3,chr1,1,895,3.1409970157722347
chr1-g896,Granule,13.754076201036963,1.5591830614471962,Smyd3,chr1,1,896,3.1409970157722347
chr1-g897,"Granule,Granule",15.594393229505261,1.8779294032944138,"Smyd3,Cnst",chr1,1,897,3.0538126851043943
chr1-g898,"Granule,Purkinje,Granule",5.437434194914683,1.9629404965977297,"Cnst,Sccpdh,Ahctf1",chr1,1,898,1.469909595651833
chr1-g899,Granule,3.3394806224263025,0.5703999487523795,Ahctf1,chr1,1,899,2.549577985628956
chr1-g901,Granule,0.4445931510057931,0.05,Itpkb,chr1,1,901,3.1524857236998427
chr1-g902,Granule,0.4445931510057931,0.05,Itpkb,chr1,1,902,3.1524857236998427
chr1-g904,"Granule,Granule,Granule",5.581512148029804,0.6544181485343156,"H3f3a,Sde2,Ephx1",chr1,1,904,3.0923713679506557
chr1-g905,Granule,0.44764922953235514,0.05,Ephx1,chr1,1,905,3.1623687031970533
chr1-g909,"Granule,Granule",3.9301024817707777,0.30929249450114293,"Lbr,Enah",chr1,1,909,3.667523203283569
chr1-g910,Granule,3.398018834049181,0.21503813881113087,Enah,chr1,1,910,3.982029387262701
chr1-g912,Granule,0.6926940561032195,0.04858869680699504,Trp53bp2,chr1,1,912,3.833525650656515
chr1-g915,Purkinje,0.04338162084114374,0.29417897224069234,Disp1,chr1,1,915,-2.7615382655219087
chr1-g916,"Purkinje,Granule",0.532777780937004,0.3456562528850074,"Disp1,Aida",chr1,1,916,0.624195893161591
chr1-g920,Purkinje,0.24375156464955758,1.2401587622815677,Dusp10,chr1,1,920,-2.3470414382336204
chr1-g924,Granule,0.3436878490050236,0.06679338470310331,Marc2,chr1,1,924,2.363321717861076
chr1-g926,Granule,0.6424588970077635,0.1673614616637537,Bpnt1,chr1,1,926,1.9406368004246979
chr1-g946,Granule,0.3950152251707223,0.09785508200630258,Kcnk2,chr1,1,946,2.0131895776759556
chr1-g947,Granule,0.3950152251707223,0.09785508200630258,Kcnk2,chr1,1,947,2.0131895776759556
chr1-g950,Granule,1.8297380998917887,0.02353920233777771,Prox1,chr1,1,950,6.2804279192214985
chr1-g956,Granule,0.91726445962646,0.2084830196890745,Nenf,chr1,1,956,2.1374078567820454
chr1-g959,Granule,0.6766826086429324,0.02412782751875949,Traf5,chr1,1,959,4.809709384896287
chr1-g960,"Granule,Granule",9.31374576683703,0.11712707809633247,"Traf5,Kcnh1",chr1,1,960,6.313214952231882
chr1-g961,Granule,8.637063158194097,0.09299925057757297,Kcnh1,chr1,1,961,6.53717793859192
chr1-g962,Granule,8.637063158194097,0.09299925057757297,Kcnh1,chr1,1,962,6.53717793859192
chr1-g966,Granule,0.22644167030641946,0.052877549786122885,Hsd11b1,chr1,1,966,2.09841223797865
chr1-g973,Granule,3.1949682349265776,0.05958465447655439,Plxna2,chr1,1,973,5.744716952801002
chr1-g974,Granule,3.1949682349265776,0.05958465447655439,Plxna2,chr1,1,974,5.744716952801002
chr2-g15,Granule,0.7972291680206617,0.11067451353731991,Fam171a1,chr2,2,15,2.848671462482063
chr2-g16,Granule,0.7972291680206617,0.11067451353731991,Fam171a1,chr2,2,16,2.848671462482063
chr2-g18,Purkinje,1.38455258359282,23.550540537766835,Fam107b,chr2,2,18,-4.0882684216782055
chr2-g20,Purkinje,1.6108315941760194,49.54732686488063,Frmd4a,chr2,2,20,-4.942929645256434
chr2-g21,Purkinje,1.6108315941760194,49.54732686488063,Frmd4a,chr2,2,21,-4.942929645256434
chr2-g22,Purkinje,1.6108315941760194,49.54732686488063,Frmd4a,chr2,2,22,-4.942929645256434
chr2-g23,Purkinje,1.6108315941760194,49.54732686488063,Frmd4a,chr2,2,23,-4.942929645256434
chr2-g24,Granule,0.6755621270538923,0.13433278055594017,Sephs1,chr2,2,24,2.3302770495536227
chr2-g49,Granule,3.305540875210136,0.7746047024650123,Taf3,chr2,2,49,2.0933541898710235
chr2-g50,Granule,3.305540875210136,0.7746047024650123,Taf3,chr2,2,50,2.0933541898710235
chr2-g51,Purkinje,0.1092984532286879,0.7050230515632684,Sfmbt2,chr2,2,51,-2.689397444501494
chr2-g52,Purkinje,0.1092984532286879,0.7050230515632684,Sfmbt2,chr2,2,52,-2.689397444501494
chr2-g57,Purkinje,0.10203682575419186,0.8561789898481914,Pfkfb3,chr2,2,57,-3.068822508839934
chr2-g67,Granule,0.3264557528546005,0.04815763776441951,Vim,chr2,2,67,2.7610509334303632
chr2-g73,Purkinje,1.146022016154035,16.419671561863964,Cacnb2,chr2,2,73,-3.840718604581781
chr2-g74,Purkinje,1.146022016154035,16.419671561863964,Cacnb2,chr2,2,74,-3.840718604581781
chr2-g75,Granule,0.8978597997117104,0.1986048404826488,Arl5b,chr2,2,75,2.1765894012777154
chr2-g88,Granule,3.488823249786237,0.16209768602177121,Nebl,chr2,2,88,4.427805108451906
chr2-g90,Granule,0.32948973600898596,0.020099091389873237,Skida1,chr2,2,90,4.035031335535814
chr2-g93,Granule,0.2923676638277929,0.03452448698748641,Bmi1,chr2,2,93,3.082091874319756
