sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0001916";"positive regulation of T cell mediated cytotoxicity";"21/2501";"51/23328";1.86241358108743e-08;9.23136331692337e-06;8.39393068388353e-06;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Nectin2/P2rx7";21
"SF3A66";"SF3A66";"GO:0001910";"regulation of leukocyte mediated cytotoxicity";"30/2501";"105/23328";3.48037371323345e-07;0.000147866163187947;0.000134452331869124;"Ager/Arrb2/Ceacam1/Gfer/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Nectin2/P2rx7/Stat5a/Stat5b/Tap1/Tyrobp";30
"SF3A66";"SF3A66";"GO:0001913";"T cell mediated cytotoxicity";"23/2501";"69/23328";3.96909593199725e-07;0.000157387884023464;0.000143110279990189;"Ager/Gm11127/Gm7030/Gm8909/Gzmm/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Nectin2/P2rx7";23
"SF3A66";"SF3A66";"GO:0002699";"positive regulation of immune effector process";"56/2501";"273/23328";1.35809983401352e-06;0.000425156726984864;0.00038658819651864;"Cd37/Ceacam1/Clcf1/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Klk5/Klk7/Lta/Mapk3/Myo18a/Nectin2/Nfkbid/P2rx7/Pagr1a/Pgc/Pla2g5/Pld2/Rapgef1/Rps19/Scimp/Sphk2/Spon2/Stat5a/Stat5b/Stx4a/Stxbp1/Tbx21/Tgfb1/Ticam1/Tnf/Tnfrsf14/Tnfrsf4/Tnfsf13/Tnfsfm13/Traf2/Tyrobp/Xbp1/Zp3";56
"SF3A66";"SF3A66";"GO:0031343";"positive regulation of cell killing";"26/2501";"95/23328";4.95030160970896e-06;0.00132481626463208;0.00120463419241844;"Bad/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Nectin2/P2rx7/Stat5a/Stat5b/Tyrobp";26
"SF3A66";"SF3A66";"GO:2000311";"regulation of AMPA receptor activity";"12/2501";"26/23328";5.12286047184565e-06;0.00132481626463208;0.00120463419241844;"Arc/Cacng2/Cacng7/Cacng8/Cnih2/Gsg1l/Mapk8ip2/Mink1/Nlgn2/Prrt1/Shank1/Shank3";12
"SF3A66";"SF3A66";"GO:0002819";"regulation of adaptive immune response";"45/2501";"213/23328";6.39912832777562e-06;0.00158591730390039;0.0014420491819347;"Ager/Alox15/Clcf1/Foxj1/Fut7/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-DMa/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Il27/Jak3/Lta/Nectin2/Nfkbid/P2rx7/Pagr1a/Pycard/Spn/Tbx21/Tgfb1/Tnf/Tnfrsf14/Tnfsf13/Tnfsfm13/Traf2/Trpm4/Zbtb7b/Zc3h12a/Zp3";45
"SF3A66";"SF3A66";"GO:0001909";"leukocyte mediated cytotoxicity";"33/2501";"141/23328";1.170903549267e-05;0.00248733368251433;0.0022616926451631;"Ager/Arrb2/Ceacam1/Coro1a/Elane/Gfer/Gm11127/Gm7030/Gm8909/Gzmm/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Nectin2/P2rx7/Stat5a/Stat5b/Tap1/Tyrobp";33
"SF3A66";"SF3A66";"GO:0071826";"ribonucleoprotein complex subunit organization";"39/2501";"179/23328";1.21729314577337e-05;0.0024967102176069;0.00227021857821546;"Bop1/Celf5/Ddx39b/Denr/Dhx8/Eif3d/Eral1/Gemin4/Gemin7/Khdc4/Lsm2/Lsm4/Luc7l/Mrpl11/Mrpl20/Mrto4/Pih1d1/Prpf3/Prpf31/Ptges3/Puf60/Rpl12/Rpl13a/Rpl23a/Rpl3/Rpl3l/Rpl6/Rplp0/Rps10/Rps15/Rps19/Rps2/Rps28/Ruvbl2/Sf3a2/Snrpc/Snrpd2/Tfip11/Traf7";39
"SF3A66";"SF3A66";"GO:0000280";"nuclear division";"73/2501";"418/23328";1.8810113982873e-05;0.00332222088018094;0.00302084219062926;"Akap8/Akap8l/Anapc11/Anapc15/Anapc5/Ankrd53/Aurkb/Bag6/Becn1/Calr/Catsperz/Cdca5/Cdk11b/Cenpx/Chmp6/Chtf18/Cntd1/Cul7/Cul9/Dmc1/Dmrtc2/Ehmt2/Eif4g3/Eme2/Fbxw5/Fzr1/Gm960/Golga2/Hsf1/Hspa1a/Hspa1b/Kif18b/Kif22/Kifc1/Kifc2/Kifc5b/Klhdc8b/Kpnb1/Majin/Mapk15/Mau2/Meiob/Mir124a-1/Mir124a-3/Misp/Mov10l1/Msh5/Msto1/Mus81/Nanos2/Numa1/Nup62/Pdgfb/Pogz/Psmc3ip/Psmd13/Racgap1/Rad51c/Rspo1/Sh2b1/Sirt2/Sirt7/Syce2/Syce3/Tex14/Tex19.1/Tex19.2/Tgfb1/Tnf/Tubg1/Tubg2/Ube2c/Wrap73";73
"SF3A66";"SF3A66";"GO:0006397";"mRNA processing";"79/2501";"462/23328";1.89905026775642e-05;0.00332222088018094;0.00302084219062926;"Akap8l/Alyref/Aplp1/Aurkaip1/BC005624/Cactin/Cd2bp2/Cdk11b/Cdk9/Celf5/Cirbp/Clasrp/Cpsf1/Cwc25/Dazap1/Ddx17/Ddx23/Ddx39b/Dhx8/Eftud2/Eif4a3/Fxr2/Gemin4/Gemin7/Hnrnpl/Hsf1/Khdc4/Lsm2/Lsm4/Lsm7/Luc7l/Malat1/Nelfe/Nova2/Nsrp1/Pabpc1l/Paf1/Pan2/Prkaca/Prkrip1/Prpf3/Prpf31/Prpf40b/Ptbp1/Puf60/Rbfox3/Rbm4/Rbm42/Rbm4b/Rnf40/Rnps1/Rprd2/Safb/Safb2/Sart1/Scaf1/Sf1/Sf3a2/Sf3b2/Slc39a5/Snip1/Snrnp70/Snrpc/Snrpd2/Ssu72/Sugp1/Supt5/Sympk/Tfip11/Trub2/Tsen34/U2af1l4/Usp49/Wdr83/Zbtb7a/Zc3h10/Zc3h3/Zcchc8/Zfp473";79
"SF3A66";"SF3A66";"GO:0016569";"covalent chromatin modification";"79/2501";"462/23328";1.89905026775642e-05;0.00332222088018094;0.00302084219062926;"Akap8/Akap8l/Ash1l/Atxn7l3/Aurkb/Baz2a/Brca1/Brd4/Brms1/Cdk9/Ctbp1/Ctcf/Daxx/Dmrtc2/Dot1l/Ehmt2/Epop/Ezh1/Fbl/Hdac5/Kat5/Kat8/Kdm2a/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Lmna/Mapk3/Mbd3/Mcrs1/Meaf6/Men1/Mier2/Mllt6/Morc2a/Msl1/Msx3/Naa40/Nos1/Ntmt1/Otub1/Padi3/Padi4/Padi6/Paf1/Pagr1a/Pax7/Pcgf2/Per1/Phf1/Phf20/Pih1d1/Pim3/Pou5f1/Prdm12/Prmt1/Rbm14/Rcor2/Ring1/Rnf40/Rps6ka4/Ruvbl2/Setd1a/Setd1b/Sgf29/Sirt2/Sirt7/Sphk2/Tgfb1/Trmt112/Trp53/Uhrf1/Usp36/Usp49/Xbp1/Yeats2/Zbtb7b/Zfp335";79
"SF3A66";"SF3A66";"GO:0016570";"histone modification";"77/2501";"448/23328";2.00568277213348e-05;0.00340851460818569;0.00309930769420205;"Akap8/Akap8l/Ash1l/Atxn7l3/Aurkb/Baz2a/Brca1/Brd4/Brms1/Cdk9/Ctbp1/Ctcf/Daxx/Dmrtc2/Dot1l/Ehmt2/Epop/Ezh1/Fbl/Hdac5/Kat5/Kat8/Kdm2a/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Lmna/Mapk3/Mbd3/Mcrs1/Meaf6/Men1/Mier2/Mllt6/Msl1/Msx3/Naa40/Nos1/Ntmt1/Otub1/Padi3/Padi4/Padi6/Paf1/Pagr1a/Pax7/Pcgf2/Per1/Phf1/Phf20/Pih1d1/Pim3/Prdm12/Prmt1/Rbm14/Rcor2/Ring1/Rnf40/Rps6ka4/Ruvbl2/Setd1a/Setd1b/Sgf29/Sirt2/Sirt7/Sphk2/Tgfb1/Trmt112/Trp53/Uhrf1/Usp36/Usp49/Xbp1/Yeats2/Zbtb7b/Zfp335";77
"SF3A66";"SF3A66";"GO:0010506";"regulation of autophagy";"53/2501";"278/23328";2.29813118203384e-05;0.00379702340853813;0.00345257251850581;"Ager/Atp13a2/Atp6v0a1/Bag3/Becn1/Cln3/Cptp/Ctsa/Ehmt2/Foxk2/Gba/Gfap/Golga2/Gpr137/Gpsm1/Gsk3a/Kat5/Kat8/Keap1/Lrsam1/Mapk15/Mapk3/Mfn2/Mtmr4/Nlrp6/Nupr1/Ormdl3/Parl/Phf23/Pik3r2/Pip4k2b/Pycard/Rab1b/Rasip1/Rnf41/Rnf5/Rptor/Sirt2/Stat3/Stk11/Supt5/Tfeb/Ticam1/Trim8/Trp53/Tsc2/Ubqln4/Usp30/Usp36/Wdr24/Wdr6/Xbp1/Zc3h12a";53
"SF3A66";"SF3A66";"GO:0022618";"ribonucleoprotein complex assembly";"37/2501";"172/23328";2.70231525116372e-05;0.004344154355114;0.00395006991763277;"Bop1/Celf5/Ddx39b/Denr/Eif3d/Eral1/Gemin4/Gemin7/Khdc4/Lsm2/Lsm4/Luc7l/Mrpl11/Mrpl20/Mrto4/Pih1d1/Prpf3/Prpf31/Ptges3/Puf60/Rpl12/Rpl13a/Rpl23a/Rpl3/Rpl3l/Rpl6/Rplp0/Rps10/Rps15/Rps19/Rps2/Rps28/Ruvbl2/Sf3a2/Snrpc/Snrpd2/Traf7";37
"SF3A66";"SF3A66";"GO:0019372";"lipoxygenase pathway";"7/2501";"11/23328";3.60307071340825e-05;0.00535776615083806;0.00487173087512936;"Alox12/Alox12b/Alox12e/Alox15/Alox8/Aloxe3/Gpx4";7
"SF3A66";"SF3A66";"GO:0042255";"ribosome assembly";"19/2501";"66/23328";4.2115559854189e-05;0.0061098378051882;0.00555557757460393;"Bop1/Eral1/Mpv17l2/Mrpl11/Mrpl20/Mrps2/Mrto4/Rpl12/Rpl23a/Rpl3/Rpl3l/Rpl6/Rplp0/Rps10/Rps15/Rps19/Rps2/Rps28/Traf7";19
"SF3A66";"SF3A66";"GO:0017158";"regulation of calcium ion-dependent exocytosis";"15/2501";"46/23328";5.47421890358809e-05;0.00736215477490719;0.00669428932033291;"Baiap3/Cacna1a/Cacna1h/Cacna1i/Cbarp/Doc2a/Notch1/Pou5f1/Rph3al/Stxbp1/Syt11/Syt3/Syt5/Vamp2/Zp3";15
"SF3A66";"SF3A66";"GO:0034250";"positive regulation of cellular amide metabolic process";"34/2501";"158/23328";5.56988844772736e-05;0.00736215477490719;0.00669428932033291;"Abca2/Apoe/Bcl3/Cirbp/Coa3/Csnk1e/Ddx39b/Eef2/Efna1/Eif3c/Eif3d/Eif4a3/Eif4g3/Eif5a/Erbb2/Fxr2/Gsk3a/Hnrnpl/Larp4/Mapk3/Mief1/Mpv17l2/Pcif1/Ptbp1/Rbm4/Rcc1l/Rela/Rps6kb2/Rps9/Sirt3/Sphk2/Tnf/Trub2/Ythdf1";34
"SF3A66";"SF3A66";"GO:0017156";"calcium-ion regulated exocytosis";"19/2501";"68/23328";6.61372955915103e-05;0.00836988583358092;0.00761060301789877;"Baiap3/Cacna1a/Cacna1h/Cacna1i/Cbarp/Doc2a/Notch1/Pou5f1/Rab3a/Rph3al/Sdf4/Stx1b/Stxbp1/Syt11/Syt3/Syt5/Unc13a/Vamp2/Zp3";19
"SF3A66";"SF3A66";"GO:0050684";"regulation of mRNA processing";"33/2501";"154/23328";7.75421214023741e-05;0.00960876121044419;0.00873709253871487;"BC005624/Cdk11b/Cdk9/Celf5/Cirbp/Dazap1/Ddx17/Eif4a3/Fxr2/Hnrnpl/Hsf1/Malat1/Nelfe/Nova2/Nsrp1/Paf1/Ptbp1/Puf60/Rbfox3/Rbm4/Rbm42/Rbm4b/Rnf40/Rnps1/Safb/Safb2/Sf1/Slc39a5/Snrnp70/Supt5/Zbtb7a/Zc3h10/Zc3h3";33
"SF3A66";"SF3A66";"GO:0010498";"proteasomal protein catabolic process";"77/2501";"470/23328";0.000103991862917565;0.0126233387884424;0.0114781996062395;"Anapc5/Apoe/Arih2/Arrb2/Axin1/Bag6/Cbfa2t3/Ccnf/Cdc34/Csnk1d/Csnk1e/Dda1/Dmac2/Dvl1/Fbxl15/Fbxl16/Fbxl18/Fbxl19/Fbxl6/Fbxo17/Fbxo27/Fbxw5/Foxred2/Fzr1/Gba/Gsk3a/Hspa1a/Hspa1b/Kat5/Kctd13/Maea/Man1b1/Nccrp1/Nploc4/Nr1d1/Nupr1/Osbpl7/Pkd1/Prkaca/Prkcg/Psmb3/Psmb4/Psmb6/Psmb8/Psmb9/Psmd8/Psme3/Rad23a/Rcn3/Rnf126/Rnf186/Rnf216/Rnf40/Rnf41/Rnf5/Senp1/Sgta/Sharpin/Sirt2/Spsb1/Spsb3/Stub1/Syvn1/Tbx21/Tmem259/Tmub2/Tor1a/Trim72/Ube2c/Ube2i/Ube2j2/Ubqln4/Ubxn6/Usp19/Wnt10b/Xbp1/Zer1";77
"SF3A66";"SF3A66";"GO:1902275";"regulation of chromatin organization";"41/2501";"210/23328";0.000107078302784986;0.0127380348993019;0.0115824909412475;"Akap8/Akap8l/Alkbh4/Brca1/Cdc45/Cdk9/Ctbp1/Ctcf/Daxx/Dmrtc2/Ehmt2/H1f0/Kdm2a/Kdm4b/Kmt2b/Lmna/Mapk3/Men1/Mllt6/Morc2a/Msx3/Naa40/Nos1/Otub1/Paf1/Parp10/Pax7/Phf1/Pih1d1/Pou5f1/Prdm12/Rnf40/Rps6ka4/Ruvbl2/Setd1a/Sphk2/Tgfb1/Trp53/Xbp1/Zbtb7b/Zfp335";41
"SF3A66";"SF3A66";"GO:0060079";"excitatory postsynaptic potential";"22/2501";"88/23328";0.000114527817518663;0.0133570874235491;0.0121453854780369;"Baiap2/Cacnb3/Chrna4/Dlg4/Dmpk/Dvl1/Eif4a3/Grin1/Grk2/Mapk8ip2/Mpp2/Nlgn2/Npas4/P2rx4/Sez6/Sh3gl1/Shank1/Shank3/Slc17a7/Stx1b/Tbc1d24/Tmem25";22
"SF3A66";"SF3A66";"GO:0120255";"olefinic compound biosynthetic process";"12/2501";"34/23328";0.000128194260052659;0.0143867822413815;0.0130816704697232;"Alox12/Alox12b/Alox12e/Alox15/Alox8/Aloxe3/Cacna1h/Cyp11b1/Cyp11b2/Dkkl1/H6pd/Hsd17b1";12
"SF3A66";"SF3A66";"GO:0048147";"negative regulation of fibroblast proliferation";"12/2501";"35/23328";0.000176157338512987;0.0176544717747264;0.0160529281808204;"Bax/C1ql4/Gstp1/Ifi30/Lta/Med25/Mmp9/Nupr1/Parp10/Ski/Trp53/Tsc2";12
"SF3A66";"SF3A66";"GO:0042987";"amyloid precursor protein catabolic process";"15/2501";"51/23328";0.000203269683639338;0.0195007754562385;0.0177317425218832;"Abca2/Abca7/Ager/Aph1a/Apoe/Cln3/Csnk1e/Efna1/Efna3/Flot2/Gsk3a/Psenen/Rela/Tnf/Unc13a";15
"SF3A66";"SF3A66";"GO:0051098";"regulation of binding";"65/2501";"390/23328";0.000212106788835677;0.0200255742856287;0.0182089336848406;"Abl1/Acd/Actb/Adam15/Ager/Agrn/Apoe/Arrb2/Aurkb/Bax/Brd4/Cdca5/Cdk9/Cldn5/Csf3/Csnk1e/Dot1l/Dvl1/Edf1/Eif3c/Eif3d/Eif4a3/Ercc2/Golga2/Gpsm1/H1f0/Hdac5/Hip1r/Hnrnpl/Hsf1/Ilrun/Mapk3/Mark2/Mau2/Med25/Men1/Mepce/Mmp9/Pacs1/Pax7/Pdgfb/Pkd1/Plaur/Ramp2/Rap1gap/Rfng/Ripor1/Ruvbl2/Sirt2/Ski/Slpi/Sppl3/Stk4/Stub1/Sympk/Tex14/Tfip11/Tgfb1/Ticam1/Tle5/Tmbim6/Ttbk1/Wfikkn1/Ybx2/Zbtb7a";65
"SF3A66";"SF3A66";"GO:0099601";"regulation of neurotransmitter receptor activity";"18/2501";"68/23328";0.00021645465831799;0.0201167548074282;0.0182918426716749;"Arc/Cacng2/Cacng7/Cacng8/Cfl1/Chrna4/Cnih2/Dlg4/Gsg1l/Lynx1/Mapk8ip2/Mink1/Nlgn2/Nptxr/Prrt1/Psca/Shank1/Shank3";18
"SF3A66";"SF3A66";"GO:0036465";"synaptic vesicle recycling";"20/2501";"80/23328";0.000230119614382848;0.0203341772018775;0.0184895413696327;"Actb/Actg1/Ap3d1/Cel/Dnm1/Grn/Nlgn2/Pacsin1/Pip5k1c/Rab3a/Scrib/Sh3gl1/Slc17a7/Slc2a4/Stx1b/Syt11/Syt5/Tbc1d24/Tor1a/Vamp2";20
"SF3A66";"SF3A66";"GO:0070670";"response to interleukin-4";"11/2501";"31/23328";0.000231233381600044;0.0203341772018775;0.0184895413696327;"Coro1a/Fasn/Impdh2/Jak3/Keap1/Rpl3/Rplp0/Rps2/Stat5b/Tuba1b/Xbp1";11
"SF3A66";"SF3A66";"GO:0095500";"acetylcholine receptor signaling pathway";"11/2501";"31/23328";0.000231233381600044;0.0203341772018775;0.0184895413696327;"Chrna4/Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6d/Ly6g6e/Ly6i/Rgs10";11
"SF3A66";"SF3A66";"GO:0022613";"ribonucleoprotein complex biogenesis";"67/2501";"409/23328";0.000283323246477199;0.0234056481950886;0.0212823807076001;"Bop1/Bysl/Celf5/Ddx17/Ddx31/Ddx39b/Denr/Eif3d/Eral1/Ercc2/Exosc2/Exosc4/Exosc5/Fbl/Gemin4/Gemin7/Gnl2/Isg20l2/Khdc4/Kri1/Lsm2/Lsm4/Luc7l/Mpv17l2/Mrm3/Mrpl10/Mrpl11/Mrpl20/Mrps2/Mrto4/Pa2g4/Pes1/Pih1d1/Prpf3/Prpf31/Ptges3/Puf60/Rpl12/Rpl13a/Rpl23a/Rpl27/Rpl3/Rpl3l/Rpl6/Rpl7l1/Rplp0/Rps10/Rps15/Rps16/Rps19/Rps2/Rps28/Rpusd1/Rrp36/Ruvbl2/Sart1/Sf3a2/Sirt7/Snrpc/Snrpd2/Tbl3/Traf7/Trmt112/Tsr3/Usp36/Wdr18/Wdr46";67
"SF3A66";"SF3A66";"GO:0042326";"negative regulation of phosphorylation";"75/2501";"471/23328";0.000309513306789227;0.0252189746408537;0.0229312093768284;"Abl1/Acp4/Actb/Actn3/Ager/Akt1s1/Apoe/Arrb2/Ash1l/Bax/C1ql4/Cactin/Cadm4/Cbfa2t3/Cblc/Cdkn2d/Ceacam1/Chmp6/Dusp3/Dvl1/Efna1/Eng/Fem1a/Gadd45b/Gba/Gps2/Grk2/Gstp1/Hexim1/Hexim2/Hspb1/Inca1/Inppl1/Kirrel2/Lemd2/Men1/Midn/Mvp/Myadm/Nlrp12/Nlrp6/Nos1/Nup62/Nupr1/P2rx7/Pard6a/Per1/Pik3r2/Pip5kl1/Ppp1r15a/Ppp2r5d/Prkar2a/Prkrip1/Psca/Ptk6/Ptprh/Pycard/Rapgef1/Rasip1/Sirt2/Sirt3/Slc4a1/Spred3/Srcin1/Stat3/Tab1/Tbc1d10c/Tgfb1/Tnf/Trp73/Tsc2/Vps25/Vrk3/Xbp1/Zc3h12a";75
"SF3A66";"SF3A66";"GO:1903046";"meiotic cell cycle process";"38/2501";"202/23328";0.00040658029125729;0.0326802644918697;0.0297156406327163;"Bag6/Calr/Catsperz/Cenpx/Chtf18/Cntd1/Dmc1/Dmrtc2/Ehmt2/Eif4g3/Eme2/Ercc1/Fzr1/Gm960/Golga2/Hsf1/Majin/Mapk15/Meiob/Mov10l1/Msh5/Mus81/Myh9/Nanos2/Ovol1/Psmc3ip/Psmd13/Rad51c/Rspo1/Sirt2/Sirt7/Syce2/Syce3/Tex14/Tex19.1/Tex19.2/Tubg1/Tubg2";38
"SF3A66";"SF3A66";"GO:1905144";"response to acetylcholine";"11/2501";"33/23328";0.000431723610892043;0.0334658901613875;0.0304299974603067;"Chrna4/Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6d/Ly6g6e/Ly6i/Rgs10";11
