sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0044772";"mitotic cell cycle phase transition";"42/1210";"376/23328";2.60128717008725e-06;0.000880102159212851;0.000807403028301466;"Anp32b/Apc/Arpp19/Bcl2/Btn2a2/Cables1/Ccne2/Cdc14a/Cdc14b/Cdc23/Cdc25b/Cdc25c/Cdc7/Cdk14/Cdk5rap2/Cep192/Chmp4c/Cks2/Ctdp1/Ddb1/Fam107a/Fbxl7/Fbxo5/Hacd1/Hecw2/Khdc3/Larp7/Lats1/Mtbp/Nek6/Nfatc1/Plcb1/Prkcq/Psmg2/Rbbp8/Rint1/Smc5/Taf2/Ttk/Vps4b/Zc3h12d/Zfp36l1";42
"PolII";"PolII";"GO:0035265";"organ growth";"27/1210";"207/23328";9.93905643099392e-06;0.0026547742835418;0.00243548180577762;"Akap6/Apc/Bcl2/Bmp10/Col14a1/Ctdp1/Cxadr/Ddr2/Dusp6/Esr1/Fgf1/Fxn/Jarid2/Lats1/Mapk1/Mef2c/Mir133a-1/Mir1a-2/Ncam1/Nr3c1/Psapl1/Rln1/S1pr1/Serp1/Smad2/Tcf7l2/Tgfbr3";27
"PolII";"PolII";"GO:0046620";"regulation of organ growth";"19/1210";"121/23328";1.49017613765838e-05;0.00378132194930815;0.00346897318782265;"Akap6/Apc/Bmp10/Col14a1/Ctdp1/Cxadr/Dusp6/Fxn/Jarid2/Lats1/Mapk1/Mef2c/Mir133a-1/Mir1a-2/Ncam1/Nr3c1/Serp1/Tcf7l2/Tgfbr3";19
"PolII";"PolII";"GO:0022408";"negative regulation of cell-cell adhesion";"25/1210";"192/23328";2.15407142036103e-05;0.00520567259920581;0.00477566811641946;"Abl2/Bmp6/Btn1a1/Btn2a2/Cd274/Cd44/Cd80/Cebpb/Fgl1/Glmn/Hfe/Il2ra/Jak2/Muc4/Ndfip1/Nf2/Pag1/Pik3r1/Ppm1f/Ptger3/Ptpn2/Ripor2/Smad7/Zc3h12d/Zfp608";25
"PolII";"PolII";"GO:0000819";"sister chromatid segregation";"24/1210";"181/23328";2.30826434903966e-05;0.00522643819336122;0.00479471840896794;"Apc/Cdc23/Cdk5rap2/Cep192/Chmp1b/Chmp4c/Dscc1/Esco1/Fbxo5/Fen1/Hecw2/Incenp/Khdc3/Kif23/Lats1/Ncapg2/Nek6/Pds5a/Psmg2/Seh1l/Smc5/Stag1/Ttk/Vps4b";24
"PolII";"PolII";"GO:0045638";"negative regulation of myeloid cell differentiation";"16/1210";"96/23328";3.26055877932509e-05;0.00661893432202993;0.00607219009724415;"Cdk6/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Hspa9/Lrrc17/Pik3r1/Ptpn2/Thoc5/Tjp2/Wdr61/Zbtb16/Zfp36l1";16
"PolII";"PolII";"GO:0045927";"positive regulation of growth";"34/1210";"312/23328";3.77691570129183e-05;0.00712209270229173;0.00653378605594738;"Adam10/Adnp2/Akap6/Bcl2/Bmp10/Cyfip1/Drd2/Fxn/Ghsr/Mapk1/Mef2c/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/N6amt1/Ncam1/Nedd4l/Nr3c1/Picalm/Plcb1/Ppm1f/Rufy3/Sema4d/Serp1/Smad7/Tgfbr3/Zfp639";34
"PolII";"PolII";"GO:0001503";"ossification";"40/1210";"394/23328";4.18712127316995e-05;0.00758915730762053;0.00696226969595138;"Ank/Apc/Asf1a/Atp2b1/Bcl2/Bmp6/Cdk6/Cebpb/Ddr2/Erh/Fbxo5/Fndc3b/Fzd1/Gfra4/Gpld1/Gpm6b/Hemgn/Lrrc17/Mapk1/Mef2c/Mir133a-1/Mir204/Nell1/Nfatc1/Pias2/Ppargc1b/Ptch1/Riox1/Ripply2/S1pr1/Sema4d/Sik3/Slc26a2/Smad7/Tcf7l2/Tgfbr3/Tnfrsf11a/Wwtr1/Xylt1/Zbtb16";40
"PolII";"PolII";"GO:1901990";"regulation of mitotic cell cycle phase transition";"30/1210";"265/23328";5.24930275350365e-05;0.00859361660452613;0.00788375758191736;"Anp32b/Apc/Bcl2/Btn2a2/Cdc14a/Cdc14b/Cdc23/Cdc25b/Cdc25c/Cdc7/Cdk5rap2/Cep192/Chmp4c/Ddb1/Fam107a/Fbxo5/Hacd1/Hecw2/Khdc3/Larp7/Mtbp/Nek6/Plcb1/Prkcq/Psmg2/Rint1/Ttk/Vps4b/Zc3h12d/Zfp36l1";30
"PolII";"PolII";"GO:0007088";"regulation of mitotic nuclear division";"21/1210";"160/23328";8.49165842950111e-05;0.0134672395405369;0.0123548043531853;"Apc/Cdc14a/Cdc14b/Cdc23/Cdk5rap2/Cep192/Chmp1b/Chmp4c/Egf/Esr1/Fbxo5/Hecw2/Khdc3/Mtbp/Nek6/Phip/Psmg2/Ripor2/Smc5/Ttk/Vps4b";21
"PolII";"PolII";"GO:0030307";"positive regulation of cell growth";"24/1210";"198/23328";9.90845815676044e-05;0.0152380076198664;0.0139793015717229;"Adam10/Adnp2/Akap6/Bcl2/Cyfip1/Fxn/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/N6amt1/Nedd4l/Nr3c1/Picalm/Rufy3/Sema4d/Smad7/Zfp639";24
"PolII";"PolII";"GO:0016311";"dephosphorylation";"37/1210";"374/23328";0.000135909982688931;0.0191595322818423;0.0175768962992147;"Arfgef3/Arpp19/Bcl2/Cdc14a/Cdc14b/Cdc25b/Cdc25c/Cep192/Cnst/Ctdp1/Dlg2/Drd2/Dusp5/Dusp6/Hdhd2/Impa1/Impa2/Jak2/Magi2/Mef2c/Mtmr7/Nceh1/Pdp1/Phlpp1/Plpp3/Ppargc1b/Ppm1f/Ppp2r2b/Ppp6c/Ptpn2/Ptprg/Ptprn2/Rpap2/Rpl5/Sdhaf2/Sema4d/Sytl2";37
"PolII";"PolII";"GO:0051783";"regulation of nuclear division";"23/1210";"191/23328";0.000151322201204715;0.0195614615299104;0.017945624961741;"Apc/Cdc14a/Cdc14b/Cdc23/Cdk5rap2/Cep192/Chmp1b/Chmp4c/Egf/Esr1/Fbxo5/Hecw2/Khdc3/Mtbp/Nek6/Pde3a/Phip/Plcb1/Psmg2/Ripor2/Smc5/Ttk/Vps4b";23
"PolII";"PolII";"GO:0050868";"negative regulation of T cell activation";"17/1210";"122/23328";0.000188448461583237;0.023326242500852;0.0213994235066151;"Btn1a1/Btn2a2/Cd274/Cd44/Cd80/Cebpb/Fgl1/Glmn/Hfe/Il2ra/Ndfip1/Pag1/Ptpn2/Ripor2/Smad7/Zc3h12d/Zfp608";17
"PolII";"PolII";"GO:0016540";"protein autoprocessing";"6/1210";"18/23328";0.000208163957853376;0.0251531449072829;0.0230754181850998;"Afg3l2/Casp1/Casp12/Ctsl/Fxn/Myrf";6
"PolII";"PolII";"GO:0031936";"negative regulation of chromatin silencing";"5/1210";"12/23328";0.00021706362833054;0.0256185561343602;0.0235023850209542;"H1f1/H1f2/H1f3/H1f4/H1f6";5
"PolII";"PolII";"GO:0030278";"regulation of ossification";"26/1210";"241/23328";0.000345829620551605;0.0363608924531809;0.0333573714950312;"Ank/Apc/Atp2b1/Bcl2/Bmp6/Cdk6/Cebpb/Ddr2/Fbxo5/Fndc3b/Gfra4/Gpm6b/Hemgn/Mapk1/Mef2c/Mir133a-1/Mir204/Nell1/Nfatc1/Pias2/Ptch1/Riox1/S1pr1/Sema4d/Smad7/Zbtb16";26
"PolII";"PolII";"GO:0030071";"regulation of mitotic metaphase/anaphase transition";"10/1210";"54/23328";0.000403115639340094;0.0393425359548265;0.0360927221214825;"Apc/Cdc23/Cdk5rap2/Cep192/Fbxo5/Hecw2/Khdc3/Nek6/Psmg2/Ttk";10
"PolII";"PolII";"GO:1901861";"regulation of muscle tissue development";"21/1210";"180/23328";0.000442421751927351;0.0422297416253692;0.0387414357706005;"Akap6/Apc/Bcl2/Bmp10/Col14a1/Ctdp1/Cxadr/Jarid2/Mapk1/Mef2c/Mir133a-1/Mir1a-2/Mir669a-1/Mir669a-2/Mir669a-3/Ncam1/Nr3c1/Rbm24/Sox6/Tcf7l2/Tgfbr3";21
"PolII";"PolII";"GO:0010039";"response to iron ion";"6/1210";"21/23328";0.000532165106133895;0.0470904865919644;0.0432006683321252;"Bcl2/Bmp6/Fxn/Gpld1/Hfe/Tfrc";6
"PolII";"PolII";"GO:1902099";"regulation of metaphase/anaphase transition of cell cycle";"10/1210";"56/23328";0.00054604252014931;0.0470904865919644;0.0432006683321252;"Apc/Cdc23/Cdk5rap2/Cep192/Fbxo5/Hecw2/Khdc3/Nek6/Psmg2/Ttk";10
"PolII";"PolII";"GO:0098813";"nuclear chromosome segregation";"27/1210";"262/23328";0.000554483349831073;0.0470904865919644;0.0432006683321252;"Apc/Ccne2/Cdc23/Cdk5rap2/Cep192/Chmp1b/Chmp4c/Dscc1/Esco1/Fbxo5/Fen1/Gem/Hecw2/Hfm1/Incenp/Khdc3/Kif23/Lats1/Ncapg2/Nek6/Pds5a/Psmg2/Seh1l/Smc5/Stag1/Ttk/Vps4b";27
"PolII";"PolII";"GO:0030318";"melanocyte differentiation";"7/1210";"29/23328";0.000566015026029596;0.0470904865919644;0.0432006683321252;"Bcl2/Gnaq/Kitl/Mef2c/Myo5a/Oca2/Rab27a";7
"PolII";"PolII";"GO:0000280";"nuclear division";"38/1210";"418/23328";0.000596120843430213;0.0470904865919644;0.0432006683321252;"Apc/Brdt/Ccne2/Cdc14a/Cdc14b/Cdc23/Cdc25b/Cdk5rap2/Cep192/Chmp1b/Chmp4c/Cks2/Ctdp1/Dscc1/Egf/Esr1/Fbxo5/Hecw2/Hfm1/Incenp/Khdc3/Kif23/Mtbp/Ncapg2/Nek6/Pde3a/Pds5a/Phip/Plcb1/Psmg2/Rad54b/Ripor2/Seh1l/Smc5/Spire1/Stag1/Ttk/Vps4b";38
"PolII";"PolII";"GO:0002683";"negative regulation of immune system process";"41/1210";"462/23328";0.000601424105354853;0.0470904865919644;0.0432006683321252;"Btn1a1/Btn2a2/Ccn3/Cd274/Cd44/Cd80/Cdk6/Cebpb/Drd2/Fgl1/Glmn/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Hfe/Hspa9/Il2ra/Kitl/Lrrc17/Muc4/Ndfip1/Pag1/Pik3r1/Plcb1/Ptpn2/Ripor2/Serpinb3a/Smad7/Spink5/Thoc5/Tjp2/Tkfc/Trim38/Wdr61/Zbtb16/Zc3h12d/Zfp36l1/Zfp608";41
"PolII";"PolII";"GO:0045910";"negative regulation of DNA recombination";"9/1210";"47/23328";0.000603129384921711;0.0470904865919644;0.0432006683321252;"Fbh1/H1f1/H1f2/H1f3/H1f4/H1f6/Klhl15/Ndfip1/Polq";9
"PolII";"PolII";"GO:0007568";"aging";"26/1210";"251/23328";0.000643653832045234;0.0487543760840234;0.0447271154616822;"Bcl2/Cdk6/Eef1e1/Eif2s1/Fbxo5/Foxo3/Lncpint/Mapk1/Mir125b-2/Mir183/Mir23b/Mir24-1/Mir34b/Mir34c/Mir378a/Mir99a/Ncam1/Nr5a1/Picalm/Psen1/Rad54b/Serp1/Slc1a2/Smc5/Tmem135/Zfp277";26
"PolII";"PolII";"GO:0014855";"striated muscle cell proliferation";"12/1210";"78/23328";0.000653708198248101;0.0487877809721928;0.0447577610038909;"Apc/Bmp10/Cxadr/Fgf1/Jak2/Jarid2/Mapk1/Mef2c/Mir133a-1/Mir1a-2/Ncam1/Tgfbr3";12
"SF3A66";"SF3A66";"GO:0048002";"antigen processing and presentation of peptide antigen";"33/2535";"72/23328";6.12257374974545e-14;3.63742106472377e-10;3.19727246026181e-10;"Azgp1/Bag6/Gm11127/Gm7030/Gm8909/H2-Aa/H2-Ab1/H2-Bl/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-K1/H2-Oa/H2-Ob/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Ifi30/Pycard/Tap1/Tap2/Tapbp";33
"SF3A66";"SF3A66";"GO:0001916";"positive regulation of T cell mediated cytotoxicity";"23/2535";"51/23328";5.79485218243332e-10;2.86893473465303e-07;2.52177734009226e-07;"Azgp1/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Nectin2/P2rx7/Tap2";23
"SF3A66";"SF3A66";"GO:0002824";"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains";"42/2535";"147/23328";2.58669170424083e-09;1.09768110106391e-06;9.64855454491637e-07;"Azgp1/Ccr7/Cd40/Clcf1/Gm11127/Gm7030/Gm8909/H2-Ab1/H2-Bl/H2-D1/H2-DMa/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Il27ra/Kmt5c/Lta/Nectin2/Nfkbid/P2rx7/Pagr1a/Prkcz/Stat6/Tap2/Tbx21/Tgfb1/Tnf/Tnfsf13/Tnfsfm13/Traf2/Zp3";42
"SF3A66";"SF3A66";"GO:0002706";"regulation of lymphocyte mediated immunity";"49/2535";"196/23328";1.67878715609408e-08;6.04996000555882e-06;5.31788048929868e-06;"Ager/Arrb2/Azgp1/Cd40/Clcf1/Foxj1/Fut7/Gfer/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Il27ra/Kmt5c/Lta/Nectin2/P2rx7/Pagr1a/Prkcz/Spn/Stat5a/Stat5b/Stat6/Supt6/Tap1/Tap2/Tbx21/Tgfb1/Tnf/Tnfsf13/Tnfsfm13/Traf2/Trpm4/Zp3";49
"SF3A66";"SF3A66";"GO:0006397";"mRNA processing";"89/2535";"462/23328";5.28430427274428e-08;1.40045464458187e-05;1.23099167989983e-05;"Acin1/Alkbh5/Alyref/Aplp1/Cactin/Casc3/Ccnt1/Cd2bp2/Cdc5l/Cdk12/Cirbp/Clasrp/Cpsf1/Dazap1/Ddx17/Ddx23/Ddx39b/Dhx16/Dhx8/Eftud2/Eif4a3/Fxr2/Gemin4/Gemin7/Gpatch1/Hnrnpl/Hsf1/Jmjd6/Khdc4/Khsrp/Lsm2/Lsm4/Lsm7/Luc7l/Malat1/Myod1/Nelfe/Nova2/Nsrp1/Pabpn1/Paf1/Pan2/Prmt5/Prpf31/Prpf40b/Prpf8/Ptbp1/Puf60/Rbfox2/Rbfox3/Rbm4/Rbm42/Rbm4b/Rbm5/Rbm6/Rnf40/Rnps1/Rpusd3/Rrp1b/Safb/Safb2/Sart1/Scaf1/Setx/Sf1/Sf3a2/Sf3b2/Slc39a5/Snrnp70/Snrpc/Snrpd2/Srrt/Srsf2/Srsf9/Sugp2/Supt5/Supt6/Sympk/Trub2/Tsen34/Tsen54/U2af1l4/Usp4/Wdr83/Yju2/Zbtb7a/Zc3h10/Zc3h3/Zfp473";89
"SF3A66";"SF3A66";"GO:0001912";"positive regulation of leukocyte mediated cytotoxicity";"27/2535";"82/23328";7.07083525914143e-08;1.7503263447733e-05;1.5385269175702e-05;"Azgp1/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Nectin2/P2rx7/Stat5a/Stat5b/Tap2/Tyrobp";27
"SF3A66";"SF3A66";"GO:0001913";"T cell mediated cytotoxicity";"24/2535";"69/23328";1.15177558315517e-07;2.63180720750957e-05;2.31334359029669e-05;"Ager/Azgp1/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Nectin2/P2rx7/Tap2";24
"SF3A66";"SF3A66";"GO:0031343";"positive regulation of cell killing";"28/2535";"95/23328";5.53218160121485e-07;0.000113333416871784;9.96194298498253e-05;"Azgp1/Bad/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Nectin2/P2rx7/Stat5a/Stat5b/Tap2/Tyrobp";28
"SF3A66";"SF3A66";"GO:0001909";"leukocyte mediated cytotoxicity";"36/2535";"141/23328";7.36875689086522e-07;0.00013265995360191;0.000116607345887025;"Ager/Arrb2/Azgp1/Cebpg/Coro1a/Elane/Gfer/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Nectin2/P2rx7/Stat5a/Stat5b/Tap1/Tap2/Tusc2/Tyrobp/Unc13d";36
"SF3A66";"SF3A66";"GO:0050684";"regulation of mRNA processing";"38/2535";"154/23328";9.2348557370415e-07;0.000161365523334599;0.00014183937867326;"Acin1/Ccnt1/Cirbp/Dazap1/Ddx17/Eif4a3/Fxr2/Hnrnpl/Hsf1/Jmjd6/Malat1/Myod1/Nelfe/Nova2/Nsrp1/Paf1/Ptbp1/Puf60/Rbfox2/Rbfox3/Rbm4/Rbm42/Rbm4b/Rbm5/Rnf40/Rnps1/Safb/Safb2/Sf1/Slc39a5/Snrnp70/Srsf2/Srsf9/Supt5/Supt6/Zbtb7a/Zc3h10/Zc3h3";38
"SF3A66";"SF3A66";"GO:0034248";"regulation of cellular amide metabolic process";"77/2535";"410/23328";1.15138845400984e-06;0.000190011077924235;0.000167018658489556;"Abca2/Abca7/Abcf1/Akt2/Aplp1/Apoe/Casc3/Cdk4/Cirbp/Cnot3/Coa3/Csnk1e/Dapk3/Ddx39b/Eef2/Eif3c/Eif3d/Eif3k/Eif4a3/Eif4g3/Eif5a/Enpp7/Erbb2/Fxr2/Gga3/Grb7/Gsk3a/Gtpbp2/Hap1/Hnrnpl/Inpp5e/Khsrp/Krt17/Larp4/Mapk3/Mex3d/Mif4gd/Mir7b/Mknk2/Mpv17l2/Mvk/Nanos2/Nanos3/Ngdn/Nsun5/Ormdl3/Pa2g4/Pcif1/Per1/Pink1/Plxnb2/Ppp1r15a/Ptbp1/Pym1/Rara/Rbm4/Rbm4b/Rela/Rpl13a/Rps9/Rpusd3/Samd4b/Shmt2/Sphk1/Sphk2/Stat3/Tnf/Trp53/Trub2/Tsfm/Ucn/Unk/Upf1/Uqcc2/Ybx2/Zfp36/Zfp598";77
"SF3A66";"SF3A66";"GO:0019372";"lipoxygenase pathway";"8/2535";"11/23328";2.3454682600991e-06;0.000339864071542653;0.000298738588917886;"Alox12/Alox12b/Alox12e/Alox15/Alox8/Aloxe3/Gpx1/Gpx4";8
"SF3A66";"SF3A66";"GO:0014902";"myotube differentiation";"32/2535";"127/23328";4.03132941547536e-06;0.00057024114422236;0.000501238727573265;"Actn3/Daxx/Dmpk/Dyrk1b/Ehd1/Flot1/Flt3l/Gdf15/Gpx1/Hdac5/Mamstr/Mmp14/Myh9/Mymk/Mymx/Myod1/Naca/Nkx2-5/Notch1/Nphs1/Ntn3/Pld3/Ryr1/Sik1/Ski/Stac3/Thra/Tmem119/Tnfsf14/Trim72/Wnt1/Wnt10b";32
"SF3A66";"SF3A66";"GO:0045684";"positive regulation of epidermis development";"15/2535";"38/23328";4.49935019174427e-06;0.000619412825284881;0.0005444603559986;"Alox8/Cyp27b1/Etv4/Foxn1/Krt10/Krt17/Krt2/Med1/Ncoa3/Notch1/Numa1/Sult2b1/Tnf/Vdr/Wnt10b";15
"SF3A66";"SF3A66";"GO:0060079";"excitatory postsynaptic potential";"25/2535";"88/23328";4.58747084876869e-06;0.000619412825284881;0.0005444603559986;"Baiap2/Cacnb3/Dlg4/Dmpk/Eif4a3/Grik5/Grin1/Grk2/Mapk8ip2/Mpp2/Nlgn2/Npas4/P2rx4/Prkcz/Sez6/Sh3gl1/Shank1/Shank3/Slc17a7/Slc29a1/Slc8a2/Ssh1/Stx1b/Tbc1d24/Zmynd8";25
"SF3A66";"SF3A66";"GO:2000144";"positive regulation of DNA-templated transcription, initiation";"16/2535";"44/23328";7.62476627222578e-06;0.000963802902623263;0.000847177278309342;"Cebpa/Ercc1/Fosl1/Hnf1a/Irf8/Med1/Med16/Med24/Nkx2-5/Pou5f1/Psmc4/Setx/Srf/Taf6/Trp53/Wnt10b";16
"SF3A66";"SF3A66";"GO:0003009";"skeletal muscle contraction";"15/2535";"40/23328";9.47091962558928e-06;0.00117222361449221;0.00103037790049448;"Actn3/Atp2a1/Ccdc78/Chrnb1/Chrne/Dmpk/Gaa/Jsrp1/Myh14/Myh7/Stac2/Stac3/Tcap/Tnni3/Tnnt1";15
"SF3A66";"SF3A66";"GO:0045727";"positive regulation of translation";"31/2535";"128/23328";1.34342597231459e-05;0.00156495954931784;0.00137559055699746;"Abcf1/Cdk4/Cirbp/Coa3/Ddx39b/Eef2/Eif3c/Eif3d/Eif4a3/Eif4g3/Eif5a/Erbb2/Fxr2/Hnrnpl/Krt17/Larp4/Mapk3/Mpv17l2/Nsun5/Pcif1/Pink1/Plxnb2/Ptbp1/Pym1/Rbm4/Rps9/Rpusd3/Tnf/Trub2/Ucn/Uqcc2";31
