sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0030881";"beta-2-microglobulin binding";"10/2454";"12/22669";1.16749604479862e-08;2.56382131437777e-06;2.39398136343969e-06;"Fcgrt/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-T23";10
"SF3A66";"SF3A66";"GO:0046977";"TAP binding";"10/2454";"12/22669";1.16749604479862e-08;2.56382131437777e-06;2.39398136343969e-06;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Tap1/Tapbp";10
"SF3A66";"SF3A66";"GO:0042605";"peptide antigen binding";"19/2454";"46/22669";9.71080452341682e-08;1.77707722778528e-05;1.6593550185628e-05;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Tap1";19
"SF3A66";"SF3A66";"GO:0033130";"acetylcholine receptor binding";"12/2454";"20/22669";1.38006550213073e-07;2.16473131619934e-05;2.0213290211659e-05;"Dlg4/Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6e/Ly6i/Lynx1/Psca/Rer1";12
"SF3A66";"SF3A66";"GO:0003735";"structural constituent of ribosome";"39/2454";"158/22669";5.9888298553693e-07;8.21966897649436e-05;7.67515826201276e-05;"Dap3/Mrpl10/Mrpl11/Mrpl12/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl49/Mrpl54/Mrps12/Mrps2/Mrps21/Mrps34/Ndufa7/Rpl12/Rpl13a/Rpl18/Rpl23/Rpl23a/Rpl27/Rpl3/Rpl37rt/Rpl3l/Rpl41/Rpl6/Rpl7l1/Rpl8/Rplp0/Rps10/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps28/Rps9";39
"SF3A66";"SF3A66";"GO:0042608";"T cell receptor binding";"10/2454";"17/22669";2.05744518383188e-06;0.000250013111615312;0.000233451031265759;"Eps8l1/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-T23";10
"SF3A66";"SF3A66";"GO:0042610";"CD8 receptor binding";"8/2454";"11/22669";2.27698644458389e-06;0.000250013111615312;0.000233451031265759;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7";8
"SF3A66";"SF3A66";"GO:0030547";"receptor inhibitor activity";"14/2454";"34/22669";4.96391772435431e-06;0.000495489241940094;0.000462665632872832;"Dkkl1/Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6d/Ly6g6g/Ly6i/Ly6m/Lynx1/Slurp2/Wfikkn1";14
"SF3A66";"SF3A66";"GO:0017171";"serine hydrolase activity";"42/2454";"212/22669";7.81228175124792e-05;0.00714823780239185;0.00667470388220656;"Acr/C2/Cela1/Cela3a/Cela3b/Cfb/Cfd/Ctsa/Dpp7/Dpp9/Elane/Gzmm/Klk1/Klk1b1/Klk1b11/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Lipe/Mmp9/Parl/Pcsk4/Prss28/Prss29/Prss34/Prss36/Prss53/Prss57/Prss8/Prtn3/Rhbdl1/Tmprss9/Tpsab1/Tpsb2/Tpsg1";42
"SF3A66";"SF3A66";"GO:0008236";"serine-type peptidase activity";"41/2454";"207/22669";9.49255541869848e-05;0.00801755834594687;0.00748643641928123;"Acr/C2/Cela1/Cela3a/Cela3b/Cfb/Cfd/Ctsa/Dpp7/Dpp9/Elane/Gzmm/Klk1/Klk1b1/Klk1b11/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Mmp9/Parl/Pcsk4/Prss28/Prss29/Prss34/Prss36/Prss53/Prss57/Prss8/Prtn3/Rhbdl1/Tmprss9/Tpsab1/Tpsb2/Tpsg1";41
"SF3A66";"SF3A66";"GO:0001221";"transcription cofactor binding";"17/2454";"59/22669";0.000117048079831613;0.00917991368965082;0.0085717917109768;"Baiap2/Cdk9/Fam89b/Hdac5/Hdgf/Mafk/Med25/Nr1d1/Per1/Phf12/Rela/Rpl23/Tead2/Trp53/Ube2i/Zbtb7a/Zfp568";17
"SF3A66";"SF3A66";"GO:0019843";"rRNA binding";"19/2454";"72/22669";0.00017341895741323;0.0119659202747877;0.0111732397158884;"Cavin1/Cirbp/Eef2/Eral1/Lipe/Mrpl11/Mrpl20/Rcc1l/Rpl12/Rpl23/Rpl23a/Rpl3/Rpl37rt/Rpl6/Rpl8/Rplp0/Rps11/Rps18/Rps9";19
"SF3A66";"SF3A66";"GO:0019894";"kinesin binding";"15/2454";"50/22669";0.000177221120597649;0.0119659202747877;0.0111732397158884;"Actb/Atcay/Clstn1/Crocc/Daxx/Dlg4/Kif18b/Klc2/Klc3/Kpnb1/Mapk8ip2/Mapk8ip3/Nup62/Tor1a/Tor1b";15
"SF3A66";"SF3A66";"GO:0033218";"amide binding";"65/2454";"391/22669";0.000297379769409265;0.0181401659339652;0.0169384734154751;"Acacb/Acads/Acadvl/Ager/Apba3/Apoe/Atp1a3/Calr/Clip3/Clstn1/Cptp/Dbil5/Fasn/Folr1/Folr2/Galr2/Galr3/Gcdh/Gcgr/Gipr/Gltpd2/Gm11127/Gm7030/Gm8909/Gnmt/Grin1/Gstp1/Gstp2/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Kdelr1/Kdelr3/Kiss1r/Kpnb1/Nlrp6/Npepps/Nup214/Pcx/Pirb/Plod1/Pltp/Ptges/Ramp2/Rela/Rplp0/Rps6kb2/Sardh/Srp68/Sstr5/Tap1/Thop1/Tnpo2";65
"SF3A66";"SF3A66";"GO:0003729";"mRNA binding";"58/2454";"345/22669";0.000457892669136477;0.0257444007669449;0.0240389668747046;"Arc/Calr/Celf5/Cirbp/Cpsf1/Dazap1/Ddx6/Denr/Dxo/Eif3d/Eif4a3/Eif4g3/Exosc4/Fubp3/Fus/Fxr2/Gm21992/Hnrnpl/Ilf3/Jrk/Luc7l/Mex3d/Mir124a-1/Mir124a-3/Mir23a/Mir24-2/Mir294/Mir9-1/Mvk/Nanos2/Nova2/Nsrp1/Pabpc1l/Ptbp1/Rbfox3/Rbm14/Rbm4/Rbm4b/Rbms2/Rnf40/Rnps1/Rpl13a/Rpl6/Rps2/Samd4b/Sf1/Slpi/Snip1/Snrnp70/Srrm3/Supt5/Tial1/Trp53/Xpo5/Ybx2/Ythdf1/Zc3h12a/Zfp36";58
"SF3A66";"SF3A66";"GO:0008047";"enzyme activator activity";"73/2454";"460/22669";0.000536871252713159;0.0280706969275738;0.0262111579018856;"Acap1/Acap3/Agfg2/Apoc2/Apoe/Arfgap1/Arhgap23/Arhgap33/Arhgap39/Arhgap45/Arhgdia/Arhgdig/Arhgef1/Arhgef10l/Atp1b2/Bad/Cdc42ep2/Cks1brt/Daxx/Dazap2/Dnttip1/Dpm2/Dpm3/Erbb3/Garnl3/Gtf2h4/Guca1a/Iqgap3/Krtcap2/Map2k2/Mapk8ip2/Mlst8/Mtss2/Noxo1/Nupr1/Pcolce/Pdgfb/Ppp2r5b/Ppp2r5d/Psme3/Ptpa/Pycard/Rab3a/Rabep2/Racgap1/Rap1gap/Rasa4/Rasal3/Rgs10/Rgs11/Ric8a/Rin1/Rinl/Rptor/Rundc1/Sgsm3/Sipa1/Sipa1l3/Stk11/Stx4a/Syngap1/Tab1/Tbc1d10b/Tbc1d10c/Tbc1d13/Tbc1d16/Tbc1d17/Tbc1d24/Tbcd/Tgfb1/Timp2/Tsc2/Vac14";73
