100kb name,n_per_dist(um),chrom,PT_0h
chr1-g128,2.0650848937760085,chr1,-0.8523988588612006
chr1-g129,1.9981815098050435,chr1,-0.8790019295990094
chr1-g130,2.133291011412042,chr1,-1.0558596053350349
chr1-g131,2.19748782488303,chr1,-1.200122393758163
chr1-g132,2.1565201559088445,chr1,-1.1183779986704336
chr1-g133,2.0541755604819576,chr1,-1.0701749685574633
chr1-g134,2.1983903603681814,chr1,-0.8932771337583864
chr1-g135,2.1243529327854813,chr1,-1.1822963760720206
chr1-g136,2.129122653621386,chr1,-0.978557203293485
chr1-g137,2.042679898609536,chr1,-0.4262585037505866
chr1-g138,1.9705828063162136,chr1,0.013671000627414196
chr1-g139,1.7916963214944168,chr1,0.22913596029976685
chr1-g140,1.8879369309791505,chr1,0.06824715020858726
chr1-g141,1.9046648054364708,chr1,-0.07421494150600576
chr1-g142,1.8504766060704425,chr1,-0.13303144871512304
chr1-g143,1.9074201598198608,chr1,-0.20825498908806694
chr1-g144,1.9134553162182235,chr1,0.004346944549590533
chr1-g145,1.7711790205117026,chr1,-0.03620855434743751
chr1-g146,1.998240190956313,chr1,-0.17295603820943636
chr1-g147,1.8944383965029177,chr1,-0.18862733982247065
chr1-g148,1.7488563221521338,chr1,0.15019097858448652
chr1-g149,1.9262624556163368,chr1,0.15946155228825196
chr1-g150,1.8354462342680584,chr1,0.26506159908947385
chr1-g151,1.7031936899278426,chr1,0.5890641272083237
chr1-g152,1.7150202944974504,chr1,0.4903682713521305
chr1-g153,1.8046815056327128,chr1,0.5829457261942759
chr1-g154,1.6897655225665875,chr1,0.5222845261550788
chr1-g155,1.8448816024579329,chr1,0.3774235118647623
chr1-g156,1.873750021478472,chr1,-0.20846605421304076
chr1-g157,1.940451591854886,chr1,-0.4304962540818643
chr1-g158,2.078268686310373,chr1,-0.8100769794844446
chr1-g159,1.8746571218798351,chr1,-0.05358845431714422
chr1-g160,1.8784303317796625,chr1,-0.2070248649845987
chr1-g161,1.9915752345558595,chr1,-0.2903622175216581
chr1-g162,1.7472996788866624,chr1,0.32383828933101394
chr1-g163,1.692078112995128,chr1,0.42743729788227897
chr1-g164,1.908382904153342,chr1,0.42122463909690133
chr1-g165,1.9433955845265087,chr1,-0.24626423915958506
chr1-g166,1.8635425788427509,chr1,-0.7429250171775917
chr1-g167,1.80440925344767,chr1,0.17479266686744932
chr1-g168,1.806756695873116,chr1,0.13752141312363353
chr1-g169,1.6524990501091965,chr1,0.6982487375887061
chr1-g170,1.7323520409972355,chr1,0.5441037521023202
chr1-g171,1.752049108767768,chr1,0.16500214701397012
chr1-g172,1.6583094351598544,chr1,0.008491649049109519
chr1-g173,1.6633322113472633,chr1,0.4200957090855326
chr1-g174,1.6129027183340838,chr1,0.3574777298764682
chr1-g175,1.5110880682755874,chr1,0.49270210926787444
chr1-g176,1.6865291794555186,chr1,0.3714115659420837
chr1-g177,1.5058395950525405,chr1,0.6815906769014426
chr1-g178,1.481448084759697,chr1,0.9840795918729747
chr1-g179,1.7195171083343466,chr1,0.593084976539795
chr1-g180,1.6876754777471277,chr1,0.4629332537058078
chr1-g181,1.572091434295504,chr1,0.8536681839310069
chr1-g182,1.5965345569629807,chr1,0.7444161939560268
chr1-g183,1.5209112897142631,chr1,0.8859982162623059
chr1-g184,1.39547587120322,chr1,0.9478828335918037
chr1-g185,1.4927087500419345,chr1,0.7822058695264935
chr1-g186,1.479004789435869,chr1,0.8958508931608573
chr1-g187,1.316628011582908,chr1,0.9766591623485066
chr1-g188,1.4829482852834468,chr1,0.9511256442456991
chr1-g189,1.4062659004611562,chr1,0.8931539528766811
chr1-g190,1.4075947248204264,chr1,0.6121622648532924
chr1-g191,1.5156031206861362,chr1,0.4256390379711821
chr1-g192,1.5284978427657467,chr1,0.3121147156092473
chr1-g193,1.4491123872857037,chr1,0.7159356524441814
chr1-g194,1.6113811044883048,chr1,0.7927107401676767
chr1-g195,1.6035751166016796,chr1,0.9466394142808333
chr1-g196,1.5010894811475026,chr1,0.8758616970171887
chr1-g197,1.5491350936447024,chr1,0.8590054629432824
chr1-g198,1.5176529388988036,chr1,0.7221058227331774
chr1-g199,1.4213505740504069,chr1,0.7370096660243096
chr1-g200,1.561283447850936,chr1,0.7749746121026231
chr1-g201,1.5031535801678126,chr1,0.9328709867214074
chr1-g202,1.4767290249644502,chr1,0.84208739783538
chr1-g203,1.6265662979213031,chr1,0.718458611430852
chr1-g204,1.608310642377026,chr1,0.365467959036804
chr1-g205,1.6096571477504782,chr1,0.38150567355375353
chr1-g206,1.7088220112860724,chr1,0.07226092621929933
chr1-g207,1.8441060105720009,chr1,-0.4104321183955998
chr1-g208,1.832608958222132,chr1,-0.8439878460983745
chr1-g209,1.9151850307133529,chr1,-0.652349791413431
chr1-g210,1.9268851960289508,chr1,-0.3170927033568348
chr1-g211,1.8223909547900432,chr1,-0.3627867243971689
chr1-g212,1.7907799738353118,chr1,-0.5556559219440926
chr1-g213,1.8204664226819085,chr1,-0.00364076215075011
chr1-g214,1.5176554309296633,chr1,0.4397921910511339
chr1-g215,1.5154041789089572,chr1,0.8777387000076327
chr1-g216,1.5302991422720211,chr1,0.9088879253839549
chr1-g217,1.4257943605443442,chr1,0.8447995327644247
chr1-g218,1.5024988446059138,chr1,0.8874898596840278
chr1-g219,1.5056807637303355,chr1,0.5949303942301951
chr1-g220,1.4019859785562785,chr1,0.7394645235176827
chr1-g221,1.517424955283171,chr1,0.9170407912664456
chr1-g222,1.530502489393077,chr1,0.42199357966899076
chr1-g223,1.5750848256611354,chr1,0.6610900328420679
chr1-g224,1.706679047434453,chr1,0.4726747357059143
chr1-g225,1.7051777767988696,chr1,0.48535621505725046
chr1-g226,1.5209989766650496,chr1,0.6419678555190302
chr1-g227,1.5529373202809962,chr1,0.8021662639102833
chr1-g228,1.5903165927382306,chr1,0.6900593440303953
chr1-g229,1.411482554660834,chr1,0.7728885815046855
chr1-g230,1.5991266718353283,chr1,0.5981608971435561
chr1-g231,1.6038357845105853,chr1,0.3259500756109883
chr1-g232,1.5000690268431651,chr1,0.2949160710861708
chr1-g233,1.640536930805094,chr1,-0.07712203807882123
chr1-g234,1.5343849588870166,chr1,0.4338233418319882
chr1-g235,1.4744514682980483,chr1,0.4917260331035485
chr1-g236,1.682049146328699,chr1,0.43569568447489376
chr1-g237,1.6137426104663792,chr1,0.016581142588237476
chr1-g238,1.660802040885068,chr1,-0.35171120995689326
chr1-g239,1.8530914683963244,chr1,-0.3789552531466354
chr1-g240,1.7747144828012196,chr1,-0.29823148344879413
chr1-g241,1.681375312799414,chr1,0.021780123973396622
chr1-g242,1.5786213768504354,chr1,0.3101680664319377
chr1-g243,1.6266827622870643,chr1,0.5178512600897948
chr1-g244,1.4059235683419304,chr1,0.7559441654907092
chr1-g245,1.5914353414791198,chr1,0.4632009418072685
chr1-g246,1.6125909480846488,chr1,0.22898052298104843
chr1-g247,1.5279293527107836,chr1,0.20124350436181068
chr1-g248,1.6100516025849088,chr1,0.5913414186724559
chr1-g249,1.5115595958248944,chr1,0.6594376091704358
chr1-g250,1.5321905576146897,chr1,0.5341752680880458
chr1-g251,1.6054823292703722,chr1,0.523113809813793
chr1-g252,1.4683878695818595,chr1,0.573330133053582
chr1-g253,1.3911913523746424,chr1,0.9347866437171755
chr1-g254,1.5298818349369272,chr1,0.8667303082402062
chr1-g255,1.5191599300568983,chr1,0.9058701578223829
chr1-g256,1.3831015481881526,chr1,0.7723931478735006
chr1-g257,1.349277179369507,chr1,0.9138666135993972
chr1-g258,1.4759784097162991,chr1,0.7187246261690893
chr1-g259,1.326952096680435,chr1,0.8098622166675935
chr1-g260,1.3376733210082383,chr1,1.0059435456687975
chr1-g261,1.4253335025649143,chr1,1.127964671858593
chr1-g262,1.373626362427843,chr1,0.7834904303247134
chr1-g263,1.5333789345254396,chr1,0.7179397314296201
chr1-g264,1.3276203943751153,chr1,0.6418411504192589
chr1-g265,1.2945704296358893,chr1,0.7783199365669203
chr1-g266,1.4344858390213906,chr1,0.9851059947366305
chr1-g267,1.2988025598464974,chr1,0.9687870929846183
chr1-g268,1.3937325021949505,chr1,0.6890486521490266
chr1-g269,1.4865502410597218,chr1,0.9091284127997638
chr1-g270,1.5496170154569815,chr1,1.0050427085526792
chr1-g271,1.413543999966851,chr1,0.970911922575975
chr1-g272,1.4175453651390422,chr1,0.8671676440630506
chr1-g273,1.4900948542698216,chr1,1.0163730737431327
chr1-g274,1.3344736673445592,chr1,0.9528228587323537
chr1-g275,1.4299677918089793,chr1,1.0807859836544798
chr1-g276,1.4441130806338718,chr1,0.8388764926187516
chr1-g277,1.366481553073548,chr1,0.8067401201437745
chr1-g278,1.437142660918589,chr1,1.1349905676549064
chr1-g279,1.327606224796427,chr1,1.1008022159518993
chr1-g280,1.229393609643675,chr1,1.0472491496260867
chr1-g281,1.4812892228964591,chr1,0.9584030954857248
chr1-g282,1.3737841061615224,chr1,0.7955501016543371
chr1-g283,1.4180761986717787,chr1,0.7717734130762856
chr1-g284,1.5727196062256996,chr1,0.7571656101603778
chr1-g285,1.4399553805725402,chr1,0.9574644572577565
chr1-g286,1.4330797854653603,chr1,0.9904815668021063
chr1-g287,1.408934180111129,chr1,0.918871296874214
chr1-g288,1.4385771632567184,chr1,0.8810388405253452
chr1-g289,1.331658819647962,chr1,0.8167900863230967
chr1-g290,1.3987419313487406,chr1,0.9346921406075384
chr1-g291,1.432993171691614,chr1,0.9396979400264885
chr1-g292,1.2869755523145798,chr1,0.8536965498594942
chr1-g293,1.3963341818232493,chr1,0.9533911082725608
chr1-g294,1.326339888679021,chr1,0.9979276064234652
chr1-g295,1.3264077334200173,chr1,0.8828785639100125
chr1-g296,1.4444606318835795,chr1,0.8288942740203249
chr1-g297,1.3826244889501331,chr1,0.7832206098693022
chr1-g298,1.4075821416402192,chr1,0.7745529276623734
chr1-g299,1.5980071140186496,chr1,0.6523051747282229
chr1-g300,1.6321512524593451,chr1,0.8176923750186267
chr1-g301,1.503083289402125,chr1,0.9862897830331463
chr1-g302,1.4262548530374284,chr1,0.859564422303646
chr1-g303,1.5403754755993582,chr1,0.7946350485282232
chr1-g304,1.4050362248586,chr1,0.8476569529078297
chr1-g305,1.5960583853145045,chr1,0.5904949051660044
chr1-g306,1.5597118261783125,chr1,0.6445669054009989
chr1-g307,1.5757553396719717,chr1,-0.0036934555233260834
chr1-g308,1.76612082851473,chr1,-0.6942881851948701
chr1-g309,1.7223287141719252,chr1,-0.16331024829112
chr1-g310,1.4813368776571698,chr1,0.8129009882870453
chr1-g311,1.6271857460870771,chr1,0.40503783163814094
chr1-g312,1.545660760685414,chr1,0.6207490783171623
chr1-g313,1.4955606446816718,chr1,0.8777558368053704
chr1-g314,1.6385408970517328,chr1,0.9810498683196963
chr1-g315,1.5290234315188624,chr1,0.924899888204304
chr1-g316,1.4638534782136785,chr1,0.6485793225124821
chr1-g317,1.4251356124216628,chr1,0.7002418167280265
chr1-g318,1.4563541917148335,chr1,0.8014981028030563
chr1-g319,1.3544905598165309,chr1,0.7155168093503421
chr1-g320,1.4725638348323806,chr1,0.6520219644448815
chr1-g321,1.4737745537317686,chr1,0.6977630777622605
chr1-g322,1.3372819992395,chr1,0.9075662524455664
chr1-g323,1.4588163292668757,chr1,0.9552893658679743
chr1-g324,1.447057935663762,chr1,0.7623486680875745
chr1-g325,1.3827496953999674,chr1,0.7958800839181848
chr1-g326,1.5636429469886073,chr1,0.7343413554958195
chr1-g327,1.4569064632782442,chr1,0.8445875261161605
chr1-g328,1.4742780554606774,chr1,0.8429015450483621
chr1-g329,1.6176953971334431,chr1,0.7013849852460173
chr1-g330,1.7476179940251857,chr1,0.6816791074186949
chr1-g331,1.6915235958709398,chr1,0.7607994253946695
chr1-g332,1.7920138781313892,chr1,0.49023405252423496
chr1-g333,1.7084550726989454,chr1,0.608600591915636
chr1-g334,1.7026072083031851,chr1,0.2502648752023159
chr1-g335,1.9711140365423985,chr1,-0.4097139564037019
chr1-g336,2.121276416920668,chr1,-0.8824239591875461
chr1-g337,2.0889202724183225,chr1,-1.4606117092204856
chr1-g338,2.2896983358615515,chr1,-1.0859407853468408
chr1-g339,2.2002914132757736,chr1,-1.2680597441927084
chr1-g340,2.236380654158112,chr1,-1.0559104483369295
chr1-g341,2.23644903628471,chr1,-1.1453987521053486
chr1-g342,2.172895674836278,chr1,-1.3814889373933354
chr1-g343,2.2115970471281097,chr1,-1.2377444545871235
chr1-g344,2.38769038546524,chr1,-1.1929328123963
chr1-g345,2.487830885397812,chr1,-1.3258513156585647
chr1-g346,2.443581731651288,chr1,-1.0947645917252091
chr1-g347,2.5104397978094743,chr1,-1.2564443594979262
chr1-g348,2.4438477124233025,chr1,-1.3122157846891027
chr1-g349,2.3908004887764944,chr1,-0.863219200185069
chr1-g350,2.4104438879562573,chr1,-0.7697717383723945
chr1-g351,2.34468491347044,chr1,-0.685451661065752
chr1-g352,2.343628016755765,chr1,-0.8781069408356836
chr1-g353,2.421798114500178,chr1,-0.8950256844136841
chr1-g354,2.409479747226616,chr1,-0.8309639645829783
chr1-g355,2.4315928672883445,chr1,-1.0123793359593258
chr1-g356,2.441599944494252,chr1,-1.1069948471440598
chr1-g357,2.4068242710212555,chr1,-1.215908341625051
chr1-g358,2.448517859812781,chr1,-1.2554954682507748
chr1-g359,2.4610148700010046,chr1,-1.4438386712899522
chr1-g360,2.4687152171171367,chr1,-1.2383626645340438
chr1-g361,2.4185004089611617,chr1,-1.7489728921666952
chr1-g362,2.5622864872595104,chr1,-1.564405163609854
chr1-g363,2.491336441854415,chr1,-1.4610069532635683
chr1-g364,2.4895904152194355,chr1,-1.6813345884099256
chr1-g365,2.5386630125583327,chr1,-1.3445106105348403
chr1-g366,2.49758577650538,chr1,-1.6725903475222235
chr1-g367,2.4993598409759583,chr1,-1.4697274148555797
chr1-g368,2.433139636321326,chr1,-1.4921980967566255
chr1-g369,2.471036793352993,chr1,-1.2797402871307626
chr1-g370,2.4132991471712124,chr1,-1.3072516416740758
chr1-g371,2.435144871961014,chr1,-1.6135786519929585
chr1-g372,2.5007016258023533,chr1,-1.6396115164047054
chr1-g373,2.46737775006622,chr1,-1.4930157755848052
chr1-g374,2.452812132126064,chr1,-1.3513034488014022
chr1-g375,2.5246060366583465,chr1,-1.3097857047485921
chr1-g376,2.5035264268144584,chr1,-1.253798577677366
chr1-g377,2.476941608920162,chr1,-1.0313073933154282
chr1-g378,2.5057090410096743,chr1,-1.1942201757167763
chr1-g379,2.4387034669458405,chr1,-1.1604860598210909
chr1-g380,2.3833331596826657,chr1,-1.434777154200925
chr1-g381,2.445173245215764,chr1,-1.3830370467448565
chr1-g382,2.4121420489703103,chr1,-1.416315720376271
chr1-g383,2.436268130203876,chr1,-0.9403040735433688
chr1-g384,2.344564166694558,chr1,-1.0086167536503892
chr1-g385,2.3489032690038267,chr1,-1.0959081203114602
chr1-g386,2.4024667666578736,chr1,-1.0655560179613488
chr1-g387,2.368557833137192,chr1,-1.269807654690211
chr1-g388,2.37009177634727,chr1,-1.220407489630075
chr1-g389,2.441363348300833,chr1,-1.2717060740627526
chr1-g390,2.3220039180316525,chr1,-1.4157044288184593
chr1-g391,2.27347707436774,chr1,-1.2572285567207993
chr1-g392,2.307706356360714,chr1,-1.5691606761828591
chr1-g393,2.250172231873408,chr1,-1.5046450746099427
chr1-g394,2.269808029743082,chr1,-1.382126838845362
chr1-g395,2.342187636773956,chr1,-1.482905373272974
chr1-g396,2.2639201536620783,chr1,-1.4529679576811823
chr1-g397,2.213413079877061,chr1,-1.077102812308525
chr1-g398,2.185187008857082,chr1,-1.0875401604962498
chr1-g399,2.1893739338651548,chr1,-1.2716958058315915
chr1-g400,2.1708857727908315,chr1,-1.3108648948526629
chr1-g401,2.1913376976737005,chr1,-0.7476319391269557
chr1-g402,2.0872533075613062,chr1,-0.640803177655954
chr1-g403,2.075344250632884,chr1,-0.8778468580903727
chr1-g404,2.0593255689614542,chr1,-0.4140439054376973
chr1-g405,1.9194357587119693,chr1,-0.5111226601114677
chr1-g406,1.877658714772258,chr1,-0.46593083943543673
chr1-g407,1.828780200233049,chr1,-0.522927246021549
chr1-g408,1.834312296337,chr1,-0.30040960593765753
chr1-g409,1.7370009969845963,chr1,0.03676908268301997
chr1-g410,1.808266457751034,chr1,0.1274181244007348
chr1-g411,1.7724613741838438,chr1,0.1990817144791827
chr1-g412,1.5729810928637962,chr1,0.2037440649686239
chr1-g413,1.6887044948307404,chr1,0.37725250579011327
chr1-g414,1.6179879330489009,chr1,0.3337956426427698
chr1-g415,1.5245656574495898,chr1,0.4848545263065646
chr1-g416,1.6329516308582064,chr1,0.765244578080235
chr1-g417,1.48961443338926,chr1,0.524010741814937
chr1-g418,1.4979087500141988,chr1,0.47660600343698667
chr1-g419,1.692878264677096,chr1,0.5102215617944907
chr1-g420,1.7492701276318332,chr1,0.22827567041545152
chr1-g421,1.6709561429046724,chr1,0.07613548672095208
chr1-g422,1.7365244475278852,chr1,-0.03571906520407673
chr1-g423,1.76208412460076,chr1,0.015557954663434858
chr1-g424,1.6435534813589037,chr1,-0.0692528194411812
chr1-g425,1.829433636133989,chr1,-0.1685620567046067
chr1-g426,1.8744687137206544,chr1,-0.4800160316297791
chr1-g427,1.7963637008586408,chr1,-0.49865308960472926
chr1-g428,1.939969906092048,chr1,-0.6558820792350001
chr1-g429,1.9035385482193723,chr1,-0.8071448229610952
chr1-g430,1.8446354348467893,chr1,-0.7172248041059999
chr1-g431,1.9385356840585244,chr1,-0.9499424051488845
chr1-g432,1.85789535569654,chr1,-0.7006031212780953
chr1-g433,1.8109120187506555,chr1,-0.45457464067833453
chr1-g434,1.9568258540947845,chr1,-0.6137055033700964
chr1-g435,1.8831995268358503,chr1,-0.4980803535250359
chr1-g436,1.7650483284504572,chr1,-0.3248039308085505
chr1-g437,1.819540948389504,chr1,-0.8806819766042666
chr1-g438,1.8775349290096388,chr1,-0.6504210545959008
chr1-g439,1.808769133092364,chr1,-0.8288064304467111
chr1-g440,1.8922776364040788,chr1,-0.7947072969945099
chr1-g441,1.819277013725732,chr1,-0.46416824798686224
chr1-g442,1.524669998602358,chr1,0.1692992004259778
chr1-g443,1.5835131807530505,chr1,0.4908611787616373
chr1-g444,1.5217607182752255,chr1,0.39182149993746046
chr1-g445,1.5016430153358504,chr1,0.4546344481680918
chr1-g446,1.580596283143191,chr1,0.5118249096298559
chr1-g447,1.4529359157805706,chr1,0.5573923102866287
chr1-g448,1.4203104365896788,chr1,0.717949561553423
chr1-g449,1.6011940371490896,chr1,0.914009918841231
chr1-g450,1.5522632460767891,chr1,1.0448540619088713
chr1-g451,1.4498117422817547,chr1,0.7194017530295246
chr1-g452,1.4980209982009365,chr1,0.5630636765485649
chr1-g453,1.531429289835459,chr1,0.38253453642047575
chr1-g454,1.3688850001113722,chr1,0.7570657832945664
chr1-g455,1.4642409447816531,chr1,0.5284729377796067
chr1-g456,1.5352198691149583,chr1,0.5368506149872107
chr1-g457,1.4175639575528995,chr1,0.5270286094975275
chr1-g458,1.6334960550884725,chr1,0.015967234414896243
chr1-g459,1.4349545603652931,chr1,0.5468573458399628
chr1-g460,1.4483255329371998,chr1,0.5920126209027331
chr1-g461,1.5199013539570163,chr1,0.7143930716743754
chr1-g462,1.4345640668668187,chr1,0.6252292905510032
chr1-g463,1.4022649877084072,chr1,0.769675532375976
chr1-g464,1.550803818340496,chr1,0.5784639408982539
chr1-g465,1.6211708863926226,chr1,0.2749205414712477
chr1-g466,1.5920438350742363,chr1,0.30832094459049403
chr1-g467,1.6261511033712015,chr1,0.3698381769446769
chr1-g468,1.6229250985140742,chr1,-0.15189833296815908
chr1-g469,1.547509482573609,chr1,0.04334217893760803
chr1-g470,1.5843078147248026,chr1,0.26223004689061596
chr1-g471,1.526524275619861,chr1,0.4585379826605277
chr1-g472,1.3775887885044853,chr1,0.5333377058983418
chr1-g473,1.3986008597229835,chr1,0.882271895502663
chr1-g474,1.3590123094676958,chr1,1.029487280499456
chr1-g475,1.3262182828510465,chr1,0.9810970114159703
chr1-g476,1.4198034677396605,chr1,1.0505280733350155
chr1-g477,1.390122451978856,chr1,0.8227392081981018
chr1-g478,1.4323646927369067,chr1,0.5363421667473482
chr1-g479,1.54513845366572,chr1,0.7390605023766412
chr1-g480,1.462859997996452,chr1,1.0647356206772929
chr1-g481,1.3660608354596722,chr1,0.8393350689198769
chr1-g482,1.363863646591429,chr1,0.851105185505771
chr1-g483,1.3734253859548549,chr1,0.9048986583554632
chr1-g484,1.2944699996696571,chr1,0.9018824862944689
chr1-g485,1.433152508529993,chr1,0.621192285148893
chr1-g486,1.4666987308711423,chr1,0.6015858263925968
chr1-g487,1.296785406980959,chr1,0.7914905583576672
chr1-g488,1.342030051146632,chr1,1.0197003096672104
chr1-g489,1.3279372145745945,chr1,1.0159708179829283
chr1-g490,1.2665529039004015,chr1,0.9654538682616502
chr1-g491,1.4066435387423717,chr1,1.0844921430851606
chr1-g492,1.2842566867252234,chr1,0.9869663210370418
chr1-g493,1.3685779698337273,chr1,0.8574661139635225
chr1-g494,1.4680580245860002,chr1,1.00294713462928
chr1-g495,1.4709720504378645,chr1,0.9357190377290848
chr1-g496,1.3279705228898044,chr1,1.035091394274188
chr1-g497,1.340706290561238,chr1,0.9341157098253433
chr1-g498,1.4208326779663158,chr1,0.7691707907328074
chr1-g499,1.2575977304875554,chr1,0.8713693293839426
chr1-g500,1.3920670034555247,chr1,0.8883645855605734
chr1-g501,1.4080339847202836,chr1,1.0020116346901369
chr1-g502,1.2786712426968734,chr1,0.9759495679149531
chr1-g503,1.3098295931739674,chr1,0.964617428016205
chr1-g504,1.2768445928337513,chr1,0.8491882950251268
chr1-g505,1.2566758524166173,chr1,0.914115181975788
chr1-g506,1.4717483117760335,chr1,0.4972621193405886
chr1-g507,1.271196267447935,chr1,0.9950332987994992
chr1-g508,1.2935445352452373,chr1,0.7506515120228988
chr1-g509,1.5108640033963407,chr1,0.5253520272899525
chr1-g510,1.5685379736024094,chr1,0.8982214730443865
chr1-g511,1.5110750571250169,chr1,0.8083223052011326
