sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0005819";"spindle";"17/559";"297/23271";0.000913202587398183;0.016683508808236;0.0139753270460127;"Bora/Cbx3/Cul3/Diaph1/Ect2/Eml4/Hnrnpu/Pkd2/Pkp4/Rif1/Rps6ka2/Ska3/Spin1/Terf1/Tpt1/Vps4b/Xiap";17
"ES";"ES";"GO:0016363";"nuclear matrix";"8/559";"88/23271";0.00125834880143057;0.0213469885956971;0.0178817987571712;"Hnrnpa2b1/Hnrnpu/Psma6/Rad21/Scaf8/Tcerg1/Xpot/Yy1";8
"ES";"ES";"GO:0032806";"carboxy-terminal domain protein kinase complex";"4/559";"21/23271";0.00142413904558353;0.0233264154017991;0.0195399114058284;"Brd4/Cdk13/Cdk7/Gtf2h1";4
"ES";"ES";"GO:0031010";"ISWI-type complex";"3/559";"11/23271";0.00196983508528526;0.0286180386126845;0.0239725619846975;"Bptf/Cecr2/Hmgxb4";3
"ES";"ES";"GO:0005844";"polysome";"7/559";"74/23271";0.00199325649205789;0.0286180386126845;0.0239725619846975;"Btf3/Naa30/Psma6/Rpl17/Rpl8/Rps23/Rps6";7
"ES";"ES";"GO:0042555";"MCM complex";"3/559";"12/23271";0.00257982858718477;0.034039404969799;0.0285138949109895;"Mcm3/Mcm6/Mms22l";3
"ES";"ES";"GO:0044294";"dendritic growth cone";"3/559";"12/23271";0.00257982858718477;0.034039404969799;0.0285138949109895;"Cobl/Hsp90aa1/Rtn4";3
"ES";"ES";"GO:1990124";"messenger ribonucleoprotein complex";"3/559";"14/23271";0.00411853880150021;0.0489076482678151;0.0409686228149232;"Hnrnpa3/Pabpc1/Ybx1";3
"NM";"NM";"GO:0015629";"actin cytoskeleton";"50/556";"497/23271";8.97315916113004e-18;3.84051212096366e-15;2.77695662460235e-15;"Actb/Actn1/Adam8/Ahnak/Anxa2/Arpc1b/Asap1/Axl/Bcar1/Cald1/Cdc42bpb/Cdh2/Cgn/Cgnl1/Cnn2/Coro1b/Csrp1/Cttn/Cttnbp2nl/Ehbp1l1/Ezr/Fhl3/Flna/Flnb/Flnc/Krt19/Lasp1/Mlph/Mprip/Myh9/Myo18a/Myo1c/Myo1e/Myo5c/Onecut2/Parvb/Pdlim7/Ppp1r9b/Pxn/Ror1/Sh3pxd2b/Shroom1/Sipa1l3/Smtn/Specc1/Src/Tax1bp3/Tpm1/Vill/Zyx";50
"NM";"NM";"GO:0045121";"membrane raft";"37/556";"379/23271";4.76718262418745e-13;7.36967375119928e-11;5.32878525049825e-11;"Actb/Adcy6/Ahnak/Ano1/Anxa2/App/Capn2/Casp3/Casp8/Cav2/Cavin1/Cavin2/Cd24a/Cdh13/Cdh2/Csk/Ctsd/Egfr/Ehd2/Ezr/F2r/Gnai2/Igf1r/Kcnn4/Kirrel/Myo1c/Pag1/Plpp2/Prkca/Ptgs2/S100a10/Sdc4/Serpinh1/Slc9a3r1/Src/Tgfbr2/Unc5b";37
"NM";"NM";"GO:0098857";"membrane microdomain";"37/556";"380/23271";5.16565917140137e-13;7.36967375119928e-11;5.32878525049825e-11;"Actb/Adcy6/Ahnak/Ano1/Anxa2/App/Capn2/Casp3/Casp8/Cav2/Cavin1/Cavin2/Cd24a/Cdh13/Cdh2/Csk/Ctsd/Egfr/Ehd2/Ezr/F2r/Gnai2/Igf1r/Kcnn4/Kirrel/Myo1c/Pag1/Plpp2/Prkca/Ptgs2/S100a10/Sdc4/Serpinh1/Slc9a3r1/Src/Tgfbr2/Unc5b";37
"NM";"NM";"GO:0005925";"focal adhesion";"24/556";"161/23271";8.51673697660731e-13;9.11290856496982e-11;6.58926492400671e-11;"Actn1/Bcar1/Capn2/Cav2/Cttn/Epha2/Ezr/Flnb/Git1/Itga2/Itgb4/Lasp1/Msn/Myh9/Parvb/Pdlim7/Phldb2/Plec/Pxn/Sdc4/Tns2/Tns3/Vasp/Zyx";24
"NM";"NM";"GO:0062023";"collagen-containing extracellular matrix";"34/556";"385/23271";6.79154687554126e-11;4.15254580390237e-09;3.00257861866034e-09;"Adamtsl5/Anxa2/Anxa3/Anxa5/Bmp1/Col27a1/Col4a2/Ctsd/Ctsl/Efemp2/Efna5/F3/Gpc6/Igfbp7/Itgb4/Lama5/Lamb3/Lgals1/Lgals3/Ltbp3/Muc1/Nav2/Npnt/Plxnb2/Pxdn/Runx1/S100a10/S100a11/S100a13/S100a6/Serpine1/Serpinh1/Thbs1/Tinagl1";34
"NM";"NM";"GO:0031252";"cell leading edge";"31/556";"395/23271";8.15400629423555e-09;2.90826224494401e-07;2.10287530746075e-07;"Actb/Actn1/Anxa2/App/Arpin/Bcar1/Cd44/Cdh2/Coro1b/Cttn/Dagla/Dnm2/Epha2/Eps8l2/Ezr/Iqgap2/Itgb4/Myh9/Myo1c/Nradd/Nrg1/Parvb/Pdlim7/Phldb2/Ppp1r9b/Ptprm/Pxn/S100a6/Src/Vasp/Wwc1";31
"NM";"NM";"GO:0016323";"basolateral plasma membrane";"22/556";"259/23271";3.17943828874736e-07;1.04676891352605e-05;7.56886523798966e-06;"Abcc1/Abcc3/Anxa2/Arrb1/Cadm1/Cd44/Cd81/Cdh2/Cnnm4/Dsp/Egfr/Ezr/Itga3/Itgb4/Kcnn4/Ldlrap1/Msn/Myo1c/Pdgfb/Plec/Slc6a6/Tgfa";22
"NM";"NM";"GO:0098858";"actin-based cell projection";"20/556";"221/23271";3.9907414872521e-07;1.22002668324564e-05;8.8216390770836e-06;"Adcy6/Anks4b/App/Cd24a/Cd44/Ctsl/Epha4/Eps8l2/Ezr/Iqgap2/Itga3/Msn/Myo1c/Myo1e/Ppp1r9b/Rhoc/Slc6a6/Slc9a3r1/Stard10/Vasp";20
"NM";"NM";"GO:0030027";"lamellipodium";"17/556";"171/23271";7.98699468496406e-07;2.27895581677641e-05;1.64784311395048e-05;"Actb/App/Arpin/Bcar1/Cd44/Cdh2/Coro1b/Cttn/Dnm2/Epha2/Iqgap2/Nradd/Parvb/Ppp1r9b/Ptprm/Pxn/Vasp";17
"NM";"NM";"GO:0005912";"adherens junction";"15/556";"138/23271";1.14388366202421e-06;2.87989533733154e-05;2.08236406585213e-05;"Actb/Cdh2/Cdh6/Efna5/Frmd4a/Jag1/Kifc3/Lmo7/Myh9/Myo1e/Pdlim7/Ptprm/Shroom1/Tnks1bp1/Zyx";15
"NM";"NM";"GO:0005884";"actin filament";"14/556";"136/23271";4.94242198522708e-06;0.000117519811648733;8.49749744828515e-05;"Actb/Actn1/Cald1/Coro1b/Cttn/Ehbp1l1/Ezr/Flna/Myo1c/Pdlim7/Smtn/Specc1/Src/Tpm1";14
"NM";"NM";"GO:0005938";"cell cortex";"22/556";"307/23271";5.36198171536479e-06;0.000120785693377691;8.733643348018e-05;"Actb/Actn1/Anxa2/Cald1/Cdh2/Crip2/Cttn/Flna/Gipc1/Itgb4/Krt19/Lasp1/Mlph/Myh9/Myo1e/Pard6b/Phldb2/Ppp1r9b/Rhoc/Rhog/Rnd3/Shroom1";22
"NM";"NM";"GO:0150034";"distal axon";"25/556";"384/23271";6.80280817738079e-06;0.000145580094995949;0.000105264505481576;"Actb/Anxa5/App/Calm3/Clu/Cttn/Dnm2/Dvl1/Epha4/Flna/Git1/Itga2/Itga3/Klc1/Map1b/Ncam1/Ncs1/Orai2/Ppp1r9b/Prkca/Ptprf/Ptprn/Ror1/Sri/Tnk2";25
"NM";"NM";"GO:0030863";"cortical cytoskeleton";"13/556";"123/23271";8.02771997257322e-06;0.000163612578488635;0.000118303241701079;"Actb/Actn1/Cald1/Cdh2/Cttn/Flna/Krt19/Lasp1/Mlph/Myh9/Myo1e/Ppp1r9b/Shroom1";13
"NM";"NM";"GO:0043292";"contractile fiber";"18/556";"226/23271";9.14538838619619e-06;0.000170183749099651;0.000123054653800535;"Actn1/Ahnak/Ankrd1/Anxa5/Csrp1/Fbxl22/Fhl2/Fhl3/Flna/Habp4/Krt19/Npnt/Pdlim7/Plec/S100a1/Sdc4/Sri/Tpm1";18
"NM";"NM";"GO:0005903";"brush border";"13/556";"140/23271";3.24514455361408e-05;0.000514415507017343;0.000371958089186175;"Actn1/Anks4b/Cgn/Ezr/Flna/Flnb/Gipc1/Myh9/Myo18a/Myo1c/Myo1e/Plec/Slc9a3r1";13
"NM";"NM";"GO:0042383";"sarcolemma";"14/556";"164/23271";4.17389659928909e-05;0.000616009567067493;0.000445417640722683;"Adcy6/Ahnak/Anxa2/Anxa5/Camk2d/Cav2/Cdh2/Ezr/Flnc/Igf1r/Krt19/Msn/Plec/Sri";14
"NM";"NM";"GO:0031253";"cell projection membrane";"20/556";"304/23271";4.81943766114827e-05;0.00066539332870047;0.000481125525425328;"Adcy6/Asap1/Cd24a/Cd44/Dagla/Dnm2/Eps8l2/Ezr/Gnb1/Itga3/Kirrel/Msn/Myo1c/Nradd/Nrg1/Ppp1r9b/Slc6a6/Slc9a3r1/Src/Wwc1";20
"NM";"NM";"GO:0070160";"tight junction";"13/556";"146/23271";5.03887733385692e-05;0.000673949843403363;0.000487312478998005;"Actb/Amotl2/Ccnd1/Cgn/Cgnl1/Epha2/Frmd4a/Lsr/Magi3/Pard6b/Sipa1l3/Traf4/Vasp";13
"NM";"NM";"GO:0030427";"site of polarized growth";"16/556";"216/23271";6.81940296662943e-05;0.000858442491093352;0.00062071345888206;"App/Calm3/Clu/Cttn/Dnm2/Dvl1/Epha4/Flna/Itga3/Klc1/Map1b/Ncam1/Orai2/Ppp1r9b/Ptprf/Tnk2";16
"NM";"NM";"GO:0043235";"receptor complex";"23/556";"403/23271";0.000119178115973139;0.00137550509796817;0.000994585584856475;"Alcam/App/Axl/Cd44/Egfr/Epha2/Epha4/Ephb4/Gprc5a/Igf1r/Il4ra/Itga2/Itga3/Itgb4/Lrp5/Npnt/Plxna1/Plxnb2/Ror1/Rxra/Smad3/Tgfbr2/Traf4";23
"NM";"NM";"GO:0098562";"cytoplasmic side of membrane";"14/556";"186/23271";0.000161705708384242;0.00173985576985074;0.00125803639039872;"Cav2/Ezr/Farp1/Gnai2/Gnb1/H13/Ldlrap1/Litaf/Msn/Ppp1r9b/Rasa3/S100a6/Src/Tnk2";14
"NM";"NM";"GO:0045178";"basal part of cell";"9/556";"83/23271";0.000162603342976705;0.00173985576985074;0.00125803639039872;"Abcc1/Cd81/Egfr/Itga2/Itgb4/Ldlrap1/Myo1c/Phldb2/Plec";9
"NM";"NM";"GO:0005905";"clathrin-coated pit";"8/556";"69/23271";0.000234707488782598;0.00223232900442115;0.00161412869478558;"Ap2s1/App/Arrb1/Bcl2l1/Cttn/Dnm2/Sh3bp4/Tnk2";8
"NM";"NM";"GO:0045177";"apical part of cell";"24/556";"454/23271";0.000269293049394321;0.00250559619871238;0.00181171982887713;"Abcc1/Amotl2/Ano1/App/Cd44/Cd81/Cdh2/Cep164/Ctsl/Egfr/Ezr/Jag1/Kcnn4/Lmo7/Msn/Muc1/Pard6b/Plat/Plec/Prkca/Shroom1/Sipa1l3/Slc6a6/Slc9a3r1";24
"NM";"NM";"GO:0005882";"intermediate filament";"11/556";"129/23271";0.000275243424023273;0.00250647203153108;0.00181235311674898;"Dsp/Iffo2/Krt18/Krt19/Krt7/Krt80/Ldlrap1/Lmna/Nes/Plec/Ppl";11
"NM";"NM";"GO:0030139";"endocytic vesicle";"14/556";"200/23271";0.00034195663958487;0.00298688656616988;0.00215972614474655;"Adam8/Anxa3/Ap2s1/Cdc42ep2/Dnm2/Ecpas/Egfr/Ehd2/Flnb/Gipc1/Myo18a/Myo1c/Myo1e/Zyx";14
"NM";"NM";"GO:0005769";"early endosome";"17/556";"284/23271";0.000522555482512115;0.00438536757872912;0.00317092490936144;"Ankrd13b/Anxa2/App/Bace1/Dagla/Ecpas/Egfr/Ehd2/Epha4/F2r/Ldlrap1/Litaf/Neurl1b/Plpp2/Pmepa1/Rin3/Sh3glb1";17
"NM";"NM";"GO:0019897";"extrinsic component of plasma membrane";"13/556";"189/23271";0.000649532200971724;0.00524527890596033;0.00379270043864323;"Anxa2/Cav2/Cdh13/Cdh2/Cdh6/Farp1/Gnai2/Gnb1/Ppl/S100a10/S100a6/Src/Tnk2";13
"NM";"NM";"GO:0014704";"intercalated disc";"7/556";"62/23271";0.000675298270869967;0.00535236407282122;0.00387013044124309;"Actn1/Anxa5/Camk2d/Cdh2/Dsp/Prkca/Vamp5";7
"NM";"NM";"GO:0019898";"extrinsic component of membrane";"18/556";"320/23271";0.000751461747144358;0.00584773868686882;0.00422832064421897;"Anxa13/Anxa2/Cav2/Cdh13/Cdh2/Cdh6/Ehd2/Ezr/Farp1/Gnai2/Gnb1/Micall1/Ppl/S100a10/S100a6/Src/Syn3/Tnk2";18
"NM";"NM";"GO:0031256";"leading edge membrane";"11/556";"150/23271";0.000984775847512793;0.00739445724097325;0.00534670543247943;"Cd44/Dagla/Dnm2/Epha2/Eps8l2/Myo1c/Nradd/Nrg1/Ppp1r9b/Src/Wwc1";11
"NM";"NM";"GO:0098685";"Schaffer collateral - CA1 synapse";"9/556";"113/23271";0.00157403087362198;0.0116152623087967;0.00839864023311911;"Actb/Cadm1/Dvl1/Epha4/Gipc1/Ncam1/Plat/Ptprs/Wnt7a";9
"NM";"NM";"GO:0043209";"myelin sheath";"13/556";"213/23271";0.00192721335252879;0.0133905191443738;0.00968227404930128;"Actb/Anxa2/Calm3/Ezr/Gnb1/Igsf8/Mbp/Msn/Napa/Ncam1/Phgdh/Pitpna/Ubc";13
"NM";"NM";"GO:0001931";"uropod";"3/556";"11/23271";0.00193974810035322;0.0133905191443738;0.00968227404930128;"Ezr/Msn/Myh9";3
"NM";"NM";"GO:0031254";"cell trailing edge";"3/556";"11/23271";0.00193974810035322;0.0133905191443738;0.00968227404930128;"Ezr/Msn/Myh9";3
"NM";"NM";"GO:0016324";"apical plasma membrane";"18/556";"350/23271";0.00204597800854592;0.0138996601215501;0.010050418287594;"Abcc1/Amotl2/Ano1/Cd44/Cd81/Cdh2/Egfr/Ezr/Jag1/Kcnn4/Lmo7/Msn/Muc1/Pard6b/Plec/Shroom1/Slc6a6/Slc9a3r1";18
"NM";"NM";"GO:0031143";"pseudopodium";"3/556";"12/23271";0.00254066980656786;0.0167293334955545;0.0120964683907846;"Arrb1/Capn2/Msn";3
"NM";"NM";"GO:0034362";"low-density lipoprotein particle";"3/556";"13/23271";0.0032446310221649;0.0204220893748026;0.0147665870048991;"Apob/App/Lsr";3
"NM";"NM";"GO:0014069";"postsynaptic density";"19/556";"400/23271";0.00375635571934114;0.0233002934475074;0.0168477281691273;"Actb/Arrb1/Cadm1/Cald1/Camk2n1/Cdh2/Dagla/Dnm2/Dvl1/Epb41l1/Epha4/Ifngr1/Map1b/Ppp1r9b/Ptprf/Ptprs/Sorbs2/Src/Syn3";19
"NM";"NM";"GO:0016528";"sarcoplasm";"7/556";"84/23271";0.00397100664289501;0.0242798691879866;0.0175560293685885;"Camk2d/Flnc/H6pd/Plec/S100a1/Sri/Thbs1";7
"NM";"NM";"GO:0071437";"invadopodium";"3/556";"14/23271";0.00405680400742004;0.024289542926178;0.017563024152229;"Ezr/Itga3/Msn";3
"NM";"NM";"GO:0098984";"neuron to neuron synapse";"20/556";"433/23271";0.00408609133337573;0.024289542926178;0.017563024152229;"Actb/Arrb1/Bace1/Cadm1/Cald1/Camk2n1/Cdh2/Dagla/Dnm2/Dvl1/Epb41l1/Epha4/Ifngr1/Map1b/Ppp1r9b/Ptprf/Ptprs/Sorbs2/Src/Syn3";20
"NM";"NM";"GO:0044305";"calyx of Held";"4/556";"29/23271";0.0047653664217338;0.0271943577133609;0.0196634067086279;"Actb/Git1/Ncs1/Prkca";4
"NM";"NM";"GO:0070062";"extracellular exosome";"7/556";"92/23271";0.00653102442262045;0.0345096105294019;0.0249528418486084;"Ahnak/Anxa2/Cd81/Clic1/Gprc5a/Serpine1/Sri";7
"NM";"NM";"GO:0043197";"dendritic spine";"11/556";"195/23271";0.00744360010116289;0.0388519615036307;0.0280926627694723;"Actn1/Arrb1/Asap1/Cald1/Comt/Dnm2/Dvl1/Epha4/Gipc1/Ppp1r9b/Sri";11
"NM";"NM";"GO:0008305";"integrin complex";"4/556";"34/23271";0.00847273826900744;0.0421666509201766;0.0304894131100145;"Itga2/Itga3/Itgb4/Npnt";4
"NM";"NM";"GO:0031045";"dense core granule";"4/556";"34/23271";0.00847273826900744;0.0421666509201766;0.0304894131100145;"Actn1/Adam8/Ncs1/Plat";4
"NM";"NM";"GO:1990777";"lipoprotein particle";"4/556";"34/23271";0.00847273826900744;0.0421666509201766;0.0304894131100145;"Apob/App/Clu/Lsr";4
"NM";"NM";"GO:0010008";"endosome membrane";"12/556";"227/23271";0.0087376893931512;0.0429854144858473;0.0310814359538591;"Anxa2/Ctsd/Dagla/Egfr/Ehd2/Epha4/Litaf/Micall1/Plekhm2/Pmepa1/Slc48a1/Vps37b";12
"NM";"NM";"GO:0044309";"neuron spine";"11/556";"200/23271";0.0089177387572089;0.0433726385009706;0.0313614257729595;"Actn1/Arrb1/Asap1/Cald1/Comt/Dnm2/Dvl1/Epha4/Gipc1/Ppp1r9b/Sri";11
"NM";"NM";"GO:0031594";"neuromuscular junction";"7/556";"98/23271";0.00913612670369792;0.0439355306649743;0.031768435847276;"App/Camk2d/Epha4/F2r/Lama5/Myh9/Nrg1";7
