sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0031625";"ubiquitin protein ligase binding";"22/551";"306/22669";6.64086768931063e-06;0.000258993839883114;0.000210534009716845;"Ambra1/Atxn3/Cct2/Cul1/Cul2/Cul3/Gabarapl2/Hsp90aa1/Pcbp2/Pias2/Polr2a/Prdx6/Rala/Rtn4/Trim28/Ube2g1/Ube2k/Ube2n/Uchl1/Usp7/Xrcc5/Ywhaz";22
"ES";"ES";"GO:0003727";"single-stranded RNA binding";"11/551";"93/22669";1.59567422430502e-05;0.000504507242973491;0.000410109880769116;"Cbx7/Cnbp/Eif4b/Eif4h/Hnrnpu/Ilf3/L1td1/Lactb2/Pabpc1/Rbpms/Syncrip";11
"ES";"ES";"GO:0140098";"catalytic activity, acting on RNA";"22/551";"332/22669";2.3683946223037e-05;0.000635784053034707;0.000516823743992649;"Alkbh1/Cdkal1/Cnot6/Dhx36/Dtwd2/Fars2/Farsb/Lactb2/Lars/Mettl16/Mettl2/Noct/Polr2a/Polr2m/Qtrt2/Rcl1/Tars/Tdp2/Trmt11/Tsn/Twistnb/Yars2";22
"ES";"ES";"GO:0042393";"histone binding";"19/551";"265/22669";2.90033497412798e-05;0.000712193365869204;0.000578936259942895;"Atrx/Bptf/Cbx7/Hat1/Hjurp/Kat6b/Kat7/Kdm5b/Mbtd1/Msh6/Mtf2/Nasp/Ncl/Phc1/Pwwp2a/Rbbp5/Set/Sfmbt2/Spin1";19
"ES";"ES";"GO:0140297";"DNA-binding transcription factor binding";"22/551";"365/22669";9.69603245583164e-05;0.00214282317273879;0.00174188372539853;"Arid1a/Asxl1/Crebbp/Gmnn/Gtf2h1/Hdac4/Lrp2/Mier1/Mtdh/Nanog/Ncoa3/Nrbf2/Pias2/Psma6/Rbpj/Rnf4/Sin3a/Tcerg1/Trerf1/Trip12/Txlng/Ywhah";22
"ES";"ES";"GO:0000287";"magnesium ion binding";"15/551";"197/22669";0.000101088534494318;0.00216044346838082;0.00175620712203061;"Clybl/Csnk1a1/Dhx36/Dut/Farsb/Gen1/Map3k7/Msh6/Ppa2/Ppm1b/Prps1/Rps6ka2/Tdp2/Uba2/Wnk1";15
"ES";"ES";"GO:0032182";"ubiquitin-like protein binding";"10/551";"95/22669";0.000105302114358475;0.00216044346838082;0.00175620712203061;"Marchf7/Plaa/Rad23b/Rnf4/Serbp1/Uba2/Ube2n/Ubr5/Ubxn2a/Uchl1";10
"ES";"ES";"GO:0003688";"DNA replication origin binding";"5/551";"22/22669";0.000155722241623979;0.00294982417704852;0.00239788835222488;"Kat7/Mcm10/Mcm3/Mcm6/Orc5";5
"ES";"ES";"GO:0008094";"DNA-dependent ATPase activity";"9/551";"90/22669";0.000341489766696391;0.00611912744107317;0.00497418948929025;"Atrx/Bptf/Cdk7/Chd6/Dhx36/Mcm6/Msh6/Smarcad1/Xrcc5";9
"ES";"ES";"GO:0019843";"rRNA binding";"8/551";"72/22669";0.000353682167072528;0.00617082307287069;0.00501621245266301;"Ncl/Ptcd3/Rpl17/Rpl37/Rpl37a/Rpl8/Rps14/Rps5";8
"ES";"ES";"GO:0003735";"structural constituent of ribosome";"12/551";"158/22669";0.00049999791813883;0.00849996460836011;0.00690955287684429;"Mrpl15/Mrps30/Rpl17/Rpl26/Rpl37/Rpl37a/Rpl8/Rps14/Rps15a/Rps23/Rps5/Rps6";12
"ES";"ES";"GO:0035198";"miRNA binding";"5/551";"30/22669";0.000717864390867549;0.0116083924669557;0.00943636888637189;"Hnrnpa2b1/Pum1/Pum2/Trim71/Ybx1";5
"ES";"ES";"GO:0043021";"ribonucleoprotein complex binding";"11/551";"146/22669";0.00090491036119677;0.0142846564160347;0.0116118823291415;"Eif1a/Eif2s1/Eif4b/Eif4h/Hnrnpu/Naa15/Prmt3/Ptcd3/Pym1/Snrpe/Ythdf3";11
"ES";"ES";"GO:0008757";"S-adenosylmethionine-dependent methyltransferase activity";"11/551";"151/22669";0.00119184713302634;0.0179589692999197;0.0145987017251074;"Ash2l/Carnmt1/Dnmt3b/Eed/Mettl16/Mettl2/Pcmtd1/Prmt3/Rbbp5/Smyd3/Trmt11";11
"ES";"ES";"GO:0042162";"telomeric DNA binding";"5/551";"34/22669";0.00129410943889583;0.0186520556084333;0.0151621060117772;"Hnrnpa2b1/Ncl/Smg7/Terf1/Xrcc5";5
"ES";"ES";"GO:0016763";"transferase activity, transferring pentosyl groups";"6/551";"51/22669";0.00142907588628972;0.0201199365608339;0.0163553346338763;"Nampt/Poglut1/Ppat/Qtrt2/Rxylt1/Upp1";6
"ES";"ES";"GO:0036002";"pre-mRNA binding";"5/551";"35/22669";0.00147999703052452;0.0201199365608339;0.0163553346338763;"Hnrnpa2b1/Hnrnpu/Rnpc3/Slbp/Tardbp";5
"ES";"ES";"GO:0042975";"peroxisome proliferator activated receptor binding";"4/551";"21/22669";0.00148699380313855;0.0201199365608339;0.0163553346338763;"Asxl1/Crebbp/Dut/Ncoa3";4
"ES";"ES";"GO:0008022";"protein C-terminus binding";"14/551";"233/22669";0.00178180426664084;0.0236267245756575;0.0192059744109497;"Cdk7/Kpna3/Ncl/Nedd4/Pabpc1/Polr2a/Scaf4/Sclt1/Sh3gl2/Terf1/Usp7/Vps4b/Xrcc5/Ywhaq";14
"ES";"ES";"GO:0140097";"catalytic activity, acting on DNA";"12/551";"184/22669";0.00188050471001952;0.0244465612302538;0.0198724130346749;"Alkbh1/Atrx/Dhx36/Dnmt3b/Gen1/Mcm6/Pgbd5/Rev1/Tdp2/Terf1/Top1/Xrcc5";12
"ES";"ES";"GO:0016874";"ligase activity";"11/551";"163/22669";0.00219424385842298;0.0279766091948929;0.0227419606379061;"Asns/Atp5c1/Fars2/Farsb/Gart/Lars/Paics/Tars/Uba2/Uchl1/Yars2";11
"ES";"ES";"GO:0003684";"damaged DNA binding";"6/551";"56/22669";0.00232670495172338;0.0285667663517148;0.0232216946448805;"Crebbp/Hmgb2/Msh6/Rad23b/Rev1/Xrcc5";6
"ES";"ES";"GO:0016741";"transferase activity, transferring one-carbon groups";"13/551";"216/22669";0.00252360161095626;0.0304208703284364;0.0247288808576001;"Ash2l/Atic/Carnmt1/Dnmt3b/Eed/Gart/Mettl16/Mettl2/Pcmtd1/Prmt3/Rbbp5/Smyd3/Trmt11";13
"ES";"ES";"GO:0008353";"RNA polymerase II CTD heptapeptide repeat kinase activity";"3/551";"12/22669";0.00266742969480548;0.0304914808216558;0.024786279559717;"Brd4/Cdk13/Cdk7";3
"ES";"ES";"GO:0004407";"histone deacetylase activity";"4/551";"25/22669";0.00291060532385262;0.0327073106731235;0.026587509827164;"Atxn3/Hdac4/Mier1/Sin3a";4
"ES";"ES";"GO:0004812";"aminoacyl-tRNA ligase activity";"5/551";"41/22669";0.00303219901937739;0.032956523767987;0.0267900931479072;"Fars2/Farsb/Lars/Tars/Yars2";5
"ES";"ES";"GO:0035064";"methylated histone binding";"8/551";"104/22669";0.00388062061801214;0.0389825980263947;0.0316886404533049;"Atrx/Bptf/Cbx7/Mbtd1/Msh6/Mtf2/Rbbp5/Spin1";8
"ES";"ES";"GO:0140034";"methylation-dependent protein binding";"8/551";"104/22669";0.00388062061801214;0.0389825980263947;0.0316886404533049;"Atrx/Bptf/Cbx7/Mbtd1/Msh6/Mtf2/Rbbp5/Spin1";8
"ES";"ES";"GO:0051082";"unfolded protein binding";"7/551";"84/22669";0.00435673220455648;0.0426432125249649;0.0346643245420053;"Canx/Cct2/Cct7/Cdc37l1/Hsp90aa1/Srsf10/St13";7
"ES";"ES";"GO:0140142";"nucleocytoplasmic carrier activity";"4/551";"28/22669";0.0044481494412965;0.0426432125249649;0.0346643245420053;"Ipo11/Kpna3/Ranbp17/Xpo4";4
"ES";"ES";"GO:0000049";"tRNA binding";"6/551";"64/22669";0.00456656872861599;0.0426432125249649;0.0346643245420053;"Alkbh1/Fars2/Nat10/Trmt11/Xpot/Yars2";6
"ES";"ES";"GO:0003725";"double-stranded RNA binding";"7/551";"85/22669";0.00465073796124357;0.0428255453931178;0.0348125414642793;"Dhx36/Eif4b/Eif4h/Hnrnpu/Ilf3/Mtdh/Tfrc";7
"ES";"ES";"GO:0051427";"hormone receptor binding";"11/551";"181/22669";0.00488400142627052;0.0443574376111967;0.0360578043294954;"Arid1a/Asxl1/Gtf2h1/Lrp2/Ncoa3/Nrbf2/Pias2/Rnf4/Trerf1/Trip12/Ywhah";11
"NM";"NM";"GO:0003779";"actin binding";"41/548";"434/22669";1.08623358721563e-13;7.36466372132196e-11;5.69415080456193e-11;"Actn1/Arpc1b/Cald1/Clmn/Cnn2/Cobll1/Coro1b/Cttn/Egfr/Epb41l1/Eps8l2/Ezr/Fhdc1/Fhl3/Flna/Flnb/Flnc/Gipc1/Inf2/Iqgap2/Lasp1/Map1b/Mical2/Mlph/Mprip/Msn/Myh9/Myo18a/Myo1c/Myo1e/Myo5c/Parvb/Pdlim7/Plec/Ppp1r18/Ppp1r9b/Shroom1/Smtn/Tpm1/Vasp/Vill";41
"NM";"NM";"GO:0050839";"cell adhesion molecule binding";"27/548";"284/22669";1.64184433646975e-09;5.56585230063246e-07;4.30336041874703e-07;"Actn1/Adam8/App/Cadm1/Cd81/Cdh13/Cdh2/Cdh6/Dsp/Egfr/Ezr/Itga2/Itga3/Itgb4/Kirrel/Lama5/Mmp14/Msn/Myh9/Nisch/Npnt/Prkca/Ptprf/Ptprm/Pxn/Src/Thbs1";27
"NM";"NM";"GO:0005543";"phospholipid binding";"34/548";"448/22669";4.76628864368148e-09;1.07718123347202e-06;8.3284622615908e-07;"Akt1/Anxa13/Anxa2/Anxa3/Anxa5/Apob/Asap1/Axl/Bad/Cavin2/Cpne2/F3/Gab2/Gramd1b/Gsdmd/Iqgap2/Jag1/Ldlrap1/Map1b/Micall1/Myo1c/Myo1e/Nisch/Osbpl5/Pctp/Phlda3/Pitpna/Plekha2/Plekhb2/Pxdc1/Sh3pxd2b/Thbs1/Ttpal/Vill";34
"NM";"NM";"GO:0005178";"integrin binding";"17/548";"136/22669";3.3275767285154e-08;5.64024255483361e-06;4.36087687052808e-06;"Actn1/Adam8/App/Cd81/Egfr/Itga2/Itga3/Itgb4/Lama5/Mmp14/Myh9/Nisch/Npnt/Prkca/Pxn/Src/Thbs1";17
"NM";"NM";"GO:0044548";"S100 protein binding";"6/548";"14/22669";4.94475803569551e-07;5.58757658033593e-05;4.32015702066029e-05;"Ahnak/Anxa2/Ezr/S100a1/S100a11/S100a6";6
"NM";"NM";"GO:0017048";"Rho GTPase binding";"17/548";"168/22669";7.28019430543651e-07;7.05138819869422e-05;5.45193498362013e-05;"Arhgef17/Arhgef40/Cdc42bpb/Cdc42ep1/Cdc42ep2/Dvl1/Elmo2/Eps8l2/Farp1/Fgd3/Flna/Inf2/Iqgap2/Kctd10/Pard6b/Plekhg3/Trio";17
"NM";"NM";"GO:0005080";"protein kinase C binding";"10/548";"63/22669";2.53972301820645e-06;0.00018407552979326;0.000142322021172245;"Adcy6/Akt1/Cavin2/Dsp/Flna/Hdac7/Pard6b/Pea15a/Sdc4/Src";10
"NM";"NM";"GO:0008047";"enzyme activator activity";"29/548";"460/22669";2.98647614708828e-06;0.00018407552979326;0.000142322021172245;"Agap3/Als2cl/App/Arhgap27/Arhgap40/Arrb1/Asap1/Bad/Casp3/Cd24a/Cdc42ep2/Cdkn1a/Elmod1/Gipc1/Git1/Gprc5a/Iqgap2/Ngf/Nrg1/Pdgfb/Prkcd/Rasa3/Rgs20/Rin1/Rin3/Sh3pxd2b/Sipa1/Sipa1l3/Syde1";29
"NM";"NM";"GO:0019902";"phosphatase binding";"18/548";"223/22669";8.88339788701221e-06;0.000482144855873894;0.000372780838728767;"Akt1/Bad/Cdh2/Csk/Cttnbp2nl/Egfr/Gab2/Irs2/Kcnn4/Lgals3/Lmna/Ncam1/Ppp1r18/Ppp1r9b/Pxn/Sh2d4a/Slc9a3r1/Smad3";18
"NM";"NM";"GO:0043236";"laminin binding";"7/548";"32/22669";9.244665378113e-06;0.000482144855873894;0.000372780838728767;"Itga2/Itga3/Lgals1/Lgals3/Plekha2/Thbs1/Tinagl1";7
"NM";"NM";"GO:0030695";"GTPase regulator activity";"19/548";"258/22669";1.85769643724418e-05;0.000899655846036825;0.000695588590787671;"Agap3/Als2cl/Arhgap27/Arhgap40/Arrb1/Asap1/Cdc42ep2/Elmod1/Gipc1/Git1/Iqgap2/Rasa3/Rgs20/Rin1/Rin3/Sh3bp4/Sipa1/Sipa1l3/Syde1";19
"NM";"NM";"GO:0072341";"modified amino acid binding";"11/548";"106/22669";5.2175521424019e-05;0.00208088256032264;0.00160887985567563;"Anxa13/Anxa2/Asap1/Axl/Cavin2/Gramd1b/Gsdmd/Gsr/Gstp1/Osbpl5/Thbs1";11
"NM";"NM";"GO:0048306";"calcium-dependent protein binding";"10/548";"89/22669";5.76527122777769e-05;0.00217158549579626;0.00167900881370368;"Anxa2/Anxa3/Calm3/S100a1/S100a10/S100a11/S100a13/S100a6/S100a7a/Vps37b";10
"NM";"NM";"GO:0004713";"protein tyrosine kinase activity";"12/548";"130/22669";7.66020623927711e-05;0.00273348412117362;0.00211345302335734;"Axl/Csk/Egfr/Epha2/Epha4/Ephb4/Igf1r/Map2k3/Prkcd/Ror1/Src/Tnk2";12
"NM";"NM";"GO:0050840";"extracellular matrix binding";"8/548";"61/22669";0.000105807464737849;0.00341606957582199;0.00264120889420796;"Anxa2/Itga2/Itga3/Lgals1/Lgals3/Plekha2/Thbs1/Tinagl1";8
"NM";"NM";"GO:0050998";"nitric-oxide synthase binding";"5/548";"22/22669";0.000151801190453356;0.00447483509249459;0.0034598166062138;"Actb/Calm3/Camk2d/Cdh2/Dnm2";5
"NM";"NM";"GO:0005154";"epidermal growth factor receptor binding";"6/548";"36/22669";0.000204068113121249;0.00532146848831566;0.00411440973013693;"Areg/Cd44/Ereg/Hbegf/Tgfa/Tnk2";6
"NM";"NM";"GO:0008083";"growth factor activity";"12/548";"147/22669";0.000246165546003728;0.00596072286394742;0.00460866322969386;"Areg/Bmp1/Csf1/Ereg/Gdf15/Hbegf/Il11/Lif/Ngf/Osgin1/Pdgfb/Tgfa";12
"NM";"NM";"GO:0019838";"growth factor binding";"12/548";"147/22669";0.000246165546003728;0.00596072286394742;0.00460866322969386;"Crim1/Egfr/Igf1r/Igfbp7/Itgb4/Ltbp3/Nradd/Pdgfb/S100a13/Tgfbr2/Thbs1/Tsku";12
"NM";"NM";"GO:0005158";"insulin receptor binding";"5/548";"28/22669";0.000502642605147141;0.0109932802028955;0.00849969498686846;"App/Igf1r/Irs2/Ptprf/Src";5
"NM";"NM";"GO:0050699";"WW domain binding";"5/548";"31/22669";0.000818662646931707;0.016325096312344;0.0126221052065632;"Dnm2/Litaf/Pmepa1/Tnk2/Traf4";5
"NM";"NM";"GO:0005201";"extracellular matrix structural constituent";"11/548";"148/22669";0.000968338023987471;0.0187580908646716;0.0145032281487447;"Col27a1/Col4a2/Efemp2/Igfbp7/Lama5/Lamb3/Npnt/Pxdn/Scara3/Thbs1/Tinagl1";11
"NM";"NM";"GO:0003774";"motor activity";"10/548";"127/22669";0.00104974346756418;0.0192358397569869;0.0148726101521184;"Cgn/Cgnl1/Kif1c/Kifc3/Klc1/Myh9/Myo18a/Myo1c/Myo1e/Myo5c";10
"NM";"NM";"GO:0042578";"phosphoric ester hydrolase activity";"19/548";"357/22669";0.00119772927249062;0.0208220627371447;0.0160990331363112;"Ctdsp1/Ctdsp2/Ctdspl/Dusp10/Dusp4/Dusp5/Gdpd1/Gnb1/Mtmr10/Plcd3/Plcl2/Plpp2/Ptpn14/Ptprf/Ptprm/Ptprn/Ptprs/Smpd3/Tns2";19
"NM";"NM";"GO:0005518";"collagen binding";"7/548";"71/22669";0.00162305602579361;0.0275107996372016;0.021270576338032;"Ccbe1/Itga2/Itga3/Pdgfb/Serpinh1/Smad3/Thbs1";7
"NM";"NM";"GO:1901681";"sulfur compound binding";"15/548";"260/22669";0.00175682391184497;0.0290518685909973;0.0224620874993272;"Adamtsl5/Apob/App/Eva1c/Gsr/Gstp1/Hbegf/Hnf4a/Nav2/Ncam1/Pitpna/Ptprf/Ptprs/Slc6a6/Thbs1";15
"NM";"NM";"GO:0003707";"steroid hormone receptor activity";"6/548";"54/22669";0.00187552663964643;0.0300862999528085;0.0232618807273694;"Abhd2/Esrra/Hnf4a/Nr2f6/Paqr7/Rxra";6
"NM";"NM";"GO:0008330";"protein tyrosine/threonine phosphatase activity";"3/548";"11/22669";0.00200560631472024;0.0301001547661772;0.0232725928792986;"Dusp10/Dusp4/Dusp5";3
"NM";"NM";"GO:0030898";"actin-dependent ATPase activity";"4/548";"23/22669";0.00207543971677191;0.0301001547661772;0.0232725928792986;"Myh9/Myo1c/Myo1e/Myo5c";4
"NM";"NM";"GO:0005539";"glycosaminoglycan binding";"13/548";"213/22669";0.00213098440822494;0.0301001547661772;0.0232725928792986;"Adamtsl5/Apob/App/Cd44/Eva1c/Habp4/Hbegf/Nav2/Ncam1/Ptprf/Ptprs/Tgfbr2/Thbs1";13
"NM";"NM";"GO:0050780";"dopamine receptor binding";"4/548";"24/22669";0.00244344339464295;0.0331330924313584;0.0256175749585724;"Cav2/Dnm2/Ppp1r9b/Slc9a3r1";4
"NM";"NM";"GO:0070412";"R-SMAD binding";"4/548";"24/22669";0.00244344339464295;0.0331330924313584;0.0256175749585724;"Ankrd1/Pmepa1/Smad3/Smurf1";4
"NM";"NM";"GO:0044325";"ion channel binding";"10/548";"143/22669";0.00254928389180449;0.0338904799734009;0.0262031656990431;"Actn1/Arrb1/Calm3/Camk2d/Flna/Gpd1l/Ppp1r9b/S100a10/Src/Tspo";10
"NM";"NM";"GO:0043548";"phosphatidylinositol 3-kinase binding";"5/548";"41/22669";0.00296197061961674;0.0371891866685212;0.0287536329155777;"Axl/Calm3/Dnm2/Igf1r/Irs2";5
"NM";"NM";"GO:0140297";"DNA-binding transcription factor binding";"18/548";"365/22669";0.00360942230942118;0.0407864720964593;0.0315349528086271;"Actb/Ankrd1/Arrb1/Bhlhe40/Ets2/Fhl2/Hdac7/Hnf4a/Mef2d/Myc/Ncor2/Nfe2l2/Runx1/Runx2/Rxra/Smad3/Src/Sri";18
"NM";"NM";"GO:0050750";"low-density lipoprotein particle receptor binding";"4/548";"28/22669";0.00436287164812682;0.0455081073450767;0.0351855883525046;"Apob/App/Clu/Ldlrap1";4
"NM";"NM";"GO:0008201";"heparin binding";"10/548";"156/22669";0.00474615101257255;0.0480282147242416;0.0371340644817145;"Adamtsl5/Apob/App/Eva1c/Hbegf/Nav2/Ncam1/Ptprf/Ptprs/Thbs1";10
"NM";"NM";"GO:0004190";"aspartic-type endopeptidase activity";"4/548";"29/22669";0.00496566821126606;0.048096043531977;0.0371865078076767;"Bace1/Casp3/Ctsd/H13";4
"NM";"NM";"GO:0005165";"neurotrophin receptor binding";"3/548";"15/22669";0.00514667524214082;0.0484645251968261;0.0374714074647095;"Efna5/Ngf/Nradd";3
"NM";"NM";"GO:0008432";"JUN kinase binding";"3/548";"15/22669";0.00514667524214082;0.0484645251968261;0.0374714074647095;"Dusp10/Gstp1/Hes1";3
